Word	fy
adolescence	adolesinsje
adolescent	adolesinte
adopt	oannimme
adoption	oannimme
adoptive	oanfiterjend
adorable	adorable
adoration	adoration
adore	adore
adoring	adoring
adorn	adorn
adornment	fersiering
adrenalin	adrenaline
adrenaline	adrenaline
adrift	adrift
adult	folwoeksen
adulterated	ferwûne
adulterer	adulterer
adultery	bloed
adulthood	folwoeksen
advance	foarôfgeand
advanced	Avansearre
advancement	foardieling
advancing	foarkommen
advantage	foardiel
advantageous	foardielich
advent	begjin
adventure	aventoer
adventurer	aventoeren
adventures	aventoeren
adventurous	avanturous
adversary	tsjinstanner
adverse	negatyf
adversity	ûngelok
advertise	advertearje
advertisement	advertinsje
advertising	reklame
adverts	adverts
advice	rie
advisable	rjochtfeardich
advise	advisearje
advised	advisearje
advisement	advisearje
adviser	adviseur
advisor	advisor
advisory	advisearje
advocacy	advocacy
advocate	bepleitsje
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamisch
aerodynamics	aerodynamika
aeronautics	aeronautyk
aeroplane	fleantúch
aerospace	aerospace
aesthetic	aesthetic
aesthetics	eesthetik
aetiology	aetiology
afar	afar
affable	aardich
affair	affêre
affect	ynfloed
affecting	ynfloed
affection	leuk
affectionate	hertlik
affections	fernijen
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	ferbûn
affiliation	oansluting
affinity	affiniteit
affirm	Befêstigje
affirmation	befestiging
affirmative	befêstigjend
affirmatively	befestigjend
affix	affix
afflict	fertrouwe
afflicted	ferwûne
affliction	ellinde
affluence	geweldigens
affluent	baas
afford	leverje
affordable	betelber
affront	affront
affronted	ferwûne
afield	afield
afire	in brân
afloat	afloat
afore	nei foaren
aforementioned	earder neamd
aforesaid	ferovere
afraid	bang
afresh	afresh
african	Afrikaanske
aft	aft
afterlife	nei it libben
aftermath	nei ôfrin
afternoon	middei
aftershave	aftershave
aftertaste	nachtaste
afterthought	nei nacht
aga	NO TRANSLATION
agape	agape
agate	agate
age	leeftyd
aged	âld
agency	agintskip
agenda	wurklist
agent	agint
agglomeration	agglomeraasje
aggravate	fergrieme
aggravated	aggravearre
aggravates	fergruttet
aggravating	fergriemd
aggravation	fergriemen
aggregate	aggregaat
aggregation	aggregaasje
aggresive	NO TRANSLATION
aggression	agresje
aggressive	agressyf
aggressively	agressyf
aggressiveness	agressiviteit
aggressor	agressor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	aging
agitate	agitearje
agitated	agitearre
agitation	agitation
aglow	aglow
agnostic	agnostysk
ago	lyn
agonizing	agonizing
agony	agony
agoraphobia	agorafobia
agree	oerienkomme
agreeable	gaadlik
agreed	ôfpraat
agreeing	oannimme
agreement	oerienkomst
agressive	NO TRANSLATION
agricultural	lânbou
agriculture	lânbou
aground	Wetter - Agrarwetter
agua	NO TRANSLATION
ahead	foarút
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	helpmiddel
aide	aide
aiding	aiding
aids	helpen
ail	ail
ailing	ailing
ailment	eilân
aim	doel
aimless	doel
air	loft
airbag	airbag
airborne	loftfeart
aircraft	fleantúch
aircraft carrier	fleandekskip
airfield	loftfeart
airhead	airhead
airlift	airlift
airline	airline
airliner	airliner
airlock	airlock
airman	airman
airplane	fleantúch
airport	fleanfjild
airs	loften
airship	loftfeart
airspace	loftpas
airspeed	airspeed
airstrip	airstrip
airtight	earmacht
airway	airway
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	besibbe
alabaster	alabaster
alarm	alarm
alarm clock	wekker
alarmed	alarmearre
alarming	alarmearjend
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	alkohol
alcoholic	alkoholist
alcoholism	alkoholisme
alcove	alkaar
alderman	wethâlder
ale	NO TRANSLATION
alert	alarmearje
alertness	alertness
alerts	alerts
alfalfa	alfalfa
algebra	algebra
algebraic	algebraisch
algorithm	algoritme
alias	alias
alibi	alibi
alien	alien
alienate	alienate
alienated	alienearre
alienation	feriening
alight	Wetter - Agrarwetter
align	rjochtsje
aligned	aligned
alignment	rjochting
alike	lykas
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	libben
alkali	alkali
alkaloids	alkaloïden
allay	allay
allegation	beleanning
allege	allegear
alleged	allegeduerigen
allegiance	beleanning
allegorical	allegorik
allegory	allegory
allegro	allegro
allergic	allergysk
allergy	allergy
alleviate	liede
alleviation	ferlies
alley	goeie
alleyway	alleyway
alliance	alliânsje
allied	allied
alligator	alligator
allocate	fertsjinje
allocation	oantsjutting
allot	allot
allotment	allotment
allow	talitte
allowable	tastien
allowance	fergoeding
allowed	tastien
alloy	legearing
allsmiles	NO TRANSLATION
allure	allure
alluring	geweldig
allusion	allusion
alluvial	alluvial
ally	ally
almanac	almanac
almighty	almachtich
almond	Mandel
aloft	aloft
aloha	earder
alone	allinne
alongside	njonken
aloof	aloof
aloud	lûdop
alpha	alpha
alphabet	alfabet
alphabetical	alfabetysk
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	alter
altar boy	altar boy
alter	feroarje
alteration	feroaring
altercation	oertsjûging
altered	feroare
alternate	alternatyf
alternating	alternating
alternative	alternatyf
altimeter	altimeter
altitude	hichte
alto	alto
altogether	hielendal
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamaasje
amaretto	amaretto
amass	amass
amateur	amateur
amaze	amaze
amazed	ferrast
amazedness	NO TRANSLATION
amazement	amazement
amazing	ferbazend
amazingly	geweldig
ambassador	ambassadeur
amber	amber
ambience	ambysje
ambient	ambient
ambiguity	ambiguity
ambiguous	ûnbidich
ambit	ambit
ambition	ambysje
ambitious	ambisjeus
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulânse
ambush	ambút
ameliorate	ameliorate
amen	amen
amenable	amenable
amend	amend
amendment	amendemint
amends	amend
amenity	yntensiteit
amethyst	amethyst
amiable	earm
amicable	amicable
amid	amid
amidst	amidst
amino	amino
ammo	ammo
ammonia	ammoniak
ammonium	ammonium
ammunition	ammunysje
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorph
amortization	amortisaasje
amount	tal
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amfibyen
amphibious	amfiby
amphitheater	amphitheater
ample	ryklik
amplification	amplification
amplify	fersteane
amplitude	amplitude
amply	amply
amputate	amputate
amputation	amtifikaasje
amuck	amuck
amulet	amulet
amuse	amuse
amused	amusearre
amusement	amusement
amusing	amüsing
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetic
anagram	anagram
anal	anal
analgesic	analgetysk
analogous	analogous
analogue	analogue
analogy	analogy
analysis	analyze
analyst	analyst
analytic	analytysk
analytical	analytysk
analyze	analysearje
analyzer	analyzer
anaphylactic	anaphylaktysk
anarchism	anarchisme
anarchist	anarchist
anarchy	anargy
anastomosis	anastomose
anathema	Anathema
anatomic	anatomisch
anatomy	anatomy
ancestor	foarâlder
ancestral	ancestral
ancestry	ancestry
anchor	anker
anchorage	anchorage
ancient	âld
ancillary	ancillary
androgen	androgen
android	Android
anecdote	anecdote
anemia	anemia
anemic	anemysk
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysme
anew	anew
angel	ingel
angelic	angelic
anger	lilkens
angered	geweldig
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografy
angle	hoeke
angling	angling
angora	angora
angriest	angriest
angry	lilk
angrytweet	NO TRANSLATION
angst	angst
anguish	eangje
anguished	ferwûne
angular	angular
anhydrous	anhydrous
animal	bist
animate	animate
animated	animearre
animation	animaasje
animosity	animosity
animus	animus
ankle	ankle
anklet	anklet
annals	annalen
annex	annex
annexation	Annexaasje
annexe	NO TRANSLATION
annihilate	annihilearje
annihilated	annihilearre
annihilation	annihilaasje
anniversary	jubileum
annotate	annotearje
annotation	annotaasje
announce	oankundigje
announcement	oankundiging
announcer	announcer
annoy	annoy
annoyance	argewaasje
annoyed	ferwûne
annoyin	NO TRANSLATION
annoying	ferrassend
annoys	annoy
annual	jierliks
annuity	annuity
annul	annul
annular	annular
annulment	annulme
annulus	annulus
anointed	salvje
anointing	salvjen
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	anonymity
anonymous	anonym
anorexic	anorexic
answer	antwurd
answerable	ferantwurdelik
answering	antwurdzje
ant	ant
antagonism	antagonisme
antagonist	antagonist
antagonistic	antagonistysk
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antenne
anterior	anterior
anthem	folksliet
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropology
anthropologist	anthropolooch
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotika
antichrist	antykrist
anticipate	anticipate
anticipation	anticipatie
anticipatory	anticipatory
antics	antyk
antidote	tsjingif
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipaty
antiquarian	antiquarian
antiquated	âldich
antique	antyk
antiques	antyks
antiquity	âldheid
antiseptic	antiseptysk
antisocial	antisosysk
antithesis	antithesis
antithetical	antithetical
antiviral	antivirale
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	eangst
anxietyattack	NO TRANSLATION
anxious	eangstme
anxiousness	eangstme
anytime	wannear dan ek
aorta	aorta
aortic	aortika
apace	apace
apache	apache
apartment	appartemint
apartments	apparteminten
apathetic	apathetysk
apathy	apathy
ape	aap
aperture	aperture
apex	apex
aphid	aphide
aphrodisiac	aphrodisiac
apiece	apiece
aplomb	aplomb
apocalypse	apokalypse
apocalyptic	apokalyptysk
apologetic	apologetysk
apologist	apolooch
apologize	ferûntskuldigje
apology	apology
apostasy	apostasy
apostate	apostelje
apostle	apostel
apostolic	apostolok
apostrophe	apostrophe
apothecary	apotheek
appalled	ferwûne
appalling	geweldich
apparatus	apparaat
apparel	apparel
apparent	skynber
apparently	skynber
apparition	ferjit
appeal	berop
appear	skine
appearance	ferskining
appease	beropje
appellant	oanrjochter
append	oanfange
appendage	appendage
appendectomy	appendektomy
appendicitis	appendicitis
appendix	taheakke
appetite	appetit
appetizer	appetizer
appetizing	appetitearjend
applaud	applaud
applause	applaus
apple	appel
apple juice	appel sap
applejack	applejack
applesauce	applesauce
appliance	apparaat
appliances	apparaten
applicability	Applikaasje
applicable	tapaslik
applicant	oanfregers
application	oanfraach
apply	tapasse
appoint	beneame
appointment	beneaming
appointments	ôfspraken
apportion	ôfdieling
apportionment	ôfdieling
appraisal	appraisal
appraise	appraise
appreciable	merkber
appreciate	wurdearje
appreciated	wurdearre
appreciates	fertsjinnet
appreciation	erkentlikens
appreciative	wurdich
apprehend	rekkenje
apprehension	behoefte
apprehensive	eangst
apprentice	learling
apprenticeship	learplicht
approach	oanpak
approaching	oanwêzich
approbate	NO TRANSLATION
approbation	ferjouwing
appropriate	gaadlik
appropriation	oansluting
approval	ynstimming
approve	fertsjinje
approved	goedkard
approvement	goedkarring
approving	fertsjinje
approximate	ûngefear
approximately	sawat
approximating	oanwêzich
approximation	Approximaasje
appurtenances	appurtenances
apricot	abrikoas
apron	apron
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	aquatic
aqueduct	akwadukt
aqueous	wapen
arable	arable
arbiter	arbiter
arbitrary	arbitrêr
arbitrate	arbitrate
arbitration	arbitraazje
arbitrator	arbitrator
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	bôge
archaeological	argeologysk
archaeologist	argeolooch
archaeology	argeology
archaic	archaik
archangel	argeanjel
archbishop	aartsbiskop
archdiocese	aartsbisdom
archduke	argyf
arched	gewurde
archer	archer
archery	Bogery
archetype	archetype
archipelago	arsjipel
architect	arsjitekt
architectural	arsjitekten
architecture	boukunde
archive	argyf
arctic	arktika
ardent	ardent
ardor	ardor
arduous	moedich
area	krite
arena	arena
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argue
argument	argumint
argumentation	argumintaasje
argumentative	argumintatyf
arguments	arguminten
arid	arid
arise	ûntstien
aristocracy	aristokrasy
aristocrat	aristokraten
aristocratic	aristokratysk
arithmetic	arithmetica
ark	ark
arm	earm
armada	armada
armament	wapen
armaments	wapens
armature	armature
armchair	leunstoel
armed	beweard
armor	gewear
armored	ferwûne
armory	armory
armpit	armpit
arms	wapens
army	leger
aroma	geur
aromatherapy	aromatherapy
arousal	oprop
arouse	oproppe
aroused	oproppe
arraignment	oardering
arrange	arranzje
arranged	arranzjearre
arrangement	arranzjemint
array	array
arrears	efterstân
arrest	arrestaasje
arrhythmia	arrhythmia
arrival	oankomst
arrive	oankomme
arrogance	arrogânsje
arrogant	eigenwiis
arrow	pylk
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenik
arson	arson
arsonist	arsonist
art	keunst
arterial	arteriel
artery	artery
artful	kunstich
arthritis	artritis
arthropod	arthropod
artichoke	artichoke
article	lidwurd
articles	artikels
articulate	articulate
articulation	artikulaasje
artifact	artifact
artifice	artifice
artificial	keunstmjittich
artillery	artillery
artisan	artisan
artist	artyst
artiste	NO TRANSLATION
artistic	artistyk
artistry	artistry
artists	artysten
artwork	artwork
arty	arty
asap	sa gau mooglik
asbestos	asbest
ascend	opstien
ascendancy	opstân
ascendant	ascendant
ascending	opkomst
ascension	ascension
ascent	ascent
ascertain	befestigje
ascertained	opskreaun
ascetic	ascetic
ash	ash
ashamed	beskamme
ashes	Aazje
ashtray	ashtray
asinine	asinine
ask	freegje
asleeep	NO TRANSLATION
asleep	sliep
asp	asp
asparagus	spargel
aspartame	aspartame
aspect	aspect
aspects	aspekten
aspen	aspen
asphalt	asfalt
asphyxia	asfykia
asphyxiation	asfiksiaasje
aspiration	aspiraasje
aspire	aspire
aspirin	aspirine
aspiring	aspirearje
ass	ass
assail	oantsjutte
assailant	oanfaller
assassin	assassin
assassinate	ferrifelje
assassination	assassination
assault	oanfaller
assay	assay
assemblage	assemblage
assemble	oanpakke
assembled	gearstalde
assembly	gearkomste
assemblyman	assemblyman
assent	assent
assert	assert
asserting	beslute
assertion	bewearing
assertive	assertive
assess	beoardielje
assessment	beoardieling
assessor	assessor
asset	asset
assets	aktiva
asshole	asshole
assign	oantsjutte
assignee	oanwêzich
assignment	opdracht
assimilate	assimilate
assimilation	assimilaasje
assist	helpe
assistance	assistinsje
assistant	assistint
associate	kompanjon
association	bûn
assorted	asortearre
assortment	assortment
assuage	ferwite
assume	leauwe
assumed	oannommen
assuming	oannimme
assumption	ferûnderstelling
assurance	assurance
assure	fersekerje
assured	assured
assuredly	wis
asterisk	stjerke
asteroid	asteroïde
asteroids	asteroïden
asthma	Asthma
asthmatic	asthmatic
astigmatism	astigmatisme
astonish	ferwûnderje
astonished	ferwûndering
astonishing	ferrassend
astonishingly	NO TRANSLATION
astonishment	ferwûndering
astound	astound
astral	astral
astray	ferdwaald
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	astronaut
astronomer	astronoom
astronomical	astronomy
astronomy	stjerrekunde
astute	astute
asunder	oandwaan
asylum	asyl
asymmetric	asymmetrisch
asymmetry	asymmetry
asymptotic	asymptotyk
atelier	atelier
atheism	ateïsme
atheist	ateïst
atheistic	atheistysk
atherosclerosis	atherosklerose
athlete	atleet
athletic	sportyf
athleticism	atletisme
athletics	Atletyk
atlas	atlas
atmosphere	atmosfear
atmospheric	atmosfear
atoll	atoll
atom	atoom
atomic	atomysk
atone	atone
atonement	fergiftiging
atpeace	yn frede
atrium	atrium
atrocious	geweldig
atrocity	geweldigheid
atrophy	atrophy
attach	befestigje
attached	oanbean
attachment	oanfolling
attack	oanfal
attacker	oanfaller
attacking	oanfalle
attain	attain
attainable	berikber
attainment	attainment
attempt	besykjen
attempted	besocht
attend	besykje
attendance	opkomst
attendant	gearkomste
attention	oandacht
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	opmerklik
attenuate	attenuate
attenuated	attenuatearre
attenuation	attenuaasje
attest	besjen
attestation	beoardieling
attic	doarp
attire	attire
attitude	hâlding
attorney	advokaat
attract	lûke
attraction	attraction
attractive	oantreklik
attractiveness	attraktiviteit
attributable	oanwêzich
attribute	attribute
attribution	attribution
attrition	attrition
auburn	auburn
auction	feiling
auctioneer	Auctioneer
audacious	audacious
audacity	hûd
audible	hearlik
audience	publyk
audio	audio
audit	audit
audition	audysje
auditions	audysjes
auditor	auditor
auditorium	auditorium
auditory	hûd
aught	aught
augment	augment
augmentation	augmentaasje
august	augustus
aunt	muoike
auntie	auntie
aura	aura
aurora	aurora
auspices	earm
auspicious	geweldich
austere	austere
austerity	sprake
authentic	authentich
authenticate	oardielje
authentication	ferifikaasje
authenticity	echtheid
author	skriuwer
authoritative	autoritatyf
authority	autoriteit
authorization	machtiging
authorize	autorisearje
authorized	autorisearre
authorship	auteur
autism	autisme
autistic	autistysk
auto	auto
autobiographical	autobiografysk
autobiography	autobiografy
autocorrect	autokorrekt
autocratic	autokratysk
autograph	autogram
autographed	autografearre
automated	automatisearre
automatic	automatysk
automobile	automobil
automotive	automotive
autonomy	autonomy
autopilot	autopilot
autopsy	autopsy
autumn	hjerst
auxiliary	auxiliary
avail	foardielje
availability	beskikberens
available	beskikber
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	avenge
avenger	avenger
avenging	ferjit
avenue	avenue
aver	NO TRANSLATION
average	trochsneed
aversation	NO TRANSLATION
averse	averse
averseness	ferachting
aversion	ôfkear
avert	avert
aviary	aviary
aviation	loftfeart
aviator	aviator
avid	avid
avocado	avocado
avoid	foarkomme
avoidance	foarkommen
avoiding	avoiding
await	wachtsje
awake	wekker
awaken	wekker
awakening	wakker
award	priis
awards	prizen
aware	bewust
awareness	besef
awe	NO TRANSLATION
awed	awed
awesome	geweldich
awesomeness	awesomeness
awestruck	awestruck
awful	swier
awkward	ûnhandich
awkwardness	awkwardens
awning	markearring
awry	oere
axe	bile
axial	axial
axiom	axiom
axiomatic	axiomatysk
axis	as
axle	achter
ay	ay
aye	aye
azimuth	azimút
azure	azure
babble	slach
babbling	ferdylgje
babe	babe
baboon	baboon
baby	poppe
babysit	Babysit
babysitter	Babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	frijfeint
bachelorette	bachelorette
back	efter
backboard	backboard
backbone	rêchbonke
backdoor	efterdoar
backdrop	eftergrûn
backer	backer
backfire	baas
backgammon	backgammon
background	eftergrûn
backhand	backhand
backhoe	backhoe
backoff	efterút
backpack	rêchpakket
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	efterbliuw
backtrack	weromtrack
backup	backup
backward	efterút
backwardness	efterút
backwards	efter
backwater	backwater
backwoods	backwoods
backyard	eftergrûn
bacon	spek
bacteria	baktearjen
bacterial	baktearje
bacterium	baktearje
bad	min
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	min
badness	badheid
baffle	baffle
baffled	baffled
bag	pûde
bagel	bagel
baggage	bagaazje
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	lillepipen
bail	bail
bailiff	bailiff
bait	aas
bake	bakken
bakery	bakkerij
baking	bakken
bal	NO TRANSLATION
balance	lykwicht
balanced	balansearre
balcony	balkon
bald	kâld
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bal
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	balspultsje
ballistic	ballistysk
ballistics	ballistics
balloon	ballon
ballot	ballot
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balsem
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bamboe
ban	NO TRANSLATION
banana	banaan
band	band
bandage	ferbân
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	geweld
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	ferbean
banished	ferbjustere
banishment	ferbjustering
banister	banister
banjo	banjo
bank	bank
banker	bankier
banking	bank
bankroll	bankroll
bankrupt	fallyt
bankruptcy	fallisemint
banner	banner
banquet	banket
banshee	banshee
banter	skilderje
banzai	NO TRANSLATION
baptism	doop
baptismal	doop
baptize	dope
bar	bar
barb	barb
barbarian	barbaar
barbaric	barbaar
barbarism	barbarisme
barbecue	barbecue
barbed	stjerre
barber	barber
barbershop	barbershop
barbie doll	barbie doll
bard	bard
bare	neaken
bareback	bareback
barefoot	barefoot
barely	barely
barf	barf
bargain	bargain
bargaining	bargaining
barge	barge
baritone	baritone
barium	barium
bark	Blaf
barkeep	barkeep
barks	barks
barley	koarn
barmaid	barmaid
barman	barman
barn	skuorre
barnacle	barnakke
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baronesse
baroque	barok
barrack	barack
barracuda	barracuda
barrage	barrage
barred	ferbean
barrel	barrel
barren	barren
barricade	barricade
barrier	barriêre
barring	barring
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	barter
base	basis
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	sûnder sûnens
baseline	basislinen
baseman	baseman
basement	kelder
bases	basis
bash	bash
bashful	bashful
basic	basis
basics	basis
basil	basil
basilica	basilica
basin	basin
basis	basis
bask	baskje
basket	koer
basketball	basketbal
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	Fagot
bastard	bastard
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	bat
batch	bart
batching	bart
bate	NO TRANSLATION
bath	bad
bathe	bêd
bathhouse	bathhouse
bathing	bathing
bathrobe	badjas
bathroom	badkeamer
bathtub	badkûp
bathymetry	bathymetry
baton	baton
battalion	bataal
batter	batter
battered	ferwûne
battering	ferdylgje
battery	batterij
battle	fjildslach
battled	fjochtsje
battlefield	slachfjild
battleground	fjildslach
battlements	slaggen
battleship	slachskip
batty	batty
bauble	bauble
bawdy	bawdy
bawl	bawl
bay	baai
bayonet	Bajonet
bayou	Bayou
bazaar	bazaar
bazooka	bazooka
bday	bday
be	wêze
beach	strân
beaches	strân
beacon	Beaken
bead	bead
beading	beading
beads	beads
beady	beady
beagle	beagle
beak	beak
beaker	beaker
beam	balke
beaming	beaming
bean	bean
beanbag	beanbag
beanie	beanie
bear	bear
