Word	cs
adoring	zamilovaný
adorn	ozdobit
adornment	ozdoba
adrenalin	adrenalin
adrenaline	adrenalin
adrift	zbytečně
adult	dospělý
adulterated	falešný
adulterer	cizoložník
adultery	cizoložství
adulthood	dospělost
advance	záloha
advanced	pokročilý
advancement	pokrok
advancing	postupování
advantage	výhoda
advantageous	výhodný
advent	příchod
adventure	dobrodružství
adventurer	dobrodruh
adventures	Dobrodružství
adventurous	dobrodružný
adversary	protivník
adverse	nepříznivý
adversity	nepřízeň osudu
advertise	inzerovat
advertisement	reklama
advertising	reklamní
adverts	inzeráty
advice	Rada
advisable	doporučeno
advise	radit, podat zprávu
advised	doporučeno
advisement	poradenství
adviser	poradce
advisor	poradce
advisory	poradní
advocacy	obhajoba
advocate	zastánce
aegis	aegis
aeration	provzdušňování
aerial	letecký
aerobics	aerobik
aerodrome	letiště
aerodynamic	aerodynamický
aerodynamics	aerodynamika
aeronautics	letectví
aeroplane	letoun
aerospace	letectví
aesthetic	estetický
aesthetics	estetika
aetiology	etiologie
afar	dál
affable	přívětivý
affair	aféra
affect	postihnout
affecting	ovlivňuje
affection	náklonnost
affectionate	láskyplný
affections	postižení
affiche	NO TRANSLATION
affidavit	přísežné prohlášení
affiliated	přidružený
affiliation	příslušnosti
affinity	afinita
affirm	potvrdit
affirmation	potvrzení
affirmative	kladně
affirmatively	kladně
affix	připevnit
afflict	postihnout
afflicted	postižených
affliction	utrpení
affluence	blahobyt
affluent	blahobytný
afford	si dovolit
affordable	cenově dostupné
affront	urážka
affronted	postižené
afield	venku
afire	požár
afloat	na vodě
afore	dříve
aforementioned	výše zmíněných
aforesaid	výše uvedené
afraid	strach
afresh	znovu
african	Afričan
aft	na zádi
afterlife	posmrtný život
aftermath	následky
afternoon	odpoledne
aftershave	voda po holení
aftertaste	pachuť
afterthought	přemýšlel
aga	NO TRANSLATION
agape	agape
agate	achát
age	stáří
aged	letitý
agency	agentura
agenda	denní program
agent	činidlo
agglomeration	aglomerace
aggravate	zhoršit
aggravated	agresivní
aggravates	zhoršuje
aggravating	přitěžující
aggravation	zhoršení
aggregate	agregát
aggregation	agregace
aggresive	NO TRANSLATION
aggression	agrese
aggressive	agresivní
aggressively	agresivně
aggressiveness	agresivita
aggressor	agresor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agilní
agility	hbitost
aging	stárnutí
agitate	agitovat
agitated	rozrušený
agitation	míchání
aglow	planoucí
agnostic	agnostik
ago	před
agonizing	agonizující
agony	muka
agoraphobia	agorafobie
agree	souhlasit
agreeable	příjemný
agreed	souhlasil
agreeing	souhlasím
agreement	dohoda
agressive	NO TRANSLATION
agricultural	zemědělský
agriculture	zemědělství
aground	na mělčině
agua	NO TRANSLATION
ahead	vpřed
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoj
aid	pomoc
aide	pomocník
aiding	pomoc
aids	AIDS
ail	ail
ailing	arogantní
ailment	indispozice
aim	cíl
aimless	bezcílný
air	vzduch
airbag	airbag
airborne	vzduchem
aircraft	letadlo
aircraft carrier	letadlová loď
airfield	letiště
airhead	airhead
airlift	airlift
airline	letecká linka
airliner	letadlo
airlock	vzduchový uzávěr
airman	letec
airplane	letoun
airport	letiště
airs	vzduchu
airship	vzducholoď
airspace	vzdušný prostor
airspeed	vzdušnou rychlostí
airstrip	přistávací dráha
airtight	vzduchotěsný
airway	dýchacích cest
aisle	ulička
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	podobný
alabaster	alabastr
alarm	poplach
alarm clock	budík
alarmed	znepokojen
alarming	alarmující
alas	Běda
alb	NO TRANSLATION
albatross	albatros
albino	albín
album	album
alchemy	alchymie
alcohol	alkohol
alcoholic	alkoholik
alcoholism	alkoholismus
alcove	výklenek
alderman	radní
ale	NO TRANSLATION
alert	upozornění
alertness	ostražitost
alerts	upozornění
alfalfa	vojtěška
algebra	algebra
algebraic	algebraický
algorithm	algoritmus
alias	alias
alibi	alibi
alien	mimozemšťan
alienate	odcizit
alienated	odcizený
alienation	odcizení
alight	vystoupit
align	zarovnat
aligned	zarovnaný
alignment	zarovnání
alike	podobně
alimentation	NO TRANSLATION
alimony	výživné
aliquot	alikvotní
alive	naživu
alkali	alkálie
alkaloids	alkaloidy
allay	zmírnit
allegation	tvrzení
allege	tvrdí
alleged	tvrdí
allegiance	věrnost
allegorical	alegorický
allegory	alegorie
allegro	allegro
allergic	alergický
allergy	alergie
alleviate	zmírnit
alleviation	zmírnění
alley	alej
alleyway	ulička
alliance	aliance
allied	spojenectví
alligator	aligátor
allocate	přidělit
allocation	přidělení
allot	přidělovat
allotment	přidělování
allow	dovolit
allowable	přípustné
allowance	příspěvek
allowed	povoleno
alloy	slitina
allsmiles	NO TRANSLATION
allure	lákat
alluring	lákavé
allusion	narážka
alluvial	aluviální
ally	spojenec
almanac	almanach
almighty	všemohoucí
almond	mandle
aloft	nahoře
aloha	aloha
alone	sama
alongside	vedle
aloof	rezervovaný
aloud	nahlas
alpha	alfa
alphabet	abeceda
alphabetical	abecední
alpine	vysokohorský
alreadyyyyy	NO TRANSLATION
altar	oltář
altar boy	oltářní chlapec
alter	změnit
alteration	změna
altercation	hádka
altered	změněn
alternate	střídat
alternating	střídání
alternative	alternativní
altimeter	výškoměr
altitude	nadmořská výška
alto	alt
altogether	celkem
aluminum	hliník
alumnus	absolvent
alveolar	alveolární
alzheimers	NO TRANSLATION
amalgam	amalgám
amalgamation	sloučení
amaretto	amaretto
amass	hromadit
amateur	amatér
amaze	ohromit
amazed	ohromen
amazedness	úžas
amazement	ohromení
amazing	úžasný
amazingly	úžasně
ambassador	velvyslanec
amber	jantar
ambience	prostředí
ambient	okolní
ambiguity	dvojznačnost
ambiguous	dvojznačný
ambit	ambit
ambition	ctižádost
ambitious	ambiciózní
ambivalent	ambivalentní
ambrosia	ambrózie
ambulance	záchranná služba
ambush	záloha
ameliorate	zlepšit
amen	Amen
amenable	přizpůsobitelné
amend	pozměnit
amendment	pozměňovací návrh
amends	mění
amenity	S vybavením
amethyst	ametyst
amiable	přívětivý
amicable	přátelské
amid	uprostřed
amidst	uprostřed
amino	amino
ammo	munice
ammonia	amoniak
ammonium	amonia
ammunition	munice
amnesia	amnézie
amnesty	amnestie
amorous	zamilovaný
amorphous	amorfní
amortization	amortizace
amount	množství
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetaminy
amphibian	obojživelník
amphibious	obojživelný
amphitheater	amfiteátr
ample	dostatek
amplification	zesílení
amplify	zesilovat
amplitude	amplituda
amply	bohatě
amputate	amputovat
amputation	amputace
amuck	amuck
amulet	amulet
amuse	bavit
amused	pobavený
amusement	zábavu
amusing	zábavný
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestézie
anaesthetic	anestetikum
anagram	anagram
anal	anální
analgesic	analgetika
analogous	analogický
analogue	analog
analogy	analogie
analysis	analýza
analyst	analytik
analytic	analytický
analytical	analytická
analyze	analyzovat
analyzer	analyzátoru
anaphylactic	anafylaktické
anarchism	anarchismus
anarchist	anarchista
anarchy	anarchie
anastomosis	anastomóza
anathema	anathema
anatomic	anatomický
anatomy	anatomie
ancestor	předek
ancestral	ancestrální
ancestry	původ
anchor	Kotva
anchorage	kotviště
ancient	starověký
ancillary	vedlejší
androgen	androgen
android	android
anecdote	anekdota
anemia	anémie
anemic	anemický
anemone	sasanka
anesthesia	anestézie
anesthesiologist	anesteziologa
anesthetic	anestetikum
aneurysm	aneuryzma
anew	znovu
angel	anděl
angelic	andělský
anger	hněv
angered	hněv
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografie
angle	úhel
angling	rybaření
angora	angora
angriest	Nejsilnější
angry	rozzlobený
angrytweet	NO TRANSLATION
angst	úzkost
anguish	úzkost
anguished	strach
angular	úhlové
anhydrous	bezvodý
animal	zvíře
animate	animovat
animated	animovaný
animation	animace
animosity	nepřátelství
animus	animus
ankle	kotník
anklet	anklet
annals	anály
annex	Příloha
annexation	anexe
annexe	NO TRANSLATION
annihilate	zničit
annihilated	zničeno
annihilation	zničení
anniversary	výročí
annotate	opatřit poznámkami
annotation	anotace
announce	oznámit
announcement	oznámení
announcer	hlasatel
annoy	otravovat
annoyance	nepříjemnost
annoyed	naštvaný
annoyin	NO TRANSLATION
annoying	nepříjemný
annoys	otravuje
annual	roční
annuity	anuita
annul	zrušit
annular	prstencovité
annulment	zrušení
annulus	prstenec
anointed	pomazán
anointing	pomazání
anomalous	anomální
anomaly	anomálie
anon	anon
anonymity	anonymita
anonymous	anonymní
anorexic	anorektický
answer	Odpovědět
answerable	odpovědný
answering	odpovědi
ant	mravenec
antagonism	antagonismus
antagonist	antagonista
antagonistic	antagonistický
antagonize	znepřátelit si
ante	NO TRANSLATION
antecedent	předchůdce
antelope	antilopa
antenna	anténa
anterior	přední
anthem	hymna
anthill	mraveniště
anthology	antologie
anthrax	antrax
anthropological	antropologické
anthropologist	antropolog
anthropology	antropologie
anti	proti
antiaircraft	protiletadlové
antibiotic	antibiotikum
antibiotics	antibiotika
antichrist	antikrist
anticipate	předvídat
anticipation	očekávání
anticipatory	předběžně
antics	dovádění
antidote	protijed
antifungal	antifungální
antigravity	antigravitace
antimony	antimon
antipathy	antipatie
antiquarian	starožitný
antiquated	zastaralý
antique	starožitné
antiques	starožitnosti
antiquity	starověk
antiseptic	antiseptický
antisocial	antisociální
antithesis	protiklad
antithetical	protikladný
antiviral	antivirotika
antler	paroh
antsy	nervózní
anus	řitní otvor
anvil	kovadlina
anxiety	úzkost
anxietyattack	NO TRANSLATION
anxious	úzkost
anxiousness	úzkost
anytime	kdykoliv
aorta	aorta
aortic	aortální
apace	pomalu
apache	apache
apartment	byt
apartments	bytů
apathetic	apatický
apathy	apatie
ape	opice
aperture	clona
apex	vrchol
aphid	mšice
aphrodisiac	afrodiziakální
apiece	kus
aplomb	aplomb
apocalypse	apokalypsa
apocalyptic	apokalyptický
apologetic	omluvný
apologist	apologist
apologize	omlouvat se
apology	omluva
apostasy	odpadnutí
apostate	odpadlík
apostle	apoštol
apostolic	apoštolský
apostrophe	apostrof
apothecary	lékárník
appalled	zděšený
appalling	děsivé
apparatus	zařízení
apparel	oděv
apparent	zdánlivý
apparently	podle všeho
apparition	zjevení
appeal	odvolání
appear	objevit
appearance	vzhled
appease	uklidnit
appellant	navrhovatelka
append	připojit
appendage	přívěsek
appendectomy	appendectomy
appendicitis	apendicitida
appendix	slepé střevo
appetite	chuť
appetizer	předkrm
appetizing	chutný
applaud	tleskat
applause	potlesk
apple	jablko
apple juice	jablečný džus
applejack	applejack
applesauce	applesauce
appliance	spotřebič
appliances	spotřebiče
applicability	použitelnosti
applicable	použitelný
applicant	žadatel
application	aplikace
apply	aplikovat
appoint	jmenovat
appointment	jmenování
appointments	schůzky
apportion	rozdělit
apportionment	rozdělení
appraisal	posouzení
appraise	hodnotit
appreciable	znatelný
appreciate	cenit si
appreciated	ocenil
appreciates	oceňuje
appreciation	uznání
appreciative	uznalý
apprehend	zatknout
apprehension	obava
apprehensive	obavný
apprentice	učeň
apprenticeship	učební obor
approach	přístup
approaching	blížící se
approbate	NO TRANSLATION
approbation	schválení
appropriate	odpovídající
appropriation	prostředků
approval	odsouhlasení
approve	Schválit
approved	schválený
approvement	schvalování
approving	schvalování
approximate	přibližný
approximately	přibližně
approximating	přiblížení
approximation	přiblížení
appurtenances	příslušenství
apricot	meruňka
apron	zástěra
apt	apt
aptitude	nadání
aqua	aqua
aquamarine	akvamarín
aquarium	akvárium
aquatic	vodní
aqueduct	akvadukt
aqueous	vodné
arable	orný
arbiter	rozhodce
arbitrary	libovolný
arbitrate	rozsuzovat
arbitration	arbitráž
arbitrator	rozhodce
arbor	altán
arc	oblouk
arcade	pasáž
arcane	arcane
arch	oblouk
archaeological	archeologický
archaeologist	archeolog
archaeology	archeologie
archaic	archaický
archangel	archanděl
archbishop	arcibiskup
archdiocese	arcidiecéze
archduke	arcivévoda
arched	klenutý
archer	lukostřelec
archery	lukostřelba
archetype	archetyp
archipelago	souostroví
architect	architekt
architectural	architektonický
architecture	architektura
archive	archiv
arctic	arktický
ardent	vroucí
ardor	zanícení
arduous	náročný
area	plocha
arena	aréna
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	dohadovat se
argument	argument
argumentation	argumentace
argumentative	argumentační
arguments	argumenty
arid	arid
arise	vzniknout
aristocracy	aristokracie
aristocrat	aristokrat
aristocratic	aristokratický
arithmetic	aritmetický
ark	archa
arm	paže
armada	armáda
armament	vyzbrojení
armaments	zbraně
armature	armaturu
armchair	křeslo
armed	ozbrojený
armor	brnění
armored	obrněný
armory	zbrojnice
armpit	podpaží
arms	zbraně
army	armáda
aroma	aroma
aromatherapy	aromaterapie
arousal	vzrušení
arouse	vzbudit
aroused	vzrušený
arraignment	obvinění
arrange	uspořádat
arranged	uspořádány
arrangement	uspořádání
array	pole
arrears	nedoplatky
arrest	zatknout
arrhythmia	arytmie
arrival	příchod
arrive	přijet
arrogance	arogance
arrogant	arogantní
arrow	šipka
arsehole	arsehole
arseholes	břidlice
arsenal	arzenál
arsenic	arsen
arson	žhářství
arsonist	žhář
art	umění
arterial	arteriální
artery	tepna
artful	skvostný
arthritis	artritida
arthropod	článkonožce
artichoke	artyčok
article	článek
articles	články
articulate	artikulovat
articulation	artikulace
artifact	artefakt
artifice	rafinovanost
artificial	umělý
artillery	dělostřelectvo
artisan	řemeslník
artist	umělec
artiste	NO TRANSLATION
artistic	umělecký
artistry	umění
artists	umělců
artwork	umělecká díla
arty	bohémský
asap	co nejdříve
asbestos	azbest
ascend	zlézt
ascendancy	nadvláda
ascendant	stoupající
ascending	vzestupně
ascension	vzestup
ascent	výstup
ascertain	zjistit
ascertained	zjištěno
ascetic	asketický
ash	popel
ashamed	zahanbený
ashes	popel
ashtray	popelník
asinine	asinine
ask	dotázat se
asleeep	NO TRANSLATION
asleep	spící
asp	asp
asparagus	chřest
aspartame	aspartam
aspect	aspekt
aspects	aspekty
aspen	osika
asphalt	asfalt
asphyxia	asfyxie
asphyxiation	zadušení
aspiration	aspirace
aspire	usilovat
aspirin	aspirin
aspiring	aspirující
ass	osel
assail	útok
assailant	útočník
assassin	vrah
assassinate	zavraždit
assassination	atentát
assault	útok
assay	testu
assemblage	shromáždění
assemble	shromáždit
assembled	sestaven
assembly	shromáždění
assemblyman	montážní pracovník
assent	souhlas
assert	tvrdí
asserting	tvrzení
assertion	tvrzení
assertive	asertivní
assess	posoudit
assessment	Posouzení
assessor	hodnotitel
asset	aktivum
assets	aktiva
asshole	kretén
assign	přiřadit
assignee	nájemce
assignment	úkol
assimilate	asimilovat
assimilation	asimilace
assist	pomoci
assistance	pomoc
assistant	asistent
associate	spolupracovník
association	sdružení
assorted	roztříděný
assortment	sortiment
assuage	utišit
assume	převzít
assumed	předpokládaný
assuming	za předpokladu
assumption	předpoklad
assurance	ujištění
assure	ujistit
assured	jistě
assuredly	jistě
asterisk	hvězdička
asteroid	asteroid
asteroids	asteroidy
asthma	astma
asthmatic	astmatický
astigmatism	astigmatismus
astonish	udivit
astonished	překvapen
astonishing	udivující
astonishingly	NO TRANSLATION
astonishment	údiv
astound	ohromit
astral	astrální
astray	zbloudilý
astringent	svíravý
astrologer	astrolog
astrology	astrologie
astronaut	astronaut
astronomer	astronom
astronomical	astronomický
astronomy	astronomie
astute	rafinovaný
asunder	asunder
asylum	azyl
asymmetric	asymetrický
asymmetry	asymetrie
asymptotic	asymptotické
atelier	ateliér
atheism	ateismus
atheist	ateista
atheistic	ateistický
atherosclerosis	ateroskleróza
athlete	sportovec
athletic	atletický
athleticism	atletika
athletics	atletika
atlas	atlas
atmosphere	atmosféra
atmospheric	atmosférický
atoll	atol
atom	atom
atomic	atomový
atone	bezvýhradně
atonement	smíření
atpeace	v míru
atrium	atrium
atrocious	krutý
atrocity	krutost
atrophy	atrofie
attach	připojit
attached	připojený
attachment	příloha
attack	Záchvat
attacker	útočník
attacking	útočí
attain	dosáhnout
attainable	dosažitelný
attainment	dosažení
attempt	pokus
attempted	pokusil
attend	zúčastnit se
attendance	účast
attendant	obsluha
attention	Pozor
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pozorný
attenuate	tlumí
attenuated	oslabené
attenuation	útlum
attest	potvrzení
attestation	atestace
attic	podkroví
attire	oděv
attitude	přístup
attorney	advokát
attract	přilákat
attraction	atrakce
attractive	přitažlivý
attractiveness	atraktivita
attributable	přisuzovatelné
attribute	atribut
attribution	přiřazení
attrition	otěr
auburn	auburn
auction	aukce
auctioneer	dražitel
audacious	odvážný
audacity	drzost
audible	slyšitelný
audience	publikum
audio	Zvuk
audit	audit
audition	konkurs
auditions	audiích
auditor	auditor
auditorium	hlediště
auditory	sluchový
aught	ačkoli
augment	rozšířit
augmentation	rozšíření
august	srpen
aunt	teta
auntie	tetička
aura	aura
aurora	aurora
auspices	záštitou
auspicious	příznivý
austere	strohý
austerity	přísnost
authentic	autentický
authenticate	ověřit
authentication	ověření
authenticity	pravost
author	autor
authoritative	autoritativní
authority	pravomocí
authorization	oprávnění
authorize	povolit
authorized	autorizovaný
authorship	autorství
autism	autismus
autistic	autistický
auto	auto
autobiographical	autobiografické
autobiography	autobiografie
autocorrect	autokorekce
autocratic	autokratický
autograph	autogram
autographed	podepsáno
automated	Automatizovaný
automatic	automatický
automobile	automobil
automotive	automobilový průmysl
autonomy	autonomie
autopilot	autopilot
autopsy	pitva
autumn	podzim
auxiliary	pomocný
avail	využít
availability	dostupnost
available	dostupný
avalanche	lavina
avarice	lakota
avatar	avatar
avenge	pomstít
avenger	mstitel
avenging	pomsta
avenue	avenue
aver	NO TRANSLATION
average	průměrný
aversation	aversace
averse	odmítavý
averseness	averseness
aversion	averze
avert	odvrátit
aviary	voliéra
aviation	letectví
aviator	letec
avid	zanícený
avocado	avokádo
avoid	vyhýbat se
avoidance	vyhýbání se
avoiding	vyhnout se
await	čekat
awake	probudit
awaken	probudit
awakening	probuzení
award	cena
awards	ocenění
aware	vědomě
awareness	povědomí
awe	NO TRANSLATION
awed	nadějný
awesome	skvělý
awesomeness	Úžasnost
awestruck	strašidelný
awful	hrozný
awkward	nepříjemné
awkwardness	trapnost
awning	markýza
awry	nakřivo
axe	sekera
axial	axiální
axiom	axiom
axiomatic	axiomatický
axis	osa
axle	náprava
ay	ay
aye	ano
azimuth	azimut
azure	blankyt
babble	blábolit
babbling	blábolení
babe	kotě
baboon	pavián
baby	dítě
babysit	hlídat dítě
babysitter	domácí opatrovnice dětí
baccalaureate	bakalaureát
baccarat	baccarat
bachelor	bakalářský
bachelorette	bachelorette
back	zadní
backboard	paluby
backbone	páteř
backdoor	zadní dveře
backdrop	pozadí
backer	backer
backfire	selhat
backgammon	vrhcáby
background	Pozadí
backhand	backhand
backhoe	rýpadlo-nakladač
backoff	backoff
backpack	batoh
backpacker	batůžkář
backroom	backroom
backseat	zadní sedadlo
backside	zadní strana
backtrack	backtrack
backup	zálohování
backward	zpětně
backwardness	zaostalost
backwards	dozadu
backwater	backwater
backwoods	backwoods
backyard	dvorek
bacon	slanina
bacteria	bakterie
bacterial	bakteriální
bacterium	bakterie
bad	špatný
badass	drsňák
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	odznak
badger	jezevec
badhabit	NO TRANSLATION
badly	špatně
badness	špatnost
baffle	přepážka
baffled	zmatený
bag	Taška
bagel	bagel
baggage	zavazadla
baggie	baggie
baggy	vydutý
bagman	bagman
bagpipes	dudy
bail	kauce
bailiff	soudní vykonavatel
bait	návnada
bake	upéct
bakery	pekařství
baking	pečení
bal	NO TRANSLATION
balance	Zůstatek
balanced	vyrovnaný
balcony	balkón
bald	plešatý
balding	plešatění
baldy	baldy
bale	žok
balk	balk
ball	míč
ballad	balada
ballast	zátěž
ballerina	balerína
ballet	balet
ballgame	Míčová hra
ballistic	balistický
ballistics	balistika
balloon	balón
ballot	hlasování
ballpark	hřiště
ballplayer	ballplayer
ballpoint	propiska
ballroom	taneční sál
ballsy	ballsy
balm	balzám
balmy	konejšivý
balsam	balzám
balsamic	balsamic
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banán
band	kapela
bandage	obvaz
bandanna	NO TRANSLATION
bandit	bandita
bandstand	bandstand
bandwagon	vůz s kapelou
bandwidth	šířka pásma
bane	prokletí
bang	bang
banger	petarda
banish	vyhánět
banished	vyhnáno
banishment	vyhnanství
banister	sloupek
banjo	bendžo
bank	banka
banker	bankéř
banking	bankovní
bankroll	bankroll
bankrupt	bankrot
bankruptcy	bankrot
banner	prapor
banquet	hostina
banshee	banshee
banter	škádlení
banzai	NO TRANSLATION
baptism	křest
baptismal	křestní
baptize	křtít
bar	bar
barb	ozub
barbarian	barbar
barbaric	barbarský
barbarism	barbarství
barbecue	grilování
barbed	ostnatý
barber	holič
barbershop	holič
barbie doll	panenka Barbie
bard	bard
bare	holý
bareback	bez sedla
barefoot	naboso
barely	sotva
barf	barf
bargain	smlouvat
bargaining	vyjednávání
barge	bárka
baritone	baryton
barium	baryum
bark	kůra
barkeep	barkeep
barks	štěká
barley	ječmen
barmaid	barmanka
barman	barman
barn	stodola
barnacle	barnacle
barney	barney
barnyard	barnyard
barometer	barometr
baron	baron
baroness	baronka
baroque	barokní
barrack	pokřikovat
barracuda	barakuda
barrage	příval
barred	zakázáno
barrel	hlaveň
barren	neplodná
barricade	barikáda
barrier	bariéra
barring	blokování
barrister	advokát
barroom	barová místnost
barrow	kolečko
bartender	barman
barter	výměnný obchod
base	báze
baseball	baseball
baseball bat	baseballovou pálkou
baseboard	základní deska
baseless	neopodstatněný
baseline	výchozí
baseman	baseman
basement	suterén
bases	základy
bash	bash
bashful	stydlivý
basic	základní
basics	základy
basil	bazalka
basilica	bazilika
basin	povodí
basis	základ
bask	vyhřívat se
basket	košík
basketball	Basketball
bass	bas
bass guitar	baskytara
basso	NO TRANSLATION
bassoon	fagot
bastard	bastard
bastarding	bastardování
bastards	bastardy
bastion	bašta
bat	netopýr
batch	dávka
batching	dávkování
bate	NO TRANSLATION
bath	koupel
bathe	koupat se
bathhouse	lázně
bathing	koupání
bathrobe	župan
bathroom	koupelna
bathtub	vana
bathymetry	batymetrie
baton	obušek
battalion	praporu
batter	těsto
battered	otlučený
battering	bičování
battery	baterie
battle	bitva
battled	bojoval
battlefield	bojiště
battleground	bitevní pole
battlements	cimbuří
battleship	bitevní loď
batty	praštěný
bauble	cetka
bawdy	oplzlý
bawl	řvát
bay	záliv
bayonet	bajonet
bayou	bayou
