Word	el
additional	πρόσθετος
additive	πρόσθετος
address	διεύθυνση
addressee	αποδέκτης
addresses	διευθύνσεις
adept	έμπειρος
adequacy	επάρκεια
adequate	επαρκής
adhere	εμμένω
adherence	προσκόλληση
adherent	οπαδός
adhering	προσκολλημένος
adhesion	προσκόλληση
adhesive	συγκολλητικός
adieu	adieu
adipose	λιπώδης
adjacency	γειτνίαση
adjacent	γειτονικός
adjective	επίθετο
adjoining	γειτονικά
adjourn	διακόπτω
adjournment	αναβολή
adjudicate	επιδικάζω
adjudication	επιδίκαση
adjunct	παρεπόμενο
adjust	προσαρμόζω
adjuster	ρυθμιστής
adjustment	προσαρμογή
adjuvant	ανοσοενισχυτικό
admin	διαχειριστής
administer	διαχειρίζομαι
administration	διαχείριση
administrative	διοικητικός
administrator	διαχειριστής
admirable	θαυμαστός
admiral	ναύαρχος
admiralty	ναυαρχείο
admiration	θαυμασμός
admire	θαυμάζω
admired	θαυμάζατε
admirer	θαυμαστής
admiring	θαυμάζοντας
admissibility	δυνατότητα παραδοχής
admissible	αποδεκτός
admission	άδεια
admit	ομολογώ
admittance	είσοδος
admitted	παράδεκτος
admitting	παραδέχεται
admixture	μίγμα
admonition	νουθεσία
ado	φασαρία
adobe	πλίθα
adolescence	εφηβική ηλικία
adolescent	έφηβος
adopt	ενστερνίζομαι
adoption	υιοθεσία
adoptive	θετός
adorable	λατρευτός
adoration	λατρεία
adore	λατρεύω
adoring	γεμάτος λατρείας
adorn	στολίζω
adornment	στολίδι
adrenalin	αδρεναλίνη
adrenaline	αδρεναλίνη
adrift	ανεμοδαρμένος
adult	ενήλικας
adulterated	νοθευμένα
adulterer	μοιχός
adultery	μοιχεία
adulthood	ενηλικιότητα
advance	προκαταβολή
advanced	προχωρημένος
advancement	προαγωγή
advancing	προχωρώντας
advantage	πλεονέκτημα
advantageous	επωφελής
advent	έλευση
adventure	περιπέτεια
adventurer	τυχοδιώκτης
adventures	περιπέτειες
adventurous	παράτολμος
adversary	αντίπαλος
adverse	δυσμενής
adversity	αντιξοότητα
advertise	διαφημίζω
advertisement	διαφήμιση
advertising	διαφήμιση
adverts	διαφημίσεις
advice	συμβουλή
advisable	ορθός
advise	συμβουλεύω
advised	συνιστάται
advisement	μελέτη
adviser	σύμβουλος
advisor	σύμβουλος
advisory	συμβουλευτικός
advocacy	υπεράσπιση
advocate	συνήγορος
aegis	σκέπη
aeration	εξαερισμός
aerial	εναέριος
aerobics	είδος γυμναστικής
aerodrome	αεροδρόμιο
aerodynamic	αεροδυναμικός
aerodynamics	αεροδυναμική
aeronautics	αεροναυτική
aeroplane	αεροπλάνο
aerospace	αεροδιαστημικής
aesthetic	αισθητικός
aesthetics	αισθητική
aetiology	την αιτιολογία
afar	μακρυά
affable	καταδεκτικός
affair	υπόθεση
affect	επηρεάζουν
affecting	συγκινητικός
affection	στοργή
affectionate	στοργικός
affections	θλίψεις
affiche	NO TRANSLATION
affidavit	Ένορκη βεβαίωση
affiliated	συνδεδεμένη
affiliation	δεσμός
affinity	συγγένεια
affirm	επιβεβαιώνουμε
affirmation	επιβεβαίωση
affirmative	καταφατικός
affirmatively	καταφατικά
affix	πρόσφυμα
afflict	βασανίζω
afflicted	θρησκεία
affliction	θλίψη
affluence	αφθονία
affluent	άφθονος
afford	ΟΙΚΟΝΟΜΙΚΗ δυνατοτητα
affordable	προμηθευτός
affront	προσβολή
affronted	επιδεινωθεί
afield	εις τους αγρούς
afire	μια πυρκαγιά
afloat	επιπλέων
afore	προ
aforementioned	προαναφερθείς
aforesaid	προλεχθείς
afraid	φοβισμένος
afresh	εκ νέου
african	αφρικανός
aft	πίσω
afterlife	μετά θάνατον ζωή
aftermath	συνέπεια
afternoon	απόγευμα
aftershave	aftershave
aftertaste	επίγευση
afterthought	δεύτερη σκέψη
aga	NO TRANSLATION
agape	με ανοικτό στόμα
agate	αχάτης λίθος
age	ηλικία
aged	ηλικιωμένος
agency	πρακτορείο
agenda	ημερήσια διάταξη
agent	μέσο
agglomeration	συσσώρευση
aggravate	επιδείνω
aggravated	επιδεινωθεί
aggravates	επιδεινώνει
aggravating	επιδεινώνοντας
aggravation	επιδείνωση
aggregate	σύνολο
aggregation	συσσωμάτωση
aggresive	NO TRANSLATION
aggression	επίθεση
aggressive	επιθετικός
aggressively	επιθετικά
aggressiveness	επιθετικότητα
aggressor	επιδρομέας
agh	agh
aghast	εμβρόντητος
aghhh	NO TRANSLATION
agile	ευκίνητος
agility	ευκινησία
aging	γηράσκων
agitate	ταράζω
agitated	ταραγμένος
agitation	ανακίνηση
aglow	φλογερός
agnostic	αγνωστικιστής
ago	πριν
agonizing	αγωνιώδης
agony	αγωνία
agoraphobia	αγοραφοβία
agree	συμφωνώ
agreeable	ευχάριστος
agreed	σύμφωνος
agreeing	συμφωνώ
agreement	συμφωνία
agressive	NO TRANSLATION
agricultural	γεωργικός
agriculture	γεωργία
aground	καθισμένος
agua	NO TRANSLATION
ahead	εμπρός
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	αχόι
aid	βοήθεια
aide	βοηθός
aiding	βοηθώντας
aids	ενισχύσεις
ail	πονώ
ailing	ασθενής
ailment	ασθένεια
aim	σκοπός
aimless	άσκοπος
air	αέρας
airbag	αερόσακος
airborne	αερομεταφερόμενα
aircraft	αεροσκάφος
aircraft carrier	αεροπλανοφόρο
airfield	αεροδρόμιο
airhead	airhead
airlift	αερογέφυρα
airline	αερογραμμή
airliner	αεροπλάνο γραμμής
airlock	airlock
airman	αεροπόρος
airplane	αεροπλάνο
airport	αεροδρόμιο
airs	αέρα
airship	αεροσκάφος
airspace	εναέριο χώρο
airspeed	airspeed
airstrip	διάδρομος προσγειώσεως
airtight	αεροστεγής
airway	αεροπορική γραμμή
aisle	διάδρομος
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	συγγενής
alabaster	αλαβάστρο
alarm	τρομάζω
alarm clock	ξυπνητηρι
alarmed	ανησυχεί
alarming	ανησυχητικός
alas	Αλίμονο
alb	NO TRANSLATION
albatross	αλμπατρός
albino	λευκίτης
album	άλμπουμ
alchemy	αλχημεία
alcohol	αλκοόλ
alcoholic	αλκοολικός
alcoholism	αλκοολισμός
alcove	εσοχή
alderman	δημοτικός σύμβουλος
ale	NO TRANSLATION
alert	συναγερμός
alertness	ετοιμότητα
alerts	ειδοποιήσεις
alfalfa	αλφάλφα
algebra	άλγεβρα
algebraic	αλγεβρικός
algorithm	αλγόριθμος
alias	ψευδώνυμο
alibi	άλλοθι
alien	εξωγήινο
alienate	απαλλοτριώ
alienated	αποξενωμένος
alienation	αποξένωση
alight	αναμμένος
align	ευθυγραμμίζω
aligned	ευθυγραμμισμένος
alignment	ευθυγραμμία
alike	ομοίως
alimentation	NO TRANSLATION
alimony	επίδομα διατροφής
aliquot	ομαλός διαιρέτης
alive	ζωντανός
alkali	αλκαλίο
alkaloids	αλκαλοειδή
allay	ανακουφίζω
allegation	ισχυρισμός
allege	ισχυρίζομαι
alleged	υποτιθεμένος
allegiance	υποταγή
allegorical	αλληγορικός
allegory	αλληγορία
allegro	γοργά
allergic	αλλεργικός
allergy	αλλεργία
alleviate	ανακουφίζω
alleviation	ανακούφιση
alley	δρομάκι
alleyway	διάδρομος
alliance	ΣΥΜΜΑΧΙΑ
allied	σύμμαχος
alligator	αλλιγάτορας
allocate	διανέμω
allocation	κατανομή
allot	απονέμω
allotment	κατανομή
allow	επιτρέπω
allowable	επιτρεπόμενος
allowance	επίδομα
allowed	επιτρέπεται
alloy	κράμα
allsmiles	NO TRANSLATION
allure	δελεάζω
alluring	δελεαστικός
allusion	νύξη
alluvial	αλλουβιακός
ally	σύμμαχος
almanac	ημερολόγιο
almighty	παντοδύναμος
almond	αμύγδαλο
aloft	ψηλά
aloha	aloha
alone	μόνος
alongside	παραλληλα
aloof	σε απόσταση
aloud	μεγαλόφωνως
alpha	άλφα
alphabet	αλφάβητο
alphabetical	αλφαβητικός
alpine	αλπικός
alreadyyyyy	ήδη
altar	Αγια ΤΡΑΠΕΖΑ
altar boy	αγόρι βωμού
alter	αλλάζω
alteration	μεταβολή
altercation	φιλονικία
altered	μεταβληθεί
alternate	εναλλακτικό
alternating	εναλλασσόμενος
alternative	εναλλακτική λύση
altimeter	υψόμετρο
altitude	υψόμετρο
alto	κοντράλτο
altogether	εντελώς
aluminum	αλουμίνιο
alumnus	τελειόφοιτος
alveolar	φατνιακός
alzheimers	NO TRANSLATION
amalgam	αμαλγάμα
amalgamation	συγχώνευση
amaretto	amaretto
amass	συσσωρεύω
amateur	ερασιτέχνης
amaze	καταπλήσσω
amazed	έκθαμβος
amazedness	NO TRANSLATION
amazement	έκπληξη
amazing	φοβερο
amazingly	καταπληκτικά
ambassador	πρεσβευτής
amber	κεχριμπάρι
ambience	ατμόσφαιρα
ambient	περιβάλλων
ambiguity	ασάφεια
ambiguous	ασαφής
ambit	περίγραμμα
ambition	φιλοδοξία
ambitious	φιλόδοξος
ambivalent	αντιμαχόμενος
ambrosia	αμβροσία
ambulance	ασθενοφόρο
ambush	ενέδρα
ameliorate	βελτιώνω
amen	Αμήν
amenable	υπαγόμενος
amend	τροποποιώ
amendment	τροπολογία
amends	αποζημίωση
amenity	φιλοφροσύνη
amethyst	αμέθυστος
amiable	ευγενικός
amicable	φιλικός
amid	εν μέσω
amidst	ενδιάμεσα
amino	αμινο
ammo	πυρομαχικά
ammonia	αμμωνία
ammonium	αμμώνιο
ammunition	πυρομαχικά
amnesia	αμνησία
amnesty	αμνηστία
amorous	ερωτευμένος
amorphous	άμορφος
amortization	χρεολυσία
amount	ποσό
amour	NO TRANSLATION
amp	αμπέραζ
ampersand	ampersand
amphetamines	αμφεταμίνες
amphibian	αμφίβιο
amphibious	αμφίβιος
amphitheater	αμφιθέατρο
ample	επαρκής
amplification	ενίσχυση
amplify	ενίσχυση
amplitude	εύρος
amply	άφθονα
amputate	ακρωτηριάζω
amputation	ακρωτηριασμός
amuck	αμόκ
amulet	φυλακτό
amuse	διασκεδάζω
amused	διασκέδασε
amusement	διασκέδαση
amusing	διασκεδαστικός
ana	NO TRANSLATION
anaconda	ανακόνδας
anaesthesia	αναισθησία
anaesthetic	αναισθητικό
anagram	ανάγραμμα
anal	πρωκτικός
analgesic	αναλγητικό
analogous	ανάλογος
analogue	αναλογική
analogy	αναλογία
analysis	ανάλυση
analyst	αναλυτής
analytic	αναλυτικός
analytical	αναλυτικός
analyze	αναλύει
analyzer	αναλυτής
anaphylactic	αναφυλακτικό
anarchism	αναρχισμός
anarchist	αναρχικός
anarchy	αναρχία
anastomosis	αναστόμωση
anathema	ανάθεμα
anatomic	ανατομικός
anatomy	ανατομία
ancestor	πρόγονος
ancestral	προγονικός
ancestry	καταγωγή
anchor	άγκυρα
anchorage	αγκυροβόλιο
ancient	αρχαίος
ancillary	βοηθητικός
androgen	ανδρογόνο
android	Android
anecdote	ανέκδοτο
anemia	αναιμία
anemic	αναιμικός
anemone	ανεμώνη
anesthesia	αναισθησία
anesthesiologist	αναισθησιολόγος
anesthetic	αναισθητικό
aneurysm	ανεύρυσμα
anew	ένα νέο
angel	άγγελος
angelic	αγγελικός
anger	θυμός
angered	εξοργισμένοι
angermanagement	NO TRANSLATION
angina	κυνάγχη
angiogram	αγγειογράφημα
angiography	αγγειογραφία
angle	γωνία
angling	αγκιστεία
angora	αγγόρα
angriest	θυμωμένος
angry	θυμωμένος
angrytweet	NO TRANSLATION
angst	άγχος
anguish	αγωνία
anguished	αγωνία
angular	γωνιώδης
anhydrous	άνυδρος
animal	ζώο
animate	έμψυχος
animated	κινούμενα
animation	κινουμένων σχεδίων
animosity	έχθρα
animus	σκοπός
ankle	αστράγαλος
anklet	κόσμημα του αστράγαλου
annals	χρονικά
annex	παράρτημα
annexation	προσάρτηση
annexe	NO TRANSLATION
annihilate	εκμηδενίζω
annihilated	εξολοθρεύεται
annihilation	εκμηδένιση
anniversary	επέτειος
annotate	σχολιάζω
annotation	σχόλιο
announce	ανακοινώνω
announcement	ανακοίνωση
announcer	αναγγέλων
annoy	ενοχλώ
annoyance	ενόχληση
annoyed	ενοχλημένος
annoyin	NO TRANSLATION
annoying	ενοχλητικός
annoys	ενοχλήσεις
annual	ετήσιος
annuity	πρόσοδος
annul	ακυρώνω
annular	δακτυλιοειδής
annulment	ακύρωση
annulus	στεφάνη
anointed	χρισμένος
anointing	χρίση
anomalous	ανώμαλος
anomaly	ανωμαλία
anon	εντός ολίγου
anonymity	ανωνυμία
anonymous	Ανώνυμος
anorexic	ανορεξικό
answer	απάντηση
answerable	υπόλογος
answering	απαντώντας
ant	μυρμήγκι
antagonism	ανταγωνισμός
antagonist	ανταγωνιστής
antagonistic	ανταγωνιστικός
antagonize	ανταγωνίζομαι
ante	NO TRANSLATION
antecedent	προηγούμενος
antelope	αντιλόπη
antenna	κεραία
anterior	προηγούμενος
anthem	ύμνος
anthill	μυρμηγκοφωλιά
anthology	ανθολογία
anthrax	άνθρακας
anthropological	ανθρωπολογικά
anthropologist	ανθρωπολόγος
anthropology	ανθρωπολογία
anti	αντι
antiaircraft	αντιαεροπορικός
antibiotic	αντιβιοτικό
antibiotics	αντιβιοτικά
antichrist	αντίχριστος
anticipate	προσδοκώ
anticipation	προσμονή
anticipatory	προνοητικός
antics	αστείο
antidote	αντίδοτο
antifungal	αντιμυκητιασικά
antigravity	αντιβαρύτητα
antimony	αντιμόνιο
antipathy	αντιπάθεια
antiquarian	αρχαιολόγος
antiquated	απηρχαιωμένος
antique	αντίκα
antiques	αντίκες
antiquity	αρχαιότητα
antiseptic	αντισηπτικό
antisocial	αντικοινωνικός
antithesis	αντίθεση
antithetical	αντιθετική
antiviral	αντιικό
antler	κέρας ελαφιού
antsy	antsy
anus	πρωκτός
anvil	αμόνι
anxiety	ανησυχία
anxietyattack	NO TRANSLATION
anxious	ανήσυχος
anxiousness	άγχος
anytime	οποτεδήποτε
aorta	αόρτη
aortic	αορτικός
apace	γρήγορα
apache	απάχης
apartment	διαμέρισμα
apartments	διαμερίσματα
apathetic	απαθής
apathy	απάθεια
ape	πίθηκος
aperture	άνοιγμα
apex	κορυφή
aphid	ψείρα των φυτών
aphrodisiac	αφροδισιακό
apiece	ένα κομμάτι
aplomb	ψυχραιμία
apocalypse	αποκάλυψη
apocalyptic	αποκαλυπτικό
apologetic	απολογητικός
apologist	απολογητής
apologize	Απολογούμαι
apology	απολογία
apostasy	αποστασία
apostate	αποστάτης
apostle	απόστολος
apostolic	αποστολικός
apostrophe	απόστροφος
apothecary	φαρμακοποιός
appalled	τρομαγμένος
appalling	τρομακτικός
apparatus	συσκευή
apparel	ενδύματα
apparent	εμφανής
apparently	προφανώς
apparition	εμφάνιση
appeal	έφεση
appear	εμφανίζομαι
appearance	εμφάνιση
appease	ξεθυμώνω
appellant	εφεσείων
append	προσαρτώ
appendage	προσάρτημα
appendectomy	εγχείρηση σκωλικοειδίτιδας
appendicitis	σκωληκοειδίτιδα
appendix	παράρτημα
appetite	όρεξη
appetizer	ορεκτικό
appetizing	ορεκτικός
applaud	χειροκροτώ
applause	χειροκροτήματα
apple	μήλο
apple juice	χυμός μήλου
applejack	οινόπνευμα μήλων
applesauce	πουρές μήλων
appliance	συσκευή
appliances	συσκευές
applicability	εφαρμοσιμότητα
applicable	εφαρμόσιμος
applicant	αιτών
application	εφαρμογή
apply	ισχύουν
appoint	διορίζω
appointment	ραντεβού
appointments	εφόδια
apportion	διανέμω αναλογώς
apportionment	καταμερισμός
appraisal	εκτίμηση
appraise	εκτιμώ
appreciable	υπολογίσιμος
appreciate	Εκτιμώ
appreciated	εκτιμωμένος
appreciates	εκτιμά
appreciation	εκτίμηση
appreciative	εκτιμητικός
apprehend	αντιλαμβάνομαι
apprehension	σύλληψη
apprehensive	φοβισμένος
apprentice	μαθητευόμενος
apprenticeship	μαθητεία
approach	πλησιάζω
approaching	πλησιάζοντας
approbate	NO TRANSLATION
approbation	επιδοκιμασία
appropriate	κατάλληλος
appropriation	οικειοποίηση
approval	έγκριση
approve	εγκρίνω
approved	εγκριθεί
approvement	έγκριση
approving	έγκριση
approximate	κατά προσέγγιση
approximately	κατά προσέγγιση
approximating	προσεγγίζοντας
approximation	προσέγγιση
appurtenances	εξαρτήματα
apricot	βερύκοκκο
apron	ποδιά
apt	κατάλληλος
aptitude	ικανότητα
aqua	aqua
aquamarine	ακουαμαρίνης
aquarium	ενυδρείο
aquatic	υδάτινος
aqueduct	υδραγωγείο
aqueous	υδαρής
arable	αρόσιμος
arbiter	διαιτητής
arbitrary	αυθαίρετος
arbitrate	κρίνω ως διαιτητής
arbitration	διαιτησία
arbitrator	διαιτητής
arbor	κληματαριά
arc	τόξο
arcade	στοά
arcane	αστείο
arch	αψίδα
archaeological	αρχαιολογικός
archaeologist	αρχαιολόγος
archaeology	αρχαιολογία
archaic	αρχαϊκός
archangel	αρχάγγελος
archbishop	αρχιεπίσκοπος
archdiocese	αρχιεπίσκοπη
archduke	αρχιδούκας
arched	τοξωτά
archer	τοξότης
archery	τοξοβολία
archetype	αρχέτυπο
archipelago	αρχιπέλαγος
architect	αρχιτέκτων
architectural	αρχιτεκτονικός
architecture	αρχιτεκτονική
archive	αρχείο
arctic	αρκτικός
ardent	διακαής
ardor	ζέση
arduous	επίπονος
area	περιοχή
arena	κονίστρα
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	λογομαχώ
argument	διαφωνία
argumentation	συζήτηση
argumentative	διαλεκτικός
arguments	επιχειρήματα
arid	ξερός
arise	σηκώνομαι
aristocracy	αριστοκρατία
aristocrat	αριστοκράτης
aristocratic	αριστοκρατικός
arithmetic	αριθμητική
ark	κιβωτός
arm	μπράτσο
armada	αρμάδα
armament	εξοπλισμός
armaments	εξοπλισμού
armature	οπλισμός
armchair	πολυθρόνα
armed	ένοπλος
armor	πανοπλία
armored	θωρακισμένος
armory	οπλοστάσιο
armpit	μασχάλη
arms	όπλα
army	στρατός
aroma	άρωμα
aromatherapy	αρωματοθεραπεία
arousal	εξέγερση
arouse	εξεγείρω
aroused	προκάλεσε
arraignment	κλήση
arrange	κανονίζω
arranged	διατεταγμένα
arrangement	συμφωνία
array	παράταξη
arrears	καθυστερούμενα
arrest	σύλληψη
arrhythmia	αρρυθμία
arrival	άφιξη
arrive	φθάνω
arrogance	αλαζονεία
arrogant	αλαζονικός
arrow	βέλος
arsehole	αρένα
arseholes	ανοιχτές τρύπες
arsenal	οπλοστάσιο
arsenic	αρσενικό
arson	εμπρησμός
arsonist	εμπρηστής
art	τέχνη
arterial	αρτηριακός
artery	αρτηρία
artful	πανούργος
arthritis	αρθρίτιδα
arthropod	αρθροπόδων
artichoke	αγκινάρα
article	άρθρο
articles	άρθρα
articulate	διατυπώσει
articulation	άρθρωσις
artifact	τεχνούργημα
artifice	τέχνασμα
artificial	τεχνητός
artillery	πυροβολικό
artisan	τεχνίτης
artist	καλλιτέχνης
artiste	NO TRANSLATION
artistic	καλλιτεχνικός
artistry	καλλιτεχνία
artists	καλλιτέχνες
artwork	έργα τέχνης
arty	αρτι
asap	αμέσως
asbestos	αμίαντο
ascend	αναβαίνω
ascendancy	υπεροχή
ascendant	κυρίαρχος
ascending	αύξουσα
ascension	ανάληψη
ascent	ανάβαση
ascertain	διαπιστώνω
ascertained	διαπιστώθηκε
ascetic	ασκητής
ash	φλαμουριά
ashamed	ντροπιασμένος
ashes	τέφρα
ashtray	τασάκι
asinine	γαϊδούρινος
ask	παρακαλώ
asleeep	NO TRANSLATION
asleep	κοιμισμένος
asp	ασπίδα
asparagus	σπαράγγι
aspartame	ασπαρτάμη
aspect	άποψη
aspects	πτυχές
aspen	τρομώδης
asphalt	ασφάλτος
asphyxia	ασφυξία
asphyxiation	ασφυξία
aspiration	φιλοδοξία
aspire	φιλοδοξώ
aspirin	ασπιρίνη
aspiring	επιδιώκοντας
ass	γάιδαρος
assail	προσβάλλω
assailant	επιτιθεμένος
assassin	δολοφόνος
assassinate	δολοφονώ
assassination	δολοφονία
assault	προσβολή
assay	χημική δοκιμή
assemblage	συνάθροιση
assemble	συγκεντρώνουν
assembled	συναρμολογημένο
assembly	συνέλευση
assemblyman	συνάνθρωπος
assent	συγκατάθεση
assert	διεκδικώ
asserting	ισχυριζόμενος
assertion	ισχυρισμός
assertive	κατηγορηματικός
assess	εκτιμώ
assessment	εκτίμηση
assessor	εκτιμητής
asset	περιουσιακό στοιχείο
assets	περιουσιακά στοιχεία
asshole	κώλος
assign	αναθέτω
assignee	εντολοδόχος
assignment	ΑΝΑΘΕΣΗ ΕΡΓΑΣΙΑΣ
assimilate	αφομοιώνω
assimilation	αφομοίωση
assist	βοηθώ
assistance	βοήθεια
assistant	βοηθός
associate	σύντροφος
association	σχέση
assorted	διάφορων ειδών
assortment	συλλογή
assuage	καταπραΰνω
assume	υποθέτω
assumed	υποτίθεται
assuming	υποθέτοντας
assumption	υπόθεση
assurance	ασφάλεια
assure	επιβεβαιώνω
assured	βέβαιος
assuredly	βεβαίως
asterisk	αστερίσκος
asteroid	αστεροειδής
asteroids	αστεροειδείς
asthma	άσθμα
asthmatic	ασθματικός
astigmatism	αστιγματισμός
astonish	εκπλήσσω
astonished	έκπληκτος
astonishing	εκπληκτικός
astonishingly	NO TRANSLATION
astonishment	κατάπληξη
astound	καταπλήσσω
astral	αστρικός
astray	παραστρατημένος
astringent	στυπτικός
astrologer	αστρολόγος
astrology	αστρολογία
astronaut	αστροναύτης
astronomer	αστρονόμος
astronomical	αστρονομικό
astronomy	αστρονομία
astute	οξύνους
asunder	χωριστά
asylum	άσυλο
asymmetric	ασύμμετρη
asymmetry	ασυμμετρία
asymptotic	ασυμπτωτικό
atelier	εργαστήριο καλλιτέχνου
atheism	αθεϊσμός
atheist	αθεϊστής
atheistic	αθεϊστικός
atherosclerosis	αθηροσκλήρωση
athlete	αθλητής
athletic	αθλητικός
athleticism	αθλητισμό
athletics	αθλητισμός
atlas	άτλας
atmosphere	ατμόσφαιρα
atmospheric	ατμοσφαιρικός
atoll	κοραλλιογενές νησί
atom	άτομο
atomic	ατομικός
atone	εξιλεώ
atonement	εξιλέωση
atpeace	εν ειρήνη
atrium	κόλπος της καρδιάς
atrocious	φρικτός
atrocity	θηριωδία
atrophy	ατροφία
attach	συνδέω
attached	συνημμένο
attachment	συνημμένο
attack	επίθεση
attacker	επιτεθείς
attacking	επίθεση
attain	επιτυγχάνω
attainable	εφικτός
attainment	επίτευξη
attempt	απόπειρα
attempted	προσπάθεια
attend	παραβρίσκομαι
attendance	παρουσία
