Word	uk
adaptation	адаптація
add	додати
added	додано
addendum	додаток
adder	суматор
addict	наркоман
addicted	залежність
addiction	наркоманія
addictive	звикання
addition	Крім того
additional	додатковий
additive	добавки
address	адреса
addressee	адресат
addresses	адреси
adept	адепт
adequacy	адекватність
adequate	адекватний
adhere	дотримуватися
adherence	прихильність
adherent	прихильник
adhering	дотримуватися
adhesion	зчеплення
adhesive	клей
adieu	adieu
adipose	жирна
adjacency	сусідство
adjacent	сусідні
adjective	прикметник
adjoining	примикає
adjourn	відкласти
adjournment	відкладення
adjudicate	вирішувати
adjudication	судовий процес
adjunct	ад'юнкт
adjust	налаштувати
adjuster	регулятор
adjustment	коригування
adjuvant	ад'ювант
admin	адміністратор
administer	адмініструвати
administration	адміністрація
administrative	адміністративний
administrator	адміністратор
admirable	чудовий
admiral	адмірал
admiralty	адміралтейство
admiration	захоплення
admire	помилуватися
admired	захоплювався
admirer	шанувальник
admiring	захоплюючись
admissibility	допустимість
admissible	допустимий
admission	вхід
admit	визнати
admittance	допуск
admitted	зізнався
admitting	допускаючи
admixture	домішка
admonition	застереження
ado	дівчина
adobe	Adobe
adolescence	юнацький вік
adolescent	підліток
adopt	приймати
adoption	усиновлення
adoptive	прийомний
adorable	чарівний
adoration	обожнювання
adore	обожнюй
adoring	кохання
adorn	прикрашати
adornment	прикраса
adrenalin	адреналін
adrenaline	адреналін
adrift	приплив
adult	дорослий
adulterated	підроблений
adulterer	перелюбник
adultery	перелюбство
adulthood	дорослішання
advance	заздалегідь
advanced	просунутий
advancement	просування
advancing	просування
advantage	перевага
advantageous	вигідніше
advent	прихід
adventure	пригода
adventurer	авантюрист
adventures	пригоди
adventurous	пригодницький
adversary	супротивник
adverse	несприятливий
adversity	несприятливість
advertise	рекламувати
advertisement	реклама
advertising	реклама
adverts	реклами
advice	поради
advisable	бажано
advise	раджу
advised	порадив
advisement	порада
adviser	радник
advisor	радник
advisory	консультативний
advocacy	адвокація
advocate	адвокат
aegis	едіс
aeration	аерація
aerial	антена
aerobics	аеробіка
aerodrome	аеродром
aerodynamic	аеродинамічний
aerodynamics	аеродинаміка
aeronautics	аеронавтика
aeroplane	літак
aerospace	аерокосмія
aesthetic	естетичний
aesthetics	естетика
aetiology	етіологія
afar	здалеку
affable	привітний
affair	справа
affect	впливати
affecting	впливає
affection	любов
affectionate	лагідний
affections	прихильності
affiche	NO TRANSLATION
affidavit	аффидевит
affiliated	афілійований
affiliation	приналежність
affinity	спорідненість
affirm	підтвердити
affirmation	твердження
affirmative	позитивний
affirmatively	позитивно
affix	прикріпити
afflict	страждає
afflicted	страждає
affliction	скорбота
affluence	багатство
affluent	заможний
afford	дозволити собі
affordable	доступний
affront	ображати
affronted	затриманий
afield	на околицях
afire	вогонь
afloat	на плаву
afore	до цього
aforementioned	вищезгадане
aforesaid	вищесказане
afraid	боїться
afresh	знову
african	африканець
aft	на кормі
afterlife	загробна життя
aftermath	наслідки
afternoon	вдень
aftershave	після гоління
aftertaste	післясмак
afterthought	на думку
aga	NO TRANSLATION
agape	агапе
agate	агат
age	вік
aged	у віці
agency	агентство
agenda	порядок денний
agent	агента
agglomeration	агломерація
aggravate	загострювати
aggravated	загострення
aggravates	загострюється
aggravating	обтяжуючи
aggravation	загострення
aggregate	сукупність
aggregation	агрегація
aggresive	NO TRANSLATION
aggression	агресія
aggressive	агресивний
aggressively	агресивно
aggressiveness	агресивність
aggressor	агресор
agh	аг
aghast	агас
aghhh	NO TRANSLATION
agile	гнучкий
agility	спритність
aging	старіння
agitate	агітувати
agitated	збуджений
agitation	агітація
aglow	поглинання
agnostic	агностик
ago	тому назад
agonizing	мучитися
agony	агонія
agoraphobia	агорафобія
agree	згоден
agreeable	приємний
agreed	погодився
agreeing	погодившись
agreement	Угода
agressive	NO TRANSLATION
agricultural	сільськогосподарське
agriculture	сільське господарство
aground	на межі
agua	NO TRANSLATION
ahead	вперед
ahhh	аххх
ahhhhhhhh	NO TRANSLATION
ahoy	агоя
aid	допомога
aide	помічник
aiding	допомога
aids	допоміжні засоби
ail	айль
ailing	хворий
ailment	хвороба
aim	мета
aimless	безцільний
air	повітря
airbag	подушка безпеки
airborne	бортовий
aircraft	літак
aircraft carrier	авіаносець
airfield	аеродром
airhead	повітряна головка
airlift	авіаперевезення
airline	авіакомпанія
airliner	авіалайнер
airlock	шлюз
airman	літак
airplane	літак
airport	аеропорт
airs	ефіри
airship	дирижабль
airspace	повітряний простір
airspeed	швидкість повітря
airstrip	злітно-посадочна смуга
airtight	герметичний
airway	дихальних шляхів
aisle	прохід
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ака
akin	подібний
alabaster	алебастр
alarm	тривога
alarm clock	будильник
alarmed	стурбований
alarming	тривожний
alas	на жаль!
alb	NO TRANSLATION
albatross	альбатрос
albino	альбінос
album	альбом
alchemy	алхімія
alcohol	алкоголь
alcoholic	алкоголік
alcoholism	алкоголізм
alcove	Алків
alderman	Алдерман
ale	NO TRANSLATION
alert	оповіщення
alertness	пильність
alerts	сповіщення
alfalfa	люцерна
algebra	алгебра
algebraic	алгебраїчний
algorithm	алгоритм
alias	псевдонім
alibi	алібі
alien	чужий
alienate	відчужувати
alienated	відчужений
alienation	відчуження
alight	втечу
align	вирівняти
aligned	вирівняно
alignment	вирівнювання
alike	так
alimentation	NO TRANSLATION
alimony	аліменти
aliquot	аліквот
alive	живий
alkali	луг
alkaloids	алкалоїди
allay	ламати
allegation	звинувачення
allege	стверджуй
alleged	нібито
allegiance	вірність
allegorical	алегоричний
allegory	алегорія
allegro	алегро
allergic	алергія
allergy	алергія
alleviate	полегшити
alleviation	полегшення
alley	алея
alleyway	алея
alliance	союз
allied	союзник
alligator	алігатор
allocate	виділити
allocation	виділення
allot	виділити
allotment	наділ
allow	дозволити
allowable	допустимий
allowance	допомога
allowed	дозволено
alloy	сплав
allsmiles	NO TRANSLATION
allure	привабливість
alluring	приваблива
allusion	натяк
alluvial	алювіальний
ally	союзник
almanac	альманах
almighty	всемогутній
almond	мигдаль
aloft	вгору
aloha	Алоха
alone	поодинці
alongside	поруч
aloof	осторонь
aloud	вголос
alpha	альфа
alphabet	алфавіт
alphabetical	в алфавітному порядку
alpine	альпійський
alreadyyyyy	вжеyyyy
altar	вівтар
altar boy	алтарний хлопчик
alter	змінити
alteration	зміна
altercation	сплеск
altered	змінений
alternate	чергувати
alternating	змінюється
alternative	альтернатива
altimeter	висотомір
altitude	висота
alto	Альто
altogether	взагалі
aluminum	алюміній
alumnus	випускник
alveolar	альвеолярний
alzheimers	NO TRANSLATION
amalgam	амальгама
amalgamation	злиття
amaretto	амаретто
amass	накопичувати
amateur	любитель
amaze	здивування
amazed	вражений
amazedness	NO TRANSLATION
amazement	здивування
amazing	дивовижний
amazingly	дивовижно
ambassador	посол
amber	бурштин
ambience	атмосфера
ambient	ambient
ambiguity	неоднозначність
ambiguous	неоднозначне
ambit	амбіція
ambition	честолюбство
ambitious	амбіційний
ambivalent	амбівалентний
ambrosia	амброзія
ambulance	швидка допомога
ambush	засідка
ameliorate	полегшити
amen	амінь
amenable	піддається
amend	змінити
amendment	поправка
amends	поправляє
amenity	приємність
amethyst	аметист
amiable	люб'язний
amicable	дружній
amid	на тлі
amidst	посеред
amino	аміно
ammo	боєприпаси
ammonia	аміак
ammonium	амоній
ammunition	боєприпаси
amnesia	амнезія
amnesty	амністія
amorous	люб'язний
amorphous	аморфний
amortization	амортизація
amount	сума
amour	NO TRANSLATION
amp	підсилювач
ampersand	амперсанд
amphetamines	амфетаміни
amphibian	амфібія
amphibious	амфібія
amphitheater	амфітеатр
ample	достатньо
amplification	посилення
amplify	посилюється
amplitude	амплітуда
amply	достатньо
amputate	ампутуйте
amputation	ампутація
amuck	амук
amulet	амулет
amuse	розважати
amused	веселився
amusement	розвага
amusing	забавний
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестезія
anaesthetic	анестетик
anagram	анаграма
anal	анальний
analgesic	знеболюючий
analogous	аналогічний
analogue	аналог
analogy	аналогія
analysis	аналіз
analyst	аналітик
analytic	аналітичний
analytical	аналітичний
analyze	проаналізувати
analyzer	аналізатор
anaphylactic	анафілактичний
anarchism	анархізм
anarchist	анархіст
anarchy	анархія
anastomosis	анастомоз
anathema	анатема
anatomic	анатомічний
anatomy	анатомія
ancestor	предок
ancestral	спадковий
ancestry	походження
anchor	якоря
anchorage	кріплення
ancient	стародавній
ancillary	допоміжний
androgen	андроген
android	андроїд
anecdote	анекдот
anemia	анемія
anemic	анемія
anemone	анемон
anesthesia	анестезія
anesthesiologist	анестезіолог
anesthetic	анестетик
aneurysm	аневризма
anew	заново
angel	ангел
angelic	ангельський
anger	гнів
angered	розгнівався
angermanagement	NO TRANSLATION
angina	стенокардія
angiogram	ангіограма
angiography	ангіографія
angle	кут
angling	рибалка
angora	ангора
angriest	гнівний
angry	сердитий
angrytweet	NO TRANSLATION
angst	гнів
anguish	страждання
anguished	страждає
angular	кутовий
anhydrous	безводний
animal	тварина
animate	анімація
animated	анімований
animation	анімація
animosity	ворожнеча
animus	анімус
ankle	щиколотка
anklet	сорочок
annals	літопис
annex	додаток
annexation	анексія
annexe	NO TRANSLATION
annihilate	анігілювати
annihilated	знищений
annihilation	анігіляція
anniversary	річниця
annotate	примітка
annotation	анотація
announce	оголосити
announcement	оголошення
announcer	диктор
annoy	дратувати
annoyance	роздратування
annoyed	дратує
annoyin	NO TRANSLATION
annoying	дратує
annoys	дратує
annual	річний
annuity	ануїтет
annul	анулювати
annular	кільцевий
annulment	анулювання
annulus	кільцевий рядок
anointed	помазаний
anointing	помазання
anomalous	аномальний
anomaly	аномалія
anon	анон
anonymity	анонімність
anonymous	анонімний
anorexic	анорексичний
answer	відповісти
answerable	відповідальний
answering	відповідати
ant	мурашки
antagonism	антагонізм
antagonist	антагоніст
antagonistic	антагоністичний
antagonize	антагонізувати
ante	NO TRANSLATION
antecedent	попередній
antelope	антилоп
antenna	антена
anterior	передній
anthem	гімн
anthill	мурашник
anthology	антологія
anthrax	сибірська виразка
anthropological	антропологічний
anthropologist	антрополог
anthropology	антропологія
anti	анти
antiaircraft	зенітний корабель
antibiotic	антибіотик
antibiotics	антибіотики
antichrist	антихрист
anticipate	чекай
anticipation	очікування
anticipatory	передбачуваний
antics	NO TRANSLATION
antidote	протиотрута
antifungal	протигрибковий
antigravity	антигравітація
antimony	сурма
antipathy	антипатія
antiquarian	антикварний
antiquated	застаріли
antique	антикварні
antiques	антикваріат
antiquity	давнину
antiseptic	антисептик
antisocial	антисоціальний
antithesis	антитеза
antithetical	антитетичний
antiviral	противірусний
antler	рога
antsy	антиса
anus	анус
anvil	ковадло
anxiety	тривога
anxietyattack	NO TRANSLATION
anxious	тривога
anxiousness	тривога
anytime	в будь-який час
aorta	аорта
aortic	аорта
apace	стрімко
apache	apache
apartment	квартира
apartments	квартири
apathetic	апатичний
apathy	апатія
ape	мавпа
aperture	діафрагма
apex	вершина
aphid	тлей
aphrodisiac	афродизіак
apiece	шматок
aplomb	апломат
apocalypse	апокаліпсис
apocalyptic	апокаліптичний
apologetic	апологетичний
apologist	апологест
apologize	вибачитися
apology	вибачення
apostasy	відступництво
apostate	апостат
apostle	апостол
apostolic	апостольський
apostrophe	апостроф
apothecary	аптекар
appalled	засмучений
appalling	жахливий
apparatus	апарат
apparel	одяг
apparent	очевидний
apparently	мабуть
apparition	поява
appeal	звернення
appear	з'являтися
appearance	зовнішній вигляд
appease	заспокоїтись
appellant	апелянт
append	додати
appendage	придаток
appendectomy	апендектомія
appendicitis	апендицит
appendix	додаток
appetite	апетит
appetizer	закуска
appetizing	апетитна
applaud	аплодувати
applause	оплески
apple	яблуко
apple juice	яблучний сік
applejack	яблуневий яблуко
applesauce	яблуко
appliance	прилад
appliances	прилади
applicability	застосовність
applicable	застосовні
applicant	заявник
application	заявка
apply	застосовувати
appoint	призначити
appointment	призначення
appointments	зустрічі
apportion	розподіл
apportionment	розподіл
appraisal	оцінка
appraise	оцінити
appreciable	помітний
appreciate	цінуємо
appreciated	оцінили
appreciates	цінує
appreciation	вдячність
appreciative	вдячний
apprehend	затримай
apprehension	занепокоєння
apprehensive	занепокоєння
apprentice	учень
apprenticeship	учнівство
approach	підхід
approaching	наближається
approbate	NO TRANSLATION
approbation	апробація
appropriate	відповідний
appropriation	асигнування
approval	затвердження
approve	схвалювати
approved	затверджений
approvement	затвердження
approving	схвалюючи
approximate	приблизний
approximately	приблизно
approximating	наближення
approximation	наближення
appurtenances	приналежності
apricot	абрикос
apron	фартух
apt	apt
aptitude	атрибут
aqua	аква
aquamarine	аквамарин
aquarium	акваріум
aquatic	водний
aqueduct	акведук
aqueous	водний
arable	ріллі
arbiter	арбітр
arbitrary	довільне
arbitrate	арбітраж
arbitration	арбітраж
arbitrator	арбітр
arbor	альтанка
arc	дуг
arcade	аркада
arcane	аркана
arch	арка
archaeological	археологічні
archaeologist	археолог
archaeology	археологія
archaic	архаїчний
archangel	архангел
archbishop	архієпископ
archdiocese	архієпархія
archduke	эрцгерцог
arched	арочний
archer	лучник
archery	стрільба з лука
archetype	архетип
archipelago	архіпелаг
architect	архітектор
architectural	архітектурний
architecture	архітектура
archive	архів
arctic	арктичний
ardent	гарячий
ardor	пекло
arduous	важкий
area	площа
arena	арена
areola	ареола
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	арг
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	стверджуй
argument	аргумент
argumentation	аргументація
argumentative	аргументальний
arguments	аргументи
arid	засушливий
arise	виникати
aristocracy	аристократія
aristocrat	аристократ
aristocratic	аристократичний
arithmetic	арифметика
ark	ковчег
arm	рука
armada	армада
armament	озброєння
armaments	озброєння
armature	арматура
armchair	крісло
armed	озброєний
armor	броня
armored	броньовані
armory	озброєння
armpit	пахв
arms	зброю
army	армія
aroma	аромат
aromatherapy	ароматерапія
arousal	збудження
arouse	викликати
aroused	викликав
arraignment	виправдання
arrange	організувати
arranged	влаштований
arrangement	організація
array	масив
arrears	заборгованість
arrest	арешт
arrhythmia	аритмія
arrival	прибуття
arrive	прибути
arrogance	зарозумілість
arrogant	зарозумілий
arrow	стрілка
arsehole	arsehole
arseholes	арсезонки
arsenal	арсенал
arsenic	миш'як
arson	підпал
arsonist	підпалювач
art	мистецтво
arterial	артеріальний
artery	артерія
artful	хитрість
arthritis	артрит
arthropod	членистоногий
artichoke	артишок
article	стаття
articles	статті
articulate	сформулювати
articulation	артикуляція
artifact	артефакт
artifice	артіфікація
artificial	штучний
artillery	артилерія
artisan	ремісник
artist	художник
artiste	NO TRANSLATION
artistic	художні
artistry	артистизм
artists	художники
artwork	твори мистецтва
arty	арті
asap	якнайшвидше
asbestos	азбест
ascend	підніматися
ascendancy	піднесення
ascendant	піднесений
ascending	висхідний
ascension	сходження
ascent	сходження
ascertain	з'ясувати
ascertained	з'ясував
ascetic	аскетичний
ash	зола
ashamed	соромно
ashes	прах
ashtray	попільничка
asinine	асиніна
ask	запитай
asleeep	NO TRANSLATION
asleep	сплять
asp	асп
asparagus	спаржа
aspartame	аспартам
aspect	аспект
aspects	аспекти
aspen	осика
asphalt	асфальт
asphyxia	асфіксія
asphyxiation	задушливість
aspiration	прагнення
aspire	прагнути
aspirin	аспірин
aspiring	прагнучий
ass	осел
assail	напасти
assailant	нападник
assassin	вбивця
assassinate	вбити
assassination	вбивство
assault	штурм
assay	аналіз
assemblage	збірка
assemble	зібрати
assembled	зібраний
assembly	збірка
assemblyman	монтажник
assent	згода
assert	стверджувати
asserting	стверджуючи
assertion	твердження
assertive	ствердний
assess	оцінити
assessment	оцінка
assessor	асесор
asset	активи
assets	активи
asshole	мудак
assign	призначити
assignee	правонаступник
assignment	присвоєння
assimilate	асимілювати
assimilation	асиміляція
assist	допомагати
assistance	допомога
assistant	асистент
associate	асоційований
association	асоціація
assorted	асорті
assortment	асортимент
assuage	заспокоїти
assume	припустити
assumed	передбачається
assuming	припускаючи
assumption	припущення
assurance	гарантія
assure	запевняй
assured	запевнив
assuredly	точно
asterisk	зірочка
asteroid	астероїд
asteroids	астероїди
asthma	астма
asthmatic	астматичний
astigmatism	астигматизм
astonish	здивування
astonished	здивований
astonishing	дивовижний
astonishingly	NO TRANSLATION
astonishment	здивування
astound	вражаюче
astral	астральний
astray	помилуй
astringent	в'яжучий
astrologer	астролог
astrology	астрологія
astronaut	космонавт
astronomer	астроном
astronomical	астрономічний
astronomy	астрономія
astute	акуратний
asunder	підлогу
asylum	притулок
asymmetric	асиметричний
asymmetry	асиметрія
asymptotic	асимптотичний
atelier	ательє
atheism	атеїзм
atheist	атеїст
atheistic	атеїстичний
atherosclerosis	атеросклероз
athlete	спортсмен
athletic	атлетичний
athleticism	атлетизм
athletics	легка атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосферний
atoll	атол
atom	атом
atomic	атомний
atone	спокутувати
atonement	очищення
atpeace	привид
atrium	атріум
atrocious	жахливий
atrocity	злодіяння
atrophy	атрофія
attach	прикріпити
attached	прикріплений
attachment	прикріплення
attack	атака
attacker	нападник
attacking	атакуючи
attain	досягти
attainable	досяжна
attainment	досягнення
attempt	спроба
attempted	спробував
attend	відвідувати
attendance	відвідування
attendant	супроводжуючий
attention	увага
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	уважний
attenuate	пом'якшити
attenuated	ослаблений
attenuation	загасання
attest	атестувати
attestation	атестація
attic	горище
attire	вбрання
attitude	ставлення
attorney	адвокат
attract	залучити
attraction	привабливість
attractive	привабливий
attractiveness	привабливість
attributable	приписуваний
attribute	атрибут
attribution	атрибуція
attrition	стирання
auburn	каштановий
auction	аукціон
auctioneer	аукціоніст
audacious	сміливий
audacity	сміливість
audible	чути
audience	аудиторія
audio	аудіо
audit	аудит
audition	прослуховування
auditions	прослуховування
auditor	аудитор
auditorium	аудиторія
auditory	слуховий
aught	ах
augment	збільшити
augmentation	збільшення
august	август
aunt	тітка
auntie	тетушка
aura	аура
aurora	аврора
auspices	під егідою
auspicious	сприятливий
austere	суворий
austerity	жорсткість
authentic	автентичний
authenticate	автентифікація
authentication	автентифікація
authenticity	автентичність
author	автор
authoritative	авторитетний
authority	влада
authorization	авторизація
authorize	авторизація
authorized	авторизований
authorship	авторство
autism	аутизм
autistic	аутизм
auto	авто
autobiographical	автобіографічний
autobiography	автобіографія
autocorrect	автокоректувати
autocratic	самодержавний
autograph	автограф
autographed	автографувати
automated	автоматизований
automatic	автоматичний
automobile	автомобільний
automotive	автомобільний
autonomy	автономія
autopilot	автопілот
autopsy	розтину
autumn	осінь
auxiliary	допоміжний
avail	скористатися
availability	наявність
available	доступний
avalanche	лавина
avarice	жахливість
avatar	аватар
avenge	помститися
avenger	месник
avenging	месня
avenue	проспект
aver	NO TRANSLATION
average	середній
aversation	NO TRANSLATION
averse	непристойний
averseness	NO TRANSLATION
aversion	відраза
avert	запобігти
aviary	водій
aviation	авіація
aviator	авіатр
avid	жадний
avocado	авокадо
avoid	уникати
avoidance	уникнення
avoiding	уникаючи
await	чекати
awake	прокинься
awaken	прокидайся
awakening	пробудження
award	нагорода
awards	нагороди
aware	усвідомлювати
awareness	усвідомлення
awe	NO TRANSLATION
awed	чекав
awesome	чудово
awesomeness	дивовижність
awestruck	вдарити
awful	жахливо
awkward	незграбний
awkwardness	незграбність
awning	тент
awry	хитрий
axe	сокира
axial	осьовий
axiom	аксіома
axiomatic	аксіоматичний
axis	вісь
axle	вісь
ay	ай
aye	ай
azimuth	азимут
azure	лазур
babble	лепет
babbling	лепет
babe	дитинка
baboon	бабуїн
baby	дитина
babysit	няня
babysitter	няня
baccalaureate	бакалавр
baccarat	баккара
bachelor	бакалавр
bachelorette	бакларетка
back	назад
backboard	задній борт
backbone	хребет
backdoor	задні двері
backdrop	фон
backer	покровитель
backfire	відставання
backgammon	нарди
background	фон
backhand	зворотний бік
backhoe	екскаватор-навантажувач
backoff	відступаємо
backpack	рюкзак
backpacker	турист
backroom	задня кімната
backseat	задній бік
backside	задній
backtrack	відкат
backup	резервна копія
backward	назад
backwardness	відсталість
backwards	назад
backwater	затока
backwoods	засідка
backyard	задній двір
bacon	бекон
bacteria	бактерії
bacterial	бактеріальний
bacterium	бактерія
bad	поганий
badass	погана сила
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значок
badger	борсук
badhabit	NO TRANSLATION
badly	погано
badness	погана позиція
baffle	перегородка
baffled	здивований
bag	сумка
bagel	бублик
baggage	багаж
baggie	баггі
baggy	сумчастий
bagman	багман
bagpipes	дюбеля
bail	під заставу
bailiff	судовий пристав
bait	приманка
bake	спекти
bakery	хлібозавод
baking	випічка
bal	NO TRANSLATION
balance	баланс
balanced	збалансований
balcony	балкон
bald	лисий
balding	облисіння
baldy	бальзам
bale	тюка
balk	балка
ball	куля
ballad	балада
ballast	баласт
ballerina	балерина
ballet	балет
ballgame	гра в м'яч
ballistic	балістичний
ballistics	балістика
balloon	повітряна куля
ballot	виборчий бюлетень
ballpark	балковий парк
ballplayer	м'яч
ballpoint	кулькова точка
ballroom	бальна зала
ballsy	кулька
balm	бальзам
balmy	бальзам
balsam	бальзам
balsamic	бальзаміка
bam	бам
bamboo	бамбук
ban	NO TRANSLATION
banana	банан
band	гурт
bandage	пов'язка
bandanna	бандана
bandit	бандит
bandstand	оркестр
bandwagon	перемога
bandwidth	пропускна здатність
bane	бідний
bang	вибух
banger	банджер
banish	вигнати
banished	вигнаний
banishment	вигнання
banister	перил
banjo	банджо
bank	банк
banker	банкір
banking	банківська справа
bankroll	банкрол
bankrupt	банкрутство
bankruptcy	банкрутство
banner	банер
banquet	банкет
banshee	банши
banter	шуміти
banzai	NO TRANSLATION
baptism	хрещення
baptismal	хрещення
baptize	хрестити
bar	бар
barb	барбекю
barbarian	варвар
barbaric	варварський
barbarism	варварство
barbecue	барбекю
barbed	колючий
barber	перукарня
barbershop	перукарня
barbie doll	Барбі-лялька
bard	Бард
bare	голий
bareback	бездоріжжя
barefoot	босоніж
barely	ледь
barf	NO TRANSLATION
bargain	торгуватися
bargaining	торгуючись
barge	баржа
baritone	баритон
barium	барій
bark	кора
barkeep	байка
barks	барки
barley	ячмінь
barmaid	бармена
barman	бармен
barn	сарай
barnacle	хризантеми
barney	Барні
barnyard	садиба
barometer	барометр
baron	барон
baroness	баронеса
baroque	барокко
barrack	барак
barracuda	барракуда
barrage	загородження
barred	заборонено
barrel	ствол
barren	безплідний
barricade	барикада
barrier	бар'єр
barring	заборона
barrister	адвокат
barroom	барна кімната
barrow	курган
bartender	бармен
barter	бартер
base	база
baseball	бейсбол
baseball bat	бейсбольна бита
baseboard	плінтус
baseless	безпідставний
baseline	базовий рівень
baseman	підземелля
basement	підвал
bases	підстави
bash	баш
bashful	похмурий
basic	основний
basics	основи
basil	базилік
basilica	базиліка
basin	басейн
basis	основи
bask	грішити
basket	кошик
basketball	баскетбол
bass	бас
bass guitar	бас-гітара
basso	NO TRANSLATION
bassoon	фагот
bastard	ублюдок
bastarding	ублюдок
bastards	ублюдки
bastion	бастіон
bat	кажан
batch	партія
batching	дозування
bate	NO TRANSLATION
bath	ванна
bathe	купатися
bathhouse	лазня
bathing	купання
bathrobe	халат
bathroom	ванна кімната
bathtub	ванна
bathymetry	батиметрія
baton	естафет
battalion	батальйон
batter	тісто
battered	побитий
battering	побиття
battery	акумулятор
battle	битва
battled	боровся
battlefield	поле битви
battleground	поле битви
battlements	зубці
battleship	броненосець
batty	Бетті
bauble	білетон
bawdy	брудний
bawl	бовка
bay	затока
bayonet	багнет
bayou	Байо
bazaar	базар
bazooka	базука
bday	bday
be	Бути
beach	Пляжний
beaches	пляжі
beacon	маяк
bead	бісер
beading	бісероплетіння
beads	бусини
beady	блідий
beagle	бігль
beak	дзьоб
beaker	склянка
beam	промінь
beaming	сяючий
bean	боб
beanbag	мішок квасолі
beanie	шапочка
bear	ведмедя
bearable	стерпний
beard	борода
bearded	бородатий
bearer	пред'явника
bearing	підшипник
