Word	nl
admit	toegeven
admittance	toelating
admitted	toegegeven
admitting	toelaten
admixture	toevoegsel
admonition	vermaning
ado	ophef
adobe	adobe
adolescence	adolescentie
adolescent	puber
adopt	adopteren
adoption	adoptie
adoptive	aangenomen
adorable	aanbiddelijk
adoration	aanbidding
adore	dol zijn op
adoring	bewonderende
adorn	sieren
adornment	versiering
adrenalin	adrenaline
adrenaline	adrenaline
adrift	drijvend
adult	volwassen
adulterated	vervalste
adulterer	overspelige
adultery	overspel
adulthood	volwassenheid
advance	van te voren
advanced	gevorderd
advancement	vordering
advancing	oprukkende
advantage	voordeel
advantageous	voordelig
advent	komst
adventure	avontuur
adventurer	avonturier
adventures	avonturen
adventurous	avontuurlijk
adversary	tegenstander
adverse	nadelige
adversity	tegenslag
advertise	adverteren
advertisement	advertentie
advertising	reclame
adverts	advertenties
advice	advies
advisable	raadzaam
advise	adviseren
advised	adviseerde
advisement	advisement
adviser	raadgever
advisor	adviseur
advisory	adviserend
advocacy	voorspraak
advocate	pleiten voor
aegis	aegis
aeration	beluchting
aerial	antenne
aerobics	aerobics
aerodrome	vliegterrein
aerodynamic	aërodynamisch
aerodynamics	aërodynamica
aeronautics	luchtvaart
aeroplane	vliegtuig
aerospace	ruimte
aesthetic	aesthetisch
aesthetics	schoonheidsleer
aetiology	etiologie
afar	in de verte
affable	minzaam
affair	affaire
affect	aantasten
affecting	invloed
affection	genegenheid
affectionate	hartelijk
affections	affecties
affiche	NO TRANSLATION
affidavit	beëdigde verklaring
affiliated	aangesloten
affiliation	aansluiting
affinity	affiniteit
affirm	bevestigen
affirmation	bevestiging
affirmative	bevestigend
affirmatively	bevestigend
affix	affix
afflict	teisteren
afflicted	geteisterd
affliction	bezoeking
affluence	rijkdom
affluent	zijrivier
afford	veroorloven
affordable	betaalbare
affront	belediging
affronted	beledigd
afield	weg
afire	een vuur
afloat	drijvend
afore	afore
aforementioned	voornoemd
aforesaid	voornoemd
afraid	bang
afresh	opnieuw
african	Afrikaanse
aft	achteruit
afterlife	het hiernamaals
aftermath	nasleep
afternoon	middag
aftershave	aftershave
aftertaste	nasmaak
afterthought	nadere overweging
aga	NO TRANSLATION
agape	met open mond
agate	agaat
age	leeftijd
aged	oud
agency	agentschap
agenda	agenda
agent	agent
agglomeration	opeenhoping
aggravate	verergeren
aggravated	verergerd
aggravates	verergert
aggravating	verzwarend
aggravation	verergering
aggregate	aggregaat
aggregation	aggregatie
aggresive	NO TRANSLATION
aggression	agressie
aggressive	agressief
aggressively	agressief
aggressiveness	agressiviteit
aggressor	agressor
agh	agh
aghast	ontzet
aghhh	NO TRANSLATION
agile	behendig
agility	behendigheid
aging	veroudering
agitate	agiteren
agitated	opgewonden
agitation	agitatie
aglow	gloelend
agnostic	agnostisch
ago	geleden
agonizing	pijnlijke
agony	doodsangst
agoraphobia	agorafobie
agree	mee eens
agreeable	aangenaam
agreed	Akkoord
agreeing	akkoord
agreement	overeenkomst
agressive	NO TRANSLATION
agricultural	agrarisch
agriculture	landbouw
aground	aan de grond
agua	NO TRANSLATION
ahead	verder
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoi
aid	steun
aide	assistent
aiding	helpen
aids	AIDS
ail	ail
ailing	ziekelijk
ailment	kwaal
aim	doel
aimless	doelloos
air	lucht
airbag	airbag
airborne	in de lucht
aircraft	vliegtuig
aircraft carrier	vliegdekschip
airfield	vliegveld
airhead	airhead
airlift	luchtbrug
airline	vliegmaatschappij
airliner	passagiersvliegtuig
airlock	luchtsluis
airman	vlieger
airplane	vliegtuig
airport	luchthaven
airs	airs
airship	luchtschip
airspace	luchtruim
airspeed	luchtsnelheid
airstrip	landingsbaan
airtight	luchtdicht
airway	luchtweg
aisle	gangpad
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	verwant
alabaster	albast
alarm	alarm
alarm clock	wekker
alarmed	gealarmeerd
alarming	zorgwekkend
alas	Helaas
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	album
alchemy	alchimie
alcohol	alcohol
alcoholic	alcoholisch
alcoholism	alcoholisme
alcove	prieel
alderman	wethouder
ale	NO TRANSLATION
alert	alarm
alertness	waakzaamheid
alerts	waarschuwingen
alfalfa	luzerne
algebra	algebra
algebraic	algebraïsch
algorithm	algoritme
alias	alias
alibi	alibi
alien	vreemdeling
alienate	vervreemden
alienated	vervreemd
alienation	vervreemding
alight	uitstappen
align	richten
aligned	uitgelijnd
alignment	opstelling
alike	gelijk
alimentation	NO TRANSLATION
alimony	alimentatie
aliquot	evenmatig
alive	levend
alkali	alkali
alkaloids	alkaloïden
allay	verminderen
allegation	bewering
allege	beweren
alleged	beweerde
allegiance	trouw
allegorical	allegorisch
allegory	allegorie
allegro	allegro
allergic	allergisch
allergy	allergie
alleviate	verlichten
alleviation	verlichting
alley	steeg
alleyway	gang
alliance	bondgenootschap
allied	geallieerd
alligator	alligator
allocate	toewijzen
allocation	toewijzing
allot	verloten
allotment	toewijzing
allow	toestaan
allowable	toelaatbaar
allowance	toelage
allowed	toegestaan
alloy	legering
allsmiles	NO TRANSLATION
allure	verleiden
alluring	verleidelijk
allusion	zinspeling
alluvial	alluviaal
ally	bondgenoot
almanac	almanak
almighty	almachtig
almond	amandel
aloft	omhoog
aloha	aloha
alone	alleen
alongside	naast
aloof	afzijdig
aloud	hardop
alpha	alpha
alphabet	alfabet
alphabetical	alfabetisch
alpine	alpine
alreadyyyyy	NO TRANSLATION
altar	altaar
altar boy	misdienaar
alter	wijzigen
alteration	wijziging
altercation	woordenwisseling
altered	gewijzigd
alternate	afwisselend
alternating	alternerende
alternative	alternatief
altimeter	altimeter
altitude	hoogte
alto	alt
altogether	allemaal samen
aluminum	aluminium
alumnus	oud-leerling
alveolar	alveolaar
alzheimers	NO TRANSLATION
amalgam	amalgaam
amalgamation	vermenging
amaretto	amaretto
amass	stapelen
amateur	amateur
amaze	verbazen
amazed	versteld staan
amazedness	amazedness
amazement	verbazing
amazing	verbazingwekkend
amazingly	verbazend
ambassador	ambassadeur
amber	amber
ambience	sfeer
ambient	omringend
ambiguity	dubbelzinnigheid
ambiguous	dubbelzinnig
ambit	omvang
ambition	ambitie
ambitious	ambitieus
ambivalent	tegenstrijdig
ambrosia	ambrozijn
ambulance	ambulance
ambush	hinderlaag
ameliorate	verbeteren
amen	amen
amenable	vatbaar
amend	wijzigen
amendment	amendement
amends	compensatie
amenity	faciliteiten
amethyst	amethist
amiable	beminnelijk
amicable	minnelijk
amid	midden
amidst	midden
amino	amino
ammo	ammunitie
ammonia	ammonia
ammonium	ammonium
ammunition	munitie
amnesia	geheugenverlies
amnesty	amnestie
amorous	verliefd
amorphous	amorfe
amortization	afschrijvingen
amount	bedrag
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetaminen
amphibian	amfibie
amphibious	amfibisch
amphitheater	amfitheater
ample	ruim
amplification	versterking
amplify	versterken
amplitude	amplitude
amply	ruimschoots
amputate	amputeren
amputation	amputatie
amuck	amok
amulet	amulet
amuse	amuseren
amused	geamuseerd
amusement	amusement
amusing	amusant
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesie
anaesthetic	verdovingsmiddel
anagram	anagram
anal	anaal
analgesic	pijnstillend
analogous	analoog
analogue	analoog
analogy	analogie
analysis	analyse
analyst	analyst
analytic	analytisch
analytical	analytisch
analyze	analyseren
analyzer	analyzer
anaphylactic	anafylactische
anarchism	anarchisme
anarchist	anarchist
anarchy	anarchie
anastomosis	anastomose
anathema	anathema
anatomic	anatomisch
anatomy	anatomie
ancestor	Voorvader
ancestral	voorouderlijke
ancestry	voorgeslacht
anchor	anker
anchorage	ankerplaats
ancient	oude
ancillary	ondergeschikt
androgen	androgeen
android	android
anecdote	anekdote
anemia	anemie
anemic	bloedarm
anemone	anemoon
anesthesia	anesthesie
anesthesiologist	anesthesist
anesthetic	verdovingsmiddel
aneurysm	aneurysma
anew	opnieuw
angel	engel
angelic	engelachtig
anger	boosheid
angered	boos
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografie
angle	hoek
angling	hengelen
angora	Angora
angriest	angriest
angry	boos
angrytweet	NO TRANSLATION
angst	angst
anguish	angst
anguished	gekweld
angular	hoekig
anhydrous	watervrij
animal	dier
animate	bezielen
animated	geanimeerde
animation	animatie
animosity	vijandigheid
animus	animositeit
ankle	enkel
anklet	enkelband
annals	annalen
annex	bijlage
annexation	annexatie
annexe	NO TRANSLATION
annihilate	vernietigen
annihilated	vernietigd
annihilation	vernietiging
anniversary	verjaardag
annotate	annoteren
annotation	aantekening
announce	aankondigen
announcement	Aankondiging
announcer	omroeper
annoy	ergeren
annoyance	ergernis
annoyed	geërgerd
annoyin	NO TRANSLATION
annoying	vervelend
annoys	ergert
annual	jaar-
annuity	lijfrente
annul	vernietigen
annular	ringvormig
annulment	vernietiging
annulus	annulus
anointed	gezalfd
anointing	zalving
anomalous	abnormaal
anomaly	afwijking
anon	aanstonds
anonymity	anonimiteit
anonymous	anoniem
anorexic	anorexia
answer	antwoord
answerable	aansprakelijk
answering	antwoordapparaat
ant	mier
antagonism	antagonisme
antagonist	antagonist
antagonistic	vijandig
antagonize	tegenwerken
ante	NO TRANSLATION
antecedent	antecedent
antelope	antilope
antenna	antenne
anterior	voorste
anthem	hymne
anthill	mierenhoop
anthology	bloemlezing
anthrax	miltvuur
anthropological	antropologische
anthropologist	antropoloog
anthropology	antropologie
anti	anti
antiaircraft	luchtafweer
antibiotic	antibioticum
antibiotics	antibiotica
antichrist	antichrist
anticipate	anticiperen
anticipation	verwachting
anticipatory	vooruitlopend
antics	capriolen
antidote	tegengif
antifungal	antifungale
antigravity	anti zwaartekracht
antimony	antimonium
antipathy	antipathie
antiquarian	antiquair
antiquated	verouderd
antique	antiek
antiques	antiek
antiquity	oudheid
antiseptic	antiseptisch
antisocial	antisociaal
antithesis	tegenstelling
antithetical	tegengesteld
antiviral	antivirale
antler	gewei
antsy	antsy
anus	anus
anvil	aambeeld
anxiety	angst
anxietyattack	NO TRANSLATION
anxious	angstig
anxiousness	angstgevoelens
anytime	op elk gewenst moment
aorta	aorta
aortic	aorta
apace	snel
apache	apache
apartment	appartement
apartments	appartementen
apathetic	apathisch
apathy	apathie
ape	aap
aperture	opening
apex	top
aphid	bladluis
aphrodisiac	afrodisiacum
apiece	een stuk
aplomb	aplomb
apocalypse	Apocalypse
apocalyptic	apocalyptische
apologetic	verontschuldigend
apologist	apologeet
apologize	verontschuldigen
apology	verontschuldiging
apostasy	afvalligheid
apostate	afvallige
apostle	apostel
apostolic	apostolisch
apostrophe	apostrof
apothecary	apotheker
appalled	geschokt
appalling	verschrikkelijk
apparatus	inrichting
apparel	kleding
apparent	schijnbaar
apparently	blijkbaar
apparition	verschijning
appeal	in beroep gaan
appear	verschijnen
appearance	uiterlijk
appease	sussen
appellant	appellant
append	toevoegen
appendage	aanhangsel
appendectomy	appendectomy
appendicitis	appendicitis
appendix	bijlage
appetite	eetlust
appetizer	voorgerechten
appetizing	smakelijk
applaud	toejuichen
applause	applaus
apple	appel
apple juice	appelsap
applejack	appeldrank
applesauce	appelmoes
appliance	toestel
appliances	huishoudelijke apparaten
applicability	toepasselijkheid
applicable	van toepassing
applicant	aanvrager
application	toepassing
apply	van toepassing zijn
appoint	aanstellen
appointment	afspraak
appointments	benoemingen
apportion	toewijzen
apportionment	verdeling
appraisal	taxatie
appraise	taxeren
appreciable	merkbaar
appreciate	op prijs stellen
appreciated	gewaardeerd
appreciates	waardeert
appreciation	waardering
appreciative	waarderend
apprehend	begrijpen
apprehension	vrees
apprehensive	beducht
apprentice	leerling
apprenticeship	leertijd
approach	nadering
approaching	naderen
approbate	NO TRANSLATION
approbation	goedkeuring
appropriate	geschikt
appropriation	toeëigening
approval	goedkeuring
approve	goedkeuren
approved	aangenomen
approvement	goedkeuring
approving	goedkeuren
approximate	benaderend
approximately	ongeveer
approximating	benaderende
approximation	benadering
appurtenances	aanhorigheden
apricot	abrikoos
apron	schort
apt	geneigd
aptitude	aanleg
aqua	aqua
aquamarine	aquamarijn
aquarium	aquarium
aquatic	aquatisch
aqueduct	waterleiding
aqueous	waterig
arable	bebouwbaar
arbiter	arbiter
arbitrary	arbitrair
arbitrate	beslechten
arbitration	arbitrage
arbitrator	arbiter
arbor	prieel
arc	boog
arcade	zuilengang
arcane	geheim
arch	boog
archaeological	archeologisch
archaeologist	archeoloog
archaeology	oudheidkunde
archaic	verouderd
archangel	aartsengel
archbishop	aartsbisschop
archdiocese	aartsbisdom
archduke	aartshertog
arched	gewelfd
archer	boogschutter
archery	boogschieten
archetype	archetype
archipelago	archipel
architect	architect
architectural	bouwkundig
architecture	architectuur
archive	archief
arctic	arctisch
ardent	vurig
ardor	ijver
arduous	zwaar
area	Gebied
arena	arena
areola	tepelhof
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumenteren
argument	argument
argumentation	redenering
argumentative	betogend
arguments	argumenten
arid	dor
arise	ontstaan
aristocracy	aristocratie
aristocrat	aristocraat
aristocratic	aristocratisch
arithmetic	rekenkundig
ark	ark
arm	arm
armada	vloot
armament	bewapening
armaments	bewapening
armature	bewapening
armchair	fauteuil
armed	gewapend
armor	schild
armored	gepantserd
armory	arsenaal
armpit	oksel
arms	armen
army	leger
aroma	aroma
aromatherapy	aromatherapie
arousal	opwinding
arouse	wekken
aroused	gewekt
arraignment	aanklacht
arrange	regelen
arranged	geregeld
arrangement	arrangement
array	rangschikking
arrears	achterstand
arrest	arresteren
arrhythmia	aritmie
arrival	aankomst
arrive	aankomen
arrogance	arrogantie
arrogant	arrogant
arrow	pijl
arsehole	arsehole
arseholes	klootzakken
arsenal	arsenaal
arsenic	arseen-
arson	brandstichting
arsonist	brandstichter
art	kunst
arterial	slagaderlijk
artery	slagader
artful	listig
arthritis	artritis
arthropod	geleedpotige
artichoke	artisjok
article	artikel
articles	artikelen
articulate	articuleren
articulation	articulatie
artifact	artefact
artifice	kunstgreep
artificial	kunstmatig
artillery	artillerie
artisan	ambachtsman
artist	artiest
artiste	NO TRANSLATION
artistic	artistiek
artistry	kunstenaarstalent
artists	kunstenaars
artwork	artwork
arty	arty
asap	zsm
asbestos	asbest
ascend	opstijgen
ascendancy	overwicht
ascendant	stijgend
ascending	oplopend
ascension	hemelvaart
ascent	beklimming
ascertain	vaststellen
ascertained	vastgesteld
ascetic	asceet
ash	as
ashamed	beschaamd
ashes	as
ashtray	asbakje
asinine	ezelachtig
ask	vragen
asleeep	NO TRANSLATION
asleep	in slaap
asp	adder
asparagus	asperge
aspartame	aspartaam
aspect	aspect
aspects	aspecten
aspen	esp
asphalt	asfalt
asphyxia	verstikking
asphyxiation	verstikking
aspiration	aspiratie
aspire	streven
aspirin	aspirine
aspiring	eerzuchtig
ass	ezel
assail	aanranden
assailant	aanvaller
assassin	moordenaar
assassinate	vermoorden
assassination	moord
assault	aanval
assay	analyse
assemblage	verzameling
assemble	monteren
assembled	geassembleerd
assembly	bijeenkomst
assemblyman	Assemblyman
assent	instemming
assert	beweren
asserting	beweren
assertion	bewering
assertive	zelfbewust
assess	schatten
assessment	beoordeling
assessor	assessor
asset	aanwinst
assets	middelen
asshole	lul
assign	toewijzen
assignee	cessionaris
assignment	toewijzing
assimilate	assimileren
assimilation	assimilatie
assist	helpen
assistance	bijstand
assistant	assistent
associate	associëren
association	vereniging
assorted	geassorteerd
assortment	assortiment
assuage	lenigen
assume	uitgaan van
assumed	uitgegaan van
assuming	ervan uitgaand
assumption	veronderstelling
assurance	zekerheid
assure	verzekeren
assured	verzekerd
assuredly	zeker
asterisk	asterisk
asteroid	asteroïde
asteroids	asteroïden
asthma	astma
asthmatic	astmatisch
astigmatism	astigmatisme
astonish	verbazen
astonished	verwonderd
astonishing	verbazingwekkend
astonishingly	NO TRANSLATION
astonishment	verbazing
astound	verbazen
astral	astraal
astray	op een dwaalspoor
astringent	samentrekkend
astrologer	astroloog
astrology	astrologie
astronaut	astronaut
astronomer	astronoom
astronomical	sterrenkundig
astronomy	astronomie
astute	geslepen
asunder	in stukken
asylum	asiel
asymmetric	asymmetrisch
asymmetry	asymmetrie
asymptotic	asymptotische
atelier	atelier
atheism	atheïsme
atheist	atheïst
atheistic	atheïstische
atherosclerosis	atherosclerose
athlete	atleet
athletic	atletisch
athleticism	atletisch
athletics	atletiek
atlas	atlas
atmosphere	atmosfeer
atmospheric	atmosferisch
atoll	atol
atom	atoom
atomic	atomair
atone	verzoenen
atonement	verzoening
atpeace	in vrede
atrium	atrium
atrocious	afgrijselijk
atrocity	gruweldaad
atrophy	atrofie
attach	hechten
attached	gehecht
attachment	gehechtheid
attack	aanval
attacker	aanvaller
attacking	aanvallende
attain	bereiken
attainable	bereikbaar
attainment	bereiking
attempt	poging
attempted	poging tot
attend	bijwonen
attendance	opkomst
attendant	begeleider
attention	aandacht
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attent
attenuate	verzwakken
attenuated	verzwakt
attenuation	verzwakking
attest	getuigen
attestation	getuigenis
attic	vliering
attire	kleding
attitude	houding
attorney	advocaat
attract	aantrekken
attraction	aantrekkelijkheid
attractive	aantrekkelijk
attractiveness	aantrekkelijkheid
attributable	toe te schrijven
attribute	attribuut
attribution	attributie
attrition	wrijving
auburn	kastanjebruin
auction	veiling
auctioneer	veilingmeester
audacious	vermetel
audacity	vermetelheid
audible	hoorbaar
audience	publiek
audio	audio
audit	audit
audition	auditie
auditions	audities
auditor	revisor
auditorium	gehoorzaal
auditory	gehoor-
aught	iets
augment	vergroten
augmentation	vermeerdering
august	augustus
aunt	tante
auntie	tante
aura	aura
aurora	Aurora
auspices	auspiciën
auspicious	gunstig
austere	sober
austerity	strengheid
authentic	authentiek
authenticate	waarmerken
authentication	authenticatie
authenticity	echtheid
author	auteur
authoritative	gezaghebbend
authority	autoriteit
authorization	machtiging
authorize	toestemming geven
authorized	gemachtigde
authorship	auteurschap
autism	autisme
autistic	autistisch
auto	auto
autobiographical	autobiografisch
autobiography	autobiografie
autocorrect	autocorrect
autocratic	autocratisch
autograph	handtekening
autographed	gesigneerd
automated	automated
automatic	automatisch
automobile	auto-
automotive	automotive
autonomy	autonomie
autopilot	autopilot
autopsy	lijkschouwing
autumn	herfst
auxiliary	hulp-
avail	baten
availability	beschikbaarheid
available	beschikbaar
avalanche	lawine
avarice	gierigheid
avatar	avatar
avenge	wreken
avenger	wreker
avenging	wrekende
avenue	Laan
aver	NO TRANSLATION
average	gemiddelde
aversation	aversation
averse	afkerig
averseness	afkeer
aversion	afkeer
avert	voorkomen
aviary	volière
aviation	luchtvaart
aviator	vliegenier
avid	begerig
avocado	avocado
avoid	vermijden
avoidance	vermijding
avoiding	vermijden
await	wachten
awake	wakker
awaken	ontwaken
awakening	ontwaken
award	onderscheiding
awards	awards
aware	bewust
awareness	bewustzijn
awe	NO TRANSLATION
awed	onder de indruk
awesome	geweldig
awesomeness	geweldigheid
awestruck	awestruck
awful	afschuwelijk
awkward	onhandig
awkwardness	onhandigheid
awning	zonnetent
awry	scheef
axe	bijl
axial	axiaal
axiom	axioma
axiomatic	axiomatisch
axis	as
axle	as
ay	ja
aye	aye
azimuth	azimuth
azure	azuur
babble	gebabbel
babbling	kabbelende
babe	zuigeling
baboon	baviaan
baby	baby
babysit	babysitten
babysitter	oppas
baccalaureate	baccalaureaat
baccarat	baccarat
bachelor	bachelor opleiding
bachelorette	vrijgezellenfeest
back	terug
backboard	bord
backbone	ruggegraat
backdoor	achterdeur
backdrop	backdrop
backer	voorstander
backfire	terugslaan
backgammon	backgammon
background	achtergrond
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	rugzak
backpacker	backpacker
backroom	achterkamer
backseat	achterbank
backside	achterkant
backtrack	breken met
backup	backup
backward	achterwaarts
backwardness	achterlijkheid
backwards	achteruit
backwater	opstuwing
backwoods	binnenland
backyard	achtererf
bacon	spek
bacteria	bacterie
bacterial	bacterie-
bacterium	bacterie
bad	slecht
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	insigne
badger	das
badhabit	NO TRANSLATION
badly	slecht
badness	slechtheid
baffle	scherm
baffled	verbijsterd
bag	zak
bagel	bagel
baggage	bagage
baggie	zakje
baggy	zakkerig
bagman	handelsreiziger
bagpipes	doedelzakken
bail	borgtocht
bailiff	deurwaarder
bait	aas
bake	bakken
bakery	bakkerij
baking	bakken
bal	NO TRANSLATION
balance	balans
balanced	evenwichtige
balcony	balkon
bald	kaal
balding	kalend
baldy	baldy
bale	baal
balk	balk
ball	bal
ballad	ballade
ballast	ballast
ballerina	balletdanseres
ballet	ballet
ballgame	balspel
ballistic	ballistisch
ballistics	ballistiek
balloon	ballon
ballot	stemming
ballpark	marge
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	danszaal
ballsy	ballsy
balm	balsem
balmy	zoel
balsam	balsem
balsamic	balsamico
bam	bam
bamboo	bamboe
ban	NO TRANSLATION
banana	banaan
band	band
bandage	verband
bandanna	NO TRANSLATION
bandit	bandiet
bandstand	muziektent
bandwagon	vrachtwagen met orkest
bandwidth	bandbreedte
bane	verderf
bang	knal
banger	worstje
banish	verbannen
banished	verbannen
banishment	verbanning
banister	baluster
banjo	banjo
bank	bank
banker	bankier
banking	bank
bankroll	bankroll
bankrupt	bankroet
bankruptcy	faillissement
banner	banier
banquet	banket
banshee	banshee
banter	scherts
banzai	NO TRANSLATION
baptism	doop
baptismal	doop
baptize	dopen
bar	bar
barb	weerhaak
barbarian	barbaar
barbaric	barbaars
barbarism	barbaarsheid
barbecue	barbecue
barbed	prikkeldraad
barber	kapper
barbershop	kapperszaak
barbie doll	barbie pop
bard	bard
bare	kaal
bareback	zonder zadel
barefoot	blootsvoets
barely	nauwelijks
barf	barf
bargain	koopje
bargaining	onderhandelen
barge	aak
baritone	bariton
barium	barium
bark	schors
barkeep	barkeep
barks	blaft
barley	gerst
barmaid	buffetjuffrouw
barman	barman
barn	schuur
barnacle	eendenmossel
barney	barney
barnyard	boerenerf
barometer	barometer
baron	baron
baroness	barones
baroque	barok-
barrack	barak
barracuda	barracuda
barrage	versperring
barred	verjaard
barrel	vat
barren	dor
barricade	barricade
barrier	barrière
barring	behoudens
barrister	advocaat
barroom	barroom
barrow	grafheuvel
bartender	barman
barter	ruilhandel
base	baseren
baseball	basketbal
baseball bat	honkbalknuppel
baseboard	plint
baseless	ongegrond
baseline	basislijn
baseman	honkman
basement	kelder
bases	bases
bash	bash
bashful	verlegen
basic	basis-
basics	basics
basil	basilicum
