Word	jw
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	diwasa
adulterated	adulterated
adulterer	adulterer
adultery	jinahe
adulthood	diwasa
advance	advance
advanced	majeng
advancement	advancement
advancing	maju
advantage	kauntungan
advantageous	mupangati
advent	kedadeyan
adventure	ngulandara
adventurer	petualang
adventures	petualangan
adventurous	petualang
adversary	musuh
adverse	adverse
adversity	adversity
advertise	iklan
advertisement	iklan
advertising	iklan
adverts	iklan
advice	saran
advisable	dianjurake
advise	maringi pitutur
advised	menehi saran
advisement	saran
adviser	penasehat
advisor	penasehat
advisory	nasehat
advocacy	advokasi
advocate	pengacara
aegis	aegis
aeration	aerasi
aerial	aerial
aerobics	aerobik
aerodrome	aerodrome
aerodynamic	aerodinamis
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	pesawat
aerospace	aerospace
aesthetic	estetis
aesthetics	estetika
aetiology	anetiologi
afar	minggat
affable	affable
affair	Urip
affect	nggayuh
affecting	nggowo pengaruh
affection	tresna
affectionate	tresna
affections	pengaruh
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	afiliasi
affiliation	afiliasi
affinity	afinitas
affirm	tegese
affirmation	penegasan
affirmative	nyatakake
affirmatively	affirmatively
affix	affix
afflict	nandhang kasusahan
afflicted	sangsara
affliction	kasangsaran
affluence	gedhe banget
affluent	affluent
afford	saged
affordable	terjangkau
affront	affront
affronted	affronted
afield	afield
afire	nyengir
afloat	ngapusi
afore	banget
aforementioned	sing kasebut
aforesaid	aforesaid
afraid	wedi
afresh	maneh
african	african
aft	aft
afterlife	akhirat
aftermath	sawise
afternoon	sore
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agape
agate	agate
age	umur
aged	umur
agency	agensi
agenda	agenda
agent	agen
agglomeration	agglomeration
aggravate	aggravate
aggravated	aggravated
aggravates	aggravates
aggravating	nyengsemaken
aggravation	aggravation
aggregate	agregat
aggregation	pengumpulan
aggresive	NO TRANSLATION
aggression	agresi
aggressive	agresif
aggressively	agresif
aggressiveness	agresif
aggressor	aggressor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	Agile
agility	ketangkasan
aging	tuwa
agitate	agitate
agitated	agitated
agitation	agitation
aglow	aglow
agnostic	agnostik
ago	kepungkur
agonizing	agonizing
agony	sangsara
agoraphobia	agoraphobia
agree	setuju
agreeable	agreeable
agreed	sarujuk
agreeing	setuju
agreement	persetujuan
agressive	NO TRANSLATION
agricultural	tetanèn
agriculture	pertanian
aground	aground
agua	NO TRANSLATION
ahead	ahead
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	sepindah
aide	aide
aiding	aiding
aids	bantuan
ail	ail
ailing	ailing
ailment	ailment
aim	tumuju
aimless	tanpa tujuan
air	udara
airbag	airbag
airborne	airborne
aircraft	pesawat
aircraft carrier	operator pesawat
airfield	airfield
airhead	airhead
airlift	airlift
airline	maskapai
airliner	airliner
airlock	airlock
airman	airman
airplane	pesawat
airport	bandara
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	airway
aisle	dalan
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	weker
alarm clock	jam weker
alarmed	kaget
alarming	ngganggu
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	alkohol
alcoholic	nyandu alkohol
alcoholism	alkoholisme
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	tandha
alertness	kewaspadaan
alerts	tandha
alfalfa	alfalfa
algebra	aljabar
algebraic	aljabar
algorithm	algoritma
alias	alias
alibi	alibi
alien	asing
alienate	alienate
alienated	alienated
alienation	alienation
alight	alight
align	align
aligned	didadekake siji
alignment	alignment
alike	alike
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	urip
alkali	alkali
alkaloids	alkaloid
allay	allay
allegation	songko
allege	allege
alleged	diduga
allegiance	allegiance
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	alergi
allergy	alergi
alleviate	ngurangi
alleviation	ngurangi
alley	gang
alleyway	alleyway
alliance	aliansi
allied	sekutu
alligator	Boyo
allocate	nyetujoni
allocation	alokasi
allot	allot
allotment	allotment
allow	ngidini
allowable	ngidini
allowance	tunjangan
allowed	diijini
alloy	campuran
allsmiles	NO TRANSLATION
allure	nyenengake
alluring	alluring
allusion	allusion
alluvial	alluvial
ally	sekutu
almanac	almanak
almighty	Maha Kuwasa
almond	kacang almond
aloft	aloft
aloha	aloha
alone	piyambakipun
alongside	kajaba
aloof	aloof
aloud	banter
alpha	alpha
alphabet	alfabet
alphabetical	alfabetis
alpine	alpine
alreadyyyyy	wisyyyy
altar	altar
altar boy	altar boy
alter	ngowahi
alteration	owahan
altercation	altercation
altered	diowahi
alternate	alternatif
alternating	gantian
alternative	alternatif
altimeter	altimeter
altitude	ketinggian
alto	alto
altogether	kabeh
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamation
amaretto	amaretto
amass	amass
amateur	amatir
amaze	amaze
amazed	kaget
amazedness	NO TRANSLATION
amazement	kaget
amazing	apik tenan
amazingly	pancen
ambassador	duta
amber	amber
ambience	ambience
ambient	sekitar
ambiguity	mbingungake
ambiguous	ambigu
ambit	ambite
ambition	ambisi
ambitious	kekarepan
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulans
ambush	ambush
ameliorate	ameliorate
amen	Amin
amenable	amenable
amend	amandemen
amendment	amandemen
amends	amends
amenity	amenity
amethyst	amethyst
amiable	amiable
amicable	amicable
amid	amid
amidst	amidst
amino	amino
ammo	peluru
ammonia	amonia
ammonium	amonium
ammunition	amunisi
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorfus
amortization	amortisasi
amount	jumlah
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amfibi
amphibious	amphibious
amphitheater	amfitheater
ample	akeh
amplification	amplifikasi
amplify	amplify
amplitude	amplitudo
amply	amply
amputate	amputate
amputation	amputasi
amuck	amuck
amulet	amulet
amuse	nyenengake
amused	gumun
amusement	hiburan
amusing	nyenengake
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestesi
anaesthetic	anestesi
anagram	anagram
anal	anal
analgesic	analgesik
analogous	analog
analogue	analog
analogy	analogi
analysis	analisis
analyst	Analis
analytic	analisa
analytical	analitis
analyze	analisa
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarkisme
anarchist	anarkis
anarchy	anarki
anastomosis	anastomosis
anathema	anathema
anatomic	anatomis
anatomy	anatomi
ancestor	leluhur
ancestral	leluhur
ancestry	leluhur
anchor	jangkar
anchorage	pelabuhan
ancient	kuno
ancillary	ancillary
androgen	androgen
android	Android
anecdote	anekdot
anemia	anemia
anemic	anemik
anemone	anemone
anesthesia	anestesi
anesthesiologist	anesthesiologist
anesthetic	anestesi
aneurysm	aneurysm
anew	maneh
angel	angel
angelic	angelic
anger	nesu
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	amba
angling	angling
angora	angora
angriest	angriest
angry	duka
angrytweet	NO TRANSLATION
angst	angst
anguish	sengsara
anguished	anget
angular	sudut
anhydrous	anhydrous
animal	kewan
animate	animate
animated	animasi
animation	animasi
animosity	kepenak
animus	animus
ankle	ankle
anklet	anklet
annals	sejarah
annex	lampiran
annexation	annexation
annexe	NO TRANSLATION
annihilate	ngrusak
annihilated	annihilated
annihilation	annihilation
anniversary	ulang taun
annotate	annotate
annotation	anotasi
announce	ngumumake
announcement	pengumuman
announcer	penyiar
annoy	ngganggu
annoyance	gangguan
annoyed	ngganggu
annoyin	NO TRANSLATION
annoying	ngganggu
annoys	ngganggu
annual	taunan
annuity	annuity
annul	mbatalake
annular	annular
annulment	pambatalan
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	anomali
anomaly	anomali
anon	anon
anonymity	anonimitas
anonymous	anonim
anorexic	anorexic
answer	njawab
answerable	jawabane
answering	njawab
ant	ant
antagonism	antagonism
antagonist	antagonis
antagonistic	antagonistic
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antena
anterior	anterior
anthem	anthem
anthill	anthill
anthology	antologi
anthrax	anthrax
anthropological	antropologi
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotik
antichrist	antikristus
anticipate	antisipasi
anticipation	antisipasi
anticipatory	anticipatory
antics	antik
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimoni
antipathy	antipati
antiquarian	antiquarian
antiquated	antiquated
antique	antik
antiques	barang antik
antiquity	antiquity
antiseptic	antiseptik
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	kuatir
anxietyattack	NO TRANSLATION
anxious	cemas
anxiousness	penasaran
anytime	kapan wae
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	apartemen
apartments	apartemen
apathetic	kurang ajar
apathy	apathy
ape	ape
aperture	aperture
apex	puncak
aphid	aphid
aphrodisiac	aphrodisiac
apiece	siji
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apokaliptik
apologetic	apologetic
apologist	apologist
apologize	nyuwun pangapunten
apology	ngapuro
apostasy	murtad
apostate	murtat
apostle	rasul
apostolic	apostolik
apostrophe	apostrophe
apothecary	apothecary
appalled	nyenengake
appalling	ngguyu
apparatus	apparatus
apparel	rasukan
apparent	katon
apparently	ketoke
apparition	apparition
appeal	mréntahaké
appear	katon
appearance	katon
appease	nyenengake
appellant	b
append	nambah
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	lampiran
appetite	napsu
appetizer	appetizer
appetizing	appetising
applaud	ngguyu
applause	keplok
apple	apel
apple juice	jus apel
applejack	applejack
applesauce	applesauce
appliance	piranti
appliances	peralatan
applicability	penerapan
applicable	ditrapake
applicant	pelamar
application	aplikasi
apply	aplikasi
appoint	milih
appointment	janjian
appointments	janjian
apportion	apportion
apportionment	apportionment
appraisal	kaweruh
appraise	nyantolake
appreciable	apik banget
appreciate	appreciate
appreciated	dihargai
appreciates	appreciate
appreciation	apresiasi
appreciative	appreciate
apprehend	ngerti
apprehension	kekuwatan
apprehensive	kuwatir
apprentice	apprentice
apprenticeship	apprenticeship
approach	pendekatan
approaching	nyedhaki
approbate	NO TRANSLATION
approbation	approbation
appropriate	cocok
appropriation	appropriation
approval	persetujuan
approve	nyetujoni
approved	disetujoni
approvement	sarujuk
approving	nyetujoni
approximate	kira-kira
approximately	kurang luwih
approximating	approximating
approximation	perkiraan
appurtenances	aplikasi
apricot	apricot
apron	apron
apt	apt
aptitude	aptitude
aqua	banyu
aquamarine	aquamarine
aquarium	aquarium
aquatic	banyu
aqueduct	aqueduct
aqueous	banyu
arable	arable
arbiter	arbiter
arbitrary	kasepakatan
arbitrate	arbitrate
arbitration	arbitrase
arbitrator	arbitrator
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	lengkungan
archaeological	arkeologi
archaeologist	archaeologist
archaeology	arkeologi
archaic	archaic
archangel	Archangel
archbishop	Uskup Agung
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	pemanah
archery	memanah
archetype	archetype
archipelago	Nusantara
architect	arsitek
architectural	arsitektur
architecture	arsitektur
archive	arsip
arctic	Arktik
ardent	ardent
ardor	ardor
arduous	arang banget
area	wilayah
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argue
argument	argumentasi
argumentation	argumentasi
argumentative	argumentatif
arguments	argumentasi
arid	garing
arise	tangi
aristocracy	aristokrasi
aristocrat	aristocrat
aristocratic	bangsawan
arithmetic	aritmetika
ark	prau
arm	lengen
armada	armada
armament	armament
armaments	armamen
armature	sarung tangan
armchair	armchair
armed	bersenjata
armor	waja
armored	lapis baja
armory	pabrik senjata
armpit	keti
arms	penyelundupan
army	tentara
aroma	aroma
aromatherapy	aromatherapy
arousal	arousal
arouse	arouse
aroused	aroused
arraignment	arraignment
arrange	ngatur
arranged	disusun
arrangement	pengaturan
array	array
arrears	tunggakan
arrest	penahanan
arrhythmia	arrhythmia
arrival	rawuh
arrive	teka
arrogance	arrogance
arrogant	arrogant
arrow	panah
arsehole	arsehole
arseholes	arseholes
arsenal	Arsenal
arsenic	arsenik
arson	kebakaran
arsonist	arsonist
art	seni
arterial	arteri
artery	arteri
artful	artine
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	artikel
articles	artikel
articulate	articulate
articulation	artikulasi
artifact	artefak
artifice	artine
artificial	manufaktur
artillery	artillery
artisan	artisan
artist	artis
artiste	NO TRANSLATION
artistic	seni
artistry	artistry
artists	seniman
artwork	karya seni
arty	arty
asap	asap
asbestos	asbes
ascend	munggah
ascendancy	dhuwit
ascendant	ascendant
ascending	munggah
ascension	Munggah
ascent	ascent
ascertain	dipriksa
ascertained	dipastèkaké
ascetic	ascetic
ash	awu
ashamed	mamang
ashes	awu
ashtray	ashtray
asinine	asinine
ask	takon
asleeep	NO TRANSLATION
asleep	turu
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	rasio
aspects	aspek
aspen	Aspen
asphalt	aspal
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspirasi
aspire	ngarahake
aspirin	aspirin
aspiring	aspiring
ass	pantat
assail	nyalahake
assailant	assailant
assassin	assassin
assassinate	mateni
assassination	pembunuhan
assault	nyerang
assay	assay
assemblage	assemblage
assemble	ngumpulake
assembled	dipasang
assembly	Déwan
assemblyman	wakil rakyat
assent	assent
assert	tegese
asserting	nyatakake
assertion	tegese
assertive	tegas
assess	netepake
assessment	Assessment
assessor	Assessor
asset	aset
assets	aset
asshole	asshole
assign	ngaturake
assignee	assignee
assignment	tugas
assimilate	assimilate
assimilation	asimilasi
assist	ngewangi
assistance	pitulungan
assistant	asisten
associate	asosiasi
association	asosiasi
assorted	macem-macem
assortment	assortment
assuage	nyenyet
assume	nganggep
assumed	ngarani
assuming	assuming
assumption	anggepan
assurance	jaminan
assure	njamin
assured	njamin
assuredly	assuredly
asterisk	asterisk
asteroid	asteroid
asteroids	asteroid
asthma	asma
asthmatic	asma
astigmatism	astigmatism
astonish	astonish
astonished	nggumun
astonishing	nggumun
astonishingly	NO TRANSLATION
astonishment	astonishment
astound	astound
astral	astral
astray	kesasar
astringent	astringent
astrologer	astrologer
astrology	astrologi
astronaut	astronot
astronomer	astronom
astronomical	astronomi
astronomy	astronomi
astute	astute
asunder	asunder
asylum	asylum
asymmetric	asimetris
asymmetry	asimetri
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	atheis
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	atlet
athletic	atletik
athleticism	athleticism
athletics	atletik
atlas	atlas
atmosphere	atmosfer
atmospheric	atmosfer
atoll	atoll
atom	atom
atomic	atom
atone	atone
atonement	atonement
atpeace	atine
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	masang
attached	ditempelake
attachment	lampiran
attack	anggempur
attacker	nyerang
attacking	nyerang
attain	ngrampungake
attainable	bisa diolehake
attainment	antuk
attempt	nyoba
attempted	nyoba
attend	rawuh
attendance	rame
attendant	pramugari
attention	manungsa waé
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attentive
attenuate	attenuate
attenuated	dilemokake
attenuation	ngilangi
attest	mbuktèkaké
attestation	pengadilan
attic	loteng
attire	pakaian
attitude	sikap
attorney	pengacara
attract	narik
attraction	atraksi
attractive	apik banget
attractiveness	daya tarik
attributable	gumantung
attribute	atribut
attribution	atribusi
attrition	attrisi
auburn	auburn
auction	lelang
auctioneer	auctioneer
audacious	kepenak
audacity	audacity
audible	bisa diarani
audience	pamirsa
audio	audio
audit	audit
audition	audisi
auditions	audisi
auditor	auditor
auditorium	auditorium
auditory	pendengaran
aught	a
augment	augment
augmentation	augmentation
august	august
aunt	bibi
auntie	auntie
aura	aura
aurora	aurora
auspices	auspices
auspicious	auspicious
austere	austere
austerity	austerity
authentic	asli
authenticate	authenticate
authentication	otentikasi
authenticity	keaslian
author	penulis
authoritative	sah
authority	wewenang
authorization	wewenang
authorize	ngidini
authorized	sah
authorship	penulis
autism	autisme
autistic	autistic
auto	otomatis
autobiographical	autobiografis
autobiography	otobiografi
autocorrect	autocorrect
autocratic	otokratis
autograph	autograph
autographed	autographed
automated	otomatis
automatic	otomatis
automobile	mobil
automotive	automotive
autonomy	otonomi
autopilot	autopilot
autopsy	otopsi
autumn	musim gugur
auxiliary	tambahan
avail	duwe manfaat
availability	kasedhiya
available	kasedhiya
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	Mbales
avenger	Pengawal
avenging	avenging
avenue	avenue
aver	NO TRANSLATION
average	rata-rata
aversation	NO TRANSLATION
averse	nyegah
averseness	averseness
aversion	kebencian
avert	avert
aviary	aviary
aviation	aviation
aviator	aviator
avid	seneng banget
avocado	avocado
avoid	eling
avoidance	nyegah
avoiding	ngindari
await	nunggu
awake	awake
awaken	awaken
awakening	awakening
award	penghargaan
awards	penghargaan
aware	weruh
awareness	kesadaran
awe	NO TRANSLATION
awed	awed
awesome	apik
awesomeness	awesomeness
awestruck	awestruck
awful	awake dhewe
awkward	awkward
awkwardness	awkwardness
awning	awning
awry	awry
axe	kapak
axial	aksial
axiom	axiom
axiomatic	axiomatic
axis	sumbu
axle	axle
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	babon
baby	bayi
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	sarjana
bachelorette	bachelorette
back	bali
backboard	backboard
backbone	backbone
backdoor	backdoor
backdrop	latar mburi
backer	backer
backfire	backfire
backgammon	backgammon
background	latar mburi
backhand	backhand
backhoe	backhoe
backoff	Mundur
backpack	tas ransel
backpacker	backpacker
backroom	backroom
backseat	mburi ngarep
backside	mburi
backtrack	backtrack
backup	serep
backward	mundur
backwardness	mundur
backwards	mundur
backwater	backwater
backwoods	backwoods
backyard	latar mburi
bacon	daging babi
bacteria	bakteri
bacterial	bakteri
bacterium	bakteri
bad	ala
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	banget
badness	badhan
baffle	baffle
baffled	bingung
bag	tas
bagel	bagel
baggage	bagasi
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	tanggungan
bailiff	bailiff
bait	umpan
bake	panggang
bakery	bakery
baking	baking
bal	NO TRANSLATION
balance	keseimbangan
balanced	seimbang
balcony	balkon
bald	botak
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bal
ballad	balada
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balon
ballot	suara
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	pring
ban	NO TRANSLATION
banana	banana
band	band
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	ngilangi
banished	dibuwang
banishment	banishment
banister	banister
banjo	banjo
bank	bank
banker	banker
banking	banking
bankroll	bankroll
bankrupt	bangkrut
bankruptcy	bangkrut
banner	banner
banquet	pesta
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	baptis
baptismal	baptis
baptize	mbaptis
bar	bar
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbarism
barbecue	barbecue
barbed	barbed
barber	tukang cukur
barbershop	barbershop
barbie doll	barbie doll
bard	bard
bare	bare
bareback	bareback
barefoot	tanpa alas
barely	ora mung
barf	barf
bargain	ngenyang
bargaining	rembugan
barge	barge
baritone	baritone
barium	barium
bark	babakan
barkeep	barkeep
barks	barks
barley	gandum
barmaid	Barmaid
barman	barman
barn	lumbung
barnacle	barnacle
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	dilarang
barrel	tong sampah
barren	barren
barricade	barricade
barrier	barrier
barring	ngalangi
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	barter
base	basa
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	baseless
baseline	baseline
baseman	baseman
basement	basement
bases	dhasar
bash	bash
bashful	bashful
basic	dhasar
basics	dasar
basil	basil
basilica	basilica
basin	cekungan
basis	basis
bask	bask
basket	basket
basketball	basket
bass	bass
bass guitar	gitar bas
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastard
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	bat
batch	kumpulan
batching	batching
bate	NO TRANSLATION
bath	bathi
bathe	siram
bathhouse	bathhouse
bathing	siram
bathrobe	bathrobe
bathroom	kamar mandi
bathtub	bathtub
bathymetry	bathymetry
baton	Baton
battalion	battalion
batter	adonan
battered	battered
battering	battering
battery	baterei
battle	perang
battled	battled
battlefield	perang
battleground	battleground
battlements	battlements
battleship	battleship
batty	batty
bauble	bauble
bawdy	bawdy
bawl	bawl
bay	teluk
bayonet	bayonet
bayou	bayou
bazaar	bazaar
bazooka	bazooka
bday	bday
be	dadi
beach	pantai
beaches	pantai
beacon	beacon
bead	manik
beading	beading
beads	manik
beady	beady
beagle	beagle
beak	beak
beaker	beaker
beam	Beam
beaming	beaming
bean	kacang
beanbag	beanbag
beanie	beanie
bear	bear
bearable	ditanggung
beard	jenggot
bearded	bearded
bearer	bearer
bearing	bearing
bearings	bantalan
bearish	bearish
bearskin	bearskin
beast	kéwan
beastly	beastly
beat	ngalahake
beaten	dikalahake
beater	beater
beating	ngalahake
beatnik	beatnik
beau	beau
beautification	beautification
beautiful	ayu
beautify	beautify
beauty	kaendahan
beaver	singing
bebop	bebop
beck	beck
beckon	beckon
become	dadi
bed	amben
bedding	sprei
bedpan	bedpan
bedrock	bedrock
bedroom	kamar turu
bedside	amben
bedspread	bedspread
bedtime	bedtime
bee	tawon
beef	daging sapi
beefsteak	beefsteak
beehive	beehive
beep	bip
beeper	beeper
