Word	te
acutely	తీవ్రంగా
ad	ప్రకటన
adage	సామెత
adamant	మొండిగా
adapt	స్వీకరించే
adaptable	యోగ్యతను
adaptation	అనుసరణ
add	జోడించడానికి
added	జోడించారు
addendum	సంబంధిత సమాచారం
adder	కట్లపాము
addict	బానిస
addicted	బానిస
addiction	వ్యసనం
addictive	వ్యసనపరుడైన
addition	అదనంగా
additional	అదనపు
additive	సంకలిత
address	చిరునామా
addressee	చిరునామాదారుడు
addresses	చిరునామాలు
adept	ప్రవీణుడు
adequacy	సంపూర్ణత
adequate	తగిన
adhere	కట్టుబడి
adherence	కట్టుబడి
adherent	అనుయాయి
adhering	కట్టుబడిన
adhesion	సంశ్లేషణ
adhesive	అంటుకునే
adieu	దండం
adipose	కొవ్వు
adjacency	సామీప్య
adjacent	ప్రక్కనే
adjective	విశేషణంగా
adjoining	పక్కనున్న
adjourn	వాయిదా
adjournment	వాయిదా
adjudicate	న్యాయనిర్ణయం
adjudication	న్యాయనిర్ణయం
adjunct	సమ్మిళితంగా
adjust	సర్దుబాటు
adjuster	సర్దు
adjustment	సర్దుబాటు
adjuvant	ఔషధ సహాయ
admin	అడ్మిన్
administer	నిర్వహించే
administration	పరిపాలన
administrative	పరిపాలనా
administrator	నిర్వాహకుడు
admirable	ప్రశంసనీయం
admiral	అడ్మిరల్
admiralty	ఒక దళాధిపతి
admiration	ప్రశంస
admire	ఆరాధిస్తాను
admired	అభిమానించ
admirer	ఆరాధకుడు
admiring	మెచ్చుకోవడం
admissibility	అనుమతించదగు
admissible	అనుమతించదగిన
admission	ప్రవేశ
admit	ఒప్పుకుంటే
admittance	అడుగుపెట్టేందుకు
admitted	ఒప్పుకున్నాడు
admitting	అంగీకరిస్తూ
admixture	ఈ మిశ్రమానికి
admonition	హితబోధ
ado	ado
adobe	అడోబ్
adolescence	కౌమారదశలో
adolescent	శిశు
adopt	దత్తత
adoption	స్వీకరణ
adoptive	పెంపుడు
adorable	పూజ్యమైన
adoration	ఆరాధన
adore	ఆరాధించు
adoring	adoring
adorn	అలంకరించడానికి
adornment	అలంకారం
adrenalin	అడ్రినాలిన్
adrenaline	అడ్రినాలిన్
adrift	తేలిపోవు
adult	వయోజన
adulterated	కల్తీ
adulterer	వ్యభిచారి
adultery	వ్యభిచారం
adulthood	యుక్తవయస్సు
advance	ముందుకు
advanced	ఆధునిక
advancement	అభివృద్ది
advancing	చేరుకుంటున్న
advantage	ప్రయోజనం
advantageous	ప్రయోజనకరంగా
advent	రావడంతో
adventure	సాహస
adventurer	సాహసికుడు
adventures	అడ్వెంచర్స్
adventurous	సాహసోపేత
adversary	విరోధి
adverse	ప్రతికూల
adversity	కష్టాలలో
advertise	ప్రకటన
advertisement	ప్రకటన
advertising	ప్రకటనలు
adverts	ప్రకటనల్లో
advice	సలహా
advisable	మంచిది
advise	సలహా
advised	సలహా
advisement	పూర్వకమైనది
adviser	సలహాదారుగా
advisor	సలహాదారు
advisory	సలహా
advocacy	న్యాయవాద
advocate	న్యాయవాది
aegis	రక్షణ కవచంపై
aeration	గాలిని నింపడం
aerial	ఆకాశయాన
aerobics	ఏరోబిక్స్
aerodrome	విమానాశ్రయంలో
aerodynamic	ఏరోడైనమిక్
aerodynamics	ఏరోడైనమిక్స్
aeronautics	ఏరోనాటిక్స్
aeroplane	విమానం
aerospace	ఏరోస్పేస్
aesthetic	సౌందర్య
aesthetics	సౌందర్యానికి
aetiology	aetiology
afar	దూరము
affable	స్నేహపూర్వక
affair	వ్యవహారంలో
affect	ప్రభావితం
affecting	ప్రభావితం
affection	ఆప్యాయత
affectionate	అభిమానంతో
affections	ప్రేమ
affiche	NO TRANSLATION
affidavit	అఫిడవిట్
affiliated	అనుబంధంగా
affiliation	అనుబంధం
affinity	సామ్యాన్ని
affirm	పునరుద్ఘాటించాలి
affirmation	అంగీకార
affirmative	నిశ్చయాత్మక
affirmatively	నిశ్చయార్థకంగా
affix	వ్రాతపూర్వకంగా చేర్చు
afflict	కర్తం
afflicted	బాధపెట్టే
affliction	శ్రమను
affluence	సంపద
affluent	ధనిక
afford	స్థోమత
affordable	సరసమైన
affront	అమర్యాద
affronted	అసహ్యం పొందిన
afield	దూరప్రాంతం
afire	ఒక మంట
afloat	తేలుతూ
afore	ఇంతకు మునుపు
aforementioned	పైన పేర్కొన్న
aforesaid	చెప్పిన
afraid	భయపడటం
afresh	మళ్ళీ
african	ఆఫ్రికన్
aft	వెనుక
afterlife	మరణానంతర
aftermath	పరిణామాల
afternoon	మధ్యాహ్నం
aftershave	గడ్డం గీసిన తరువాత
aftertaste	వెనుకటిరుచి
afterthought	పరాలోచన
aga	NO TRANSLATION
agape	తెరచిన
agate	మలచబడిన
age	వయస్సు
aged	పెద్దవారికి
agency	ఏజెన్సీ
agenda	ఎజెండా
agent	ఏజెంట్
agglomeration	సముదాయము
aggravate	వేగవంతం
aggravated	అధికం
aggravates	తీవ్రమవుతుంది
aggravating	ప్రేరేపించేవి
aggravation	మరింత ఉధృతం
aggregate	కంకర
aggregation	అగ్రిగేషన్
aggresive	NO TRANSLATION
aggression	దూకుడు
aggressive	దూకుడు
aggressively	దూకుడుగా
aggressiveness	దుడుకు
aggressor	దూకుడు
agh	Agh
aghast	ఆశ్చర్యమైన
aghhh	NO TRANSLATION
agile	చురుకైన
agility	చురుకుతనం
aging	వృద్ధాప్యం
agitate	ఆందోళన
agitated	ఆందోళనగా
agitation	ఆందోళన
aglow	వెలుగుతున్న
agnostic	అజ్ఞేయ
ago	క్రితం
agonizing	భరించలేని
agony	వేదన
agoraphobia	అగోరా
agree	అంగీకరిస్తున్నారు
agreeable	అంగీకారమైన
agreed	అంగీకరించింది
agreeing	కుదుర్చుకోవడం
agreement	ఒప్పందం
agressive	NO TRANSLATION
agricultural	వ్యవసాయ
agriculture	వ్యవసాయ
aground	మాయమయింది
agua	NO TRANSLATION
ahead	ముందుకు
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ఆహోయ్
aid	చికిత్స
aide	సహాయకుడు
aiding	సాయపడతాయి
aids	ఎయిడ్స్
ail	బాధపడు
ailing	అస్వస్థతతో
ailment	వ్యాధి
aim	లక్ష్యం
aimless	లక్ష్యంలేని
air	ఎయిర్
airbag	airbag
airborne	గాలిలో
aircraft	విమానాల
aircraft carrier	విమాన వాహక నౌక
airfield	ఎయిర్ఫీల్డ్
airhead	airhead
airlift	వైమానిక
airline	సంస్థ
airliner	విమానము
airlock	ఎయిర్లాక్
airman	వాయుసేనికుడు
airplane	విమానం
airport	విమానాశ్రయం
airs	ఎయిర్స్
airship	విమానం
airspace	వాయు
airspeed	గాలివేగ
airstrip	దిగటానికి
airtight	గాలి చొరబడని
airway	ఎయిర్వే
aisle	నడవ
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ఆక
akin	పోలియున్న
alabaster	పాలరాయి
alarm	అలారం
alarm clock	అలారం గడియారం
alarmed	అప్రమత్తమైన
alarming	ఆందోళనకరమైన
alas	అయ్యో
alb	NO TRANSLATION
albatross	ఆల్బట్రాస్
albino	albino
album	ఆల్బమ్
alchemy	రసవాదం
alcohol	మద్యం
alcoholic	మద్య
alcoholism	మద్య
alcove	వసారా
alderman	శెట్టి
ale	NO TRANSLATION
alert	హెచ్చరిక
alertness	చురుకుదనం
alerts	హెచ్చరికలు
alfalfa	అల్ఫాల్ఫా
algebra	బీజగణితం
algebraic	బీజగణిత
algorithm	అల్గోరిథం
alias	అలియాస్
alibi	సకార్యం
alien	గ్రహాంతర
alienate	మరొకరికి
alienated	పరాధీనం
alienation	పరాయీకరణ
alight	దిగు
align	align
aligned	సమలేఖనం
alignment	అమరిక
alike	ఇలానే
alimentation	NO TRANSLATION
alimony	భరణం
aliquot	aliquot
alive	సజీవంగా
alkali	క్షార
alkaloids	ఆల్కలాయిడ్స్
allay	భయాందోళనలను
allegation	ఆరోపణలను
allege	లేవనెత్తారు
alleged	ఆరోపణలపై
allegiance	విధేయతలు
allegorical	అన్యార్థ
allegory	అన్యార్థ రచనగా
allegro	దరువు
allergic	అలెర్జీ
allergy	అలెర్జీ
alleviate	ఉపశమనం
alleviation	నిర్మూలనలో
alley	అల్లే
alleyway	సందు
alliance	కూటమి
allied	మిత్రరాజ్యాల
alligator	ఎలిగేటర్
allocate	కేటాయించే
allocation	కేటాయింపులు
allot	కేటాయించేందుకు
allotment	కేటాయింపు
allow	అనుమతిస్తాయి
allowable	అనుమతించిన
allowance	భత్యం
allowed	అనుమతి
alloy	మిశ్రమం
allsmiles	NO TRANSLATION
allure	ఆకర్షణ
alluring	ఆకట్టుకునే
allusion	పరోక్ష
alluvial	ఒండ్రు
ally	మిత్ర
almanac	పంచాంగము
almighty	దేవుడు
almond	బాదం
aloft	ఎత్తుగా
aloha	Aloha
alone	ఒంటరిగా
alongside	కలిసి
aloof	దీనికి దూరంగా
aloud	గట్టిగా
alpha	ఆల్ఫా
alphabet	అక్షరం
alphabetical	అక్షరక్రమంలో
alpine	ఆల్పైన్
alreadyyyyy	alreadyyyyy
altar	ఆల్టర్
altar boy	బలిపీఠం బాలుడు
alter	మార్చే
alteration	సవరణలో
altercation	వాగ్యుద్ధం
altered	మార్పు
alternate	ప్రత్యామ్నాయ
alternating	వికల్పంగా
alternative	ప్రత్యామ్నాయ
altimeter	ఉన్నతి
altitude	ఎత్తులో
alto	ఆల్టో
altogether	పూర్తిగా
aluminum	అల్యూమినియం
alumnus	పూర్వ విద్యార్థి
alveolar	దంతమూలీయ
alzheimers	NO TRANSLATION
amalgam	మిశ్రమానికి
amalgamation	సమ్మేళనం
amaretto	amaretto
amass	కూడబెట్టు
amateur	ఔత్సాహిక
amaze	ఆశ్చర్యపరచు
amazed	ఆశ్చర్యపోయాడు
amazedness	NO TRANSLATION
amazement	ఆశ్చర్యపోయిన
amazing	అద్భుతమైన
amazingly	అద్భుతంగా
ambassador	అంబాసిడర్
amber	అంబర్
ambience	వాతావరణంలో
ambient	పరిసర
ambiguity	సందిగ్ధత
ambiguous	సందిగ్ధంగా
ambit	ambit
ambition	ఆశయం
ambitious	ప్రతిష్టాత్మక
ambivalent	సందిగ్ధంలో
ambrosia	అమృతం
ambulance	అంబులెన్స్
ambush	ఆకస్మిక
ameliorate	నిర్మూలించేందుకు
amen	ఆమెన్
amenable	సుసాధ్యం
amend	సవరించాలనే
amendment	సవరణను
amends	తప్పుకు పరిహారం
amenity	వసతి
amethyst	అమెథిస్ట్
amiable	ప్రీతిపాత్రమైన
amicable	స్నేహపూర్వకమైన
amid	మధ్య
amidst	నడుమ
amino	అమైనో
ammo	మందు సామగ్రి సరఫరా
ammonia	అమ్మోనియా
ammonium	అమ్మోనియం
ammunition	మందుగుండు
amnesia	స్మృతి
amnesty	అమ్నెస్టీ
amorous	రసిక
amorphous	నిరాకార
amortization	రుణ విమోచన
amount	మొత్తం
amour	NO TRANSLATION
amp	amp
ampersand	ఏంపర్సెండ్
amphetamines	ఉత్తేజాన్ని
amphibian	ఉభయచర
amphibious	త్రివిధ
amphitheater	ఉన్నత స్థానము
ample	పుష్కల
amplification	సంవర్ధక
amplify	విస్తృతపరిచే
amplitude	వ్యాప్తి
amply	నిండా
amputate	ఛేదించు
amputation	విచ్ఛేదనం
amuck	ఉన్మాదంగా
amulet	రక్ష
amuse	వినోదం
amused	ఆశ్చర్యపరస్తుంది
amusement	వినోద
amusing	వినోదాత్మక
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	అనస్థీషియా
anaesthetic	మత్తు
anagram	విపర్యయసిద్ధంను
anal	అంగ
analgesic	అనాల్జేసిక్
analogous	అనురూప
analogue	అనలాగ్
analogy	సారూప్యత
analysis	విశ్లేషణ
analyst	విశ్లేషకుడు
analytic	వైశ్లేషిక
analytical	విశ్లేషణాత్మక
analyze	విశ్లేషించడానికి
analyzer	విశ్లేషణము
anaphylactic	ఔషధము
anarchism	అరాజకవాదం
anarchist	అరాచక
anarchy	అనార్కి
anastomosis	కలుపుట
anathema	శాపం
anatomic	శరీర నిర్మాణ
anatomy	అనాటమీ
ancestor	పూర్వీకులు
ancestral	పూర్వీకుల
ancestry	వంశపారంపర్య
anchor	యాంకర్
anchorage	లంగరు
ancient	ప్రాచీన
ancillary	సహకార
androgen	ఆండ్రోజెన్
android	Android
anecdote	అవాంతర
anemia	రక్తహీనత
anemic	రక్తహీనత
anemone	పుష్పాలు
anesthesia	అనస్థీషియా
anesthesiologist	అనస్థీషియా
anesthetic	మత్తు
aneurysm	ఎన్యూరిజం
anew	కొత్తగా
angel	దూత
angelic	దేవదూతల
anger	కోపం
angered	ఆగ్రహానికి
angermanagement	NO TRANSLATION
angina	ఆంజినా
angiogram	ఆంజియోగ్రామ్
angiography	యాంజియోగ్రఫీ
angle	కోణం
angling	పడుతూ కాలక్షేపం
angora	అంగోరా
angriest	angriest
angry	కోపం
angrytweet	NO TRANSLATION
angst	బెంగ
anguish	వేదన
anguished	anguished
angular	కోణీయ
anhydrous	అనార్ద్ర
animal	జంతు
animate	యానిమేట్
animated	యానిమేటెడ్
animation	యానిమేషన్
animosity	శత్రుత్వం
animus	దొంగిలించు
ankle	చీలమండ
anklet	కడియము
annals	చరిత్రలపై
annex	annex
annexation	ఆక్రమణకు
annexe	NO TRANSLATION
annihilate	అంతమొందించడం
annihilated	హతమైన
annihilation	విధ్వంసం
anniversary	వార్షికోత్సవం
annotate	వ్యాఖ్యానించడం
annotation	ఉల్లేఖన
announce	ప్రకటించిన
announcement	ప్రకటన
announcer	అనౌన్సర్
annoy	బాధించు
annoyance	కోపానికి
annoyed	కోపం
annoyin	NO TRANSLATION
annoying	కోపం తెప్పించేది
annoys	కోపం తెప్పిస్తుంది
annual	వార్షిక
annuity	యాన్యుటీ
annul	రద్దు
annular	కంకణాకార
annulment	రద్దుకు
annulus	యాన్యులస్కు
anointed	అభిషేకం
anointing	అభిషేక
anomalous	క్రమరహిత
anomaly	విపరీతమైనది
anon	అనన్
anonymity	కాదు
anonymous	అజ్ఞాత
anorexic	ఆకలి
answer	సమాధానం
answerable	జవాబు
answering	ఆన్సరింగ్
ant	చీమల
antagonism	చైనాతో
antagonist	ప్రతినాయకుడు
antagonistic	విరుద్ధమైన
antagonize	ప్రతిఘటించు
ante	NO TRANSLATION
antecedent	పూర్వ
antelope	ANTELOPE
antenna	యాంటెన్నా
anterior	పూర్వ
anthem	గీతం
anthill	పుట్ట
anthology	సంపుటి
anthrax	ఆంత్రాక్స్
anthropological	మానవశాస్త్ర
anthropologist	సామాజిక శాస్త్రవేత్త
anthropology	పురా
anti	వ్యతిరేక
antiaircraft	విమాన విధ్వంసక
antibiotic	యాంటీబయాటిక్
antibiotics	యాంటీబయాటిక్స్
antichrist	పాకులాడే
anticipate	ముందుగా
anticipation	ఊహించి
anticipatory	ముందస్తు
antics	NO TRANSLATION
antidote	విరుగుడు
antifungal	యాంటీ ఫంగల్
antigravity	శరీరమును నిఠారుగా నిలబెట్టు
antimony	నీలాంజనము
antipathy	ద్వేషము
antiquarian	పురాతన
antiquated	పురాతన
antique	పురాతన
antiques	యాంటిక
antiquity	పూర్వకాలంలో
antiseptic	క్రిమినాశక
antisocial	సంఘ వ్యతిరేక
antithesis	విపరీతం
antithetical	వ్యతిరేకం
antiviral	యాంటివైరల్
antler	కొమ్ములను
antsy	antsy
anus	పాయువు
anvil	దాగిలి
anxiety	ఆందోళన
anxietyattack	NO TRANSLATION
anxious	ఆత్రుత
anxiousness	చింత
anytime	ఎప్పుడైనా
aorta	బృహద్ధమని
aortic	బృహద్ధమని
apace	వడివడిగా
apache	Apache
apartment	అపార్ట్ మెంట్
apartments	అపార్ట్
apathetic	ఉదాసీనత
apathy	ఉదాసీనత
ape	ఏప్
aperture	ఎపర్చరు
apex	APEX
aphid	పురుగు
aphrodisiac	నిరోధకంగా
apiece	ఒక ముక్క
aplomb	సామర్థ్యంగా
apocalypse	అపోకలిప్స్
apocalyptic	అలౌకిక
apologetic	క్షమాపణ
apologist	అపరాధక్షమాపణ
apologize	క్షమాపణ
apology	క్షమాపణ
apostasy	స్వధర్మ
apostate	మతభ్రష్ట
apostle	అపొస్తలుడైన
apostolic	అపోస్టోలిక్
apostrophe	అపోస్ట్రోప్
apothecary	మందుల
appalled	భయపడ్డాడు
appalling	భయానక
apparatus	ఉపకరణం
apparel	దుస్తులు
apparent	స్పష్టమైన
apparently	స్పష్టంగా
apparition	భూతం
appeal	అప్పీల్
appear	కనిపించే
appearance	ప్రదర్శన
appease	బుజ్జగించడానికి
appellant	ఫిర్యాదుదారు
append	కలపవచ్చు
appendage	చేరినది
appendectomy	appendectomy
appendicitis	అపెండిసైటిస్
appendix	అపెండిక్స్
appetite	ఆకలి
appetizer	ఆకలి
appetizing	ఆకలి పుట్టించే
applaud	స్తుతించు
applause	ప్రశంసలను
apple	ఆపిల్
apple juice	ఆపిల్ పండు రసం
applejack	Applejack
applesauce	applesauce
appliance	ఉపకరణం
appliances	గృహోపకరణాలు
applicability	అన్వయం
applicable	వర్తించే
applicant	దరఖాస్తుదారు
application	అప్లికేషన్
apply	దరఖాస్తు
appoint	నియమించాలని
appointment	అపాయింట్మెంట్
appointments	నియామకాలు
apportion	విభజించేందుకు
apportionment	నియామకాలకు
appraisal	అంచనా
appraise	వెలమతించు
appreciable	ఇలా చెప్పుకోతగ్గ
appreciate	అభినందిస్తున్నాము
appreciated	ప్రశంసలు
appreciates	ప్రశంసించింది
appreciation	ప్రశంసతో
appreciative	అభినందనీయులు
apprehend	నిర్బంధంలోకి
apprehension	దిగులు
apprehensive	ఆందోళన
apprentice	అప్రెంటిస్
apprenticeship	శిష్యరికం
approach	విధానం
approaching	సమీపించే
approbate	NO TRANSLATION
approbation	సమ్మతి
appropriate	తగిన
appropriation	వినియోగం
approval	అనుమతి
approve	ఆమోదించడానికి
approved	ఆమోదం
approvement	approvement
approving	ఆమోదించే
approximate	సుమారు
approximately	సుమారు
approximating	సమీపించే
approximation	ఉజ్జాయింపుగా
appurtenances	appurtenances
apricot	నేరేడు
apron	ఆప్రాన్
apt	వర్ణనాత్మక
aptitude	ఆప్టిట్యూడ్
aqua	ఆక్వా
aquamarine	గౌటెమాలా
aquarium	ఆక్వేరియం
aquatic	జల
aqueduct	కాలువ
aqueous	సజల
arable	వ్యవసాయ యోగ్యమైన
arbiter	నిర్ణేతగా
arbitrary	ఏకపక్ష
arbitrate	మధ్యవర్తిత్వం
arbitration	మధ్యవర్తిత్వ
arbitrator	న్యాయమూర్తి
arbor	అర్బోర్
arc	ఆర్క్
arcade	ఆర్కేడ్
arcane	మర్మమైన
arch	వంపు
archaeological	పురావస్తు
archaeologist	పురావస్తు
archaeology	పురావస్తు
archaic	ప్రాచీన
archangel	ఆర్చ్ఏంజిల్
archbishop	మతగురువు
archdiocese	ఆర్చ్
archduke	ఆర్చ్డ్యూక్
arched	వంపు
archer	ఆర్చర్
archery	విలువిద్య
archetype	ఆదర్శం
archipelago	ద్వీపసమూహం
architect	వాస్తుశిల్పి
architectural	నిర్మాణ
architecture	నిర్మాణం
archive	ఆర్కైవ్
arctic	ఆర్కిటిక్
ardent	ఉత్సాహవంతుడు
ardor	ఉద్రేకం
arduous	కఠినమైనది
area	ప్రాంతం
arena	అరేనా
areola	స్తన పరివేషం
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	అయ్యో
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	వాదిస్తారు
argument	వాదన
argumentation	వాదనా
argumentative	వాదనలో
arguments	వాదనలు
arid	శుష్క
arise	ఉత్పన్నమయ్యే
aristocracy	కులీన
aristocrat	ధనికుడైన
aristocratic	కులీన
arithmetic	అంక
ark	మందసము
arm	చేయి
armada	ఆర్మడ
armament	దండు
armaments	ఆయుధాల
armature	శిల్పాల తయారీకి వాడే మూస
armchair	స్పృహలేని
armed	సాయుధ
armor	కవచం
armored	సాయుధ
armory	ఆయుధశాలలో
armpit	చంక
arms	చేతులు
army	ఆర్మీ
aroma	వాసన
aromatherapy	తైలమర్ధనం
arousal	ప్రేరేపణ
arouse	ఎదురయ్యే
aroused	రేకెత్తించింది
arraignment	దావా
arrange	ఏర్పాట్లు
arranged	ఏర్పాటు
arrangement	అమరిక
array	అమరిక
arrears	బకాయిలు
arrest	అరెస్టు
arrhythmia	పడేసే
arrival	రాక
arrive	చేరుకుంటుంది
arrogance	అహంకారం
arrogant	దురహంకారం
arrow	బాణం
arsehole	ఆర్స్హోల్
arseholes	ఆర్స్హోల్స్
arsenal	ఆర్సెనల్
arsenic	ఆర్సెనిక్
arson	ఆర్సన్
arsonist	కాల్చిన
art	ఆర్ట్
arterial	ధమని
artery	ధమని
artful	కళాత్మకంగా
arthritis	కీళ్ళనొప్పులు
arthropod	ఆర్థ్రోపోడా
artichoke	ఆర్టిచోక్
article	వ్యాసం
articles	వ్యాసాలు
articulate	స్పష్టం
articulation	ఉచ్ఛారణ
artifact	వస్తువుగా
artifice	యుక్తి
artificial	కృత్రిమ
artillery	ఫిరంగి
artisan	శిల్పకారుడు
artist	కళాకారుడు
artiste	NO TRANSLATION
artistic	కళాత్మక
artistry	కళాత్మకత
artists	కళాకారులు
artwork	కళాత్మక
arty	కళాత్మకంగా
asap	వీలైనంత త్వరగా
asbestos	ఆస్బెస్టాస్
ascend	అధిష్టించడానికి
ascendancy	ప్రాబల్యం
ascendant	ప్రాబల్యం
ascending	ఆరోహణ
ascension	స్వర్గారోహణ
ascent	ఆరోహణ
ascertain	నిర్ధారించేందుకు
ascertained	రూఢ
ascetic	సన్యాసిగా
ash	యాష్
ashamed	సిగ్గు
ashes	బూడిద
ashtray	మసిడబ్బా
asinine	గాడిదవంటి
ask	అడగండి
asleeep	NO TRANSLATION
asleep	నిద్రలోకి
asp	ASP
asparagus	ఆస్పరాగస్
aspartame	అస్పర్టమే
aspect	కారక
aspects	అంశాలను
aspen	ఆస్పెన్
asphalt	తారు
asphyxia	ఉక్కిరిబిక్కిరై
asphyxiation	అస్పిక్సేషణ్
aspiration	ఆశించిన
aspire	ఆస్పైర్
aspirin	ఆస్పిరిన్
aspiring	వర్ధమాన
ass	గాడిద
assail	assail
assailant	దుండగుడు
assassin	హంతకుడు
assassinate	హత్య
assassination	హత్య
assault	దాడి
assay	అస్సే
assemblage	ఉండటము
assemble	సమీకరించటం
assembled	సమావేశమయ్యారు
assembly	అసెంబ్లీ
assemblyman	అసెంబ్లీ
assent	అంటిపెట్టుకొని
assert	చాటుకోవడం
asserting	రూఢీ
assertion	ప్రకటన
assertive	దృఢమైన
assess	అంచనా
assessment	అంచనా
assessor	మదింపు
asset	ఆస్తి
assets	ఆస్తులు
asshole	గాడిద
