Word	fi
administrator	järjestelmänvalvoja
admirable	ihailtava
admiral	amiraali
admiralty	amiraalinvirka
admiration	ihailu
admire	ihailla
admired	ihaillut
admirer	ihailija
admiring	ihaillen
admissibility	hyväksyttävyyden
admissible	hyväksyttävä
admission	pääsy
admit	myöntää
admittance	pääsy
admitted	hyväksytty
admitting	myöntää
admixture	sekoitus
admonition	kehotus
ado	melu
adobe	adobe
adolescence	nuoruus
adolescent	nuori
adopt	hyväksyä
adoption	hyväksyminen
adoptive	otto-
adorable	ihana
adoration	palvonta
adore	jumaloida
adoring	adoring
adorn	kaunistaa
adornment	koriste
adrenalin	adrenaliini
adrenaline	adrenaliini
adrift	tuuliajolla
adult	aikuinen
adulterated	väärennetyllä
adulterer	avionrikkoja
adultery	aviorikos
adulthood	aikuisuus
advance	edetä
advanced	pitkälle kehittynyt
advancement	edistäminen
advancing	etenee
advantage	etu
advantageous	edullinen
advent	tulo
adventure	seikkailu
adventurer	seikkailija
adventures	seikkailuja
adventurous	seikkailunhaluinen
adversary	vastustaja
adverse	haitallinen
adversity	vastoinkäyminen
advertise	mainostaa
advertisement	mainos
advertising	mainonta
adverts	ilmoitusta
advice	neuvot
advisable	suositeltava
advise	neuvoa
advised	neuvoi
advisement	harkittaviksi
adviser	neuvonantaja
advisor	neuvonantaja
advisory	neuvontapalvelut
advocacy	asianajo
advocate	puolestapuhuja
aegis	suojeluksessa
aeration	ilmastus
aerial	antenni
aerobics	aerobic
aerodrome	lentoasema
aerodynamic	aerodynaaminen
aerodynamics	aerodynamiikka
aeronautics	ilmailu
aeroplane	lentokone
aerospace	ilmailu
aesthetic	esteettinen
aesthetics	estetiikka
aetiology	etiologia
afar	kauas
affable	ystävällinen
affair	asia
affect	vaikuttaa
affecting	vaikuttavia
affection	tunteet
affectionate	hellä
affections	affections
affiche	NO TRANSLATION
affidavit	valaehtoinen todistus
affiliated	sidoksissa
affiliation	kuuluminen
affinity	affiniteetti
affirm	vakuuttaa
affirmation	vakuutus
affirmative	myöntävä
affirmatively	myöntävästi
affix	kiinnittää
afflict	vaivata
afflicted	ahdistettu
affliction	koettelemus
affluence	yltäkylläisyys
affluent	hyvinvoiva
afford	olla varaa
affordable	edullinen
affront	loukkaus
affronted	loukkaantuneena
afield	afield
afire	tulipalo
afloat	pystyssä
afore	edellä
aforementioned	yllä mainitut
aforesaid	edellä mainittu
afraid	peloissaan
afresh	uudelleen
african	afrikkalainen
aft	perä-
afterlife	tuonpuoleinen elämä
aftermath	jälkiseuraukset
afternoon	iltapäivällä
aftershave	partavesi
aftertaste	jälkimaku
afterthought	jälkiviisaus
aga	NO TRANSLATION
agape	töllistellen
agate	akaatti
age	ikä
aged	ikäinen
agency	toimisto
agenda	esityslista
agent	agentti
agglomeration	kasauma
aggravate	pahentaa
aggravated	paheneminen
aggravates	pahentaa
aggravating	raskauttava
aggravation	paheneminen
aggregate	aggregaatti
aggregation	aggregaatti
aggresive	NO TRANSLATION
aggression	aggressio
aggressive	aggressiivinen
aggressively	aggressiivisesti
aggressiveness	aggressiivisuus
aggressor	hyökkäävä puoli
agh	agh
aghast	tyrmistynyt jstk
aghhh	NO TRANSLATION
agile	ketterä
agility	ketteryys
aging	vanheneminen
agitate	yllyttää
agitated	kiihtynyt
agitation	levottomuus
aglow	hehkuen
agnostic	agnostikko
ago	sitten
agonizing	tuskallinen
agony	tuska
agoraphobia	agorafobia
agree	olla samaa mieltä
agreeable	miellyttävä
agreed	sovittu
agreeing	sopimalla
agreement	sopimus
agressive	NO TRANSLATION
agricultural	maatalous
agriculture	maatalous
aground	karille
agua	NO TRANSLATION
ahead	eteenpäin
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ohoi
aid	apu
aide	avustaja
aiding	auttamista
aids	aids
ail	vaivata
ailing	sairaalloinen
ailment	sairaus
aim	tavoite
aimless	päämäärätön
air	ilma
airbag	turvatyyny
airborne	ilmassa
aircraft	ilma-alus
aircraft carrier	lentotukialus
airfield	lentokenttä
airhead	airhead
airlift	ilmasilta
airline	lentoyhtiö
airliner	liikennelentokone
airlock	ilmalukko
airman	lentäjä
airplane	lentokone
airport	lentokenttä
airs	tärkeily
airship	ilmalaiva
airspace	ilmatila
airspeed	lentonopeus
airstrip	kiitorata
airtight	ilmatiivis
airway	hengitysteiden
aisle	käytävä
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	alias
akin	kaltainen
alabaster	alabasteri
alarm	hälytys
alarm clock	herätyskello
alarmed	huolissaan
alarming	hälyttävä
alas	Valitettavasti
alb	NO TRANSLATION
albatross	albatrossi
albino	albiino
album	albumi
alchemy	alkemia
alcohol	alkoholi
alcoholic	alkoholisti
alcoholism	alkoholismi
alcove	alkovi
alderman	raatimies
ale	NO TRANSLATION
alert	hälytys
alertness	valppaus
alerts	hälytykset
alfalfa	sinimailanen
algebra	algebra
algebraic	algebran
algorithm	algoritmi
alias	alias
alibi	alibi
alien	ulkomaalainen
alienate	luovuttaa
alienated	vieraantuneita
alienation	vieraantuminen
alight	laskeutua
align	kohdistaa
aligned	Tasaus
alignment	suuntaus
alike	samoin
alimentation	NO TRANSLATION
alimony	elatusapu
aliquot	alikvootti
alive	elossa
alkali	alkali
alkaloids	alkaloideja
allay	lievittää
allegation	väite
allege	väittää
alleged	väitetty
allegiance	alamaisuus
allegorical	allegorinen
allegory	allegoria
allegro	allegro
allergic	allerginen
allergy	allergia
alleviate	lievittää
alleviation	lievitys
alley	kuja
alleyway	alleyway
alliance	liitto
allied	liittoutunut
alligator	alligaattori
allocate	jakaa
allocation	jako
allot	jakaa
allotment	siirtolapuutarha
allow	sallia
allowable	sallittu
allowance	avustus
allowed	sallittu
alloy	metalliseos
allsmiles	NO TRANSLATION
allure	viehättää
alluring	viettelevä
allusion	viittaus
alluvial	tulva-
ally	liittolainen
almanac	kalenteri
almighty	kaikkivaltias
almond	manteli
aloft	korkealla
aloha	näkemiin
alone	yksin
alongside	rinnalla
aloof	syrjässä
aloud	ääneen
alpha	alfa
alphabet	aakkoset
alphabetical	aakkosellinen
alpine	alppi-
alreadyyyyy	alreadyyyyy
altar	alttari
altar boy	alttaripoika
alter	muuttaa
alteration	muutos
altercation	kiista
altered	muuttunut
alternate	vaihtoehtoinen
alternating	vuorotteleva
alternative	vaihtoehto
altimeter	korkeusmittari
altitude	korkeus
alto	altto
altogether	yhteensä
aluminum	alumiini
alumnus	entinen oppilas
alveolar	alveolaarinen
alzheimers	NO TRANSLATION
amalgam	amalgaami
amalgamation	yhdistäminen
amaretto	amaretto
amass	kasata
amateur	amatööri
amaze	hämmästyttää
amazed	hämmästynyt
amazedness	NO TRANSLATION
amazement	hämmästys
amazing	hämmästyttävä
amazingly	mahtavasti
ambassador	suurlähettiläs
amber	keltainen
ambience	tunnelma
ambient	ympäröivä
ambiguity	epäselvyys
ambiguous	epäselvä
ambit	rajat
ambition	kunnianhimo
ambitious	kunnianhimoinen
ambivalent	ambivalentti
ambrosia	ambrosia
ambulance	ambulanssi
ambush	väijytys
ameliorate	parantaa
amen	aamen
amenable	myöntyväinen
amend	muuttaa
amendment	muutos
amends	muutetaan
amenity	mukavuudet
amethyst	ametisti
amiable	rakastettava
amicable	sovinnollinen
amid	keskellä
amidst	keskellä
amino	amino
ammo	ammus
ammonia	ammoniakki
ammonium	ammonium
ammunition	ammukset
amnesia	amnesia
amnesty	yleinen armahdus
amorous	rakkaus-
amorphous	amorfinen
amortization	kuoletus
amount	määrä
amour	NO TRANSLATION
amp	amp
ampersand	et-merkki
amphetamines	amfetamiinit
amphibian	sammakkoeläin
amphibious	amfibinen
amphitheater	amfiteatteri
ample	runsas
amplification	monistus
amplify	vahvistaa
amplitude	amplitudi
amply	runsaasti
amputate	amputoida
amputation	amputaatio
amuck	hillitön raivo
amulet	amuletti
amuse	huvittaa
amused	huvittunut
amusement	huvi
amusing	huvittava
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	nukutus
anaesthetic	nukutusaine
anagram	anagrammi
anal	anaali-
analgesic	kipulääke
analogous	vastaava
analogue	analoginen
analogy	analogia
analysis	analyysi
analyst	analyytikko
analytic	analyyttinen
analytical	analyyttinen
analyze	analysoida
analyzer	analysaattori
anaphylactic	anafylaktinen
anarchism	anarkismi
anarchist	anarkisti
anarchy	anarkia
anastomosis	anastomosis
anathema	pannajulistus
anatomic	anatominen
anatomy	anatomia
ancestor	kantaisä
ancestral	esi-isiltä peritty
ancestry	syntyperä
anchor	ankkuri
anchorage	ankkurointi
ancient	muinainen
ancillary	avustavia
androgen	androgeenireseptorin
android	android
anecdote	anekdootti
anemia	anemia
anemic	aneeminen
anemone	vuokko
anesthesia	nukutus
anesthesiologist	nukutuslääkäri
anesthetic	nukutusaine
aneurysm	aneurysma
anew	uudelleen
angel	enkeli
angelic	enkelimäinen
anger	suututtaa
angered	suututti
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografia
angle	kulma
angling	onkiminen
angora	angorakangas
angriest	vihaisimmat
angry	suuttunut
angrytweet	NO TRANSLATION
angst	angst
anguish	ahdistus
anguished	ahdistunut
angular	kulmikas
anhydrous	vedetön
animal	eläin
animate	elävöittää
animated	eloisa
animation	animaatio
animosity	vihamielisyys jtk kohtaan
animus	Animus
ankle	nilkka
anklet	nilkkaremmi
annals	aikakirjat
annex	liite
annexation	liittämistä
annexe	NO TRANSLATION
annihilate	tuhota
annihilated	tuhotuksi
annihilation	tuhoaminen
anniversary	vuosipäivä
annotate	muistiinpanoja
annotation	huomautus
announce	ilmoittaa
announcement	ilmoitus
announcer	kuuluttaja
annoy	ärsyttää
annoyance	ärsyttävyys
annoyed	vihainen
annoyin	NO TRANSLATION
annoying	ärsyttävä
annoys	ärsyttää
annual	vuotuinen
annuity	elinkorko
annul	peruuttaa
annular	rengasmainen
annulment	kumoaminen
annulus	annulus
anointed	voiteli
anointing	voitelu
anomalous	poikkeava
anomaly	poikkeus
anon	Anon
anonymity	nimettömyys
anonymous	anonyymi
anorexic	ruokahaluttomat
answer	vastaus
answerable	vastuussa
answering	puhelinvastaaja
ant	muurahainen
antagonism	antagonismi
antagonist	antagonisti
antagonistic	vihamielinen
antagonize	suututtaa
ante	NO TRANSLATION
antecedent	edeltäjä
antelope	antilooppi
antenna	antenni
anterior	etu-
anthem	hymni
anthill	muurahaiskeko
anthology	antologia
anthrax	pernarutto
anthropological	antropologinen
anthropologist	antropologi
anthropology	antropologia
anti	anti
antiaircraft	ilmatorjunta-
antibiotic	antibiootti
antibiotics	antibiootit
antichrist	antikristus
anticipate	ennakoida
anticipation	ennakointi
anticipatory	ennakoiva
antics	temput
antidote	vastamyrkky
antifungal	sienilääkkeet
antigravity	antigravitaatio
antimony	antimoni
antipathy	antipatia
antiquarian	antikvaarinen
antiquated	vanhentunut
antique	antiikki-
antiques	antiikkia
antiquity	antiikin
antiseptic	antiseptinen
antisocial	ihmisiä vihaava
antithesis	antiteesi
antithetical	vastakkaisia
antiviral	viruslääke
antler	sakara
antsy	antsy
anus	peräaukko
anvil	alasin
anxiety	levottomuus
anxietyattack	NO TRANSLATION
anxious	ahdistunut
anxiousness	ahdistus
anytime	milloin tahansa
aorta	aortta
aortic	aortan
apace	nopeasti
apache	Apache
apartment	huoneisto
apartments	huoneisto
apathetic	apaattinen
apathy	apatia
ape	apina
aperture	aukko
apex	kärki
aphid	kirva
aphrodisiac	sukuviettiä kiihottava
apiece	palanen
aplomb	itsevarmuus
apocalypse	maailmanloppu
apocalyptic	maailmanlopun
apologetic	anteeksipyytävä
apologist	uskonpuolustaja
apologize	pyydä anteeksi
apology	anteeksipyyntö
apostasy	luopuminen
apostate	luopio
apostle	apostoli
apostolic	apostolinen
apostrophe	heittomerkki
apothecary	apteekkari
appalled	kauhistunut
appalling	kauhistuttava
apparatus	laitteet
apparel	vaatteet
apparent	näennäinen
apparently	ilmeisesti
apparition	ilmestys
appeal	valitus
appear	ilmestyä
appearance	ulkomuoto
appease	lepyttää
appellant	valittaja
append	liittää
appendage	lisäke
appendectomy	umpilisäkkeen poisto
appendicitis	umpilisäkkeen tulehdus
appendix	liite
appetite	ruokahalu
appetizer	alkupala
appetizing	herkullinen
applaud	osoittaa suosiota
applause	suosionosoitukset
apple	omena
apple juice	omena mehu
applejack	applejack
applesauce	omenasose
appliance	laite
appliances	kodinkoneet
applicability	sovellettavuus
applicable	sovelletaan
applicant	hakija
application	hakemus
apply	Käytä
appoint	nimittää
appointment	nimittäminen
appointments	nimitykset
apportion	jakaa
apportionment	jako
appraisal	arviointi
appraise	arvioida
appreciable	tuntuva
appreciate	arvostaa
appreciated	Ymmärretään
appreciates	arvostaa
appreciation	arvostus
appreciative	arvostava
apprehend	pidättää
apprehension	pelko
apprehensive	levoton
apprentice	oppipoika
apprenticeship	oppisopimus
approach	lähestyä
approaching	lähestyy
approbate	NO TRANSLATION
approbation	suostumus
appropriate	sopiva
appropriation	määräraha
approval	hyväksyminen
approve	hyväksyä
approved	hyväksytty
approvement	approvement
approving	hyväksyvä
approximate	lähentää
approximately	suunnilleen
approximating	vastaten suunnilleen
approximation	likiarvo
appurtenances	varusteita
apricot	aprikoosi
apron	esiliina
apt	osuva
aptitude	soveltuvuus
aqua	aqua
aquamarine	akvamariini
aquarium	akvaario
aquatic	vesi-
aqueduct	akvedukti
aqueous	vesi-
arable	viljelyskelpoinen
arbiter	sovittelija
arbitrary	mielivaltainen
arbitrate	sovittaa
arbitration	välimiesmenettely
arbitrator	välimies
arbor	lehtimaja
arc	kaari
arcade	arkadi
arcane	vaikeaselkoinen
arch	kaari
archaeological	arkeologinen
archaeologist	arkeologi
archaeology	arkeologia
archaic	arkaainen
archangel	Arkkienkeli
archbishop	arkkipiispa
archdiocese	arkkihiippakunta
archduke	arkkiherttua
arched	holvattu
archer	jousimies
archery	jousiammunta
archetype	perikuva
archipelago	saaristo
architect	arkkitehti
architectural	arkkitehtoninen
architecture	arkkitehtuuri
archive	arkisto
arctic	arktinen
ardent	kiihkeä
ardor	kiihko
arduous	vaivalloinen
area	alue
arena	areena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	väitellä
argument	Perustelu
argumentation	väittely
argumentative	väittelynhaluinen
arguments	argumentit
arid	hedelmätön
arise	nousta
aristocracy	ylhäisö
aristocrat	aristokraatti
aristocratic	aristokraattinen
arithmetic	aritmeettinen
ark	arkki
arm	käsivarsi
armada	suuri sotalaivasto
armament	aseistus
armaments	instrumentit
armature	ankkuri
armchair	nojatuoli
armed	aseistettu
armor	panssari
armored	panssaroitu
armory	asevarasto
armpit	kainalo
arms	aseet
army	armeija
aroma	aromi
aromatherapy	aromaterapiaa
arousal	kiihottumisen
arouse	herättää
aroused	herättänyt
arraignment	arraignment
arrange	järjestää
arranged	järjestetty
arrangement	järjestely
array	ryhmä
arrears	jälkikäteen
arrest	pidätys
arrhythmia	rytmihäiriö
arrival	saapuminen
arrive	saapua
arrogance	ylimielisyys
arrogant	ylimielinen
arrow	nuoli
arsehole	arsehole
arseholes	arseholes
arsenal	arsenaali
arsenic	arsenikki
arson	tuhopoltto
arsonist	tuhopolttaja
art	taide
arterial	valtimo-
artery	valtimo
artful	ovela
arthritis	niveltulehdus
arthropod	niveljalkaisten
artichoke	artisokka
article	artikla
articles	artikkeleita
articulate	artikuloitu
articulation	artikulaatio
artifact	esine
artifice	temppu
artificial	keinotekoinen
artillery	tykistö
artisan	käsityöläinen
artist	taiteilija
artiste	NO TRANSLATION
artistic	taiteellinen
artistry	taiteellisuus
artists	Taiteilijat
artwork	kuvamateriaali
arty	teennäinen
asap	mahdollisimman pian
asbestos	asbesti
ascend	nousta
ascendancy	ylemmyys
ascendant	nouseva
ascending	nouseva
ascension	nousu
ascent	nousu
ascertain	varmistaa
ascertained	varmistettu
ascetic	askeettinen
ash	tuhka
ashamed	häpeissään
ashes	tuhkat
ashtray	tuhkakuppi
asinine	aasimainen
ask	kysyä
asleeep	NO TRANSLATION
asleep	unessa
asp	aspiskyy
asparagus	parsa
aspartame	aspartaami
aspect	näkökohta
aspects	näkökohdat
aspen	haapa
asphalt	asfaltti
asphyxia	valekuolema
asphyxiation	tukehtuminen
aspiration	toive
aspire	tavoitella jtk
aspirin	aspiriini
aspiring	kunnianhimoinen
ass	perse
assail	ahdistaa
assailant	hyökkääjä
assassin	salamurhaaja
assassinate	murhata
assassination	salamurha
assault	hyökkäys
assay	määritys
assemblage	kokoontuminen
assemble	koota
assembled	koolla
assembly	kokoonpano
assemblyman	lakiasäätävän edustajakokouksen jäsen
assent	suostumus
assert	puolustaa
asserting	väittäen
assertion	väite
assertive	itsevarma
assess	arvioida
assessment	arviointi
assessor	arvioija
asset	etu
assets	varat
asshole	kusipää
assign	luovuttaa
assignee	siirronsaajalle
assignment	toimeksianto
assimilate	omaksua
assimilation	assimilaatio
assist	avustaa
assistance	apu
assistant	avustaja
associate	kumppani
association	yhdistys
assorted	valikoituja
assortment	lajitelma
assuage	tyynnyttää
assume	olettaa
assumed	oletettu
assuming	olettaen että
assumption	olettamus
assurance	varmuus
assure	vakuuttaa
assured	varma
assuredly	varmasti
asterisk	tähtimerkki
asteroid	asteroidi
asteroids	asteroidit
asthma	astma
asthmatic	astmaatikko
astigmatism	hajataittoisuus
astonish	hämmästyttää
astonished	hämmästyksissään
astonishing	hämmästyttävä
astonishingly	NO TRANSLATION
astonishment	hämmästys
astound	hämmästyttää
astral	astraaliruumis
astray	harhaan
astringent	supistava
astrologer	astrologi
astrology	astrologia
astronaut	astronautti
astronomer	tähtitieteilijä
astronomical	tähtitieteellinen
astronomy	tähtitiede
astute	neuvokas
asunder	kappaleiksi
asylum	turvapaikka
asymmetric	epäsymmetrinen
asymmetry	epäsymmetria
asymptotic	asymptoottinen
atelier	ateljee
atheism	ateismi
atheist	ateisti
atheistic	ateistinen
atherosclerosis	ateroskleroosi
athlete	urheilija
athletic	urheilu-
athleticism	urheilullisuuden
athletics	yleisurheilu
atlas	kartasto
atmosphere	ilmapiiri
atmospheric	ilmakehän
atoll	atolli
atom	atomi
atomic	atomi-
atone	sovittamaan
atonement	sovitus
atpeace	rauhassa
atrium	atrium
atrocious	julma
atrocity	julmuus
atrophy	surkastuminen
attach	liittää
attached	liitteenä
attachment	liite
attack	hyökkäys
attacker	hyökkääjä
attacking	hyökkää
attain	saavuttaa
attainable	saavutettavissa oleva
attainment	saavuttaminen
attempt	yrittää
attempted	yritettiin
attend	käydä
attendance	läsnäolo
attendant	liittyvä
attention	huomio
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	tarkkaavainen
attenuate	vaimentaa
attenuated	heikennetty
attenuation	vaimennus
attest	osoittaa
attestation	todistaminen
attic	ullakko
attire	pukea
attitude	asenne
attorney	asianajaja
attract	vetää puoleensa
attraction	vetovoima
attractive	viehättävä
attractiveness	houkuttelevuutta
attributable	johtuva
attribute	ominaisuus
attribution	Nimeä
attrition	hankaaminen
auburn	kullanruskea
auction	Huutokauppa
auctioneer	meklari
audacious	uskalias
audacity	rohkeus
audible	kuuluva
audience	yleisö
audio	audio-
audit	tarkastaa
audition	esiintymiskoe
auditions	koe
auditor	tilintarkastaja
auditorium	auditorio
auditory	auditiivinen
aught	mitään
augment	lisätä
augmentation	lisääminen
august	elokuu
aunt	täti
auntie	täti
aura	aura
aurora	aamurusko
auspices	suojeluksessa
auspicious	lupaava
austere	karu
austerity	ankaruus
authentic	aito
authenticate	todentaa
authentication	todennus
authenticity	aitous
author	kirjailija
authoritative	arvovaltainen
authority	auktoriteetti
authorization	valtuutus
authorize	valtuuttaa
authorized	valtuutettu
authorship	kirjailijanura
autism	autismi
autistic	autistinen
auto	auto
autobiographical	omaelämäkerrallinen
autobiography	omaelämäkerta
autocorrect	Automaattisen korjauksen
autocratic	itsevaltainen
autograph	omakätinen nimikirjoitus
autographed	nimikirjoituksella
automated	automatisoitu
automatic	Automaattinen
automobile	auto
automotive	autojen
autonomy	autonomia
autopilot	autopilotti
autopsy	ruumiinavaus
autumn	syksy
auxiliary	apu-
avail	hyödyttää
availability	saatavuus
available	käytettävissä
avalanche	lumivyöry
avarice	ahneus
avatar	avatar
avenge	kostaa
avenger	kostaja
avenging	koston
avenue	katu
aver	NO TRANSLATION
average	keskiverto
aversation	NO TRANSLATION
averse	vastahakoinen
averseness	averseness
aversion	vastenmielisyys
avert	ehkäistä
aviary	lintuhuone
aviation	ilmailu
aviator	lentäjä
avid	innokas
avocado	avokado
avoid	välttää
avoidance	välttäminen
avoiding	välttää
await	odottaa
awake	hereillä
awaken	herännyt
awakening	herääminen
award	myöntää
awards	palkinnot
aware	tietoinen
awareness	tietoisuus
awe	NO TRANSLATION
awed	awed
awesome	mahtava
awesomeness	mahtavuutta
awestruck	awestruck
awful	hirveä
awkward	kiusallinen
awkwardness	kiusallisuus
awning	markiisi
awry	vinossa
axe	kirves
axial	aksiaalinen
axiom	selviö
axiomatic	itsestään selvää
axis	akseli
axle	akseli
ay	kyllä
aye	kyllä
azimuth	atsimuutti
azure	taivaansininen
babble	leperrellä
babbling	höpinää
babe	tyttö
baboon	paviaani
baby	vauva
babysit	lapsenvahtina
babysitter	lapsenvahti
baccalaureate	kandidaatin arvo
baccarat	baccarat
bachelor	poikamies
bachelorette	bachelorette
back	takaisin
backboard	backboard
backbone	selkäranka
backdoor	takaovi
backdrop	taustaa
backer	tukija
backfire	kostautua
backgammon	backgammon
background	tausta
backhand	rysty-
backhoe	traktorikaivurit
backoff	peräänny
backpack	reppu
backpacker	patikoija
backroom	takahuone
backseat	takaistuin
backside	takapuoli
backtrack	ottaa takapakkia
backup	varmuuskopioida
backward	taaksepäin
backwardness	jälkeenjääneisyys
backwards	taaksepäin
backwater	suvanto
backwoods	salo
backyard	takapiha
bacon	pekoni
bacteria	bakteerit
bacterial	bakteeri-
bacterium	bakteeri
bad	huono
badass	pahis
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	kunniamerkki
badger	mäyrä
badhabit	NO TRANSLATION
badly	huonosti
badness	pahuus
baffle	hämmentää
baffled	pöllämystynyt
bag	laukku
bagel	leivos
baggage	matkatavarat
baggie	baggie
baggy	roikkuva
bagman	Bagman
bagpipes	säkkipilli
bail	takaus
bailiff	haastemies
bait	syötti
bake	leipoa
bakery	leipomo
baking	paistaminen
bal	NO TRANSLATION
balance	saldo
balanced	tasapainoinen
balcony	parveke
bald	kalju
balding	kaljuuntuva
baldy	baldy
bale	paali
balk	parru
ball	pallo
ballad	balladi
ballast	painolasti
ballerina	ballerina
ballet	baletti
ballgame	pallopeli
