Word	is
admitted	viðurkenndi
admitting	viðurkenna
admixture	blöndun
admonition	áminning
ado	ado
adobe	adobe
adolescence	unglingabólur
adolescent	unglingur
adopt	ættleiða
adoption	samþykkt
adoptive	ættleiðandi
adorable	yndislegt
adoration	tilbeiðslu
adore	adore
adoring	adoring
adorn	adorn
adornment	adornment
adrenalin	adrenalín
adrenaline	adrenalíni
adrift	rekstur
adult	fullorðinn
adulterated	útrýmt
adulterer	hórdómari
adultery	hórdómur
adulthood	fullorðinsárum
advance	fyrirfram
advanced	háþróaður
advancement	framfarir
advancing	framfarir
advantage	kostur
advantageous	hagstæðar
advent	tilkomu
adventure	ævintýri
adventurer	ævintýramaður
adventures	ævintýri
adventurous	ævintýralegt
adversary	andstæðingurinn
adverse	skaðleg
adversity	mótlæti
advertise	auglýsa
advertisement	auglýsing
advertising	auglýsingar
adverts	auglýsingar
advice	ráðgjöf
advisable	ráðlegt
advise	ráðleggja
advised	ráðlagt
advisement	ráðgjöf
adviser	ráðgjafi
advisor	ráðgjafi
advisory	ráðgefandi
advocacy	málsvörn
advocate	talsmaður
aegis	aegis
aeration	loftun
aerial	loftnet
aerobics	þolfimi
aerodrome	flugvallar
aerodynamic	loftflæði
aerodynamics	loftþynning
aeronautics	flugmála
aeroplane	flugvél
aerospace	loftrými
aesthetic	fagurfræðilegu
aesthetics	fagurfræði
aetiology	eðlisfræði
afar	langt
affable	affable
affair	mál
affect	áhrif
affecting	hafa áhrif á
affection	ástúð
affectionate	ástúðlegur
affections	ástríðu
affiche	NO TRANSLATION
affidavit	staðfesting
affiliated	tengdir
affiliation	tengsl
affinity	sækni
affirm	staðfesta
affirmation	staðfesting
affirmative	jákvætt
affirmatively	jákvætt
affix	festa
afflict	þjáningar
afflicted	þjáður
affliction	eymd
affluence	auðmýkt
affluent	auðugur
afford	hafa efni á
affordable	affordable
affront	affront
affronted	affronted
afield	í burtu
afire	eldur
afloat	á floti
afore	afore
aforementioned	áðurnefndur
aforesaid	áðurnefndur
afraid	hræddur
afresh	aftur
african	Afríku
aft	aftari
afterlife	lífslíf
aftermath	eftirfylgni
afternoon	síðdegis
aftershave	aftershave
aftertaste	eftirmynd
afterthought	eftir hugsun
aga	NO TRANSLATION
agape	agape
agate	agat
age	Aldur
aged	á aldrinum
agency	auglýsingastofu
agenda	dagskrá
agent	umboðsmaður
agglomeration	þéttbýli
aggravate	versna
aggravated	versnað
aggravates	versnar
aggravating	versna
aggravation	versnun
aggregate	samanlagður
aggregation	samansafn
aggresive	NO TRANSLATION
aggression	árásargirni
aggressive	árásargjarn
aggressively	hart
aggressiveness	árásargirni
aggressor	árásarmaður
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	lipur
agility	lipurð
aging	öldrun
agitate	agitate
agitated	órólegur
agitation	óróa
aglow	aglow
agnostic	agnostic
ago	síðan
agonizing	pirrandi
agony	kvöl
agoraphobia	agoraphobia
agree	sammála
agreeable	agreeable
agreed	samþykkt
agreeing	samþykkja
agreement	samningur
agressive	NO TRANSLATION
agricultural	landbúnaðar
agriculture	landbúnaður
aground	á grunni
agua	NO TRANSLATION
ahead	framundan
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	aðstoð
aide	aide
aiding	aðstoð
aids	hjálpartæki
ail	ail
ailing	ailing
ailment	lasleiki
aim	stefna
aimless	aimless
air	loft
airbag	airbag
airborne	í lofti
aircraft	flugvélar
aircraft carrier	flugmóðurskip
airfield	flugvellinum
airhead	flugvél
airlift	loftlift
airline	flugfélag
airliner	airliner
airlock	airlock
airman	flugmaður
airplane	flugvél
airport	flugvöllur
airs	airs
airship	loftskip
airspace	loftrými
airspeed	airspeed
airstrip	airstrip
airtight	loftþétt
airway	öndunarvegi
aisle	gangstétt
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	svipað
alabaster	alabaster
alarm	viðvörun
alarm clock	Vekjaraklukka
alarmed	órótt
alarming	skelfilegur
alas	því miður
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	albúm
alchemy	gullgerðarlist
alcohol	áfengi
alcoholic	áfengi
alcoholism	áfengissýki
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	viðvörun
alertness	árvekni
alerts	tilkynningar
alfalfa	álfur
algebra	algebra
algebraic	algebraic
algorithm	reiknirit
alias	alias
alibi	alibi
alien	framandi
alienate	alienate
alienated	alienated
alienation	sölu
alight	elda
align	taktu saman
aligned	takt
alignment	röðun
alike	eins
alimentation	NO TRANSLATION
alimony	afsal
aliquot	skammtur
alive	lifandi
alkali	alkali
alkaloids	alkalóíða
allay	úthlutun
allegation	ásakanir
allege	áminna
alleged	meint
allegiance	trúfesti
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	ofnæmi
allergy	ofnæmi
alleviate	létta
alleviation	léttir
alley	sundið
alleyway	sundið
alliance	bandalag
allied	bandamanna
alligator	alligator
allocate	úthluta
allocation	úthlutun
allot	úthluta
allotment	úthlutun
allow	leyfa
allowable	leyfilegt
allowance	greiðsla
allowed	leyft
alloy	ál
allsmiles	NO TRANSLATION
allure	kærleiki
alluring	alluring
allusion	framsal
alluvial	alluvial
ally	bandamann
almanac	almanak
almighty	almáttugur
almond	möndlu
aloft	uppi
aloha	aloha
alone	ein
alongside	við hliðina á
aloof	fyrirfram
aloud	upphátt
alpha	alfa
alphabet	stafrófið
alphabetical	stafrófsröð
alpine	Alpine
alreadyyyyy	alreadyyyyy
altar	altari
altar boy	altar strákur
alter	breyta
alteration	breyting
altercation	breyting
altered	breytt
alternate	varamaður
alternating	skiptis
alternative	val
altimeter	hæðarmælir
altitude	hæð
alto	allt
altogether	að öllu leyti
aluminum	ál
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	sameining
amaretto	amaretto
amass	amass
amateur	áhugamaður
amaze	undrandi
amazed	undrandi
amazedness	NO TRANSLATION
amazement	undrun
amazing	ótrúlegt
amazingly	ótrúlega
ambassador	sendiherra
amber	gult
ambience	umhverfi
ambient	umlykur
ambiguity	tvíræðni
ambiguous	óljós
ambit	umfang
ambition	metnað
ambitious	metnaðarfullt
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	sjúkrabíll
ambush	afli
ameliorate	bæta við
amen	amen
amenable	unnt
amend	breyta
amendment	breyting
amends	breytist
amenity	aðstaða
amethyst	ametist
amiable	elskanlegur
amicable	amicable
amid	amidst
amidst	innan um
amino	amínó
ammo	ammo
ammonia	ammoníak
ammonium	ammoníum
ammunition	skotfæri
amnesia	minnisleysi
amnesty	sakleysi
amorous	amorous
amorphous	formlaust
amortization	afskriftir
amount	magn
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamín
amphibian	amphibian
amphibious	amphibious
amphitheater	hringleikahús
ample	nóg
amplification	mögnun
amplify	magna
amplitude	amplitude
amply	nóg
amputate	amputate
amputation	amputation
amuck	amuck
amulet	amulet
amuse	skemmta
amused	skemmt
amusement	skemmtunar
amusing	skemmtilegt
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	svæfingu
anaesthetic	svæfingarlyf
anagram	anagram
anal	endaþarms
analgesic	verkjalyf
analogous	hliðstæð
analogue	hliðstæða
analogy	hliðstæðni
analysis	greining
analyst	sérfræðingur
analytic	greinandi
analytical	greiningar
analyze	greina
analyzer	greiningartæki
anaphylactic	bráðaofnæmi
anarchism	anarkismi
anarchist	anarkista
anarchy	stjórnleysi
anastomosis	anastomosis
anathema	anathema
anatomic	líffærafræði
anatomy	líffærafræði
ancestor	forfaðir
ancestral	forfeður
ancestry	forfeður
anchor	akkeri
anchorage	anchorage
ancient	forn
ancillary	tengdir
androgen	andrógen
android	android
anecdote	anecdote
anemia	blóðleysi
anemic	blóðleysi
anemone	anemón
anesthesia	svæfingu
anesthesiologist	svæfingalæknir
anesthetic	svæfingarlyf
aneurysm	aneurysm
anew	á ný
angel	engill
angelic	Angelic
anger	reiði
angered	reiður
angermanagement	NO TRANSLATION
angina	hjartaöng
angiogram	hjartaöng
angiography	hjartaáfall
angle	horn
angling	veiði
angora	angora
angriest	angriest
angry	reiður
angrytweet	NO TRANSLATION
angst	ótti
anguish	angist
anguished	angist
angular	hyrndur
anhydrous	vatnsfrítt
animal	dýr
animate	hreyfa sig
animated	líflegur
animation	fjör
animosity	fjandskap
animus	animus
ankle	ökkla
anklet	anklet
annals	annálum
annex	viðhengi
annexation	viðauka
annexe	NO TRANSLATION
annihilate	tortíma
annihilated	útrýmt
annihilation	afnám
anniversary	afmæli
annotate	annotate
annotation	athugasemd
announce	tilkynna
announcement	tilkynning
announcer	tilkynnir
annoy	ónáða
annoyance	gremja
annoyed	pirraður
annoyin	NO TRANSLATION
annoying	pirrandi
annoys	pirrandi
annual	árlega
annuity	lífeyri
annul	ógilda
annular	hringlaga
annulment	ógilding
annulus	annulus
anointed	smurðir
anointing	smurning
anomalous	óeðlilegt
anomaly	frávik
anon	Anon
anonymity	nafnleynd
anonymous	nafnlaust
anorexic	eiturefnafræðileg
answer	svara
answerable	svarandi
answering	svara
ant	maur
antagonism	mótun
antagonist	mótmæla
antagonistic	mótandi
antagonize	mótmæla
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	loftnet
anterior	fremri
anthem	þjóðsöngur
anthill	anthill
anthology	ættfræði
anthrax	miltbrún
anthropological	mannfræði
anthropologist	mannfræðingur
anthropology	mannfræði
anti	andstæðingur
antiaircraft	mótorhjól
antibiotic	sýklalyf
antibiotics	sýklalyf
antichrist	andkristur
anticipate	sjá fyrir
anticipation	væntingar
anticipatory	ráðandi
antics	antics
antidote	móteitur
antifungal	sveppalyf
antigravity	antigravity
antimony	antímon
antipathy	gegnheill
antiquarian	jarðfræðingur
antiquated	fornöld
antique	forn
antiques	fornminjar
antiquity	fornöld
antiseptic	sótthreinsandi
antisocial	andfélagsleg
antithesis	andstæða
antithetical	andstæðingur
antiviral	veirueyðandi
antler	Antler
antsy	antsy
anus	anus
anvil	amma
anxiety	kvíði
anxietyattack	NO TRANSLATION
anxious	kvíða
anxiousness	kvíði
anytime	hvenær sem er
aorta	aorta
aortic	aorta
apace	apace
apache	Apache
apartment	íbúð
apartments	íbúðir
apathetic	apathetic
apathy	samúð
ape	apa
aperture	ljósop
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	stykki
aplomb	aplomb
apocalypse	Apocalypse
apocalyptic	apocalyptic
apologetic	afsakandi
apologist	apologist
apologize	biðjast afsökunar
apology	afsökunarbeiðni
apostasy	fráfall
apostate	fráhvarfsmaður
apostle	postuli
apostolic	postulleg
apostrophe	frádráttur
apothecary	Apothecary
appalled	hræddur
appalling	hræðilegt
apparatus	tæki
apparel	fatnaður
apparent	augljós
apparently	greinilega
apparition	apparition
appeal	höfða
appear	birtast
appearance	útlit
appease	appease
appellant	Appellant
append	bæta við
appendage	appendage
appendectomy	appendectomy
appendicitis	bláæðabólga
appendix	viðauka
appetite	matarlyst
appetizer	appetizer
appetizing	appetizing
applaud	applaud
applause	applause
apple	epli
apple juice	eplasafi
applejack	applejack
applesauce	eplasauce
appliance	heimilistæki
appliances	tæki
applicability	notagildi
applicable	gilda
applicant	umsækjandi
application	umsókn
apply	sækja um
appoint	skipa
appointment	skipun
appointments	skipanir
apportion	skipting
apportionment	skipting
appraisal	mat
appraise	meta
appreciable	merkjanlegur
appreciate	þakka
appreciated	vel metið
appreciates	þakkar
appreciation	þakklæti
appreciative	þakklátur
apprehend	gripið
apprehension	kvíða
apprehensive	kvíða
apprentice	lærlingur
apprenticeship	nám
approach	nálgun
approaching	nálgast
approbate	NO TRANSLATION
approbation	samþykki
appropriate	viðeigandi
appropriation	ráðstöfun
approval	samþykki
approve	samþykkja
approved	samþykkt
approvement	samþykki
approving	samþykkja
approximate	áætlað
approximately	um það bil
approximating	samræma
approximation	nálgun
appurtenances	appurtenances
apricot	apríkósu
apron	svuntur
apt	líklegur
aptitude	hæfni
aqua	aqua
aquamarine	aquamarine
aquarium	fiskabúr
aquatic	vatni
aqueduct	vatnsduft
aqueous	vatnskenndur
arable	ræktanlegt
arbiter	Arbiter
arbitrary	handahófi
arbitrate	gerðardómur
arbitration	gerðardómi
arbitrator	gerðarmaður
arbor	Arbor
arc	boga
arcade	spilakassa
arcane	Bogagöng
arch	bogi
archaeological	fornleifafræði
archaeologist	fornleifafræðingur
archaeology	fornleifafræði
archaic	archaic
archangel	archangel
archbishop	erkibiskup
archdiocese	archdiocese
archduke	archduke
arched	boginn
archer	Archer
archery	bogfimi
archetype	archetype
archipelago	eyjaklasi
architect	arkitekt
architectural	byggingarlistar
architecture	arkitektúr
archive	skjalasafn
arctic	norðurslóðir
ardent	ardent
ardor	ardor
arduous	erfið
area	svæði
arena	vettvangur
areola	eruola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	rífast
argument	rök
argumentation	rök
argumentative	rökandi
arguments	rök
arid	þurr
arise	koma upp
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	reikningur
ark	örk
arm	armur
armada	armada
armament	vopn
armaments	vopnabúnaður
armature	armature
armchair	hægindastóll
armed	vopnaðir
armor	Brynja
armored	brynjaður
armory	Armory
armpit	handarkrika
arms	hendur
army	her
aroma	ilm
aromatherapy	aromatherapy
arousal	uppvakningur
arouse	vekja
aroused	vaknaði
arraignment	afskipti
arrange	raða
arranged	raðað
arrangement	fyrirkomulag
array	array
arrears	vanskilum
arrest	handtaka
arrhythmia	hjartsláttartruflanir
arrival	komu
arrive	koma
arrogance	hroka
arrogant	hrokafullur
arrow	ör
arsehole	arsehle
arseholes	arsehols
arsenal	vopnabúr
arsenic	arsen
arson	vopnabúr
arsonist	arsonist
art	list
arterial	slagæð
artery	slagæð
artful	artful
arthritis	liðagigt
arthropod	arthropod
artichoke	artichoke
article	grein
articles	greinar
articulate	laga
articulation	articulation
artifact	artifact
artifice	artifice
artificial	gervi
artillery	stórskotalið
artisan	handverksmaður
artist	listamaður
artiste	NO TRANSLATION
artistic	listrænn
artistry	listfræði
artists	listamenn
artwork	listaverk
arty	Arty
asap	sem fyrst
asbestos	asbest
ascend	stíga upp
ascendancy	uppstigning
ascendant	ascendant
ascending	stigandi
ascension	uppstigning
ascent	hækkun
ascertain	ganga úr skugga um
ascertained	staðfest
ascetic	ascetic
ash	Aska
ashamed	skammast sín
ashes	Aska
ashtray	ashtray
asinine	asinín
ask	spyrja
asleeep	NO TRANSLATION
asleep	sofandi
asp	asp
asparagus	aspas
aspartame	aspartam
aspect	þætti
aspects	þætti
aspen	Aspen
asphalt	malbik
asphyxia	asphyxia
asphyxiation	kvölun
aspiration	von
aspire	þrá
aspirin	aspirín
aspiring	aspirín
ass	rass
assail	assail
assailant	árásarmaður
assassin	morðingi
assassinate	myrða
assassination	morð
assault	árás
assay	prófun
assemblage	assemblage
assemble	setja saman
assembled	saman
assembly	samkoma
assemblyman	söfnuður
assent	samþykki
assert	fullyrða
asserting	fullyrða
assertion	staðhæfing
assertive	assertive
assess	meta
assessment	mat
assessor	matsmaður
asset	eign
assets	eignir
asshole	rassgat
assign	úthluta
assignee	eigandi
assignment	verkefni
assimilate	taka saman
assimilation	samlagning
assist	aðstoða
assistance	aðstoð
assistant	aðstoðarmaður
associate	félagi
association	samtök
assorted	fjölbreytt
assortment	úrval
assuage	hneykslast
assume	gera ráð fyrir
assumed	ráð
assuming	að því gefnu
assumption	forsendu
assurance	trygging
assure	tryggja
assured	tryggt
assuredly	vissulega
asterisk	stjörnu
asteroid	smástirni
asteroids	smástirni
asthma	astma
asthmatic	astma
astigmatism	astigmatism
astonish	undra
astonished	undrandi
astonishing	undraverður
astonishingly	NO TRANSLATION
astonishment	undrun
astound	ótrúlegt
astral	astral
astray	afvega
astringent	astringent
astrologer	stjörnuspekingur
astrology	stjörnuspeki
astronaut	geimfari
astronomer	stjörnufræðingur
astronomical	stjarnfræðilegur
astronomy	stjörnufræði
astute	stórt
asunder	asunder
asylum	hæli
asymmetric	ósamhverfar
asymmetry	ósamhverfi
asymptotic	sýklalyfja
atelier	atelier
atheism	trúleysi
atheist	trúleysingi
atheistic	trúleysingi
atherosclerosis	æðakölkun
athlete	íþróttamaður
athletic	íþróttamaður
athleticism	Athleticism
athletics	íþróttum
atlas	Atlas
atmosphere	andrúmsloft
atmospheric	andrúmslofti
atoll	atoll
atom	atóm
atomic	kjarnorku
atone	sæta
atonement	friðþæging
atpeace	atpeace
atrium	atrium
atrocious	gremjulegur
atrocity	grimmdarverk
atrophy	rýrnun
attach	hengja við
attached	fylgir
attachment	viðhengi
attack	árás
attacker	árásarmaður
attacking	ráðast á
attain	ná
attainable	náðist
attainment	námi
attempt	tilraun
attempted	reynt
attend	mæta
attendance	aðsókn
attendant	aðstoðarmaður
attention	athygli
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	gaum
attenuate	draga úr
attenuated	dregið úr
attenuation	dregið úr
attest	vottorð
attestation	staðfesting
attic	háaloftinu
attire	búningur
attitude	viðhorf
attorney	lögfræðingur
attract	aðlaða
attraction	aðdráttarafl
attractive	aðlaðandi
attractiveness	aðdráttarafl
attributable	rekja má til
attribute	eigindi
attribution	tilvísun
attrition	afnám
auburn	kastala
auction	uppboð
auctioneer	auctioneer
audacious	heyrnarlaus
audacity	þrautseigju
audible	heyranlegur
audience	áhorfendur
audio	hljóð
audit	endurskoðun
audition	audition
auditions	úttektir
auditor	endurskoðandi
auditorium	forstofa
auditory	heyrnartæki
aught	eitthvað
augment	augment
augmentation	augmentation
august	ágúst
aunt	frænka
auntie	frænka
aura	aura
aurora	aurora
auspices	auspices
auspicious	veglega
austere	austere
austerity	austerity
authentic	ekta
authenticate	auðkenna
authentication	auðkenning
authenticity	áreiðanleiki
author	höfundur
authoritative	opinber
authority	vald
authorization	heimild
authorize	heimila
authorized	heimilt
authorship	höfundaréttur
autism	einhverfu
autistic	autistic
auto	sjálfvirkt
autobiographical	sjálfsævisöguleg
autobiography	sjálfsævisaga
autocorrect	autocorrect
autocratic	autocratic
autograph	handrit
autographed	autographed
automated	sjálfvirk
automatic	sjálfvirk
automobile	bifreið
automotive	bíla
autonomy	sjálfstæði
autopilot	autopilot
autopsy	gervitungl
autumn	haust
auxiliary	hjálpartæki
avail	nýta
availability	framboð
available	laus
avalanche	snjóflóð
avarice	afarice
avatar	avatar
avenge	hefnd
avenger	afenger
avenging	hefna
avenue	Avenue
aver	NO TRANSLATION
average	meðaltal
aversation	NO TRANSLATION
averse	averse
averseness	averseness
aversion	aversion
avert	afvegaleiða
aviary	fuglalíf
aviation	flug
aviator	flugmaður
avid	gráðugur
avocado	avókadó
avoid	forðast
avoidance	forðast
avoiding	forðast
await	bíða eftir
awake	vakandi
awaken	vakna
awakening	vakning
award	verðlaun
awards	verðlaun
aware	meðvitaðir
awareness	vitund
awe	NO TRANSLATION
awed	awed
awesome	æðislegur
awesomeness	awesomeness
awestruck	awestruck
awful	hræðilegt
awkward	óþægilegur
awkwardness	óþægindi
awning	awning
awry	skítugt
axe	Öxi
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	ás
axle	ás
ay	ay
aye	aye
azimuth	azimuth
azure	Azure
babble	babble
babbling	babbling
babe	elskan
baboon	bavian
baby	elskan
babysit	barnapössun
babysitter	barnapössun
baccalaureate	námsbraut
baccarat	baccarat
bachelor	BS
bachelorette	bachelorette
back	aftur
backboard	bakplata
backbone	burðarás
backdoor	bakdyr
backdrop	bakgrunn
backer	stuðningsmaður
backfire	eldsvoða
backgammon	kotra
background	bakgrunnur
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	bakpoki
backpacker	backpacker
backroom	bakherbergi
backseat	baksæti
backside	bakhlið
backtrack	backtrack
backup	öryggisafrit
backward	afturábak
backwardness	backwardness
backwards	afturábak
backwater	bakvið vatnið
backwoods	backwoods
backyard	bakgarður
bacon	beikon
bacteria	bakteríur
bacterial	baktería
bacterium	baktería
bad	slæmt
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	merki
badger	skjöldur
badhabit	NO TRANSLATION
badly	illa
badness	illa
baffle	baffle
baffled	undrandi
bag	taska
bagel	bagel
baggage	farangur
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	poka
bail	tryggingu
bailiff	dómsmálaráðherra
bait	beita
bake	baka
bakery	bakarí
baking	Baka
bal	NO TRANSLATION
balance	jafnvægi
balanced	jafnvægi
balcony	svalir
bald	sköllóttur
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bolti
ballad	ballad
ballast	kjölfestu
ballerina	ballerina
ballet	ballett
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	blöðru
ballot	atkvæðagreiðsla
ballpark	ballpark
ballplayer	ballplayer
ballpoint	boltinn
ballroom	danssalur
ballsy	ballsy
balm	smyrsl
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banani
band	hljómsveit
bandage	sárabindi
bandanna	NO TRANSLATION
bandit	bandit
bandstand	hljómsveit
bandwagon	hljómsveitarvagn
bandwidth	bandvídd
bane	bane
bang	Bang
banger	banger
banish	banna
banished	bannað
banishment	bann
banister	banister
banjo	banjo
bank	banka
banker	bankastjóri
banking	bankastarfsemi
bankroll	bankareikning
bankrupt	gjaldþrota
bankruptcy	gjaldþrot
banner	borði
banquet	veisla
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	skírn
baptismal	skírn
baptize	skírast
bar	bar
barb	grunna
barbarian	barbarian
barbaric	barbaric
barbarism	barbarismi
barbecue	grillið
barbed	barbed
barber	rakvél
barbershop	Rakara stofa
barbie doll	Barbie dúkkuna
bard	bard
bare	ber
bareback	bareback
barefoot	berfættur
barely	varla
barf	barf
bargain	samkomulag
bargaining	samningaviðræður
barge	pramma
baritone	baritón
barium	baríum
bark	gelta
barkeep	barkeep
barks	barks
barley	Bygg
barmaid	barmaid
barman	barman
barn	hlöðu
barnacle	barnacle
barney	Barney
barnyard	barnyard
barometer	loftþrýstingur
baron	baron
baroness	baroness
baroque	barokk
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	útilokað
barrel	tunnu
barren	þroskaður
barricade	barricade
barrier	hindrun
barring	útilokun
barrister	barrister
barroom	barroom
barrow	barrow
bartender	barþjónn
barter	vöruskipti
base	grunnur
baseball	baseball
baseball bat	hafnaboltakylfa
baseboard	baseboard
baseless	baseless
baseline	grunngildi
baseman	baseman
basement	kjallara
bases	undirstöður
bash	bash
