Word	ne
adherent	पालन ​​गर्नुहोस्
adhering	पालन ​​गर्दै
adhesion	आसंजन
adhesive	टाँसन वाला
adieu	adieu
adipose	एडपोज गर्नुहोस्
adjacency	निकटता
adjacent	आसन्न
adjective	विशेषण
adjoining	adjoining
adjourn	विघटन
adjournment	विघटन
adjudicate	adjudicate
adjudication	adjudication
adjunct	adjunct
adjust	समायोजन गर्नुहोस्
adjuster	adjuster
adjustment	समायोजन
adjuvant	adjuvant
admin	व्यवस्थापक
administer	प्रशासन
administration	प्रशासन
administrative	प्रशासनिक
administrator	प्रशासक
admirable	प्रशंसनीय
admiral	admiral
admiralty	admiralty
admiration	प्रशंसा
admire	प्रशंसा गर्नुहोस्
admired	प्रशंसा गरे
admirer	प्रशंसक
admiring	प्रशंसा गर्दै
admissibility	स्वीकार्यता
admissible	स्वीकार्य
admission	प्रवेश
admit	स्वीकार गर्नुहोस्
admittance	दाबी
admitted	दाखिल भएको
admitting	स्वीकार गर्दै
admixture	admixture
admonition	सल्लाह
ado	ado
adobe	एडोब
adolescence	किशोरावस्था
adolescent	किशोर
adopt	अप्ठेरो
adoption	स्वीकृति
adoptive	ग्रहण
adorable	आराध्य
adoration	सजावट
adore	रुचाउँछन्
adoring	पालन ​​गर्दै
adorn	सङ्कलन
adornment	पुरूष
adrenalin	adrenalin
adrenaline	एड्रेनालिन
adrift	ईश्वर
adult	वयस्क
adulterated	व्यभिचारित
adulterer	व्यभिचारी
adultery	व्यभिचार
adulthood	वयस्क
advance	अग्रिम
advanced	उन्नत
advancement	प्रगति
advancing	अग्रगामी
advantage	फाइदा
advantageous	फायदेमंद
advent	आगमन
adventure	साहसिक
adventurer	साहसी
adventures	रोमांच
adventurous	साहसी
adversary	विपक्षी
adverse	प्रतिकूल
adversity	विपत्ति
advertise	विज्ञापन गर्नुहोस्
advertisement	विज्ञापन
advertising	विज्ञापन
adverts	विज्ञापन गर्दछ
advice	सल्लाह
advisable	सल्लाहकार
advise	सल्लाह
advised	सल्लाह दिए
advisement	सल्लाह
adviser	सल्लाहकार
advisor	सलाहकार
advisory	सल्लाहकार
advocacy	वकालत
advocate	अधिवक्ता
aegis	aegis
aeration	वायुसेना
aerial	हवाई
aerobics	एरोबिक्स
aerodrome	aerodrome
aerodynamic	विमानस्थल
aerodynamics	विमानस्थल
aeronautics	वैमानिकी
aeroplane	हवाई जहाज
aerospace	एयरोस्पेस
aesthetic	सौंदर्य
aesthetics	सौंदर्यशास्त्र
aetiology	एथियोपोलोजी
afar	afar
affable	प्रभावकारी
affair	मामला
affect	प्रभाव पार्छ
affecting	प्रभाव पार्छ
affection	स्नेह
affectionate	प्रेमी
affections	प्रभावहरू
affiche	NO TRANSLATION
affidavit	Affidavit
affiliated	सम्बद्ध
affiliation	सम्बद्धता
affinity	आत्मीयता
affirm	पुष्टि गर्नुहोस्
affirmation	पुष्टि
affirmative	सकारात्मक
affirmatively	सकारात्मक रूपमा
affix	affix
afflict	पीडा
afflicted	पीडा भयो
affliction	दुखाइ
affluence	सम्मोहन
affluent	अमीर
afford	सस्तो
affordable	सस्ती
affront	अनुहार
affronted	सामना गरियो
afield	afield
afire	आगो
afloat	afloat
afore	afore
aforementioned	उपराष्ट्रपति
aforesaid	aforesaid
afraid	डराउनु
afresh	नयाँ
african	अफ्रिका
aft	aft
afterlife	पछि जीवन
aftermath	पछि
afternoon	दोहोरो
aftershave	aftershave
aftertaste	aftertaste
afterthought	पछि
aga	NO TRANSLATION
agape	agape
agate	उमेर
age	उमेर
aged	उमेर
agency	एजेन्सी
agenda	एजेन्डा
agent	एजेन्ट
agglomeration	चकलेट
aggravate	बढ्दो
aggravated	बढ्यो
aggravates	बढ्छ
aggravating	बढ्दो
aggravation	बढ्दो
aggregate	कुल
aggregation	एकत्रीकरण
aggresive	NO TRANSLATION
aggression	आक्रामकता
aggressive	आक्रामक
aggressively	आक्रामक
aggressiveness	आक्रामकता
aggressor	आक्रामक
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	तीज
agility	चपलता
aging	उमेर
agitate	आचरण गर्नुहोस्
agitated	उत्तेजित भयो
agitation	आलोचना
aglow	aglow
agnostic	agnostic
ago	पहिले
agonizing	आलोचना
agony	पीडा
agoraphobia	agoraphobia
agree	सहमत हुनुहोस्
agreeable	सहमत
agreed	सहमत भयो
agreeing	सहमत हुनुहोस्
agreement	सम्झौता
agressive	NO TRANSLATION
agricultural	कृषि
agriculture	कृषि
aground	aground
agua	NO TRANSLATION
ahead	अगाडि
ahhh	आह
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	सहायता
aide	सहयोगी
aiding	सहायता
aids	एड्स
ail	ail
ailing	तेल
ailment	रोग
aim	उद्देश्य
aimless	लक्ष्यहीन
air	हावा
airbag	airbag
airborne	हवाई
aircraft	विमानस्थलमा
aircraft carrier	विमान वाहक
airfield	वायुसेना
airhead	एयरहेड
airlift	हवाई जहाज
airline	एयरलाइन
airliner	हवाई जहाज
airlock	airlock
airman	airman
airplane	हवाई जहाज
airport	हवाई अड्डा
airs	हावा
airship	हवाई जहाज
airspace	एयरस्पेस
airspeed	airspeed
airstrip	हवाई जहाज
airtight	उज्यालो
airway	हवाई मार्ग
aisle	हवाई जहाज
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	अलार्म
alarm clock	अलार्म घडी
alarmed	खतरनाक छ
alarming	खतरनाक
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	एल्बम
alchemy	रसायन विज्ञान
alcohol	शराब
alcoholic	शराब
alcoholism	रक्सी
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	चेतावनी
alertness	सतर्कता
alerts	अलर्टहरू
alfalfa	alfalfa
algebra	बीजगणना
algebraic	बीजगणना
algorithm	एल्गोरिदम
alias	उपनाम
alibi	alibi
alien	विदेशी
alienate	अठोट
alienated	विलय भयो
alienation	अलगाव
alight	अलाइट
align	पङ्क्तिबद्ध गर्नुहोस्
aligned	पङ्क्तिबद्ध
alignment	संरेखण
alike	समान
alimentation	NO TRANSLATION
alimony	गलती
aliquot	aliquot
alive	जीवित
alkali	alkali
alkaloids	alkaloids
allay	सबै
allegation	आरोप
allege	आरोप लगाउँछन्
alleged	कथित
allegiance	निष्ठा
allegorical	आरोपित
allegory	आरोप
allegro	allegro
allergic	एलर्जी
allergy	एलर्जी
alleviate	घटाउनुहोस्
alleviation	कमजोरी
alley	गल्ली
alleyway	अल्लेवेवे
alliance	गठबन्धन
allied	सहयोगी
alligator	आविष्कारक
allocate	आवंटित गर्नुहोस्
allocation	आवंटन
allot	आवारा
allotment	आवंटन
allow	अनुमति दिनुहोस्
allowable	स्वीकार्य
allowance	भत्ता
allowed	अनुमति दिइयो
alloy	मिश्र धातु
allsmiles	NO TRANSLATION
allure	अलौकिक
alluring	आकर्षक
allusion	विलुप्तता
alluvial	अलौलिक
ally	सहयोगी
almanac	almanac
almighty	सर्वशक्तिमान
almond	बदाम
aloft	aloft
aloha	aloha
alone	एक्लै
alongside	साथमा
aloof	aloof
aloud	गडबड
alpha	अल्फा
alphabet	वर्णमाला
alphabetical	वर्णमाला
alpine	अल्पाइन
alreadyyyyy	alreadyyyyy
altar	वेदी
altar boy	वेदीको केटा
alter	बदल्नुहोस्
alteration	परिवर्तन
altercation	altercation
altered	परिवर्तन गरियो
alternate	वैकल्पिक
alternating	वैकल्पिक
alternative	विकल्प
altimeter	altimeter
altitude	अक्षांश
alto	alto
altogether	पूर्णरूपमा
aluminum	एल्युमिनियम
alumnus	अलमारी
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	मिश्रण
amaretto	amaretto
amass	amass
amateur	शौकिया
amaze	अजीब
amazed	चकित
amazedness	NO TRANSLATION
amazement	चकित
amazing	अद्भुत
amazingly	आश्चर्यजनक
ambassador	Ambassador
amber	एम्बर
ambience	वातावरण
ambient	परिवेश
ambiguity	अस्पष्टता
ambiguous	अस्पष्ट
ambit	ambit
ambition	महत्वाकांक्षी
ambitious	महत्वाकांक्षी
ambivalent	अस्पष्ट
ambrosia	ambrosia
ambulance	यम्बुलेन्स
ambush	अटूट
ameliorate	बढाउनुहोस्
amen	amen
amenable	उत्तरदायी
amend	संशोधन गर्नुहोस्
amendment	संशोधन
amends	amends
amenity	सुविधा
amethyst	शिष्टाचार
amiable	अयोग्य
amicable	amicable
amid	बीचमा
amidst	मा
amino	amino
ammo	एमोमो
ammonia	अमोनिया
ammonium	अमोनियम
ammunition	गोला बारूद
amnesia	amnesia
amnesty	ईमानदारी
amorous	अमूल्य
amorphous	अमूल्य
amortization	परिशोधन
amount	राशि
amour	NO TRANSLATION
amp	amp
ampersand	एम्परसन
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	एम्पिथिएटर
ample	पर्याप्त
amplification	प्रवर्धन
amplify	प्रवर्द्धन गर्नुहोस्
amplitude	आयाम
amply	amply
amputate	निर्गत
amputation	मापन
amuck	अचम्म
amulet	चकलेट
amuse	प्रयोग गर्नुहोस्
amused	amused
amusement	मनोरञ्जन
amusing	मनोरञ्जन
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	एनेस्थेसिया
anaesthetic	अनुहार
anagram	anagram
anal	गुदा
analgesic	एन्जिल्सिक
analogous	अनुरूप
analogue	एनालग
analogy	एनालॉग
analysis	विश्लेषण
analyst	विश्लेषक
analytic	विश्लेषणात्मक
analytical	विश्लेषणात्मक
analyze	विश्लेषण गर्नुहोस्
analyzer	विश्लेषक
anaphylactic	अनाफालिटिक
anarchism	अराजकता
anarchist	अराजकतावादी
anarchy	अराजकता
anastomosis	अनास्टोमोसिस
anathema	anathema
anatomic	anatomic
anatomy	एनाटमी
ancestor	पूर्वज
ancestral	पुर्खा
ancestry	पूर्वज
anchor	एंकर
anchorage	लंगर
ancient	प्राचीन
ancillary	सहायक
androgen	androgen
android	android
anecdote	एकोडोट
anemia	रक्तअल्पता
anemic	अनीमिक
anemone	एनिमोन
anesthesia	एनेस्थेसिया
anesthesiologist	एनेस्नेविओलोजिस्ट
anesthetic	अनुहार
aneurysm	aneurysm
anew	नयाँ
angel	परी
angelic	स्वर्गदूत
anger	रिस
angered	रिस उठ्यो
angermanagement	NO TRANSLATION
angina	एन्जिना
angiogram	एंजियोोग्राम
angiography	एंजियोोग्राफी
angle	कोण
angling	एङ्गलिंग
angora	एङ्गोरा
angriest	ईश्वर
angry	रिस उठ्यो
angrytweet	NO TRANSLATION
angst	एन्स्ट
anguish	दु: खी
anguished	दु: खी
angular	कोणीय
anhydrous	anhydrous
animal	जनावर
animate	animate
animated	एनिमेटेड
animation	एनिमेसन
animosity	animosity
animus	एनिमस
ankle	टंक
anklet	बाँदर
annals	सालहरू
annex	अनुलग्नक
annexation	अनुलग्नक
annexe	NO TRANSLATION
annihilate	विनाश
annihilated	विनाश
annihilation	विनाश
anniversary	सालगिरह
annotate	एनोटेट गर्नुहोस्
annotation	एनोटेशन
announce	घोषणा गर्नुहोस्
announcement	घोषणा
announcer	उद्घोषक
annoy	घृणा गर्नुहोस्
annoyance	कष्टप्रद
annoyed	घमन्ड
annoyin	NO TRANSLATION
annoying	कष्टप्रद
annoys	कष्टप्रद
annual	वार्षिक
annuity	वार्षिकी
annul	annul
annular	कूलर
annulment	अनुकरण
annulus	annulus
anointed	अभिषिक्त
anointing	अभिषिक्त
anomalous	विषम
anomaly	विसंगति
anon	एन
anonymity	अज्ञातता
anonymous	बेनामी
anorexic	Anorexic
answer	जवाफ दिनुहोस्
answerable	उत्तरदायी
answering	जवाफ दिँदै
ant	ant
antagonism	विरोधाभास
antagonist	विरोधी
antagonistic	विरोधी
antagonize	विरोध गर्दछ
ante	NO TRANSLATION
antecedent	antecedent
antelope	एन्टिओप
antenna	एंटीना
anterior	anterior
anthem	गान्धी
anthill	एन्थिल
anthology	अर्थशास्त्र
anthrax	Anthrax
anthropological	वैज्ञानिक
anthropologist	मानवविज्ञानी
anthropology	मानव विज्ञान
anti	anti
antiaircraft	antiaircraft
antibiotic	एंटीबायोटिक
antibiotics	एंटीबायोटिक्स
antichrist	विरोधी
anticipate	प्रत्याशित
anticipation	प्रत्याशा
anticipatory	प्रत्याशित
antics	एन्टिटिक्स
antidote	एंटीडोट
antifungal	antifungal
antigravity	तीव्रता
antimony	antimony
antipathy	antipathy
antiquarian	प्राचीन
antiquated	प्राचीन
antique	antique
antiques	प्राचीन वस्तुहरु
antiquity	पुरातात्विक
antiseptic	एंटीसेप्टिक
antisocial	antisocial
antithesis	antithesis
antithetical	विख्यात
antiviral	एंटीवायरल
antler	antler
antsy	antsy
anus	anus
anvil	अंडिल
anxiety	चिन्ता
anxietyattack	NO TRANSLATION
anxious	चिन्तित
anxiousness	चिन्तित
anytime	कुनै पनि समय
aorta	एरर्टा
aortic	हवाई
apace	apace
apache	apache
apartment	अपार्टमेन्ट
apartments	अपार्टमेन्टहरू
apathetic	बेपत्ता
apathy	बेपत्ता
ape	ape
aperture	एपर्चर
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	सान्त्वना
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	अपोलिपिकल
apologetic	क्षमादान
apologist	माफी मानेको
apologize	माफी माग
apology	क्षमादान
apostasy	धर्मत्यागी
apostate	प्रेरित
apostle	प्रेरित
apostolic	प्रेरित
apostrophe	apostrophe
apothecary	apothecary
appalled	अपिल गरिएको
appalling	अप्ठ्यारो
apparatus	उपकरण
apparel	परिधान
apparent	स्पष्ट
apparently	जाडोमा
apparition	प्रहार
appeal	अपील
appear	देखा पर्दछ
appearance	उपस्थिति
appease	अपील गर्नुहोस्
appellant	अपीलेंट
append	जोड्नुहोस्
appendage	परिशिष्ट
appendectomy	एपेंटेन्टेक्टोमीमी
appendicitis	एन्सेन्डिकिसिस
appendix	परिशिष्ट
appetite	भूख
appetizer	आवेदक
appetizing	हिसाब गर्दै
applaud	प्रशंसा
applause	प्रशंसा
apple	स्याऊ
apple juice	स्याउको रस
applejack	applejack
applesauce	applesauce
appliance	उपकरण
appliances	उपकरणहरू
applicability	आवेदनपत्र
applicable	लागू
applicant	आवेदक
application	अनुप्रयोग
apply	निवेदन गर्नु
appoint	नियुक्ति गर्नुहोस्
appointment	नियुक्ति
appointments	नियुक्तिहरू
apportion	खोजी
apportionment	अप्ठ्यारो
appraisal	मूल्याङ्कन
appraise	मूल्याङ्कन गर्नुहोस्
appreciable	सराहनीय
appreciate	कदर गर्छौं
appreciated	सराहना
appreciates	सराहना गर्छु
appreciation	सराहना
appreciative	सराहनात्मक
apprehend	घृणा गर्नुहोस्
apprehension	भनाई
apprehensive	आभारी
apprentice	प्रशिक्षक
apprenticeship	प्रशिक्षक
approach	दृष्टिकोण
approaching	आउँदैछ
approbate	NO TRANSLATION
approbation	अनुमोदन
appropriate	उपयुक्त
appropriation	अनुमोदन
approval	अनुमोदन
approve	अनुमोदन गर्नुहोस्
approved	स्वीकृत
approvement	अनुमोदन
approving	अनुमोदन गर्दै
approximate	अनुमानित
approximately	लगभग
approximating	approximating
approximation	approximation
appurtenances	appurtenances
apricot	खूबानी
apron	एप्रन
apt	apt
aptitude	योग्यता
aqua	aqua
aquamarine	aquamarine
aquarium	एक्वैरियम
aquatic	जलीय
aqueduct	अक्टोबर
aqueous	जलीय
arable	अयोग्य
arbiter	arbiter
arbitrary	मनोनयन
arbitrate	मध्यस्थता
arbitration	मध्यस्थता
arbitrator	मध्यस्थ
arbor	arbor
arc	arc
arcade	आर्केड
arcane	arcane
arch	आर्क
archaeological	पुरातात्विक
archaeologist	पुरातत्वविद्
archaeology	पुरातत्व
archaic	पुरातन
archangel	पुरातत्व
archbishop	आर्कबिशप
archdiocese	archdiocese
archduke	archduke
arched	आर्यो
archer	आर्चर
archery	धनुविद्या
archetype	archetype
archipelago	द्वीपसमूह
architect	नक्शा वा रुपरेखा तयार पार्ने व्यक्ति
architectural	वास्तुकला
architecture	वास्तुकला
archive	संग्रह
arctic	आर्कटिक
ardent	ardent
ardor	ardor
arduous	कठिन
area	क्षेत्र
arena	क्षेत्र
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	तर्क गर्नुहोस्
argument	तर्क
argumentation	तर्क
argumentative	तर्कवादी
arguments	तर्कहरू
arid	arid
arise	उठ्यो
aristocracy	पुरालेख
aristocrat	aristocrat
aristocratic	अज्ञात
arithmetic	गणित
ark	सन्दूक
arm	हात
armada	armada
armament	armament
armaments	आर्मामेंट्स
armature	आर्मेन्सी
armchair	armchair
armed	सशस्त्र
armor	कवच
armored	बख्तरबंद
armory	सशस्त्र
armpit	armpit
arms	हतियार
army	सेना
aroma	महोदय
aromatherapy	आरोमथेरेपी
arousal	arousal
arouse	जोगाउनुहुन्छ
aroused	उठ्यो
arraignment	धमनी
arrange	व्यवस्थित गर्नुहोस्
arranged	व्यवस्थित
arrangement	व्यवस्था
array	array
arrears	खरिदहरू
arrest	पक्राउ
arrhythmia	arrhythmia
arrival	आगमन
arrive	आइपुग्यो
arrogance	अहंकार
arrogant	घमण्डी
arrow	तीर
arsehole	arsehole
arseholes	arseholes
arsenal	शस्त्रागार
arsenic	आर्सेनिक
arson	चकलेट
arsonist	आलोचनावादी
art	कला
arterial	धमनी
artery	धमनी
artful	आभारी
arthritis	गठिया
arthropod	आर्थोटोड
artichoke	कलाचोक
article	लेख
articles	लेखहरू
articulate	वर्णन गर्नुहोस्
articulation	वर्णन
artifact	कलाकृति
artifice	कलाकृति
artificial	कृत्रिम
artillery	तोडफोड
artisan	artisan
artist	कलाकार
artiste	NO TRANSLATION
artistic	कलात्मक
artistry	कलात्मक
artists	कलाकारहरू
artwork	कलाकृति
arty	Arty
asap	जति सक्दो चाडो
asbestos	एस्बेस्टोस
ascend	माथि उठ्छ
ascendancy	उदयपुर
ascendant	उदयपुर
ascending	आउँदैछ
ascension	ascension
ascent	एसिन्ट
ascertain	आश्वस्त
ascertained	साबित भयो
ascetic	हिट
ash	आश
ashamed	शर्मिला
ashes	ashes
ashtray	ashtray
asinine	asinine
ask	सोध्नु
asleeep	NO TRANSLATION
asleep	सुत्नु
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	पहलू
aspects	पहलहरु
aspen	एस्पेन
asphalt	डामर
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	आशिष्
aspire	aspire
aspirin	एस्पिरिन
aspiring	इच्छुक
ass	गधा
assail	गल्ती
assailant	आक्रमणकारी
assassin	हत्यारा
assassinate	हत्यारा
assassination	हत्या
assault	आक्रमण
assay	समलैंगिक
assemblage	सम्मेलन
assemble	सङ्कलन गर्नुहोस्
assembled	इकट्ठा
assembly	विधानसभा
assemblyman	विधानसभा
assent	आश्वस्त
assert	गल्ती गर्नुहोस्
asserting	धम्की
assertion	दावी
assertive	दाबी
assess	मूल्याङ्कन गर्नुहोस्
assessment	मूल्यांकन
assessor	समीक्षक
asset	सम्पत्ति
assets	सम्पत्तिहरू
asshole	गधे
assign	असाइन गर्नुहोस्
assignee	असाइन
assignment	असाइनमेंट
assimilate	आश्वासन
assimilation	assimilation
assist	सहयोग गर्नुहोस्
assistance	सहायता
assistant	सहायक
associate	सहयोगी
association	संघ
assorted	मिश्रित
assortment	वर्गीकरण
assuage	आश्वासन
assume	मानौं
assumed	मानिन्छ
assuming	मान्नु
assumption	धारणा
assurance	आश्वासन
assure	आश्वासन
assured	आश्वासन दिए
assuredly	निश्चित रूपमा
asterisk	asterisk
asteroid	क्षुद्रग्रह
asteroids	asteroids
asthma	अस्थमा
asthmatic	asthmatic
astigmatism	astigmatism
astonish	अचम्म
astonished	आश्चर्यचकित
astonishing	आश्चर्यजनक
astonishingly	NO TRANSLATION
astonishment	अचम्म
astound	अचम्म
astral	astral
astray	गल्ती
astringent	आकस्मिक
astrologer	ज्योतिषी
astrology	ज्योतिष
astronaut	अंतरिक्ष यात्री
astronomer	खगोल विज्ञान
astronomical	खगोलीय
astronomy	खगोल विज्ञान
astute	अचम्म
asunder	asunder
asylum	शरणार्थी
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	अस्तित्व
atheist	अस्थिर
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	एथलीट
athletic	एथलेटिक
athleticism	एथलेटिकवाद
athletics	एथलेटिक्स
atlas	atlas
atmosphere	वातावरण
atmospheric	वायुमंडलीय
atoll	atoll
atom	atom
atomic	परमाणु
atone	अलि
atonement	प्रायश्चित
atpeace	atpeace
atrium	atrium
atrocious	अत्याचार
atrocity	अत्याचार
atrophy	atrophy
attach	संलग्न गर्नुहोस्
attached	संलग्न
attachment	संलग्नक
attack	आक्रमण
attacker	आक्रमणकारी
attacking	आक्रमण गर्दै
attain	प्राप्त
attainable	योग्य
attainment	प्राप्ति
attempt	प्रयास
attempted	कोशिश गर्नु
attend	उपस्थित हुनुहोस्
attendance	उपस्थित
attendant	उपस्थित
attention	ध्यान
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ध्यान दिनुहोस
attenuate	जान्छ
attenuated	पुग्यो
attenuation	एन्टेनेंस
attest	attest
attestation	सत्यापन
attic	अटारी
attire	पोशाक
attitude	दृष्टिकोण
attorney	वकील
attract	आकर्षित
attraction	आकर्षण
attractive	आकर्षक
attractiveness	आकर्षण
attributable	उल्लेखनीय
attribute	विशेषता
attribution	एट्रिब्युसन
attrition	अटूट
auburn	ओबर्न
auction	नीलामी
auctioneer	नीलामी
audacious	audacious
audacity	audacity
audible	श्रव्य
audience	दर्शक
audio	अडियो
audit	अडिट
audition	audition
auditions	auditions
auditor	लेखा परीक्षक
auditorium	auditorium
auditory	आविष्कार
aught	एकदम
augment	वृद्धि
augmentation	वृद्धि
august	अगस्ट
aunt	चाची
auntie	चाची
aura	aura
aurora	andorora
auspices	अनुहारहरू
auspicious	शुभकामना
austere	austere
austerity	तपस्या
authentic	प्रामाणिक
authenticate	प्रमाणित गर्नुहोस्
authentication	प्रमाणीकरण
authenticity	प्रामाणिकता
author	लेखक
authoritative	प्राधिकृत
authority	प्राधिकरण
authorization	प्राधिकरण
authorize	प्राधिकृत
authorized	अधिकृत
authorship	लेखकत्व
autism	आटोवाद
autistic	autistic
auto	स्वत:
autobiographical	आत्मकथात्मक
autobiography	आत्मकथा
autocorrect	स्वत: सुधार
autocratic	आक्रामक
autograph	autograph
autographed	स्वतन्त्रता
automated	स्वचालित
automatic	स्वचालित
automobile	अटोमोबाइल
automotive	मोटर वाहन
autonomy	स्वतन्त्रता
