Word	zh-TW
aegis	庇護
aeration	通風
aerial	天線
aerobics	有氧運動
aerodrome	機場
aerodynamic	空氣動力學的
aerodynamics	空氣動力學
aeronautics	航空學
aeroplane	飛機
aerospace	航天
aesthetic	審美
aesthetics	美學
aetiology	病因
afar	遠
affable	和藹可親的
affair	事務
affect	影響
affecting	影響
affection	感情
affectionate	親熱
affections	感情
affiche	NO TRANSLATION
affidavit	宣誓書
affiliated	附屬
affiliation	聯繫
affinity	親和力
affirm	確認
affirmation	肯定
affirmative	肯定
affirmatively	肯定地
affix	詞綴
afflict	折磨
afflicted	折磨
affliction	痛苦
affluence	富裕
affluent	富裕的
afford	給予
affordable	實惠
affront	冒犯
affronted	冒犯
afield	遠處
afire	著火
afloat	浮著
afore	前面
aforementioned	前述的
aforesaid	前述的
afraid	害怕
afresh	重新
african	非洲人
aft	船尾
afterlife	來世
aftermath	後果
afternoon	下午
aftershave	擦面液
aftertaste	回味
afterthought	事後
aga	NO TRANSLATION
agape	純愛
agate	瑪瑙
age	年齡
aged	老
agency	機構
agenda	議程
agent	代理人
agglomeration	凝聚
aggravate	加劇
aggravated	加重
aggravates	加重
aggravating	惱人的
aggravation	加重
aggregate	骨料
aggregation	聚合
aggresive	NO TRANSLATION
aggression	侵略
aggressive	侵略性
aggressively	積極
aggressiveness	侵略性
aggressor	侵略者
agh	AGH
aghast	駭然
aghhh	NO TRANSLATION
agile	敏捷
agility	敏捷
aging	老化
agitate	激盪
agitated	激動
agitation	攪動
aglow	發紅的
agnostic	不可知
ago	前
agonizing	折騰
agony	痛苦
agoraphobia	廣場恐怖症
agree	同意
agreeable	合適的
agreed	同意
agreeing	同意
agreement	協議
agressive	NO TRANSLATION
agricultural	農業的
agriculture	農業
aground	擱淺
agua	NO TRANSLATION
ahead	先
ahhh	唉唉
ahhhhhhhh	NO TRANSLATION
ahoy	趣多多
aid	援助
aide	助手
aiding	幫助
aids	艾滋病
ail	AIL
ailing	生病
ailment	病痛
aim	目標
aimless	漫無目的
air	空氣
airbag	安全氣囊
airborne	空降
aircraft	飛機
aircraft carrier	航空母艦
airfield	機場
airhead	空降場
airlift	空運
airline	航空公司
airliner	客機
airlock	氣閘
airman	空軍
airplane	飛機
airport	飛機場
airs	擺架子
airship	飛艇
airspace	空域
airspeed	空速
airstrip	簡易機場
airtight	密閉
airway	空中航線
aisle	走道
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	又名
akin	類似的
alabaster	雪花
alarm	報警
alarm clock	鬧鐘
alarmed	驚慌
alarming	驚人
alas	唉
alb	NO TRANSLATION
albatross	信天翁
albino	白化病
album	專輯
alchemy	煉金術
alcohol	醇
alcoholic	酒精
alcoholism	酗酒
alcove	壁龕
alderman	市議員
ale	NO TRANSLATION
alert	警報
alertness	警覺
alerts	警報
alfalfa	苜蓿
algebra	代數
algebraic	代數
algorithm	算法
alias	別號
alibi	託辭
alien	外僑
alienate	離間
alienated	疏遠
alienation	異化
alight	落
align	對齊
aligned	對齊
alignment	對準
alike	一樣
alimentation	NO TRANSLATION
alimony	贍養費
aliquot	等份
alive	活
alkali	強鹼
alkaloids	生物鹼
allay	緩和
allegation	斷言
allege	斷言
alleged	所謂的
allegiance	忠誠
allegorical	寓言
allegory	寓言
allegro	快板
allergic	過敏的
allergy	過敏
alleviate	緩和
alleviation	緩和
alley	胡同
alleyway	胡同
alliance	聯盟
allied	聯盟的
alligator	鱷魚
allocate	分配
allocation	分配
allot	分配
allotment	配股
allow	允許
allowable	允許
allowance	津貼
allowed	允許
alloy	合金
allsmiles	NO TRANSLATION
allure	引誘
alluring	誘人
allusion	典故
alluvial	沖積
ally	盟友
almanac	歷書
almighty	大能
almond	杏仁
aloft	在高處
aloha	阿羅哈
alone	單獨
alongside	並肩
aloof	超然
aloud	高聲
alpha	α
alphabet	字母
alphabetical	拼音
alpine	高山
alreadyyyyy	NO TRANSLATION
altar	壇
altar boy	祭壇男孩
alter	改變
alteration	改造
altercation	爭吵
altered	改變
alternate	備用
alternating	交替
alternative	替代
altimeter	高度表
altitude	高度
alto	中音
altogether	共
aluminum	鋁
alumnus	校友
alveolar	肺泡
alzheimers	NO TRANSLATION
amalgam	汞合金
amalgamation	合併
amaretto	阿瑪麗托
amass	攢
amateur	業餘
amaze	驚奇
amazed	吃驚
amazedness	amazedness
amazement	驚愕
amazing	驚人
amazingly	令人驚訝
ambassador	大使
amber	琥珀色
ambience	環境
ambient	周圍
ambiguity	歧義
ambiguous	曖昧
ambit	範圍
ambition	志向
ambitious	有雄心
ambivalent	矛盾
ambrosia	神的食物
ambulance	救護車
ambush	伏擊
ameliorate	改善
amen	阿門
amenable	適合
amend	修改
amendment	修訂
amends	賠償
amenity	禮儀
amethyst	紫晶
amiable	可親
amicable	和睦
amid	際
amidst	煙雨
amino	氨基
ammo	彈藥
ammonia	氨
ammonium	氨
ammunition	彈藥
amnesia	健忘症
amnesty	大赦
amorous	戀愛的
amorphous	非晶
amortization	折舊
amount	量
amour	NO TRANSLATION
amp	功放
ampersand	符號
amphetamines	安非他明
amphibian	兩棲動物
amphibious	水陸兩用
amphitheater	圓形劇場
ample	充足
amplification	放大
amplify	放大
amplitude	振幅
amply	充分
amputate	截肢
amputation	切斷術
amuck	瘋狂地
amulet	護身符
amuse	遊玩
amused	樂
amusement	娛樂
amusing	有趣
ana	NO TRANSLATION
anaconda	森蚺
anaesthesia	麻醉
anaesthetic	麻藥
anagram	字謎
anal	肛門
analgesic	鎮痛藥
analogous	類似
analogue	類似物
analogy	比喻
analysis	分析
analyst	分析人士
analytic	解析
analytical	分析
analyze	分析
analyzer	分析儀
anaphylactic	過敏的
anarchism	無政府主義
anarchist	無政府主義者
anarchy	無政府狀態
anastomosis	吻合
anathema	詛咒
anatomic	解剖的
anatomy	解剖學
ancestor	祖先
ancestral	祖
ancestry	祖先
anchor	錨
anchorage	錨地
ancient	古
ancillary	輔助的
androgen	雄激素
android	安卓
anecdote	軼事
anemia	貧血
anemic	貧血的
anemone	海葵
anesthesia	麻醉
anesthesiologist	麻醉師
anesthetic	麻藥
aneurysm	動脈瘤
anew	重新
angel	天使
angelic	天使
anger	憤怒
angered	激怒
angermanagement	NO TRANSLATION
angina	心絞痛
angiogram	血管造影
angiography	血管造影
angle	角度
angling	釣魚
angora	兔毛
angriest	angriest
angry	憤怒
angrytweet	NO TRANSLATION
angst	焦慮
anguish	痛苦
anguished	苦澀
angular	角
anhydrous	無水
animal	動物
animate	活躍
animated	動畫
animation	動畫
animosity	敵意
animus	阿尼姆斯
ankle	踝
anklet	腳鐲
annals	志
annex	附件
annexation	合併
annexe	NO TRANSLATION
annihilate	殲滅
annihilated	全軍覆沒
annihilation	殲滅
anniversary	週年
annotate	註釋
annotation	註解
announce	宣布
announcement	公告
announcer	播音員
annoy	攪擾
annoyance	煩惱
annoyed	懊惱
annoyin	NO TRANSLATION
annoying	惱人的
annoys	惹惱
annual	全年
annuity	年金
annul	廢止
annular	環形的
annulment	廢除
annulus	環
anointed	膏
anointing	恩膏
anomalous	異常的
anomaly	不規則
anon	不久
anonymity	匿名
anonymous	匿名
anorexic	厭食症
answer	回答
answerable	可回答的
answering	回答
ant	螞蟻
antagonism	對抗
antagonist	對手
antagonistic	對抗性的
antagonize	對抗
ante	NO TRANSLATION
antecedent	前情
antelope	羚羊
antenna	天線
anterior	前面的
anthem	聖歌
anthill	垤
anthology	選集
anthrax	炭疽病
anthropological	人類學
anthropologist	人類學家
anthropology	人類學
anti	抗
antiaircraft	防空
antibiotic	抗生素
antibiotics	抗生素
antichrist	敵基督
anticipate	預料
anticipation	預期
anticipatory	預料的
antics	滑稽動作
antidote	解藥
antifungal	抗真菌
antigravity	反重力
antimony	銻
antipathy	反感
antiquarian	古玩
antiquated	陳舊的
antique	古董
antiques	古董
antiquity	古代
antiseptic	防腐劑
antisocial	反社會的
antithesis	對立
antithetical	對立的
antiviral	抗病毒
antler	鹿茸
antsy	坐立不安
anus	肛門
anvil	砧
anxiety	焦慮
anxietyattack	NO TRANSLATION
anxious	急
anxiousness	焦慮
anytime	任何時候
aorta	大動脈
aortic	主動脈
apace	快速地
apache	阿帕奇
apartment	公寓
apartments	公寓
apathetic	麻木不仁
apathy	暮氣
ape	猿
aperture	光圈
apex	頂尖
aphid	蚜
aphrodisiac	春藥
apiece	一塊
aplomb	沉著
apocalypse	啟示
apocalyptic	世界末日
apologetic	歉然
apologist	辯護士
apologize	道歉
apology	歉意
apostasy	叛教
apostate	變節者
apostle	使徒
apostolic	使徒的
apostrophe	撇號
apothecary	藥劑師
appalled	懾
appalling	駭人聽聞的
apparatus	儀器
apparel	服飾
apparent	明顯的
apparently	顯然地
apparition	幻影
appeal	上訴
appear	出現
appearance	出現
appease	安撫
appellant	上訴人
append	附加
appendage	附加物
appendectomy	闌尾切除術
appendicitis	闌尾炎
appendix	附錄
appetite	食慾
appetizer	開胃菜
appetizing	開胃的
applaud	鼓掌
applause	掌聲
apple	蘋果
apple juice	蘋果汁
applejack	蘋果白蘭地
applesauce	蘋果醬
appliance	器具
appliances	家電
applicability	適用性
applicable	適用
applicant	申請人
application	應用
apply	應用
appoint	委
appointment	約定
appointments	約會
apportion	分攤
apportionment	分攤
appraisal	評價
appraise	評價
appreciable	可感知的
appreciate	欣賞
appreciated	讚賞
appreciates	讚賞
appreciation	升值
appreciative	欣賞的
apprehend	拘押
apprehension	顧慮
apprehensive	憂慮
apprentice	學徒
apprenticeship	學徒
approach	途徑
approaching	接近
approbate	NO TRANSLATION
approbation	讚許
appropriate	適當
appropriation	撥款
approval	贊同
approve	批准
approved	批准
approvement	approvement
approving	滿意的
approximate	近似
approximately	約
approximating	逼近
approximation	近似
appurtenances	附屬物
apricot	杏
apron	圍裙
apt	易於
aptitude	能力傾向
aqua	AQUA
aquamarine	藍晶
aquarium	水族館
aquatic	水
aqueduct	水道
aqueous	水
arable	可耕的
arbiter	仲裁者
arbitrary	隨意
arbitrate	仲裁
arbitration	仲裁
arbitrator	仲裁人
arbor	喬木
arc	弧
arcade	拱廊
arcane	神秘
arch	拱
archaeological	考古學的
archaeologist	考古學家
archaeology	考古學
archaic	古老
archangel	天使
archbishop	大主教
archdiocese	教區
archduke	大公
arched	拱形的
archer	射手
archery	射箭
archetype	原型
archipelago	群島
architect	建築師
architectural	建築的
architecture	建築
archive	檔案
arctic	北極
ardent	熱心
ardor	熱情
arduous	艱鉅
area	區
arena	競技場
areola	乳暈
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	哎呀
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	爭論
argument	論據
argumentation	論證
argumentative	爭論的
arguments	參數
arid	乾旱
arise	出現
aristocracy	貴族
aristocrat	貴族
aristocratic	貴族的
arithmetic	算術
ark	方舟
arm	臂
armada	艦隊
armament	武器
armaments	軍備
armature	銜鐵
armchair	扶手椅
armed	武裝
armor	盔甲
armored	裝甲
armory	軍械庫
armpit	腋窩
arms	武器
army	軍隊
aroma	香氣
aromatherapy	芳香療法
arousal	覺醒
arouse	引起
aroused	引起
arraignment	提審
arrange	安排
arranged	安排
arrangement	安排
array	排列
arrears	欠款
arrest	逮捕
arrhythmia	心律失常
arrival	到達
arrive	到達
arrogance	傲慢
arrogant	傲慢
arrow	箭頭
arsehole	混蛋
arseholes	arseholes
arsenal	兵工廠
arsenic	砷
arson	縱火
arsonist	縱火犯
art	藝術
arterial	動脈
artery	動脈
artful	巧
arthritis	關節炎
arthropod	節肢動物
artichoke	朝鮮薊
article	文章
articles	用品
articulate	說出
articulation	關節
artifact	神器
artifice	技巧
artificial	人造
artillery	砲兵
artisan	工匠
artist	藝術家
artiste	NO TRANSLATION
artistic	藝術的
artistry	藝術性
artists	藝術家
artwork	藝術品
arty	附庸風雅
asap	盡快
asbestos	石棉
ascend	登
ascendancy	優勢
ascendant	上升的
ascending	上升
ascension	上升
ascent	上升
ascertain	探明
ascertained	確定
ascetic	苦行者
ash	灰
ashamed	羞愧
ashes	灰燼
ashtray	煙灰缸
asinine	愚蠢
ask	問
asleeep	NO TRANSLATION
asleep	睡著
asp	ASP
asparagus	蘆筍
aspartame	阿斯巴甜
aspect	方面
aspects	方面
aspen	白楊
asphalt	瀝青
asphyxia	窒息
asphyxiation	窒息
aspiration	心願
aspire	立志
aspirin	阿司匹林
aspiring	有志
ass	屁股
assail	攻擊
assailant	攻擊者
assassin	刺客
assassinate	暗殺
assassination	暗殺
assault	突擊
assay	化驗
assemblage	裝配
assemble	集合
assembled	組裝
assembly	部件
assemblyman	眾議員
assent	同意
assert	斷言
asserting	斷言
assertion	斷言
assertive	斷言的
assess	評估
assessment	評定
assessor	估稅員
asset	財富
assets	資產
asshole	混蛋
assign	分配
assignee	代理人
assignment	分配
assimilate	吸收
assimilation	同化
assist	助攻
assistance	幫助
assistant	助理
associate	關聯
association	協會
assorted	什
assortment	品種
assuage	緩和
assume	承擔
assumed	假定
assuming	假設
assumption	假設
assurance	保證
assure	保證
assured	保證
assuredly	無疑
asterisk	星號
asteroid	小行星
asteroids	小行星
asthma	哮喘
asthmatic	哮喘
astigmatism	散光
astonish	震驚
astonished	驚訝
astonishing	驚人
astonishingly	NO TRANSLATION
astonishment	驚愕
astound	驚奇
astral	星體
astray	走錯
astringent	澀
astrologer	占星家
astrology	占星術
astronaut	宇航員
astronomer	天文學家
astronomical	天文
astronomy	天文學
astute	精明
asunder	四分五裂
asylum	避難所
asymmetric	非對稱
asymmetry	不對稱
asymptotic	漸近
atelier	畫室
atheism	無神論
atheist	無神論者
atheistic	無神論
atherosclerosis	動脈粥樣硬化
athlete	運動員
athletic	競技
athleticism	運動能力
athletics	競技
atlas	輿圖
atmosphere	大氣層
atmospheric	大氣的
atoll	環礁
atom	原子
atomic	原子
atone	贖罪
atonement	贖罪
atpeace	內心安寧
atrium	中庭
atrocious	窮凶極惡
atrocity	暴行
atrophy	痿
attach	連接
attached	附
attachment	附件
attack	攻擊
attacker	攻擊者
attacking	進攻
attain	達到
attainable	可實現
attainment	素養
attempt	嘗試
attempted	嘗試
attend	出席
attendance	勤
attendant	服務員
attention	注意
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	細心
attenuate	衰減
attenuated	減毒
attenuation	衰減
attest	表明
attestation	認證
attic	閣樓
attire	服裝
attitude	態度
attorney	律師
attract	吸引
attraction	引力
attractive	有吸引力
attractiveness	吸引力
attributable	歸屬
attribute	屬性
attribution	歸因
attrition	摩擦
auburn	奧本
auction	拍賣
auctioneer	拍賣
audacious	膽大
audacity	大膽
audible	聽得見
audience	聽眾
audio	音頻
audit	審計
audition	面試
auditions	試鏡
auditor	核數師
auditorium	禮堂
auditory	聽覺
aught	任何事物
augment	增加
augmentation	增強
august	八月
aunt	姑媽
auntie	阿姨
aura	光環
aurora	極光
auspices	主持
auspicious	吉祥
austere	簡樸的
austerity	簡樸
authentic	真實
authenticate	認證
authentication	認證
authenticity	真偽
author	作者
authoritative	權威性
authority	權威
authorization	授權
authorize	授權
authorized	合法
authorship	作者
autism	自閉症
autistic	自閉症
auto	汽車
autobiographical	自傳
autobiography	自傳
autocorrect	自動更正
autocratic	專制
autograph	簽名
autographed	親筆簽名
automated	自動化
automatic	自動
automobile	汽車
automotive	汽車
autonomy	自治
autopilot	自動駕駛儀
autopsy	屍檢
autumn	秋季
auxiliary	輔
avail	果
availability	可用性
available	可得到
avalanche	雪崩
avarice	貪婪
avatar	頭像
avenge	報仇
avenger	復仇者
avenging	復仇的
avenue	大街
aver	NO TRANSLATION
average	平均
aversation	嫌棄
averse	規避
averseness	厭惡
aversion	厭惡
avert	避免
aviary	鳥舍
aviation	航空
aviator	飛行員
avid	狂熱
avocado	鱷梨
avoid	避免
avoidance	躲避
avoiding	避免
await	等待
awake	甦醒
awaken	憬
awakening	喚醒
award	獎
awards	獎項
aware	知道的
awareness	意識
awe	NO TRANSLATION
awed	懾於
awesome	真棒
awesomeness	迷死
awestruck	肅然起敬
awful	可怕
awkward	尷尬
awkwardness	重倉股
awning	棚
awry	歪
axe	斧頭
axial	軸向
axiom	公理
axiomatic	不言自明的
axis	軸
axle	軸
ay	AY
aye	贊成
azimuth	方位
azure	天藍
babble	潺潺
babbling	胡說
babe	孩兒
baboon	狒狒
baby	寶寶
babysit	照看
babysitter	保姆
baccalaureate	學士學位
baccarat	百家樂
bachelor	單身漢
bachelorette	未婚
back	背部
backboard	籃板
backbone	骨幹
backdoor	後門
backdrop	背景
backer	靠山
backfire	逆火
backgammon	十五子棋
background	背景
backhand	反手
backhoe	反鏟
backoff	退避
backpack	背包
backpacker	背包客
backroom	幕後
backseat	後座
backside	背面
backtrack	原路返回
backup	備用
backward	落後
backwardness	落後
backwards	向後
backwater	回水
backwoods	邊遠地區
backyard	後院
bacon	培根
bacteria	菌
bacterial	細菌
bacterium	細菌
bad	壞
badass	壞蛋
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	徽章
badger	獾
badhabit	NO TRANSLATION
badly	慘
badness	惡
baffle	障
baffled	困惑
bag	袋
bagel	麵包圈
baggage	行李
baggie	旅行箱
baggy	鬆鬆垮垮
bagman	推銷員
bagpipes	風笛
bail	保釋
bailiff	法警
bait	餌
bake	烤
bakery	麵包店
baking	餅
bal	NO TRANSLATION
balance	平衡
balanced	均衡
balcony	陽台
bald	禿
balding	禿頭
baldy	禿子
bale	包
balk	梁木
ball	球
ballad	民謠
ballast	壓載
ballerina	芭蕾舞演員
ballet	芭蕾舞
ballgame	球賽
ballistic	彈道的
ballistics	彈道學
balloon	氣球
ballot	選票
ballpark	球場
ballplayer	球壇
ballpoint	圓珠筆
ballroom	舞廳
ballsy	膽量
balm	香脂
balmy	芳香
balsam	香脂
balsamic	香醋
bam	哄騙
bamboo	竹
ban	NO TRANSLATION
banana	香蕉
band	帶
bandage	繃帶
bandanna	NO TRANSLATION
bandit	土匪
bandstand	音樂台
bandwagon	花車
bandwidth	帶寬
bane	誅戮
bang	砰
banger	香腸
banish	放逐
banished	放逐
banishment	流放
banister	欄杆
banjo	班卓琴
bank	銀行
banker	銀行家
banking	銀行業
bankroll	資金
bankrupt	破產者
bankruptcy	破產
banner	旗幟
banquet	宴會
banshee	女妖
banter	嘲笑
banzai	NO TRANSLATION
baptism	洗禮
baptismal	洗禮
baptize	洗
bar	酒吧
barb	倒鉤
barbarian	野蠻人
barbaric	野蠻
barbarism	野蠻
barbecue	燒烤
barbed	帶刺
barber	理髮師
barbershop	理髮店
barbie doll	芭比娃娃
bard	詩人
bare	裸
bareback	無鞍
barefoot	赤腳
barely	僅僅
barf	BARF
bargain	討價還價
bargaining	議價
barge	駁船
baritone	男中音
barium	鋇
bark	吠
barkeep	酒吧老闆
barks	樹皮
barley	大麥
barmaid	招待員
barman	酒保
barn	穀倉
barnacle	藤壺
barney	巴尼
barnyard	稗
barometer	晴雨表
baron	男爵
baroness	男爵夫人
baroque	巴洛克
barrack	營房
barracuda	梭魚
barrage	彈幕
barred	禁止
barrel	桶
barren	荒蕪
barricade	壅
barrier	屏障
barring	禁止
barrister	律師
barroom	酒吧間
barrow	獨輪車
bartender	酒保
barter	物物交換
base	基礎
baseball	棒球
baseball bat	棒球棒
baseboard	護壁板
baseless	毫無根據
baseline	底線
baseman	三壘手
basement	地下室
bases	基地
bash	慶典
bashful	怕羞
basic	基本
basics	基本
basil	羅勒
basilica	教堂
basin	盆地
basis	基礎
bask	曬
basket	籃
basketball	籃球
bass	低音
bass guitar	低音吉他
basso	NO TRANSLATION
bassoon	巴鬆管
bastard	混蛋
bastarding	bastarding
bastards	混蛋
bastion	堡壘
bat	蝙蝠
batch	批量
batching	配料
bate	NO TRANSLATION
bath	浴
bathe	洗澡
bathhouse	澡堂
bathing	洗澡
bathrobe	浴衣
bathroom	浴室
bathtub	浴缸
bathymetry	水深
baton	指揮棒
battalion	營
batter	麵糊
battered	受虐
battering	毆打
battery	電池
battle	戰鬥
battled	作戰
battlefield	戰場
battleground	戰場
battlements	城垛
battleship	主力艦
batty	瘋狂
bauble	玩具
bawdy	淫穢
bawl	呶
bay	灣
bayonet	刺刀
bayou	河口
bazaar	市場
bazooka	火箭筒
bday	BDAY
be	是
beach	海灘
beaches	海灘
beacon	烽火
bead	珠子
beading	釘珠
beads	珠
beady	明眸
beagle	小獵犬
beak	喙
beaker	燒杯
beam	光束
beaming	聚束
bean	豆
beanbag	懶人沙發
beanie	豆豆
bear	熊
bearable	可忍受的
beard	鬍子
bearded	大鬍子
bearer	來人
bearing	軸承
bearings	軸承
bearish	看空
bearskin	熊皮
beast	獸
beastly	獸
beat	擊敗
beaten	毆打
beater	打漿機
beating	跳動
beatnik	比特尼克
beau	花花公子
beautification	美化
beautiful	美麗
beautify	美化
beauty	美女
beaver	海狸
bebop	波普
beck	招手
beckon	招手
become	成為
bed	床
bedding	寢具
bedpan	便盆
bedrock	基岩
bedroom	臥室
bedside	床頭
bedspread	床罩
bedtime	就寢時間
bee	蜜蜂
beef	牛肉
beefsteak	牛排
beehive	蜂窩
beep	嘟
beeper	呼叫器
beer	啤酒
bees	蜜蜂
beeswax	蜂蠟
beetle	甲蟲
befall	降臨
befitting	合適
befriend	幫扶
befuddled	喝醉了的
beg	求
beggar	乞丐
begging	乞討
begin	開始
beginner	初學者
beginning	開始
beginnings	開始
begrudge	羨慕
begun	開始
behappy	NO TRANSLATION
behave	表現
behavior	行為
behavioral	行為的
behemoth	河馬
behest	遺志
behold	不料
beholden	感激的
beholder	旁觀者
beige	米色
belated	遲來的
belay	扎繩
belch	嗝
belief	信仰
believable	可信的
believe	相信
believed	相信
believer	信徒
believing	相信
belittle	貶低
belittled	輕視
bell	鐘
bellboy	服務生
bellhop	侍者
belligerent	交戰的
bellman	貝爾曼
bellow	怒吼
bellows	風箱
belly	肚皮
bellybutton	肚臍
bellyful	滿腹
belong	屬於
belongings	財物
beloved	心愛
belt	帶
beluga	白鯨
bemused	困惑的
bench	長凳
bend	彎曲
bender	彎管機
bending	彎曲
beneath	下面
benedictory	感謝的
benefactor	恩人
beneficial	有利
beneficiary	受益人
benefit	效益
benevolence	仁
benevolent	仁慈
benign	良性
bent	彎曲
benzene	苯
bequeath	遺贈
bequest	遺贈
bereaved	失去親人
bereavement	喪親之痛
bereft	喪失
beret	貝雷帽
bergamot	佛手柑
berlin	柏林
berserk	發狂的
berth	泊位
beryllium	鈹
beseech	懇求
beset	困擾
bestdayever	最好的一天
bestfeeling	bestfeeling
bestfriends	最好的朋友
bestial	獸
besties	死黨
bestow	賜給
bestseller	暢銷書
bet	賭注
beta	公測
betray	背叛
betrayal	辜負
betrayed	背叛
betrothed	許配
betterment	改善
betting	博彩
