Word	sk
admittance	vstup
admitted	prijatý
admitting	prijímanie
admixture	prísada
admonition	napomenutie
ado	povyku
adobe	adobe
adolescence	dospievania
adolescent	dospievajúci
adopt	prijať
adoption	prijatie
adoptive	adoptívna
adorable	rozkošný
adoration	zbožňovanie
adore	uctievať
adoring	zamilovaný
adorn	ozdobiť
adornment	ozdoba
adrenalin	adrenalín
adrenaline	adrenalín
adrift	nezakotvený
adult	dospelý
adulterated	sfalšoval
adulterer	cudzoložník
adultery	cudzoložstvo
adulthood	dospelosť
advance	záloha
advanced	pokročilý
advancement	pokrok
advancing	postupujúci
advantage	výhoda
advantageous	výhodný
advent	príchod
adventure	dobrodružstvo
adventurer	dobrodruh
adventures	dobrodružstvo
adventurous	dobrodružný
adversary	protivník
adverse	nepriaznivý
adversity	nepriazeň osudu
advertise	inzerovať
advertisement	reklama
advertising	reklama
adverts	inzeráty
advice	rada
advisable	vhodný
advise	radiť
advised	Vezmite na vedomie,
advisement	advisement
adviser	poradcu
advisor	poradcu
advisory	poradný
advocacy	obhajoba
advocate	zástanca
aegis	záštita
aeration	prevzdušňovanie
aerial	letecký
aerobics	aerobik
aerodrome	letisko
aerodynamic	aerodynamický
aerodynamics	aerodynamika
aeronautics	aeronautika
aeroplane	lietadlo
aerospace	letecký
aesthetic	estetický
aesthetics	estetika
aetiology	etiológie
afar	v diaľke
affable	prívetivý
affair	záležitosť
affect	ovplyvniť
affecting	ovplyvňujúce
affection	náklonnosť
affectionate	prítulný
affections	postihnutie
affiche	NO TRANSLATION
affidavit	prísažné vyhlásenie
affiliated	pridružený
affiliation	pričlenenie
affinity	afinita
affirm	vyhlásiť
affirmation	vyhlásenie
affirmative	kladný
affirmatively	súhlasne
affix	pripevniť
afflict	postihnúť
afflicted	postihnutý
affliction	utrpenie
affluence	hojnosť
affluent	prítok
afford	dovoliť si
affordable	cenovo dostupné
affront	urážka
affronted	urazil
afield	do cudziny
afire	požiar
afloat	na vode
afore	vyššie
aforementioned	zhora
aforesaid	vyššie uvedený
afraid	báť
afresh	nanovo
african	africký
aft	na zadku
afterlife	posmrtný život
aftermath	následky
afternoon	popoludnie
aftershave	voda po holení
aftertaste	pachuť
afterthought	spomienka
aga	NO TRANSLATION
agape	s ústami dokorán
agate	achát
age	Vek
aged	dlhoročný
agency	kancelária
agenda	program
agent	agent
agglomeration	aglomerácie
aggravate	zhoršiť
aggravated	zhoršiť
aggravates	zhoršuje
aggravating	priťažujúce
aggravation	zhoršenie
aggregate	agregát
aggregation	agregácie
aggresive	NO TRANSLATION
aggression	agresie
aggressive	útočný
aggressively	agresívne
aggressiveness	agresivita
aggressor	agresor
agh	AGH
aghast	zdesený
aghhh	NO TRANSLATION
agile	agilné
agility	obratnosť
aging	starnutie
agitate	agitovať
agitated	rozrušený
agitation	miešanie
aglow	horiace
agnostic	agnostik
ago	pred
agonizing	mučivý
agony	muky
agoraphobia	agorafóbia
agree	súhlasiť
agreeable	príjemný
agreed	dohodnuté
agreeing	súhlasiť
agreement	dohoda
agressive	NO TRANSLATION
agricultural	poľnohospodársky
agriculture	poľnohospodárstvo
aground	na plytčine
agua	NO TRANSLATION
ahead	vpred
ahhh	ach
ahhhhhhhh	NO TRANSLATION
ahoy	ahoj
aid	pomoc
aide	pomocník
aiding	napomáhanie
aids	AIDS
ail	bolieť
ailing	chorý
ailment	indispozície
aim	cieľ
aimless	bezcieľny
air	ovzdušia
airbag	airbag
airborne	vo vzduchu
aircraft	lietadlo
aircraft carrier	lietadlového dopravcu
airfield	letisko
airhead	blbec
airlift	vzdušný most
airline	letecká linka
airliner	dopravné lietadlo linkový
airlock	prechodová komora
airman	letec
airplane	lietadlo
airport	LETISKO
airs	airs
airship	vzducholoď
airspace	vzdušný priestor
airspeed	rýchlomer
airstrip	štartovacie a pristávacia dráha
airtight	vzduchotesný
airway	dýchacích ciest
aisle	ulička
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	príbuzný
alabaster	alabaster
alarm	poplach
alarm clock	budík
alarmed	zdesený
alarming	znepokojujúce
alas	beda
alb	NO TRANSLATION
albatross	albatros
albino	albín
album	album
alchemy	alchýmia
alcohol	alkohol
alcoholic	alkoholik
alcoholism	alkoholizmus
alcove	výklenok
alderman	radkyňa
ale	NO TRANSLATION
alert	bdelý
alertness	ostražitosť
alerts	výstrahy
alfalfa	lucerna
algebra	algebra
algebraic	algebraický
algorithm	algoritmus
alias	prezývka
alibi	alibi
alien	cudzinec
alienate	odcudziť
alienated	odcudzení
alienation	odcudzenie
alight	vystúpiť
align	zoradiť
aligned	zarovnané
alignment	zarovnanie
alike	rovnako
alimentation	NO TRANSLATION
alimony	výživné
aliquot	alikvotnej
alive	nažive
alkali	alkálie
alkaloids	alkaloidy
allay	zmierniť
allegation	tvrdenie
allege	tvrdiť
alleged	údajný
allegiance	vernosť
allegorical	alegorický
allegory	alegória
allegro	allegro
allergic	alergický
allergy	alergie
alleviate	zmierniť
alleviation	zmiernenie
alley	alej
alleyway	ulička
alliance	spojenectvo
allied	spriaznený
alligator	aligátor
allocate	prideliť
allocation	pridelenie
allot	prideľovať
allotment	prideľovanie
allow	dovoliť
allowable	prípustný
allowance	prídavok
allowed	povolený
alloy	zliatina
allsmiles	NO TRANSLATION
allure	lákať
alluring	zvodný
allusion	narážka
alluvial	plávajúci
ally	spojenec
almanac	kalendár
almighty	všemocný
almond	mandle
aloft	hore
aloha	aloha
alone	sám
alongside	vedľa
aloof	rezervovaný
aloud	nahlas
alpha	alfa
alphabet	abeceda
alphabetical	abecedný
alpine	vysokohorský
alreadyyyyy	alreadyyyyy
altar	oltár
altar boy	oltárny chlapec
alter	pozmeniť
alteration	zmena
altercation	hádka
altered	zmenený
alternate	striedavý
alternating	striedavý
alternative	alternatívne
altimeter	výškomer
altitude	nadmorská výška
alto	alt
altogether	dohromady
aluminum	hliník
alumnus	absolvent
alveolar	alveolárna
alzheimers	NO TRANSLATION
amalgam	amalgám
amalgamation	zlúčenie
amaretto	amaretto
amass	hromadiť
amateur	amatér
amaze	ohromiť
amazed	úžas
amazedness	NO TRANSLATION
amazement	ohromenie
amazing	úžasný
amazingly	úžasne
ambassador	veľvyslanec
amber	jantár
ambience	prostredie
ambient	okolité
ambiguity	nejasnosť
ambiguous	dvojznačný
ambit	ambit
ambition	ctižiadosť
ambitious	ctižiadostivý
ambivalent	ambivalentný
ambrosia	ambrózie
ambulance	ambulancie
ambush	nástraha
ameliorate	zlepšiť
amen	amen
amenable	prístupný
amend	pozmeniť
amendment	zmena
amends	odškodné
amenity	vybavenie
amethyst	ametyst
amiable	prívetivý
amicable	priateľský
amid	uprostred
amidst	medzi
amino	amino
ammo	munície
ammonia	amoniak
ammonium	amónneho
ammunition	strelivo
amnesia	amnézia
amnesty	amnestia
amorous	zamilovaný
amorphous	amorfný
amortization	amortizácia
amount	čiastka
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamíny
amphibian	obojživelník
amphibious	obojživelný
amphitheater	amfiteáter
ample	dostatočný
amplification	rozšírenie
amplify	zosilňovať
amplitude	amplitúda
amply	bohato
amputate	amputovať
amputation	amputácia
amuck	amok
amulet	amulet
amuse	baviť
amused	pobavený
amusement	zábava
amusing	zábavný
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestézie
anaesthetic	anestetikum
anagram	anagram
anal	análny
analgesic	analgetikum
analogous	analogický
analogue	analóg
analogy	analógia
analysis	analýza
analyst	analytik
analytic	analytický
analytical	analytické
analyze	analyzovať
analyzer	analyzátor
anaphylactic	anafylaktický
anarchism	anarchizmus
anarchist	anarchista
anarchy	anarchia
anastomosis	anastomóza
anathema	anatéma
anatomic	anatomický
anatomy	anatómia
ancestor	predok
ancestral	dedičný
ancestry	pôvod
anchor	Kotva
anchorage	kotvisko
ancient	staroveký
ancillary	pomocný
androgen	androgénnej
android	Android
anecdote	anekdota
anemia	anémia
anemic	anemický
anemone	sasanka
anesthesia	anestézie
anesthesiologist	anestéziológ
anesthetic	anestetikum
aneurysm	aneuryzma
anew	znovu
angel	anjel
angelic	anjelský
anger	hnev
angered	hneval
angermanagement	NO TRANSLATION
angina	angína
angiogram	angiogram
angiography	angiografia
angle	uhol
angling	rybárčenie
angora	angora
angriest	nejrozzlobenější
angry	nahnevaný
angrytweet	NO TRANSLATION
angst	pocit úzkosti
anguish	úzkosť
anguished	mučivý
angular	uhlový
anhydrous	bezvodý
animal	zviera
animate	oživiť
animated	animovaný
animation	animácie
animosity	nepriateľstvo
animus	hnevu
ankle	členok
anklet	šperku
annals	anály
annex	príloha
annexation	zabratie
annexe	NO TRANSLATION
annihilate	vyhladiť
annihilated	zničený
annihilation	zničenie
anniversary	výročie
annotate	opatriť poznámkami
annotation	vysvetlivka
announce	oznámiť
announcement	oznámenia
announcer	hlásateľ
annoy	otravovať
annoyance	nepríjemnosť
annoyed	otrávený
annoyin	NO TRANSLATION
annoying	nepríjemný
annoys	obťažuje
annual	Výročný
annuity	anuita
annul	zrušiť
annular	kruhový
annulment	zrušenie
annulus	medzikružia
anointed	pomazaný
anointing	pomazanie
anomalous	anomálne
anomaly	anomália
anon	brzo
anonymity	anonymita
anonymous	anonymný
anorexic	anorektických
answer	odpoveď
answerable	zodpovedný
answering	záznamník
ant	mravec
antagonism	antagonizmus
antagonist	antagonista
antagonistic	antagonistický
antagonize	znepriateliť
ante	NO TRANSLATION
antecedent	predchodca
antelope	antilopa
antenna	anténa
anterior	predné
anthem	hymna
anthill	mravenisko
anthology	antológie
anthrax	antrax
anthropological	antropologický
anthropologist	antropológ
anthropology	antropológia
anti	proti
antiaircraft	protilietadlový
antibiotic	antibiotikum
antibiotics	antibiotiká
antichrist	antikrist
anticipate	predbiehať
anticipation	očakávania
anticipatory	predbežný
antics	NO TRANSLATION
antidote	protijed
antifungal	antimykotické
antigravity	anti gravitácia
antimony	antimón
antipathy	antipatia
antiquarian	starožitný
antiquated	staromódny
antique	antický
antiques	starožitnosti
antiquity	starovek
antiseptic	antiseptický
antisocial	nespoločenský
antithesis	protiklad
antithetical	protikladný
antiviral	protivírusový
antler	parohy
antsy	ants
anus	riť
anvil	nákova
anxiety	úzkosť
anxietyattack	NO TRANSLATION
anxious	úzkostlivý
anxiousness	úzkosť
anytime	kedykoľvek
aorta	aorta
aortic	aortálnou
apace	náhlivo
apache	apache
apartment	byt
apartments	apartmány
apathetic	apatický
apathy	apatia
ape	opice
aperture	otvor
apex	vrchol
aphid	vošky
aphrodisiac	afrodiziakum
apiece	kúsok
aplomb	aplomb
apocalypse	apokalypsa
apocalyptic	apokalyptický
apologetic	ospravedlňujúci
apologist	obhajcu
apologize	ospravedlňovať
apology	ospravedlnenie
apostasy	odpadnutie
apostate	odpadlík
apostle	apoštol
apostolic	apoštolský
apostrophe	apostrof
apothecary	lekárnik
appalled	zdesený
appalling	otrasný
apparatus	prístroj
apparel	odev
apparent	zdanlivý
apparently	zrejme
apparition	zjavenie
appeal	odvolanie
appear	javí
appearance	vzhľad
appease	upokojiť
appellant	odvolávajúci
append	pripojiť
appendage	prívesok
appendectomy	operácia slepého čreva
appendicitis	zápal slepého čreva
appendix	príloha
appetite	chuť
appetizer	predjedlo
appetizing	chutný
applaud	aplaudovať
applause	potlesk
apple	jablko
apple juice	jablkový džús
applejack	Applejack
applesauce	jablkové pyré
appliance	spotrebič
appliances	spotrebiče
applicability	použiteľnosť
applicable	použiteľný
applicant	žiadateľ
application	prihláška
apply	platiť
appoint	menovať
appointment	vymenovanie
appointments	schôdzky
apportion	rozdeliť
apportionment	rozdelenie
appraisal	ocenenie
appraise	odhadnúť
appreciable	citeľný
appreciate	oceniť
appreciated	ocenili
appreciates	oceňuje
appreciation	ocenenie
appreciative	vďačný
apprehend	dopadnúť
apprehension	predtucha
apprehensive	chápavý
apprentice	učeň
apprenticeship	učenie
approach	prístup
approaching	blíži
approbate	NO TRANSLATION
approbation	aprobácie
appropriate	primeraný
appropriation	položka
approval	schválenie
approve	schvaľovať
approved	schválený
approvement	approvement
approving	schvaľovanie
approximate	približný
approximately	približne
approximating	aproximačnou
approximation	priblíženie
appurtenances	náležitosti
apricot	marhuľa
apron	zástera
apt	naklonený
aptitude	nadanie
aqua	aqua
aquamarine	akvamarín
aquarium	akvárium
aquatic	vodné
aqueduct	akvadukt
aqueous	vodné
arable	Orny
arbiter	rozhodca
arbitrary	svojvoľný
arbitrate	rozsudzovať
arbitration	arbitráž
arbitrator	rozhodcu
arbor	hriadeľ
arc	oblúk
arcade	arkáda
arcane	tajomný
arch	oblúk
archaeological	archeologický
archaeologist	archeológ
archaeology	archeológia
archaic	archaický
archangel	archanjel
archbishop	arcibiskup
archdiocese	arcidiecézy
archduke	arcivojvoda
arched	klenutý
archer	lukostrelec
archery	lukostreľba
archetype	archetyp
archipelago	súostrovie
architect	architekt
architectural	architektonický
architecture	architektúra
archive	archív
arctic	polárne
ardent	žhavý
ardor	zanietenie
arduous	obtiažnejší
area	rozloha
arena	aréna
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentovať
argument	argument
argumentation	argumentácia
argumentative	hašterivý
arguments	argumenty
arid	suchý
arise	vyvstať
aristocracy	aristokracie
aristocrat	aristokrat
aristocratic	aristokratický
arithmetic	aritmetika
ark	archa
arm	paže
armada	loďstvo
armament	vyzbrojení
armaments	výzbroj
armature	armatúra
armchair	kreslo
armed	ozbrojený
armor	brnenie
armored	obrnený
armory	zbrojnica
armpit	podpazušie
arms	zbrane
army	armáda
aroma	aróma
aromatherapy	aromaterapia
arousal	vzrušenie
arouse	vzbudiť
aroused	vzbudilo
arraignment	obžaloba
arrange	usporiadať
arranged	usporiadané
arrangement	usporiadanie
array	rad
arrears	nedoplatky
arrest	zatknúť
arrhythmia	arytmie
arrival	prílet
arrive	prísť
arrogance	arogancia
arrogant	arogantný
arrow	šíp
arsehole	sráč
arseholes	arseholes
arsenal	arzenál
arsenic	arzén
arson	podpaľačstvo
arsonist	podpaľač
art	umenie
arterial	arteriálnej
artery	tepna
artful	mazaný
arthritis	artritída
arthropod	článkonožcov
artichoke	artičok
article	článok
articles	články
articulate	artikulovať
articulation	artikulácia
artifact	artefakt
artifice	rafinovanosť
artificial	umelý
artillery	delostrelectvo
artisan	remeselník
artist	umelec
artiste	NO TRANSLATION
artistic	umelecký
artistry	umenie
artists	umelci
artwork	umelecké diela
arty	bohémsky
asap	ASAP
asbestos	azbest
ascend	stúpať
ascendancy	prevaha
ascendant	stúpajúca
ascending	stúpajúca
ascension	stúpanie
ascent	výstup
ascertain	zistiť
ascertained	zistené
ascetic	asketický
ash	popol
ashamed	zahanbený
ashes	popol
ashtray	popolník
asinine	hlúpy
ask	opýtať sa
asleeep	NO TRANSLATION
asleep	spiace
asp	okuliarnik
asparagus	špargľa
aspartame	aspartám
aspect	aspekt
aspects	aspekty
aspen	osika
asphalt	asfalt
asphyxia	asfyxia
asphyxiation	zadusenie
aspiration	ašpirácie
aspire	túžiť
aspirin	aspirín
aspiring	ctižiadostivý
ass	somár
assail	prepadnúť
assailant	útočník
assassin	vrah
assassinate	zavraždiť
assassination	vražda
assault	prepadnutia
assay	test
assemblage	zhromaždenia
assemble	zostaviť
assembled	zmontovaný
assembly	zhromaždenie
assemblyman	montér
assent	súhlas
assert	tvrdiť
asserting	tvrdiť
assertion	tvrdenie
assertive	asertívny
assess	posúdiť
assessment	posúdenie
assessor	odhadcu
asset	aktívum
assets	aktíva
asshole	kretén
assign	priradiť
assignee	postupník
assignment	prideľovanie
assimilate	asimilovať
assimilation	asimilácia
assist	asistovať
assistance	pomoc
assistant	pomocník
associate	spolupracovník
association	združenie
assorted	roztriedený
assortment	výber
assuage	utíšiť
assume	predpokladať
assumed	predpokladaný
assuming	za predpokladu, že
assumption	predpoklad
assurance	uistenie
assure	uistiť
assured	sebaistý
assuredly	iste
asterisk	hviezdička
asteroid	asteroid
asteroids	asteroidy
asthma	astma
asthmatic	astmatik
astigmatism	astigmatizmus
astonish	ohromiť
astonished	užasnutý
astonishing	udivujúce
astonishingly	NO TRANSLATION
astonishment	údiv
astound	ohromiť
astral	hviezdny
astray	zblúdilý
astringent	zvieravý
astrologer	astrológ
astrology	astrológia
astronaut	astronaut
astronomer	astronóm
astronomical	astronomický
astronomy	astronómie
astute	prefíkaný
asunder	od seba
asylum	azyl
asymmetric	asymetrický
asymmetry	asymetria
asymptotic	asymptotic
atelier	ateliér
atheism	ateizmus
atheist	ateista
atheistic	ateistický
atherosclerosis	ateroskleróza
athlete	športovec
athletic	atletický
athleticism	atletického
athletics	Atletika
atlas	atlas
atmosphere	atmosféra
atmospheric	atmosférický
atoll	atol
atom	atóm
atomic	atómový
atone	odčiniť
atonement	zmierenie
atpeace	v mieri
atrium	átrium
atrocious	ukrutný
atrocity	krutosť
atrophy	atrofia
attach	priložiť
attached	pripojený
attachment	pripevnenie
attack	útok
attacker	útočník
attacking	útočiace
attain	dosiahnuť
attainable	dosiahnuteľný
attainment	dosiahnutie
attempt	pokus
attempted	pokúsili
attend	navštevovať
attendance	prezencia
attendant	strážca
attention	pozornosť
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pozorný
attenuate	zmierniť
attenuated	oslabený
attenuation	útlm
attest	osvedčiť
attestation	svedectvo
attic	podkrovie
attire	odev
attitude	postoj
attorney	advokát
attract	priťahovať
attraction	príťažlivosť
attractive	atraktívne
attractiveness	príťažlivosť
attributable	pripísať
attribute	atribút
attribution	prisudzovanie
attrition	oter
auburn	gaštanový
auction	aukcie
auctioneer	dražiteľ
audacious	smelý
audacity	smelosť
audible	počuteľný
audience	publikum
audio	audio
audit	audit
audition	konkurz
auditions	konkurzy
auditor	kontrolór
auditorium	hľadisko
auditory	sluchový
aught	čokoľvek
augment	zväčšiť
augmentation	zväčšenie
august	august
aunt	teta
auntie	tetuška
aura	aura
aurora	zornička
auspices	záštita
auspicious	nádejný
austere	strohý
austerity	prísnosť
authentic	autentický
authenticate	overiť
authentication	overenie pravosti
authenticity	autentickosť
author	autor
authoritative	autoritatívny
authority	autorita
authorization	povolenie
authorize	povoliť
authorized	oprávnený
authorship	autorstvo
autism	autizmus
autistic	autistický
auto	auto
autobiographical	autobiografický
autobiography	autobiografie
autocorrect	opravy
autocratic	autokratický
autograph	autogram
autographed	podpísanú
automated	automatizované
automatic	automatický
automobile	automobil
automotive	automotive
autonomy	autonómie
autopilot	autopilot
autopsy	pitva
autumn	jeseň
auxiliary	pomocný
avail	úžitok
availability	dostupnosť
available	k dispozícii
avalanche	lavína
avarice	lakomosť
avatar	avatar
avenge	pomstiť
avenger	pomstiteľ
avenging	pomsty
avenue	avenue
aver	NO TRANSLATION
average	priemerný
aversation	NO TRANSLATION
averse	averzia
averseness	NO TRANSLATION
aversion	averzia
avert	odvrátiť
aviary	voliéra
aviation	letectvo
aviator	letec
avid	zanietený
avocado	avokádo
avoid	vyhnúť sa
avoidance	vyvarovanie
avoiding	vyhýbať
await	očakávať
awake	vzbudiť
awaken	vzbudiť
awakening	prebudenie
award	udeliť
awards	ocenenie
aware	vedomý
awareness	povedomie
awe	NO TRANSLATION
awed	awed
awesome	úžasné
awesomeness	awesomeness
awestruck	omráčený
awful	děsný
awkward	trápny
awkwardness	trápnosť
awning	markíza
awry	nakrivo
axe	sekera
axial	axiálne
axiom	axióma
axiomatic	samozrejmý
axis	os
axle	náprava
ay	áno
aye	áno
azimuth	azimut
azure	blankyt
babble	blábolit
babbling	bľabotania
babe	mačiatko
baboon	pavián
baby	dieťa
babysit	strážiť dieťa
babysitter	domácej opatrovateľky detí
baccalaureate	maturitná skúška
baccarat	kartové hry
bachelor	bakalár
bachelorette	Bachelorette
back	späť
backboard	operadlo
backbone	chrbtica
backdoor	zadné dvere
backdrop	pozadia
backer	tipujúci
backfire	zlyhať
backgammon	vrhcáby
background	pozadie
backhand	backhand
backhoe	rýpadlo
backoff	vyčkávacia
backpack	batoh
backpacker	Batôžkar
backroom	tajné pracovisko
backseat	zadné sedadlo
backside	backside
backtrack	ustúpiť
backup	zálohovanie
backward	zaostalý
backwardness	zaostalosť
backwards	späť
backwater	stojatá voda
backwoods	Zálesí
backyard	zadný dvorček
bacon	slanina
bacteria	baktérie
bacterial	bakteriálne
bacterium	baktérie
bad	zlý
badass	poriadnej
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	odznak
badger	jazvec
badhabit	NO TRANSLATION
badly	zle
badness	zlo
baffle	miasť
baffled	bezradný
bag	sáčok
bagel	bagel
baggage	batožinu
baggie	Baggio
baggy	vydutý
bagman	Pytloun
bagpipes	dudy
bail	kaucia
bailiff	exekútor
bait	návnada
bake	upiecť
bakery	pekáreň
baking	pečenie
bal	NO TRANSLATION
balance	zostatok
balanced	vyvážený
balcony	balkón
bald	plešatý
balding	plešatějící
baldy	Baldy
bale	ZOK
balk	cúvnuť
ball	lopta
ballad	balada
ballast	balast
ballerina	balerína
ballet	balet
ballgame	loptová hra
ballistic	balistický
ballistics	balistika
balloon	balónik
ballot	hlasovanie
ballpark	približný
ballplayer	hráč basketbalu
ballpoint	propiska
ballroom	tanečná sála
ballsy	balls
balm	balzam
balmy	konejšivý
balsam	balzam
balsamic	balsamico
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banán
band	pruh
bandage	obväz
bandanna	šatka
bandit	bandita
bandstand	hudobný pavilón
bandwagon	voz s kapelou
bandwidth	Šírka pásma
bane	prekliatie
bang	tresk
banger	petarda
banish	zaplašit
banished	vyhnal
banishment	vypovedanie
banister	stĺpik
banjo	bendžo
bank	breh
banker	bankár
banking	bankovníctvo
bankroll	bankroll
bankrupt	konkurzu
bankruptcy	bankrot
banner	prápor
banquet	banket
banshee	banshee
banter	škádlenie
banzai	NO TRANSLATION
baptism	krst
baptismal	krstné
baptize	krstiť
bar	bar
barb	ozub
barbarian	barbar
barbaric	barbarský
barbarism	barbarstvo
barbecue	opekačka
barbed	ostnatý
barber	holič
barbershop	holičstvo
barbie doll	bábika Barbie
bard	bard
bare	nahý
bareback	bez sedla
barefoot	naboso
barely	ťažko
barf	NO TRANSLATION
bargain	zjednávať
bargaining	vyjednávanie
barge	bárka
baritone	barytón
barium	bárium
bark	štekať
barkeep	barman
barks	kôry
barley	jačmeň
barmaid	barmanka
barman	barman
barn	stodola
barnacle	kôrovce
barney	Barney
barnyard	dvor
barometer	barometer
baron	barón
baroness	barónka
baroque	baroko
barrack	pokrikovať
barracuda	barakuda
barrage	príval
barred	premlčaný
barrel	sud
barren	neúrodný
barricade	barikáda
barrier	bariéra
