Word	iw
adamant	נאמנה
adapt	לְהִסְתָגֵל
adaptable	סָגִיל
adaptation	הִסתַגְלוּת
add	לְהוֹסִיף
added	הוסיף
addendum	תוֹסֶפֶת
adder	פֶּתֶן
addict	מָכוּר
addicted	מָכוּר
addiction	הִתמַכְּרוּת
addictive	ממכר
addition	בנוסף
additional	נוֹסָף
additive	תוסף
address	כתובת
addressee	נִמעָן
addresses	כתובות
adept	מְיוּמָן
adequacy	הלימות
adequate	נאות
adhere	לִדבּוֹק
adherence	דְבֵקוּת
adherent	חָסִיד
adhering	דבקות
adhesion	הַדבָּקָה
adhesive	דבק
adieu	שָׁלוֹם
adipose	אדיפוז
adjacency	סדירות
adjacent	סמוך
adjective	תוֹאַר
adjoining	סמוכים
adjourn	לִדחוֹת
adjournment	דְחִיָה
adjudicate	לִפְסוֹק
adjudication	שְׁפִיטָה
adjunct	נספח
adjust	לְהַתְאִים
adjuster	מתאמת
adjustment	התאמה
adjuvant	אדג'ובנט
admin	מנהל
administer	לְנַהֵל
administration	מִנהָל
administrative	מנהלי
administrator	מנהל
admirable	ראוי להערצה
admiral	אַדמִירָל
admiralty	אדמירליות
admiration	הערצה
admire	לְהִתְפַּעֵל
admired	נערץ
admirer	מַעֲרִיץ
admiring	מעריץ
admissibility	קבילות
admissible	קָבִיל
admission	הוֹדָאָה
admit	לְהוֹדוֹת
admittance	קבלה
admitted	הודה
admitting	מודה
admixture	תַעֲרוֹבֶת
admonition	תוֹכֵחָה
ado	מְהוּמָה
adobe	אדוב
adolescence	גיל ההתבגרות
adolescent	מִתבַּגֵר
adopt	לְאַמֵץ
adoption	אימוץ
adoptive	מאמצת
adorable	מקסים
adoration	הַעֲרָצָה
adore	לְהַעֲרִיץ
adoring	מעריץ
adorn	לְקַשֵׁט
adornment	תַכשִׁיט
adrenalin	אַדְרֶנָלִין
adrenaline	אדרנלין
adrift	נִסחָף
adult	מְבוּגָר
adulterated	מָהוּל
adulterer	נוֹאֵף
adultery	ניאוף
adulthood	בַּגרוּת
advance	לְקַדֵם
advanced	מִתקַדֵם
advancement	הִתקַדְמוּת
advancing	מתקדם
advantage	יתרון
advantageous	מוֹעִיל
advent	הִתגַלוּת
adventure	הַרפַּתקָה
adventurer	הַרפַּתקָן
adventures	הרפתקאות
adventurous	הרפתקני
adversary	יָרִיב
adverse	שְׁלִילִי
adversity	מְצוּקָה
advertise	לְפַרְסֵם
advertisement	פרסומת
advertising	פִּרסוּם
adverts	פרסומות
advice	עֵצָה
advisable	רצוי
advise	לייעץ
advised	מומלץ
advisement	יעוץ
adviser	יוֹעֵץ
advisor	יועץ
advisory	ייעוץ
advocacy	פְּרַקְלִיטוּת
advocate	עוֹרֵך דִין
aegis	aegis
aeration	אִוְרוּר
aerial	אַנטֶנָה
aerobics	אֶרוֹבִיקָה
aerodrome	שְׂדֵה תְעוּפָה
aerodynamic	אווירודינמי
aerodynamics	אֲוִירוֹדִינָמִיקָה
aeronautics	תוֹרַת הַתְעוּפָה
aeroplane	מטוס
aerospace	חלל
aesthetic	אֶסתֵטִי
aesthetics	אֶסתֵטִיקָה
aetiology	אטיולוגיה
afar	מרחוק
affable	מַסבִּיר פָּנִים
affair	פָּרָשָׁה
affect	להשפיע
affecting	משפיע
affection	אַהֲבָה
affectionate	מחבב
affections	רגשות
affiche	NO TRANSLATION
affidavit	תצהיר
affiliated	מְסוּנָף
affiliation	השתייכות
affinity	זִיקָה
affirm	לְאַשֵׁר
affirmation	חִיוּב
affirmative	חִיוּבִי
affirmatively	בחיוב
affix	לְהַדבִּיק
afflict	לְיַסֵר
afflicted	מְעוּנֶה
affliction	מֶמֶר
affluence	שֶׁפַע
affluent	אָמִיד
afford	לְהַרְשׁוֹת לְעַצמוֹ
affordable	זול
affront	עֶלבּוֹן
affronted	פגוע
afield	מרוחק
afire	אש
afloat	צָף
afore	שצוין
aforementioned	"הנ""ל"
aforesaid	לְעֵיל
afraid	חוֹשֵׁשׁ
afresh	מִחָדָשׁ
african	אַפְרִיקַנִי
aft	אָחוֹר
afterlife	אחרי המוות
aftermath	אחרי
afternoon	אחרי הצהריים
aftershave	אפטרשייב
aftertaste	טעם לוואי
afterthought	לאחר מחשבה
aga	NO TRANSLATION
agape	פָּעוּר פֶּה
agate	בַּרֶקֶת
age	גיל
aged	זָקֵן
agency	סוֹכְנוּת
agenda	סֵדֶר הַיוֹם
agent	סוֹכֵן
agglomeration	הִצטַבְּרוּת
aggravate	לְהַחרִיף
aggravated	מחמירות
aggravates	מחמירה
aggravating	מַרגִיז
aggravation	הַחמָרָה
aggregate	לְקַבֵּץ
aggregation	- צבירה
aggresive	NO TRANSLATION
aggression	תוֹקפָּנוּת
aggressive	תוֹקפָּנִי
aggressively	בתוקפנות
aggressiveness	תוֹקפָּנוּת
aggressor	תוֹקפָּן
agh	א.ג.
aghast	נדהם
aghhh	NO TRANSLATION
agile	זָרִיז
agility	זְרִיזוּת
aging	הְזדַקְנוּת
agitate	לְהַתְסִיס
agitated	נִסעָר
agitation	תסיסה
aglow	לוֹהֵט
agnostic	כּוֹפֵר
ago	לִפנֵי
agonizing	מתייסר
agony	יסורים
agoraphobia	בַּעַת חוּץ
agree	לְהַסכִּים
agreeable	נָעִים
agreed	מוסכם
agreeing	מסכים
agreement	הֶסכֵּם
agressive	NO TRANSLATION
agricultural	חַקלָאִי
agriculture	חַקלָאוּת
aground	עַל שִׂרטוֹן
agua	NO TRANSLATION
ahead	קָדִימָה
ahhh	אההה
ahhhhhhhh	NO TRANSLATION
ahoy	אהוי
aid	סיוע
aide	עוֹזֵר
aiding	סיוע
aids	עזרים
ail	אֶל
ailing	חוֹלָנִי
ailment	חוֹלִי
aim	מַטָרָה
aimless	חֲסַר תַכְלִית
air	אוויר
airbag	כרית אוויר
airborne	מוֹטָס
aircraft	כְּלִי טַיִס
aircraft carrier	נושאת מטוסים
airfield	שדה התעופה
airhead	טיפשה
airlift	רַכֶּבֶת אֲוִירִית
airline	חֶברַת תְעוּפָה
airliner	מטוס
airlock	איירלוק
airman	איירמן
airplane	מטוס
airport	נמל תעופה
airs	אוויר
airship	ספינת אוויר
airspace	המרחב האווירי
airspeed	מהירות אוויר
airstrip	מַסלוּל הַמרָאָה
airtight	אטום
airway	מַסלוּל טִיסָה
aisle	מַעֲבָר
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	דומה
alabaster	בַּהַט
alarm	אזעקה
alarm clock	שעון מעורר
alarmed	נבהל
alarming	מדאיגה
alas	אבוי
alb	NO TRANSLATION
albatross	אַלבַּטרוֹס
albino	לַבקָן
album	אַלבּוֹם
alchemy	אַלכִּימְיָה
alcohol	כּוֹהֶל
alcoholic	כּוֹהָלִי
alcoholism	כָּהֳלִיוּת
alcove	גוּמחָה
alderman	אלדרמן
ale	NO TRANSLATION
alert	עֵרָנִי
alertness	עֵרָנוּת
alerts	התראות
alfalfa	אַספֶּסֶת
algebra	אַלגֶבּרָה
algebraic	אַלגֶבּרִי
algorithm	אַלגוֹרִיתְם
alias	כינוי
alibi	אַלִיבִּי
alien	חייזר
alienate	לְהַרְחִיק
alienated	מנוכר
alienation	הִתנַכְּרוּת
alight	מוּאָר
align	ישר
aligned	מיושר
alignment	יישור
alike	דוֹמֶה
alimentation	NO TRANSLATION
alimony	מְזוֹנוֹת
aliquot	aliquot
alive	בחיים
alkali	אַלקָלִי
alkaloids	אלקלואידים
allay	לְהַרְגִיעַ
allegation	טענה
allege	טענה
alleged	כִּביָכוֹל
allegiance	אֱמוּנִים
allegorical	אַלֵגוֹרִי
allegory	אַלֵגוֹרִיָה
allegro	מה Architect
allergic	אַלֶרגִי
allergy	אַלֶרגִיָה
alleviate	להקל
alleviation	הֲקָלָה
alley	סִמטָה
alleyway	סמטה
alliance	בְּרִית
allied	בעלות הברית
alligator	תַנִין
allocate	לְהַקְצוֹת
allocation	הַקצָאָה
allot	allot
allotment	הַקצָאָה
allow	להתיר
allowable	מותר
allowance	קצבה
allowed	מוּתָר
alloy	סַגסוֹגֶת
allsmiles	NO TRANSLATION
allure	קֶסֶם
alluring	מרתק
allusion	רֶמֶז
alluvial	סחף
ally	ברית
almanac	אַלְמָנָך
almighty	כל יכול
almond	שקד
aloft	אֵל עַל
aloha	שלום
alone	לבד
alongside	בַּצַד
aloof	מרוחק
aloud	בְּקוֹל רָם
alpha	אלפא
alphabet	אלף בית
alphabetical	אָלֶף בֵּיתִי
alpine	אלפיני
alreadyyyyy	כבר
altar	מִזבֵּחַ
altar boy	נער מזבח
alter	לשנות
alteration	שינוי
altercation	קְטָטָה
altered	השתנה
alternate	לְהַחלִיף
alternating	לסירוגין
alternative	חֲלוּפָה
altimeter	מַד גוֹבָה
altitude	גוֹבַה
alto	אַלט
altogether	לְגַמרֵי
aluminum	אֲלוּמִינְיוּם
alumnus	בּוֹגֵר
alveolar	אלכוהולי
alzheimers	NO TRANSLATION
amalgam	אֲמַלְגַמָה
amalgamation	הִתמַזְגוּת
amaretto	אמרטו
amass	לִצְבּוֹר
amateur	חוֹבְבָן
amaze	לְהַדהִים
amazed	נדהם
amazedness	NO TRANSLATION
amazement	הִשׁתָאוּת
amazing	מדהים
amazingly	מדהים
ambassador	שַׁגְרִיר
amber	עַנבָּר
ambience	אֲוִירָה
ambient	הסביבה
ambiguity	דו משמעות
ambiguous	דו - משמעי
ambit	אמביט
ambition	שְׁאַפתָנוּת
ambitious	שְׁאַפתָנִי
ambivalent	אמביוולנטי
ambrosia	אמברוזיה
ambulance	אַמבּוּלַנס
ambush	מארב
ameliorate	לְשַׁפֵּר
amen	אָמֵן
amenable	מקובל
amend	לְתַקֵן
amendment	תיקון
amends	מתקן
amenity	נוֹחוּת
amethyst	אַחלָמָה
amiable	יְדִידוּתִי
amicable	חביב
amid	בְּתוֹך
amidst	בְּתוֹך
amino	אמינו
ammo	תַחְמוֹשֶׁת
ammonia	אַמוֹנִיָה
ammonium	אַמוֹנִיוּם
ammunition	תַחְמוֹשֶׁת
amnesia	שִׁכחָה
amnesty	חֲנִינָה
amorous	מָלֵא אַהֲבָה
amorphous	גָלוּם
amortization	פְּחָת
amount	כמות
amour	NO TRANSLATION
amp	amp
ampersand	אמפרסנד
amphetamines	אמפטמינים
amphibian	דוּחַי
amphibious	אַמפִיבִּי
amphitheater	אַמְפִיתֵאַטרוֹן
ample	מַסְפִּיק
amplification	הַגבָּרָה
amplify	להגביר
amplitude	אמפליטודה
amply	בעדינות
amputate	לקטוע
amputation	קְטִיעָה
amuck	אמאק
amulet	קָמִיעַ
amuse	לְשַׁעֲשֵׁעַ
amused	משועשע
amusement	שַׁעֲשׁוּעַ
amusing	משעשע
ana	NO TRANSLATION
anaconda	אנקונדה
anaesthesia	הַרדָמָה
anaesthetic	הרדמה
anagram	אֲנַגְרַמָה
anal	אנאלי
analgesic	מְשַׁכֵּך כְּאֵבִים
analogous	מַקְבִּיל
analogue	אנלוגי
analogy	אֲנָלוֹגִיָה
analysis	אָנָלִיזָה
analyst	מְנַתֵחַ
analytic	אֲנַאלִיטִי
analytical	אנליטיים
analyze	לְנַתֵחַ
analyzer	מנתח
anaphylactic	אנפילקטי
anarchism	אנרכיזם
anarchist	אֲנַרכִיסט
anarchy	אֲנַרכִיָה
anastomosis	הַשָׁקָה
anathema	חֵרֶם
anatomic	אנטומי
anatomy	אֲנָטוֹמִיָה
ancestor	אָב קַדמוֹן
ancestral	אבות קדמונים
ancestry	שׁוֹשֶׁלֶת
anchor	לְעַגֵן
anchorage	מַעֲגָן
ancient	עָתִיק
ancillary	נלווה
androgen	אנדרוגן
android	דְמוּי אָדָם
anecdote	אֲנֶקדוֹטָה
anemia	אֲנֶמִיָה
anemic	אֲנֵמִי
anemone	כַּלָנִית
anesthesia	הַרדָמָה
anesthesiologist	מרדים
anesthetic	הרדמה
aneurysm	מפרצת
anew	מִחָדָשׁ
angel	מַלְאָך
angelic	מַלאָכִי
anger	כַּעַס
angered	כעס
angermanagement	NO TRANSLATION
angina	אַנגִינָה
angiogram	אנגיוגרמה
angiography	אנגיוגרפיה
angle	זָוִית
angling	זווית
angora	אנגורה
angriest	זועם
angry	כּוֹעֵס
angrytweet	NO TRANSLATION
angst	חרדה
anguish	צַעַר
anguished	מיוסרת
angular	זוויתית
anhydrous	נְטוּל מַיִם
animal	בעל חיים
animate	לְהַנפִּישׁ
animated	אנימציה
animation	אנימציה
animosity	אֵיבָה
animus	עוֹיְנוּת
ankle	קרסול
anklet	קַרסוּלִית
annals	קוֹרוֹת
annex	לְסַפֵּחַ
annexation	סיפוח
annexe	NO TRANSLATION
annihilate	לְהַשְׁמִיד
annihilated	מושמד
annihilation	הַשׁמָדָה
anniversary	יוֹם הַשָׁנָה
annotate	הוסף הערות
annotation	ביאור
announce	להכריז
announcement	הַכרָזָה
announcer	כָּרוֹז
annoy	לְהַרְגִיז
annoyance	מוֹרַת רוֹחַ
annoyed	מְרוּגָז
annoyin	NO TRANSLATION
annoying	מְעַצבֵּן
annoys	annoys
annual	שנתי
annuity	אַנוֹנָה
annul	לְבַטֵל
annular	טַבַּעתִי
annulment	ביטול
annulus	כטבעת
anointed	מָשׁוּחַ
anointing	מְשִׁיחָה
anomalous	חָרִיג
anomaly	אֲנוֹמַלִיָה
anon	anon
anonymity	אַלמוֹנִיוּת
anonymous	בעילום שם
anorexic	אנורקסית
answer	תשובה
answerable	דין וחשבון
answering	עונה
ant	נְמָלָה
antagonism	הִתנַגְדוּת
antagonist	יָרִיב
antagonistic	אנטגוניסטית
antagonize	להתנגד
ante	NO TRANSLATION
antecedent	מקדים
antelope	אַנְטִילוֹפָּה
antenna	אַנטֶנָה
anterior	קִדמִי
anthem	הִמנוֹן
anthill	אנתיל
anthology	אַנתוֹלוֹגִיָה
anthrax	גַחֶלֶת
anthropological	אנתרופולוגית
anthropologist	אַנתרוֹפּוֹלוֹג
anthropology	אַנתרוֹפּוֹלוֹגִיָה
anti	אַנְטִי
antiaircraft	נֶגֶד מְטוֹסִים
antibiotic	אַנטִיבִּיוֹטִי
antibiotics	אַנְטִיבִּיוֹטִיקָה
antichrist	אנטיכריסט
anticipate	לְצַפּוֹת
anticipation	ציפייה
anticipatory	מַקדִים
antics	תעלולים
antidote	נוגדן
antifungal	אנטי פטרייתי
antigravity	נוגד כבידה
antimony	אַנטִימוֹן
antipathy	סְלִידָה
antiquarian	סוֹחֵר עַתִיקוֹת
antiquated	מְיוּשָׁן
antique	עָתִיק
antiques	עַתִיקוֹת
antiquity	יָמֵי קֶדֶם
antiseptic	מְחַטֵא
antisocial	אַנְטִי חֵבְרָתִי
antithesis	אַנְטִיתֵזָה
antithetical	מנוגד
antiviral	אנטי ויראלי
antler	קֶרֶן הַצְבִי
antsy	נמרץ
anus	פִּי הַטַבַּעַת
anvil	סַדָן
anxiety	חֲרָדָה
anxietyattack	NO TRANSLATION
anxious	חָרֵד
anxiousness	דְאַגתָנוּת
anytime	בכל עת
aorta	אבי העורקים
aortic	אבי העורקים
apace	בִּמְהִירוּת
apache	אפאצ'י
apartment	דִירָה
apartments	דירות
apathetic	אָדִישׁ
apathy	אֲדִישׁוּת
ape	קוֹף
aperture	צוֹהַר
apex	שִׂיא
aphid	כְּנִימָה
aphrodisiac	אפרודיזיאק
apiece	חתיכה
aplomb	בִּטָחוֹן עַצְמִי
apocalypse	אַפּוֹקָלִיפּסָה
apocalyptic	אפוקליפטי
apologetic	מִתנַצֵל
apologist	אפולוג
apologize	לְהִתְנַצֵל
apology	הִתנַצְלוּת
apostasy	כְּפִירָה
apostate	מְשׁוּמָד
apostle	השליח
apostolic	אפוסטולי
apostrophe	גֵרֵשׁ
apothecary	רוֹקֵחַ
appalled	מזועזע
appalling	מַחרִיד
apparatus	מַנגָנוֹן
apparel	הלבשה
apparent	נִרְאֶה
apparently	ככל הנראה
apparition	הוֹפָעָה
appeal	עִרעוּר
appear	לְהוֹפִיעַ
appearance	מראה חיצוני
appease	לְרַצוֹת
appellant	עוֹרֵר
append	לְצַרֵף
appendage	תוֹסֶפֶת
appendectomy	כריתת שתן
appendicitis	דַלֶקֶת הַתוֹסֶפתָן
appendix	נִספָּח
appetite	תֵאָבוֹן
appetizer	מתאבן
appetizing	מְעוֹרֵר תֵאָבוֹן
applaud	לְשַׁבֵּחַ
applause	תְשׁוּאוֹת
apple	תפוח עץ
apple juice	מיץ תפוחים
applejack	אפלג'ק
applesauce	תפוח
appliance	מַכשִׁיר
appliances	מכשירים
applicability	יָשִׂימוּת
applicable	יָשִׂים
applicant	מְבַקֵשׁ
application	יישום
apply	להגיש מועמדות
appoint	לְמַנוֹת
appointment	קביעת פגישה
appointments	פגישות
apportion	לְחַלֵק
apportionment	- חלוקה
appraisal	הערכה
appraise	לְהַעֲרִיך
appreciable	ניכר
appreciate	מעריך
appreciated	מוערך
appreciates	וי זכויות
appreciation	הוֹקָרָה
appreciative	מוֹקִיר
apprehend	לַעֲצוֹר
apprehension	חֲשָׁשׁ
apprehensive	חוֹשֵׁשׁ
apprentice	שׁוּליִה
apprenticeship	התמחות
approach	גִישָׁה
approaching	מִתקַרֵב
approbate	NO TRANSLATION
approbation	הַסכָּמָה
appropriate	מתאים
appropriation	לְקִיחָה
approval	הסכמה
approve	לְאַשֵׁר
approved	אושר
approvement	אישור
approving	אישור
approximate	לְהִתְקַרֵב
approximately	בְּעֵרֶך
approximating	מקרוב
approximation	אוּמדָן
appurtenances	הנספחים הבאים
apricot	מִשׁמֵשׁ
apron	סינר
apt	מַתְאִים
aptitude	כִּשָׁרוֹן
aqua	אקווה
aquamarine	תַרשִׁישׁ
aquarium	אַקוַרִיוּם
aquatic	מֵימִי
aqueduct	אַמַת מַיִם
aqueous	מֵימִי
arable	חקלאי
arbiter	פּוֹסֵק
arbitrary	שרירותי
arbitrate	לְהַכרִיעַ
arbitration	בוררות
arbitrator	בּוֹרֵר
arbor	ארבור
arc	קֶשֶׁת
arcade	מִקמֶרֶת
arcane	מִסתוֹרִי
arch	קֶשֶׁת
archaeological	ארכיאולוגי
archaeologist	אַרכֵיאוֹלוֹג
archaeology	אַרכֵיאוֹלוֹגִיָה
archaic	אַרְכָאִי
archangel	המלאך
archbishop	אַרכִיבִּישׁוֹף
archdiocese	ארכיבישוף
archduke	ארכידוכס
arched	קָמוּר
archer	קַשָׁת
archery	קַשׁתוּת
archetype	אַב טִיפּוּס
archipelago	אַרכִיפֵּלָג
architect	אַדְרִיכָל
architectural	אדריכלי
architecture	ארכיטקטורה
archive	ארכיון
arctic	אַרקטִי
ardent	נִלהָב
ardor	לַהַט
arduous	כָּרוּך בְּמַאֲמָצִים
area	אֵזוֹר
arena	זִירָה
areola	הינם
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	לִטעוֹן
argument	טַעֲנָה
argumentation	הַנמָקָה
argumentative	וַכְּחָנִי
arguments	ארגומנטים
arid	צָחִיחַ
arise	לְהִתְעוֹרֵר
aristocracy	אֲצוּלָה
aristocrat	אֲרִיסטוֹקרָט
aristocratic	אריסטוקרטית
arithmetic	חֶשְׁבּוֹן
ark	ארון
arm	זְרוֹעַ
armada	ארמדה
armament	הְתחַמְשׁוּת
armaments	נשק
armature	עוֹגֶן
armchair	כּוּרסָה
armed	חָמוּשׁ
armor	שִׁריוֹן
armored	משוריין
armory	נִשׁקִיָה
armpit	בית שחי
arms	נשק
army	צָבָא
aroma	אֲרוֹמָה
aromatherapy	ארומתרפיה
arousal	עִירוּר
arouse	לְעוֹרֵר
aroused	התעוררה
arraignment	עיצום
arrange	לְאַרגֵן
arranged	מְסוּדָר
arrangement	הֶסדֵר
array	מַעֲרָך
arrears	פיגור
arrest	מַעְצָר
arrhythmia	הפרעות קצב
arrival	הַגָעָה
arrive	לְהַגִיעַ
arrogance	יְהִירוּת
arrogant	יָהִיר
arrow	חֵץ
arsehole	חור
arseholes	arseholes
arsenal	מַחסָן נֶשֶׁק
arsenic	אַרסָן
arson	הַצָתָה
arsonist	מַבעִיר
art	אומנות
arterial	עוֹרְקִי
artery	עוֹרֶק
artful	עַרמוּמִי
arthritis	דַלֶקֶת פּרָקִים
arthropod	ארתרופוד
artichoke	אַרטִישׁוֹק
article	מאמר
articles	מאמרים
articulate	לבטא
articulation	מִפרוּק
artifact	חפץ
artifice	תַחְבּוּלָה
artificial	מְלָאכוּתִי
artillery	אָרְטִילֶרִיָה
artisan	אָמָן
artist	אמן
artiste	NO TRANSLATION
artistic	אָמָנוּתִי
artistry	אָמָנוּת
artists	אמנים
artwork	עבודת אומנות
arty	arty
asap	בהקדם האפשרי
asbestos	אַזְבֶּסְט
ascend	לַעֲלוֹת
ascendancy	עולה
ascendant	עוֹלֶה
ascending	עולה
ascension	העלייה
ascent	מַעֲלֶה
ascertain	לְוַדֵא
ascertained	הוסבר
ascetic	סַגְפָן
ash	אֵפֶר
ashamed	מְבוּיָשׁ
ashes	אפר
ashtray	מַאֲפֵרָה
asinine	asinine
ask	לִשְׁאוֹל
asleeep	NO TRANSLATION
asleep	יָשֵׁן
asp	אֶפעֶה
asparagus	אספרגוס
aspartame	אספרטיים
aspect	אספקט
aspects	היבטים
aspen	צַפצָפָה רַעֲדָנִית
asphalt	אַספַלט
asphyxia	חֶנֶק
asphyxiation	חנק
aspiration	שְׁאִיפָה
aspire	לִשְׁאוֹף
aspirin	אַספִּירִין
aspiring	שאפתן
ass	תַחַת
assail	לִתְקוֹף
assailant	תוקף
assassin	מִתנַקֵשׁ
assassinate	להתנקש
assassination	רֶצַח
assault	תקיפה
assay	assay
assemblage	מכלול
assemble	להרכיב
assembled	התאספו
assembly	הַרכָּבָה
assemblyman	המחוקק
assent	לְהַסכִּים
assert	לִטעוֹן
asserting	טענה
assertion	טַעֲנָה
assertive	אסרטיבי
assess	לְהַעֲרִיך
assessment	הערכה
assessor	שַׁמַאִי
asset	נכס
assets	נכסים
asshole	מְטוּמטָם
assign	לְהַקְצוֹת
assignee	נִמחֶה
assignment	מְשִׁימָה
assimilate	להטמיע
assimilation	הַטמָעָה
assist	לסייע
assistance	סִיוּעַ
assistant	עוֹזֵר
associate	חָבֵר
association	אִרגוּן
assorted	מְגוּוָן
assortment	מִבְחָר
assuage	לְשַׁכֵּך
assume	לְהַנִיחַ
assumed	להניח
assuming	בהנחה
assumption	הנחה
assurance	הַבטָחָה
assure	לְהַבטִיחַ
assured	בטוח
assuredly	אין ספק
asterisk	כּוֹכָבִית
asteroid	אַסטֵרוֹאִיד
asteroids	אסטרואידים
asthma	אַסְתְמָה
asthmatic	חוֹלֶה קַצֶרֶת
astigmatism	אסטיגמציה
