Word	fa
admirable	قابل تحسین
admiral	دریاسالار
admiralty	دریانوردی
admiration	تحسین
admire	تحسین
admired	تحسینش کرد
admirer	تحسین کننده
admiring	تحسین
admissibility	پذیرش
admissible	قابل قبول
admission	پذیرش
admit	اقرار کردن
admittance	پذیرش
admitted	پذیرفته
admitting	پذیرش
admixture	مخلوط
admonition	احتیاط
ado	ado
adobe	آدوب
adolescence	بلوغ
adolescent	نوجوانان
adopt	اتخاذ کردن
adoption	پذیرش
adoptive	گیرنده
adorable	شایان ستایش
adoration	تقدیر
adore	عشق ورزیدن
adoring	adoring
adorn	زینت دادن
adornment	دکوراسیون
adrenalin	آدرنالین
adrenaline	آدرنالین
adrift	مرده
adult	بالغ
adulterated	تقلبی
adulterer	زنا
adultery	زنائی
adulthood	بزرگسالان
advance	پیشرفت
advanced	پیشرفته
advancement	پیشرفت
advancing	پیشبرد
advantage	مزیت
advantageous	با صرفه
advent	ظهور
adventure	ماجرا
adventurer	ماجراجو
adventures	ماجراهای
adventurous	پرماجرا
adversary	دشمن
adverse	منفی است
adversity	بدبختی
advertise	تبلیغات
advertisement	تبلیغات
advertising	تبلیغات
adverts	آگهی ها
advice	مشاوره
advisable	قابل توصیه
advise	توصیه
advised	توصیه می شود
advisement	مشاوره
adviser	مشاور
advisor	مشاور
advisory	مشاوره
advocacy	دفاع
advocate	مدافع
aegis	حدیث
aeration	هوادهی
aerial	هوایی
aerobics	ایروبیک
aerodrome	فرودگاه
aerodynamic	آیرودینامیک
aerodynamics	آیرودینامیک
aeronautics	هواپیما
aeroplane	هواپیما
aerospace	هوافضا
aesthetic	زیبایی شناسی
aesthetics	زیبایی شناسی
aetiology	اتولوژی
afar	دور
affable	قابل اعتماد
affair	امور
affect	تاثیر می گذارد
affecting	موثر بر
affection	محبت
affectionate	مهربان
affections	عواطف
affiche	NO TRANSLATION
affidavit	تأییدیه
affiliated	وابسته
affiliation	وابستگی
affinity	وابستگی
affirm	تأیید کنید
affirmation	تأیید
affirmative	مثبت
affirmatively	مثبت است
affix	علامت گذاری
afflict	مصیبت
afflicted	آسیب دیده
affliction	بدبختی
affluence	ثروت
affluent	فراوان
afford	استطاعت داشتن
affordable	مقرون به صرفه
affront	اعتراض
affronted	فریب خورده
afield	فضایی
afire	فریاد
afloat	شناور
afore	بالا
aforementioned	فوق الذکر
aforesaid	در بالا ذکر شد
afraid	ترسیدن
afresh	تازه
african	آفریقایی
aft	پشت سر هم
afterlife	زندگی پس از مرگ
aftermath	پس از آن
afternoon	بعد از ظهر
aftershave	پس از برداشتن
aftertaste	بعد از غذا
afterthought	پس انداز
aga	NO TRANSLATION
agape	آگاپه
agate	آهات
age	سن
aged	سن
agency	آژانس
agenda	دستور جلسه
agent	عامل
agglomeration	تراکم
aggravate	تشدید می شود
aggravated	تشدید می شود
aggravates	تشدید می شود
aggravating	تشدید
aggravation	تشدید
aggregate	تجمیع
aggregation	تجمع
aggresive	NO TRANSLATION
aggression	تجاوز
aggressive	خشونت آمیز
aggressively	تهاجمی
aggressiveness	تهاجمی
aggressor	متجاوز
agh	آه
aghast	آهسته
aghhh	NO TRANSLATION
agile	چابک
agility	چابکی
aging	سالخورده
agitate	آشفتگی
agitated	آشفته
agitation	تحریک
aglow	آهسته
agnostic	اگنستیک
ago	پیش
agonizing	تکان دهنده
agony	آکنه
agoraphobia	agoraphobia
agree	موافق
agreeable	دوست داشتنی
agreed	توافق کرد
agreeing	موافقم
agreement	توافق
agressive	NO TRANSLATION
agricultural	کشاورزی
agriculture	کشاورزی
aground	در اطراف
agua	NO TRANSLATION
ahead	در پیش
ahhh	آهه
ahhhhhhhh	NO TRANSLATION
ahoy	آهوی
aid	کمک
aide	کمک کننده
aiding	کمک کردن
aids	ایدز
ail	ail
ailing	بیمار
ailment	ناراحتی
aim	هدف
aimless	بی هدف
air	هوا
airbag	کیسه هوا
airborne	هواپیما
aircraft	هواپیما
aircraft carrier	ناو هواپیما بر
airfield	فرودگاه
airhead	هوا سرد
airlift	هواپیما
airline	خطوط هوایی
airliner	هواپیمای مسافربری
airlock	دریچه هوا
airman	هواپیما
airplane	هواپیما
airport	فرودگاه
airs	هوا
airship	بالون
airspace	فضای هوایی
airspeed	سرعت هوا
airstrip	ناو هواپیمابر
airtight	هوادهی
airway	راه هوایی
aisle	راهرو
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	مستعار
akin	وابسته
alabaster	آلاباستر
alarm	زنگ خطر
alarm clock	ساعت زنگدار
alarmed	هشدار دهنده
alarming	هشدار دهنده
alas	افسوس
alb	NO TRANSLATION
albatross	آلباتروس
albino	آلبینیو
album	آلبوم
alchemy	کیمیاگری
alcohol	الکل
alcoholic	الکلی
alcoholism	مشروبات الکلی
alcove	alcove
alderman	آلدرمن
ale	NO TRANSLATION
alert	هشدار
alertness	هوشیاری
alerts	هشدار
alfalfa	یونجه
algebra	جبر
algebraic	جبری
algorithm	الگوریتم
alias	نام مستعار
alibi	alibi
alien	بیگانه
alienate	بیگانه
alienated	بیگانه
alienation	بیگانگی
alight	شعله ور
align	تراز کردن
aligned	هم راستا
alignment	هم ترازی
alike	به طور یکسان
alimentation	NO TRANSLATION
alimony	نفقه
aliquot	آلیکوت
alive	زنده است
alkali	قلیایی
alkaloids	آلکالوئیدها
allay	از بین بردن
allegation	ادعا
allege	ادعا کن
alleged	ادعا کرد
allegiance	وفاداری
allegorical	تمثیل
allegory	تمثیل
allegro	مخلوق
allergic	آلرژیک
allergy	آلرژی
alleviate	تسکین
alleviation	تسکین
alley	کوچه
alleyway	کوچه
alliance	اتحاد
allied	متفقین
alligator	تمساح
allocate	تخصیص
allocation	تخصیص
allot	تخصیص دادن
allotment	تخصیص
allow	اجازه دادن
allowable	مجاز
allowance	کمک هزینه
allowed	مجاز
alloy	آلیاژ
allsmiles	NO TRANSLATION
allure	جذابیت
alluring	جذابیت
allusion	تقلید
alluvial	آبرفتی
ally	متحد
almanac	هفتگی
almighty	خداوند متعال
almond	بادام
aloft	بالا
aloha	الهه
alone	تنها
alongside	در کنار
aloof	دور
aloud	با صدای بلند
alpha	آلفا
alphabet	الفبا
alphabetical	حروف الفبا
alpine	آلپاین
alreadyyyyy	کنجکاو
altar	محراب
altar boy	جادوگر
alter	تغییر دادن
alteration	تغییر
altercation	جهش
altered	تغییر کرد
alternate	متناوب
alternating	متناوب
alternative	جایگزین
altimeter	ارتفاع سنج
altitude	ارتفاع
alto	آلتو
altogether	در مجموع
aluminum	آلومینیوم
alumnus	فارغ التحصیل
alveolar	آلوئولار
alzheimers	NO TRANSLATION
amalgam	آمالگام
amalgamation	ادغام
amaretto	امارت
amass	جمع کن
amateur	آماتور
amaze	عجیب و غریب
amazed	شگفت زده شد
amazedness	NO TRANSLATION
amazement	شگفتی
amazing	حیرت آور
amazingly	شگفت آور
ambassador	سفیر
amber	کهربا
ambience	محدوده
ambient	محیط
ambiguity	ابهام
ambiguous	مبهم
ambit	دامنه
ambition	هدف - آرزو
ambitious	بلند پروازانه
ambivalent	متضاد
ambrosia	شهد
ambulance	آمبولانس
ambush	کمین
ameliorate	بهبود یافتن
amen	آمین
amenable	قابلیت
amend	اصلاح
amendment	اصالحیه
amends	اصلاح می شود
amenity	سرگرمی
amethyst	آمستردام
amiable	دوستانه
amicable	دوستانه
amid	در میان
amidst	در میان
amino	آمینو
ammo	مهمات
ammonia	آمونیاک
ammonium	آمونیوم
ammunition	مهمات
amnesia	فراموشی
amnesty	عفو
amorous	عاشقانه
amorphous	آمورف
amortization	استهلاک
amount	میزان
amour	NO TRANSLATION
amp	تقویت کننده
ampersand	امپراطور
amphetamines	آمفتامین
amphibian	دوزیستان
amphibious	دوزیستان
amphitheater	آمفی تئاتر
ample	کافی
amplification	تقویت
amplify	تقویت
amplitude	دامنه
amply	به طور کامل
amputate	amputate
amputation	قطع عضو
amuck	آمک
amulet	امولاتور
amuse	مات و متحیر کردن
amused	سرگرم کننده
amusement	تفریحی
amusing	سرگرم کننده
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	بیهوشی
anaesthetic	بی حس کننده
anagram	انجماد
anal	مقعد
analgesic	ضد درد
analogous	مشابه
analogue	آنالوگ
analogy	تقلید
analysis	تحلیل و بررسی
analyst	تحلیلگر
analytic	تحلیلی
analytical	تحلیلی
analyze	تجزیه و تحلیل
analyzer	تجزیه کننده
anaphylactic	آنافیلاکسی
anarchism	آنارشیسم
anarchist	هرج و مرج طلب
anarchy	هرج و مرج
anastomosis	آناستوموز
anathema	anathema
anatomic	آناتومیک
anatomy	آناتومی
ancestor	اجداد
ancestral	اجداد
ancestry	اجداد
anchor	لنگر
anchorage	لنگرگاه
ancient	باستانی
ancillary	کمکی
androgen	آندروژن
android	اندروید
anecdote	حکایت
anemia	کم خونی
anemic	بی حسی
anemone	anemone
anesthesia	بیهوشی
anesthesiologist	متخصص بیهوشی
anesthetic	بی حس کننده
aneurysm	آنوریسم
anew	دوباره
angel	فرشته
angelic	فرشته ای
anger	خشم
angered	خشمگین
angermanagement	NO TRANSLATION
angina	آنژین
angiogram	آنژیوگرافی
angiography	آنژیوگرافی
angle	زاویه
angling	ماهیگیری
angora	انجورا
angriest	خشمگین
angry	خشمگین
angrytweet	NO TRANSLATION
angst	عصبانیت
anguish	غم و اندوه
anguished	ترسناک
angular	زاویه ای
anhydrous	بدون آب
animal	حیوانات
animate	تحریک کننده
animated	متحرک
animation	انیمیشن
animosity	خصومت
animus	animus
ankle	مچ پا
anklet	خیمه
annals	سالنها
annex	ضمیمه
annexation	انحصار
annexe	NO TRANSLATION
annihilate	نابود کردن
annihilated	نابود شد
annihilation	نابودی
anniversary	سالگرد
annotate	حاشیه نویسی
annotation	حاشیه نویسی
announce	اعلام
announcement	اطلاعیه
announcer	گوینده
annoy	آزار دهنده
annoyance	ناراحتی
annoyed	آزاردهنده
annoyin	NO TRANSLATION
annoying	مزاحم
annoys	عصبانی می شود
annual	سالانه
annuity	سالیانه
annul	حل کن
annular	حلقه ای
annulment	لغو
annulus	حلقه
anointed	مضطرب
anointing	سوزاندن
anomalous	بی نظیر
anomaly	ناهنجاری
anon	anon
anonymity	ناشناس بودن
anonymous	ناشناس
anorexic	بی نظمی
answer	پاسخ
answerable	مسئولیت پذیر
answering	پاسخ دادن
ant	مورچه
antagonism	آنتاگونیسم
antagonist	آنتاگونیست
antagonistic	آنتاگونیست
antagonize	مقابله با آن
ante	NO TRANSLATION
antecedent	پیشین
antelope	ضد قفس
antenna	آنتن
anterior	قدامی
anthem	سرود
anthill	مورچه
anthology	کتابشناسی
anthrax	سم زدایی
anthropological	انسان شناسی
anthropologist	انسان شناس
anthropology	مردم شناسی
anti	ضد
antiaircraft	ضد هوایی
antibiotic	آنتی بیوتیک
antibiotics	آنتی بیوتیک ها
antichrist	ضد مسیح
anticipate	پیش بینی کنید
anticipation	پیش بینی
anticipatory	پیش بینی
antics	عناوین
antidote	پادزهر
antifungal	ضد قارچ
antigravity	ضد جاذبه
antimony	آنتیموان
antipathy	انزجار
antiquarian	عتیقه
antiquated	قدیم
antique	عتیقه
antiques	عتیقه جات
antiquity	دوران قدیم
antiseptic	ضد عفونی کننده
antisocial	ضد اجتماعی
antithesis	ضد آن
antithetical	ضدتشنج
antiviral	ضد ویروسی
antler	موی سرخ
antsy	مشتاق
anus	anus
anvil	عذاب
anxiety	اضطراب
anxietyattack	NO TRANSLATION
anxious	مشتاق
anxiousness	اضطراب
anytime	هر زمان
aorta	آئورت
aortic	آئورت
apace	دور انداختن
apache	آپاچی
apartment	اپارتمان
apartments	آپارتمان ها
apathetic	بی تفاوت
apathy	بی تفاوتی
ape	مرد عنکبوتی
aperture	دیافراگم
apex	آپکس
aphid	شسته شدن
aphrodisiac	فست فود
apiece	یک تکه
aplomb	کف زدن
apocalypse	آخر الزمان
apocalyptic	آخرالزمانی
apologetic	عذر خواهی
apologist	معذرت خواهی
apologize	عذر خواهی کردن
apology	عذرخواهی
apostasy	ارتداد
apostate	معافیت
apostle	رسول
apostolic	رسول خدا
apostrophe	آپوستروف
apothecary	آپاتچی
appalled	ترسناک
appalling	مخوف
apparatus	دستگاه
apparel	پوشاک
apparent	آشکار
apparently	ظاهرا
apparition	ظهور
appeal	درخواست
appear	به نظر می رسد
appearance	ظاهر
appease	دلم برات تنگ شده
appellant	متهم
append	اضافه کردن
appendage	اعصاب
appendectomy	آپاندکتومی
appendicitis	آپاندیسیت
appendix	ضمیمه
appetite	اشتها
appetizer	اشتها آور
appetizing	اشتها آور
applaud	تحسین می کنم
applause	تشویق و تمجید
apple	سیب
apple juice	آب سیب
applejack	اپلجاک
applesauce	سیب زمینی
appliance	لوازم خانگی
appliances	لوازم خانگی
applicability	کاربرد
applicable	مناسب
applicant	درخواست کننده
application	کاربرد
apply	درخواست دادن
appoint	انتصاب کنید
appointment	وقت ملاقات
appointments	قرار ملاقات ها
apportion	تقسیم
apportionment	تقسیم بندی
appraisal	ارزیابی
appraise	ارزیابی کنید
appreciable	قابل توجه است
appreciate	قدردانی
appreciated	استقبال مینماید
appreciates	قدردانی می کنم
appreciation	قدردانی
appreciative	قدردانی
apprehend	دستگیره
apprehension	بدبختی
apprehensive	نگران کننده است
apprentice	شاگرد
apprenticeship	دوره کار آموزی
approach	رویکرد
approaching	نزدیک شدن
approbate	NO TRANSLATION
approbation	تقلب
appropriate	مناسب
appropriation	تخصیص
approval	تصویب
approve	تایید
approved	تایید شده
approvement	تایید
approving	تصویب
approximate	تقریبی
approximately	تقریبا
approximating	تقریبی
approximation	تقریبی
appurtenances	ملزومات
apricot	زردآلو
apron	پیشبند
apt	مناسب
aptitude	صلاحیت
aqua	آبی
aquamarine	آکوامارین
aquarium	آکواریوم
aquatic	آبزی
aqueduct	آب جوش
aqueous	آبی
arable	آبیاری
arbiter	داور
arbitrary	خودسرانه
arbitrate	داوری
arbitration	داوری
arbitrator	داور
arbor	مهماندار
arc	قوس
arcade	مسابقه ای
arcane	عجیب و غریب
arch	قوس
archaeological	باستان شناسی
archaeologist	باستان شناس
archaeology	باستان شناسی
archaic	بایگانی
archangel	فرشته ای
archbishop	اسقف اعظم
archdiocese	اسقف اعظم
archduke	آرامگاهچک
arched	پیچ خورده
archer	کماندار
archery	تیراندازی با کمان
archetype	آرکه تایپ
archipelago	مجمع الجزایر
architect	معمار
architectural	معماری
architecture	معماری
archive	بایگانی
arctic	قطب شمال
ardent	مشتاق
ardor	اشتیاق
arduous	دشوار
area	حوزه
arena	عرصه
areola	Areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	آره
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	جر و بحث
argument	بحث و جدل
argumentation	استدلال
argumentative	استدلال
arguments	استدلال
arid	خشک شده
arise	بوجود می آیند
aristocracy	اشراف
aristocrat	اشراف
aristocratic	اشرافی
arithmetic	ریاضی
ark	آرک
arm	بازو
armada	آرمادا
armament	تسلیحات
armaments	اسلحه
armature	آرماتور
armchair	صندلی
armed	مسلح
armor	زره پوش
armored	زره پوش
armory	اسلحه
armpit	زیر بغل
arms	بازوها
army	ارتش
aroma	عطر
aromatherapy	آروماتراپی
arousal	انگیختگی
arouse	موجب می شود
aroused	تحریک شده
arraignment	اظهارنظر
arrange	ترتیب دادن
arranged	مرتب شده اند
arrangement	آرایش
array	آرایه
arrears	عقب افتادگی
arrest	دستگیری
arrhythmia	آریتمی
arrival	ورود
arrive	رسیدن
arrogance	غرور
arrogant	متکبر
arrow	فلش
arsehole	arsehole
arseholes	arseholes
arsenal	انبار مهمات
arsenic	آرسنیک
arson	آتش سوزی
arsonist	دستگیر کننده
art	هنر
arterial	شریانی
artery	شریان
artful	هنرمندانه
arthritis	آرتروز
arthropod	بندپایان
artichoke	artichoke
article	مقاله
articles	مقالات
articulate	بیان
articulation	تفسیر
artifact	غیرواقعی، ساختگی
artifice	مصنوعی
artificial	ساختگی
artillery	توپخانه
artisan	هنرپیشه
artist	هنرمند
artiste	NO TRANSLATION
artistic	هنری
artistry	هنری
artists	هنرمندان
artwork	اثر هنری
arty	آرتی
asap	هر چه سریعتر
asbestos	آزبست
ascend	صعود
ascendancy	بالاخره
ascendant	صعود
ascending	صعودی
ascension	صعود
ascent	صعود
ascertain	مطمئن شوید
ascertained	مشخص شد
ascetic	مستعار
ash	خاکستر
ashamed	شرمنده
ashes	خاکستر
ashtray	زیر سیگاری
asinine	آبی
ask	پرسیدن
asleeep	NO TRANSLATION
asleep	خواب
asp	آسپ
asparagus	مارچوبه
aspartame	آسپارتام
aspect	جنبه
aspects	جنبه های
aspen	آسپن
asphalt	آسفالت
asphyxia	آسفیکسی
asphyxiation	آسیب دیدگی
aspiration	تنفس
aspire	آرزو می کنم
aspirin	آسپرین
aspiring	مشتاق
ass	الاغ
assail	تکان دادن
assailant	مهاجم
assassin	قاتل
assassinate	ترور
assassination	ترور
assault	حمله
assay	تست
assemblage	مونتاژ
assemble	جمع کن
assembled	مونتاژ
assembly	مونتاژ
assemblyman	مونتاژ کننده
assent	موافقت
assert	ادعا کن
asserting	ادعا می کند
assertion	ادعای
assertive	اظهار کننده
assess	ارزیابی کنید
assessment	ارزیابی
assessor	ارزیابی کننده
asset	دارایی
assets	دارایی های
asshole	احمق
assign	اختصاص دادن
assignee	وفادار
assignment	وظیفه
assimilate	جذب
assimilation	ادغام
assist	کمک کن
assistance	معاونت
assistant	دستیار
associate	وابسته
association	اتحادیه
assorted	مجموعه ای
assortment	دسته بندی
assuage	تسلیم
assume	فرض
assumed	فرض
assuming	با فرض اینکه
assumption	فرض
assurance	تضمین
assure	اطمینان دادن
assured	خاطر جمع
assuredly	مطمئنا
asterisk	ستاره
asteroid	سیارک
asteroids	سیارک ها
asthma	آسم
asthmatic	آسم
astigmatism	آستیگماتیسم
astonish	شگفت زده
astonished	شگفت زده شدم
astonishing	عجیب
astonishingly	NO TRANSLATION
astonishment	حیرت انگیز
astound	عجیب و غریب
astral	عارفانه
astray	گمراه
astringent	رطوبت
astrologer	طالع بینی
astrology	طالع بینی
astronaut	فضانورد
astronomer	ستاره شناس
astronomical	نجومی
astronomy	ستاره شناسی
astute	آزار دهنده
asunder	تقریبا
asylum	پناهندگی
asymmetric	نامتقارن
asymmetry	نامتقارن
asymptotic	تقریبی
atelier	آتلیه
atheism	بی تفاوتی
atheist	بی خدا
atheistic	بی تفاوتی
atherosclerosis	آترواسکلروز
athlete	ورزشکار
athletic	ورزشی
athleticism	ورزشگری
athletics	ورزشکاری
atlas	نقشه اطلس
atmosphere	اتمسفر
atmospheric	اتمسفر
atoll	اتول
atom	اتم
atomic	اتمی
atone	اتمام
atonement	تمجید
atpeace	در صلح
atrium	دهان
atrocious	وحشیانه
atrocity	خشونت
atrophy	آتروفی
attach	پیوستن
attached	متصل شده
attachment	ضمیمه
attack	حمله
attacker	حمله کننده
attacking	هجوم بردن
attain	رسیدن
attainable	قابل دستیابی است
attainment	حصول
attempt	تلاش کنید
attempted	تلاش
attend	مراجعه كردن
attendance	حضور
attendant	همراهی
attention	توجه
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	توجه کن
attenuate	تضعیف
attenuated	تضعیف شده
attenuation	تضعیفی
attest	شهادت
attestation	گواهینامه
attic	اتاق زیر شیروانی
attire	لباس
attitude	نگرش
attorney	وکیل
attract	جذب
attraction	جاذبه
attractive	جذاب
attractiveness	جذابیت
attributable	قابل اعطای
attribute	صفت
attribution	ارجاع
attrition	سستی
auburn	آبرنگ
auction	حراج
auctioneer	حراج
audacious	ترسناک
audacity	غم و اندوه
audible	قابل شنیدن است
audience	حضار
audio	سمعی
audit	حسابرسی
audition	آزمون
auditions	آزمایشی
auditor	ممیز، مامور رسیدگی
auditorium	سالن اجتماعات
auditory	شنوایی
aught	خیلی ممنون
augment	تقویت کردن
augmentation	تقویت
august	ماه اوت
aunt	عمه
auntie	خاله
aura	اورا
aurora	شفق قطبی
auspices	احتیاط
auspicious	خوشحالی
austere	سخت گیرانه
austerity	ریاضت
authentic	معتبر
authenticate	تصدیق کردن
authentication	احراز هویت
authenticity	اعتبار
author	نویسنده
authoritative	معتبر
authority	قدرت
authorization	مجوز
authorize	مجاز
authorized	مجاز است
authorship	نویسنده
autism	اوتیسم
autistic	اوتیستیک
auto	خودکار
autobiographical	خودکاربازی
autobiography	زندگینامه
autocorrect	اتکای درست
autocratic	خودکامه
autograph	مستند
autographed	عکسبرداری شده
automated	خودکار
automatic	اتوماتیک
automobile	خودرو
automotive	خودرویی
autonomy	خودمختاری
autopilot	autopilot
autopsy	کالبد شکافی
autumn	فصل پاييز
auxiliary	کمکی
avail	فایده
availability	دسترسی
available	در دسترس
avalanche	بهمن
avarice	جسارت
avatar	آواتار
avenge	انتقام
avenger	انتقام گیرنده
avenging	انتقام
avenue	خیابان
aver	NO TRANSLATION
average	میانگین
aversation	NO TRANSLATION
averse	مخالف
averseness	عینیت
aversion	ناامیدی
avert	جلوگیری
aviary	جادوگر
aviation	هواپیمایی
aviator	هواپیما
avid	مشتاق
avocado	آووکادو
avoid	اجتناب کردن
avoidance	اجتناب
avoiding	پرهیز کردن
await	در انتظار
awake	بیدار
awaken	بیدار شدن
awakening	بیداری
award	جایزه
awards	جوایز
aware	مطلع
awareness	اطلاع
awe	NO TRANSLATION
awed	ممنون
awesome	عالی
awesomeness	هیجان
awestruck	احمقانه
awful	خیلی بد و ناخوشایند
awkward	بی دست و پا - به شکلی نامناسب
awkwardness	اشتباه
awning	سایبان
awry	بیدرد
axe	تبر
axial	محوری
axiom	معرفت
axiomatic	معنی دار
axis	محور
axle	محور
ay	آه
aye	آه
azimuth	Azimuth
azure	چراغ خاموش
babble	لگد زدن
babbling	لعنتی
babe	عزیزم
baboon	بابون
baby	عزیزم
babysit	بچه نگهدار
babysitter	پرستار بچه
baccalaureate	مدرک لیسانس
baccarat	باکارت
bachelor	عزب
bachelorette	شطرنج
back	بازگشت
backboard	پشت صندلی
backbone	ستون فقرات
backdoor	پشت درپوش
backdrop	پس زمینه
backer	پشتیبان
backfire	عقب افتادگی
backgammon	تخته نرد
background	زمینه
backhand	پشت سر هم
backhoe	پشت سوار
backoff	بکش کنار
backpack	کوله پشتی
backpacker	کوله پشتی
backroom	پشت سر هم
backseat	دستمال کاغذی
backside	عقب
backtrack	عقب نشینی
backup	پشتیبان گیری
backward	به عقب
backwardness	عقب ماندگی
backwards	عقب
backwater	پشت بام
backwoods	عقب ماندگی
backyard	حیاط خلوت
bacon	بیکن
bacteria	باکتری ها
bacterial	باکتری
bacterium	باکتری
bad	بد
badass	بدس
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	نشان
badger	گرگ
