Word	lv
accuse	apsūdzēt
accused	apsūdzētais
accuser	apsūdzētājs
accusing	apsūdzot
accustomed	pieraduši
ace	ace
acetic	etiķskābe
acetylene	acetilēns
ache	sāpes
achieve	sasniegt
achieved	sasniegts
achievement	sasniegums
aching	sāpes
achy	achy
acid	skābe
acidity	skābums
acknowledge	atzīt
acknowledged	atzina
acknowledgement	apstiprinājums
acknowledgment	apstiprinājums
acme	acme
acne	pūtītes
acorn	zārks
acoustic	akustika
acoustics	akustika
acquaint	iepazīties
acquaintance	iepazīšanās
acquainted	iepazinies
acquiescence	piekrišana
acquire	iegādāties
acquiring	iegūšana
acquisition	iegūšana
acquisitions	iegādes
acquit	attaisnot
acquittal	attaisnojums
acre	Acre
acreage	platība
acres	akriem
acrobat	akrobāts
acrylic	akrils
act	tēlot
acting	darbojas
action	rīcība
action figure	darbības rādītājs
actionable	apstrīdams
activate	aktivizēt
activation	aktivizēšana
active	aktīva
activist	aktīvists
activity	aktivitāte
actor	aktieris
actress	aktrise
actual	faktiskais
actuality	aktualitāte
actuary	aktuārs
acuity	asums
acumen	izveicība
acupuncture	akupunktūra
acute	akūta
acutely	akūti
ad	reklāma
adage	piedēklis
adamant	adamants
adapt	pielāgot
adaptable	pielāgojama
adaptation	adaptācija
add	pievieno
added	pievienots
addendum	papildinājums
adder	papildinātājs
addict	atkarīgais
addicted	atkarīgs
addiction	atkarība
addictive	atkarību
addition	papildinājums
additional	papildus
additive	piedeva
address	adrese
addressee	adresāts
addresses	adreses
adept	lietpratējs
adequacy	atbilstība
adequate	adekvāts
adhere	jāievēro
adherence	ievērošana
adherent	adherent
adhering	pieliekoties
adhesion	saķere
adhesive	līmi
adieu	adieu
adipose	tauki
adjacency	blakusdarbība
adjacent	blakus
adjective	īpašības vārds
adjoining	blakus
adjourn	pārtraukt
adjournment	pārtraukšana
adjudicate	izlemt
adjudication	spriedums
adjunct	adjunct
adjust	pielāgot
adjuster	regulētājs
adjustment	korekcija
adjuvant	adjuvants
admin	admin
administer	administrēt
administration	administrācija
administrative	administratīvā
administrator	administrators
admirable	apbrīnojams
admiral	admirālis
admiralty	admiralitāte
admiration	apbrīna
admire	apbrīnot
admired	apbrīnot
admirer	cienītājs
admiring	apbrīnoju
admissibility	pieņemamība
admissible	pieņemams
admission	uzņemšana
admit	atzīt
admittance	uzņemšana
admitted	atļauts
admitting	pieļaujot
admixture	piemaisījums
admonition	brīdinājums
ado	ado
adobe	adobe
adolescence	pusaudža gados
adolescent	pusaudzis
adopt	pieņemt
adoption	adopcija
adoptive	adoptētājs
adorable	burvīgs
adoration	pielūgšana
adore	adore
adoring	adoring
adorn	izgreznot
adornment	rotājums
adrenalin	adrenalīns
adrenaline	adrenalīns
adrift	adrift
adult	pieaugušais
adulterated	falsificēts
adulterer	laulības pārkāpējs
adultery	laulības pārkāpšana
adulthood	pieauguša cilvēka vecums
advance	iepriekš
advanced	uzlabots
advancement	attīstība
advancing	virzība uz priekšu
advantage	priekšrocība
advantageous	izdevīgi
advent	Advent
adventure	piedzīvojums
adventurer	piedzīvojumu meklētājs
adventures	piedzīvojumi
adventurous	piedzīvojumu kārs
adversary	pretinieks
adverse	nelabvēlīgs
adversity	nelaimi
advertise	reklamēt
advertisement	reklāma
advertising	reklāma
adverts	sludinājumi
advice	konsultācijas
advisable	ieteicams
advise	ieteikt
advised	ieteicams
advisement	ieteikums
adviser	padomnieks
advisor	padomnieks
advisory	konsultācijas
advocacy	aizstāvība
advocate	advokāts
aegis	ēda
aeration	aerācija
aerial	antena
aerobics	aerobika
aerodrome	lidlauks
aerodynamic	aerodinamika
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	lidmašīna
aerospace	kosmosa avoti
aesthetic	estētisks
aesthetics	estētika
aetiology	etioloģija
afar	tālumā
affable	laipni
affair	lieta
affect	ietekmēt
affecting	ietekmē
affection	pieķeršanās
affectionate	sirsnīgs
affections	mīļi
affiche	NO TRANSLATION
affidavit	apliecinošs dokuments
affiliated	saistīts
affiliation	piederība
affinity	afinitāte
affirm	apstiprināt
affirmation	apstiprinājums
affirmative	apstiprinošs
affirmatively	apstiprinoši
affix	piestiprināt
afflict	apgrūtinošs
afflicted	nomocīts
affliction	nelaime
affluence	labklājība
affluent	pārtikusi
afford	atļauties
affordable	pieejamu
affront	apvainojums
affronted	apslāpēts
afield	apvidus
afire	uguns
afloat	virs ūdens
afore	iepriekš
aforementioned	iepriekš minētais
aforesaid	iepriekšminēto
afraid	baidās
afresh	no jauna
african	afrikānis
aft	aft
afterlife	pēclīgšanas
aftermath	sekas
afternoon	pēcpusdiena
aftershave	pēc skūšanās
aftertaste	pēcgarša
afterthought	pēkšņi domājams
aga	NO TRANSLATION
agape	Agape
agate	ahāts
age	vecums
aged	vecumā
agency	aģentūra
agenda	darba kārtībā
agent	aģents
agglomeration	aglomerācija
aggravate	saasināt
aggravated	pasliktinās
aggravates	pasliktina
aggravating	pastiprinošs
aggravation	pasliktināšanās
aggregate	kopsumma
aggregation	apkopošana
aggresive	NO TRANSLATION
aggression	agresija
aggressive	agresīvs
aggressively	agresīvi
aggressiveness	agresivitāte
aggressor	agresors
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	elastīgs
agility	veiklība
aging	novecošana
agitate	uzbudināt
agitated	satraukti
agitation	uzbudinājums
aglow	aglow
agnostic	agnostic
ago	pirms
agonizing	agonēšana
agony	agonija
agoraphobia	agorafobija
agree	piekrītu
agreeable	pieklājīgs
agreed	vienojās
agreeing	piekrītu
agreement	vienošanās
agressive	NO TRANSLATION
agricultural	lauksaimniecības
agriculture	lauksaimniecība
aground	laukos
agua	NO TRANSLATION
ahead	uz priekšu
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	atbalsts
aide	palīgs
aiding	Palīdzība
aids	AIDS
ail	ail
ailing	slikts cilvēks
ailment	slimība
aim	mērķis
aimless	bezmērķīgi
air	gaiss
airbag	gaisa spilvens
airborne	gaisā
aircraft	lidmašīna
aircraft carrier	gaisa kuģa pārvadātājs
airfield	lidlauks
airhead	airhead
airlift	airlift
airline	aviokompānija
airliner	lidmašīna
airlock	airlock
airman	airman
airplane	lidmašīna
airport	lidosta
airs	airs
airship	dirižablis
airspace	gaisa telpa
airspeed	gaisa ātrums
airstrip	lidlauka līnija
airtight	hermētisks
airway	elpceļi
aisle	eja
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	līdzīgs
alabaster	alabaster
alarm	trauksme
alarm clock	modinātājs
alarmed	satraukts
alarming	satraucošs
alas	diemžēl
alb	NO TRANSLATION
albatross	albatross
albino	albīns
album	albums
alchemy	alķīmija
alcohol	alkohols
alcoholic	alkoholiskais
alcoholism	alkoholisms
alcove	alcove
alderman	aldermans
ale	NO TRANSLATION
alert	brīdinājums
alertness	modrība
alerts	brīdinājumi
alfalfa	lucerna
algebra	algebra
algebraic	algebrisks
algorithm	algoritms
alias	alias
alibi	alibi
alien	ārzemnieks
alienate	atsavināt
alienated	atsavināts
alienation	atsvešināšanās
alight	gaisma
align	saskaņot
aligned	saskaņots
alignment	saskaņošana
alike	līdzīgi
alimentation	NO TRANSLATION
alimony	alimenti
aliquot	alikvota
alive	dzīvs
alkali	sārmu
alkaloids	alkaloīdi
allay	atslābināties
allegation	apgalvojums
allege	apgalvo
alleged	apgalvots
allegiance	uzticība
allegorical	allegorisks
allegory	alegorija
allegro	allegro
allergic	alerģija
allergy	alerģija
alleviate	atvieglot
alleviation	atvieglošana
alley	aleja
alleyway	alleyway
alliance	alianse
allied	sabiedrotais
alligator	aligators
allocate	piešķirt
allocation	piešķiršana
allot	piešķirt
allotment	piešķīrums
allow	atļaut
allowable	pieļaujams
allowance	pabalsts
allowed	atļauts
alloy	sakausējums
allsmiles	NO TRANSLATION
allure	Allure
alluring	pievilcīgs
allusion	alūzija
alluvial	aluviāls
ally	sabiedrotais
almanac	almanahs
almighty	Visvarenais
almond	mandeļu
aloft	augšā
aloha	aloha
alone	vienatnē
alongside	līdzās
aloof	apakšā
aloud	skaļi
alpha	alfa
alphabet	alfabēts
alphabetical	alfabētiskais
alpine	alpīns
alreadyyyyy	jau yyyy
altar	altāri
altar boy	altāra zēns
alter	mainīt
alteration	izmaiņas
altercation	pārlikšanās
altered	mainīts
alternate	aizstājējs
alternating	pārmaiņus
alternative	alternatīva
altimeter	altimetrs
altitude	augstums
alto	alto
altogether	kopā
aluminum	alumīnijs
alumnus	audzinātājs
alveolar	alveolārais
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	apvienošana
amaretto	amaretto
amass	uzkrāties
amateur	amatieris
amaze	pārsteigt
amazed	pārsteigts
amazedness	NO TRANSLATION
amazement	izbrīnu
amazing	pārsteidzošs
amazingly	pārsteidzoši
ambassador	vēstnieks
amber	dzintars
ambience	atmosfēra
ambient	ambient
ambiguity	neskaidrība
ambiguous	neskaidrs
ambit	sfēra
ambition	ambīcijas
ambitious	vērienīgs
ambivalent	divējāds
ambrosia	ambrozija
ambulance	ātrā palīdzība
ambush	noslēpums
ameliorate	labot
amen	amen
amenable	pieļaujams
amend	labot
amendment	grozījums
amends	groza
amenity	labierīcības
amethyst	ametists
amiable	draudzīgs
amicable	draudzīgs
amid	amid
amidst	amidst
amino	amino
ammo	munīcija
ammonia	amonjaks
ammonium	amonija
ammunition	munīcija
amnesia	amnēzija
amnesty	amnestija
amorous	cienīgs
amorphous	amorfs
amortization	amortizācija
amount	summa
amour	NO TRANSLATION
amp	pastiprinātājs
ampersand	ampersands
amphetamines	amfetamīni
amphibian	abinieku
amphibious	amfībiju
amphitheater	amfiteātris
ample	daudz
amplification	pastiprināšana
amplify	paplašināt
amplitude	amplitūda
amply	plaši
amputate	amputēt
amputation	amputācija
amuck	amuck
amulet	amulets
amuse	izklaidēt
amused	izklaidēja
amusement	izklaide
amusing	smieklīgi
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestēzija
anaesthetic	anestēzijas līdzeklis
anagram	anagrams
anal	anālais
analgesic	pretsāpju līdzeklis
analogous	analoģisks
analogue	analogs
analogy	analoģija
analysis	analīze
analyst	analītiķis
analytic	analītiskais
analytical	analītiskais
analyze	analizēt
analyzer	analizators
anaphylactic	anafilakse
anarchism	anarhisms
anarchist	anarhists
anarchy	anarhija
anastomosis	anastomāze
anathema	anathema
anatomic	anatomisks
anatomy	anatomija
ancestor	sencis
ancestral	priekštečs
ancestry	pirmdzimšana
anchor	enkurs
anchorage	stiprinājums
ancient	sena
ancillary	palīgierīce
androgen	androgēns
android	android
anecdote	anekdote
anemia	anēmija
anemic	anēmija
anemone	anemonis
anesthesia	anestēzija
anesthesiologist	anesteziologs
anesthetic	anestēzijas līdzeklis
aneurysm	aneirisms
anew	no jauna
angel	eņģelis
angelic	angelisks
anger	dusmas
angered	dusmīgs
angermanagement	NO TRANSLATION
angina	stenokardija
angiogram	angiogramma
angiography	angiogrāfija
angle	leņķis
angling	makšķerēšana
angora	angora
angriest	angriest
angry	dusmīgs
angrytweet	NO TRANSLATION
angst	aizskārums
anguish	mokas
anguished	satraukts
angular	leņķis
anhydrous	bezūdens
animal	dzīvnieks
animate	animēt
animated	animēts
animation	animācija
animosity	naidīgums
animus	animus
ankle	potītes
anklet	kājām
annals	gadalaiki
annex	pielikums
annexation	aneksija
annexe	NO TRANSLATION
annihilate	iznīcināt
annihilated	iznīcināts
annihilation	iznīcināšana
anniversary	gadadiena
annotate	anotēt
annotation	anotācija
announce	paziņot
announcement	paziņojums
announcer	diktors
annoy	uzbudini
annoyance	kairinājums
annoyed	kaitina
annoyin	NO TRANSLATION
annoying	kaitinošs
annoys	annoys
annual	ikgadējais
annuity	mūža rentes
annul	anulēt
annular	gredzens
annulment	anulēšana
annulus	izliekums
anointed	svaidīts
anointing	svaidīšana
anomalous	anomāls
anomaly	anomālija
anon	anon
anonymity	anonimitāte
anonymous	Anonīms
anorexic	anoreksija
answer	atbilde
answerable	atbildīgs
answering	atbilde
ant	ant
antagonism	antagonisms
antagonist	antagonists
antagonistic	antagonists
antagonize	antagonizēt
ante	NO TRANSLATION
antecedent	iepriekšējs
antelope	antilopes
antenna	antena
anterior	priekšējais
anthem	himna
anthill	purvs
anthology	antoloģija
anthrax	Sibīrijas mēris
anthropological	antropoloģisks
anthropologist	antropologs
anthropology	antropoloģija
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotikas
antichrist	antikrists
anticipate	paredzēt
anticipation	gaidīšana
anticipatory	gaidāms
antics	antics
antidote	antidots
antifungal	pretsēnīšu līdzekļi
antigravity	antigravitāte
antimony	antimons
antipathy	antipātija
antiquarian	antikvariāts
antiquated	novecojis
antique	antikvariāts
antiques	senlietas
antiquity	senatne
antiseptic	antiseptisks
antisocial	antisociāls
antithesis	antiteze
antithetical	antitētisks
antiviral	pretvīrusu līdzeklis
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	trauksme
anxietyattack	NO TRANSLATION
anxious	trauksme
anxiousness	trauksme
anytime	jebkurā laikā
aorta	aorta
aortic	aortas
apace	apace
apache	apache
apartment	dzīvoklis
apartments	dzīvokļi
apathetic	apātija
apathy	apātija
ape	ape
aperture	diafragmas atvērums
apex	virsotne
aphid	ahid
aphrodisiac	afrodiziaks
apiece	gabals
aplomb	Aplomb
apocalypse	apokalipse
apocalyptic	apokaliptiskais
apologetic	apoloģģisks
apologist	apoloģists
apologize	atvainojieties
apology	atvainošanās
apostasy	apostāze
apostate	apostate
apostle	apustulis
apostolic	apustuliskais
apostrophe	apostrofs
apothecary	aptiekārs
appalled	apbēdināts
appalling	briesmīgs
apparatus	aparāts
apparel	apģērbs
apparent	acīmredzams
apparently	acīmredzot
apparition	parādīšanās
appeal	pārsūdzēt
appear	parādās
appearance	izskats
appease	nomierināt
appellant	prasītājs
append	pievienot
appendage	piedēklis
appendectomy	apendektomija
appendicitis	apendicīts
appendix	pielikums
appetite	apetīte
appetizer	ēstgribu
appetizing	apetīti
applaud	aplaudēt
applause	aplausi
apple	ābols
apple juice	ābolu sula
applejack	applejack
applesauce	ābolu kombinezons
appliance	ierīce
appliances	ierīces
applicability	piemērojamība
applicable	piemērojams
applicant	pieteikuma iesniedzējs
application	pieteikums
apply	piemērot
appoint	iecelt
appointment	iecelšana amatā
appointments	tikšanās
apportion	sadalīšana
apportionment	sadalīšana
appraisal	novērtējums
appraise	novērtē
appreciable	ievērojams
appreciate	novērtējiet
appreciated	novērtēts
appreciates	novērtē
appreciation	atzinību
appreciative	pateicīgs
apprehend	aizturēt
apprehension	aizturēšana
apprehensive	apbēdināms
apprentice	māceklis
apprenticeship	māceklība
approach	pieeja
approaching	tuvojas
approbate	NO TRANSLATION
approbation	aprobācija
appropriate	piemērots
appropriation	apropriācija
approval	apstiprinājums
approve	apstiprināt
approved	apstiprināts
approvement	apstiprināšana
approving	apstiprinot
approximate	aptuvens
approximately	apmēram
approximating	aproksimēšana
approximation	tuvināšana
appurtenances	piedzīvojumi
apricot	aprikozes
apron	priekšauts
apt	apt
aptitude	spēja
aqua	ūdens
aquamarine	akvamarīns
aquarium	akvārijs
aquatic	ūdens
aqueduct	akvedukts
aqueous	ūdens
arable	aramzeme
arbiter	tiesnesis
arbitrary	patvaļīgs
arbitrate	šķīrējtiesa
arbitration	šķīrējtiesa
arbitrator	šķīrējtiesnesis
arbor	lapene
arc	loka
arcade	pasāža
arcane	arcane
arch	arka
archaeological	arheoloģisks
archaeologist	arheologs
archaeology	arheoloģija
archaic	arhaisks
archangel	archangels
archbishop	arhibīskaps
archdiocese	arhibīskapija
archduke	ezergokss
arched	izliekts
archer	Archer
archery	loka šaušana
archetype	arhetips
archipelago	arhipelāgs
architect	arhitekts
architectural	arhitektūras
architecture	arhitektūra
archive	arhīvs
arctic	arktika
ardent	dedzīgs
ardor	dusmas
arduous	grūts
area	platība
arena	arēna
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	apgalvo
argument	arguments
argumentation	argumentācija
argumentative	argumentējams
arguments	argumenti
arid	sausa
arise	rodas
aristocracy	aristokrātija
aristocrat	aristokrāts
aristocratic	aristokrātisks
arithmetic	aritmētika
ark	ark
arm	roku
armada	Armada
armament	bruņojums
armaments	bruņojums
armature	armatūra
armchair	krēsls
armed	bruņota
armor	bruņas
armored	bruņota
armory	armatūra
armpit	paduses
arms	ieročus
army	armija
aroma	aromāts
aromatherapy	aromaterapija
arousal	uzbudinājums
arouse	izraisa
aroused	izraisījis
arraignment	apsūdzība
arrange	sakārtot
arranged	sakārtots
arrangement	vienošanās
array	masīvs
arrears	parādi
arrest	arests
arrhythmia	aritmija
arrival	ierašanās
arrive	ierasties
arrogance	augstprātība
arrogant	augstprātīgs
arrow	bultiņa
arsehole	arsehole
arseholes	arseholes
arsenal	arsenāls
arsenic	arsēns
arson	dedzināšana
arsonist	dedzinātājs
art	art
arterial	artērija
artery	artērija
artful	viltīgs
arthritis	artrīts
arthropod	posmkāju
artichoke	artišoks
article	raksts
articles	raksti
articulate	artikulēt
articulation	artikulācija
artifact	artefakts
artifice	artifice
artificial	mākslīgs
artillery	artilērija
artisan	amatnieks
artist	mākslinieks
artiste	NO TRANSLATION
artistic	mākslinieciska
artistry	mākslinieciskums
artists	mākslinieki
artwork	mākslas darbs
arty	arty
asap	asap
asbestos	azbests
ascend	pacelties
ascendancy	augšupeja
ascendant	augšupejošs
ascending	uz augšu
ascension	ascension
ascent	pacelšanās
ascertain	noskaidrot
ascertained	noskaidrots
ascetic	askētisks
ash	pelni
ashamed	kauns
ashes	pelni
ashtray	pelnu trauks
asinine	asinine
ask	jautājiet
asleeep	NO TRANSLATION
asleep	miegs
asp	asp
asparagus	sparģeļi
aspartame	aspartāms
aspect	aspekts
aspects	aspektiem
aspen	aspen
asphalt	asfalts
asphyxia	asfiksija
asphyxiation	asfiksija
aspiration	aspirācija
aspire	aspire
aspirin	aspirīns
aspiring	centieni
ass	ass
assail	uzbāzties
assailant	uzbrucējs
assassin	slepkavas
assassinate	nogalināt
assassination	slepkavība
assault	uzbrukums
assay	testu
assemblage	montāža
assemble	samontēt
assembled	samontēts
assembly	montāža
assemblyman	montāžas vadītājs
assent	piekrišana
assert	aizstāvēt
asserting	apgalvojot
assertion	apgalvojums
assertive	pārliecinošs
assess	novērtēt
assessment	novērtējums
assessor	vērtētājs
asset	aktīvu
assets	aktīvi
asshole	asins
assign	piešķirt
assignee	pārņēmējs
assignment	uzdevums
assimilate	asimilēt
assimilation	asimilācija
assist	palīdzēt
assistance	palīdzība
assistant	asistents
associate	asociētais uzņēmums
association	asociācija
assorted	asorti
assortment	sortiments
assuage	assuage
assume	uzņemties
assumed	pieņemts
assuming	pieņemot
assumption	pieņēmums
assurance	garantija
assure	apgalvot
assured	drošs
assuredly	protams
asterisk	zvaigznīte
asteroid	asteroīds
asteroids	asteroīdi
asthma	astma
asthmatic	astmatiskais
astigmatism	astigmatisms
astonish	pārsteigt
astonished	pārsteigts
astonishing	pārsteidzošs
astonishingly	NO TRANSLATION
astonishment	pārsteigums
astound	pārsteigums
astral	astrāls
astray	kļūdīties
astringent	savelkošs
astrologer	astrologs
astrology	astroloģija
astronaut	astronauts
astronomer	astronoms
astronomical	astronomijas
astronomy	astronomija
astute	cītīgs
asunder	pa kreisi
asylum	patvērums
asymmetric	asimetriska
asymmetry	asimetrija
asymptotic	asimptotiska
atelier	ateljē
atheism	ateisms
atheist	ateists
atheistic	ateists
atherosclerosis	aterosklerozi
athlete	sportists
athletic	atlētisks
athleticism	atlētisms
athletics	vieglatlētika
atlas	atlants
atmosphere	atmosfēra
atmospheric	atmosfēras
atoll	atols
atom	atoms
atomic	atomu
atone	atone
atonement	izpirkšana
atpeace	atpeace
atrium	atrium
atrocious	žēlsirdīgs
atrocity	zvērība
atrophy	atrofija
attach	pievienot
attached	pievienots
attachment	pielikums
attack	uzbrukums
attacker	uzbrucējs
attacking	uzbrukt
attain	sasniegt
attainable	sasniedzams
attainment	sasniegumi
attempt	mēģinājums
attempted	mēģināja
attend	apmeklēt
attendance	apmeklēšana
attendant	pavadonis
attention	uzmanība
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	uzmanīgs
attenuate	samaziniet
attenuated	atvieglots
attenuation	vājināšanās
attest	apliecināt
attestation	apliecinājums
attic	Bēniņi
attire	attire
attitude	attieksme
attorney	advokāts
attract	piesaistīt
attraction	piesaiste
attractive	pievilcīgs
attractiveness	pievilcība
attributable	attiecināms
attribute	atribūts
attribution	piešķiršana
attrition	iztvaikošana
auburn	auburn
auction	izsolē
auctioneer	izsolītājs
audacious	drosmīgs
audacity	drosme
audible	dzirdams
audience	auditorija
audio	audio
audit	audits
audition	klausīšanās
auditions	auditions
auditor	revidents
auditorium	auditorija
auditory	klausīšanās
aught	pa labi
augment	palielināt
augmentation	palielināšana
august	augusts
aunt	tante
auntie	tēte
aura	aura
aurora	aurora
auspices	epidēmijas
auspicious	labvēlīgs
austere	austere
austerity	taupība
authentic	autentisks
authenticate	autentificēt
authentication	autentifikācija
authenticity	autentiskums
author	autors
authoritative	autoritatīvs
authority	iestāde
authorization	atļauja
authorize	pilnvarot
authorized	autorizēts
authorship	autors
autism	autisms
autistic	autisms
auto	auto
autobiographical	autobiogrāfisks
autobiography	autobiogrāfija
autocorrect	automātiski labot
autocratic	autokrātiskais
autograph	autogrāfs
autographed	autografēts
automated	automatizēta
automatic	automātiska
automobile	automašīna
automotive	automobiļu rūpniecība
autonomy	autonomija
autopilot	autopilots
autopsy	autopsija
autumn	rudens
auxiliary	palīgdarbinieki
avail	izmantot
availability	pieejamība
available	pieejams
avalanche	lavīnu
avarice	avarice
avatar	iemiesojums
avenge	atriebties
avenger	atriebējs
avenging	atriebība
avenue	avenue
aver	NO TRANSLATION
average	vidējais
aversation	NO TRANSLATION
averse	neveikli
averseness	priekšredzība
aversion	nepatika
avert	novērst
aviary	aviary
aviation	aviācija
aviator	aviators
avid	avid
avocado	avokado
avoid	izvairīties
avoidance	izvairīšanās
avoiding	izvairoties
await	gaida
awake	nomodā
awaken	nomodā
awakening	pamošanās
award	balvu
awards	balvas
aware	apzinās
awareness	izpratne
awe	NO TRANSLATION
awed	awed
awesome	satriecošs
awesomeness	prieks
awestruck	awestruck
awful	šausmīgi
awkward	neērts
awkwardness	neveikla
awning	tentu
awry	vilciens
axe	cirvi
axial	aksiālais
axiom	aksioma
axiomatic	aksiomatiska
axis	ass
axle	ass
ay	ay
aye	aye
azimuth	azimuts
azure	debeszils
babble	lāpīt
babbling	burbling
babe	babe
baboon	paviāns
baby	mazulis
babysit	bērnu pieskatīšana
babysitter	aukle
baccalaureate	bakalaura grāds
baccarat	baccarat
bachelor	bakalaura grāds
bachelorette	bachelorette
back	atpakaļ
backboard	aizmugure
backbone	mugurkauls
backdoor	sētas durvis
backdrop	fons
backer	atbalstītājs
backfire	aizkavēšanās
backgammon	bekgemons
background	fons
backhand	backhand
backhoe	ekskavators
backoff	atkāpies
backpack	mugursoma
backpacker	mugursoma
backroom	backroom
backseat	backseat
backside	aizmugurē
backtrack	backtrack
backup	rezerves kopija
backward	atpakaļ
backwardness	atpalicība
backwards	atpakaļ
backwater	aizmugure
backwoods	ielejas
backyard	piemājas dārzā
bacon	bekons
bacteria	baktērijas
bacterial	baktērijas
bacterium	baktērija
bad	slikti
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	žetons
badger	lielberlis
badhabit	NO TRANSLATION
badly	slikti
badness	sliktība
baffle	pārslēdzējs
baffled	satraukums
bag	soma
bagel	bagel
baggage	bagāža
baggie	baggie
baggy	bagijs
bagman	bagman
bagpipes	dumbras
bail	bail
bailiff	tiesu izpildītājs
bait	ēsma
bake	cep
bakery	maiznīca
baking	cepšana
bal	NO TRANSLATION
balance	līdzsvars
balanced	līdzsvarots
balcony	balkons
bald	kails
balding	balding
baldy	Baldijs
bale	ķīpu
balk	balks
ball	bumba
ballad	balāde
ballast	balasts
ballerina	balerīna
ballet	balets
ballgame	bumbas spēle
ballistic	ballistiskais
ballistics	ballistika
balloon	balons
ballot	balsošana
ballpark	ballpark
ballplayer	bumba spēlētājs
ballpoint	lodīte
ballroom	balles zāle
ballsy	bumbiņas
balm	balzams
balmy	balinošs
balsam	balzams
balsamic	balzamika
bam	bam
bamboo	bambusa
ban	NO TRANSLATION
banana	banāns
band	josla
bandage	apsējs
bandanna	NO TRANSLATION
bandit	bandīts
bandstand	bandstand
bandwagon	bandwagon
bandwidth	joslas platums
bane	bane
bang	sprādziens
banger	bangers
banish	izraidīt
banished	izraidīts
banishment	izraidīšana
banister	margas
banjo	banjo
bank	banka
banker	baņķieris
banking	banku darbība
bankroll	bankrota
bankrupt	bankrotējis
bankruptcy	bankrots
