Word	cy
admiration	edmygedd
admire	edmygu
admired	yn edmygu
admirer	edmygydd
admiring	edmygu
admissibility	derbynioldeb
admissible	yn dderbyniol
admission	mynediad
admit	cyfaddef
admittance	cyfaddefiad
admitted	cyfaddefwyd
admitting	yn derbyn
admixture	cymysgedd
admonition	admonition
ado	ad
adobe	adobe
adolescence	glasoed
adolescent	glasoed
adopt	mabwysiadu
adoption	mabwysiadu
adoptive	mabwysiadol
adorable	adorable
adoration	addoli
adore	adore
adoring	adoring
adorn	addurno
adornment	addurniad
adrenalin	adrenalin
adrenaline	adrenalin
adrift	adrift
adult	oedolyn
adulterated	yn anghyfreithlon
adulterer	adulterer
adultery	godineb
adulthood	oedolyn
advance	ymlaen llaw
advanced	uwch
advancement	hyrwyddo
advancing	symud ymlaen
advantage	Mantais
advantageous	yn fanteisiol
advent	dyfodiad
adventure	antur
adventurer	anturiaethwr
adventures	anturiaethau
adventurous	anturus
adversary	gwrthwynebydd
adverse	anffafriol
adversity	gwrthdaro
advertise	hysbysebu
advertisement	hysbyseb
advertising	hysbysebu
adverts	hysbysebion
advice	cyngor
advisable	yn ddoeth
advise	cynghori
advised	cynghorir
advisement	cynghori
adviser	cynghorydd
advisor	ymgynghorydd
advisory	cynghori
advocacy	eiriolaeth
advocate	eiriolwr
aegis	aegis
aeration	awyru
aerial	aerial
aerobics	aerobeg
aerodrome	aerodrom
aerodynamic	aerodynamig
aerodynamics	aerodynameg
aeronautics	awyrennau
aeroplane	awyren
aerospace	awyrofod
aesthetic	esthetig
aesthetics	estheteg
aetiology	awdioleg
afar	afar
affable	affable
affair	perthynas
affect	effeithio
affecting	yn effeithio ar
affection	hoffter
affectionate	cariadus
affections	affections
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	cysylltiedig
affiliation	cysylltiad
affinity	perthnasedd
affirm	cadarnhau
affirmation	cadarnhad
affirmative	cadarnhaol
affirmatively	yn gadarnhaol
affix	ymuno
afflict	aflonyddwch
afflicted	cythryblus
affliction	aflonyddwch
affluence	gefnogaeth
affluent	yn gyfoethog
afford	fforddio
affordable	fforddiadwy
affront	afront
affronted	afronted
afield	i ffwrdd
afire	bwrw ymlaen
afloat	afloat
afore	ymlaen
aforementioned	uchod
aforesaid	a nodwyd
afraid	ofn
afresh	newydd
african	african
aft	aft
afterlife	ôl-oes
aftermath	dilynol
afternoon	prynhawn
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agape
agate	agate
age	oedran
aged	oed
agency	asiantaeth
agenda	agenda
agent	asiant
agglomeration	crynhoad
aggravate	gwaethygu
aggravated	gwaethygu
aggravates	yn gwaethygu
aggravating	gwaethygu
aggravation	gwaethygu
aggregate	agregau
aggregation	cydgrynhoi
aggresive	NO TRANSLATION
aggression	ymosodol
aggressive	yn ymosodol
aggressively	yn ymosodol
aggressiveness	ymosodol
aggressor	ymosodwr
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	hyfryd
agility	ystwythder
aging	yn heneiddio
agitate	agitate
agitated	ysgogol
agitation	aflonyddwch
aglow	aglow
agnostic	agnostig
ago	yn ôl
agonizing	agonizing
agony	agony
agoraphobia	agoraffobia
agree	cytuno
agreeable	yn fodlon
agreed	cytunwyd
agreeing	cytuno
agreement	cytundeb
agressive	NO TRANSLATION
agricultural	amaethyddol
agriculture	amaethyddiaeth
aground	ar droed
agua	NO TRANSLATION
ahead	ymlaen
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	cymorth
aide	aide
aiding	helpu
aids	cymhorthion
ail	ail
ailing	ailing
ailment	anhwylder
aim	nod
aimless	anhygoel
air	aer
airbag	bag awyr
airborne	awyr
aircraft	awyrennau
aircraft carrier	cludwr awyrennau
airfield	maes awyr
airhead	airhead
airlift	hedfan
airline	cwmni hedfan
airliner	awyrennau
airlock	airlock
airman	aerwr
airplane	awyren
airport	maes Awyr
airs	awyroedd
airship	awyrennau
airspace	gofod awyr
airspeed	gwydr aer
airstrip	stêm awyr
airtight	arthight
airway	llwybr anadlu
aisle	eiliad
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	yn debyg
alabaster	alabastwr
alarm	larwm
alarm clock	cloc larwm
alarmed	yn poeni
alarming	yn frawychus
alas	alas
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	albwm
alchemy	alchemi
alcohol	alcohol
alcoholic	alcoholig
alcoholism	alcoholiaeth
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	rhybuddio
alertness	rhybudd
alerts	rhybuddion
alfalfa	alfalfa
algebra	algebra
algebraic	algebraidd
algorithm	algorithm
alias	alias
alibi	alibi
alien	estron
alienate	yn estron
alienated	estronedig
alienation	dieithrio
alight	yn ôl
align	alinio
aligned	wedi'i alinio
alignment	alinio
alike	fel ei gilydd
alimentation	NO TRANSLATION
alimony	alimony
aliquot	rhywfaint
alive	yn fyw
alkali	alcalïaidd
alkaloids	alcaloidau
allay	allay
allegation	honiad
allege	yn honni
alleged	honnir
allegiance	ffyddlondeb
allegorical	arograffaidd
allegory	alegoriaeth
allegro	allegro
allergic	alergedd
allergy	alergedd
alleviate	lleddfu
alleviation	lliniaru
alley	traeth
alleyway	cerdded
alliance	cynghrair
allied	perthynol
alligator	ailigydd
allocate	dyrannu
allocation	dyraniad
allot	rhychwant
allotment	rhandiroedd
allow	caniatáu
allowable	yn ganiataol
allowance	lwfans
allowed	caniateir
alloy	aloi
allsmiles	NO TRANSLATION
allure	allure
alluring	hyfryd
allusion	allusion
alluvial	llifwadiad
ally	ally
almanac	almanac
almighty	hollalluog
almond	almon
aloft	yn uchel
aloha	aloha
alone	yn unig
alongside	ochr yn ochr â hi
aloof	aloof
aloud	yn uchel
alpha	alffa
alphabet	yr wyddor
alphabetical	yn nhrefn yr wyddor
alpine	alpaidd
alreadyyyyy	yn barod
altar	allor
altar boy	bachgen allor
alter	newid
alteration	newid
altercation	newidiad
altered	wedi'i newid
alternate	yn ail
alternating	yn ail
alternative	amgen
altimeter	altimedr
altitude	uchder
alto	alto
altogether	yn gyfan gwbl
aluminum	alwminiwm
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	uno
amaretto	amaretto
amass	amass
amateur	amatur
amaze	rhyfeddu
amazed	syfrdanol
amazedness	NO TRANSLATION
amazement	syfrdan
amazing	anhygoel
amazingly	yn rhyfeddol
ambassador	llysgennad
amber	amber
ambience	awyrgylch
ambient	amgylchynol
ambiguity	amwysedd
ambiguous	amwys
ambit	ambit
ambition	uchelgais
ambitious	uchelgeisiol
ambivalent	yn uchelgeisiol
ambrosia	ambrosia
ambulance	ambiwlans
ambush	ysglyfaethus
ameliorate	gwella
amen	amwynder
amenable	yn amwynder
amend	diwygio
amendment	gwelliant
amends	yn diwygio
amenity	amwynder
amethyst	amethyst
amiable	dibynadwy
amicable	yn gyfeillgar
amid	yn y canol
amidst	yn y canol
amino	amino
ammo	ammo
ammonia	amonia
ammonium	amoniwm
ammunition	bwledyn
amnesia	amnesia
amnesty	amnest
amorous	cariadus
amorphous	amorffaidd
amortization	amorteiddio
amount	swm
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amffetaminau
amphibian	amffibiaid
amphibious	anffibriol
amphitheater	amffitheatr
ample	digon
amplification	ehangu
amplify	ehangu
amplitude	ehangder
amply	yn rhy fawr
amputate	amputate
amputation	amputation
amuck	byth
amulet	amulet
amuse	difyr
amused	yn ddifyr
amusement	difyr
amusing	yn ddrwg
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetig
anagram	anagram
anal	anal
analgesic	analgesig
analogous	cyfatebol
analogue	analog
analogy	cyfatebiaeth
analysis	dadansoddiad
analyst	dadansoddwr
analytic	dadansoddol
analytical	dadansoddol
analyze	dadansoddi
analyzer	dadansoddwr
anaphylactic	anaffylactig
anarchism	anarchiaeth
anarchist	anarchydd
anarchy	anarchiaeth
anastomosis	anastomosis
anathema	anathema
anatomic	anatomeg
anatomy	anatomeg
ancestor	hynafwr
ancestral	hynafol
ancestry	hynafiaeth
anchor	angor
anchorage	angorfa
ancient	hynafol
ancillary	ategol
androgen	androgen
android	android
anecdote	anecdote
anemia	anemia
anemic	anemig
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetig
aneurysm	aneurysm
anew	eto
angel	angel
angelic	angelig
anger	dicter
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiograffeg
angle	ongl
angling	pysgota
angora	angora
angriest	angriest
angry	yn ddig
angrytweet	NO TRANSLATION
angst	angst
anguish	anguis
anguished	yn dychrynllyd
angular	onglog
anhydrous	anhydrus
animal	anifail
animate	animeiddio
animated	animeiddiedig
animation	animeiddiad
animosity	animeiddrwydd
animus	animus
ankle	ffêr
anklet	anklet
annals	annals
annex	annex
annexation	annecsiad
annexe	NO TRANSLATION
annihilate	dileu
annihilated	wedi'i ddileu
annihilation	dileu
anniversary	pen-blwydd
annotate	anodi
annotation	anodi
announce	cyhoeddi
announcement	cyhoeddiad
announcer	cyhoeddwr
annoy	annoy
annoyance	aflonyddwch
annoyed	yn annifyr
annoyin	NO TRANSLATION
annoying	yn blino
annoys	yn blino
annual	blynyddol
annuity	blwydd-dal
annul	annwyl
annular	ffugio
annulment	ddirymiad
annulus	annulus
anointed	anointed
anointing	uninio
anomalous	anghyffredin
anomaly	anghysondeb
anon	anon
anonymity	ddienw
anonymous	anhysbys
anorexic	anorecsig
answer	ateb
answerable	yn atebol
answering	ateb
ant	ant
antagonism	gwrthdaro
antagonist	antagonist
antagonistic	antagonist
antagonize	antagonize
ante	NO TRANSLATION
antecedent	flaenorol
antelope	antelop
antenna	antena
anterior	blaen
anthem	anthem
anthill	anthill
anthology	antholeg
anthrax	anthrax
anthropological	anthropolegol
anthropologist	anthropolegydd
anthropology	anthropoleg
anti	gwrth
antiaircraft	gwrth-grefft
antibiotic	gwrthfiotig
antibiotics	gwrthfiotigau
antichrist	anticrist
anticipate	rhagweld
anticipation	rhagweld
anticipatory	rhagweld
antics	NO TRANSLATION
antidote	antidoteg
antifungal	antifungal
antigravity	gwrthdrawdledd
antimony	antimoni
antipathy	antipathi
antiquarian	hynafiaethwr
antiquated	hynafol
antique	hen bethau
antiques	hen bethau
antiquity	hynafiaeth
antiseptic	antiseptig
antisocial	gwrthgymdeithasol
antithesis	antithesis
antithetical	antithetical
antiviral	gwrthfeirysol
antler	antler
antsy	antsy
anus	anws
anvil	anvil
anxiety	pryder
anxietyattack	NO TRANSLATION
anxious	yn bryderus
anxiousness	pryder
anytime	unrhyw bryd
aorta	aorta
aortic	aortig
apace	apace
apache	apache
apartment	fflat
apartments	fflatiau
apathetic	cymhleth
apathy	cymhlethdod
ape	ape
aperture	agorfa
apex	apex
aphid	afid
aphrodisiac	afrodisiag
apiece	darn
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptig
apologetic	ymddiheuro
apologist	ymddiheurydd
apologize	ymddiheuro
apology	ymddiheuriad
apostasy	apostasy
apostate	apostate
apostle	apostol
apostolic	apostolig
apostrophe	apostrophe
apothecary	apothecary
appalled	yn ofnadwy
appalling	yn ofnadwy
apparatus	cyfarpar
apparel	dillad
apparent	yn amlwg
apparently	mae'n debyg
apparition	aparition
appeal	apêl
appear	ymddangos
appearance	ymddangosiad
appease	apêl
appellant	apelydd
append	atodi
appendage	atodiad
appendectomy	appendectomi
appendicitis	atchwanegiad
appendix	atodiad
appetite	archwaeth
appetizer	blasus
appetizing	blasus
applaud	cymeradwyaeth
applause	cymeradwyaeth
apple	afal
apple juice	sudd afal
applejack	applejack
applesauce	afalau
appliance	peiriant
appliances	cyfarpar
applicability	cymhwysedd
applicable	yn berthnasol
applicant	ymgeisydd
application	cais
apply	cymhwyso
appoint	penodi
appointment	penodiad
appointments	penodiadau
apportion	dosbarthiad
apportionment	dosraniad
appraisal	gwerthusiad
appraise	gwerthuso
appreciable	yn werthfawrogi
appreciate	gwerthfawrogi
appreciated	gwerthfawrogi
appreciates	yn gwerthfawrogi
appreciation	gwerthfawrogiad
appreciative	gwerthfawrogi
apprehend	yn dal
apprehension	gwrandawiad
apprehensive	yn bryderus
apprentice	prentis
apprenticeship	prentisiaeth
approach	ymagwedd
approaching	yn agosáu
approbate	NO TRANSLATION
approbation	cymeradwyaeth
appropriate	yn briodol
appropriation	neilltuo
approval	cymeradwyaeth
approve	cymeradwyo
approved	wedi'i gymeradwyo
approvement	cymeradwyaeth
approving	cymeradwyo
approximate	brasamcan
approximately	oddeutu
approximating	brasamcanu
approximation	brasamcaniaeth
appurtenances	cyfranddaliadau
apricot	bricyll
apron	ffedog
apt	apt
aptitude	dawn
aqua	dŵr
aquamarine	aquamarine
aquarium	acwariwm
aquatic	dyfrol
aqueduct	draphont ddŵr
aqueous	dyfrllyd
arable	âr
arbiter	arbiter
arbitrary	mympwyol
arbitrate	cymrodeddu
arbitration	cyflafareddu
arbitrator	cymrodeddwr
arbor	arbor
arc	arc
arcade	arcêd
arcane	arcane
arch	arch
archaeological	archeolegol
archaeologist	archeolegydd
archaeology	archeoleg
archaic	archaic
archangel	archangel
archbishop	Archesgob
archdiocese	archddinasiaeth
archduke	pen-blwydd
arched	archog
archer	saethwr
archery	saethyddiaeth
archetype	archetype
archipelago	archipelago
architect	pensaer
architectural	pensaernïol
architecture	pensaernïaeth
archive	archif
arctic	arctig
ardent	ardderchog
ardor	ardor
arduous	arduous
area	ardal
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	dadlau
argument	dadl
argumentation	dadliad
argumentative	dadleuol
arguments	dadleuon
arid	arid
arise	codi
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocrataidd
arithmetic	rhifyddeg
ark	arch
arm	braich
armada	armada
armament	arfau
armaments	arfau
armature	armature
armchair	cadeiriau
armed	arfog
armor	arfau
armored	arfog
armory	Arddangosfa
armpit	armpit
arms	breichiau
army	y fyddin
aroma	aroma
aromatherapy	aromatherapi
arousal	arousal
arouse	codi
aroused	aroused
arraignment	arreiniad
arrange	trefnu
arranged	drefnwyd
arrangement	trefniant
array	amrywiaeth
arrears	ôl-ddyledion
arrest	arestio
arrhythmia	arrhythmia
arrival	cyrraedd
arrive	cyrraedd
arrogance	arogl
arrogant	arrogant
arrow	saeth
arsehole	gludo
arseholes	tyllau llysiau
arsenal	arsenal
arsenic	arsenig
arson	llosgi bwriadol
arsonist	llosgi bwriadol
art	celf
arterial	arterial
artery	rhydweli
artful	celfyddydol
arthritis	arthritis
arthropod	arthropod
artichoke	artisiog
article	erthygl
articles	erthyglau
articulate	mynegi
articulation	mynegiant
artifact	artiffisial
artifice	celf
artificial	artiffisial
artillery	artilleri
artisan	celfyddydol
artist	artist
artiste	NO TRANSLATION
artistic	artistig
artistry	celf
artists	artistiaid
artwork	gwaith celf
arty	arty
asap	asap
asbestos	asbestos
ascend	i fyny
ascendancy	ascendant
ascendant	ascendant
ascending	esgyn
ascension	esgyniad
ascent	cwympo
ascertain	canfod
ascertained	canfod
ascetic	ascetig
ash	lludw
ashamed	cywilydd
ashes	lludw
ashtray	llwch llwch
asinine	asinine
ask	gofynnwch
asleeep	NO TRANSLATION
asleep	yn cysgu
asp	asp
asparagus	asbaragws
aspartame	aspartame
aspect	agwedd
aspects	agweddau
aspen	aspen
asphalt	asffalt
asphyxia	asffsia
asphyxiation	asphyxiation
aspiration	dyhead
aspire	aspire
aspirin	aspirin
aspiring	dymunol
ass	ass
assail	assail
assailant	ymosodwr
assassin	llofruddiaeth
assassinate	llofruddio
assassination	llofruddiaeth
assault	ymosodiad
assay	assay
assemblage	casgliad
assemble	ymgynnull
assembled	ymgynnull
assembly	cynulliad
assemblyman	cynulliad
assent	cydsynio
assert	yn honni
asserting	yn honni
assertion	honiad
assertive	pendant
assess	asesu
assessment	asesiad
assessor	asesydd
asset	ased
assets	asedau
asshole	asshole
assign	neilltuo
assignee	enwebai
assignment	aseiniad
assimilate	cymathu
assimilation	cymathu
assist	cynorthwyo
assistance	cymorth
assistant	cynorthwyydd
associate	cysylltiol
association	cymdeithas
assorted	amrywiol
assortment	amrywiaeth
assuage	assuage
assume	tybio
assumed	tybiedig
assuming	gan dybio
assumption	rhagdybiaeth
assurance	sicrwydd
assure	sicrhau
assured	sicrwydd
assuredly	yn sicr
asterisk	seren
asteroid	asteroid
asteroids	asteroidau
asthma	asthma
asthmatic	asthmaidd
astigmatism	astigmatiaeth
astonish	syfrdanol
astonished	syfrdanol
astonishing	syfrdanol
astonishingly	NO TRANSLATION
astonishment	syfrdanol
astound	yn rhyfeddol
astral	astral
astray	anghofio
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	astronau
astronomer	seryddwr
astronomical	seryddol
astronomy	seryddiaeth
astute	chwilfrydig
asunder	yn ôl
asylum	lloches
asymmetric	anghymesur
asymmetry	anghymesur
asymptotic	asymptotig
atelier	atelier
atheism	atheism
atheist	anffyddiwr
atheistic	anffyddig
atherosclerosis	atherosglerosis
athlete	athletwr
athletic	athletau
athleticism	athletau
athletics	athletau
atlas	atlas
atmosphere	awyrgylch
atmospheric	atmosfferig
atoll	atoll
atom	atom
atomic	atomig
atone	atone
atonement	atonement
atpeace	atpeace
atrium	atriwm
atrocious	yn rhyfeddol
atrocity	rhyfedd
atrophy	atrofi
attach	atodi
attached	ynghlwm
attachment	atodiad
attack	ymosodiad
attacker	ymosodwr
attacking	ymosod
attain	cyrraedd
attainable	yn hygyrch
attainment	cyrhaeddiad
attempt	ymgais
attempted	ceisio
attend	mynychu
attendance	presenoldeb
attendant	cynorthwyydd
attention	sylw
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	yn ofalus
attenuate	gwaethygu
attenuated	gwaethygu
attenuation	gwaethygu
attest	dyst
attestation	ardystiad
attic	atig
attire	attire
attitude	agwedd
attorney	atwrnai
attract	denu
attraction	atyniad
attractive	yn ddeniadol
attractiveness	atyniad
attributable	priodoli
attribute	priodoldeb
attribution	priodoli
attrition	diddymu
auburn	awdurn
auction	arwerthiant
auctioneer	arwerthwr
audacious	yn anhygoel
audacity	clyw
audible	yn agored
audience	cynulleidfa
audio	sain
audit	archwiliad
audition	clyweliad
auditions	clyweliadau
auditor	archwilydd
auditorium	awditoriwm
auditory	clywedol
aught	am ddim
augment	ychwanegu
augmentation	cynyddu
august	Awst
aunt	modryb
auntie	modryb
aura	aura
aurora	aurora
auspices	nawdd
auspicious	yn addawol
austere	austere
austerity	gwydnwch
authentic	dilys
authenticate	dilysu
authentication	dilysu
authenticity	dilysrwydd
author	awdur
authoritative	awdurdodol
authority	awdurdod
authorization	awdurdodiad
authorize	awdurdodi
authorized	awdurdodedig
authorship	awduriaeth
autism	awtistiaeth
autistic	awtistig
auto	auto
autobiographical	hunangofiantol
autobiography	hunangofiant
autocorrect	awtorwedd
autocratic	awtocrataidd
autograph	llofnod
autographed	awtograffu
automated	awtomataidd
automatic	awtomatig
automobile	Automobile
automotive	modurol
autonomy	annibyniaeth
autopilot	awtomataidd
autopsy	awtopsi
autumn	hydref
auxiliary	ategol
avail	manteisio arno
availability	argaeledd
available	ar gael
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	deyrnged
avenger	avenger
avenging	yn dyfalu
avenue	rhodfa
aver	NO TRANSLATION
average	cyfartaledd
aversation	NO TRANSLATION
averse	gwrthdro
averseness	NO TRANSLATION
aversion	aversion
avert	osgoi
aviary	aviary
aviation	hedfan
aviator	aviator
avid	yn awyddus
avocado	afocado
avoid	osgoi
avoidance	osgoi
avoiding	gan osgoi
await	aros
awake	ddeffro
awaken	deffro
awakening	deffro
award	gwobr
awards	gwobrau
aware	yn ymwybodol
awareness	ymwybyddiaeth
awe	NO TRANSLATION
awed	yn weddill
awesome	anhygoel
awesomeness	anhwylderau
awestruck	awestruck
awful	ofnadwy
awkward	lletchwith
awkwardness	lletchwith
awning	awning
awry	yn ofnadwy
axe	bwyell
axial	echelin
axiom	axiom
axiomatic	axiomatig
axis	echel
axle	echel
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	babŵn
baby	babi
babysit	babysit
babysitter	babysitter
baccalaureate	bagloriaeth
baccarat	baccarat
bachelor	baglor
bachelorette	bachelorette
back	yn ôl
backboard	bwrdd cefn
backbone	asgwrn cefn
backdoor	drws cefn
backdrop	cefndir
backer	cefnogwr
backfire	backfire
backgammon	ôl-gammon
background	cefndir
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	backpack
backpacker	backpacker
backroom	ystafell gefn
backseat	backseat
backside	backside
backtrack	backtrack
backup	copi wrth gefn
backward	yn ôl
backwardness	wrth gefn
backwards	yn ôl
backwater	backwater
backwoods	coed cefn
backyard	iard gefn
bacon	bacwn
bacteria	bacteria
bacterial	bacteriol
bacterium	bacteriwm
bad	drwg
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	bathodyn
badger	moch daear
badhabit	NO TRANSLATION
badly	yn wael
badness	gwaelodrwydd
baffle	baffle
baffled	daflu
bag	bag
bagel	bagel
baggage	bagiau
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	pibellau
bail	mechnïaeth
bailiff	beili
bait	abwyd
bake	pobi
bakery	pobi
baking	pobi
bal	NO TRANSLATION
balance	cydbwysedd
balanced	cytbwys
balcony	balconi
bald	mael
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	pêl
ballad	baled
ballast	balast
ballerina	ballerina
ballet	bale
ballgame	pêl-droed
ballistic	balistig
ballistics	ballistics
balloon	balŵn
ballot	pleidlais
ballpark	pêl-droed
ballplayer	chwaraewr peli
ballpoint	ballbwynt
ballroom	ystafell ddosbarth
ballsy	bêl
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamig
bam	bam
bamboo	bambŵ
ban	NO TRANSLATION
banana	banana
band	band
bandage	bandage
bandanna	bandiau
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	lled band
bane	bane
bang	bang
banger	banger
banish	gwahardd
banished	gwaredu
banishment	gwaharddiad
banister	banister
banjo	banjo
bank	banc
banker	banciwr
banking	bancio
bankroll	banc cofrestru
bankrupt	yn fethdalwr
bankruptcy	methdaliad
banner	baner
banquet	gwledd
banshee	banshee
banter	gwahanu
banzai	NO TRANSLATION
baptism	bedydd
baptismal	bedydd
baptize	bedyddio
bar	bar
barb	barb
barbarian	barbaraidd
