Word	sw
admixture	mchanganyiko
admonition	ushauri
ado	ado
adobe	adobe
adolescence	ujana
adolescent	kijana
adopt	kupitisha
adoption	kupitishwa
adoptive	kupitisha
adorable	kupendeza
adoration	ibada
adore	adore
adoring	adoring
adorn	kupamba
adornment	kupamba
adrenalin	adrenalini
adrenaline	adrenaline
adrift	adrift
adult	watu wazima
adulterated	kuharibiwa
adulterer	mzinzi
adultery	uzinzi
adulthood	watu wazima
advance	kuendeleza
advanced	ya juu
advancement	maendeleo
advancing	kuendeleza
advantage	faida
advantageous	faida
advent	kuja
adventure	adventure
adventurer	mchezaji
adventures	adventures
adventurous	adventurous
adversary	adui
adverse	mbaya
adversity	shida
advertise	tangaza
advertisement	matangazo
advertising	matangazo
adverts	matangazo
advice	ushauri
advisable	kushauriwa
advise	ushauri
advised	alishauriwa
advisement	Ushauri
adviser	mshauri
advisor	mshauri
advisory	ushauri
advocacy	utetezi
advocate	kutetea
aegis	aegis
aeration	aeration
aerial	angani
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	ndege
aerospace	aerospace
aesthetic	aesthetic
aesthetics	aesthetics
aetiology	aetiolojia
afar	mbali
affable	kuharibika
affair	jambo
affect	kuathiri
affecting	inayoathiri
affection	upendo
affectionate	upendo
affections	mapenzi
affiche	NO TRANSLATION
affidavit	afidaviti
affiliated	wanaohusishwa
affiliation	ushirikiano
affinity	ushirika
affirm	kuthibitisha
affirmation	uthibitisho
affirmative	hakika
affirmatively	kuthibitisha
affix	fanya
afflict	shida
afflicted	waliosumbuliwa
affliction	taabu
affluence	ustawi
affluent	wenye thamani
afford	kununua
affordable	nafuu
affront	chuki
affronted	kupigana
afield	uwanja
afire	moto
afloat	tamaa
afore	afore
aforementioned	yaliyotaja hapo awali
aforesaid	uliyotaja hapo awali
afraid	hofu
afresh	upya tena
african	african
aft	aft
afterlife	baada ya maisha
aftermath	baada ya
afternoon	mchana
aftershave	baada ya
aftertaste	aftertaste
afterthought	baadaye
aga	NO TRANSLATION
agape	agape
agate	agate
age	umri
aged	wenye umri
agency	shirika
agenda	ajenda
agent	wakala
agglomeration	agglomeration
aggravate	kuongeza
aggravated	imeongezeka
aggravates	huongeza
aggravating	kuchochea
aggravation	kupungua
aggregate	jumla
aggregation	uchochezi
aggresive	NO TRANSLATION
aggression	uchokozi
aggressive	fujo
aggressively	vurugu
aggressiveness	uchochezi
aggressor	mkandamizaji
agh	agh
aghast	mbaya
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	kuzeeka
agitate	tamaa
agitated	alisitishwa
agitation	uchochezi
aglow	kuwaka
agnostic	agnostic
ago	iliyopita
agonizing	kuumiza
agony	uchungu
agoraphobia	agoraphobia
agree	kubali
agreeable	nzuri
agreed	walikubali
agreeing	kukubaliana
agreement	makubaliano
agressive	NO TRANSLATION
agricultural	kilimo
agriculture	kilimo
aground	chini
agua	NO TRANSLATION
ahead	mbele
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	misaada
aide	msaidizi
aiding	kusaidia
aids	vifaa
ail	chochote
ailing	mgonjwa
ailment	ugonjwa
aim	lengo
aimless	isiyo na maana
air	hewa
airbag	hewabag
airborne	ya hewa
aircraft	Ndege
aircraft carrier	carrier ndege
airfield	uwanja wa ndege
airhead	hewahead
airlift	ndege ya ndege
airline	ndege
airliner	ndege
airlock	hewalock
airman	airman
airplane	ndege
airport	uwanja wa ndege
airs	hewa
airship	airship
airspace	nafasi ya hewa
airspeed	airspeed
airstrip	kiwanja cha ndege
airtight	kupitiwa hewa
airway	barabara ya hewa
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	inayofanana
alabaster	alabaster
alarm	kengele
alarm clock	Saa ya Kengele
alarmed	alishtuka
alarming	inatisha
alas	ole
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	albamu
alchemy	alchemy
alcohol	pombe
alcoholic	pombe
alcoholism	ulevi
alcove	pombe
alderman	alderman
ale	NO TRANSLATION
alert	tahadhari
alertness	tahadhari
alerts	tahadhari
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	Alias
alibi	alibi
alien	mgeni
alienate	kuepuka
alienated	kuachana
alienation	kuachana
alight	alikwenda
align	fanya
aligned	iliyokaa
alignment	alignment
alike	sawa
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	hai
alkali	alkali
alkaloids	alkaloids
allay	piga
allegation	madai
allege	wanasema
alleged	madai
allegiance	utii
allegorical	kinyume cha habari
allegory	madai
allegro	allegro
allergic	mzio
allergy	matatizo
alleviate	kupunguza
alleviation	kupungua
alley	kilimo
alleyway	barabarani
alliance	Muungano
allied	washirika
alligator	alligator
allocate	kutenga
allocation	mgao
allot	allot
allotment	ugawaji
allow	kuruhusu
allowable	halali
allowance	posho
allowed	ruhusiwa
alloy	alloy
allsmiles	NO TRANSLATION
allure	fanya
alluring	kupendeza
allusion	kutaja
alluvial	alluvial
ally	mshirika
almanac	almanac
almighty	Mwenye nguvu
almond	almond
aloft	aloft
aloha	aloha
alone	peke yake
alongside	kando
aloof	wazi
aloud	kwa sauti kubwa
alpha	alpha
alphabet	alfabeti
alphabetical	alfabeti
alpine	alpine
alreadyyyyy	tayariyyyyy
altar	madhabahu
altar boy	mvulana wa madhabahu
alter	kubadilisha
alteration	mabadiliko
altercation	mabadiliko
altered	ilibadilishwa
alternate	mbadala
alternating	kubadilisha
alternative	mbadala
altimeter	altimeter
altitude	urefu
alto	alto
altogether	kabisa
aluminum	alumini
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ushirikiano
amaretto	amaretto
amass	amass
amateur	amateur
amaze	kushangaza
amazed	alishangaa
amazedness	NO TRANSLATION
amazement	mshangao
amazing	ajabu
amazingly	kushangaza
ambassador	balozi
amber	amber
ambience	ambience
ambient	iliyoko
ambiguity	utata
ambiguous	wasiwasi
ambit	ambit
ambition	tamaa
ambitious	tamaa
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulensi
ambush	kumshtaki
ameliorate	kuimarisha
amen	amen
amenable	inafaa
amend	tengeneze
amendment	marekebisho
amends	inabadilisha
amenity	huduma
amethyst	amethyst
amiable	mzuri
amicable	amicable
amid	katikati
amidst	katikati
amino	amino
ammo	ammo
ammonia	amonia
ammonium	amonia
ammunition	risasi
amnesia	amnesia
amnesty	msamaha
amorous	amorous
amorphous	amorphous
amortization	uhamisho
amount	kiasi
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amfibia
amphibious	amphibious
amphitheater	amphitheater
ample	kamili
amplification	amplification
amplify	kuimarisha
amplitude	amplitude
amply	sana
amputate	kumkamata
amputation	kupigwa
amuck	amuck
amulet	Amulet
amuse	tamaa
amused	amused
amusement	pumbao
amusing	kusisimua
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetic
anagram	anagram
anal	anal
analgesic	analgesic
analogous	sawa
analogue	mfano
analogy	mfano
analysis	uchambuzi
analyst	mchambuzi
analytic	uchambuzi
analytical	uchambuzi
analyze	kuchambua
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	machafuko
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	babu
ancestral	baba
ancestry	kizazi
anchor	nanga
anchorage	Anchorage
ancient	kale
ancillary	msaidizi
androgen	androgen
android	android
anecdote	anecdote
anemia	upungufu wa damu
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysm
anew	upya
angel	malaika
angelic	malaika
anger	hasira
angered	hasira
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	angle
angling	angling
angora	angora
angriest	hasira
angry	hasira
angrytweet	NO TRANSLATION
angst	angst
anguish	maumivu
anguished	huzuni
angular	angular
anhydrous	anhydrous
animal	mnyama
animate	fanya
animated	animated
animation	uhuishaji
animosity	chuki
animus	animus
ankle	mguu
anklet	anklet
annals	inabiri
annex	kiambatisho
annexation	vifungo
annexe	NO TRANSLATION
annihilate	kuangamiza
annihilated	kuharibiwa
annihilation	kuangamiza
anniversary	maadhimisho ya miaka
annotate	onyesha
annotation	maelezo
announce	tangazo
announcement	tangazo
announcer	mtangazaji
annoy	pendeza
annoyance	chuki
annoyed	alikasirika
annoyin	NO TRANSLATION
annoying	hasira
annoys	hukasirika
annual	kila mwaka
annuity	annuity
annul	kufuta
annular	annular
annulment	kufutwa
annulus	annulus
anointed	mafuta
anointing	upako
anomalous	mbaya
anomaly	haifai
anon	anoni
anonymity	kutokujulikana
anonymous	haijulikani
anorexic	anorexic
answer	jibu
answerable	inayofaa
answering	kujibu
ant	ant
antagonism	kupinga
antagonist	mpinzani
antagonistic	kupinga
antagonize	antagonze
ante	NO TRANSLATION
antecedent	antecedent
antelope	Antelope
antenna	antenna
anterior	anterior
anthem	fimbo
anthill	tamaa
anthology	anthology
anthrax	anthrax
anthropological	anthropolojia
anthropologist	mwanadolojia
anthropology	anthropolojia
anti	kupambana
antiaircraft	antiaircraft
antibiotic	antibiotic
antibiotics	antibiotics
antichrist	mpinga Kristo
anticipate	wanatarajia
anticipation	kutarajia
anticipatory	kutarajia
antics	NO TRANSLATION
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimoni
antipathy	kupinga
antiquarian	antiquarian
antiquated	zimehifadhiwa
antique	kale
antiques	antiques
antiquity	zamani
antiseptic	antiseptic
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	mshauri
anxiety	wasiwasi
anxietyattack	NO TRANSLATION
anxious	wasiwasi
anxiousness	wasiwasi
anytime	wakati wowote
aorta	aorta
aortic	aortic
apace	wazi
apache	apache
apartment	ghorofa
apartments	vyumba
apathetic	apathetic
apathy	kutojali
ape	ape
aperture	kufungua
apex	kilele
aphid	aphid
aphrodisiac	aphrodisiac
apiece	Kipande
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	msamaha
apologist	msamaha
apologize	kuomba msamaha
apology	msamaha
apostasy	uasi
apostate	waasi
apostle	Mtume
apostolic	utume
apostrophe	apostrophe
apothecary	apothecary
appalled	alishangaa
appalling	inatisha
apparatus	vifaa
apparel	nguo
apparent	inaonekana
apparently	inaonekana
apparition	kuonekana
appeal	rufaa
appear	onekana
appearance	mwonekano
appease	radhi
appellant	mwombaji
append	tumia
appendage	kipengee
appendectomy	appendectomy
appendicitis	appendicitis
appendix	kiambatisho
appetite	hamu ya kula
appetizer	kivutio
appetizing	kupendeza
applaud	tamaa
applause	kupiga makofi
apple	apple
apple juice	juisi ya apple
applejack	applejack
applesauce	appleauce
appliance	vifaa
appliances	vifaa
applicability	matumizi
applicable	inatumika
applicant	mwombaji
application	programu
apply	tumia
appoint	weka
appointment	uteuzi
appointments	uteuzi
apportion	kugawa
apportionment	ugawaji
appraisal	tathmini
appraise	tazama
appreciable	appreciable
appreciate	kufahamu
appreciated	kupendezwa
appreciates	hupenda
appreciation	shukrani
appreciative	appreciative
apprehend	pata
apprehension	hofu
apprehensive	wasiwasi
apprentice	kujifunza
apprenticeship	kujifunza
approach	mbinu
approaching	inakaribia
approbate	NO TRANSLATION
approbation	kupitishwa
appropriate	sahihi
appropriation	ugawaji
approval	ruhusa
approve	kupitisha
approved	imeidhinishwa
approvement	kibali
approving	kuidhinisha
approximate	takriban
approximately	takribani
approximating	inakaribia
approximation	takriban
appurtenances	upungufu
apricot	apricot
apron	apron
apt	inafaa
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	majini
aqueduct	maji
aqueous	yenye maji
arable	arable
arbiter	arbiter
arbitrary	kielelezo
arbitrate	kubatibitisha
arbitration	usuluhishi
arbitrator	mkaguzi
arbor	arbor
arc	arc
arcade	Arcade
arcane	arcane
arch	arch
archaeological	archaeological
archaeologist	archaeologist
archaeology	archeolojia
archaic	archaic
archangel	malaika mkuu
archbishop	Askofu Mkuu
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	mshambuliaji
archery	upigaji wa vita
archetype	archetype
archipelago	visiwa
architect	mbunifu
architectural	usanifu
architecture	usanifu
archive	kumbukumbu
arctic	arctic
ardent	nguvu
ardor	shauku
arduous	vigumu
area	eneo
arena	uwanja
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	upande
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	wanasema
argument	hoja
argumentation	hoja
argumentative	hoja
arguments	hoja
arid	jangwa
arise	toka
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	hesabu
ark	safina
arm	mkono
armada	silaha
armament	silaha
armaments	silaha
armature	silaha
armchair	armchair
armed	silaha
armor	silaha
armored	silaha
armory	silaha
armpit	piga
arms	silaha
army	jeshi
aroma	harufu
aromatherapy	aromatherapy
arousal	kumfufua
arouse	kuamsha
aroused	iliamka
arraignment	kupigana
arrange	kupanga
arranged	kupangwa
arrangement	utaratibu
array	safu
arrears	mikopo
arrest	kukamatwa
arrhythmia	arrhythmia
arrival	kuwasili
arrive	fika
arrogance	kiburi
arrogant	kiburi
arrow	mshale
arsehole	upinde
arseholes	arseholes
arsenal	silaha
arsenic	arsenic
arson	uchomaji
arsonist	mfanyabiashara
art	sanaa
arterial	arteri
artery	ateri
artful	uzuri
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	makala
articles	makala
articulate	kutaja
articulation	mazungumzo
artifact	shaba
artifice	shaba
artificial	bandia
artillery	silaha
artisan	mtaalamu
artist	msanii
artiste	NO TRANSLATION
artistic	kisanii
artistry	sanaa
artists	wasanii
artwork	mchoro
arty	arty
asap	Haraka iwezekanavyo
asbestos	asbestosi
ascend	kupaa
ascendancy	upandaji
ascendant	ascendant
ascending	hukua
ascension	kupanda
ascent	kupanda
ascertain	hakikisha
ascertained	imethibitishwa
ascetic	wastahili
ash	majivu
ashamed	aibu
ashes	majivu
ashtray	ashtray
asinine	asinine
ask	kuuliza
asleeep	NO TRANSLATION
asleep	amelala
asp	asp
asparagus	asufi
aspartame	aspartame
aspect	kipengele
aspects	mambo
aspen	aspen
asphalt	lami
asphyxia	asphyxia
asphyxiation	uharibifu
aspiration	sura
aspire	tamaa
aspirin	aspirini
aspiring	unataka
ass	punda
assail	kushambuliwa
assailant	mwenye kushambulia
assassin	assassin
assassinate	kuua
assassination	mauaji
assault	shambulio
assay	jaribio
assemblage	mkutano
assemble	kusanyika
assembled	walikusanyika
assembly	mkutano
assemblyman	mkutano
assent	thibitisha
assert	tamaa
asserting	kusisitiza
assertion	madai
assertive	kusisitiza
assess	tathmini
assessment	tathmini
assessor	mkaguzi
asset	mali
assets	mali
asshole	punda
assign	toa
assignee	assignee
assignment	kazi
assimilate	kuingiza
assimilation	kufanana
assist	kusaidia
assistance	msaada
assistant	msaidizi
associate	mshirika
association	ushirika
assorted	imeshindwa
assortment	usawa
assuage	kuchochea
assume	fanya
assumed	kudhaniwa
assuming	kuchukua
assumption	dhana
assurance	uhakika
assure	hakikisha
assured	uhakika
assuredly	hakika
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	pumu
asthmatic	asthmatic
astigmatism	astigmatism
astonish	mshangao
astonished	alishangaa
astonishing	kushangaza
astonishingly	NO TRANSLATION
astonishment	mshangao
astound	tamaa
astral	astral
astray	kupotea
astringent	kinyume
astrologer	nyota
astrology	astrology
astronaut	astronaut
astronomer	astronomer
astronomical	astronomical
astronomy	astronomy
astute	anajua
asunder	kuacha
asylum	hifadhi
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	Mungu
atheist	hawana Mungu
atheistic	wasioamini
atherosclerosis	atherosclerosis
athlete	mwanariadha
athletic	wanariadha
athleticism	athleticism
athletics	mashindano
atlas	atlas
atmosphere	anga
atmospheric	anga
atoll	atoll
atom	atomi
atomic	atomiki
atone	atone
atonement	upatanisho
atpeace	atpeace
atrium	atrium
atrocious	hasira
atrocity	atrocity
atrophy	atrophy
attach	ambatisha
attached	imefungwa
attachment	kiambatisho
attack	kushambulia
attacker	mshambulizi
attacking	kushambulia
attain	kufikia
attainable	kufikia
attainment	kufikia
attempt	jaribio
attempted	alijaribu
attend	hudhuria
attendance	mahudhurio
attendant	mtumishi
attention	tazama
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	makini
attenuate	attenuate
attenuated	imedhamiriwa
attenuation	uzuiaji
attest	inathibitisha
attestation	ushahidi
attic	attic
attire	mavazi
attitude	mtazamo
attorney	wakili
attract	kuvutia
attraction	kivutio
attractive	kuvutia
attractiveness	kuvutia
attributable	inatokana
attribute	sifa
attribution	mgao
attrition	ushindi
auburn	auburn
auction	mnada
auctioneer	mnadaji
audacious	wenye ujasiri
audacity	ujasiri
audible	kusikilizwa
audience	watazamaji
audio	redio
audit	ukaguzi
audition	ukaguzi
auditions	ukaguzi
auditor	mkaguzi
auditorium	hoteli
auditory	ukaguzi
aught	kitu kingine
augment	kuongeza
augmentation	kuongeza
august	Agosti
aunt	shangazi
auntie	Binti
aura	aura
aurora	aurora
auspices	auspices
auspicious	unuspicious
austere	mzuri
austerity	unusterity
authentic	halisi
authenticate	kuthibitisha
authentication	uthibitisho
authenticity	uhalali
author	mwandishi
authoritative	mamlaka
authority	mamlaka
authorization	idhini
authorize	idhini
authorized	mamlaka
authorship	uandishi
autism	autism
autistic	autistic
auto	auto
autobiographical	kijiografia
autobiography	kibadilishaji
autocorrect	imara
autocratic	kijeshi
autograph	autograph
autographed	imejitambulisha
automated	automatiska
automatic	moja kwa moja
automobile	gari
automotive	magari
autonomy	uhuru
autopilot	kujitegemea
autopsy	kujitegemea
autumn	vuli
auxiliary	msaidizi
avail	ni sawa
availability	upatikanaji
available	inapatikana
avalanche	Banguli
avarice	adarice
avatar	avatar
avenge	kulipiza kisasi
avenger	mlipuko
avenging	kulipiza kisasi
avenue	avenue
aver	NO TRANSLATION
average	wastani
aversation	NO TRANSLATION
averse	toa
averseness	uharibifu
aversion	upungufu
avert	kuepuka
aviary	aviary
aviation	anga
aviator	aviator
avid	mkali
avocado	avocado
avoid	kuepuka
avoidance	kuepuka
avoiding	kuepuka
await	wanasubiri
awake	Oka
awaken	kuamsha
awakening	kuamka
award	tuzo
awards	tuzo
aware	kufahamu
awareness	ufahamu
awe	NO TRANSLATION
awed	imetangazwa
awesome	kushangaza
awesomeness	uovu
awestruck	uharibifu
awful	mbaya
awkward	Awkward
awkwardness	Awkwardness
awning	awning
awry	Awry
axe	shoka
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	mhimili
axle	kushikamana
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	toa
babbling	kupiga kelele
babe	babe
baboon	mbuzi
baby	mtoto
babysit	watoto
babysitter	babysitter
baccalaureate	Baccalaureate
baccarat	baccarat
bachelor	Bachelor
bachelorette	bachelorette
back	nyuma
backboard	backboard
backbone	mgongo
backdoor	mlango wa nyuma
backdrop	kuharibu
backer	msaidizi
backfire	kurudi nyuma
backgammon	backgammon
background	background
backhand	backhand
backhoe	backoe
backoff	backoff
backpack	kitambaa
backpacker	backpacker
backroom	backroom
backseat	ufuatiliaji
backside	nyuma
backtrack	nyuma
backup	Backup
backward	nyuma
backwardness	nyuma
backwards	nyuma
backwater	backwater
backwoods	backwoods
backyard	uani
bacon	Bacon
bacteria	bakteria
bacterial	bakteria
bacterium	bakteria
bad	mbaya
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	beji
badger	mbegu
badhabit	NO TRANSLATION
badly	vibaya
badness	uovu
baffle	baffle
baffled	walipigwa
bag	mfuko
bagel	bagel
baggage	mizigo
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	magunia
bail	dhamana
bailiff	msaidizi
bait	bait
bake	kuoka
bakery	mkate
baking	kuoka
bal	NO TRANSLATION
balance	usawa
balanced	uwiano
balcony	balcony
bald	bald
balding	kupiga kura
baldy	mchezaji
bale	bale
balk	balk
ball	mpira
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballististic
ballistics	ballistics
balloon	puto
ballot	kura
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsamu
balsamic	balsamic
bam	bam
bamboo	mianzi
ban	NO TRANSLATION
banana	ndizi
band	bendi
bandage	Bandeji
bandanna	bandanna
bandit	bandia
bandstand	bandara
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	kupiga marufuku
banished	ilifukuzwa
banishment	kupigwa marufuku
banister	banister
banjo	banjo
bank	Benki
banker	benki
banking	benki
bankroll	bankroll
bankrupt	kufuta
bankruptcy	kufilisika
banner	bendera
banquet	karamu
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	ubatizo
baptismal	ubatizo
baptize	ubatize
bar	bar
barb	barb
barbarian	msomi
barbaric	barbaric
barbarism	barbarism
barbecue	barbeque
barbed	barbed
barber	shaba
barbershop	kinyozi
barbie doll	barbie doll
bard	bard
bare	wazi
bareback	bareback
barefoot	nguo
barely	vigumu
barf	barf
bargain	shauriana
bargaining	kujadiliana
barge	barge
baritone	baritone
barium	bariamu
bark	gome
barkeep	barkeep
barks	barks
barley	shayiri
barmaid	barmaid
barman	barman
barn	ghala
barnacle	kizuizi
barney	barney
barnyard	barnyard
barometer	barometer
baron	baroni
baroness	baroness
baroque	baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	imezuiwa
barrel	pipa
barren	tasa
barricade	barricade
barrier	kizuizi
barring	kuzuia
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	piga
base	msingi
baseball	baseball
baseball bat	baseball bat
baseboard	msingi
baseless	bila msingi
baseline	msingi
baseman	baseman
basement	basement
bases	besi
bash	bash
bashful	bashful
basic	msingi
basics	misingi
basil	basil
basilica	basilika
basin	Bonde
basis	msingi
bask	bask
basket	kikapu
basketball	mpira wa kikapu
bass	bass
bass guitar	gitaa la bass
basso	NO TRANSLATION
bassoon	bassoon
bastard	mwanaharamu
bastarding	ukarimu
bastards	bastards
bastion	bastion
bat	bat
batch	kundi
batching	kupiga
bate	NO TRANSLATION
bath	kuoga
bathe	kuoga
