Word	sl
adopt	sprejme
adoption	posvojitev
adoptive	posvojitelj
adorable	čudovito
adoration	oboževanje
adore	obožujem
adoring	oboževati
adorn	krasijo
adornment	okras
adrenalin	adrenalin
adrenaline	adrenalin
adrift	vzpenjati
adult	odrasla oseba
adulterated	preobremenjen
adulterer	prešuštnik
adultery	prešuštvo
adulthood	odrasla doba
advance	napreduje
advanced	napredno
advancement	napredovanje
advancing	napreduje
advantage	prednost
advantageous	ugodno
advent	prihod
adventure	avantura
adventurer	pustolovec
adventures	avanture
adventurous	pustolovski
adversary	nasprotnik
adverse	neugodno
adversity	nesreča
advertise	oglašujte
advertisement	oglas
advertising	oglaševanje
adverts	oglasov
advice	nasvet
advisable	priporočljivo
advise	svetuje
advised	svetuje
advisement	svetovanje
adviser	svetovalec
advisor	svetovalec
advisory	svetovanje
advocacy	zagovorništvo
advocate	zagovarjati
aegis	aegis
aeration	prezračevanje
aerial	antena
aerobics	aerobika
aerodrome	letališče
aerodynamic	aerodinamični
aerodynamics	aerodinamika
aeronautics	aeronavtika
aeroplane	letalo
aerospace	aerospace
aesthetic	estetsko
aesthetics	estetika
aetiology	etiologija
afar	daleč
affable	prijazno
affair	afera
affect	vplivati
affecting	vplivajo
affection	naklonjenost
affectionate	ljubezniv
affections	naklonjenosti
affiche	NO TRANSLATION
affidavit	pisna izjava
affiliated	povezano
affiliation	pripadnost
affinity	afiniteto
affirm	potrdi
affirmation	potrditev
affirmative	pritrdilno
affirmatively	pritrdilno
affix	pritrdite
afflict	grozijo
afflicted	prizadeta
affliction	trpljenje
affluence	bogastvo
affluent	bogat
afford	privoščiti
affordable	cenovno dostopne
affront	napasti
affronted	oškodovani
afield	polno
afire	Požar
afloat	na zemljevidu
afore	prej
aforementioned	zgoraj omenjeno
aforesaid	omenjeno
afraid	strah
afresh	ponovno
african	afriški
aft	zadaj
afterlife	posmrtno življenje
aftermath	posledice
afternoon	popoldne
aftershave	aftershave
aftertaste	pookus
afterthought	pozneje
aga	NO TRANSLATION
agape	agape
agate	agate
age	starost
aged	starost
agency	agencija
agenda	dnevni red
agent	agent
agglomeration	aglomeracija
aggravate	poslabša
aggravated	poslabšanje
aggravates	poslabša
aggravating	otežuje
aggravation	poslabšanje
aggregate	agregat
aggregation	združevanje
aggresive	NO TRANSLATION
aggression	agresija
aggressive	agresivno
aggressively	agresivno
aggressiveness	agresivnost
aggressor	agresor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agilno
agility	okretnost
aging	staranje
agitate	agitirati
agitated	vznemirjen
agitation	vznemirjenost
aglow	aglow
agnostic	agnostik
ago	nazaj
agonizing	agonizira
agony	agonija
agoraphobia	agorafobija
agree	se strinjam
agreeable	prijetno
agreed	dogovorili
agreeing	strinjam se
agreement	sporazum
agressive	NO TRANSLATION
agricultural	kmetijski
agriculture	kmetijstvo
aground	zmeraj
agua	NO TRANSLATION
ahead	naprej
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	pomoč
aide	pomočnik
aiding	pomoč
aids	pomoč
ail	ail
ailing	bolan
ailment	bolezen
aim	meriti
aimless	brez cilja
air	zrak
airbag	zračna blazina
airborne	v zraku
aircraft	letala
aircraft carrier	letalonosilka
airfield	letališče
airhead	zračna glava
airlift	zračni promet
airline	letalska družba
airliner	letalski prevoznik
airlock	airlock
airman	letalec
airplane	letalo
airport	letališče
airs	zrak
airship	zrakoplov
airspace	zračni prostor
airspeed	hitrosti
airstrip	pištola
airtight	nepredušno
airway	dihalna pot
aisle	prehod
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	alarm
alarm clock	budilka
alarmed	vznemirjen
alarming	zaskrbljujoče
alas	Žal mi je
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	album
alchemy	alkemija
alcohol	alkohol
alcoholic	alkoholno
alcoholism	alkoholizem
alcove	Alcove
alderman	alderman
ale	NO TRANSLATION
alert	opozorilo
alertness	budnost
alerts	opozorila
alfalfa	lucerka
algebra	algebra
algebraic	algebrski
algorithm	algoritem
alias	alias
alibi	alibi
alien	tujec
alienate	odtuji
alienated	odtujen
alienation	odtujenost
alight	zmeraj
align	poravnaj
aligned	poravnano
alignment	poravnava
alike	podobno
alimentation	NO TRANSLATION
alimony	alimentacija
aliquot	alikvot
alive	živ
alkali	alkalije
alkaloids	alkaloidi
allay	zmanjšati
allegation	trditev
allege	allege
alleged	domnevno
allegiance	lojalnost
allegorical	alegorično
allegory	alegorija
allegro	allegro
allergic	alergičen
allergy	alergija
alleviate	ublažiti
alleviation	olajšanje
alley	alley
alleyway	ulica
alliance	zavezništvo
allied	zavezništva
alligator	aligator
allocate	dodelite
allocation	dodelitev
allot	dodelitev
allotment	dodelitev
allow	dovolite
allowable	dovoljeno
allowance	dodatek
allowed	dovoljeno
alloy	zlitine
allsmiles	NO TRANSLATION
allure	privlačnost
alluring	privlačen
allusion	aluzija
alluvial	aluvialno
ally	zaveznik
almanac	almanah
almighty	vsemogočni
almond	mandelj
aloft	aloft
aloha	aloha
alone	sam
alongside	skupaj
aloof	aloof
aloud	naglas
alpha	alfa
alphabet	abeceda
alphabetical	abecedno
alpine	alpski
alreadyyyyy	že že
altar	oltar
altar boy	oltarček
alter	spreminjati
alteration	sprememba
altercation	razburjenje
altered	spremenjen
alternate	nadomestni
alternating	izmenično
alternative	alternativa
altimeter	višinomer
altitude	nadmorske višine
alto	alto
altogether	skupaj
aluminum	aluminij
alumnus	vzgojitelj
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	združevanje
amaretto	amaretto
amass	amass
amateur	ljubitelj
amaze	presenetiti
amazed	presenečen
amazedness	NO TRANSLATION
amazement	presenečenje
amazing	neverjetno
amazingly	neverjetno
ambassador	veleposlanik
amber	oranžna
ambience	ambient
ambient	ambient
ambiguity	dvoumnost
ambiguous	dvoumno
ambit	ambit
ambition	ambicije
ambitious	ambiciozen
ambivalent	ambivalentno
ambrosia	ambrozija
ambulance	rešilca
ambush	zaseda
ameliorate	izboljšati
amen	amen
amenable	podlage
amend	spremeniti
amendment	sprememba
amends	spremeni
amenity	udobje
amethyst	ametist
amiable	prijazno
amicable	prijateljski
amid	sredi
amidst	sredi
amino	amino
ammo	strelivo
ammonia	amoniak
ammonium	amonij
ammunition	strelivo
amnesia	amnezija
amnesty	amnestija
amorous	ljubezen
amorphous	amorfen
amortization	amortizacija
amount	znesek
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamini
amphibian	dvoživka
amphibious	amfibijsko
amphitheater	amfiteater
ample	dovolj
amplification	ojačanje
amplify	razširiti
amplitude	amplituda
amply	dobro
amputate	amputirati
amputation	amputacija
amuck	Amuck
amulet	amulet
amuse	zabavaj
amused	zabavno
amusement	zabava
amusing	zabavno
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestezija
anaesthetic	anestezija
anagram	anagram
anal	anal
analgesic	analgetik
analogous	analogno
analogue	analogni
analogy	analogija
analysis	analiza
analyst	analitik
analytic	analitično
analytical	analitično
analyze	analizirati
analyzer	analizator
anaphylactic	anafilaktična
anarchism	anarhizem
anarchist	anarhist
anarchy	anarhija
anastomosis	anastomoza
anathema	anatema
anatomic	anatomsko
anatomy	anatomija
ancestor	prednik
ancestral	predniki
ancestry	prednikov
anchor	sidro
anchorage	sidrišče
ancient	starodavne
ancillary	Pomožni
androgen	androgen
android	android
anecdote	anekdota
anemia	anemija
anemic	anemično
anemone	anemone
anesthesia	anestezija
anesthesiologist	anesteziolog
anesthetic	anestezija
aneurysm	anevrizma
anew	novo
angel	angel
angelic	angelski
anger	jeza
angered	jezen
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografija
angle	kota
angling	ribarjenje
angora	angora
angriest	najbolj jezen
angry	jezen
angrytweet	NO TRANSLATION
angst	angst
anguish	bojazen
anguished	jezen
angular	kotni
anhydrous	brezvodni
animal	živali
animate	animiraj
animated	animirano
animation	animacija
animosity	sovražnost
animus	animus
ankle	gleženj
anklet	anklet
annals	anali
annex	Priloga
annexation	aneksacija
annexe	NO TRANSLATION
annihilate	izničiti
annihilated	uničen
annihilation	anihilacija
anniversary	obletnico
annotate	annotate
annotation	opomba
announce	napovedati
announcement	napoved
announcer	napovedovalec
annoy	moti
annoyance	motnja
annoyed	moti
annoyin	NO TRANSLATION
annoying	nadležen
annoys	moti
annual	letno
annuity	renta
annul	razveljaviti
annular	obročasto
annulment	razveljavitev
annulus	annulus
anointed	pomazan
anointing	pomazanje
anomalous	anomalous
anomaly	anomalija
anon	anon
anonymity	anonimnost
anonymous	anonimno
anorexic	anoreksičen
answer	odgovor
answerable	odgovoren
answering	odgovori
ant	Mravlja
antagonism	antagonizem
antagonist	antagonist
antagonistic	antagonistično
antagonize	antagonizirati
ante	NO TRANSLATION
antecedent	predhodnik
antelope	antilopa
antenna	antena
anterior	anterior
anthem	himna
anthill	mravlje
anthology	antologija
anthrax	antraks
anthropological	antropološko
anthropologist	antropolog
anthropology	antropologija
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotiki
antichrist	antikrist
anticipate	pričakujte
anticipation	pričakovanje
anticipatory	predvidevajo
antics	antike
antidote	protistrup
antifungal	protiglivično
antigravity	antigravity
antimony	antimon
antipathy	antipatija
antiquarian	antikvarij
antiquated	zastarel
antique	starinsko
antiques	starine
antiquity	antike
antiseptic	antiseptik
antisocial	antisocialno
antithesis	antiteza
antithetical	antimetrično
antiviral	protivirusno
antler	antler
antsy	antsy
anus	anus
anvil	nakovalo
anxiety	anksioznost
anxietyattack	NO TRANSLATION
anxious	tesnoba
anxiousness	anksioznost
anytime	kadarkoli
aorta	aorta
aortic	aortna
apace	apace
apache	Apache
apartment	stanovanje
apartments	apartmaji
apathetic	apatično
apathy	apatija
ape	majmun
aperture	odprtina
apex	vrh
aphid	ušesa
aphrodisiac	afrodiziak
apiece	košček
aplomb	aplomb
apocalypse	apokalipse
apocalyptic	apokaliptično
apologetic	apologetično
apologist	apologist
apologize	se opravičujem
apology	opravičilo
apostasy	apostasy
apostate	apostat
apostle	apostol
apostolic	apostolski
apostrophe	apostrof
apothecary	apotekar
appalled	užaljen
appalling	grozljivo
apparatus	naprave
apparel	oblačila
apparent	očitno
apparently	očitno
apparition	prikazovanje
appeal	pritožba
appear	Pojavi se
appearance	videz
appease	umirite
appellant	pritožnik
append	dodajte
appendage	dodatek
appendectomy	appendectomy
appendicitis	apendicitis
appendix	Dodatek
appetite	apetit
appetizer	predjed
appetizing	appetizing
applaud	aplaudi
applause	aplavz
apple	jabolka
apple juice	jabolčni sok
applejack	applejack
applesauce	applesauce
appliance	aparat
appliances	naprave
applicability	uporabnost
applicable	primerno
applicant	prosilec
application	aplikacija
apply	veljajo
appoint	imenovati
appointment	imenovanje
appointments	imenovanja
apportion	razdelitev
apportionment	porazdelitev
appraisal	ocenjevanje
appraise	oceniti
appreciable	opazen
appreciate	cenite
appreciated	cenjen
appreciates	ceni
appreciation	spoštovanje
appreciative	hvaležni
apprehend	spoznati
apprehension	prijetje
apprehensive	vznemirjen
apprentice	vajenec
apprenticeship	vajeništvo
approach	pristop
approaching	približuje
approbate	NO TRANSLATION
approbation	odobritev
appropriate	primerno
appropriation	odobritve
approval	odobritev
approve	odobri
approved	odobren
approvement	odobritev
approving	odobritev
approximate	približno
approximately	približno
approximating	približevanje
approximation	približevanje
appurtenances	priloge
apricot	marelice
apron	predpasnik
apt	apt
aptitude	sposobnost
aqua	aqua
aquamarine	akvamarin
aquarium	akvarij
aquatic	vodni
aqueduct	vodovod
aqueous	vodni
arable	poljedelstvo
arbiter	Arbiter
arbitrary	arbitrarna
arbitrate	arbitražo
arbitration	arbitraža
arbitrator	arbitra
arbor	arbor
arc	lok
arcade	arkada
arcane	arkane
arch	lok
archaeological	arheološko
archaeologist	arheolog
archaeology	arheologija
archaic	arhaična
archangel	arhangel
archbishop	nadškof
archdiocese	nadškofija
archduke	nadvojvoda
arched	arched
archer	streličar
archery	lokostrelstvo
archetype	arhetip
archipelago	arhipelag
architect	arhitekt
architectural	arhitekturno
architecture	arhitektura
archive	arhiv
arctic	Arktika
ardent	goreč
ardor	Ardor
arduous	naporno
area	območje
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	trdijo
argument	prepir
argumentation	argumentacija
argumentative	argumentativno
arguments	argumente
arid	arid
arise	Pojavi se
aristocracy	aristokracija
aristocrat	aristokrat
aristocratic	aristokratsko
arithmetic	aritmetično
ark	ark
arm	roka
armada	armada
armament	oborožitev
armaments	oborožitev
armature	armatura
armchair	fotelj
armed	oborožen
armor	oklep
armored	oklepno
armory	orožje
armpit	pazduha
arms	roke
army	vojska
aroma	aroma
aromatherapy	aromaterapija
arousal	vzburjenost
arouse	vzburi
aroused	vzburjen
arraignment	poravnava
arrange	uredi
arranged	urejeno
arrangement	ureditev
array	array
arrears	zaostala plačila
arrest	aretirati
arrhythmia	aritmija
arrival	prihod
arrive	prispejo
arrogance	aroganco
arrogant	aroganten
arrow	puščica
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arzen
arson	požig
arsonist	požigalka
art	umetnost
arterial	arterijski
artery	arterija
artful	umetni
arthritis	artritis
arthropod	členonožcev
artichoke	artičoka
article	članek
articles	izdelki
articulate	artikulirati
articulation	artikulacija
artifact	artefakt
artifice	umetnost
artificial	umetno
artillery	artilerijo
artisan	obrtnik
artist	umetnik
artiste	NO TRANSLATION
artistic	umetniško
artistry	umetnost
artists	umetniki
artwork	umetniško delo
arty	arty
asap	takoj, ko bo mogoče
asbestos	azbest
ascend	vzpon
ascendancy	nadvlada
ascendant	Ascendant
ascending	naraščajoče
ascension	vzpon
ascent	vzpon
ascertain	preveri
ascertained	ugotovljeno
ascetic	asket
ash	pepel
ashamed	sram
ashes	pepel
ashtray	pepelnik
asinine	asinin
ask	vprašajte
asleeep	NO TRANSLATION
asleep	spati
asp	asp
asparagus	špargljev
aspartame	aspartam
aspect	vidik
aspects	vidike
aspen	Aspen
asphalt	asfalt
asphyxia	asfiksija
asphyxiation	zadušitev
aspiration	aspiracija
aspire	si prizadevajo
aspirin	aspirin
aspiring	ambiciozni
ass	rit
assail	assail
assailant	napadalec
assassin	morilec
assassinate	ubiti
assassination	atentat
assault	napad
assay	esej
assemblage	montaža
assemble	zbrati
assembled	sestavljen
assembly	montaža
assemblyman	montažer
assent	privolitev
assert	trditi
asserting	trditev
assertion	trditev
assertive	trdno
assess	oceniti
assessment	ocenjevanje
assessor	ocenjevalec
asset	sredstva
assets	sredstva
asshole	kreten
assign	dodelite
assignee	pooblaščenec
assignment	dodelitev
assimilate	asimilirati
assimilation	asimilacija
assist	pomoč
assistance	pomoč
assistant	pomočnik
associate	sodelavec
association	združenje
assorted	izbrano
assortment	izbor
assuage	assuage
assume	domnevati
assumed	domnevajo
assuming	ob predpostavki
assumption	predpostavka
assurance	zagotovilo
assure	Zagotavljam
assured	Zagotovo
assuredly	zagotovo
asterisk	zvezdico
asteroid	asteroid
asteroids	asteroidi
asthma	astma
asthmatic	astmatično
astigmatism	astigmatizem
astonish	Presenetiti
astonished	začuden
astonishing	presenetljivo
astonishingly	NO TRANSLATION
astonishment	presenečenje
astound	presenečen
astral	astralno
astray	zabrisati
astringent	adstringent
astrologer	astrolog
astrology	astrologija
astronaut	astronavt
astronomer	astronom
astronomical	astronomsko
astronomy	astronomija
astute	preudarno
asunder	Spodaj
asylum	azil
asymmetric	asimetrična
asymmetry	asimetrija
asymptotic	asimptotični
atelier	atelje
atheism	ateizem
atheist	ateista
atheistic	ateistično
atherosclerosis	ateroskleroza
athlete	atlet
athletic	atletska
athleticism	atletika
athletics	atletika
atlas	atlas
atmosphere	atmosfero
atmospheric	atmosferski
atoll	atol
atom	atom
atomic	atomski
atone	atone
atonement	sprave
atpeace	atpeace
atrium	atrij
atrocious	grozno
atrocity	grozote
atrophy	atrofija
attach	priložite
attached	priložen
attachment	Priponka
attack	napad
attacker	napadalec
attacking	napadajo
attain	doseči
attainable	dosegljiv
attainment	doseganje
attempt	poskus
attempted	poskušal
attend	udeležiti se
attendance	prisotnost
attendant	spremljevalec
attention	pozornost
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pozoren
attenuate	oslabiti
attenuated	oslabljeno
attenuation	slabljenje
attest	potrditi
attestation	potrdilo
attic	mansarda
attire	Obleka
attitude	odnos
attorney	odvetnik
attract	privabiti
attraction	atrakcija
attractive	privlačen
attractiveness	privlačnost
attributable	pripisati
attribute	atribut
attribution	dodelitev
attrition	izguba
auburn	auburn
auction	dražbi
auctioneer	dražitelj
audacious	drzno
audacity	drznost
audible	slišno
audience	občinstvo
audio	avdio
audit	revizijo
audition	avdicija
auditions	avdicije
auditor	revizor
auditorium	avditorij
auditory	slušni
aught	Aught
augment	Povečanje
augmentation	povečanje
august	avgust
aunt	teta
auntie	Teta
aura	aura
aurora	Aurora
auspices	pokroviteljstvo
auspicious	Ugodno
austere	strogo
austerity	varčnosti
authentic	verodostojna
authenticate	avtentikacija
authentication	preverjanje pristnosti
authenticity	avtentičnost
author	avtor
authoritative	avtoritativni
authority	organ
authorization	dovoljenje
authorize	dovolite
authorized	dovoljeno
authorship	avtorstvo
autism	avtizem
autistic	avtistično
auto	avto
autobiographical	avtobiografski
autobiography	avtobiografija
autocorrect	samodejno popravljanje
autocratic	avtokratsko
autograph	avtogram
autographed	avtographed
automated	avtomatsko
automatic	avtomatsko
automobile	avtomobil
automotive	avtomobilska industrija
autonomy	avtonomija
autopilot	avtopilot
autopsy	obdukcija
autumn	jeseni
auxiliary	pomožni
avail	izkoristiti
availability	razpoložljivost
available	na voljo
avalanche	plaz
avarice	avarice
avatar	avatar
avenge	maščevanje
avenger	avenger
avenging	maščevanje
avenue	aveniji
aver	NO TRANSLATION
average	povprečje
aversation	NO TRANSLATION
averse	averse
averseness	Odsotnost
aversion	averzijo
avert	Preprečite
aviary	Aviarno
aviation	letalstvo
aviator	letalec
avid	navdušen
avocado	avokado
avoid	izogibajte se
avoidance	izogibanje
avoiding	izogibanje
await	čakaj
awake	buden
awaken	Prebudite se
awakening	prebujanje
award	nagrada
awards	nagrade
aware	se zaveda
awareness	ozaveščenost
awe	NO TRANSLATION
awed	awed
awesome	super
awesomeness	izjemno
awestruck	awestruck
awful	grozno
awkward	nerodno
awkwardness	nerodnost
awning	Tenda
awry	prekleto
axe	sekira
axial	aksialno
axiom	Aksiom
axiomatic	aksiomatsko
axis	osi
axle	os
ay	ay
aye	aye
azimuth	azimut
azure	modra
babble	Bubble
babbling	bruhanje
babe	babe
baboon	baboon
baby	otroka
babysit	babysit
babysitter	varuška
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	samec
bachelorette	bachelorette
back	nazaj
backboard	tabla
backbone	hrbtenica
backdoor	Zadnja vrata
backdrop	ozadje
backer	podpornik
backfire	povratni vžig
backgammon	Backgammon
background	ozadje
backhand	backhand
backhoe	bager
backoff	umakni se
backpack	nahrbtnik
backpacker	backpacker
backroom	zaprta soba
backseat	zadaj
backside	Zadnja stran
backtrack	vrnitev
backup	rezerva
backward	nazaj
backwardness	zaostalost
backwards	nazaj
backwater	povratna voda
backwoods	backwoods
backyard	dvorišče
bacon	slanina
bacteria	bakterije
bacterial	bakterij
bacterium	bakterija
bad	slab
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	značka
badger	badger
badhabit	NO TRANSLATION
badly	slabo
badness	slabost
baffle	baffle
baffled	zmeden
bag	vreča
bagel	bagel
baggage	prtljaga
baggie	baggie
baggy	vreča
bagman	bagman
bagpipes	vreče
bail	varščino
bailiff	sodni izvršitelj
bait	vaba
bake	pecivo
bakery	pekarna
baking	pečenje
bal	NO TRANSLATION
balance	ravnovesje
balanced	uravnotežen
balcony	balkon
bald	plešast
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	žoga
ballad	balada
ballast	balast
ballerina	balerina
ballet	balet
ballgame	ballgame
ballistic	balistično
ballistics	balistika
balloon	balon
ballot	glasovanje
ballpark	balon
ballplayer	ballplayer
ballpoint	kroglica
ballroom	dvorana
ballsy	žoga
balm	balzam
balmy	balzam
balsam	balzam
balsamic	balzamični
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banana
band	band
bandage	povoj
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	pasovno širino
bane	Bane
bang	bang
banger	banger
banish	izgnan
banished	izgnan
banishment	izgon
banister	Ploščica
banjo	banjo
bank	banka
banker	bankir
banking	bančništvo
bankroll	bankroll
bankrupt	stečaj
bankruptcy	stečaj
banner	banner
banquet	banket
banshee	Banshee
banter	banter
banzai	NO TRANSLATION
baptism	krst
baptismal	krst
baptize	krstiti
bar	bar
barb	Barb
barbarian	barbar
barbaric	barbarski
barbarism	barbarstvo
barbecue	žar
barbed	bodeča
barber	brivec
barbershop	brivnica
barbie doll	Barbie lutka
bard	Bard
bare	golo
bareback	bareback
barefoot	bosi
barely	komaj
barf	barf
bargain	Bargain
bargaining	pogajanja
barge	Barža
baritone	bariton
barium	barij
bark	lubje
barkeep	barkeep
barks	laja
barley	ječmen
barmaid	barman
barman	Barman
barn	skedenj
barnacle	barnacle
barney	Barney
barnyard	Barnyard
barometer	barometer
baron	baron
baroness	baronica
baroque	barok
barrack	barak
barracuda	barracuda
barrage	jeza
barred	prepovedano
barrel	sod
barren	neploden
barricade	barikada
barrier	pregrado
barring	zapora
barrister	barrister
barroom	barbar
barrow	barrow
bartender	natakar
barter	barter
base	bazo
baseball	baseball
baseball bat	baseball bat
baseboard	podnožje
baseless	neutemeljeno
baseline	izhodišče
baseman	baseman
basement	klet
bases	baze
bash	bash
bashful	skrivnost
basic	osnovno
basics	osnove
basil	bazilika
basilica	bazilika
basin	bazena
basis	osnove
bask	bask
basket	košara
basketball	košarka
bass	bas
bass guitar	bas kitara
basso	NO TRANSLATION
bassoon	fagot
bastard	prasec
bastarding	pankrt
bastards	prasci
bastion	bastion
bat	netopir
batch	serija
batching	seriranje
bate	NO TRANSLATION
bath	kopel
bathe	kopanje
bathhouse	kopališče
bathing	kopanje
bathrobe	kopalni plašč
bathroom	kopalnica
bathtub	kad
bathymetry	batimetrija
baton	palico
battalion	bataljon
batter	Testo
battered	uničen
battering	battering
battery	baterijo
battle	Bitka
battled	boril se je
battlefield	bojno polje
battleground	bojišče
battlements	zobje
battleship	bojni boj
batty	Batty
