Word	st
administrative	tsamaiso
administrator	mookameli
admirable	e babatsehang
admiral	admiral
admiralty	admiralty
admiration	tlhompho
admire	khahloa
admired	khahloa
admirer	lumela
admiring	ho lumela
admissibility	ho amoheleha
admissible	e amoheleha
admission	kamohelo
admit	lumela
admittance	ho amohela
admitted	a lumela
admitting	ho lumela
admixture	ho kenyelletsoa
admonition	keletso
ado	ado
adobe	adobe
adolescence	bocha
adolescent	mocha
adopt	amohela
adoption	ho amoheloa
adoptive	e amohelehang
adorable	e ratehang
adoration	khumamelo
adore	rata
adoring	ho rata
adorn	mokhabiso
adornment	mokhabiso
adrenalin	adrenalin
adrenaline	adrenaline
adrift	ho ba teng
adult	e moholo
adulterated	ba silafalitsoe
adulterer	sefebi
adultery	bofebe
adulthood	motho e moholo
advance	e tsoele pele
advanced	e tsoetseng pele
advancement	tsoelo-pele
advancing	ho hatela pele
advantage	molemo
advantageous	e molemo
advent	ho tla
adventure	ho ithabisa
adventurer	setsebi
adventures	li-adventures
adventurous	ba ratang
adversary	mohanyetsi
adverse	e mpe
adversity	mahlomola
advertise	phatlalatsa
advertisement	papatso
advertising	papatso
adverts	lipapatso
advice	keletso
advisable	e le bohlale
advise	eletsa
advised	e eletsoa
advisement	eletsa
adviser	moeletsi
advisor	moeletsi
advisory	keletso
advocacy	bobuelli
advocate	moemeli
aegis	aegis
aeration	aeration
aerial	sefofane
aerobics	aerobics
aerodrome	sefofane sa maoto
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	sefofane
aerospace	sebaka sa marulelo
aesthetic	boitlhahiso
aesthetics	aesthetics
aetiology	etiology
afar	hole
affable	e senyeha
affair	taba
affect	e ama
affecting	e amang
affection	lerato
affectionate	lerato
affections	litakatso
affiche	NO TRANSLATION
affidavit	bopaki
affiliated	ba kopantsoe
affiliation	ho ba le setsoalle
affinity	bonngoe
affirm	netefatsa
affirmation	tiiso
affirmative	ho tiisa
affirmatively	ho tiisa
affix	khaola
afflict	utloisa bohloko
afflicted	ba mahlomoleng
affliction	mahlomola
affluence	maruo
affluent	ba ruileng
afford	ho lefa
affordable	theko e tlaase
affront	affront
affronted	ho hlaseloa
afield	sebakeng seo
afire	shoa
afloat	a phatloha
afore	afore
aforementioned	e boletsoeng ka holimo
aforesaid	e boletsoeng ka holimo
afraid	tšaba
afresh	khafetsa
african	Afrika
aft	aft
afterlife	ka mor'a lefu
aftermath	ka morao
afternoon	thapama
aftershave	ka morao
aftertaste	kamor'a morao
afterthought	ho latela
aga	NO TRANSLATION
agape	agape
agate	agate
age	lilemo
aged	ba tsofetseng
agency	mokhatlo
agenda	ketsahalo
agent	moemeli
agglomeration	ho felisa
aggravate	mpefatsa
aggravated	e mpefalitsoe
aggravates	e mpefatsa
aggravating	ho mpefatsa
aggravation	ho senya
aggregate	kakaretso
aggregation	ho hlophisa
aggresive	NO TRANSLATION
aggression	pefo
aggressive	e mabifi
aggressively	ka mabifi
aggressiveness	bohale
aggressor	mohatelli
agh	agh
aghast	ho tsuba
aghhh	NO TRANSLATION
agile	agile
agility	bokhoni
aging	botsofali
agitate	ferekanya
agitated	ferekane
agitation	pherekano
aglow	hlahisa
agnostic	agnostic
ago	e fetileng
agonizing	bohloko
agony	bohloko
agoraphobia	agoraphobia
agree	lumellana
agreeable	lumellane
agreed	ba lumellane
agreeing	ho lumellana
agreement	tumellano
agressive	NO TRANSLATION
agricultural	temo
agriculture	temo
aground	mokoloko
agua	NO TRANSLATION
ahead	pele
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	mooy
aid	thuso
aide	mothusi
aiding	ho thusa
aids	lithuso
ail	ho joalo
ailing	ba kulang
ailment	ho kula
aim	sepheo
aimless	e se nang morero
air	moea
airbag	airbag
airborne	ho sesa
aircraft	lifofane
aircraft carrier	sephethephethe sa lifofane
airfield	lebala la lifofane
airhead	hlooho ea moea
airlift	sefofane sa lifofane
airline	sefofane sa lifofane
airliner	sefofaneng sa lifofane
airlock	airlock
airman	sefofane
airplane	sefofane
airport	boema-fofane
airs	lifofane
airship	sefofane
airspace	sebaka sa moea
airspeed	lifofane
airstrip	lebala la lifofane
airtight	ho fokola
airway	tsela ea sefofane
aisle	tsela
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	e tšoana le
alabaster	alabaster
alarm	alamo
alarm clock	alamo ea alamo
alarmed	ba tšohile
alarming	e tšosang
alas	bohloko
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	joala
alcoholic	joala
alcoholism	tahi ea tahi
alcove	joala
alderman	alderman
ale	NO TRANSLATION
alert	ela hloko
alertness	hlokolosi
alerts	litlhokomeliso
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	mojaki
alienate	arohana
alienated	ba arohane
alienation	ho arohana
alight	e fele
align	lumellana
aligned	e lumellane
alignment	alignment
alike	ka tsela e tšoanang
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	e phela
alkali	alkali
alkaloids	alkaloids
allay	khaola
allegation	nyeoe
allege	bolela
alleged	ho thoe
allegiance	botšepehi
allegorical	litšoantšiso
allegory	litšoantšo
allegro	allegro
allergic	ho hlasela
allergy	ho fokola
alleviate	fokotsa
alleviation	ho fokotsa
alley	seretse
alleyway	tseleng
alliance	bonngoe
allied	li kopantsoe
alligator	alligator
allocate	kabelo
allocation	kabelo
allot	allot
allotment	kabelo
allow	lumella
allowable	e amohelehang
allowance	kabelo
allowed	e lumeletsoe
alloy	alloy
allsmiles	NO TRANSLATION
allure	ho kheloha
alluring	ho khotsofatsa
allusion	ho bua
alluvial	alluvial
ally	molekane
almanac	almanac
almighty	ea matla 'ohle
almond	almond
aloft	phahama
aloha	aloha
alone	e le mong
alongside	haufi le
aloof	ho se tsotelle
aloud	holimo
alpha	alpha
alphabet	alfabeta
alphabetical	litlhaku tsa alfabeta
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	aletareng
altar boy	moshanyana oa aletare
alter	fetola
alteration	phetoho
altercation	phetoho
altered	e fetotsoe
alternate	ngoe
alternating	ho fetoha
alternative	mefuta e meng
altimeter	altimeter
altitude	bophahamong
alto	alto
altogether	ka ho feletseng
aluminum	aluminium
alumnus	alumnus
alveolar	holimo
alzheimers	NO TRANSLATION
amalgam	hlaka
amalgamation	ho kopana
amaretto	li-amaretto
amass	ema
amateur	ho ts'oara
amaze	makatsoa
amazed	ba makala
amazedness	NO TRANSLATION
amazement	makatsoa
amazing	e makatsang
amazingly	ho makatsang
ambassador	moemeli
amber	li-amber
ambience	boikutlo
ambient	ho ea holimo
ambiguity	ho hloka kutloisiso
ambiguous	ho sa tsotellehe
ambit	li-ambit
ambition	boikhohomoso
ambitious	ho rata maemo
ambivalent	e ambivalent
ambrosia	ambrosia
ambulance	ambulense
ambush	ba emetse
ameliorate	hlahisa tlhokomelo
amen	Amen
amenable	e khonehang
amend	fetola
amendment	ho fetoloa
amends	e fetisa
amenity	bonono
amethyst	amethyst
amiable	ea ratehang
amicable	e khahlehang
amid	har'a
amidst	har'a
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	lihlomo
amnesia	amnesia
amnesty	tšoarelo ea tšoarelo
amorous	e monate
amorphous	amorphous
amortization	amortization
amount	palo
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	li-amphibious
amphitheater	holo ea lipapali
ample	e lekaneng
amplification	ho hōlisa
amplify	eketsa
amplitude	boholo ba tsona
amply	haholo
amputate	khaola
amputation	ho khaola
amuck	e le hantle
amulet	amulet
amuse	khahlisa
amused	ho senyeha
amusement	boithabiso
amusing	ho monate
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	ho itšoara
anagram	anagram
anal	anal
analgesic	analgesic
analogous	e tšoana
analogue	analogue
analogy	ho tšoana
analysis	tlhahlobo
analyst	mohlahlobisisi
analytic	tlhahlobo
analytical	tlhahlobo
analyze	hlahloba
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	merusu
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	moholo-holo
ancestral	baholo-holo
ancestry	holo
anchor	ankora
anchorage	anchorage
ancient	ea boholo-holo
ancillary	ancillary
androgen	androgen
android	android
anecdote	anecdote
anemia	khaello ea mali
anemic	lefu la mali
anemone	anemone
anesthesia	anesthesia
anesthesiologist	setsebi sa likokoana-hloko
anesthetic	ho itšoara
aneurysm	aneurysm
anew	e ncha
angel	lengeloi
angelic	mangeloi
anger	bohale
angered	ho halefa
angermanagement	NO TRANSLATION
angina	angina
angiogram	pono ea angiogram
angiography	angiography
angle	angle
angling	angling
angora	angora
angriest	bohale
angry	khalefo
angrytweet	NO TRANSLATION
angst	angst
anguish	bohloko
anguished	o utloile bohloko
angular	e le 'ngoe
anhydrous	anhydrous
animal	phoofolo
animate	fofa
animated	lipapatso
animation	papali
animosity	lehloeo
animus	animus
ankle	ankle
anklet	anklet
annals	e tlaleha
annex	kakaretso
annexation	ho tlatsoa
annexe	NO TRANSLATION
annihilate	felisa
annihilated	felisoa
annihilation	ho timetsoa
anniversary	sehopotso
annotate	hlakola
annotation	tlhaloso
announce	phatlalatsa
announcement	phatlalatso
announcer	mohatlalatsi
annoy	ferekanya
annoyance	ho nyahama
annoyed	a halefile
annoyin	NO TRANSLATION
annoying	ho nyahamisa
annoys	e halefisa
annual	selemo le selemo
annuity	annuity
annul	hlakola
annular	annular
annulment	ho hlakola
annulus	hlakola
anointed	ba tlotsitsoeng
anointing	ho tlotsa
anomalous	anomalous
anomaly	ho fokola
anon	Anon
anonymity	ho se tsejoe
anonymous	e sa tsejoe
anorexic	anorexic
answer	araba
answerable	e utloahalang
answering	araba
ant	bohloa
antagonism	ho hanyetsa
antagonist	mohanyetsi
antagonistic	ho hanyetsa
antagonize	hanyetsa
ante	NO TRANSLATION
antecedent	ho hlakile
antelope	antelope
antenna	antenna
anterior	anterior
anthem	pina ea thoriso
anthill	ho bua
anthology	anthology
anthrax	anthrax
anthropological	anthropology
anthropologist	setsebi sa lipolotiki
anthropology	anthropology
anti	ho loantša
antiaircraft	lithibela-mafu
antibiotic	lithibela-mafu
antibiotics	lithibela-mafu
antichrist	mohanyetsi oa Kreste
anticipate	lebella
anticipation	ho lebella
anticipatory	ho lebelloa
antics	li-antics
antidote	antidote
antifungal	ho etsa joalo
antigravity	antigravity
antimony	antimone
antipathy	ho se tsotelle
antiquarian	antiquarian
antiquated	e tsoetse pele
antique	antique
antiques	li-antiques
antiquity	khale
antiseptic	li-antiseptic
antisocial	ho se tsotelle
antithesis	tšitiso
antithetical	antithetical
antiviral	thibela meriana
antler	ho bapala
antsy	antsy
anus	anus
anvil	sefuba
anxiety	ho tšoenyeha
anxietyattack	NO TRANSLATION
anxious	ho tšoenyeha
anxiousness	ho tšoenyeha
anytime	nako efe kapa efe
aorta	aorta
aortic	aortic
apace	kapele
apache	apache
apartment	folete
apartments	matlo
apathetic	ba se tsotelle
apathy	ho hloka thahasello
ape	mohala
aperture	ho bula
apex	sekoahelo
aphid	aphid
aphrodisiac	aphrodisiac
apiece	karoloana
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	ho hlasela
apologetic	ho kōpa tšoarelo
apologist	setsebi sa tumelo
apologize	kōpa tšoarelo
apology	ho kōpa tšoarelo
apostasy	bokoenehi
apostate	bakoenehi
apostle	moapostola
apostolic	baapostola
apostrophe	apostrophe
apothecary	apothecary
appalled	e maketse
appalling	e tšosang
apparatus	lisebelisoa
apparel	seaparo
apparent	ho bonahala
apparently	ho hlakile
apparition	ho hlaha
appeal	boipiletso
appear	hlaha
appearance	ponahalo
appease	khahlisa
appellant	moemeli
append	kenya letsoho
appendage	ho kenya letsoho
appendectomy	appendectomy
appendicitis	ho kenya letsoho
appendix	sehlomathiso
appetite	takatso ea lijo
appetizer	mofuthu
appetizing	e khahlehang
applaud	ho opa
applause	ho opa liatla
apple	apole
apple juice	lero la apole
applejack	applejack
applesauce	applesauce
appliance	sesebelisoa
appliances	lisebelisoa
applicability	ho sebetsa
applicable	e sebetsa
applicant	mofuputsi
application	kopo
apply	sebetsa
appoint	khetha
appointment	kopano
appointments	likhetho
apportion	ho arolelana
apportionment	ho aroloa
appraisal	hlahloba
appraise	bapisa
appreciable	ho ananela
appreciate	ananela
appreciated	e ananeloa
appreciates	oa ananela
appreciation	kananelo
appreciative	ho ananela
apprehend	tšoara
apprehension	ho tšoha
apprehensive	ho tšoha
apprentice	ithute
apprenticeship	ho ithuta
approach	atamela
approaching	e atamela
approbate	NO TRANSLATION
approbation	ho amoheloa
appropriate	e loketse
appropriation	thepa
approval	ho amoheloa
approve	lumela
approved	e amohelehang
approvement	ho amoheloa
approving	ho amohela
approximate	hoo e ka bang
approximately	hoo e ka bang
approximating	ho lekanyelitsoe
approximation	kakaretso
appurtenances	matlotlo
apricot	mabolilane
apron	apron
apt	apt
aptitude	bokhoni
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	metsing
aqueduct	metsi
aqueous	aqueous
arable	arable
arbiter	ho hanyetsa
arbitrary	ho hanyetsa
arbitrate	ho ahlola
arbitration	ho hanana
arbitrator	arbitrator
arbor	sekepe
arc	arc
arcade	Arcade
arcane	arcane
arch	mohaho
archaeological	baepolli ba lintho tsa khale
archaeologist	moepolli oa lintho tsa khale
archaeology	ho epolloa ha lintho tsa khale
archaic	sekhetho sa khale
archangel	lengeloi le ka sehloohong
archbishop	moarekabishopo
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	motlakase
archery	ho phunyeletsa
archetype	archetype
archipelago	lihlekehleke
architect	moqapi
architectural	mehaho
architecture	ho haha
archive	archive
arctic	sepakapaka
ardent	e matla
ardor	khatello
arduous	e thata
area	sebakeng seo
arena	lebala la lipapali
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	holimo
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	pheha khang
argument	khang
argumentation	phehisano
argumentative	ho ngangisana
arguments	likhang
arid	e omileng
arise	tsoha
aristocracy	lichaba tse phahameng
aristocrat	mohlomphehi
aristocratic	e nang le bokhabane
arithmetic	arithmetic
ark	areka
arm	letsoho
armada	armada
armament	matsoho
armaments	lihlomo
armature	liphahlo
armchair	setulo sa lihlomo
armed	ba hlometse
armor	lihlomo
armored	lihlomo
armory	lihlomo
armpit	mofomo
arms	matsoho
army	lebotho
aroma	monko o monate
aromatherapy	aromatherapy
arousal	tsosa
arouse	tsosoa
aroused	e tsohile
arraignment	ho loantša
arrange	lokisetsa
arranged	e hlophisitsoeng
arrangement	tokisetso
array	mefuta
arrears	likoloto tsa morao
arrest	ho tšoaroa
arrhythmia	arrhythmia
arrival	ho fihla
arrive	fihla
arrogance	boikhohomoso
arrogant	boikhohomoso
arrow	motsu
arsehole	ho hlasela
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	mochopho
arsonist	setsebi sa maiketsetso
art	bonono
arterial	ho fetoha
artery	mochine
artful	tse ntle
arthritis	ramatiki
arthropod	arthropod
artichoke	artichoke
article	sehlooho
articles	lihlooho
articulate	hlahisa maikutlo
articulation	polelo
artifact	sekontiri
artifice	ho khabisa
artificial	maiketsetso
artillery	libetsa tsa ntoa
artisan	setsebi sa mesebetsi
artist	setsebi
artiste	NO TRANSLATION
artistic	bonono
artistry	bonono
artists	baetsi ba litšoantšo
artwork	litšoantšo
arty	motsoako
asap	ka pele ka potlako
asbestos	asbestos
ascend	nyolohela
ascendancy	ho nyolohela holimo
ascendant	ascending
ascending	ho nyoloha
ascension	ho nyoloha
ascent	ho nyolohela
ascertain	netefatsa
ascertained	ho netefatsoa
ascetic	ho ithabisa
ash	molora
ashamed	lihlong
ashes	molora
ashtray	ashtray
asinine	asinine
ask	botsa
asleeep	NO TRANSLATION
asleep	o robetse
asp	asp
asparagus	asparagase
aspartame	aspartame
aspect	tšobotsi
aspects	likarolo
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	likephyxiation
aspiration	takatso
aspire	lakatsa
aspirin	aspirin
aspiring	ho lakatsa
ass	esele
assail	ho hlasela
assailant	sehlaseli
assassin	mothetsi
assassinate	bolaea
assassination	ho bolaoa
assault	tlhaselo
assay	leka
assemblage	bokella
assemble	bokana
assembled	ba bokane
assembly	kopano
assemblyman	mookameli
assent	lumela
assert	tiisa
asserting	ho tiisa
assertion	ho tiisa
assertive	e tiileng
assess	hlahloba
assessment	tlhahlobo
assessor	mofuputsi
asset	thepa
assets	thepa
asshole	Sebono
assign	abela
assignee	assignee
assignment	kabelo
assimilate	etsa joalo
assimilation	ho ikamahanya
assist	thusa
assistance	thuso
assistant	mothusi
associate	motsoalle
association	botsoalle
assorted	e tšehetsoeng
assortment	litšepe
assuage	tsuba
assume	nahana
assumed	ho nahanoa joalo
assuming	ho nahana
assumption	ho nahana
assurance	tiisetso
assure	tiisa
assured	kholisehile
assuredly	ka sebele
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	makatsoe
astonished	ba makala
astonishing	e makatsang
astonishingly	NO TRANSLATION
astonishment	makatso
astound	ho makatsa
astral	astral
astray	ho kheloha
astringent	astringent
astrologer	senohe
astrology	bonohe ba linaleli
astronaut	astronaut
astronomer	setsebi sa linaleli
astronomical	tsa linaleli
astronomy	sa linaleli
astute	e hlollang
asunder	ho fapana
asylum	sebaka sa bolulo
asymmetric	e sa lekanyetsoang
asymmetry	asymmetry
asymptotic	asymptotic
atelier	workshop
atheism	ho se lumele ho Molimo
atheist	atheist
atheistic	ea sa lumeleng hore Molimo o teng
atherosclerosis	atherosclerosis
athlete	moatlelete
athletic	baatlelete
athleticism	boithabiso
athletics	lipapali tsa lipapali
atlas	atlas
atmosphere	sepakapaka
atmospheric	sepakapaka
atoll	atoll
atom	athomo
atomic	athomo
atone	ho nyefola
atonement	ho koahela libe
atpeace	atpeace
atrium	atrium
atrocious	e bohale
atrocity	ho ferekana
atrophy	atrophy
attach	hokela
attached	e khomaretsoe
attachment	sethoathoa
attack	tlhaselo
attacker	mohlaseli
attacking	ho hlasela
attain	finyella
attainable	e fumanehang
attainment	ho fumana
attempt	teko
attempted	leka
attend	ba teng
attendance	ho ba teng
attendant	mohlanka
attention	hlokomela
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ela hloko
attenuate	hanela
attenuated	ho fokotsoa
attenuation	ho thibela
attest	ho paka
attestation	bopaki
attic	marulelo
attire	liaparo
attitude	boikutlo ba bona
attorney	'muelli oa molao
attract	hohela
attraction	khahloa
attractive	e khahlehang
attractiveness	khahleho
attributable	e ka fumanoang
attribute	tšobotsi
attribution	kabelo
attrition	mekhoa ea boipheliso
auburn	auburn
auction	auction
auctioneer	morekisi
audacious	ba sebete
audacity	ho hloka matla
audible	utloahala
audience	bamameli
audio	mohala
audit	tlhahlobo
audition	tlhaloso
auditions	litlhaloso
auditor	moqolotsi oa libuka
auditorium	holo
auditory	ho hlahloba
aught	ho joalo
augment	eketsa
augmentation	augmentation
august	ka August
aunt	'Mangoane
auntie	auntie
aura	aura
aurora	aurora
auspices	auspices
auspicious	auspicious
austere	e sa tloaelehang
austerity	mokoloko
authentic	e nepahetse
authenticate	nete
authentication	bopaki
authenticity	botšepehi
author	mongoli
authoritative	ea nang le matla
authority	matla
authorization	tumello
authorize	lumella
authorized	ba lumelloa
authorship	bongoli
autism	autism
autistic	autistic
auto	sekoloi
autobiographical	boikutlo ba bona
autobiography	autobiography
autocorrect	e ikemetseng
autocratic	ea boipheliso
autograph	autograph
autographed	Autographed
automated	e tsoetseng pele
automatic	e itekanetse
automobile	koloi
automotive	likoloi
autonomy	boipuso
autopilot	motlakase
autopsy	autopsy
autumn	hoetla
auxiliary	ba thusang
avail	e fumaneha
availability	ho fumaneha
available	e teng
avalanche	li-avalanche
avarice	li-avarice
avatar	avatar
avenge	iphetetsa
avenger	mopheteletsi
avenging	ho iphetetsa
avenue	tsela
aver	NO TRANSLATION
average	karolelano
aversation	NO TRANSLATION
averse	hanyenyane
averseness	khethollo
aversion	ho ferekana
avert	khaotsa
aviary	aviary
aviation	lifofane
aviator	aviator
avid	bohale
avocado	avocado
avoid	qoba
avoidance	ho qoba
avoiding	ho qoba
await	letetse
awake	tsoha
awaken	tsosa
awakening	tsosa
award	moputso
awards	likopano
aware	hlokomela
awareness	tlhokomeliso
awe	NO TRANSLATION
awed	khahleha
awesome	e tsotehang
awesomeness	ho tšabeha
awestruck	ho makatsa
awful	e mpe
awkward	ho sa tsotellehe
awkwardness	ho sa tsotellehe
awning	ho tsuba
awry	hanyenyane
axe	lekhala
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	sehlahisoa
axle	setsi
ay	ay
aye	aye
azimuth	azimuth
azure	hlahisa
babble	bonyang
babbling	ho bua
babe	ngoana
baboon	baboon
baby	lesea
babysit	babysit
babysitter	babysitter
baccalaureate	bolokolohi
baccarat	baccarate
bachelor	sebete
bachelorette	Bachelorette
back	morao
backboard	ka morao
backbone	morao-rao
backdoor	lemati le ka morao
backdrop	morao-rao
backer	motšehetsi
backfire	ho khutlela morao
backgammon	backgammon
background	mokokotlo
backhand	boloka
backhoe	backhoe
backoff	mokokotlo
backpack	mokotlana oa tšepe
backpacker	backpacker
backroom	kamoreng e ka morao
backseat	morao-rao
backside	ka morao
backtrack	morao morao
backup	ho boloka
backward	ka morao
backwardness	ho khutlela morao
backwards	ka morao
backwater	morao ka morao
backwoods	backwoods
backyard	ka morao
bacon	nama ea fariki
bacteria	libaktheria
bacterial	libaktheria
bacterium	baktheria
bad	e mpe
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	beche
badger	badger
badhabit	NO TRANSLATION
badly	hampe
badness	bobe
baffle	baffle
baffled	ba tsielehile
bag	mokotla
bagel	bagel
baggage	Thepa
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	li-bagpipes
bail	teile
bailiff	mosieletsi
bait	bait
bake	bake
bakery	bakery
baking	ho baka
bal	NO TRANSLATION
balance	ho leka-lekanya
balanced	e leka-lekaneng
balcony	lebone
bald	moriri
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bolo
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	ballon
ballot	khetho
ballpark	ballpark
ballplayer	ballplayer
