Word	haw
adjournment	hoʻopaneʻe
adjudicate	hoʻoponopono
adjudication	hoʻoponoponoʻana
adjunct	hoʻopunct
adjust	hoʻololi
adjuster	hoʻoponopono
adjustment	hoʻololi
adjuvant	adjuvant
admin	Luna
administer	e lawelawe
administration	ka administration
administrative	ka hoʻolālā
administrator	luna hoʻomalu
admirable	maikaʻi
admiral	admiral
admiralty	admiralty
admiration	mahalo
admire	mahalo
admired	mahaloʻia
admirer	mahalo
admiring	mahalo
admissibility	kaʻaeʻana
admissible	hiki keʻae
admission	komo
admit	eʻae
admittance	ke komoʻana
admitted	eʻae
admitting	eʻaeʻia
admixture	nā mea pāʻani
admonition	aʻo aʻo
ado	hilahila
adobe	ke keiki
adolescence	'ōpiopio
adolescent	'ōpio
adopt	eʻae
adoption	'ōlelo hoʻohui
adoptive	ke adoptive
adorable	maikaʻi
adoration	mahalo
adore	aloha
adoring	hoʻomana
adorn	hoʻonani
adornment	nā mea hoʻonani
adrenalin	adrenalin
adrenaline	adrenaline
adrift	hoʻopiʻi
adult	makua
adulterated	ua moekolohe
adulterer	ka moekolohe
adultery	moekolohe
adulthood	ke kāne makua
advance	hele mua
advanced	kūlana kiʻekiʻe
advancement	holomua
advancing	hele
advantage	maikaʻi
advantageous	maikaʻi
advent	hele mai
adventure	kūlana
adventurer	ka mea kūʻai
adventures	nā hanana
adventurous	nā meaʻeleʻele
adversary	ke kū'ē
adverse	ke kū'ē
adversity	pilikia
advertise	hoʻolaha
advertisement	pāʻani
advertising	hoʻolaha hoʻolaha
adverts	hoʻolaha
advice	'ōlelo aʻo
advisable	kūpono
advise	'ōlelo aʻo
advised	'ōlelo aʻo
advisement	kūkā
adviser	mea kuhikuhi
advisor	kūkā
advisory	ke kuhikuhi
advocacy	kūkā
advocate	ke kākā'ōlelo
aegis	aegis
aeration	ke aeration
aerial	aerial
aerobics	nāʻaeʻa
aerodrome	ka holo kaʻa
aerodynamic	ke ea honua
aerodynamics	ke ea honua
aeronautics	nā mea āpau
aeroplane	mokulele
aerospace	aerospace
aesthetic	maikaʻi
aesthetics	aesthetics
aetiology	aetiology
afar	mamao
affable	affable
affair	ka hihia
affect	pili
affecting	e pili ana
affection	aloha
affectionate	aloha
affections	aloha
affiche	NO TRANSLATION
affidavit	ka affidavit
affiliated	pili pū
affiliation	pili
affinity	aloha
affirm	hōʻike
affirmation	hōʻike
affirmative	ʻoiaʻiʻo
affirmatively	ʻoiaʻiʻo
affix	pākuʻi
afflict	e pilikia ana
afflicted	pilikia
affliction	pilikia
affluence	ka waiwai
affluent	huawai
afford	uku
affordable	kūpono
affront	ka paʻi
affronted	ua kū'ē
afield	e pili ana
afire	afire
afloat	pā
afore	mamua
aforementioned	i'ōlelo muaʻia
aforesaid	i olelo mua ia
afraid	makaʻu
afresh	hou
african	african
aft	mamua
afterlife	mahope olaila
aftermath	mahope
afternoon	awakea
aftershave	i hope
aftertaste	mahope
afterthought	mahope
aga	NO TRANSLATION
agape	agape
agate	agate
age	makahiki
aged	kaʻelemakule
agency	hui
agenda	ka papahana
agent	luna
agglomeration	keʻaʻa
aggravate	ua hoʻonāukiukiʻia
aggravated	ua hoʻonāukiukiʻia
aggravates	nā hōʻehaʻeha
aggravating	hoʻopilikia
aggravation	ʻo ka hoʻonāukiuki
aggregate	hōʻuluʻulu
aggregation	huihuʻi
aggresive	NO TRANSLATION
aggression	huhū
aggressive	kūpaʻa
aggressively	me ka huhū
aggressiveness	ke kūpaʻa
aggressor	kauā
agh	a
aghast	ke kaua
aghhh	NO TRANSLATION
agile	agile
agility	ʻoluʻolu
aging	keʻelemakule
agitate	e hoʻonāukiuki
agitated	ua nui ka huhū
agitation	ka hoʻonāukiuki
aglow	pākī
agnostic	'agnostic
ago	hala aku nei
agonizing	eʻona
agony	eha
agoraphobia	agoraphobia
agree	eʻae
agreeable	ʻoluʻolu
agreed	ʻaeʻia
agreeing	'āpono
agreement	ʻaelike
agressive	NO TRANSLATION
agricultural	mahiʻai
agriculture	ka mahiʻai
aground	hoʻopiliʻia
agua	NO TRANSLATION
ahead	mamua
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	kōkua
aide	kōkua
aiding	kōkua
aids	nā mea kōkua
ail	ail
ailing	maʻi
ailment	maʻi
aim	manaʻo
aimless	keʻole
air	ea
airbag	airbag
airborne	ke ea
aircraft	mokulele
aircraft carrier	ka mea ea
airfield	ea
airhead	ke ea
airlift	ke ea
airline	airline
airliner	airliner
airlock	ea
airman	airman
airplane	mokulele
airport	airport
airs	ea
airship	ke ea
airspace	mokumoku
airspeed	mokumoku
airstrip	makapō
airtight	ke ea
airway	ke ea
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	alarm
alarm clock	ka uaki alarm
alarmed	haʻalulu
alarming	haʻalulu
alas	alas
alb	NO TRANSLATION
albatross	kele
albino	albino
album	album
alchemy	ke aliʻi
alcohol	ka waiʻona
alcoholic	ka waiʻona
alcoholism	ka waiʻona
alcove	ka hoʻohako
alderman	alderman
ale	NO TRANSLATION
alert	ʻike
alertness	ʻike
alerts	nā leka
alfalfa	alfalfa
algebra	algebra
algebraic	algebra
algorithm	algorithm
alias	inoa inoa
alibi	alibi
alien	malihini
alienate	ke kū'ē
alienated	malihini
alienation	ke kūkā
alight	ke ala
align	ke kaulike
aligned	hoʻopiliʻia
alignment	ke kaulike
alike	like
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	ola
alkali	alkali
alkaloids	alkaloids
allay	kūmau
allegation	palapala hōʻaia
allege	olelo aku
alleged	ua'ōleloʻia
allegiance	ke kūkā
allegorical	ke kūlike
allegory	keʻano
allegro	kalo
allergic	maʻi maʻi
allergy	maʻi pāʻani
alleviate	hoʻohaʻahaʻa
alleviation	hoʻoponopono
alley	ala
alleyway	ala ala
alliance	hoʻohui
allied	hui pūʻia
alligator	alligator
allocate	hoʻokaʻawale
allocation	hoʻokaʻawale
allot	alahele
allotment	wahi'āpana
allow	ʻae
allowable	allowable
allowance	haʻawina
allowed	ʻaeʻia
alloy	paupili
allsmiles	NO TRANSLATION
allure	hoʻopau
alluring	mālama
allusion	makemake
alluvial	paukū
ally	hoa
almanac	almanac
almighty	mana loa
almond	almond
aloft	aloft
aloha	aloha
alone	hoʻokahi wale nō
alongside	ma kahi kokoke
aloof	aloa
aloud	nui
alpha	alpha
alphabet	huapalapala
alphabetical	huapalapala
alpine	alpine
alreadyyyyy	aiaiaiaiaiaiaia
altar	kuahu
altar boy	keiki kāne kuahu
alter	e hoʻololi
alteration	ke hoʻololi
altercation	ke hoʻololi
altered	ua hoʻololiʻia
alternate	Eia kekahi
alternating	keʻano
alternative	ʻokoʻa
altimeter	ke kiʻekiʻe
altitude	ke kiʻekiʻe
alto	Pau
altogether	pau loa
aluminum	aluminika
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	hui pū
amaretto	nā papa kuhikuhi
amass	hoʻonui
amateur	makemake
amaze	ʻike
amazed	kūhāhā
amazedness	NO TRANSLATION
amazement	ʻikea
amazing	mea kupaianaha
amazingly	hanana
ambassador	kaʻelele
amber	amber
ambience	hiʻona
ambient	ana
ambiguity	hiʻi
ambiguous	hiʻona
ambit	ambit
ambition	makemake
ambitious	makemake
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	hale kaʻa
ambush	hilinaʻi
ameliorate	ke hoʻonuiʻia
amen	amene
amenable	amenable
amend	hoʻoponopono
amendment	hoololi
amends	hoʻoponopono
amenity	maikaʻi
amethyst	amethyst
amiable	mahalo
amicable	maikaʻi
amid	ma waena
amidst	ma waenakonu
amino	amino
ammo	ammo
ammonia	amonia
ammonium	ammonium
ammunition	nā mea kaua
amnesia	amnesia
amnesty	hoʻomalu
amorous	maikaʻi
amorphous	amorphous
amortization	amortization
amount	nui
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	nui
amplification	hoʻonui
amplify	e hoʻonui
amplitude	amplitude
amply	ʻoiai
amputate	amputate
amputation	ʻoho
amuck	amuck
amulet	amulet
amuse	ʻoliʻoli
amused	hauʻoli
amusement	leʻaleʻa
amusing	pāʻani
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	maikaʻi
anagram	ana
anal	anal
analgesic	analgesic
analogous	like like
analogue	analogue
analogy	ʻike
analysis	ʻikepili
analyst	mea hoʻopuka
analytic	ka mea'eneke
analytical	hoʻopākāka
analyze	e hoʻopili
analyzer	hoʻoponopono
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	hōʻai'ē
anatomic	anatomic
anatomy	anatomia
ancestor	kupuna
ancestral	kūpuna
ancestry	kūpuna
anchor	he heleuma
anchorage	ke kuʻuna
ancient	kahiko
ancillary	ke kuhi
androgen	Androgen
android	wiki
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	maikaʻi
aneurysm	anerysm
anew	hou
angel	'ānela
angelic	'ānela
anger	huhū
angered	huhū
angermanagement	NO TRANSLATION
angina	ʻO Angina
angiogram	nā angiogram
angiography	ʻike wikiwiki
angle	ka lōʻihi
angling	kūkā
angora	angora
angriest	ʻo ia ke kahuna
angry	huhū
angrytweet	NO TRANSLATION
angst	ʻo ia
anguish	eha
anguished	pōʻino
angular	ke poʻo
anhydrous	anhydrous
animal	holoholona
animate	wikiwiki
animated	wikiwiki
animation	wikiwiki
animosity	haunaele
animus	animus
ankle	ka wāwae
anklet	anklet
annals	nā hōʻike
annex	annex
annexation	ka hoʻohui'āina
annexe	NO TRANSLATION
annihilate	lukuʻia
annihilated	lukuʻia
annihilation	luku
anniversary	lā hoʻomanaʻo
annotate	hōʻike makahiki
annotation	hōʻike manaʻo
announce	e haʻi
announcement	hoʻolaha
announcer	hoʻolaha
annoy	huhū
annoyance	hōʻehaʻeha
annoyed	ua huhū
annoyin	NO TRANSLATION
annoying	hoʻonāukiuki
annoys	hōʻino
annual	makahiki
annuity	ka uku makahiki
annul	hoʻopau
annular	makahiki
annulment	hoʻopauʻia
annulus	hoʻopau
anointed	i poniʻia
anointing	ka poniʻana
anomalous	ʻaʻole pono
anomaly	anomaly
anon	anon
anonymity	anonymity
anonymous	inoaʻole
anorexic	ʻO ka meaʻole
answer	pane
answerable	ʻikeʻia
answering	pane mai
ant	w
antagonism	antagonism
antagonist	ka mea kū'ē
antagonistic	ke kū'ē
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antenna
anterior	anamua
anthem	mele
anthill	ke kuʻi
anthology	nā moʻolelo
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	kū'ē
antiaircraft	hana hoʻopunipuni
antibiotic	huakikī
antibiotics	nā lāʻauʻokoʻa
antichrist	anikristo
anticipate	e manaʻo mua
anticipation	ke kūlana
anticipatory	ke kūlana
antics	nā hōʻailona
antidote	'ōlelo hōʻole
antifungal	antifungal
antigravity	ke kū'ē'ē
antimony	huahua
antipathy	ke hōʻole
antiquarian	ka antiquarian
antiquated	ke kuʻuna
antique	kahiko
antiques	nā mea kahiko
antiquity	kahiko
antiseptic	maʻi hōʻailona
antisocial	ke kū'ē'ē
antithesis	ke kū'ē
antithetical	ʻano hōʻailona
antiviral	ke antiviral
antler	anuhea
antsy	ante
anus	anus
anvil	pākuʻi
anxiety	hopohopo
anxietyattack	NO TRANSLATION
anxious	makemake
anxiousness	manaʻo nui
anytime	i kekahi manawa
aorta	aorta
aortic	aortic
apace	ākea
apache	apache
apartment	hale
apartments	nā hale kūʻai
apathetic	maikaʻiʻole
apathy	ʻo ka pīhoihoi
ape	ape
aperture	puka
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	apiece
aplomb	aplomb
apocalypse	ke apocalypse
apocalyptic	apocalyptic
apologetic	ke aloha
apologist	apologist
apologize	e kala aku
apology	ke apo
apostasy	ʻo ka apostasy
apostate	ka mea haʻalele
apostle	ka aposetolo
apostolic	ka apostolic
apostrophe	ʻO ka apostrophe
apothecary	apothecary
appalled	haʻohaʻo
appalling	auhea
apparatus	nā mea hana
apparel	ka lole
apparent	maopopo
apparently	maopopo
apparition	ʻike
appeal	hoopii
appear	ʻikeʻia
appearance	ʻike
appease	hoʻomaha
appellant	ka mea noi
append	hoʻopili
appendage	hoʻoponopono
appendectomy	ʻike inoa
appendicitis	Appendicitis
appendix	hoʻopau
appetite	makemake
appetizer	makemake
appetizing	makemake
applaud	hoʻopōmaikaʻi
applause	hāmama
apple	apple
apple juice	'ōpona wai
applejack	applejack
applesauce	appleauce
appliance	mea hana
appliances	nā mea kani
applicability	pono
applicable	kūpono
applicant	ka mea noi
application	polokalamu noi
apply	noi
appoint	koho
appointment	ke koho
appointments	nā koho
apportion	māhele
apportionment	maheleʻana
appraisal	ʻike
appraise	ʻike wikiwiki
appreciable	mahalo
appreciate	mahalo
appreciated	mahaloʻia
appreciates	mahalo
appreciation	mahalo
appreciative	mahalo
apprehend	ʻike
apprehension	ʻike
apprehensive	e hopohopo
apprentice	haumana
apprenticeship	ke aʻoʻana
approach	hoʻokokoke
approaching	kokoke
approbate	NO TRANSLATION
approbation	ka'āponoʻana
appropriate	kūpono
appropriation	haawina
approval	'āpono
approve	'āpono
approved	ua'āponoʻia
approvement	hoʻolālā
approving	'āpono
approximate	kokoke
approximately	kokoke
approximating	kokoke
approximation	kokoke
appurtenances	nā mea pili
apricot	apricot
apron	apron
apt	apt
aptitude	aptitude
aqua	ka wai
aquamarine	aquamarine
aquarium	aquarium
aquatic	nā'auwaʻa
aqueduct	ke alawai
aqueous	aqueous
arable	arable
arbiter	ka mea hoʻoholo
arbitrary	me keʻanoʻole
arbitrate	hoʻokolokolo
arbitration	ka hoʻokuʻu
arbitrator	kūkā
arbor	arbor
arc	arc
arcade	ka pahu mele
arcane	ke kino
arch	ke kiko
archaeological	ke kahawai
archaeologist	ke kanaka hulihonua
archaeology	archaeology
archaic	ke kīʻaha
archangel	ka'ānela
archbishop	ka 'ahapihopa
archdiocese	archdiocese
archduke	archduke
arched	kākoʻo
archer	pana pua
archery	pana pua
archetype	archetype
archipelago	ka pae moku
architect	hale hoʻolālā
architectural	hale hoʻolālā
architecture	hale hana
archive	waihona
arctic	arctic
ardent	nā mea koʻikoʻi
ardor	ikaika
arduous	hoʻopilikia
area	wahi
arena	arena
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ke kumu
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ke hoʻopaʻapaʻa
argument	ka pane
argumentation	ʻike
argumentative	ʻike
arguments	nā pane
arid	ala
arise	e ala
aristocracy	ke kuhi
aristocrat	ke kūʻana
aristocratic	ke kaulike
arithmetic	helu helu
ark	ka hale
arm	lima
armada	armada
armament	mea kaua
armaments	nā mea kaua
armature	kāʻei
armchair	ka hoʻokipa
armed	nā mea kaua
armor	nā mea kaua
armored	ka pale kaua
armory	hale kāhiko
armpit	ke kū
arms	nā mea kaua
army	koa
aroma	ka meaʻala
aromatherapy	nā meaʻono
arousal	manaʻo nui
arouse	ho'āla
aroused	ho'ālaʻia
arraignment	hoʻopiʻi
arrange	hoʻonohonoho
arranged	hoʻonohonoho
arrangement	hoʻonoho 'ana
array	papa
arrears	ka hope
arrest	hopu
arrhythmia	arrhythmia
arrival	hiki mai
arrive	hōʻea
arrogance	haʻaheo
arrogant	ka haʻaheo
arrow	pua
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	ke ahi
arsonist	arsonist
art	ʻoihana
arterial	keʻano
artery	ke ana
artful	hihihihi
arthritis	maʻi
arthropod	ke āpau
artichoke	artichoke
article	'ōlelo
articles	nāʻatikala
articulate	kūkā
articulation	ka hui
artifact	ke kiʻi
artifice	ke kumu
artificial	hana hoʻopunipuni
artillery	keaka mele
artisan	paʻahana
artist	kauka
artiste	NO TRANSLATION
artistic	ʻikeʻoihana
artistry	ʻoihana
artists	nā mea hoʻolale
artwork	hana hana
arty	ke kumu
asap	asap
asbestos	asbestos
ascend	piʻi aʻe
ascendancy	piʻi kiʻekiʻe
ascendant	piʻi
ascending	piʻi piʻi
ascension	piʻi i ka piʻi
ascent	piʻi
ascertain	ʻike
ascertained	ʻikeʻia
ascetic	piʻi
ash	'ōpala
ashamed	hilahila
ashes	ka lehu
ashtray	ashtray
asinine	asinine
ask	nīnau
asleeep	NO TRANSLATION
asleep	hiamoe
asp	asp
asparagus	'Akopa
aspartame	aspartame
aspect	hiʻohiʻona
aspects	nā hiʻohiʻona
aspen	aspen
asphalt	ka pulu
asphyxia	asphyxia
asphyxiation	ke asphyxiation
aspiration	ka hopena
aspire	likep
aspirin	aspirin
aspiring	makemake
ass	ass
assail	ke kaua
assailant	kauā
assassin	pepehi kanaka
assassinate	pepehi
assassination	pepehi kanaka
assault	Limanui
assay	ka hopena
assemblage	hui
assemble	e'ākoakoa
assembled	i akoakoa
assembly	hui
assemblyman	ka hui
assent	eʻae
assert	e'ōlelo
asserting	e hōʻike ana
assertion	ʻike
assertive	ʻike
assess	ʻike
assessment	ʻike
assessor	ka Luna Helu
asset	waiwai
assets	waiwai
asshole	asshole
assign	koho
assignee	helignee
assignment	hana
assimilate	kūkā
assimilation	ka hopena
assist	kōkua
assistance	kōkua
assistant	kōkua
associate	hoa hui
association	hui
assorted	hoʻopiliʻia
assortment	hui
assuage	'ānā
assume	lawe
assumed	ua paʻa
assuming	manaʻo
assumption	manaʻo
assurance	ʻike
assure	hōʻoia
assured	Ua hōʻoia
assuredly	ʻoiaʻiʻo
asterisk	kiʻi
asteroid	kekaha
asteroids	nā asteroids
asthma	hānai
asthmatic	asthmatic
astigmatism	ʻo ka astigmatism
astonish	e kahaha
astonished	he mahāhā
astonishing	hāhāhā
astonishingly	NO TRANSLATION
astonishment	Kahaha
astound	he kupaianaha
astral	astral
astray	ua hewa
astringent	astringent
astrologer	ka mea hōʻailona
astrology	hōkū
astronaut	hika
astronomer	hōkū
astronomical	astronomical
astronomy	hōkū hōkū
astute	ʻo ke akamai
asunder	i lalo
asylum	hale noho
asymmetric	e like me ka mea maʻamau
asymmetry	ke kūmākī
asymptotic	asymptotic
atelier	nā kaulike
atheism	atheism
atheist	atheist
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	kanaka pāʻani
athletic	pāʻani
athleticism	ka pāʻani
athletics	nā mea pāʻani
atlas	atlas
atmosphere	ka lewa
atmospheric	ka honua
atoll	Apana
atom	ʻokoʻa
atomic	ana
atone	e kala
atonement	kalahala
atpeace	e
atrium	atrium
atrocious	ʻokoʻa
atrocity	paʻaʻole
atrophy	ke atrophy
attach	pākuʻi
attached	hoʻopiliʻia
attachment	hoʻopili
attack	ke kaua
attacker	hoahewa
attacking	kū'ē
attain	e loaʻa
attainable	hiki ke kiʻi
attainment	loaʻa
attempt	ho'āʻo
attempted	ho'āʻo
attend	e hele
attendance	hele
attendant	kahu
attention	e nānā
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	hoʻolohe
attenuate	pāʻokoʻa
attenuated	i hoʻokoeʻia
attenuation	ke kauʻana
attest	hōʻike
attestation	hōʻike
attic	kaukau
attire	nāʻaʻahu
attitude	manaʻo
attorney	loio
attract	hoʻopiʻi
attraction	ʻike
attractive	maikaʻi
attractiveness	maikaʻi
attributable	kuleana
attribute	ʻike
attribution	makana
attrition	nā kumu hana
auburn	auburn
auction	hale kūʻai
auctioneer	auctioneer
audacious	me ke kaniʻuhū
audacity	me ke kūpaʻa
audible	lohe
audience	hoʻolohe
audio	lohe
audit	ʻike
audition	ia
auditions	a me ka lohe
auditor	ka Luna Buke
auditorium	ka halepule
auditory	ke kākoʻo
aught	nā mea
augment	piʻi
augmentation	piʻi
august	ʻAukake
aunt	makuahine
auntie	ka makuahine
aura	aura
aurora	aurora
auspices	nā mana
auspicious	ʻoiai
austere	ʻOihana
austerity	'Āmene
authentic	ʻoiaʻiʻo
authenticate	hōʻoia
authentication	ʻike hōʻoia
authenticity	ke kūʻiʻoʻiʻo
author	ka mea kākau
authoritative	ka mana
authority	ka mana
authorization	ka mana
authorize	eʻae
authorized	ka mana
authorship	ka mea kākau
autism	ke autism
autistic	ka mana
auto	auto
autobiographical	autobiographical
autobiography	moʻolelo holoʻokoʻa
autocorrect	kūpono
autocratic	ke kūʻokoʻa
autograph	'ōkuhi
autographed	ua hoʻokaʻawaleʻia
automated	hoʻopūʻokoʻa
automatic	aunoa
automobile	kaʻa
automotive	ke kaʻahana
autonomy	ke kūʻonoʻa
autopilot	autopilot
autopsy	ke kūpopo
autumn	ke kau
auxiliary	helulu
avail	ala
availability	loaʻa
available	loaʻa
avalanche	ke aloha
avarice	hoʻopōʻino
avatar	avatar
avenge	hoʻopaʻi
avenger	ka mea hoʻopaʻi
avenging	hoʻopaʻi
avenue	alanui
aver	NO TRANSLATION
average	ka awelika
aversation	NO TRANSLATION
averse	pale
averseness	averseeness
aversion	kūiho
avert	e pale
aviary	aviary
aviation	ākea
aviator	aviator
avid	avid
avocado	avocado
avoid	aloʻala
avoidance	hōʻole
avoiding	e hōʻalo
await	kali
awake	e ala
awaken	ala ala
awakening	ala ala
award	ka uku
awards	nā makana
aware	ʻike
awareness	ʻike
awe	NO TRANSLATION
awed	hōʻeuʻeu
awesome	maikaʻi loa
awesomeness	ke ākea
awestruck	awestruck
awful	weliweli
awkward	kūpono
awkwardness	awkwardness
awning	pākuʻi
awry	awry
axe	ax
axial	axial
axiom	ke kūkeke
axiomatic	axiomatic
axis	axis
axle	axle
ay	ʻA
aye	honua
azimuth	azimuth
azure	ʻo ka azure
babble	kūkā
babbling	kūkā
babe	ke keiki
baboon	pāpuni
baby	ke keiki
babysit	ke keiki
babysitter	kahu hānai
baccalaureate	heleʻole
baccarat	baccarat
bachelor	bachelor
bachelorette	ke bachelorette
back	hoʻi
backboard	hoʻihoʻi
backbone	ka iwi hope
backdoor	ke kāʻei
backdrop	nā mea hope
backer	kākoʻo
backfire	ke kākoʻo
backgammon	backgammon
background	ʻike
backhand	hoʻihoʻi
backhoe	backhoe
backoff	hoʻihoʻi
backpack	kāʻei hope
backpacker	ke kākoʻo
backroom	kahua kiko
backseat	hoʻi hope
backside	i hope
backtrack	hoʻihoʻi
backup	kope
backward	i hope
backwardness	hoʻi hope
backwards	i hope
backwater	ka wai
backwoods	hoʻihoʻi
