Word	af
adolescent	adolessent
adopt	neem
adoption	aanneming
adoptive	aangenome
adorable	adorable
adoration	aanbidding
adore	aanbid
adoring	Aanbidding
adorn	versier
adornment	versiering
adrenalin	adrenalien
adrenaline	adrenalien
adrift	adrift
adult	volwasse
adulterated	vervalste
adulterer	egbreker
adultery	egbreuk
adulthood	volwassenheid
advance	bevorder
advanced	gevorderde
advancement	bevordering
advancing	bevordering
advantage	voordeel
advantageous	voordelig
advent	koms
adventure	avontuur
adventurer	avonturier
adventures	avonture
adventurous	avontuurlike
adversary	teenstander
adverse	ongunstige
adversity	teenspoed
advertise	adverteer
advertisement	advertensie
advertising	advertensies
adverts	advertensies
advice	advies
advisable	raadsaam
advise	adviseer
advised	aangeraai
advisement	Advisering
adviser	adviseur
advisor	adviseur
advisory	adviserende
advocacy	voorspraak
advocate	advokaat
aegis	beskerming
aeration	deurlugting
aerial	lug
aerobics	aerobics
aerodrome	vliegveld
aerodynamic	aerodinamiese
aerodynamics	lugdinamika
aeronautics	lugvaartkunde
aeroplane	vliegtuig
aerospace	Ruimte
aesthetic	estetiese
aesthetics	estetika
aetiology	etiologie
afar	ver
affable	gemoedelike
affair	verhouding
affect	invloed
affecting	wat
affection	liefde
affectionate	liefdevolle
affections	hartstogte
affiche	NO TRANSLATION
affidavit	beëdigde verklaring
affiliated	geaffilieerde
affiliation	affiliasie
affinity	affiniteit
affirm	bevestig
affirmation	bevestiging
affirmative	regstellende
affirmatively	bevestigend
affix	aanbring
afflict	bedroewe
afflicted	verdruk
affliction	ellende
affluence	welvaart
affluent	gegoede
afford	bekostig
affordable	bekostigbare
affront	belediging
affronted	aanstoot
afield	weg
afire	n vuur
afloat	kop bo water
afore	voorafgaande
aforementioned	voorgenoemde
aforesaid	voorgenoemde
afraid	bang
afresh	opnuut
african	Afrikaanse
aft	AFT
afterlife	hiernamaals
aftermath	nadraai
afternoon	middag
aftershave	aftershave
aftertaste	nasmaak
afterthought	nagedagte
aga	NO TRANSLATION
agape	agape
agate	agaat
age	ouderdom
aged	bejaardes
agency	agentskap
agenda	agenda
agent	agent
agglomeration	agglomerasie
aggravate	vererger
aggravated	vererger
aggravates	vererger
aggravating	verswarende
aggravation	struikelblok
aggregate	totaal
aggregation	samevoeging
aggresive	NO TRANSLATION
aggression	aggressie
aggressive	aggressiewe
aggressively	aggressief
aggressiveness	aggressie
aggressor	aggressor
agh	AGH
aghast	ontsteld
aghhh	NO TRANSLATION
agile	ratse
agility	behendigheid
aging	veroudering
agitate	roer
agitated	geroer
agitation	geroer
aglow	gloei
agnostic	agnostikus
ago	gelede
agonizing	folterende
agony	foltering
agoraphobia	agorafobie
agree	stem
agreeable	aangenaam
agreed	ooreengekom
agreeing	stem
agreement	ooreenkoms
agressive	NO TRANSLATION
agricultural	landbou
agriculture	landbou
aground	gestrand
agua	NO TRANSLATION
ahead	voor
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoy
aid	hulp
aide	aide
aiding	ondersteuning
aids	hulpmiddels
ail	ail
ailing	sukkelende
ailment	kwaal
aim	doel
aimless	doellose
air	lug
airbag	lugsak
airborne	lug
aircraft	vliegtuig
aircraft carrier	vliegtuig draer
airfield	vliegveld
airhead	airhead
airlift	lugbrug
airline	lugredery
airliner	vliegtuig
airlock	airlock
airman	vliegenier
airplane	vliegtuig
airport	lughawe
airs	die eerste keer uitgestuur
airship	lugskip
airspace	lugruim
airspeed	lugspoed
airstrip	landingstrook
airtight	lugdigte
airway	lugweg
aisle	paadjie
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	soortgelyk
alabaster	albaste
alarm	alarm
alarm clock	wekker
alarmed	bekommerd
alarming	onrusbarende
alas	helaas
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	album
alchemy	alchemie
alcohol	alkohol
alcoholic	alkoholiese
alcoholism	alkoholisme
alcove	nis
alderman	Raadsheer
ale	NO TRANSLATION
alert	waarskuwing
alertness	gereedheid
alerts	waarskuwings
alfalfa	lusern
algebra	algebra
algebraic	algebraïese
algorithm	algoritme
alias	alias
alibi	alibi
alien	uitheemse
alienate	vervreem
alienated	vervreemd
alienation	vervreemding
alight	aan die brand gesteek
align	in lyn te bring
aligned	gebonde
alignment	belyning
alike	gelyk
alimentation	NO TRANSLATION
alimony	onderhoud
aliquot	aliquot
alive	lewendig
alkali	alkali
alkaloids	alkaloïede
allay	besweer
allegation	bewering
allege	beweer
alleged	beweerde
allegiance	trou
allegorical	allegoriese
allegory	allegorie
allegro	allegro
allergic	allergiese
allergy	allergie
alleviate	verlig
alleviation	verligting
alley	stegie
alleyway	straatje
alliance	alliansie
allied	geallieerde
alligator	krokodil
allocate	toeken
allocation	toekenning
allot	toeken
allotment	toekenning
allow	toelaat
allowable	toelaatbare
allowance	toelae
allowed	toegelaat
alloy	allooi
allsmiles	NO TRANSLATION
allure	skoonheid
alluring	aanloklike
allusion	verwysing
alluvial	alluviale
ally	bondgenoot
almanac	almanak
almighty	almagtige
almond	amandel
aloft	omhoog
aloha	Aloha
alone	alleen
alongside	saam
aloof	afsydig
aloud	hardop
alpha	alfa
alphabet	alfabet
alphabetical	alfabeties
alpine	berg
alreadyyyyy	NO TRANSLATION
altar	altaar
altar boy	altaar seun
alter	verander
alteration	verandering
altercation	onderonsie
altered	verander
alternate	alternatiewe
alternating	afwisselend
alternative	alternatiewe
altimeter	altimeter
altitude	hoogte
alto	alt
altogether	geheel en al
aluminum	aluminium
alumnus	alumnus
alveolar	alveolêre
alzheimers	NO TRANSLATION
amalgam	amalgaam
amalgamation	samesmelting
amaretto	Amaretto
amass	stig
amateur	amateur
amaze	verbaas
amazed	verbaas
amazedness	amazedness
amazement	verbasing
amazing	ongelooflike
amazingly	ongelooflik
ambassador	ambassadeur
amber	Amber
ambience	atmosfeer
ambient	omringende
ambiguity	dubbelsinnigheid
ambiguous	dubbelsinnige
ambit	bestek
ambition	ambisie
ambitious	ambisieuse
ambivalent	ambivalent
ambrosia	Ambrosia
ambulance	ambulans
ambush	hinderlaag
ameliorate	versag
amen	amen
amenable	vatbaar
amend	wysig
amendment	wysiging
amends	vergoed
amenity	gerief
amethyst	ametis
amiable	vriendelik
amicable	vriendskaplike
amid	te midde van
amidst	te midde van
amino	amino
ammo	ammunisie
ammonia	ammoniak
ammonium	ammonium
ammunition	ammunisie
amnesia	geheueverlies
amnesty	amnestie
amorous	verliefde
amorphous	amorfe
amortization	amortisasie
amount	bedrag
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamines
amphibian	amfibiese
amphibious	amfibiese
amphitheater	amfiteater
ample	genoeg
amplification	versterking
amplify	versterk
amplitude	amplitude
amply	ruim
amputate	amputeer
amputation	amputasie
amuck	amok
amulet	amulet
amuse	amuseer
amused	geamuseerd
amusement	vermaak
amusing	amusante
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	narkose
anaesthetic	narkose
anagram	anagram
anal	anale
analgesic	pynstillende
analogous	analoog
analogue	analoog
analogy	analogie
analysis	analise
analyst	ontleder
analytic	analitiese
analytical	analitiese
analyze	analiseer
analyzer	ontleder
anaphylactic	anafilaktiese
anarchism	anargisme
anarchist	anarchist
anarchy	anargie
anastomosis	anastomose
anathema	anathema
anatomic	anatomiese
anatomy	anatomie
ancestor	voorvader
ancestral	voorvaderlike
ancestry	afkoms
anchor	anker
anchorage	anker
ancient	antieke
ancillary	aanvullende
androgen	androgeen
android	Android
anecdote	staaltjie
anemia	anemie
anemic	anemies
anemone	anemone
anesthesia	narkose
anesthesiologist	anesthesist
anesthetic	narkose
aneurysm	aneurisme
anew	opnuut
angel	engel
angelic	engele
anger	woede
angered	kwaad
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografie
angle	hoek
angling	hengel
angora	angora
angriest	kwaadste
angry	kwaad
angrytweet	NO TRANSLATION
angst	Vrees
anguish	angs
anguished	hartroerende
angular	hoek
anhydrous	anhidriese
animal	dier
animate	animeer
animated	geanimeerde
animation	animasie
animosity	vyandigheid
animus	animus
ankle	enkel
anklet	enkelband
annals	annale
annex	aanhangsel
annexation	anneksasie
annexe	NO TRANSLATION
annihilate	uit te wis
annihilated	vernietig
annihilation	uitwissing
anniversary	herdenking
annotate	annoteer
annotation	body
announce	kondig
announcement	aankondiging
announcer	omroeper
annoy	irriteer
annoyance	ergernis
annoyed	vererg
annoyin	NO TRANSLATION
annoying	irriterende
annoys	sorg vir groot struikelblok
annual	jaarlikse
annuity	annuïteit
annul	nietig te verklaar
annular	ringvormig
annulment	nietigverklaring
annulus	annulus
anointed	gesalfde
anointing	salwing
anomalous	onreëlmatige
anomaly	anomalie
anon	anon
anonymity	anonimiteit
anonymous	anoniem
anorexic	anoreksies
answer	antwoord
answerable	verantwoordbaar
answering	antwoord
ant	mier
antagonism	antagonisme
antagonist	antagonis
antagonistic	antagonistiese
antagonize	antagoniseer
ante	NO TRANSLATION
antecedent	antesedente
antelope	wildsbokke
antenna	antenna
anterior	anterior
anthem	volkslied
anthill	miershoop
anthology	bundel
anthrax	antraks
anthropological	antropologiese
anthropologist	antropoloog
anthropology	antropologie
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotika
antichrist	antichris
anticipate	antisipeer
anticipation	afwagting
anticipatory	antisiperende
antics	manewales
antidote	teenmiddel
antifungal	antifungale
antigravity	antigravity
antimony	antimoon
antipathy	weersin
antiquarian	Ou
antiquated	verouderde
antique	antieke
antiques	oudhede
antiquity	antieke
antiseptic	antiseptiese
antisocial	antisosiale
antithesis	antitese
antithetical	antitetiese
antiviral	antivirale
antler	geweier
antsy	antsy
anus	anus
anvil	aambeeld
anxiety	angs
anxietyattack	NO TRANSLATION
anxious	angstig
anxiousness	angs
anytime	enige tyd
aorta	aorta
aortic	aorta
apace	nader
apache	apache
apartment	woonstel
apartments	woonstelle
apathetic	apaties
apathy	apatie
ape	aap
aperture	diafragma
apex	toppunt
aphid	plantluis
aphrodisiac	aphrodisiac
apiece	n stuk
aplomb	aplomb
apocalypse	apokalips
apocalyptic	apokaliptiese
apologetic	apologetiese
apologist	apologeet
apologize	vra om verskoning
apology	verskoning
apostasy	afvalligheid
apostate	afvallige
apostle	apostel
apostolic	apostoliese
apostrophe	afkappingsteken
apothecary	apteker
appalled	verstom
appalling	haglike
apparatus	apparaat
apparel	klere
apparent	oënskynlike
apparently	blykbaar
apparition	spook
appeal	appélleer
appear	verskyn
appearance	voorkoms
appease	paai
appellant	appellant
append	voeg
appendage	aanhangsel
appendectomy	appendectomy
appendicitis	blindedermontsteking
appendix	bylaag
appetite	eetlus
appetizer	voorgereg
appetizing	smaaklik
applaud	jubel
applause	applous
apple	appel
apple juice	appelsap
applejack	applejack
applesauce	appelmoes
appliance	toestel
appliances	toestelle
applicability	toepaslikheid
applicable	toepassing
applicant	aansoeker
application	aansoek
apply	aansoek doen
appoint	aanstel
appointment	aanstelling
appointments	aanstellings
apportion	verdeel
apportionment	toedeling
appraisal	evaluering
appraise	beoordeel
appreciable	aansienlike
appreciate	waardeer
appreciated	waardeer
appreciates	waardeer
appreciation	waardering
appreciative	waarderende
apprehend	vang
apprehension	vrees
apprehensive	bekommerd
apprentice	vakleerling
apprenticeship	vakleerlingskap
approach	benadering
approaching	nader
approbate	NO TRANSLATION
approbation	approbasie
appropriate	toepaslike
appropriation	bewilliging
approval	goedkeuring
approve	goed te keur
approved	goedgekeur
approvement	approvement
approving	goedkeuring
approximate	geskatte
approximately	ongeveer
approximating	benader
approximation	benadering
appurtenances	toebehore
apricot	appelkoos
apron	voorskoot
apt	bekwaam
aptitude	aanleg
aqua	aqua
aquamarine	akwamaryn
aquarium	akwarium
aquatic	akwatiese
aqueduct	akwaduk
aqueous	waterige
arable	bewerkbare
arbiter	arbiter
arbitrary	arbitrêre
arbitrate	arbitreer
arbitration	arbitrasie
arbitrator	arbiter
arbor	arbor
arc	boog
arcade	arcade
arcane	arcane
arch	boog
archaeological	argeologiese
archaeologist	argeoloog
archaeology	argeologie
archaic	argaïese
archangel	aartsengel
archbishop	aartsbiskop
archdiocese	aartsbisdom
archduke	aartshertog
arched	boog
archer	boogskutter
archery	boogskiet
archetype	argetipe
archipelago	argipel
architect	argitek
architectural	argitektoniese
architecture	argitektuur
archive	argief
arctic	arktiese
ardent	vurige
ardor	ywer
arduous	moeilike
area	gebied
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Ag nee
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumenteer
argument	argument
argumentation	argumentasie
argumentative	argumentatiewe
arguments	argumente
arid	dorre
arise	ontstaan
aristocracy	aristokrasie
aristocrat	aristokraat
aristocratic	aristokratiese
arithmetic	rekenkundige
ark	ark
arm	arm
armada	armada
armament	wapentuig
armaments	wapentuig
armature	anker
armchair	leunstoel
armed	gewapende
armor	wapens
armored	gepantserde
armory	arsenaal
armpit	oksel
arms	arms
army	weermag
aroma	aroma
aromatherapy	aromaterapie
arousal	opwekking
arouse	wek
aroused	gewek
arraignment	aanklagte
arrange	reël
arranged	gereël
arrangement	reëling
array	verskeidenheid
arrears	agterstallig
arrest	arresteer
arrhythmia	aritmie
arrival	aankoms
arrive	kom
arrogance	arrogansie
arrogant	arrogant
arrow	pyl
arsehole	gat
arseholes	poepholle
arsenal	arsenaal
arsenic	arseen
arson	brandstigting
arsonist	brandstigter
art	kuns
arterial	arteriële
artery	slagaar
artful	skelm
arthritis	artritis
arthropod	geleedpotige
artichoke	artisjok
article	artikel
articles	artikels
articulate	verwoord
articulation	artikulasie
artifact	juweel
artifice	listig
artificial	kunsmatige
artillery	artillerie
artisan	vakman
artist	kunstenaar
artiste	NO TRANSLATION
artistic	artistieke
artistry	kunstenaarskap
artists	kunstenaars
artwork	kunswerk
arty	kunstige
asap	so gou as moontlik
asbestos	asbes
ascend	klim
ascendancy	opkoms
ascendant	voorouer
ascending	stygende
ascension	hemelvaart
ascent	trap
ascertain	bepaal
ascertained	vasgestel
ascetic	asketiese
ash	as
ashamed	skaam
ashes	as
ashtray	asbak
asinine	asinine
ask	vra
asleeep	NO TRANSLATION
asleep	slaap
asp	ASP
asparagus	aspersies
aspartame	aspartaam
aspect	aspek
aspects	aspekte
aspen	Aspen
asphalt	asfalt
asphyxia	asfiksie
asphyxiation	versmoring
aspiration	aspirasie
aspire	streef
aspirin	aspirien
aspiring	aspirant
ass	gat
assail	aanstorm
assailant	aanvaller
assassin	sluipmoordenaar
assassinate	vermoor
assassination	sluipmoord
assault	aanranding
assay	toets
assemblage	assemblage
assemble	vergader
assembled	vergader
assembly	vergadering
assemblyman	assemblyman
assent	instemming
assert	beweer
asserting	beweer
assertion	bewering
assertive	selfgeldend
assess	evalueer
assessment	assessering
assessor	assessor
asset	bate
assets	bates
asshole	asshole
assign	toewys
assignee	Gemagtigde
assignment	opdrag
assimilate	assimileer
assimilation	assimilasie
assist	help
assistance	hulp
assistant	assistent
associate	assosieer
association	vereniging
assorted	verskillende soorte
assortment	verskeidenheid
assuage	sus
assume	aanvaar
assumed	aanvaar
assuming	veronderstelling
assumption	aanname
assurance	versekering
assure	verseker
assured	verseker
assuredly	Voorwaar
asterisk	asterisk
asteroid	asteroïde
asteroids	asteroïdes
asthma	asma
asthmatic	asmatiese
astigmatism	astigmatisme
astonish	verbazen
astonished	verbaas
astonishing	verstommende
astonishingly	NO TRANSLATION
astonishment	verbasing
astound	verstom
astral	astrale
astray	verdwaal
astringent	trekkend
astrologer	astroloog
astrology	astrologie
astronaut	ruimtevaarder
astronomer	sterrekundige
astronomical	astronomiese
astronomy	astronomie
astute	slim
asunder	verbreek
asylum	asiel
asymmetric	asimmetriese
asymmetry	asimmetrie
asymptotic	asimptotiese
atelier	ateljee
atheism	ateïsme
atheist	ateïs
atheistic	ateïstiese
atherosclerosis	aterosklerose
athlete	atleet
athletic	atletiek
athleticism	atleties
athletics	atletiek
atlas	atlas
atmosphere	atmosfeer
atmospheric	atmosferiese
atoll	atol
atom	atoom
atomic	atoom
atone	versoening
atonement	versoening
atpeace	atpeace
atrium	atrium
atrocious	gruwelike
atrocity	gruweldaad
atrophy	atrofie
attach	heg
attached	aangeheg
attachment	beslaglegging
attack	aanval
attacker	aanvaller
attacking	aanval
attain	bereik
attainable	haalbaar
attainment	bereiking
attempt	poging
attempted	poging tot
attend	bywoon
attendance	bywoning
attendant	gepaardgaande
attention	aandag
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	aandagtig
attenuate	verswak
attenuated	verswakte
attenuation	attenuasie
attest	getuig
attestation	verklaring
attic	solder
attire	drag
attitude	houding
attorney	prokureur
attract	trek
attraction	aantrekkingskrag
attractive	aantreklike
attractiveness	aantreklikheid
attributable	toegeskryf
attribute	kenmerk
attribution	Erkenning
attrition	uitvloei
auburn	Rooi
auction	veiling
auctioneer	afslaer
audacious	gewaagde
audacity	vermetelheid
audible	hoorbaar
audience	gehoor
audio	klank
audit	oudit
audition	oudisie
auditions	oudisies
auditor	ouditeur
auditorium	ouditorium
auditory	ouditiewe
aught	niks
augment	vul
augmentation	aanvulling
august	Augustus
aunt	tante
auntie	tannie
aura	aura
aurora	Aurora
auspices	beskerming
auspicious	luisterryke
austere	sober
austerity	soberheid
authentic	outentieke
authenticate	authentic
authentication	verifikasie
authenticity	egtheid
author	skrywer
authoritative	gesaghebbende
authority	gesag
authorization	magtiging
authorize	magtig
authorized	gemagtigde
authorship	outeurskap
autism	outisme
autistic	outistiese
auto	motor
autobiographical	outobiografiese
autobiography	outobiografie
autocorrect	Auto Correct
autocratic	outokratiese
autograph	handtekening
autographed	handtekening
automated	outomatiese
automatic	outomatiese
automobile	motor
automotive	motor
autonomy	outonomie
autopilot	auto pilot
autopsy	lykskouing
autumn	herfs
auxiliary	hulp
avail	opgelewer
availability	beskikbaarheid
available	beskikbaar
avalanche	stortvloed
avarice	gierigheid
avatar	avatar
avenge	wreek
avenger	wraakgierige
avenging	Omdat aanvoerders aangevoer
avenue	laan
aver	NO TRANSLATION
average	gemiddelde
aversation	aversation
averse	sku
averseness	aptyt
aversion	weersin
avert	voorkom
aviary	voëlhok
aviation	lugvaart
aviator	Aviator
avid	ywerige
avocado	avokado
avoid	verhoed
avoidance	vermyding
avoiding	vermy
await	wag
awake	wakker
awaken	ontwaak
awakening	ontwaking
award	toekenning
awards	toekennings
aware	bewus
awareness	bewustheid
awe	NO TRANSLATION
awed	verstom
awesome	ontsagwekkende
awesomeness	awesomeness
awestruck	awestruck
awful	vreeslike
awkward	ongemaklike
awkwardness	ongemaklikheid
awning	afdak
awry	mis
axe	byl
axial	aksiale
axiom	aksioma
axiomatic	aksiomatiese
axis	as
axle	axle
ay	ay
aye	aye
azimuth	azimut
azure	blou
babble	babbel
babbling	babbel
babe	babe
baboon	bobbejaan
baby	baba
babysit	babysit
babysitter	oppas
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	BA
bachelorette	bachelorette
back	terug
backboard	bord
backbone	ruggraat
backdoor	agterdeur
backdrop	agtergrond
backer	wedder
backfire	boemerang
backgammon	backgammon
background	agtergrond
backhand	backhand
backhoe	graaf
backoff	backoff
backpack	rugsak
backpacker	backpacker
backroom	achterkamertjes
backseat	agterste sitplek
backside	agterkant
backtrack	Klankbaan
backup	ondersteuning
backward	agteruit
backwardness	agterlikheid
backwards	agteruit
backwater	dood water
backwoods	binneland
backyard	agterplaas
bacon	spek
bacteria	bakterieë
bacterial	bakteriële
bacterium	bakterie
bad	slegte
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	Das
badhabit	NO TRANSLATION
badly	sleg
badness	sleg
baffle	baffle
baffled	stomheid geslaan
bag	sak
bagel	bagel
baggage	bagasie
baggie	baggie
baggy	zakkerig
bagman	Bagman
bagpipes	doedelsakke
bail	borgtog
bailiff	balju
bait	aas
bake	bak
bakery	bakkery
baking	bak
bal	NO TRANSLATION
balance	balans
balanced	gebalanseerde
balcony	balkon
bald	kaal
balding	bles
baldy	Baldy
bale	baal
balk	balk
ball	bal
ballad	ballade
ballast	ballas
ballerina	ballerina
ballet	ballet
ballgame	Bal spel
ballistic	ballistiese
ballistics	ballistiek
balloon	ballon
ballot	stembrief
ballpark	ball
ballplayer	ballplayer
ballpoint	balpunt
ballroom	ballroom
ballsy	ballsy
balm	salf
balmy	soel
balsam	balsem
balsamic	balsamiese
bam	Bam
bamboo	bamboes
ban	NO TRANSLATION
banana	piesang
band	groep
bandage	verband
bandanna	NO TRANSLATION
bandit	bandiet
bandstand	musiek tent
bandwagon	trein
bandwidth	bandwydte
bane	vloek
bang	Knal
banger	hollander
banish	verban
banished	verban
banishment	verbanning
banister	baluster
banjo	banjo
bank	bank
banker	bankier
banking	bank
bankroll	bankrekening
bankrupt	bankrot
bankruptcy	bankrotskap
banner	banier
banquet	banket
banshee	Banshee
banter	geskerts
banzai	NO TRANSLATION
baptism	doop
baptismal	doop
baptize	doop
bar	bar
barb	Barb
barbarian	barbaarse
barbaric	barbaarse
barbarism	barbaarsheid
barbecue	barbecue
barbed	doringdraad
barber	barbier
barbershop	haarkapper
barbie doll	barbie pop
bard	bard
bare	kaal
bareback	bloots
barefoot	kaalvoet
barely	skaars
barf	barf
bargain	winskoop
bargaining	bedinging
barge	vaar
baritone	bariton
barium	barium
bark	bas
barkeep	barkeep
barks	blaf
barley	gort
barmaid	buffet juffrouw
barman	kroegman
barn	skuur
barnacle	Barnacle
barney	Barney
barnyard	Barnyard
barometer	barometer
baron	Baron
baroness	Barones
baroque	barok
barrack	barak
barracuda	Barracuda
barrage	spervuur
barred	verbied
barrel	vat
barren	dorre
barricade	versper
barrier	versperring
barring	blokkeer
barrister	advokaat
barroom	barroom
barrow	barrow
bartender	barman
barter	ruil
base	basis
baseball	bofbal
baseball bat	bofbalkolf
baseboard	plint
baseless	ongegrond
baseline	basislyn
baseman	baseman
basement	kelder
bases	basisse
bash	bash
bashful	skaam
basic	basiese
basics	basiese beginsels
basil	Basil
basilica	basiliek
basin	wasbak
basis	basis
bask	koester
basket	mandjie
basketball	basketbal
bass	bass
bass guitar	baskitaar
basso	NO TRANSLATION
bassoon	fagot
bastard	bliksem
bastarding	bastarding
bastards	bastards
bastion	Bastion
bat	kolf
batch	joernaal
batching	gebind
bate	NO TRANSLATION
bath	bad
bathe	bad
bathhouse	badhuis
bathing	bad
bathrobe	kamerjas
bathroom	badkamer
bathtub	bad
bathymetry	bathymetrie
baton	knuppel
battalion	bataljon
batter	beslag
battered	mishandelde
battering	battering
battery	battery
battle	stryd
battled	gesukkel
battlefield	slagveld
battleground	slagveld
