Word	mg
admiration	fahatalanjonana sy fifaliana
admire	mahafinaritra
admired	hidera
admirer	admirer
admiring	Nankafizinay koa
admissibility	admissibility
admissible	raisina
admission	fieken-keloka
admit	niaiky
admittance	entina
admitted	niaiky
admitting	niaiky
admixture	nampiasainy
admonition	torohevitra
ado	ado
adobe	Adobe
adolescence	tanora
adolescent	tanora
adopt	mandany
adoption	fananganana
adoptive	nitaiza azy
adorable	mahatehotia
adoration	fitsaohana
adore	mankafy
adoring	fiankohofana
adorn	mandravaka
adornment	haingo
adrenalin	adrénaline
adrenaline	adrenaline
adrift	adrift
adult	olon-dehibe
adulterated	milaza azy
adulterer	mpanitsakitsa-bady
adultery	ny fanitsakitsaham-bady
adulthood	olon-dehibe
advance	Mandroso
advanced	Advanced
advancement	fandrosoana
advancing	dia efa mandroso
advantage	tombony
advantageous	mahasoa
advent	fiavian'ny
adventure	traikefa nahafinaritra
adventurer	mpisantatra
adventures	niainany
adventurous	sahisahy
adversary	fahavalo
adverse	voka
adversity	fahoriana
advertise	hanambara
advertisement	dokam-barotra
advertising	dokam-barotra
adverts	dokam-barotra
advice	toro-hevitra
advisable	tokony hatao
advise	manoro hevitra
advised	nanoro hevitra
advisement	nifampisaina,
adviser	mpanolo-tsaina
advisor	mpanolotsaina
advisory	Mpanolo-tsaina
advocacy	fisoloana vava
advocate	mpiaro
aegis	aegis
aeration	aeration
aerial	avy eny ambony
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	fiaramanidina
aerospace	aerospace
aesthetic	hatsarana
aesthetics	aesthetics
aetiology	aetiology
afar	lavitra
affable	affable
affair	raharaha
affect	vokany eo
affecting	miantraika
affection	fitiavana
affectionate	fitiavana
affections	fitiavana
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	mpikambana
affiliation	firehana
affinity	vinanton'i
affirm	manamafy
affirmation	hoy
affirmative	affirmative
affirmatively	fankatoavana no
affix	tahirin-tsirin'i
afflict	mampahory
afflicted	ory
affliction	fahoriana
affluence	affluence
affluent	manankarena
afford	manam-bola
affordable	takatry
affront	tafintohina
affronted	affronted
afield	Nivezivezy
afire	afo
afloat	mitsinkafona
afore	rahateo
aforementioned	voalaza etsy ambony
aforesaid	aforesaid
afraid	matahotra
afresh	indray amin'ny
african	Afrikana
aft	aft
afterlife	fiainana any ankoatra
aftermath	taorian'ilay
afternoon	tolakandro
aftershave	aftershave
aftertaste	ny vokany
afterthought	afterthought
aga	NO TRANSLATION
agape	gaga kosa
agate	agata
age	taona
aged	antitra
agency	fahafahana misafidy
agenda	fandaharam-potoana
agent	mpandraharaha
agglomeration	agglomération
aggravate	mainka nampahaditra
aggravated	mainka manasaro
aggravates	aggravates
aggravating	mampitombo
aggravation	aggravation
aggregate	aggregate
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	herisetra
aggressive	masiaka
aggressively	mahery vaika
aggressiveness	masiaka
aggressor	herisetra
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	mailaka
agility	fahaizany mamikitra
aging	be taona
agitate	hanakorontana
agitated	mikorontana
agitation	pahoriana
aglow	Narehitry
agnostic	agnôstika
ago	lasa izay
agonizing	sasa-
agony	fanaintainana
agoraphobia	agoraphobia
agree	manaiky
agreeable	manaiky hiara
agreed	nanaiky
agreeing	nanaiky
agreement	fifanarahana
agressive	NO TRANSLATION
agricultural	fambolena
agriculture	fambolena
aground	hidona
agua	NO TRANSLATION
ahead	mialoha
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	fanampiana
aide	mpanampy
aiding	nanampy
aids	SIDA
ail	ail
ailing	marary
ailment	aretina
aim	tanjona
aimless	aimless
air	rivotra
airbag	airbag
airborne	mahazo haavo
aircraft	fiaramanidina
aircraft carrier	fiaramanidina fiaramanidina
airfield	aerodrom
airhead	airhead
airlift	airlift
airline	airline
airliner	fiaramanidina
airlock	airlock
airman	Miaramila mpanamory fiaramanidina
airplane	fiaramanidina
airport	Airport
airs	hiseho hahalala
airship	afaka manidina
airspace	airspace
airspeed	airspeed
airstrip	fiaramanidina
airtight	airtight
airway	airway
aisle	ila
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	antsoina
akin	tahaka
alabaster	vatosanga fasiana
alarm	fanairana
alarm clock	famantaranandro
alarmed	taitra
alarming	manaitra
alas	Indrisy
alb	NO TRANSLATION
albatross	lohovava
albino	Albino
album	raki-kira
alchemy	simia
alcohol	toaka
alcoholic	toaka
alcoholism	fisotroan-toaka
alcove	Alcove
alderman	mpanolotsain'ny tanàna
ale	NO TRANSLATION
alert	fanairana
alertness	mailo
alerts	fanairana
alfalfa	alfalfa
algebra	alijebra
algebraic	algebraic
algorithm	algorithm
alias	antsoina
alibi	alibi
alien	vahiny
alienate	hafindrany
alienated	olon-ko
alienation	fahafoizako
alight	midina
align	hampifanaraka
aligned	mifanaraka
alignment	fampifanarahana
alike	mitovy
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	velona
alkali	alkali
alkaloids	alkaloids
allay	tiana
allegation	filazana
allege	allege
alleged	lazaina
allegiance	fankatoavana
allegorical	fanoharana
allegory	fanoharana
allegro	Allegro
allergic	mahazaka
allergy	allergy
alleviate	hanamaivanana
alleviation	fanamaivanana
alley	làlan-kere
alleyway	alleyway
alliance	fifanarahana
allied	Mpiray Dina
alligator	alligator
allocate	zarao
allocation	fanomezana
allot	zarao
allotment	anjara
allow	mamela
allowable	allowable
allowance	vola fanampiana
allowed	navela
alloy	firaka
allsmiles	NO TRANSLATION
allure	fitaoman'ity
alluring	mahasarika
allusion	manondro
alluvial	alluvial
ally	mpiara
almanac	Almanac
almighty	tsitoha
almond	amygdala
aloft	fiaran'Andriamanitra
aloha	aloha
alone	irery
alongside	miaraka
aloof	miraharaha
aloud	amin'ny feo avo
alpha	Alfa
alphabet	abidy
alphabetical	Alphabetical
alpine	Alpine
alreadyyyyy	alreadyyyyy
altar	alitara
altar boy	alitara zazalahy
alter	manova
alteration	fanovana, fiovana
altercation	fifamaliana
altered	novaina
alternate	Alternate
alternating	alternating
alternative	hafa
altimeter	altimeter
altitude	Altitude
alto	Alto
altogether	tanteraka
aluminum	aluminium
alumnus	alumnus
alveolar	m
alzheimers	NO TRANSLATION
amalgam	mifangaro
amalgamation	amalgamation
amaretto	amaretto
amass	hanangonana
amateur	mpankafy
amaze	velively mampitolagaga
amazed	gaga
amazedness	NO TRANSLATION
amazement	talanjona
amazing	mahagaga
amazingly	Mahagaga
ambassador	masoivoho
amber	Amber
ambience	ambience
ambient	Ambient
ambiguity	MANJAVOZAVO
ambiguous	mazava
ambit	ambit
ambition	faniriana
ambitious	fatra-paniry laza
ambivalent	mino an'izany
ambrosia	Ambrosia
ambulance	fiara mpitondra marary
ambush	otrika
ameliorate	manatsara
amen	amena
amenable	tompon'andraikitra manoloana
amend	ataovy tsara
amendment	fanitsiana
amends	hanonitra
amenity	amenity
amethyst	ametista
amiable	amiable
amicable	amicable
amid	eo anivon'ny
amidst	anatin'ny
amino	Amino
ammo	ammo
ammonia	amoniaka
ammonium	ammonium
ammunition	bala
amnesia	amnesia
amnesty	famotsoran-keloka
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	vola
amour	NO TRANSLATION
amp	DIEM
ampersand	ampersand
amphetamines	amphetamines
amphibian	sahona
amphibious	amphibious
amphitheater	fanaovana fampisehoana
ample	ampy
amplification	amplification
amplify	hanamafisana
amplitude	amplitude
amply	amply
amputate	amputate
amputation	fanapahana ilay rantsambatana
amuck	amuck
amulet	amulet
amuse	voly
amused	miharihary amin'izany
amusement	voly
amusing	nampihomehy
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	fanatoranana
anaesthetic	fanafody fanadontoana
anagram	anagram
anal	lava-pitombenana
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	Fitoviana
analysis	fanadihadiana
analyst	mpandalina
analytic	analytic
analytical	fandalinana
analyze	hadihadiana
analyzer	Analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	fanjakan'i Baroa
anarchy	anarchy
anastomosis	anastomosis
anathema	voaozona
anatomic	anatomiques
anatomy	Anatomy
ancestor	razana
ancestral	drazana
ancestry	razambeny
anchor	anchor
anchorage	Anchorage
ancient	fahiny
ancillary	ancillary
androgen	androgen
android	Android
anecdote	tantara
anemia	tsy fahampian-dra
anemic	anemic
anemone	Anemone
anesthesia	fanatoranana
anesthesiologist	anesthesiologist
anesthetic	fanafody fanadontoana
aneurysm	aneurysm
anew	indray
angel	anjely
angelic	anjely
anger	fahatezerana
angered	tezitra
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	zoro
angling	angling
angora	Angora
angriest	angriest
angry	tezitra
angrytweet	NO TRANSLATION
angst	angst
anguish	ny fahoriam
anguished	alahelo be
angular	angular
anhydrous	anhydrous
animal	biby
animate	selan'izy
animated	Animated
animation	fanentanana
animosity	fankahalana
animus	animus
ankle	dia fehin
anklet	anklet
annals	tantaran'ny
annex	fanampiny
annexation	annexation
annexe	NO TRANSLATION
annihilate	handringana
annihilated	ringana
annihilation	fandringanana
anniversary	tsingerintaona
annotate	hanisy naoty
annotation	Filazana fohy
announce	manambara
announcement	fanambarana
announcer	filazana
annoy	manorisory
annoyance	fahasorenana
annoyed	sosotra
annoyin	NO TRANSLATION
annoying	manorisory
annoys	manahirana
annual	isan-taona
annuity	annuity
annul	hanafoana
annular	annular
annulment	fanafoanana
annulus	annulus
anointed	voahosotra
anointing	fanosorana
anomalous	anomalous
anomaly	Anomaly
anon	anon
anonymity	anarana
anonymous	tsy fantatra anarana
anorexic	anorexic
answer	valiny
answerable	mifanolotra
answering	namaly
ant	vitsika
antagonism	fanoherana
antagonist	antagonist
antagonistic	manohitra
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antilopa
antenna	Antenna
anterior	Précédent
anthem	hiram-pirenena
anthill	dongona fitoeran'ny vitsika taloha
anthology	fitambaram-boky mirakitra
anthrax	ny vain'omby
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	tsy tia
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotika
antichrist	antikristy
anticipate	mialoha
anticipation	mialoha
anticipatory	anticipatory
antics	antics
antidote	fanefitry
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipathy
antiquarian	antiquarian
antiquated	lany
antique	fahagola
antiques	Antiques
antiquity	tranainy
antiseptic	fa mamono otrikaretina izy
antisocial	tia miray hina
antithesis	fanoherana-kevitra izany
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy,
anus	anus
anvil	riandriana
anxiety	fanahiana
anxietyattack	NO TRANSLATION
anxious	manahy
anxiousness	izany tebitebin '
anytime	amin'ny fotoana rehetra
aorta	aorta
aortic	aortic
apace	vaky
apache	Apache
apartment	trano
apartments	trano
apathetic	miraharaha
apathy	tsy miraharaha
ape	ape
aperture	nisara-
apex	fara tampon'ny
aphid	aphid
aphrodisiac	aphrodisiac
apiece	silany
aplomb	aplomb
apocalypse	Apokalypsy
apocalyptic	Tranga
apologetic	fialan-tsiny
apologist	mpiaro ny finoana
apologize	miala tsiny
apology	fialan-tsiny
apostasy	fivadiham-pinoana
apostate	nivadi-pinoana
apostle	apostoly
apostolic	maha-apôstôly
apostrophe	apostrophe
apothecary	mpangaroharo zava-manitra
appalled	Maharikoriko
appalling	mahatsiravina
apparatus	fitaovana
apparel	akanjo
apparent	toa
apparently	Toa
apparition	matoatoa
appeal	antso
appear	hita
appearance	fijery
appease	hampitony
appellant	appellant
append	manampy
appendage	taviny
appendectomy	appendectomy
appendicitis	appendicite
appendix	appendice
appetite	komana
appetizer	appetizer
appetizing	hampilendalenda
applaud	mitehaka
applause	tehaka
apple	paoma
apple juice	japoney
applejack	applejack
applesauce	applesauce
appliance	appliance
appliances	Fitaovana
applicability	hoe azo ampiharina
applicable	azo ampiharina
applicant	mpangataka
application	fampiharana
apply	mampihatra
appoint	hanendry
appointment	fotoana
appointments	fanendrena
apportion	nizara
apportionment	apportionment
appraisal	fanombanana
appraise	hanaiky
appreciable	appreciable
appreciate	mankasitraka
appreciated	nankasitraka
appreciates	mankasitraka
appreciation	fankasitrahana
appreciative	mankasitraka
apprehend	hisambotra
apprehension	ahiahy
apprehensive	Natahotra
apprentice	niofana
apprenticeship	fiofanako
approach	fomba
approaching	manatona
approbate	NO TRANSLATION
approbation	-pankasitrahana
appropriate	mety
appropriation	fahazoany
approval	fankatoavana
approve	hanaiky
approved	nankatoavina
approvement	approvement
approving	dia mampiseho ny
approximate	tokotokony
approximately	eo ho eo
approximating	approximating
approximation	manakaikikaiky
appurtenances	appurtenances
apricot	abricot
apron	apron
apt	mahay
aptitude	aptitude
aqua	Aqua
aquamarine	aquamarine
aquarium	Aquarium
aquatic	anaty rano
aqueduct	lakan-drano
aqueous	aqueous
arable	azo volena
arbiter	arbiter
arbitrary	jadona
arbitrate	hitsara
arbitration	fanelanelanana
arbitrator	mpizara
arbor	Arbor
arc	Arc
arcade	Arcade
arcane	arcane
arch	andohalambo
archaeological	arkeolojika
archaeologist	arkeology
archaeology	arkeolojia
archaic	Endrika: archaic
archangel	arkanjely
archbishop	Arseveka
archdiocese	Arsidiosezin'i
archduke	Printsy
arched	arched
archer	mpandefa tsipìka
archery	archery
archetype	archetype
archipelago	vondronosy
architect	mpanao mari-trano
architectural	an'ireo trano
architecture	maritrano
archive	Archive
arctic	Tendrontany Avaratra
ardent	mafana fo
ardor	mafana fo
arduous	sarotra
area	faritra
arena	Arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	miady hevitra
argument	fandresen-dahatra
argumentation	argumentation
argumentative	miady hevitra
arguments	kevitra
arid	maina
arise	mitsangàna
aristocracy	fihaviam-pirazanana ambony
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	rafitrisa
ark	sambo-fiara
arm	sandry
armada	Armada
armament	fitaovam-piadiana
armaments	fitaovam-piadiana
armature	armature
armchair	seza
armed	mitam-piadiana
armor	fiadiana
armored	mifono vy
armory	trano fitehirizam-piadiana
armpit	armpit
arms	fitaovam-piadiana
army	tafika
aroma	hanitra
aromatherapy	aromatherapy
arousal	arousal
arouse	hanaitra
aroused	naniraka
arraignment	arraignment
arrange	handahatra
arranged	fandaharana
arrangement	fandaharana
array	fihaingoana
arrears	arrears
arrest	hisambotra
arrhythmia	arrhythmia
arrival	fahatongavana
arrive	tonga
arrogance	fiavonavonana
arrogant	miavonavona
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	piadiana
arsenic	arsenika
arson	fandoroana
arsonist	arsonist
art	kanto
arterial	hikoriana
artery	lalan-dra
artful	-kafetsena fatratra na
arthritis	vanin-taolana
arthropod	arthropod
artichoke	artichaut
article	lahatsoratra
articles	lahatsoratra
articulate	hanazavana
articulation	articulation
artifact	artifact
artifice	artifice
artificial	artifisialy
artillery	fitaovam-piadiana
artisan	mpanao asa tanana
artist	mpanakanto
artiste	NO TRANSLATION
artistic	kanto
artistry	artistry
artists	mpanakanto
artwork	sary
arty	arty
asap	faran'izay haingana indrindra
asbestos	asbestos
ascend	miakatra
ascendancy	fahambonian'ny
ascendant	ascendant
ascending	niakatra
ascension	niakarany
ascent	fiakarana
ascertain	hahafantarana
ascertained	fantatra
ascetic	nampijaly tena
ash	lavenona
ashamed	menatra
ashes	lavenona
ashtray	ashtray
asinine	asinine
ask	manontany
asleeep	NO TRANSLATION
asleep	matory
asp	vipera
asparagus	asperza
aspartame	aspartame
aspect	lafiny
aspects	lafiny
aspen	Aspen
asphalt	asfalta
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	faniriantsika
aspire	hiandrandra
aspirin	aspirine
aspiring	naniry
ass	boriky
assail	misambotra
assailant	notafihina
assassin	mpamono
assassinate	hamono
assassination	famonoana
assault	fanafihana
assay	sahy miteny
assemblage	assemblage
assemble	mivory
assembled	nivory
assembly	fiangonana
assemblyman	assemblyman
assent	fankatoavana
assert	milaza
asserting	milaza
assertion	filazana
assertive	assertive
assess	hanombana
assessment	fanombanana
assessor	assessor
asset	-pananana
assets	fananana
asshole	Dondrom-belona
assign	manendry
assignee	assignee
assignment	andraikitra
assimilate	mampihatra
assimilation	voaray
assist	hanampy
assistance	fanampiana
assistant	mpanampy
associate	mpiara-miasa
association	Fikambanana
assorted	samihafa izay nampivoatra ny
assortment	karazany
assuage	mampitony
assume	mihevitra
assumed	Nihevitra
assuming	mihevitra ho manana ho
assumption	kevitra
assurance	fanomezan-toky
assure	manome toky
assured	antoka
assuredly	tokoa
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	asma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	astonish
astonished	gaga
astonishing	mahatalanjona
astonishingly	NO TRANSLATION
astonishment	talanjona
astound	astound
astral	astral
astray	lalan-diso
astringent	astringent
astrologer	mpanandro
astrology	fanandroana
astronaut	mpanamory
astronomer	astronoma
astronomical	Takelaka Momba ny Kintana
astronomy	astronomia
astute	fetsy
asunder	hampisarahin'olona
asylum	fialokalofana
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	Atelier
atheism	tsy hino an'Andriamanitra
atheist	tsy mino an'Andriamanitra
atheistic	tsy mino an'Andriamanitra
atherosclerosis	atherosclerosis
athlete	atleta
athletic	fanatanjahan-tena
athleticism	athleticism
athletics	atletisma
atlas	Atlas
atmosphere	rivotra iainana
atmospheric	rivotra
atoll	Atoll
atom	tsivaky
atomic	atomika
atone	hanonitra
atonement	fanavotana
atpeace	atpeace
atrium	atrium
atrocious	mahatsiravina
atrocity	habibiana
atrophy	atrophy
attach	mampiditra
attached	mifatotra
attachment	miraiki-po
attack	fanafihana
attacker	mpanafika
attacking	manafika
attain	hahazo
attainable	azo tratrarina
attainment	fahombiazana
attempt	andrana
attempted	nanandrana
attend	manatrika
attendance	mpanatrika
attendant	mpanompo
attention	tsara
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	hihaino
attenuate	attenuate
attenuated	attenuated
attenuation	attenuation
attest	manamarina
attestation	teni-vavolombelona ihany
attic	efitra ambanin'ny tafo
attire	akanjo
attitude	toe-tsaina
attorney	mpisolovava
attract	mahasarika
attraction	attraction
attractive	tsara tarehy
attractiveness	manintona
attributable	vokatry
attribute	toetra
attribution	Attribution
attrition	fanenenana tsara antoniny
auburn	Auburn
auction	lavanty
auctioneer	auctioneer
audacious	audacious
audacity	sahy
audible	re
audience	mpihaino
audio	teny
audit	Hanaraha-maso
audition	audition
auditions	auditions
auditor	auditor
auditorium	efitrano malalaka
auditory	havanana amin'ny sofina
aught	alahelo
augment	hampitombo
augmentation	augmentation
august	Aogositra
aunt	nenitoa
auntie	Nenitoa
aura	aura
aurora	Aurora
auspices	fiahian'ny
auspicious	auspicious
austere	mila voatsiary
austerity	fitsitsiana
authentic	marina
authenticate	manamarina
authentication	fanamarinana
authenticity	maha-azo itokiana
author	mpanoratra
authoritative	manam-pahefana
authority	fahefana
authorization	alàlana
authorize	alalana
authorized	alalana
authorship	-mpamorona
autism	autiste
autistic	autistic
auto	fiara
autobiographical	autobiographical
autobiography	Tantaran'i
autocorrect	autocorrect
autocratic	jadona
autograph	autograph
autographed	autographed
automated	automated
automatic	mandeha ho azy
automobile	fiara
automotive	fiara
autonomy	fizakantena
autopilot	Tsy Mifantoka
autopsy	autopsy
autumn	fararano
auxiliary	mpanampy
avail	vokany
availability	fisian'ny
available	misy
avalanche	riaka
avarice	avarice
avatar	Avatar
avenge	hamaly faty
avenger	mpamaly
avenging	famaliana
avenue	Avenue
aver	NO TRANSLATION
average	eo ho eo
aversation	NO TRANSLATION
averse	nisalasala
averseness	averseness
aversion	tsy fitiavany maizina
avert	hisoroka
aviary	aviary
aviation	fiaramanidina
aviator	mpanamory
avid	mazoto
avocado	zavoka
avoid	tsy
avoidance	fisorohana
avoiding	fialana
await	eo am-piandrasana
awake	Mifohaza
awaken	hamoha
awakening	fifohazana
award	mari-pankasitrahana
awards	mari-pankasitrahana
aware	Fantatr'i
awareness	fanentanana
awe	NO TRANSLATION
awed	Gaga
awesome	mahatalanjona
awesomeness	mahatalanjona
awestruck	mety ho taitra
awful	mahatsiravina
awkward	hafahafa
awkwardness	awkwardness
awning	eloelonao
awry	awry
axe	famaky
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	mpiray
axle	axle
ay	Ay
aye	Aye
azimuth	azimuth
azure	azure
babble	babble
babbling	fitolokoana
babe	zaza
baboon	baboon
baby	zazakely
babysit	hitaiza
babysitter	mpitaiza
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	licence
bachelorette	bachelorette
back	indray
backboard	backboard
backbone	hazondamosina
backdoor	varavarana any aoriana
backdrop	resahana
backer	mpahandro
backfire	Hanaratsy
backgammon	backgammon
background	lafika
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	kitapo
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	ankoatry
backtrack	backtrack
backup	nomaniny ho solon'izay
backward	mihemotra
backwardness	fihemorana
backwards	backwards
backwater	backwater
backwoods	backwoods
backyard	tokotany
bacon	Bacon
bacteria	bakteria
bacterial	bakteria
bacterium	bakteria
bad	ratsy
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	karatra
badger	badger
badhabit	NO TRANSLATION
badly	ratsy
badness	ratsy
baffle	manahiran-tsaina ny
baffled	mivaralila
bag	bag
bagel	bagel
baggage	Entana
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	sodina
bail	onitra
bailiff	bailiff
bait	jono
bake	koa manendasa
bakery	fanaova-mofo
baking	mofo
bal	NO TRANSLATION
balance	fifandanjana
balanced	voalanjalanja
balcony	lavarangana
bald	sola
balding	balding
baldy	baldy
bale	Bale
balk	balk
ball	baolina
ballad	ballad
ballast	tsy hampihilangilana
ballerina	Ballerina
ballet	resaka teatra, dihy
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balloon
ballot	vatom-pifidianana
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balsama
balmy	balmy
balsam	balsama
balsamic	balsamic
bam	Bam
bamboo	volotsangana
ban	NO TRANSLATION
banana	akondro
band	tarika
bandage	bandy
bandanna	NO TRANSLATION
bandit	jiolahy
bandstand	bandstand
bandwagon	bandwagon
bandwidth	passante
bane	zava-doza
bang	Bang
banger	banger
