Word	ca
advent	avinguda
adventure	aventura
adventurer	aventurer
adventures	aventures
adventurous	aventurer
adversary	adversari
adverse	advers
adversity	adversitat
advertise	anunciar
advertisement	publicitat
advertising	publicitat
adverts	anuncis
advice	consells
advisable	recomanable
advise	aconsellar
advised	aconsellat
advisement	assessorament
adviser	assessor
advisor	assessor
advisory	assessorament
advocacy	advocacia
advocate	advocar
aegis	aegis
aeration	aireació
aerial	aeri
aerobics	aeròbic
aerodrome	aeròdrom
aerodynamic	aerodinàmica
aerodynamics	aerodinàmica
aeronautics	aeronàutica
aeroplane	avió
aerospace	aeroespacial
aesthetic	estètic
aesthetics	estètica
aetiology	etiologia
afar	lluny
affable	afable
affair	aventura
affect	afectar
affecting	afectant
affection	afecte
affectionate	afectuós
affections	afectes
affiche	NO TRANSLATION
affidavit	declaració jurada
affiliated	afiliat
affiliation	afiliació
affinity	afinitat
affirm	afirmar
affirmation	afirmació
affirmative	afirmatiu
affirmatively	afirmativament
affix	affix
afflict	aflicció
afflicted	afligit
affliction	aflicció
affluence	riquesa
affluent	afluent
afford	pagar
affordable	assequible
affront	afrontament
affronted	afrontat
afield	fora
afire	un incendi
afloat	a flotació
afore	abans
aforementioned	abans esmentat
aforesaid	esmentat
afraid	té por
afresh	de nou
african	africà
aft	popa
afterlife	més enllà
aftermath	conseqüències
afternoon	tarda
aftershave	aftershave
aftertaste	regust
afterthought	després de la reflexió
aga	NO TRANSLATION
agape	Agape
agate	àgata
age	edat
aged	envellit
agency	agència
agenda	agenda
agent	agent
agglomeration	aglomeració
aggravate	agreujar
aggravated	agreujat
aggravates	s'agreuja
aggravating	agreujant
aggravation	agreujament
aggregate	agregat
aggregation	agregació
aggresive	NO TRANSLATION
aggression	agressió
aggressive	agressiu
aggressively	agressivament
aggressiveness	agressivitat
aggressor	agressor
agh	agh
aghast	agotar
aghhh	NO TRANSLATION
agile	àgil
agility	agilitat
aging	envelliment
agitate	agitar
agitated	agitat
agitation	agitació
aglow	Aglow
agnostic	agnòstic
ago	fa
agonizing	agonitzant
agony	agonia
agoraphobia	agorafòbia
agree	acordar
agreeable	agradable
agreed	convingut
agreeing	acordant
agreement	acord
agressive	NO TRANSLATION
agricultural	agrícola
agriculture	agricultura
aground	encallat
agua	NO TRANSLATION
ahead	endavant
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	ajudes
aide	ajudant
aiding	ajudant
aids	ajudes
ail	ail
ailing	malalta
ailment	malaltia
aim	objectiu
aimless	sense sentit
air	aire
airbag	Airbag
airborne	aerotransportat
aircraft	avió
aircraft carrier	portaavions
airfield	aeròdrom
airhead	airhead
airlift	pujada aèria
airline	aerolínia
airliner	avió de línia
airlock	airejador
airman	aviador
airplane	avió
airport	aeroport
airs	aire
airship	aeronau
airspace	espai aeri
airspeed	velocitat aèria
airstrip	pista d'aterratge
airtight	estanca
airway	via aèria
aisle	passadís
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	igual
alabaster	alabastre
alarm	alarma
alarm clock	despertador
alarmed	alarmat
alarming	alarmant
alas	per desgràcia
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	àlbum
alchemy	alquímia
alcohol	alcohol
alcoholic	alcohòlic
alcoholism	alcoholisme
alcove	alcova
alderman	regidor
ale	NO TRANSLATION
alert	alerta
alertness	vigilància
alerts	alertes
alfalfa	Alfals
algebra	àlgebra
algebraic	algebraica
algorithm	algorisme
alias	àlies
alibi	coartada
alien	estranger
alienate	alienar
alienated	alienat
alienation	alienació
alight	s'encén
align	alinear
aligned	alineats
alignment	alineació
alike	igual
alimentation	NO TRANSLATION
alimony	pensió alimentària
aliquot	alíquota
alive	viu
alkali	àlcali
alkaloids	alcaloides
allay	allau
allegation	al · legació
allege	al·leguen
alleged	suposat
allegiance	lleialtat
allegorical	alegórico
allegory	al·legoria
allegro	allegro
allergic	al·lèrgic
allergy	al·lèrgia
alleviate	alleujar
alleviation	alleujament
alley	carreró
alleyway	carreró
alliance	aliança
allied	aliats
alligator	caiman
allocate	assignar
allocation	assignació
allot	allotjar
allotment	assignació
allow	permetre'l
allowable	admissible
allowance	subsidi
allowed	permès
alloy	aliatge
allsmiles	NO TRANSLATION
allure	encant
alluring	fascinant
allusion	al·lusió
alluvial	alluvial
ally	aliat
almanac	almanac
almighty	Totpoderós
almond	ametlla
aloft	a dalt
aloha	aloha
alone	sol
alongside	al costat
aloof	a part
aloud	en veu alta
alpha	alfa
alphabet	alfabet
alphabetical	alfabètic
alpine	alpí
alreadyyyyy	NO TRANSLATION
altar	altar
altar boy	noi altar
alter	alterar
alteration	alteració
altercation	altercació
altered	alterat
alternate	alternatiu
alternating	alternant
alternative	alternativa
altimeter	altímetre
altitude	altitud
alto	alto
altogether	en conjunt
aluminum	alumini
alumnus	alumne
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	amalgamació
amaretto	Amaretto
amass	amass
amateur	amateur
amaze	sorprèn
amazed	sorprès
amazedness	amistat
amazement	sorpresa
amazing	sorprenent
amazingly	sorprenentment
ambassador	ambaixador
amber	ambre
ambience	ambient
ambient	ambient
ambiguity	ambigüitat
ambiguous	ambigu
ambit	àmbit
ambition	ambició
ambitious	ambiciós
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulància
ambush	emboscada
ameliorate	Millorar
amen	amen
amenable	amenable
amend	esmenar
amendment	esmena
amends	esmena
amenity	comoditat
amethyst	Ametista
amiable	amable
amicable	amistós
amid	enmig
amidst	amunt
amino	amino
ammo	munició
ammonia	amoníac
ammonium	amoni
ammunition	municions
amnesia	amnèsia
amnesty	amnistia
amorous	amorós
amorphous	amorfa
amortization	amortització
amount	quantitat
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamines
amphibian	amfibi
amphibious	amfibis
amphitheater	amfiteatre
ample	àmplia
amplification	Amplificació
amplify	amplificar
amplitude	amplitud
amply	àmpliament
amputate	amputar
amputation	amputació
amuck	amuck
amulet	amulet
amuse	divertir
amused	divertit
amusement	diversió
amusing	divertit
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestèsia
anaesthetic	anestèsic
anagram	anagrama
anal	anal
analgesic	analgèsic
analogous	anàleg
analogue	analògic
analogy	analogia
analysis	anàlisi
analyst	analista
analytic	analític
analytical	analític
analyze	analitzar
analyzer	analitzador
anaphylactic	anafilàctic
anarchism	anarquisme
anarchist	anarquista
anarchy	anarquia
anastomosis	anastomosi
anathema	anatema
anatomic	anatòmic
anatomy	anatomia
ancestor	avantpassat
ancestral	ancestral
ancestry	ascendència
anchor	àncora
anchorage	ancoratge
ancient	antic
ancillary	auxiliars
androgen	Androgen
android	Android
anecdote	anècdota
anemia	anèmia
anemic	anémico
anemone	anemone
anesthesia	anestèsia
anesthesiologist	anestesiòleg
anesthetic	anestèsic
aneurysm	aneurisma
anew	novament
angel	àngel
angelic	angelical
anger	ràbia
angered	enutjat
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiograma
angiography	angiografia
angle	angle
angling	pescant
angora	angora
angriest	més ràbia
angry	enutjat
angrytweet	NO TRANSLATION
angst	angoixa
anguish	angoixa
anguished	angoixat
angular	angular
anhydrous	anhidre
animal	animal
animate	animar
animated	animat
animation	animació
animosity	animositat
animus	animus
ankle	turmell
anklet	turmellera
annals	anals
annex	annex
annexation	annexió
annexe	NO TRANSLATION
annihilate	aniquilar
annihilated	aniquilat
annihilation	aniquilació
anniversary	aniversari
annotate	anoteu
annotation	anotació
announce	anunciar
announcement	anunci
announcer	anunciador
annoy	molestar
annoyance	molèstia
annoyed	molest
annoyin	NO TRANSLATION
annoying	molest
annoys	molesta
annual	anual
annuity	anualitat
annul	anul·lar
annular	anular
annulment	anul·lació
annulus	annulus
anointed	ungido
anointing	unció
anomalous	anòmal
anomaly	anomalia
anon	anon
anonymity	anonimat
anonymous	anònim
anorexic	anorèxic
answer	resposta
answerable	responsable
answering	responent
ant	Formiga
antagonism	antagonisme
antagonist	antagonista
antagonistic	antagonista
antagonize	antagonitzar
ante	NO TRANSLATION
antecedent	antecedent
antelope	antílop
antenna	antena
anterior	anterior
anthem	himne
anthill	omplir
anthology	antologia
anthrax	antrax
anthropological	antropològic
anthropologist	antropòleg
anthropology	antropologia
anti	anti
antiaircraft	antiaeri
antibiotic	antibiòtic
antibiotics	antibiòtics
antichrist	anticristo
anticipate	anticipar
anticipation	anticipació
anticipatory	anticipatòria
antics	antics
antidote	antídot
antifungal	antifúngic
antigravity	antigracia
antimony	antimoni
antipathy	antipatia
antiquarian	antiquari
antiquated	antiquat
antique	antic
antiques	antiguitats
antiquity	antiguitat
antiseptic	antisèptic
antisocial	antisocial
antithesis	antitesis
antithetical	antitètic
antiviral	antiviral
antler	cornamenta
antsy	antsy
anus	anus
anvil	iclusa
anxiety	ansietat
anxietyattack	NO TRANSLATION
anxious	ansiós
anxiousness	ansietat
anytime	en qualsevol moment
aorta	aorta
aortic	aòrtica
apace	a pressa
apache	apache
apartment	apartament
apartments	apartaments
apathetic	apàtic
apathy	apatia
ape	mico
aperture	obertura
apex	àpex
aphid	pugó
aphrodisiac	afrodisíac
apiece	cada un
aplomb	aplom
apocalypse	apocalipsi
apocalyptic	apocalíptic
apologetic	apologètic
apologist	apologista
apologize	demaneu disculpes
apology	disculpa
apostasy	apostasía
apostate	apostat
apostle	apòstol
apostolic	apostòlic
apostrophe	apostrophe
apothecary	boticario
appalled	horroritzat
appalling	horrorós
apparatus	aparell
apparel	roba
apparent	aparent
apparently	pel que sembla
apparition	aparició
appeal	apel·lació
appear	apareixen
appearance	aparença
appease	aplacar
appellant	recurrent
append	afegir
appendage	apèndix
appendectomy	apendectomia
appendicitis	apendicitis
appendix	apèndix
appetite	apetit
appetizer	aperitiu
appetizing	apetitós
applaud	aplaudeix
applause	aplaudiments
apple	poma
apple juice	suc de poma
applejack	applejack
applesauce	poma de poma
appliance	electrodomèstics
appliances	electrodomèstics
applicability	aplicabilitat
applicable	aplicable
applicant	sol · licitant
application	aplicació
apply	aplicar
appoint	senyalar
appointment	cita prèvia
appointments	cites
apportion	prorrateig
apportionment	prorrateig
appraisal	valoració
appraise	valorar
appreciable	apreciable
appreciate	apreciar
appreciated	apreciat
appreciates	s'aprecia
appreciation	apreciació
appreciative	agraït
apprehend	aprehend
apprehension	aprensió
apprehensive	aprensiu
apprentice	aprenent
apprenticeship	aprenentatge
approach	enfocament
approaching	apropant-se
approbate	NO TRANSLATION
approbation	aprovació
appropriate	apropiat
appropriation	apropiació
approval	aprovació
approve	aprovar
approved	aprovat
approvement	aprovació
approving	aprovant
approximate	aproximat
approximately	aproximadament
approximating	aproximant-se
approximation	aproximació
appurtenances	pertinences
apricot	albercoc
apron	davantal
apt	apt
aptitude	aptitud
aqua	aqua
aquamarine	aiguamarina
aquarium	aquari
aquatic	aquàtic
aqueduct	aqüeducte
aqueous	aquós
arable	arable
arbiter	àrbitre
arbitrary	arbitrari
arbitrate	arbitre
arbitration	arbitratge
arbitrator	àrbitre
arbor	arbor
arc	arc
arcade	arcade
arcane	arcà
arch	arc
archaeological	arqueològic
archaeologist	arqueòleg
archaeology	arqueologia
archaic	arcaic
archangel	Arcàngel
archbishop	arquebisbe
archdiocese	arxidiòcesi
archduke	arxiduc
arched	arquejat
archer	arquero
archery	tir amb arc
archetype	arquetipo
archipelago	arxipèlag
architect	arquitecte
architectural	arquitectònic
architecture	arquitectura
archive	Arxiu
arctic	àrtic
ardent	ardent
ardor	ardor
arduous	àrdua
area	àrea
arena	Arena
areola	Areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentar
argument	argument
argumentation	argumentació
argumentative	argumentatiu
arguments	arguments
arid	àrid
arise	sorgir
aristocracy	aristocràcia
aristocrat	aristòcrata
aristocratic	aristocràtic
arithmetic	aritmètica
ark	arca
arm	braç
armada	armada
armament	armament
armaments	armaments
armature	armadura
armchair	butaca
armed	armat
armor	armadura
armored	blindat
armory	armeria
armpit	aixella
arms	armes
army	exèrcit
aroma	aroma
aromatherapy	aromateràpia
arousal	excitació
arouse	despertar
aroused	despertat
arraignment	expedient
arrange	organitzar
arranged	disposat
arrangement	arranjament
array	matriu
arrears	endarreriments
arrest	aturar
arrhythmia	arítmia
arrival	arribada
arrive	arribar
arrogance	arrogància
arrogant	arrogant
arrow	fletxa
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsènic
arson	incendi
arsonist	incendiari
art	art
arterial	arterial
artery	artèria
artful	atrapat
arthritis	artritis
arthropod	artròpode
artichoke	carxofa
article	article
articles	articles
articulate	articular
articulation	articulació
artifact	artefacte
artifice	artifici
artificial	artificial
artillery	artilleria
artisan	artesà
artist	artista
artiste	NO TRANSLATION
artistic	artístic
artistry	artística
artists	artistes
artwork	obra d'art
arty	arty
asap	el més aviat possible
asbestos	amiant
ascend	pujar
ascendancy	ascendència
ascendant	ascendent
ascending	ascendent
ascension	ascensió
ascent	pujada
ascertain	comprovar
ascertained	esbrinat
ascetic	ascético
ash	cendra
ashamed	avergonyit
ashes	cendres
ashtray	cendrer
asinine	asinina
ask	preguntar
asleeep	NO TRANSLATION
asleep	adormit
asp	ASP
asparagus	espàrrecs
aspartame	Aspartame
aspect	aspecte
aspects	aspectes
aspen	aspen
asphalt	asfalt
asphyxia	asfixia
asphyxiation	asfixia
aspiration	aspiració
aspire	aspirar
aspirin	aspirina
aspiring	aspirant
ass	cul
assail	assail
assailant	assaltant
assassin	assassí
assassinate	assassinar
assassination	assassinat
assault	assalt
assay	assaig
assemblage	muntatge
assemble	muntar
assembled	muntat
assembly	muntatge
assemblyman	assemblea
assent	assentiment
assert	afirma
asserting	afirmant
assertion	afirmació
assertive	asertiva
assess	avaluar
assessment	avaluació
assessor	assessor
asset	actiu
assets	actius
asshole	asshole
assign	assignar
assignee	cessionari
assignment	cessió
assimilate	assimilar
assimilation	assimilació
assist	ajudar
assistance	assistència
assistant	ajudant
associate	associar
association	Associació
assorted	Assortiment
assortment	assortiment
assuage	assuage
assume	assumir
assumed	assumit
assuming	suposant
assumption	suposició
assurance	garantia
assure	assegureu-vos
assured	assegurat
assuredly	segurament
asterisk	asterisc
asteroid	asteroide
asteroids	asteroides
asthma	asma
asthmatic	asmàtic
astigmatism	astigmatisme
astonish	sorprendre
astonished	sorprès
astonishing	sorprenent
astonishingly	NO TRANSLATION
astonishment	sorpresa
astound	sorprenent
astral	astral
astray	per mal camí
astringent	astringent
astrologer	astròleg
astrology	astrologia
astronaut	astronauta
astronomer	astrònom
astronomical	astronòmic
astronomy	astronomia
astute	astut
asunder	asunder
asylum	asil
asymmetric	asimètric
asymmetry	asimetria
asymptotic	asimptòtic
atelier	atelier
atheism	ateisme
atheist	ateu
atheistic	ateu
atherosclerosis	aterosclerosi
athlete	atleta
athletic	atlètic
athleticism	esportisme
athletics	atletisme
atlas	atles
atmosphere	ambient
atmospheric	atmosfèric
atoll	atol
atom	àtom
atomic	atòmic
atone	atone
atonement	expiació
atpeace	Atpeace
atrium	atri
atrocious	atroç
atrocity	atrocitat
atrophy	atròfia
attach	adjuntar
attached	adjunt
attachment	adjunció
attack	atac
attacker	atacant
attacking	atacant
attain	aconseguir
attainable	assolible
attainment	assoliment
attempt	intent
attempted	intentat
attend	assistir
attendance	assistència
attendant	assistent
attention	atenció
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	atent
attenuate	atenuar
attenuated	atenuat
attenuation	atenuació
attest	testifiqui
attestation	certificació
attic	àtic
attire	vestit
attitude	actitud
attorney	advocat
attract	atreure
attraction	atracció
attractive	atractiu
attractiveness	atractiu
attributable	atribuïble
attribute	atribut
attribution	atribució
attrition	desgast
auburn	castanya
auction	subhasta
auctioneer	subhastador
audacious	audaç
audacity	audàcia
audible	audible
audience	audiència
audio	àudio
audit	auditoria
audition	audició
auditions	audicions
auditor	auditor
auditorium	auditori
auditory	auditiu
aught	una mica
augment	augment
augmentation	augment
august	Agost
aunt	tia
auntie	tia
aura	aura
aurora	aurora
auspices	auspicis
auspicious	auspicis
austere	auster
austerity	austeritat
authentic	autèntic
authenticate	autenticar
authentication	autenticació
authenticity	autenticitat
author	autor
authoritative	autoritari
authority	autoritat
authorization	autorització
authorize	autoritzar
authorized	autoritzat
authorship	autoria
autism	autisme
autistic	autista
auto	auto
autobiographical	autobiogràfic
autobiography	autobiografia
autocorrect	correcció automàtica
autocratic	autocràtic
autograph	autògraf
autographed	autografiada
automated	automatitzat
automatic	automàtic
automobile	automòbil
automotive	automoció
autonomy	autonomia
autopilot	pilot automàtic
autopsy	autòpsia
autumn	tardor
auxiliary	auxiliar
avail	aprofitar
availability	disponibilitat
available	disponible
avalanche	allau
avarice	avarícia
avatar	avatar
avenge	venja
avenger	vengador
avenging	venjant
avenue	avinguda
aver	NO TRANSLATION
average	mitjana
aversation	aversió
averse	aversió
averseness	averseness
aversion	aversió
avert	evitar
aviary	aviari
aviation	aviació
aviator	aviador
avid	àvid
avocado	alvocat
avoid	evitar
avoidance	evitació
avoiding	evitant
await	esperar
awake	despert
awaken	despertar
awakening	despertar
award	premi
awards	premis
aware	conscients
awareness	conscienciació
awe	NO TRANSLATION
awed	sorprès
awesome	increïble
awesomeness	increïble
awestruck	sorprès
awful	horrible
awkward	incòmode
awkwardness	incomoditat
awning	tendal
awry	malament
axe	destral
axial	axial
axiom	axioma
axiomatic	axiomàtic
axis	eix
axle	eix
ay	ai
aye	Aye
azimuth	azimut
azure	azure
babble	babble
babbling	balbucejar
babe	nena
baboon	babuí
baby	bebè
babysit	cangur
babysitter	cangur
baccalaureate	Batxillerat
baccarat	Baccarat
bachelor	batxiller
bachelorette	bachelorette
back	esquena
backboard	escut
backbone	columna vertebral
backdoor	porta del darrere
backdrop	teló de fons
backer	recolzador
backfire	contrapiració
backgammon	backgammon
background	fons
backhand	backhand
backhoe	retroexcavadora
backoff	marxa enrere
backpack	motxilla
backpacker	motxillers
backroom	espai secundari
backseat	seient del darrere
backside	dors
backtrack	backtrack
backup	còpia de seguretat
backward	cap enrere
backwardness	endarreriment
backwards	cap enrere
backwater	reposar
backwoods	backwoods
backyard	pati posterior
bacon	cansalada
bacteria	bacteris
bacterial	bacterial
bacterium	bacteri
bad	dolent
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	insígnia
badger	teixó
badhabit	NO TRANSLATION
badly	malament
badness	maldat
baffle	deflector
baffled	desconcertat
bag	bossa
bagel	bagel
baggage	equipatge
baggie	baggie
baggy	folgat
bagman	bagman
bagpipes	gaites
bail	fiança
bailiff	agutzil
bait	esquer
bake	enfornar
bakery	fleca
baking	cocció
bal	NO TRANSLATION
balance	equilibri
balanced	equilibrat
balcony	balcó
bald	calb
balding	calb
baldy	calb
bale	bala
balk	balk
ball	bola
ballad	balada
ballast	llast
ballerina	ballarina
ballet	ballet
ballgame	joc de pilota
ballistic	balístic
ballistics	balística
balloon	globus
ballot	butlletí electoral
ballpark	ballpark
ballplayer	jugador de pilota
ballpoint	bolígraf
ballroom	saló de ball
ballsy	boles
balm	bàlsam
balmy	boig
balsam	bàlsam
balsamic	balsàmic
bam	bam
bamboo	bambú
ban	NO TRANSLATION
banana	plàtan
band	banda
bandage	embenatge
bandanna	NO TRANSLATION
bandit	bandit
bandstand	banda de música
bandwagon	carro
bandwidth	ample de banda
bane	bane
bang	bang
banger	banger
banish	desterrar
banished	desterrat
banishment	banishment
banister	barana
banjo	banjo
bank	banc
banker	banquer
banking	banca
bankroll	bankroll
bankrupt	fallida
bankruptcy	fallida
banner	pancarta
banquet	banquet
banshee	Banshee
banter	banter
banzai	NO TRANSLATION
baptism	baptisme
baptismal	baptismal
baptize	batejar
bar	bar
barb	barb
barbarian	bàrbar
barbaric	bàrbar
barbarism	barbàrie
barbecue	barbacoa
barbed	barbed
barber	barber
barbershop	barberia
barbie doll	nina barbie
bard	bard
bare	nu
bareback	bareback
barefoot	descalç
barely	amb prou feines
barf	barf
bargain	ganga
bargaining	negociació
barge	barcassa
baritone	baríton
barium	bari
bark	escorça
barkeep	guarderia
barks	ladres
barley	ordi
barmaid	barmaid
barman	barman
barn	graner
barnacle	percebe
barney	barney
barnyard	corral
barometer	baròmetre
baron	baró
baroness	baronesa
baroque	barroc
barrack	barraca
barracuda	barracuda
barrage	barrage
barred	prohibit
barrel	barril
barren	estèril
barricade	barricada
barrier	barrera
barring	prohibició
barrister	baròleg
barroom	barroom
barrow	barrow
bartender	cambrer
barter	bescanvi
base	base
baseball	beisbol
baseball bat	bat de beisbol
baseboard	sòcol
baseless	sense fonament
baseline	línia de base
baseman	baseman
basement	soterrani
bases	bases
bash	bash
bashful	boig
basic	bàsic
basics	Conceptes bàsics
basil	alfàbrega
basilica	basílica
basin	Conca
basis	base
bask	bask
basket	cistella
basketball	bàsquet
bass	baix
bass guitar	baix guitarra
basso	NO TRANSLATION
bassoon	fagot
bastard	bastardo
bastarding	Bastarding
bastards	bastards
bastion	baluard
bat	bat
batch	lot
batching	batching
bate	NO TRANSLATION
bath	bany
bathe	banyar-se
bathhouse	casa de bany
bathing	banyar-se
bathrobe	barnús
bathroom	bany
bathtub	banyera
bathymetry	batimetria
baton	batuta
battalion	batalló
batter	batedor
battered	maltractat
battering	batre
battery	bateria
battle	batalla
battled	lluitat
battlefield	camp de batalla
battleground	camp de batalla
battlements	merlets
battleship	cuirassat
batty	Batty
bauble	bauble
bawdy	sorollós
bawl	bawl
bay	badia
bayonet	bayoneta
bayou	bayou
bazaar	bazar
bazooka	bazooka
bday	bday
be	ser
beach	platja
beaches	platges
beacon	far
bead	perla
beading	rebord
beads	boles
beady	Beady
beagle	beagle
beak	bec
beaker	gotero
beam	biga
beaming	beaming
bean	fava
beanbag	beanbag
beanie	beanie
bear	suportar
bearable	suportable
beard	barba
bearded	barbut
bearer	portador
bearing	portant
bearings	rodaments
bearish	baixista
bearskin	bearskin
beast	bèstia
beastly	bestial
beat	batre
beaten	batut
beater	batidor
beating	batre
beatnik	beatnik
beau	beau
beautification	embelliment
beautiful	bonic
beautify	embellir
beauty	bellesa
beaver	castor
bebop	Bebop
beck	beck
beckon	beckon
become	convertir-se en
bed	llit
bedding	roba de llit
bedpan	llitera
bedrock	roca de fons
bedroom	dormitori
bedside	capçalera
bedspread	cobrellit
bedtime	hora de dormir
bee	abella
beef	carn de res
beefsteak	bistec de vedella
beehive	rusc
beep	sonar
beeper	beeper
beer	cervesa
bees	abelles
beeswax	cera d'abelles
beetle	escarabat
befall	caure
befitting	convenient
befriend	amic
