Word	ht
adulthood	adilt
advance	avanse
advanced	avanse
advancement	avansman
advancing	avanse
advantage	avantaj
advantageous	avantaje
advent	avènement
adventure	avanti
adventurer	avanturyé
adventures	avantur
adventurous	avantur
adversary	advèsè
adverse	negatif
adversity	advèsite
advertise	fè piblisite
advertisement	reklam
advertising	piblisite
adverts	anons
advice	konsèy
advisable	konseye
advise	konseye
advised	konseye
advisement	konsèy
adviser	konseye
advisor	konseye
advisory	konsèy
advocacy	defann dwa moun
advocate	avoka
aegis	nan
aeration	Aérasyon
aerial	ayeryen
aerobics	Ayewobiks
aerodrome	ayewopò
aerodynamic	aerodinamik
aerodynamics	Aerodynamik
aeronautics	Aewonotik
aeroplane	avyon
aerospace	Ayewopò
aesthetic	ayestetik
aesthetics	estetik
aetiology	etyoloji
afar	byen lwen
affable	afab
affair	zafè
affect	afekte
affecting	afekte
affection	afeksyon
affectionate	afeksyon
affections	afeksyon
affiche	NO TRANSLATION
affidavit	afidavi
affiliated	afilye
affiliation	afilyasyon
affinity	afinite
affirm	afime
affirmation	afimasyon
affirmative	afimatif
affirmatively	afimativman
affix	afich
afflict	aflije
afflicted	aflije
affliction	afliksyon
affluence	pwosperans
affluent	Fortine
afford	peye
affordable	abòdab
affront	afwonte
affronted	afwonte
afield	ale
afire	yon dife
afloat	ap flote
afore	anvan
aforementioned	Prevansyon
aforesaid	yo
afraid	pè
afresh	ankò
african	Afriken
aft	aft
afterlife	dla
aftermath	konsekans
afternoon	apremidi
aftershave	apre
aftertaste	gou
afterthought	apre yo fin
aga	NO TRANSLATION
agape	agape
agate	agate
age	laj
aged	ki gen laj
agency	ajans
agenda	ajanda
agent	ajan
agglomeration	aglomerasyon
aggravate	agrave
aggravated	agrave
aggravates	agrave
aggravating	agravasyon
aggravation	vin pi grav
aggregate	total
aggregation	agrégation
aggresive	NO TRANSLATION
aggression	agresyon
aggressive	agresif
aggressively	agresif
aggressiveness	agresif
aggressor	agresè
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	ajil
agility	ladrès
aging	aje
agitate	ajite
agitated	ajite
agitation	ajitasyon
aglow	Aglow
agnostic	agnostik
ago	de sa
agonizing	agonizing
agony	agoni
agoraphobia	agorafobi
agree	dakò
agreeable	agreyab
agreed	te dakò
agreeing	dakò
agreement	akò
agressive	NO TRANSLATION
agricultural	agrikòl
agriculture	agrikilti
aground	yon tè
agua	NO TRANSLATION
ahead	devan yo
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	zèb
aid	èd
aide	asistan
aiding	ede
aids	èd
ail	Ail
ailing	malad
ailment	maladi
aim	vize
aimless	vole
air	lè
airbag	èrbag
airborne	ayeryèn
aircraft	avyon
aircraft carrier	avyon konpayi asirans lan
airfield	avyon
airhead	Air
airlift	avyon
airline	avyon
airliner	avyon
airlock	Airlock
airman	avyon
airplane	avyon
airport	ayewopò
airs	lè
airship	dirijabl
airspace	Airspace
airspeed	airspeed
airstrip	Airstrip
airtight	lou
airway	Airway
aisle	ale
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	analogue
alabaster	alabaster
alarm	alam
alarm clock	revèy alam
alarmed	pè
alarming	alarmant
alas	Ay
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchimi
alcohol	alkòl
alcoholic	alkòl
alcoholism	alkòl
alcove	alyen
alderman	alderman
ale	NO TRANSLATION
alert	alèt
alertness	vijilans
alerts	alèt
alfalfa	Alfalfa
algebra	aljèb
algebraic	aljèb
algorithm	algorithm
alias	alyas
alibi	alibi
alien	etranje
alienate	alyenate
alienated	alyenasyon
alienation	izolman
alight	ale
align	aliman
aligned	aliyen
alignment	aliyman
alike	sanble
alimentation	NO TRANSLATION
alimony	alimoni
aliquot	alikot
alive	vivan
alkali	alkali
alkaloids	alkaloid
allay	alye
allegation	akizasyon
allege	alye
alleged	swadizan
allegiance	alejans
allegorical	alegorik
allegory	alegorism
allegro	alegro
allergic	alèji
allergy	alèji
alleviate	soulaje
alleviation	soulaje
alley	ale
alleyway	ale
alliance	alyans
allied	alye
alligator	Kayiman
allocate	asiyen
allocation	alokasyon
allot	Allot
allotment	Allotment
allow	pèmèt
allowable	admisib
allowance	alokasyon
allowed	pèmèt
alloy	alyaj
allsmiles	NO TRANSLATION
allure	atire
alluring	alyans
allusion	alizyon
alluvial	alyuvial
ally	alye
almanac	almanak
almighty	ki gen tout pouvwa
almond	zanmann
aloft	aloft
aloha	premyèman
alone	pou kont li
alongside	ansanm
aloof	aloof
aloud	byen fò
alpha	alfa
alphabet	alfabè
alphabetical	alfabèt
alpine	alpine
alreadyyyyy	deja
altar	lotèl la
altar boy	lotèl ti gason
alter	chanje
alteration	chanjman
altercation	diskisyon
altered	chanje
alternate	altène
alternating	altène
alternative	altènatif
altimeter	altimèt
altitude	altitid
alto	alto
altogether	tout ansanm
aluminum	aliminyòm
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamasyon
amaretto	amaretto
amass	ranmase
amateur	amatè
amaze	etone
amazed	sezi
amazedness	NO TRANSLATION
amazement	sezi
amazing	etonan
amazingly	étonant
ambassador	anbasadè
amber	amber
ambience	anbyans
ambient	anbyen
ambiguity	anbigwite
ambiguous	Limit
ambit	anbisyon
ambition	Anbisyon
ambitious	anbisye
ambivalent	anbyans
ambrosia	Ambrosia
ambulance	anbilans
ambush	anbiskad
ameliorate	amelyore
amen	amèn
amenable	prèv
amend	amande
amendment	amannman
amends	amande
amenity	amenajman
amethyst	ametist
amiable	amikal
amicable	amikal
amid	nan milye
amidst	nan mitan
amino	amino
ammo	minisyon
ammonia	amonyak
ammonium	amonyòm
ammunition	minisyon
amnesia	amnésie
amnesty	amnisti
amorous	amoure
amorphous	amorphe
amortization	amortissement
amount	kantite lajan
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamin
amphibian	anfibyen
amphibious	anfibi
amphitheater	amphitheater
ample	ase
amplification	anplifikasyon
amplify	anplifye
amplitude	anplitid
amply	anpil
amputate	amputate
amputation	anpitasyon
amuck	amuck
amulet	amilèt
amuse	amize
amused	s'amuse
amusement	amizman
amusing	amizan
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestezi
anaesthetic	anestezi
anagram	anagram
anal	nan dèyè
analgesic	analgesic
analogous	analòg
analogue	analogique
analogy	analoji
analysis	analiz
analyst	analis
analytic	analitik
analytical	analyse
analyze	analize
analyzer	analyser
anaphylactic	anaphylaktik
anarchism	anarchism
anarchist	anarchist
anarchy	anachi
anastomosis	anastomoz
anathema	Anatèm
anatomic	anatomik
anatomy	anatomi
ancestor	zansèt
ancestral	zansèt
ancestry	zansèt
anchor	jete lank
anchorage	anchorage
ancient	ansyen
ancillary	oksilyè
androgen	androgen
android	android
anecdote	anekdot
anemia	anemi
anemic	anemik
anemone	anemòn
anesthesia	anestezi
anesthesiologist	anestezi
anesthetic	anestezi
aneurysm	aneurism
anew	ankò
angel	anj
angelic	zanj
anger	kòlè
angered	fache
angermanagement	NO TRANSLATION
angina	anjin
angiogram	anjyogram
angiography	anjyografi
angle	ang
angling	Pêche
angora	angora
angriest	enkyetid
angry	fache
angrytweet	NO TRANSLATION
angst	anmè
anguish	lapenn
anguished	lapenn
angular	angilè
anhydrous	anidrit
animal	bèt
animate	anime
animated	anime
animation	Animasyon
animosity	animosite
animus	Animus
ankle	cheviy
anklet	anklet
annals	Annale
annex	anèks
annexation	anèks
annexe	NO TRANSLATION
annihilate	elimine
annihilated	anile
annihilation	anilasyon
anniversary	anivèsè
annotate	anote
annotation	anote
announce	anonse
announcement	anons
announcer	anonse
annoy	anbete
annoyance	anmèdan
annoyed	énervé
annoyin	NO TRANSLATION
annoying	anmèdan
annoys	anoi
annual	chak ane
annuity	anwite
annul	revoke
annular	annik
annulment	anilasyon
annulus	annulus
anointed	soulaje
anointing	alimantasyon
anomalous	anomalous
anomaly	anomali
anon	anon
anonymity	anonimite
anonymous	anonim
anorexic	anorèks
answer	Repons
answerable	reponn
answering	reponn
ant	ant
antagonism	antagonis
antagonist	antagonist
antagonistic	antagonik
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antilop
antenna	antèn
anterior	antérieure
anthem	imèn
anthill	anthill
anthology	Anthology
anthrax	anthrax
anthropological	antwopolojik
anthropologist	antwopològ
anthropology	antwopoloji
anti	anti
antiaircraft	antye
antibiotic	antibyotik
antibiotics	antibyotik
antichrist	antikristyanism
anticipate	prevwa
anticipation	antisipasyon
anticipatory	anticipatory
antics	antik
antidote	antidot
antifungal	antifonjik
antigravity	antigravite
antimony	antimony
antipathy	antipati
antiquarian	antikye
antiquated	ansyen
antique	antik
antiques	lantikite
antiquity	antikite
antiseptic	Antiseptik
antisocial	antisosyal
antithesis	antitèz
antithetical	antitetik
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	enkyetid
anxietyattack	NO TRANSLATION
anxious	enkyete
anxiousness	enkyetid
anytime	nenpòt lè
aorta	Aorta
aortic	aortik
apace	apace
apache	Apache
apartment	apatman
apartments	apatman
apathetic	endiferan
apathy	Apeti
ape	Makak
aperture	Ouverture
apex	Apex
aphid	afich
aphrodisiac	Aphrodizyak
apiece	yon moso
aplomb	aplon
apocalypse	Apocalypse
apocalyptic	Apokalips
apologetic	apolojik
apologist	apològ
apologize	mande padon
apology	ekskiz
apostasy	apostazi
apostate	aposta
apostle	apòt
apostolic	apostolik
apostrophe	apostwòf
apothecary	Apotekè
appalled	sezi
appalling	terifyan
apparatus	aparèy
apparel	rad
apparent	aparan
apparently	aparamman
apparition	aparisyon
appeal	fè apèl la
appear	parèt
appearance	aparans
appease	fè apèl
appellant	apèl la
append	ajoute
appendage	Apendis
appendectomy	Apendetik
appendicitis	Apendis
appendix	anèks
appetite	apeti
appetizer	Aperitif
appetizing	Apetisan
applaud	bat bravo
applause	aplodisman
apple	pòm
apple juice	ji pòm
applejack	applejack
applesauce	pòm
appliance	aparèy
appliances	aparèy yo
applicability	aplikab
applicable	aplikab
applicant	aplikan
application	aplikasyon
apply	aplike
appoint	nonmen
appointment	randevou
appointments	randevou
apportion	divizyon
apportionment	Distribisyon
appraisal	evalyasyon
appraise	Evalye
appreciable	apresye
appreciate	apresye
appreciated	apresye
appreciates	apresye
appreciation	apresyasyon
appreciative	apresye
apprehend	arete
apprehension	arèstasyon
apprehensive	kretyen
apprentice	apranti
apprenticeship	aprantisaj
approach	apwòch
approaching	apwoche
approbate	NO TRANSLATION
approbation	apwobasyon
appropriate	apwopriye
appropriation	afektasyon
approval	apwouve
approve	apwouve
approved	apwouve
approvement	apwobasyon
approving	apwouve
approximate	apwoksimatif
approximately	apeprè
approximating	apwoksimatif
approximation	apwoksimasyon
appurtenances	aparans
apricot	abiko
apron	Kabina
apt	Apt
aptitude	aptitid
aqua	aqua
aquamarine	aquamarine
aquarium	akwaryòm
aquatic	akwatik
aqueduct	akduk
aqueous	akeuz
arable	arab
arbiter	arbiter
arbitrary	abitrè
arbitrate	arbitrate
arbitration	abitraj
arbitrator	medyatè
arbor	arbor
arc	arc
arcade	Arcade
arcane	arcane
arch	vout
archaeological	akeyolojik
archaeologist	akeyològ
archaeology	akeyoloji
archaic	reyaksyonè
archangel	arkanj
archbishop	monsenyè
archdiocese	Achidyosèz
archduke	Archduke
arched	vout
archer	Archer
archery	archery
archetype	arketip
archipelago	achipèl
architect	achitèk
architectural	achitekti
architecture	achitekti
archive	achiv
arctic	aktik
ardent	ardent
ardor	jidisyè
arduous	jòb ki vrèman difisil
area	zòn nan
arena	tèren
areola	seola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	diskite
argument	agiman
argumentation	agiman
argumentative	agiman
arguments	agiman
arid	arid
arise	leve
aristocracy	aristokrasi
aristocrat	aristocrate
aristocratic	aristokrat
arithmetic	aritmetik
ark	ark
arm	bra
armada	zam
armament	zam
armaments	zam
armature	aranjman
armchair	fotèy
armed	ame
armor	zam
armored	blende
armory	zam
armpit	anbabye
arms	bra
army	lame
aroma	bon sant
aromatherapy	aromaterapi
arousal	eksitasyon
arouse	eksite
aroused	te eksite
arraignment	aranjman
arrange	ranje
arranged	ranje
arrangement	aranjman
array	etalaj
arrears	aryere yo
arrest	arestasyon
arrhythmia	aritmi
arrival	arive
arrive	rive
arrogance	awogans
arrogant	arogan
arrow	flèch
arsehole	arsehole
arseholes	arseholes
arsenal	asenal
arsenic	asenik
arson	mete dife
arsonist	arsonist
art	atizay
arterial	atè
artery	atè
artful	koken
arthritis	atrit
arthropod	arthropod
artichoke	Aticho
article	atik
articles	atik
articulate	articuler
articulation	atikilasyon
artifact	asosif
artifice	artifice
artificial	atifisyèl
artillery	zam
artisan	atizan
artist	atis
artiste	NO TRANSLATION
artistic	atistik
artistry	atistik
artists	atis
artwork	travay atistik
arty	Atizay
asap	asap
asbestos	asbesto
ascend	monte
ascendancy	asansyon
ascendant	asandant
ascending	monte
ascension	Asansyon
ascent	monte
ascertain	rann kont
ascertained	detèmine
ascetic	asèt
ash	sann
ashamed	wont
ashes	sann
ashtray	sandriye
asinine	asinin
ask	mande
asleeep	NO TRANSLATION
asleep	dòmi
asp	asp
asparagus	aspèj
aspartame	aspartame
aspect	aspè
aspects	Aspè
aspen	aspen
asphalt	asfalt
asphyxia	asfiksi
asphyxiation	asfiksi
aspiration	aspirasyon
aspire	renmen
aspirin	aspirin
aspiring	aspiran
ass	manman bourik
assail	detèmine
assailant	atakan
assassin	asasen
assassinate	asasen
assassination	asasina
assault	atak
assay	pran echantiyon
assemblage	asanble
assemble	rasanble
assembled	reyini
assembly	Asanble
assemblyman	asanble
assent	aji
assert	afime
asserting	deklare
assertion	deklarasyon
assertive	assertive
assess	evalye
assessment	evalyasyon
assessor	Evalyatè
asset	avantaj
assets	byen
asshole	estipid
assign	bay
assignee	asistan
assignment	plasman
assimilate	asimile
assimilation	asimilasyon
assist	ede
assistance	asistans
assistant	asistan
associate	asosye
association	asosyasyon
assorted	asòti
assortment	varyete
assuage	afekte
assume	asime
assumed	sipoze
assuming	asepte
assumption	sipozisyon
assurance	asirans
assure	asire
assured	asire ou
assuredly	byen
asterisk	asterisk
asteroid	astewoyid
asteroids	astewoyid
asthma	opresyon
asthmatic	Asthmatik
astigmatism	Astigmatism
astonish	etone
astonished	sezi
astonishing	etonan
astonishingly	NO TRANSLATION
astonishment	sezi
astound	etone
astral	astral
astray	tris
astringent	dantre
astrologer	astrolog
astrology	Astwoloji
astronaut	astwonòt
astronomer	astwonòm
astronomical	astwonomik
astronomy	Astwonomi
astute	rize
asunder	janbe
asylum	azil
asymmetric	asimetri
asymmetry	Asymétrie
asymptotic	asikptotik
atelier	atelier
atheism	ateism
atheist	ate
atheistic	ate
atherosclerosis	ateroskleroz
athlete	atlèt
athletic	atletik
athleticism	atletik
athletics	atletik
atlas	atlas
atmosphere	atmosfè
atmospheric	atmosferik
atoll	atol
atom	atòm
atomic	atomik
atone	aton
atonement	ekspyasyon
atpeace	atpeace
atrium	atrium
atrocious	atròs
atrocity	atwosite
atrophy	atrofi
attach	tache
attached	atache
attachment	atachman
attack	atak
attacker	atakè
attacking	atake
attain	atenn
attainable	atenn
attainment	akonplisman
attempt	tantativ
attempted	eseye
attend	ale nan
attendance	prezans
attendant	asistan
attention	atansyon
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	atantif
attenuate	atenye
attenuated	atenye
attenuation	atenuasyon
attest	ateste
attestation	atestasyon
attic	grenye
attire	vètman
attitude	atitid
attorney	avoka
attract	atire
attraction	atraksyon
attractive	atire
attractiveness	plus
attributable	atribuabl
attribute	atribi
attribution	attribution
attrition	atraksyon
auburn	Auburn
auction	vann piblik
auctioneer	vann piblik
audacious	odasyeu
audacity	odasye
audible	sonib
audience	odyans
audio	odyo
audit	kontwòl kontab
audition	odisyon
auditions	odisyon
auditor	oditè
auditorium	oditoryòm
auditory	oditif
aught	aught
augment	ogmante
augmentation	ogmantasyon
august	Out
aunt	matant
auntie	auntie
aura	Aura
aurora	aurora
auspices	epès
auspicious	favorab
austere	ki di
austerity	osterite
authentic	natif natal
authenticate	Otantifye
authentication	Otantifikasyon
authenticity	otantisite
author	otè
authoritative	otorite
authority	otorite
authorization	otorizasyon
authorize	otorize
authorized	otorize
authorship	patènite
autism	otis
autistic	otis
auto	oto
autobiographical	otobiografik
autobiography	otobiyografi
autocorrect	autocorrect
autocratic	otokratik
autograph	otograf
autographed	otografi
automated	otomatik
automatic	otomatik
automobile	otomobil
automotive	otomobil
autonomy	otonomi
autopilot	otopilot
autopsy	otopsi
autumn	otòn
auxiliary	oksilyè
avail	pwofite
availability	disponiblite
available	disponib
avalanche	lavalas
avarice	avarice
avatar	avatar
avenge	vanje
avenger	avyon
avenging	vanjans
avenue	avni
aver	NO TRANSLATION
average	mwayèn
aversation	NO TRANSLATION
averse	advèrsèr
averseness	averseness
aversion	Aversion
avert	evite
aviary	aviary
aviation	aviyasyon
aviator	aviator
avid	grangou
avocado	zaboka
avoid	evite
avoidance	evite
avoiding	evite
await	tann
awake	reveye
awaken	reveye
awakening	Awakening
award	prim
awards	prim
aware	okouran
awareness	konsyans
awe	NO TRANSLATION
awed	awed
awesome	awizom
awesomeness	awesomeness
awestruck	awestruck
awful	terib
awkward	gòch
awkwardness	malèz
awning	banza
awry	fou
axe	rach
axial	axial
axiom	aksyòm
axiomatic	aksyomatik
axis	aks
axle	aks
ay	ay
aye	Aye
azimuth	azimit
azure	ble
babble	babble
babbling	tranbleman
babe	Babe
baboon	babon
baby	ti bebe
babysit	babysit
babysitter	Babysitter
baccalaureate	Bakaloreya
baccarat	Baccarat
bachelor	bakaloreya
bachelorette	bachlorèt
back	tounen
backboard	bak
backbone	rèl do
backdoor	pòt dèyè
backdrop	seri
backer	fè bak
backfire	fè bak
backgammon	bakgamon
background	background
backhand	tournwa
backhoe	machandiz
backoff	bak
backpack	sakado
backpacker	backpacker
backroom	salon
backseat	backseat
backside	dèyè
backtrack	rtour
backup	backup
backward	bak
backwardness	feblès
backwards	bak
backwater	rmou
backwoods	raje
backyard	lakou
bacon	bekonn
bacteria	bakteri
bacterial	bakteri
bacterium	bakteri
bad	move
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badj
badger	badger
badhabit	NO TRANSLATION
badly	seryezman
badness	mechanste
baffle	bifle
baffled	baffled
bag	sak
bagel	bagel
baggage	bagaj
baggie	baggie
baggy	Baggy
bagman	bagman
bagpipes	sak
bail	kosyon
bailiff	Gouverneurs
bait	Garnier
bake	kwit
bakery	boulanjri
baking	boulanjri
bal	NO TRANSLATION
balance	balans
balanced	balanse
balcony	balkon
bald	chòv
balding	balding
baldy	baldy
bale	bal
balk	balkon
ball	boul
ballad	Chansons
ballast	balè
ballerina	balerin
ballet	balè
ballgame	boul
ballistic	balistik
ballistics	balistik
balloon	balon
ballot	bilten vòt
ballpark	boulpark
ballplayer	ballplayer
ballpoint	boulon
ballroom	bal
ballsy	ballsy
balm	balm
balmy	balmy
balsam	bale
balsamic	balsamik
bam	bam
bamboo	banbou
ban	NO TRANSLATION
banana	bannann
band	bann
bandage	bandaj
bandanna	NO TRANSLATION
bandit	ansasen
bandstand	bandstand
bandwagon	mouvman
bandwidth	Pleasant
bane	malè
bang	bang
banger	banger
banish	bani
banished	depòte
banishment	Ban
banister	repiyans
banjo	banjo
bank	bank
banker	Bankye
banking	bankè
bankroll	bankroll
bankrupt	depourvu
bankruptcy	fayit
banner	banyè
banquet	bankè
banshee	banshee
banter	benyen
banzai	NO TRANSLATION
baptism	batèm
baptismal	batèm
baptize	batize
bar	bar
barb	barb
barbarian	barbares
barbaric	barbarism
barbarism	barbarism
barbecue	babekyou
barbed	barbele
barber	kwafè
barbershop	Barbershop
barbie doll	barbie poupe
bard	bard
bare	fè
bareback	bareback
barefoot	mache pye atè
barely	apèn
barf	barf
bargain	negosye
bargaining	negosyasyon
barge	chalan
baritone	baritone
barium	barium
bark	jape
barkeep	barkeep
barks	yo
barley	lòj
barmaid	baraid
barman	barman
barn	galata
barnacle	barnak
barney	barney
barnyard	barnyard
barometer	bawomèt
baron	Baron
baroness	baroness
baroque	barok
barrack	kazèn
barracuda	barrakuda
barrage	baraj
barred	entèdi
barrel	barik
barren	fè pitit
barricade	barikad
barrier	baryè
barring	anpeche
barrister	avoka
barroom	salon
barrow	kari
bartender	Barman
barter	twòk
base	baz
baseball	bezbòl
baseball bat	baton bezbòl
baseboard	planch
baseless	san valè
baseline	debaz
baseman	baseman
basement	sousòl
bases	baz
bash	bach
bashful	bashful
basic	debaz
basics	Basics
basil	Basil
basilica	Bazilik
basin	basen
basis	baz
bask	dore
basket	panyen
basketball	baskètbòl
bass	bas
bass guitar	bas gita
basso	NO TRANSLATION
bassoon	bawon
bastard	bata
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	baton
batch	pakèt
batching	pakèt
bate	NO TRANSLATION
bath	benyen
bathe	benyen
bathhouse	benyen
bathing	benyen
bathrobe	moumou
bathroom	twalèt
bathtub	benyen
bathymetry	bathymetry
baton	baton
battalion	batayon
batter	batri
battered	bat
battering	bat
battery	batri
battle	batay
battled	batay
battlefield	chan batay
battleground	chan batay
battlements	chanpiyon
battleship	kwirase
batty	batty
bauble	bauble
bawdy	bawdy
bawl	bawl
bay	Bay
bayonet	Bayonèt
bayou	Bayou
bazaar	baza
bazooka	bazouka
bday	bday
be	être
beach	plaj
beaches	plaj
beacon	Beacon
bead	chaplèt
beading	chaplèt
beads	pèl
beady	beady
beagle	beagle
beak	bèk
beaker	Beaker
beam	gwo bout bwa
beaming	blan
bean	pwa
beanbag	Bannann
beanie	beanie
bear	lous
bearable	chaje
beard	bab
bearded	briyan
bearer	gad
bearing	kote yo pote
bearings	bi
bearish	Baryè
bearskin	Bearskin
beast	bèt
beastly	bèt
beat	bat
beaten	bat
beater	baton
beating	bat
beatnik	beatnik
beau	beau
beautification	anbelisman
beautiful	bèl
beautify	bèl
beauty	bote
beaver	kastò
bebop	bebop
beck	beck
beckon	fèy
become	vin tounen
bed	kabann
bedding	kabann
bedpan	kabann
bedrock	soubasman
bedroom	chanm
bedside	kabann
bedspread	koule
bedtime	dòmi
bee	myèl
beef	vyann bèf
beefsteak	beefsteak
beehive	beehive
beep	bèy
beeper	bipè
beer	byè
bees	myèl
beeswax	sire
beetle	skarabe
befall	tonbe
befitting	befitting
befriend	trete an zanmi
befuddled	befuddled
beg	mande
beggar	plenyen
begging	t'ap mande charite
