Word	sm
admissibility	faʻatagaina
admissible	taliaina
admission	ulufale
admit	taʻutaʻu
admittance	taliaina
admitted	ioeina
admitting	ioeina
admixture	talofa
admonition	apoapoaiga
ado	pele
adobe	adobe
adolescence	talavou
adolescent	talavou
adopt	talia
adoption	tamaʻitaʻi
adoptive	faʻataʻitaʻi
adorable	matagofie
adoration	faamemelo
adore	faʻaaloalo
adoring	tapuaʻi
adorn	teuteu
adornment	teuteu
adrenalin	adrenalin
adrenaline	adrenaline
adrift	faʻatau
adult	tagata matutua
adulterated	mulilua
adulterer	mulilua
adultery	mulilua
adulthood	matua
advance	muamua
advanced	sili atu
advancement	alualu i luma
advancing	agai i luma
advantage	manuia
advantageous	aoga
advent	afio mai
adventure	malaga
adventurer	tagata faʻasalalau
adventures	mea tutupu
adventurous	tagata faʻasalalau
adversary	fili
adverse	leaga
adversity	faigata
advertise	faasalalauina
advertisement	faasalalauga faatosina
advertising	faasalalauga
adverts	faasalalauga
advice	fautuaga
advisable	fautuaina
advise	fautuaina
advised	fautuaina
advisement	Fautuaga
adviser	faufautua
advisor	faufautua
advisory	faufautua
advocacy	faufautua
advocate	fautua
aegis	aegis
aeration	vaʻavaʻa
aerial	vaalele
aerobics	fomaʻi
aerodrome	malae vaalele
aerodynamic	malae vaalele
aerodynamics	malae vaʻalele
aeronautics	tagata femalagaiga i luga o le ea
aeroplane	vaalele
aerospace	aerospace
aesthetic	matagofie
aesthetics	aesthetics
aetiology	aioioio
afar	mamao
affable	affable
affair	mataupu
affect	aafia ai
affecting	aafia ai
affection	alofa
affectionate	alofa
affections	alofa
affiche	NO TRANSLATION
affidavit	faʻamaoniga
affiliated	faʻatasi
affiliation	mafutaga
affinity	faʻatasi
affirm	faʻamaonia
affirmation	faʻamaoniga
affirmative	ioe
affirmatively	ioe
affix	afifi
afflict	mafatia
afflicted	mafatia
affliction	puapuaga
affluence	tamaoaiga
affluent	tamaoaiga
afford	gafatia
affordable	taugofie
affront	faʻalavelave
affronted	ita
afield	aferika
afire	afifi
afloat	afu
afore	muamua
aforementioned	ua taua muamua
aforesaid	ua taua muamua
afraid	fefe
afresh	fou
african	african
aft	afu
afterlife	pe a mavae le ola
aftermath	mulimuli ane
afternoon	aoauli
aftershave	pe a maeʻa
aftertaste	mulimuli ane
afterthought	i tua
aga	NO TRANSLATION
agape	agape
agate	agate
age	tausaga
aged	matua
agency	lala sooupu
agenda	lisi o mataupu
agent	sooupu
agglomeration	agavaʻa
aggravate	faʻaleagaina
aggravated	ua faateteleina
aggravates	faʻalavelave
aggravating	faʻateleina
aggravation	faʻaleagaina
aggregate	faʻatasi
aggregation	tuufaatasiga
aggresive	NO TRANSLATION
aggression	osofaiga
aggressive	faʻamalosi
aggressively	faʻamalosi
aggressiveness	faʻamalosi
aggressor	tagata sauā
agh	a
aghast	taua
aghhh	NO TRANSLATION
agile	agile
agility	agavaʻa
aging	matua
agitate	faʻaosooso
agitated	atuatuvale
agitation	osofaʻiga
aglow	aglow
agnostic	agnostic
ago	ua mavae
agonizing	tiga
agony	tiga
agoraphobia	agoraphobia
agree	malilie
agreeable	malie
agreed	malilie
agreeing	malilie
agreement	maliega
agressive	NO TRANSLATION
agricultural	faatoaga
agriculture	faatoaga
aground	vasa
agua	NO TRANSLATION
ahead	luma atu
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	lalelei
aid	fesoasoani
aide	fesoasoani
aiding	fesoasoani
aids	fesoasoani
ail	a
ailing	maʻi
ailment	maʻi
aim	sini
aimless	leai se aoga
air	ea
airbag	vaalele
airborne	vaalele
aircraft	vaalele
aircraft carrier	vaalele vaalele
airfield	malae vaalele
airhead	vaalele
airlift	lele
airline	vaalele
airliner	vaalele
airlock	vaalele
airman	vaalele
airplane	vaalele
airport	malaevaalele
airs	ea
airship	vaalele
airspace	vaalele
airspeed	felelei
airstrip	matagi
airtight	vaalele
airway	vaalele
aisle	vavae
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	lima
akin	Akin
alabaster	alabaster
alarm	faʻailoga
alarm clock	uati faʻailo
alarmed	popole
alarming	mataʻutia
alas	ala
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	lipine
alchemy	alchemy
alcohol	ava malosi
alcoholic	ava malosi
alcoholism	ava malosi
alcove	ava malosi
alderman	alderman
ale	NO TRANSLATION
alert	mataala
alertness	mataala
alerts	matala
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	aliasia
alibi	alibi
alien	tagata ese
alienate	ese
alienated	vavalalata
alienation	vavalalata
alight	faʻamaonia
align	fetaui
aligned	fetaui
alignment	fetuutuunaiga
alike	tutusa
alimentation	NO TRANSLATION
alimony	alimony
aliquot	faʻailoga
alive	ola
alkali	alkali
alkaloids	alkaloids
allay	faʻaitiitia
allegation	tuuaiga
allege	fai mai
alleged	tuuaia
allegiance	agavaʻa
allegorical	tala faʻatusa
allegory	faataoto
allegro	allegro
allergic	maʻi
allergy	allergy
alleviate	faʻaitiitia
alleviation	faʻalelei
alley	alala
alleyway	uila
alliance	fealofani
allied	lagolago
alligator	atigatoru
allocate	vavae
allocation	tufatufaga
allot	vaevaeina
allotment	tufatufaga
allow	faatagaina
allowable	faʻatagaina
allowance	alauni
allowed	faatagaina
alloy	tui
allsmiles	NO TRANSLATION
allure	fiafia
alluring	faʻamalosi
allusion	fuafaatatau
alluvial	mea uma
ally	uo
almanac	almanac
almighty	tagata silisili ese
almond	almondi
aloft	alo
aloha	alofa
alone	toʻatasi
alongside	i autafa
aloof	aloese
aloud	leotele
alpha	palaka
alphabet	mataitusi
alphabetical	fafapeta
alpine	alpine
alreadyyyyy	ua leva
altar	fata faitaulaga
altar boy	fata faitaulaga
alter	suia
alteration	suiga
altercation	suiga
altered	suia
alternate	sui
alternating	sui
alternative	isi
altimeter	altimeter
altitude	maualuga
alto	tusa lava
altogether	atoa
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	tuufaatasiga
amalgamation	tuufaatasiga
amaretto	faʻailoga
amass	faʻapipiʻi
amateur	amateur
amaze	maofa
amazed	maofa
amazedness	NO TRANSLATION
amazement	maofa
amazing	ofoofogia
amazingly	ofoofogia
ambassador	amepasa
amber	Amber
ambience	lagona fiafia
ambient	uiga tutusa
ambiguity	valea
ambiguous	faanenefu
ambit	ambit
ambition	faanaunauga
ambitious	naunau tele
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	falemaʻi
ambush	faʻatali
ameliorate	faʻaleleia
amen	Amene
amenable	faʻafeiloaʻi
amend	teuteu
amendment	teuteuga
amends	teuteu
amenity	amene
amethyst	amethyst
amiable	malie
amicable	faʻalelei
amid	lotolotoi
amidst	i le ogatotonu
amino	Amino
ammo	Ammo
ammonia	amonia
ammonium	ammonium
ammunition	auupega
amnesia	amnesia
amnesty	faʻamaoni
amorous	fiafia
amorphous	amorphous
amortization	faʻaaogaina
amount	aofaiga
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	fale faʻafiafia
ample	tele
amplification	faʻamatalaga
amplify	faʻatele
amplitude	telefoni
amply	lava
amputate	toesea
amputation	toesea
amuck	amuck
amulet	amulet
amuse	fiafia
amused	fiafia
amusement	mea malie
amusing	malie
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	faʻamaʻi
anaesthetic	vailaʻau
anagram	ata
anal	tala
analgesic	analgesic
analogous	tutusa
analogue	tutusa
analogy	tala faʻatusa
analysis	auiliiliga
analyst	tagata suʻesuʻe
analytic	analytic
analytical	auiliiliga
analyze	iloilo
analyzer	auiliiliga
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	faʻanoanoa
anastomosis	anastomosis
anathema	faʻatau
anatomic	anatomic
anatomy	anatomy
ancestor	tuaa
ancestral	tuaa
ancestry	tuaa
anchor	taula
anchorage	taula
ancient	anamua
ancillary	faʻailoga
androgen	asene
android	taula
anecdote	tala otooto
anemia	anaemia
anemic	afaina
anemone	anemone
anesthesia	faʻamaʻi
anesthesiologist	anesthesiologist
anesthetic	vailaʻau
aneurysm	anerysm
anew	fou
angel	agelu
angelic	agelu
anger	ita
angered	ita
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	tau
angling	faʻaiʻu
angora	Angora
angriest	faʻamasino
angry	ita
angrytweet	NO TRANSLATION
angst	angst
anguish	mafatiaga
anguished	mafatiaga
angular	angular
anhydrous	leai se mea
animal	manu
animate	fiafia
animated	fiafia
animation	animation
animosity	ita
animus	animus
ankle	tapuvae
anklet	solofanua
annals	faʻamaumauga
annex	annex
annexation	annexation
annexe	NO TRANSLATION
annihilate	faʻaumatia
annihilated	faʻaumatia
annihilation	faʻaumatia
anniversary	atoaga ose mafutaga
annotate	Faʻamatala
annotation	faʻamatalaga
announce	faasilasila
announcement	faasilasilaga
announcer	faʻailoa
annoy	ita
annoyance	ita
annoyed	ita
annoyin	NO TRANSLATION
annoying	ita
annoys	ita
annual	tausaga taʻitasi
annuity	tausaga taʻitasi
annul	faalēaogā
annular	faʻamau
annulment	faalēaogāina
annulus	faalēaogā
anointed	faauuina
anointing	faauuga
anomalous	leai se mea
anomaly	anomaly
anon	Anon
anonymity	le faʻamaonia
anonymous	le iloa
anorexic	meaʻai
answer	tali
answerable	taligofie
answering	Tali
ant	al
antagonism	taufaasese
antagonist	tagata tetee
antagonistic	tetee
antagonize	antagonize
ante	NO TRANSLATION
antecedent	faʻasologa
antelope	uila
antenna	antenna
anterior	tua
anthem	musika
anthill	fofo
anthology	tala faʻasolopito
anthrax	anthrax
anthropological	tala faʻasolopito
anthropologist	fomaʻi
anthropology	tala faʻasolopito
anti	aneti
antiaircraft	faʻataʻitaʻiga
antibiotic	vailaʻau
antibiotics	vailaau faʻamaʻi
antichrist	anetikeriso
anticipate	fuafua
anticipation	faanaunauga
anticipatory	faanaunauga
antics	faʻasologa
antidote	vaifofo
antifungal	faʻailoga
antigravity	vailaʻau
antimony	antimony
antipathy	antipathy
antiquarian	antiquarian
antiquated	faʻailoga
antique	anamua
antiques	anamua
antiquity	anamua
antiseptic	fomaʻi
antisocial	faʻapitoa
antithesis	vailaau
antithetical	faʻatau
antiviral	antiviral
antler	tagata faʻatau
antsy	aneti
anus	a
anvil	afā
anxiety	popolega
anxietyattack	NO TRANSLATION
anxious	popole
anxiousness	popolega
anytime	soʻo se taimi
aorta	aorta
aortic	faʻatau
apace	avanoa lautele
apache	apache
apartment	fale
apartments	fale mautotogi
apathetic	lē fiafia
apathy	le le fiafia
ape	ape
aperture	tatala
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	faʻatasi
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	faanatinati
apologist	apologist
apologize	faatoese
apology	faʻatoesega
apostasy	liliuese
apostate	liliuese
apostle	aposetolo
apostolic	apostolic
apostrophe	liliuese
apothecary	faʻamalosi
appalled	faʻanoanoa
appalling	maofa
apparatus	meafaigaluega
apparel	ofu
apparent	manino
apparently	foliga manino
apparition	foliga vaaia
appeal	apili
appear	faʻaalia
appearance	foliga vaaia
appease	faʻafiafia
appellant	tagata talosaga
append	faʻaopoopo
appendage	faʻaopoopoga
appendectomy	appendectomy
appendicitis	appendicitis
appendix	faʻaopoopoga
appetite	tuinanau
appetizer	meaʻai
appetizing	meaʻai
applaud	pese
applause	pepese
apple	apu
apple juice	apu opu
applejack	applejack
applesauce	taʻavale
appliance	meafaigaluega
appliances	masini
applicability	faʻatoga
applicable	talafeagai
applicant	talosaga
application	talosaga
apply	faʻaaoga
appoint	tofia
appointment	tofiga
appointments	tofiga
apportion	vaevaega
apportionment	vaevaega
appraisal	iloiloga
appraise	iloiloga
appreciable	talisapaia
appreciate	talisapaia
appreciated	talisapaia
appreciates	talisapaia
appreciation	talisapaia
appreciative	talisapaia
apprehend	matauina
apprehension	mataʻutia
apprehensive	popole
apprentice	tagata aperenitisi
apprenticeship	aperenitisi
approach	auala
approaching	latalata mai
approbate	NO TRANSLATION
approbation	faʻatagaga
appropriate	talafeagai
appropriation	faatatauina
approval	faamaoniga
approve	faamaonia
approved	faʻamaonia
approvement	faʻataʻitaʻiga
approving	faamaonia
approximate	faʻatatau
approximately	e tusa
approximating	faʻatatau
approximation	faʻatusatusa
appurtenances	mea faʻapitoa
apricot	apricot
apron	apron
apt	faʻaaoga
aptitude	atamamai
aqua	vai
aquamarine	aquamarine
aquarium	aquarium
aquatic	vai
aqueduct	alavai
aqueous	aqueous
arable	faʻataʻitaʻi
arbiter	faamasino
arbitrary	faʻasalaga
arbitrate	faʻamasinoga
arbitration	faamasinoga
arbitrator	faamasino
arbor	arbor
arc	arc
arcade	faʻailoga
arcane	faʻailoa
arch	fao
archaeological	fale suʻesuʻe
archaeologist	tagata suʻesuʻe o mea anamua
archaeology	archeology
archaic	archaic
archangel	agelu sili
archbishop	archbishop
archdiocese	archdiocese
archduke	faʻapipiʻi
arched	faʻailoa
archer	fanafana
archery	fanafana
archetype	archetype
archipelago	atumotu
architect	tusiata
architectural	tusiata
architecture	fausaga fale
archive	faamaumauga
arctic	arctic
ardent	faʻailoa
ardor	ita tele
arduous	faigata
area	nofoaga
arena	malae
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	tala
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	finau
argument	finauga
argumentation	finauga
argumentative	finauga
arguments	finauga
arid	fafati
arise	tulaʻi
aristocracy	aristocracy
aristocrat	faʻatau
aristocratic	faʻauʻu
arithmetic	numera
ark	atolaau
arm	lima
armada	armada
armament	auupega
armaments	auupega
armature	auupega
armchair	fafie
armed	faaauupegaina
armor	ofutau
armored	ua fusia
armory	faleoloa
armpit	faʻailoga
arms	lima
army	fitafita
aroma	manogi
aromatherapy	aromatherapy
arousal	osofia
arouse	fagua
aroused	fagua
arraignment	faʻailoga
arrange	faatulaga
arranged	faatulaga
arrangement	faatulagaga
array	faatulagaga
arrears	faʻaiʻuga
arrest	puʻeina
arrhythmia	arrhythmia
arrival	taunuu mai
arrive	taunuu
arrogance	faamaualuga
arrogant	faʻamaualuga
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	fana
arsonist	faʻailoga
art	faatufugaga
arterial	faʻailoga
artery	talatala
artful	aulelei
arthritis	gasegase
arthropod	arthropod
artichoke	artichoke
article	tusiga
articles	tusiga
articulate	faʻamatala
articulation	faʻamatalaga
artifact	faʻailoga
artifice	faʻailoga
artificial	faʻailoga
artillery	tusiata
artisan	tusiata
artist	tusiata
artiste	NO TRANSLATION
artistic	faatufugaga
artistry	tusiata
artists	tusiata
artwork	tusiata
arty	arty
asap	asap
asbestos	asbestos
ascend	alu aʻe
ascendancy	maualuga
ascendant	oso aʻe
ascending	alu aʻe
ascension	alu aʻe i le lagi
ascent	maualuga
ascertain	mautinoa
ascertained	faamautinoa
ascetic	solo
ash	efuefu
ashamed	maasiasi
ashes	lefulefu
ashtray	ashtray
asinine	asini
ask	fesili
asleeep	NO TRANSLATION
asleep	moe
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	foliga
aspects	itu
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspiration
aspire	manaʻo
aspirin	aspirin
aspiring	manaʻo
ass	asini
assail	osofaiga
assailant	osofaʻi
assassin	fasioti tagata
assassinate	fasioti tagata
assassination	fasioti tagata
assault	osofaʻiga
assay	suega
assemblage	faʻapotopotoga
assemble	faʻapotopoto
assembled	potopoto
assembly	faʻapotopotoga
assemblyman	tagata faʻapotopoto
assent	ioe
assert	fai mai
asserting	faʻamaonia
assertion	faʻamaoniga
assertive	faʻamaonia
assess	iloilo
assessment	iloiloga
assessor	faatonu
asset	aseta
assets	aseta
asshole	osofaʻi
assign	tofi
assignee	tagata faʻasalaga
assignment	tofiga
assimilate	osofaʻi
assimilation	osofaʻiga
assist	fesoasoani
assistance	fesoasoani
assistant	fesoasoani
associate	faʻatasi
association	mafutaga
assorted	aufaʻatasia
assortment	atofa
assuage	faʻanoanoa
assume	manatu
assumed	aveina
assuming	manatu
assumption	masalosalo
assurance	mautinoa
assure	mautinoa
assured	mautinoa
assuredly	ioe
asterisk	Asterisk
asteroid	asteroid
asteroids	asteroids
asthma	fulu
asthmatic	asthmatic
astigmatism	astigmatism
astonish	maofa
astonished	ofo
astonishing	maofa
astonishingly	NO TRANSLATION
astonishment	maofa
astound	maofa
astral	astral
astray	sese
astringent	astringent
astrologer	tagata vaʻai
astrology	astrology
astronaut	tagata vaalele
astronomer	tagata suʻesuʻe i le vateatea
astronomical	fetuʻunaʻi
astronomy	astronomy
astute	mataʻutia
asunder	solo
asylum	nofoaga saogalemu
asymmetric	tutusa
asymmetry	tutusa
asymptotic	faʻamalosi
atelier	faleoloa
atheism	le talitonu i le Atua
atheist	lē talitonu i le Atua
atheistic	athelo
atherosclerosis	atherosclerosis
athlete	tagata taaalo
athletic	afeleti
athleticism	afeleti
athletics	afeleti
atlas	atlas
atmosphere	atemosifia
atmospheric	mataʻutia
atoll	atolo
atom	tolu
atomic	atomic
atone	togiola
atonement	togiola
atpeace	toso
atrium	atrium
atrocious	leaga
atrocity	toilalo
atrophy	atrophy
attach	faʻapipiʻi
attached	faapipiʻi
attachment	faʻaopoopoga
attack	osofaʻiga
attacker	osofaia
attacking	osofaia
attain	maua
attainable	mafai ona maua
attainment	ausia
attempt	taumafaiga
attempted	taumafai
attend	auai
attendance	auai
attendant	tautua
attention	gauai
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	mataala
attenuate	tagata auai
attenuated	toesea
attenuation	atinaua
attest	molimau
attestation	tusi faamaonia
attic	togi
attire	laei
attitude	uiga faaalia
attorney	loia
attract	tosina
attraction	tosina
attractive	lalelei
attractiveness	faatosina
attributable	e mafua ai
attribute	uiga
attribution	taui
attrition	togiaso
auburn	auburn
auction	faʻatau
auctioneer	auctioneer
audacious	loto gatasi
audacity	mautinoa
audible	faalogoina
audience	tagata maimoa
audio	leo
audit	suʻeina
audition	suʻega
auditions	suʻega
auditor	suetusi
auditorium	faletele
auditory	suʻega
aught	mea
augment	faateleina
augmentation	faʻaopoopoga
august	Aukuso
aunt	uso o le tina
auntie	uso o le tina
aura	aura
aurora	aurora
auspices	auspices
auspicious	manuia
austere	toso
austerity	austerity
authentic	moni
authenticate	faʻamaoni
authentication	faʻamaoni
authenticity	moni
author	tusitala
authoritative	pule
authority	pule
authorization	faʻatagaga
authorize	faatagaina
authorized	faatagaina
authorship	tusitala
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	autocorrect
autocratic	autocratic
autograph	autograph
autographed	aveeseina
automated	faʻanatinati
automatic	otometi
automobile	taavale
automotive	taavale afi
autonomy	autonomy
autopilot	autopilot
autopsy	autopsy
autumn	autumn
auxiliary	ausilali
avail	faʻaola
availability	avanoa
available	avanoa
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	taui
avenger	tagata faʻatau
avenging	taui
avenue	auala
aver	NO TRANSLATION
average	avefeʻau
aversation	NO TRANSLATION
averse	teteʻe
averseness	feeseeseaiga
aversion	avesion
avert	aloese
aviary	aviary
aviation	vaalele
aviator	aviator
avid	naunau
avocado	avoka
avoid	aloese
avoidance	aloese
avoiding	aloese mai
await	faatalitali
awake	ala mai
awaken	fafagu
awakening	fagua
award	taui
awards	taui
aware	iloa
awareness	lauiloa
awe	NO TRANSLATION
awed	mataʻutia
awesome	sekia
awesomeness	faʻavalea
awestruck	faʻanoanoa
awful	leaga
awkward	mataga
awkwardness	faʻanoanoa
awning	faʻailoga
awry	alaga
axe	matau
axial	faʻailoga
axiom	manatu
axiomatic	manatu
axis	tua
axle	toso
ay	f
aye	olaga
azimuth	azimuth
azure	azure
babble	pepe
babbling	faʻailoga
babe	pepe
baboon	fofo
baby	pepe
babysit	pepe
babysitter	tausi tama
baccalaureate	faʻamaonia
baccarat	baccarat
bachelor	paʻu
bachelorette	bachelorette
back	tua
backboard	laupapa
backbone	tua
backdoor	tuafale
backdrop	talaʻaga
backer	tagata tausi
backfire	tua
backgammon	backgammon
background	talaaga
backhand	tua
backhoe	seevae
backoff	solo
backpack	ato faʻafafa
backpacker	atofaʻi tua
backroom	tuatusi
backseat	tuatusi
backside	pito i tua
backtrack	tuatusi
backup	faila
backward	tua
backwardness	tua
backwards	tua i tua
backwater	tua
backwoods	backwoods
backyard	tuafale
bacon	puaa
bacteria	siama
bacterial	siama
bacterium	siama
bad	leaga
badass	papa
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	pine
badger	pine
badhabit	NO TRANSLATION
badly	leaga
badness	leaga
baffle	paʻu
baffled	faʻanoanoa
bag	ato
bagel	sacel
baggage	ato
baggie	tamaʻi
baggy	faʻailoga
bagman	fai taga
bagpipes	ato
bail	tatala i tua
bailiff	leoleo
bait	maunu
bake	tao tao
bakery	fale falaoa
baking	tao tao
bal	NO TRANSLATION
balance	paleni
balanced	paleni
balcony	faapaleni
bald	lauulu
balding	paʻu
baldy	paʻu
bale	fana
balk	paʻu
ball	polo
ballad	talo
ballast	uila
ballerina	sitaili
ballet	toli
ballgame	pologa
ballistic	poloball
ballistics	polo
balloon	paluni
ballot	palota
ballpark	polopark
ballplayer	tagata taʻavale
ballpoint	polo
ballroom	polosolo
ballsy	poloy
balm	pulu
balmy	filemu
balsam	balsam
balsamic	balsamic
bam	pupu
bamboo	bamboo
ban	NO TRANSLATION
banana	faʻi
band	faʻailoga
bandage	fusi
bandanna	NO TRANSLATION
bandit	faomea
bandstand	faʻamau
bandwagon	faʻailoga
bandwidth	faʻamaufaʻailoga
bane	faʻatau
bang	talo
banger	banger
banish	faʻailoa
banished	tuliesea
banishment	tuliesea
banister	failautusi
banjo	talo
bank	faletupe
banker	tagata faletupe
banking	faletupe
bankroll	faletupe
bankrupt	gaumativa
bankruptcy	gaumativa
banner	fuʻa
banquet	taumafataga
banshee	uila
banter	faʻailoga
banzai	NO TRANSLATION
baptism	papatisoga
baptismal	papatisoga
baptize	papatiso
bar	pa
barb	paʻu
barbarian	tagata aganuu
barbaric	feʻai
barbarism	feusuaʻiga
barbecue	keke
barbed	pati
barber	paʻu oti
barbershop	barbershop
barbie doll	barbie pepe taalo
bard	pulu
bare	leai se mea
bareback	leai se totogi
barefoot	leai ni seevae
barely	leai se mea
barf	barf
bargain	fefaʻatauaʻiga
bargaining	fefaatauaiga
barge	vaʻa
