Word	uz
adjustment	moslashish
adjuvant	adjuvant
admin	admin
administer	boshqarish
administration	boshqarish
administrative	ma'muriy
administrator	ma'mur
admirable	yoqimli
admiral	admiral
admiralty	admiralty
admiration	hayrat
admire	hayratga tushadi
admired	hayratga tushdi
admirer	muxlis
admiring	yoqimli
admissibility	qabul qilinishi mumkinligi
admissible	qabul qilinishi mumkin emas
admission	qabul qilish
admit	tan olish
admittance	admittance
admitted	tan oldi
admitting	qabul qilish
admixture	aralashtirma
admonition	ogohlantirish
ado	ado
adobe	adobe
adolescence	Yoshlik
adolescent	o'smir
adopt	qabul qilish
adoption	qabul qilish
adoptive	qabul qiluvchi
adorable	yoqimli
adoration	xayrixohlik
adore	yoqimli
adoring	adoring
adorn	bezatilgan
adornment	ziynat
adrenalin	adrenalin
adrenaline	adrenalin
adrift	adrift
adult	kattalar
adulterated	yolg'on gapirdi
adulterer	zinokor
adultery	xiyonat
adulthood	kattalar
advance	oldinga
advanced	rivojlangan
advancement	taraqqiyot
advancing	rivojlanmoqda
advantage	afzalliklari
advantageous	foydalidir
advent	kelishi
adventure	sarguzasht
adventurer	adventurer
adventures	sarguzashtlar
adventurous	sarguzasht
adversary	dushman
adverse	salbiy
adversity	qiyinchilik
advertise	reklama qiling
advertisement	reklama
advertising	reklama
adverts	reklamalar
advice	maslahat
advisable	tavsiya etiladi
advise	maslahat bering
advised	tavsiya etilgan
advisement	maslahat
adviser	maslahatchi
advisor	maslahatchisi
advisory	maslahat
advocacy	advokatlashtirish
advocate	advokat
aegis	aegis
aeration	shamollatish
aerial	havo
aerobics	aerobika
aerodrome	aerodrom
aerodynamic	aerodinamik
aerodynamics	aerodinamika
aeronautics	aeronavtika
aeroplane	samolyot
aerospace	aviatsiya
aesthetic	estetik
aesthetics	estetikalar
aetiology	etiologiya
afar	uzoqdan
affable	mehrli
affair	munosabatlar
affect	ta'sir qiladi
affecting	ta'sir
affection	muhabbat
affectionate	mehrli
affections	ta'sir qiladi
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	bog'liq
affiliation	a'zolik
affinity	qarindoshlik
affirm	tasdiqlang
affirmation	tasdiqlash
affirmative	ijobiy
affirmatively	ijobiy tarzda
affix	qo'shimchalar
afflict	azoblanish
afflicted	qiynalgan
affliction	azob
affluence	boylik
affluent	boy
afford	o'z ko'zlari bilan
affordable	arzon
affront	tahqirlash
affronted	e'tiroz bildirdi
afield	Afield
afire	olov
afloat	suv ostida
afore	bundan avval
aforementioned	yuqorida keltirilgan
aforesaid	yuqorida aytib o'tilgan
afraid	qo'rqaman
afresh	yangidan boshlang
african	afrikalik
aft	kechikish
afterlife	keyin hayot
aftermath	keyin
afternoon	tushdan keyin
aftershave	keyinchalik
aftertaste	pishirishdan keyin
afterthought	keyinchalik
aga	NO TRANSLATION
agape	agape
agate	agat
age	yoshi
aged	yoshi katta
agency	agentligi
agenda	kun tartibi
agent	agenti
agglomeration	aglomeratsiya
aggravate	og'irlashadi
aggravated	og'irlashdi
aggravates	og'irlashadi
aggravating	og'irlashtirmoqda
aggravation	tobora kuchaymoqda
aggregate	jami
aggregation	aggregatsiya
aggresive	NO TRANSLATION
aggression	tajovuz
aggressive	tajovuzkor
aggressively	agressiv ravishda
aggressiveness	tajovuzkorlik
aggressor	tajovuzkor
agh	ach
aghast	ahmoqlik
aghhh	NO TRANSLATION
agile	tezkor
agility	agility
aging	qarish
agitate	agitatsiya qilish
agitated	hayajonlangan
agitation	ajitasyon
aglow	haydash
agnostic	agnostik
ago	oldin
agonizing	zo'ravonlik
agony	azob
agoraphobia	agorafobi
agree	qabul qilaman
agreeable	yoqimli
agreed	qabul qildi
agreeing	shartnoma
agreement	kelishuv
agressive	NO TRANSLATION
agricultural	qishloq xo'jaligi
agriculture	qishloq xo'jaligi
aground	quruqlikda
agua	NO TRANSLATION
ahead	oldinga
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	yordam
aide	yordamchi
aiding	yordam berish
aids	yordam beradi
ail	oila
ailing	kasal
ailment	kasallik
aim	maqsad
aimless	maqsadsiz
air	havo
airbag	havo yostig'i
airborne	havoga ko'tarilgan
aircraft	samolyotlar
aircraft carrier	samolyot tashuvchi
airfield	aerodrom
airhead	havo yo'li
airlift	avialayner
airline	aviakompaniya
airliner	samolyot
airlock	havo yo'li
airman	samolyot
airplane	samolyot
airport	aeroporti
airs	samolyotlar
airship	samolyot safarlari
airspace	havo sohasi
airspeed	havo tezligi
airstrip	havo yo'li
airtight	havo o'tkazmaydigan
airway	havo yo'li
aisle	qator
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	o'xshash
alabaster	alabaster
alarm	ogohlantirish
alarm clock	budilnik
alarmed	qo'rqib ketgan
alarming	tashvish beruvchi
alas	Afsuski
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	albom
alchemy	alchemy
alcohol	spirtli ichimlik
alcoholic	spirtli
alcoholism	alkogolizm
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	ogohlantirish
alertness	ogohlantirish
alerts	ogohlantirishlar
alfalfa	beda
algebra	algebra
algebraic	algebraik
algorithm	algoritm
alias	boshqa nom
alibi	alibi
alien	begona
alienate	yabancılaştırmak
alienated	begonalashtirildi
alienation	yabancılaşma
alight	olov
align	hizalaning
aligned	hizaladi
alignment	hizalama
alike	bir xil
alimentation	NO TRANSLATION
alimony	aliment
aliquot	alikot
alive	tirik
alkali	gidroksidi
alkaloids	alkaloidlar
allay	allay
allegation	da'vo
allege	da'vo qilish
alleged	da'vo qilingan
allegiance	sadoqat
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	allergik
allergy	allergiya
alleviate	engillashtirish
alleviation	kamaytirish
alley	xiyobon
alleyway	alleyway
alliance	ittifoq
allied	ittifoqdosh
alligator	timsol
allocate	ajratish
allocation	ajratish
allot	ajratish
allotment	ajratish
allow	ruxsat berish
allowable	ruxsat etiladi
allowance	nafaqa
allowed	ruxsat berilgan
alloy	qotishma
allsmiles	NO TRANSLATION
allure	chiroylik
alluring	jozibali
allusion	alomatlar
alluvial	allyuvial
ally	ittifoqdosh
almanac	almanax
almighty	qudratli
almond	bodom
aloft	aloft
aloha	aloha
alone	yolg'iz
alongside	bilan birga
aloof	aloof
aloud	baland ovozda
alpha	alfa
alphabet	alifbo
alphabetical	alifbo tartibida
alpine	Alp tog'lari
alreadyyyyy	allaqachon
altar	qurbongoh
altar boy	qurbongoh o'g'li
alter	o'zgartirish
alteration	o'zgarish
altercation	altercation
altered	o'zgartirilgan
alternate	muqobil
alternating	o'zgaruvchan
alternative	muqobil
altimeter	altimetr
altitude	balandligi
alto	alto
altogether	birgalikda
aluminum	alyuminiy
alumnus	bitiruvchisi
alveolar	alveolalar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	birlashma
amaretto	amaretto
amass	to'plash
amateur	amatör
amaze	ajablantiradigan
amazed	hayratga tushdi
amazedness	NO TRANSLATION
amazement	hayratga tushdi
amazing	ajoyib
amazingly	ajoyib tarzda
ambassador	elchi
amber	kehribar
ambience	muhit
ambient	muhit
ambiguity	noaniqlik
ambiguous	noaniq
ambit	ambit
ambition	hirs
ambitious	ehtirosli
ambivalent	qarama-qarshi
ambrosia	ambrosiya
ambulance	tezyordam
ambush	pistirma
ameliorate	yaxshilash
amen	Omin
amenable	javob beradi
amend	o'zgartirish
amendment	o'zgartirish
amends	o'zgartiradi
amenity	qulaylik
amethyst	ametist
amiable	xushbichim
amicable	do'stona
amid	o'rtasida
amidst	o'rtasida
amino	amino
ammo	ammo
ammonia	ammiak
ammonium	ammiak
ammunition	o'q-dorilar
amnesia	amneziya
amnesty	amnistiya
amorous	mamnun
amorphous	amorf
amortization	amortizatsiya
amount	miqdori
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	Amfetaminlar
amphibian	amfibiya
amphibious	amfibi
amphitheater	amfiteatr
ample	juda ko'p
amplification	kuchaytirish
amplify	kuchaytiring
amplitude	amplituda
amply	juda ko'p
amputate	amputatsiya qilish
amputation	amputatsiya
amuck	amuk
amulet	tuya
amuse	qiziq
amused	qiziqarli
amusement	o'yin-kulgi
amusing	qiziqarli
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	behushlik
anaesthetic	behushlik
anagram	anagram
anal	anal
analgesic	analjezik
analogous	o'xshash
analogue	analog
analogy	o'xshashlik
analysis	tahlil
analyst	tahlilchi
analytic	analitik
analytical	analitik
analyze	tahlil qiling
analyzer	analizator
anaphylactic	anafilaktik
anarchism	anarşizm
anarchist	anarxistlar
anarchy	anarxiya
anastomosis	anastomoz
anathema	anatema
anatomic	anatomik
anatomy	anatomiya
ancestor	ajdodlari
ancestral	ota-bobolar
ancestry	ota-bobolari
anchor	çapa
anchorage	ankraj
ancient	qadimgi
ancillary	yordamchi
androgen	androgen
android	android
anecdote	anekdot
anemia	anemiya
anemic	kamqonlik
anemone	anemone
anesthesia	behushlik
anesthesiologist	anesteziolog
anesthetic	behushlik
aneurysm	anevrizma
anew	yangidan
angel	farishta
angelic	farishtalar
anger	g'azab
angered	g'azablandi
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiografiya
angiography	anjiyografi
angle	burchakka
angling	angling
angora	angora
angriest	angriest
angry	badjahl
angrytweet	NO TRANSLATION
angst	angst
anguish	azob
anguished	g'azablangan
angular	burchak
anhydrous	suvsiz
animal	hayvon
animate	jonlantiring
animated	jonlantirilgan
animation	animatsiya
animosity	dushmanlik
animus	animus
ankle	oyoq Bilagi zo'r
anklet	qirg'oq
annals	annals
annex	qo'shimcha
annexation	anneksiya
annexe	NO TRANSLATION
annihilate	yo'q qilish
annihilated	yo'q qilindi
annihilation	yo'q qilish
anniversary	yilligi
annotate	tushuntirish
annotation	izoh
announce	e'lon qiling
announcement	e'lon
announcer	xabarchi
annoy	g'azablanish
annoyance	zerikish
annoyed	bezovta
annoyin	NO TRANSLATION
annoying	zerikarli
annoys	bezovta qiladi
annual	yillik
annuity	annuitet
annul	bekor qiling
annular	halqa
annulment	bekor qilish
annulus	annulus
anointed	moylanganlar
anointing	moylash
anomalous	anormal
anomaly	anomaliya
anon	Anon
anonymity	anonimlik
anonymous	noma'lum
anorexic	anoreksik
answer	javob berish
answerable	javobgar
answering	javob berish
ant	chumoli
antagonism	antagonizm
antagonist	antagonist
antagonistic	antagonistik
antagonize	antagonize qilish
ante	NO TRANSLATION
antecedent	ilgari
antelope	antilopa
antenna	antenna
anterior	oldingi
anthem	madhiya
anthill	antill
anthology	antologiya
anthrax	kuydirgi
anthropological	antropologik
anthropologist	antropolog
anthropology	antropologiya
anti	qarshi
antiaircraft	zangaristik qurol
antibiotic	antibiotik
antibiotics	antibiotiklar
antichrist	Dajjol
anticipate	oldindan o'ylab ko'ring
anticipation	kutish
anticipatory	oldindan lazzatlanish
antics	NO TRANSLATION
antidote	panzehir
antifungal	antifungal
antigravity	antigravitatsiya
antimony	surma
antipathy	antipatiya
antiquarian	antikvar
antiquated	eskirgan
antique	antiqa buyumlar
antiques	antiqa buyumlar
antiquity	qadimgi davr
antiseptic	antiseptik
antisocial	antisocial
antithesis	antithesis
antithetical	qarshi
antiviral	antiviral
antler	antler
antsy	antsi
anus	anus
anvil	anvil
anxiety	tashvish
anxietyattack	NO TRANSLATION
anxious	tashvishli
anxiousness	tashvishlanish
anytime	har qanday vaqtda
aorta	aorta
aortic	Aorta
apace	pasayish
apache	apache
apartment	xonadon
apartments	kvartira
apathetic	befarq
apathy	befarqlik
ape	maymun
aperture	diafragma
apex	apex
aphid	aphid
aphrodisiac	afrodizyak
apiece	bo'lak
aplomb	aplomb
apocalypse	qiyomat
apocalyptic	qiyomat
apologetic	uzr so'rayman
apologist	uzr
apologize	uzr so'raymiz
apology	Uzr
apostasy	murtadlik
apostate	murtad
apostle	havoriy
apostolic	havoriylik
apostrophe	apostrof
apothecary	shifokor
appalled	dahshatga tushdi
appalling	dahshatli
apparatus	qurilma
apparel	kiyim-kechak
apparent	aniq ko'rinadi
apparently	ko'rinib turibdi
apparition	tashqi ko'rinishi
appeal	Shikoyat qilish
appear	paydo bo'ladi
appearance	tashqi ko'rinishi
appease	tinchlantirish
appellant	da'vogar
append	qo'shing
appendage	appendage
appendectomy	appendektomiya
appendicitis	appenditsit
appendix	ilova
appetite	tuyadi
appetizer	E'lonni qo'shish
appetizing	tuyadi
applaud	olqishlash
applause	olqishlar
apple	olma
apple juice	olma sharbati
applejack	applejack
applesauce	applesauce
appliance	asbobdan foydalaning
appliances	texnika
applicability	qo'llanilishi mumkin
applicable	amal qilishi mumkin
applicant	arizachi
application	dastur
apply	amal qiling
appoint	tayinlash
appointment	Uchrashuv
appointments	Uchrashuvlar
apportion	taqsimlash
apportionment	ajratish
appraisal	baholash
appraise	baholang
appreciable	sezilarli
appreciate	qadrlayman
appreciated	qadrli
appreciates	qadrlaydi
appreciation	minnatdorchilik
appreciative	minnatdor
apprehend	tushunish
apprehension	tashvish
apprehensive	xavfli
apprentice	shogird
apprenticeship	ishlaydilar
approach	yondashuv
approaching	yaqinlashib kelmoqda
approbate	NO TRANSLATION
approbation	sinov
appropriate	muvofiq
appropriation	ajratish
approval	tasdiqlash
approve	tasdiqlang
approved	tasdiqlangan
approvement	tasdiqlash
approving	tasdiqlash
approximate	taxminan
approximately	taxminan
approximating	taxminan
approximation	taxminan
appurtenances	ilovalar
apricot	O'rik
apron	apron
apt	apt
aptitude	qobiliyat
aqua	suv
aquamarine	akuamarin
aquarium	akvarium
aquatic	suv
aqueduct	suv oqimi
aqueous	suvli
arable	olinadi
arbiter	hakam
arbitrary	o'zboshimchalik bilan
arbitrate	arbitr
arbitration	arbitraj
arbitrator	arbitr
arbor	arbor
arc	boshq
arcade	arcade
arcane	arcane
arch	kamar
archaeological	arxeologik
archaeologist	arxeolog
archaeology	arxeologiya
archaic	arxaik
archangel	bosh farishta
archbishop	arxiepiskop
archdiocese	archdiocese
archduke	archduke
arched	kemerli
archer	kamonchi
archery	okçuluk
archetype	arxetop
archipelago	arxipelag
architect	me'mor
architectural	arxitektura
architecture	arxitektura
archive	Arxiv
arctic	Arktika
ardent	qizg'in
ardor	ardor
arduous	qiyin
area	olgan
arena	arenada
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	munozara
argument	dalil
argumentation	argumentatsiya
argumentative	argumentativ
arguments	dalillar
arid	quruq
arise	turing
aristocracy	aristokratlar
aristocrat	aristokrat
aristocratic	aristokratik
arithmetic	arifmetik
ark	ark
arm	qo'l
armada	armada
armament	qurol-aslaha
armaments	qurollar
armature	armatura
armchair	kreslo
armed	qurolli
armor	zirh
armored	zirhli
armory	armiya
armpit	qo'ltiq osti
arms	qo'llar
army	armiya
aroma	aromati
aromatherapy	aromaterapiya
arousal	uyg'otish
arouse	uyg'otadi
aroused	uyg'otdi
arraignment	ariza berish
arrange	tartibga solish
arranged	ajratilgan
arrangement	tartibga solish
array	qator
arrears	qarzlar
arrest	hibsga olish
arrhythmia	aritmiya
arrival	kelishi
arrive	keling
arrogance	takabburlik
arrogant	dimog'dor
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	Arsenal
arsenic	mishyoz
arson	qasddan
arsonist	arsonist
art	san'at
arterial	arterial
artery	arteriya
artful	mo''jizaviy
arthritis	artrit
arthropod	artropod
artichoke	artishok
article	maqola
articles	maqolalar
articulate	so'zma-so'z
articulation	qo'shimchalar
artifact	artefakt
artifice	mozor
artificial	sun'iy
artillery	artilleriya
artisan	hunarmand
artist	rassom
artiste	NO TRANSLATION
artistic	badiiy
artistry	san'atkorlik
artists	san'atkorlar
artwork	san'at asari
arty	arty
asap	iloji boricha tez
asbestos	asbest
ascend	ko'tarilish
ascendancy	ustunlik
ascendant	ustun
ascending	ko'tarilgan
ascension	yuksalish
ascent	ko'tarilish
ascertain	aniqlash
ascertained	aniqlandi
ascetic	astsik
ash	kul
ashamed	uyaldi
ashes	kichkina
ashtray	shingil
asinine	asinin
ask	so'rang
asleeep	NO TRANSLATION
asleep	uxlab qolgan
asp	asp
asparagus	sarsabil
aspartame	aspartam
aspect	tomonlari
aspects	tomonlari
aspen	aspen
asphalt	asfalt
asphyxia	asfiksiya
asphyxiation	asfiksiya
aspiration	aspiratsiya
aspire	intizor bo'lsin
aspirin	aspirin
aspiring	istaganlar
ass	ass
assail	hujum qilish
assailant	tajovuzkor
assassin	qotil
assassinate	suiqasd qilish
assassination	suiqasd
assault	hujum
assay	tahlil qilish
assemblage	yig'ish
assemble	yig'ing
assembled	yig'ilgan
assembly	o'rnatish
assemblyman	montajchi
assent	tasdiqlash
assert	tasdiqlang
asserting	tasdiqlaydi
assertion	da'vo
assertive	shubhali
assess	baholash
assessment	baholash
assessor	baholovchi
asset	aktiv
assets	aktivlar
asshole	Tentak
assign	tayinlang
assignee	huquq egasi
assignment	tayinlash
assimilate	assimilyatsiya qilish
assimilation	assimilyatsiya
assist	yordam
assistance	yordam
assistant	yordamchi
associate	sherigi
association	uyushmasi
assorted	turli xil
assortment	assortiment
assuage	qochib ketish
assume	tasavvur qiling
assumed	taxmin qilingan
assuming	varsayar
assumption	taxmin
assurance	ishonch
assure	ishonch hosil qiling
assured	ishonch hosil qildi
assuredly	albatta
asterisk	yulduzcha
asteroid	asteroid
asteroids	asteroidlar
asthma	Astma
asthmatic	astma
astigmatism	astigmatizm
astonish	ajablanarli
astonished	hayratda qoldilar
astonishing	ajablanarli
astonishingly	NO TRANSLATION
astonishment	hayrat
astound	hayratga tushdi
astral	astral
astray	yolg'on
astringent	baquvvat
astrologer	munajjim
astrology	munajjimlik
astronaut	astronavt
astronomer	astronom
astronomical	astronomik
astronomy	astronomiya
astute	zukko
asunder	bekor qilindi
asylum	boshpana
asymmetric	assimetrik
asymmetry	assimetriya
asymptotic	asimptotik
atelier	atelye
atheism	ateizm
atheist	ateist
atheistic	ateistik
atherosclerosis	Ateroskleroz
athlete	sportchi
athletic	atletika
athleticism	atletizm
athletics	atletika
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferada
atoll	atolle
atom	atom
atomic	atom
atone	aton
atonement	poklanish
atpeace	atpeace
atrium	atrium
atrocious	dahshatli
atrocity	vahshiylik
atrophy	atrofi
attach	biriktir
attached	biriktirilgan
attachment	biriktirma
attack	hujum
attacker	tajovuzkor
attacking	hujum qilish
attain	erishish
attainable	erishish mumkin
attainment	erishish
attempt	tashabbus
attempted	harakat qildi
attend	qatnashmoq
attendance	ishtirok etish
attendant	xizmatchi
attention	diqqat
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ehtiyotkorlik bilan
attenuate	kamaytirish
attenuated	zaiflashgan
attenuation	susaytirishi
attest	tasdiqlash
attestation	attestatsiya
attic	boloxona
attire	kiyim-kechak
attitude	munosabat
attorney	advokat
attract	jalb qilish
attraction	diqqatga sazovor joy
attractive	jozibali
attractiveness	jozibadorlik
attributable	tegishli bo'lishi mumkin
attribute	xususiyat
attribution	atributlar
attrition	pasayish
auburn	qoziq
auction	auktsion
auctioneer	auktsioner
audacious	jasoratli
audacity	jasurlik
audible	ovozli
audience	tomoshabinlar
audio	audio
audit	audit
audition	tinglash
auditions	audionlar
auditor	auditor
auditorium	auditoriya
auditory	auditoriya
aught	hech narsa
augment	ko'paytirish
augmentation	kuchaytirish
august	avgust
aunt	xolasi
auntie	aètie
aura	aura
aurora	aurora
auspices	himoyachi
auspicious	xayrli
austere	qattiq
austerity	tejamkorlik
authentic	haqiqiy
authenticate	autentifikatsiya qilish
authentication	autentifikatsiya
authenticity	haqiqiyligi
author	muallif
authoritative	vakolatli
authority	hokimiyat
authorization	ruxsat
authorize	avtorizatsiya qiling
authorized	vakolatli
authorship	mualliflik
autism	autizm
autistic	otistik
auto	avtomatik
autobiographical	avtobiografiya
autobiography	tarjimai holi
autocorrect	autokorrect
autocratic	otokratik
autograph	autografiya
autographed	imzolangan
automated	avtomatlashtirilgan
automatic	avtomatik
automobile	avtomobil
automotive	avtomobil
autonomy	muxtoriyat
autopilot	avtopilot
autopsy	otopsi
autumn	kuz
auxiliary	yordamchi
avail	foydasiz
availability	mavjudligi
available	mavjud
avalanche	ko'chki
avarice	avarice
avatar	avatar
avenge	qasos
avenger	avenger
avenging	avjning
avenue	avenyu
aver	NO TRANSLATION
average	o'rtacha
aversation	NO TRANSLATION
averse	qarshi
averseness	NO TRANSLATION
aversion	g'azablanish
avert	oldini olish
aviary	parrandachilik
aviation	aviatsiya
aviator	aviator
avid	hushyor
avocado	avokado
avoid	qochish
avoidance	qochish
avoiding	qochish
await	kuting
awake	uyg'oq
awaken	uyg'otish
awakening	uyg'onish
award	mukofoti
awards	mukofotlar
aware	xabardor
awareness	xabardorlik
awe	NO TRANSLATION
awed	qo'rqib ketdi
awesome	dahshatli
awesomeness	ajoyiblik
awestruck	dahshat
awful	dahshatli
awkward	noqulay
awkwardness	noqulaylik
awning	tent
awry	Qo'rqmanglar
axe	axlat
axial	aksiyali
axiom	axiyom
axiomatic	aksiomatik
axis	eksa
axle	aks
ay	ay
aye	aye
azimuth	azimut
azure	azure
babble	pichan
babbling	takrorlanmoqda
babe	chaqaloq
baboon	baboon
baby	chaqaloq
babysit	chaqaloq
babysitter	chaqaloq
baccalaureate	bakalavriat
baccarat	bakara
bachelor	bakalavr
bachelorette	bakalavr
back	orqaga
backboard	orqa paneli
backbone	orqa miya
backdoor	orqa eshik
backdrop	fonda
backer	yordamchi
backfire	qaytib ketish
backgammon	tavla
background	fon
backhand	orqadan
backhoe	qaytib keldi
backoff	orqaga qaytarish
backpack	orqa xalqa
backpacker	backpacker
backroom	dam olish xonasi
backseat	orqa o'rindiq
backside	orqada
backtrack	orqaga qaytish
backup	zaxiralash
backward	orqaga qarab
backwardness	orqaga qaytish
backwards	orqaga
backwater	chuchuk suv
backwoods	o'rmonlar
backyard	orqa bog'da
bacon	Bekon
bacteria	bakteriyalar
bacterial	bakteriyalar
bacterium	bakteriyalar
bad	yomon
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	rozet
badger	badger
badhabit	NO TRANSLATION
badly	yomon
badness	yomonlik
baffle	baffle
baffled	hayratda qoldi
bag	yukxalta
bagel	bagel
baggage	Yuk
baggie	baggie
baggy	yukxalta
bagman	Bagman
bagpipes	bagpipes
bail	kafillik
bailiff	sud ijrochisi
bait	o'lja
bake	pishirib
bakery	o'choq
baking	pishirish
bal	NO TRANSLATION
balance	muvozanat
balanced	muvozanatli
balcony	Ijtimoiy odoblar
bald	kallasi
balding	balding
