Word	ms
ado	ado
adobe	adobe
adolescence	remaja
adolescent	remaja
adopt	menerima pakai
adoption	pengangkatan
adoptive	mengadopsi
adorable	comel
adoration	pemujaan
adore	suka
adoring	memuja
adorn	menghiasi
adornment	perhiasan
adrenalin	adrenalin
adrenaline	adrenalin
adrift	hanyut
adult	dewasa
adulterated	dicampurkan
adulterer	adulterer
adultery	perzinaan
adulthood	dewasa
advance	pendahuluan
advanced	maju
advancement	kemajuan
advancing	memajukan
advantage	kelebihannya
advantageous	berfaedah
advent	kedatangan
adventure	pengembaraan
adventurer	pengembara
adventures	pengembaraan
adventurous	petualang
adversary	musuh
adverse	buruk
adversity	kesengsaraan
advertise	mengiklankan
advertisement	iklan
advertising	mengiklankan
adverts	iklan
advice	nasihat
advisable	dinasihatkan
advise	menasihati
advised	dinasihatkan
advisement	nasihat
adviser	penasihat
advisor	penasihat
advisory	nasihat
advocacy	advokasi
advocate	peguam bela
aegis	aegis
aeration	pengudaraan
aerial	udara
aerobics	aerobik
aerodrome	aerodrome
aerodynamic	aerodinamik
aerodynamics	aerodinamik
aeronautics	aeronautik
aeroplane	kapal terbang
aerospace	aeroangkasa
aesthetic	estetik
aesthetics	estetika
aetiology	etika
afar	jauh
affable	ramah
affair	urusan
affect	menjejaskan
affecting	menjejaskan
affection	kasih sayang
affectionate	penyayang
affections	pengertian
affiche	NO TRANSLATION
affidavit	afidavit
affiliated	bersekutu
affiliation	gabungan
affinity	pertalian
affirm	mengesahkan
affirmation	pengesahan
affirmative	afirmatif
affirmatively	secara tegas
affix	melekat
afflict	menyerang
afflicted	tertindas
affliction	penderitaan
affluence	kemewahan
affluent	mewah
afford	mampu
affordable	berpatutan
affront	penghinaan
affronted	teruk
afield	afield
afire	api
afloat	bertahan
afore	sebelum ini
aforementioned	yang dinyatakan di atas
aforesaid	yang disebut terdahulu
afraid	takut
afresh	lagi
african	african
aft	belakang
afterlife	akhirat
aftermath	selepas itu
afternoon	petang
aftershave	selepas bercukur
aftertaste	aftertaste
afterthought	selepas itu
aga	NO TRANSLATION
agape	agape
agate	agate
age	umur
aged	berumur
agency	agensi
agenda	agenda
agent	ejen
agglomeration	aglomerasi
aggravate	memburukkan lagi
aggravated	diperparah
aggravates	merosot
aggravating	mengecewakan
aggravation	kejutan
aggregate	agregat
aggregation	pengagregatan
aggresive	NO TRANSLATION
aggression	pencerobohan
aggressive	agresif
aggressively	agresif
aggressiveness	agresif
aggressor	penyerang
agh	agh
aghast	terkejut
aghhh	NO TRANSLATION
agile	tangkas
agility	ketangkasan
aging	penuaan
agitate	mengganggu
agitated	gelisah
agitation	pergaduhan
aglow	aglow
agnostic	agnostik
ago	sebelum ini
agonizing	menyakitkan
agony	kesakitan
agoraphobia	agoraphobia
agree	bersetuju
agreeable	bersetuju
agreed	bersetuju
agreeing	bersetuju
agreement	perjanjian
agressive	NO TRANSLATION
agricultural	pertanian
agriculture	pertanian
aground	tertutup
agua	NO TRANSLATION
ahead	depan
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	bantuan
aide	pembantu
aiding	membantu
aids	bantuan
ail	ail
ailing	sakit
ailment	penyakit
aim	matlamat
aimless	tiada tujuan
air	udara
airbag	beg udara
airborne	udara
aircraft	kapal terbang
aircraft carrier	pengangkut pesawat
airfield	lapangan terbang
airhead	airhead
airlift	airlift
airline	syarikat penerbangan
airliner	kapal terbang
airlock	airlock
airman	airman
airplane	kapal terbang
airport	lapangan terbang
airs	menyiarkan
airship	airship
airspace	ruang udara
airspeed	airspeed
airstrip	landasan udara
airtight	kedap udara
airway	jalan raya
aisle	lorong
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	sama
alabaster	alabaster
alarm	penggera
alarm clock	jam loceng
alarmed	cemas
alarming	membimbangkan
alas	Malangnya
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alkimia
alcohol	alkohol
alcoholic	alkohol
alcoholism	alkohol
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	amaran
alertness	kewaspadaan
alerts	makluman
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algoritma
alias	alias
alibi	alibi
alien	makhluk asing
alienate	mengasingkan diri
alienated	terasing
alienation	pengasingan
alight	turun
align	menyelaraskan
aligned	sejajar
alignment	penjajaran
alike	sama
alimentation	NO TRANSLATION
alimony	alimoni
aliquot	aliquot
alive	hidup
alkali	alkali
alkaloids	alkaloid
allay	allay
allegation	dakwaan
allege	mendakwa
alleged	didakwa
allegiance	kesetiaan
allegorical	alegori
allegory	alegori
allegro	allegro
allergic	alahan
allergy	alergi
alleviate	meredakan
alleviation	pengurangan
alley	lorong
alleyway	alleyway
alliance	persekutuan
allied	bersekutu
alligator	buaya
allocate	memperuntukkan
allocation	peruntukan
allot	memperuntukkan
allotment	peruntukan
allow	izinkan
allowable	dibenarkan
allowance	elaun
allowed	dibenarkan
alloy	aloi
allsmiles	NO TRANSLATION
allure	daya tarikan
alluring	memikat
allusion	kiasan
alluvial	aluvial
ally	sekutu
almanac	almanak
almighty	yang maha kuasa
almond	badam
aloft	tinggi
aloha	aloha
alone	sahaja
alongside	bersama-sama
aloof	menyendiri
aloud	kuat
alpha	alpha
alphabet	abjad
alphabetical	abjad
alpine	alpine
alreadyyyyy	sudah lama
altar	mezbah
altar boy	anak lelaki altar
alter	ubah
alteration	pemindaan
altercation	perbalahan
altered	diubah
alternate	alternatif
alternating	bergantian
alternative	alternatif
altimeter	altimeter
altitude	ketinggian
alto	alto
altogether	kesemuanya
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	penggabungan
amaretto	amaretto
amass	amass
amateur	amatur
amaze	kagum
amazed	kagum
amazedness	NO TRANSLATION
amazement	kagum
amazing	menakjubkan
amazingly	luar biasa
ambassador	duta besar
amber	amber
ambience	suasana
ambient	ambient
ambiguity	kekaburan
ambiguous	kabur
ambit	ambit
ambition	cita-cita
ambitious	bercita-cita tinggi
ambivalent	ambivalen
ambrosia	ambrosia
ambulance	ambulans
ambush	serangan hendap
ameliorate	selesaikan
amen	amen
amenable	boleh diterima
amend	pindahkan
amendment	pindaan
amends	meminda
amenity	kemudahan
amethyst	amethyst
amiable	mesra
amicable	baik hati
amid	tengah
amidst	tengah
amino	amino
ammo	peluru
ammonia	ammonia
ammonium	ammonium
ammunition	peluru
amnesia	amnesia
amnesty	pengampunan
amorous	amorous
amorphous	amorfus
amortization	pelunasan
amount	jumlah
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amfibia
amphibious	amfibia
amphitheater	amfiteater
ample	cukup
amplification	penguatan
amplify	menguatkan
amplitude	amplitud
amply	cukup
amputate	memotong
amputation	pemotongan
amuck	amuk
amulet	azimat
amuse	bersenang-senang
amused	gembira
amusement	hiburan
amusing	lucu
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestesia
anaesthetic	anestetik
anagram	anagram
anal	dubur
analgesic	analgesik
analogous	analogi
analogue	analog
analogy	analogi
analysis	analisis
analyst	penganalisis
analytic	analitik
analytical	analitikal
analyze	menganalisis
analyzer	penganalisis
anaphylactic	anafilaksis
anarchism	anarkisme
anarchist	anarkis
anarchy	anarki
anastomosis	anastomosis
anathema	anathema
anatomic	anatomi
anatomy	anatomi
ancestor	leluhur
ancestral	nenek moyang
ancestry	keturunan
anchor	sauh
anchorage	anchorage
ancient	kuno
ancillary	sampingan
androgen	androgen
android	android
anecdote	anekdot
anemia	anemia
anemic	anemia
anemone	anemone
anesthesia	anestesia
anesthesiologist	ahli anestesiologi
anesthetic	anestetik
aneurysm	aneurisme
anew	baru
angel	malaikat
angelic	malaikat
anger	kemarahan
angered	marah
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografi
angle	sudut
angling	memancing
angora	angora
angriest	yang paling angan
angry	marah
angrytweet	NO TRANSLATION
angst	angst
anguish	kesedihan
anguished	kesakitan
angular	sudut
anhydrous	anhydrous
animal	haiwan
animate	bernyawa
animated	animasi
animation	animasi
animosity	permusuhan
animus	animus
ankle	pergelangan kaki
anklet	anklet
annals	sejarah
annex	lampiran
annexation	pengambilan
annexe	NO TRANSLATION
annihilate	memusnahkan
annihilated	dihapuskan
annihilation	pemusnahan
anniversary	ulang tahun
annotate	annotate
annotation	anotasi
announce	mengumumkan
announcement	pengumuman
announcer	penyiar
annoy	mengganggu
annoyance	kegusaran
annoyed	kesakitan
annoyin	NO TRANSLATION
annoying	mengganggu
annoys	kesakitan
annual	tahunan
annuity	anuiti
annul	membatalkan
annular	anulus
annulment	pembatalan
annulus	anulus
anointed	diurapi
anointing	pengurapan
anomalous	anomali
anomaly	anomali
anon	anon
anonymity	tidak dikenali
anonymous	tanpa nama
anorexic	anorexic
answer	jawapannya
answerable	boleh dipertanggungjawabkan
answering	menjawab
ant	semut
antagonism	antagonisme
antagonist	antagonis
antagonistic	antagonistik
antagonize	antagonis
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelop
antenna	antena
anterior	anterior
anthem	lagu kebangsaan
anthill	anting
anthology	antologi
anthrax	anthrax
anthropological	antropologi
anthropologist	antropologi
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotik
antichrist	antikristus
anticipate	menjangkakan
anticipation	jangkaan
anticipatory	antisipatif
antics	antik
antidote	penawar
antifungal	antikulat
antigravity	anti-graviti
antimony	antimoni
antipathy	antipati
antiquarian	antiquarian
antiquated	kuno
antique	antik
antiques	barang antik
antiquity	zaman dahulu
antiseptic	antiseptik
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antivirus
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	kebimbangan
anxietyattack	NO TRANSLATION
anxious	cemas
anxiousness	kebimbangan
anytime	bila-bila masa
aorta	aorta
aortic	aorta
apace	pantas
apache	apache
apartment	pangsapuri
apartments	pangsapuri
apathetic	apatis
apathy	apathy
ape	kera
aperture	bukaan
apex	puncak
aphid	aphid
aphrodisiac	aphrodisiac
apiece	masing-masing
aplomb	aplomb
apocalypse	wahyu
apocalyptic	apokaliptik
apologetic	minta maaf
apologist	apologist
apologize	minta maaf
apology	permintaan maaf
apostasy	murtad
apostate	murtad
apostle	rasul
apostolic	rasul
apostrophe	apostrophe
apothecary	apotik
appalled	terkejut
appalling	mengerikan
apparatus	radas
apparel	pakaian
apparent	jelas
apparently	nampaknya
apparition	penampakan
appeal	rayuan
appear	muncul
appearance	penampilan
appease	nyenyak
appellant	perayu
append	tambah
appendage	lampiran
appendectomy	appendectomy
appendicitis	apendiks
appendix	lampiran
appetite	selera makan
appetizer	pembuka selera
appetizing	selera
applaud	bertepuk tangan
applause	bertepuk tangan
apple	epal
apple juice	jus epal
applejack	applejack
applesauce	epal
appliance	perkakas
appliances	peralatan
applicability	kebolehgunaan
applicable	terpakai
applicant	pemohon
application	permohonan
apply	memohon
appoint	melantik
appointment	pelantikan
appointments	pelantikan
apportion	bahagian
apportionment	pembahagian
appraisal	penilaian
appraise	menilai
appreciable	ketara
appreciate	menghargai
appreciated	dihargai
appreciates	menghargai
appreciation	penghargaan
appreciative	menghargai
apprehend	tangkap
apprehension	kebimbangan
apprehensive	bimbang
apprentice	perantis
apprenticeship	perantisan
approach	pendekatan
approaching	menghampiri
approbate	NO TRANSLATION
approbation	kelulusan
appropriate	sesuai
appropriation	pembahagian
approval	kelulusan
approve	terima
approved	diluluskan
approvement	pengesahan
approving	meluluskan
approximate	anggaran
approximately	kira-kira
approximating	menghampiri
approximation	penghampiran
appurtenances	appurtenances
apricot	aprikot
apron	apron
apt	apt
aptitude	kebolehan
aqua	aqua
aquamarine	aquamarine
aquarium	akuarium
aquatic	akuatik
aqueduct	aqueduct
aqueous	akueus
arable	boleh dimakan
arbiter	arbiter
arbitrary	sewenang-wenangnya
arbitrate	arbitrate
arbitration	timbang tara
arbitrator	penimbang tara
arbor	arbor
arc	arka
arcade	arked
arcane	arcane
arch	gerbang
archaeological	arkeologi
archaeologist	ahli arkeologi
archaeology	arkeologi
archaic	kuno
archangel	arkang
archbishop	uskup agung
archdiocese	Keuskupan Agung
archduke	arkduke
arched	melengkung
archer	pemanah
archery	memanah
archetype	archetype
archipelago	kepulauan
architect	arkitek
architectural	seni bina
architecture	seni bina
archive	arkib
arctic	arktik
ardent	bersemangat
ardor	semangat
arduous	sukar
area	kawasan
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	berhujah
argument	hujah
argumentation	argumentasi
argumentative	berdebat
arguments	hujah-hujah
arid	gersang
arise	timbul
aristocracy	bangsawan
aristocrat	bangsawan
aristocratic	bangsawan
arithmetic	aritmetik
ark	ark
arm	lengan
armada	armada
armament	persenjataan
armaments	senjata
armature	angker
armchair	kerusi roda
armed	bersenjata
armor	perisai
armored	berperisai
armory	gudang senjata
armpit	ketiak
arms	senjata
army	tentera
aroma	aroma
aromatherapy	aromaterapi
arousal	rangsangan
arouse	membangkitkan
aroused	terangsang
arraignment	arraignment
arrange	susun
arranged	disusun
arrangement	susunan
array	pelbagai
arrears	tunggakan
arrest	penangkapan
arrhythmia	aritmia
arrival	ketibaan
arrive	tiba
arrogance	keangkuhan
arrogant	sombong
arrow	anak panah
arsehole	arsehole
arseholes	arseholes
arsenal	senjata
arsenic	arsenik
arson	membakar
arsonist	arsonis
art	seni
arterial	arteri
artery	arteri
artful	artful
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	artikel
articles	artikel
articulate	mengartikulasikan
articulation	artikulasi
artifact	artifak
artifice	artifak
artificial	tiruan
artillery	artileri
artisan	tukang kayu
artist	artis
artiste	NO TRANSLATION
artistic	artistik
artistry	kesenian
artists	artis
artwork	kerja seni
arty	arty
asap	asap
asbestos	asbestos
ascend	naik
ascendancy	ketangkasan
ascendant	naik
ascending	menaik
ascension	kenaikan
ascent	pendakian
ascertain	pastikan
ascertained	dipastikan
ascetic	pertapa
ash	abu
ashamed	malu
ashes	abu
ashtray	asbak
asinine	asinine
ask	tanya
asleeep	NO TRANSLATION
asleep	tidur
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspek
aspects	aspek
aspen	aspen
asphalt	asfalt
asphyxia	asfiksia
asphyxiation	asphyxiation
aspiration	aspirasi
aspire	bercita-cita
aspirin	aspirin
aspiring	bercita-cita tinggi
ass	keldai
assail	menyerang
assailant	penyerang
assassin	pembunuh
assassinate	membunuh
assassination	pembunuhan
assault	serangan
assay	assay
assemblage	perhimpunan
assemble	memasang
assembled	dipasang
assembly	perhimpunan
assemblyman	wakil rakyat
assent	persetujuan
assert	menegaskan
asserting	menegaskan
assertion	penegasan
assertive	tegas
assess	menilai
assessment	penilaian
assessor	penilai
asset	aset
assets	aset
asshole	asshole
assign	berikan
assignee	pemegang serah hak
assignment	tugasan
assimilate	berasimilasi
assimilation	asimilasi
assist	membantu
assistance	bantuan
assistant	pembantu
associate	bersekutu
association	persatuan
assorted	pelbagai macam
assortment	pelbagai
assuage	meredakan
assume	anggap
assumed	diandaikan
assuming	dengan anggapan
assumption	andaian
assurance	jaminan
assure	memberi jaminan
assured	terjamin
assuredly	dengan pasti
asterisk	asterisk
asteroid	asteroid
asteroids	asteroid
asthma	asma
asthmatic	asma
astigmatism	astigmatisme
astonish	terkejut
astonished	terkejut
astonishing	menakjubkan
astonishingly	NO TRANSLATION
astonishment	kagum
astound	mengejutkan
astral	astral
astray	sesat
astringent	astringen
astrologer	ahli astrologi
astrology	astrologi
astronaut	angkasawan
astronomer	ahli astronomi
astronomical	astronomi
astronomy	astronomi
astute	bijak
asunder	tertutup
asylum	suaka
asymmetric	asimetri
asymmetry	asimetri
asymptotic	asimtotik
atelier	atelier
atheism	atheisme
atheist	atheis
atheistic	atheistic
atherosclerosis	aterosklerosis
athlete	atlet
athletic	atletik
athleticism	athleticism
athletics	sukan
atlas	atlas
atmosphere	suasana
atmospheric	atmosfera
atoll	atoll
atom	atom
atomic	atom
atone	atone
atonement	penebusan
atpeace	atpeace
atrium	atrium
atrocious	mengerikan
atrocity	kekejaman
atrophy	atrofi
attach	lampirkan
attached	dilampirkan
attachment	lampiran
attack	serang
attacker	penyerang
attacking	menyerang
attain	mencapai
attainable	boleh dicapai
attainment	pencapaian
attempt	percubaan
attempted	cuba
attend	hadir
attendance	kehadiran
attendant	atendan
attention	perhatian
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	penuh perhatian
attenuate	melemahkan
attenuated	dilemahkan
attenuation	pelemahan
attest	membuktikan
attestation	pengesahan
attic	loteng
attire	pakaian
attitude	sikap
attorney	peguam
attract	tertarik
attraction	tarikan
attractive	menarik
attractiveness	daya tarikan
attributable	boleh dikaitkan
attribute	atribut
attribution	atribusi
attrition	pergeseran
auburn	auburn
auction	lelongan
auctioneer	pelelong
audacious	berani
audacity	keberanian
audible	boleh didengar
audience	penonton
audio	audio
audit	audit
audition	uji bakat
auditions	uji bakat
auditor	juruaudit
auditorium	auditorium
auditory	pendengaran
aught	apa-apa
augment	menambah
augmentation	pembesaran
august	august
aunt	makcik
auntie	mak Cik
aura	aura
aurora	aurora
auspices	naungan
auspicious	bertuah
austere	sederhana
austerity	penjimatan
authentic	sahih
authenticate	pengesahan
authentication	pengesahan
authenticity	keaslian
author	pengarang
authoritative	berwibawa
authority	kuasa
authorization	kebenaran
authorize	memberi kuasa
authorized	diberi kuasa
authorship	pengarang
autism	autisme
autistic	autistik
auto	auto
autobiographical	autobiografi
autobiography	autobiografi
autocorrect	autocorrect
autocratic	autokratik
autograph	autograf
autographed	ditandatangani
automated	automatik
automatic	automatik
automobile	kereta
automotive	automotif
autonomy	otonomi
autopilot	autopilot
autopsy	autopsi
autumn	musim luruh
auxiliary	pembantu
avail	avail
availability	ketersediaan
available	boleh didapati
avalanche	longsor
avarice	haram
avatar	avatar
avenge	membalas dendam
avenger	pengacau
avenging	membalas dendam
avenue	jalan raya
aver	NO TRANSLATION
average	purata
aversation	NO TRANSLATION
averse	tidak suka
averseness	averseness
aversion	kebencian
avert	avert
aviary	burung hantu
aviation	penerbangan
aviator	penyelamat
avid	gemar
avocado	alpukat
avoid	elakkan
avoidance	mengelakkan
avoiding	mengelakkan
await	menanti
awake	terjaga
awaken	bangun
awakening	kebangkitan
award	anugerah
awards	anugerah
aware	menyedari
awareness	kesedaran
awe	NO TRANSLATION
awed	kagum
awesome	hebat
awesomeness	kehebatan
awestruck	awestruck
awful	mengerikan
awkward	janggal
awkwardness	kejanggalan
awning	awning
awry	awry
axe	kapak
axial	paksi
axiom	aksiom
axiomatic	axiomatic
axis	paksi
axle	gandar
ay	ay
aye	aye
azimuth	azimut
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	baboon
baby	bayi
babysit	babysit
babysitter	pengasuh bayi
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bujang
bachelorette	bachelorette
back	belakang
backboard	papan belakang
backbone	tulang belakang
backdoor	pintu belakang
backdrop	latar belakang
backer	penyokong
backfire	backfire
backgammon	backgammon
background	latar belakang
backhand	backhand
backhoe	backhoe
backoff	berundur
backpack	ransel
backpacker	backpacker
backroom	bilik belakang
backseat	tempat duduk belakang
backside	belakang
backtrack	backtrack
backup	sandaran
backward	ke belakang
backwardness	kemunduran
backwards	ke belakang
backwater	air belakang
backwoods	backwoods
backyard	belakang rumah
bacon	bacon
bacteria	bakteria
bacterial	bakteria
bacterium	bakteria
bad	buruk
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	lencana
badger	badger
badhabit	NO TRANSLATION
badly	teruk
badness	kejahatan
baffle	bingung
baffled	bingung
bag	beg
bagel	bagel
baggage	bagasi
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	jaminan
bailiff	bailif
bait	umpan
bake	bakar
bakery	kedai roti
baking	penaik
bal	NO TRANSLATION
balance	seimbang
balanced	seimbang
balcony	balkoni
bald	botak
balding	botak
baldy	baldy
bale	bale
balk	balk
ball	bola
ballad	balada
ballast	balast
ballerina	ballerina
ballet	balet
ballgame	permainan bola
ballistic	balistik
ballistics	ballistics
balloon	belon
ballot	undi
ballpark	ballpark
ballplayer	pemain bola
ballpoint	ballpoint
ballroom	tarian
ballsy	ballsy
balm	balsem
balmy	bersahaja
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	buluh
ban	NO TRANSLATION
banana	pisang
band	band
bandage	pembalut
bandanna	NO TRANSLATION
bandit	penjahat
bandstand	bandstand
bandwagon	kereta kebal
bandwidth	jalur lebar
bane	bane
bang	bang
banger	banger
banish	buang
banished	dibuangkan
banishment	buang negeri
banister	tongkat
banjo	banjo
bank	bank
banker	jurubank
banking	perbankan
bankroll	bankroll
bankrupt	bankrap
bankruptcy	muflis
banner	sepanduk
banquet	jamuan
banshee	banshee
banter	kelakar
banzai	NO TRANSLATION
baptism	pembaptisan
baptismal	pembaptisan
baptize	membaptiskan
bar	bar
barb	barb
barbarian	orang gasar
barbaric	kejam
barbarism	barbarisme
barbecue	barbeku
barbed	berduri
barber	tukang gunting rambut
barbershop	kedai gunting rambut
barbie doll	patung Barbie
bard	bard
bare	telanjang
bareback	tdk berpelana
barefoot	berkaki ayam
barely	hampir tidak
barf	barf
bargain	murah
bargaining	tawar-menawar
barge	tongkang
baritone	baritone
barium	barium
bark	kulit
barkeep	barkeep
barks	bark
barley	barli
barmaid	barmaid
barman	barman
barn	bangsal
barnacle	teratas
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	barok
barrack	barak
barracuda	barracuda
barrage	berarak
barred	dihalang
barrel	tong
barren	mandul
barricade	barikade
barrier	halangan
barring	sekatan
barrister	barrister
barroom	bar
barrow	barrow
bartender	bartender
barter	barter
base	asas
baseball	besbol
baseball bat	baseball bes
baseboard	baseboard
baseless	tidak berasas
baseline	baseline
baseman	baseman
basement	ruang bawah tanah
bases	pangkalan
bash	bash
bashful	malu
basic	asas
basics	asas
basil	basil
basilica	basilica
basin	lembangan
basis	dasar
bask	bask
basket	bakul
basketball	bola keranjang
bass	bass
bass guitar	gitar bass
basso	NO TRANSLATION
bassoon	bassoon
bastard	bajingan
bastarding	bastarding
bastards	bastards
bastion	benteng
bat	kelawar
batch	kumpulan
batching	batching
bate	NO TRANSLATION
bath	mandi
bathe	mandi
bathhouse	rumah mandi
bathing	mandi
bathrobe	jubah mandi
bathroom	bilik mandi
bathtub	tab mandi
