Word	sr
anew	поново
angel	анђео
angelic	ангелски
anger	бес
angered	љутито
angermanagement	NO TRANSLATION
angina	ангина
angiogram	ангиограм
angiography	ангиографија
angle	угао
angling	рибарење
angora	ангора
angriest	љутито
angry	љут
angrytweet	NO TRANSLATION
angst	ангст
anguish	мучнина
anguished	затегнути
angular	угаони
anhydrous	анхидрован
animal	животиња
animate	анимирати
animated	анимирани
animation	анимација
animosity	анимозитет
animus	анимус
ankle	чланак
anklet	анклет
annals	анналс
annex	анекс
annexation	анексија
annexe	NO TRANSLATION
annihilate	уништити
annihilated	уништен
annihilation	анихилација
anniversary	годишњица
annotate	аннотате
annotation	Анотација
announce	објавити
announcement	најаве
announcer	наручитељ
annoy	аннои
annoyance	анноианце
annoyed	изнервиран
annoyin	NO TRANSLATION
annoying	досадно
annoys	анноис
annual	годишње
annuity	ануитет
annul	поништити
annular	аннулар
annulment	поништење
annulus	аннулус
anointed	помазани
anointing	помазање
anomalous	аномалоус
anomaly	аномалија
anon	анон
anonymity	анонимност
anonymous	анонимно
anorexic	анорексичан
answer	одговор
answerable	одговорно
answering	одговарајући
ant	ант
antagonism	антагонизам
antagonist	антагонист
antagonistic	антагонистички
antagonize	антагонизирати
ante	NO TRANSLATION
antecedent	антецедент
antelope	антелопе
antenna	антена
anterior	антериор
anthem	химна
anthill	антхилл
anthology	антологија
anthrax	антракс
anthropological	антрополошки
anthropologist	антрополог
anthropology	антропологија
anti	анти
antiaircraft	антиаирцрафт
antibiotic	антибиотик
antibiotics	антибиотици
antichrist	антихрист
anticipate	очекивати
anticipation	ишчекивање
anticipatory	антиципатори
antics	антицс
antidote	антидот
antifungal	антифунгал
antigravity	антигравити
antimony	антимон
antipathy	антипатија
antiquarian	антикуариан
antiquated	застарело
antique	антикуе
antiques	антикуес
antiquity	антиквитета
antiseptic	антисептик
antisocial	антисоцијално
antithesis	антитеза
antithetical	антитетички
antiviral	антивирусни
antler	антлер
antsy	антси
anus	чмар
anvil	анвил
anxiety	анксиозност
anxietyattack	NO TRANSLATION
anxious	анксиозан
anxiousness	анксиозност
anytime	било када
aorta	аорта
aortic	аортик
apace	апаце
apache	апацхе
apartment	стан
apartments	апартмани
apathetic	апатхетиц
apathy	апатија
ape	мајмун
aperture	отвора
apex	апек
aphid	апхид
aphrodisiac	афродизијак
apiece	комад
aplomb	апломб
apocalypse	апокалипсе
apocalyptic	апокалиптично
apologetic	апологетски
apologist	апологиста
apologize	извинити се
apology	извињење
apostasy	апостаси
apostate	апостат
apostle	апостол
apostolic	апостолски
apostrophe	апостроф
apothecary	апотека
appalled	ужаснут
appalling	грозно
apparatus	апарат
apparel	Одећа
apparent	очигледно
apparently	очигледно
apparition	привид
appeal	жалба
appear	појавити
appearance	изглед
appease	смири се
appellant	апелант
append	додати
appendage	додатак
appendectomy	аппендецтоми
appendicitis	аппендицитис
appendix	слепо црево
appetite	апетит
appetizer	предјело
appetizing	аппетизинг
applaud	аплауд
applause	аплауз
apple	јабука
apple juice	сок од јабуке
applejack	апплејацк
applesauce	јабука
appliance	уређај
appliances	апарати
applicability	применљивост
applicable	применљиво
applicant	подносилац захтева
application	апликација
apply	применити
appoint	именовати
appointment	именовање
appointments	именовања
apportion	аппортион
apportionment	расподјела
appraisal	процена
appraise	проценити
appreciable	знатан
appreciate	ценити
appreciated	цењен
appreciates	цени
appreciation	апресијација
appreciative	хвала
apprehend	ухватити
apprehension	примедбе
apprehensive	забринути
apprentice	шегрт
apprenticeship	аппрентицесхип
approach	приступ
approaching	приближава се
approbate	NO TRANSLATION
approbation	одобрење
appropriate	прикладан
appropriation	апропријација
approval	одобрење
approve	одобри
approved	одобрена
approvement	одобрење
approving	одобравање
approximate	приближни
approximately	Приближно
approximating	приближавање
approximation	апроксимација
appurtenances	прилози
apricot	кајсија
apron	предња плоча
apt	погодан
aptitude	аптитуде
aqua	акуа
aquamarine	аквамарин
aquarium	акваријум
aquatic	водени
aqueduct	аквадукт
aqueous	водени
arable	обрадиво
arbiter	арбитер
arbitrary	произвољан
arbitrate	арбитрирати
arbitration	арбитража
arbitrator	арбитратор
arbor	арбор
arc	арц
arcade	аркада
arcane	аркане
arch	арцх
archaeological	археолошки
archaeologist	археолог
archaeology	археологија
archaic	арцхаиц
archangel	арханђел
archbishop	надбискуп
archdiocese	надбискуп
archduke	Арцхдуке
arched	арцхед
archer	стреличар
archery	Стрељаштво
archetype	архетип
archipelago	архипелаг
architect	архитекта
architectural	архитектонско
architecture	архитектура
archive	архива
arctic	арктички
ardent	пламен
ardor	ардор
arduous	напоран
area	подручје
arena	арена
areola	ареола
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	аргх
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	аргуе
argument	расправа
argumentation	аргументација
argumentative	аргументативно
arguments	аргументс
arid	арид
arise	Појављују се
aristocracy	аристократија
aristocrat	аристократа
aristocratic	аристократски
arithmetic	аритметика
ark	арк
arm	рука
armada	армада
armament	наоружање
armaments	наоружање
armature	арматуре
armchair	фотеља
armed	наоружан
armor	оклоп
armored	оклопно
armory	оружје
armpit	пазух
arms	руке
army	војска
aroma	арома
aromatherapy	ароматерапија
arousal	узбуђење
arouse	пробудите
aroused	збуњен
arraignment	арраигнмент
arrange	уредити
arranged	уређено
arrangement	аранжман
array	низ
arrears	неизмирене обавезе
arrest	хапшење
arrhythmia	аритмија
arrival	долазак
arrive	стићи
arrogance	ароганција
arrogant	арогантан
arrow	стрелац
arsehole	арсехоле
arseholes	арсехолес
arsenal	арсенал
arsenic	арсен
arson	подметање пожара
arsonist	арсонист
art	уметност
arterial	артеријски
artery	артерија
artful	уморан
arthritis	артритис
arthropod	артропод
artichoke	артичоке
article	чланак
articles	чланци
articulate	артикулисати
articulation	артикулација
artifact	предмет за употребу
artifice	артифице
artificial	вештачки
artillery	артиљерија
artisan	занатлија
artist	уметник
artiste	NO TRANSLATION
artistic	уметнички
artistry	артистри
artists	уметници
artwork	уметничко дело
arty	арти
asap	асап
asbestos	азбест
ascend	пење
ascendancy	надмоћ
ascendant	асцендант
ascending	узлазни
ascension	узвишење
ascent	успон
ascertain	утврдити
ascertained	утврдили
ascetic	аскет
ash	пепео
ashamed	срам
ashes	пепео
ashtray	пепељара
asinine	асинине
ask	питати
asleeep	NO TRANSLATION
asleep	заспао
asp	асп
asparagus	шпароге
aspartame	аспартам
aspect	аспект
aspects	аспекти
aspen	аспен
asphalt	асфалт
asphyxia	асфиксија
asphyxiation	аспхикиатион
aspiration	тежња
aspire	тежити
aspirin	аспирин
aspiring	тежак
ass	асс
assail	ассаил
assailant	нападач
assassin	убица
assassinate	атентат
assassination	атентат
assault	напад
assay	тестирање
assemblage	ассемблаге
assemble	саставити
assembled	састављен
assembly	монтажа
assemblyman	монтажер
assent	сагласност
assert	тврди
asserting	тврди
assertion	тврдња
assertive	ассертиве
assess	Проценити
assessment	процена
assessor	процењивач
asset	имовина
assets	средства
asshole	сероња
assign	додијелити
assignee	Ассигнее
assignment	додељивање
assimilate	ассимилате
assimilation	асимилација
assist	помоћ
assistance	помоћ
assistant	помоћник
associate	стручни сарадник
association	удружење
assorted	сортирано
assortment	асортиман
assuage	ассуаге
assume	претпоставити
assumed	претпостављено
assuming	под претпоставком
assumption	претпоставка
assurance	осигурање
assure	Уверите
assured	сигуран
assuredly	сигурно
asterisk	астериск
asteroid	астероид
asteroids	астероиди
asthma	астма
asthmatic	астматично
astigmatism	астигматизам
astonish	зачудити
astonished	запањен
astonishing	Запањујуће
astonishingly	NO TRANSLATION
astonishment	изненађење
astound	астоунд
astral	астрал
astray	забринути
astringent	астрингент
astrologer	астролог
astrology	астрологија
astronaut	астронаут
astronomer	астроном
astronomical	астрономски
astronomy	астрономија
astute	препознаје
asunder	асундер
asylum	азил
asymmetric	асиметрична
asymmetry	асиметрија
asymptotic	асимптотски
atelier	атеље
atheism	атеизам
atheist	атеиста
atheistic	атеистички
atherosclerosis	атеросклероза
athlete	Атлета
athletic	атлетски
athleticism	атлетизам
athletics	Атлетика
atlas	атлас
atmosphere	атмосферу
atmospheric	атмосферски
atoll	атол
atom	атом
atomic	атомски
atone	атоне
atonement	атонемент
atpeace	у миру
atrium	атријум
atrocious	грозно
atrocity	грозот
atrophy	атрофија
attach	аттацх
attached	у прилогу
attachment	прилог
attack	напад
attacker	нападач
attacking	нападају
attain	достигну
attainable	достигнут
attainment	достигнућа
attempt	покушај
attempted	покушао
attend	присуствовати
attendance	похађање
attendant	послужитељ
attention	пажњу
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	пажљиво
attenuate	ослабити
attenuated	отежен
attenuation	слабљење
attest	аттест
attestation	атестирање
attic	поткровље
attire	одећа
attitude	став
attorney	адвокат
attract	привући
attraction	атракција
attractive	атрактивно
attractiveness	атрактивност
attributable	приписив
attribute	атрибут
attribution	атрибуција
attrition	исцрпљивање
auburn	аубурн
auction	аукција
auctioneer	аукционар
audacious	страљно
audacity	аудацити
audible	чујан
audience	публика
audio	аудио
audit	ревизија
audition	Аудиција
auditions	аудиције
auditor	ревизор
auditorium	аудиторијум
auditory	слушни
aught	аугхт
augment	повећање
augmentation	аугментатион
august	август
aunt	тетка
auntie	тетка
aura	аура
aurora	аурора
auspices	покровитељство
auspicious	Узбудљиво
austere	строго
austerity	строгост
authentic	аутентичан
authenticate	аутентичност
authentication	Аутентикација
authenticity	аутентичност
author	аутор
authoritative	ауторитативан
authority	Управа
authorization	овлашћење
authorize	овластите
authorized	овлашћено
authorship	ауторство
autism	аутизам
autistic	аутизам
auto	ауто
autobiographical	аутобиографски
autobiography	аутобиографија
autocorrect	аутокоррецт
autocratic	аутократски
autograph	аутограм
autographed	аутограпхед
automated	аутоматизован
automatic	аутоматски
automobile	аутомобил
automotive	аутомобила
autonomy	аутономија
autopilot	аутопилот
autopsy	аутопсија
autumn	јесен
auxiliary	помоћни
avail	искористити
availability	доступност
available	доступан
avalanche	лавина
avarice	аварице
avatar	аватар
avenge	освета
avenger	Авенгер
avenging	авенгинг
avenue	авенија
aver	NO TRANSLATION
average	просек
aversation	NO TRANSLATION
averse	аверсе
averseness	несигурност
aversion	аверзија
avert	аверт
aviary	авиари
aviation	авијација
aviator	авиатор
avid	страствен
avocado	авокадо
avoid	избегавајте
avoidance	избегавање
avoiding	избегавање
await	чекају
awake	будан
awaken	пробуди се
awakening	буђење
award	награда
awards	награде
aware	свесна
awareness	свесност
awe	NO TRANSLATION
awed	авед
awesome	супер
awesomeness	авесоменесс
awestruck	авеструцк
awful	грозно
awkward	неугодно
awkwardness	неугодност
awning	тенде
awry	Извините
axe	ак
axial	аксијални
axiom	аксиом
axiomatic	аксиоматски
axis	оса
axle	осовина
ay	ај
aye	Аие
azimuth	азимут
azure	азуре
babble	буббле
babbling	бубблинг
babe	беба
baboon	бабун
baby	беба
babysit	бабисит
babysitter	бабиситтер
baccalaureate	баццалауреате
baccarat	баццарат
bachelor	нежења
bachelorette	бацхелоретте
back	назад
backboard	бацкбоард
backbone	кичмени стуб
backdoor	задња врата
backdrop	позадина
backer	бацкер
backfire	повратак
backgammon	бацкгаммон
background	бацкгроунд
backhand	бацкханд
backhoe	багер-утоваривач
backoff	одбиј
backpack	руксак
backpacker	бацкпацкер
backroom	бацкроом
backseat	назадовање
backside	бацксиде
backtrack	повратак
backup	бацкуп
backward	уназад
backwardness	заосталост
backwards	уназад
backwater	повратак
backwoods	бацквоодс
backyard	двориште
bacon	сланина
bacteria	бактерије
bacterial	бактеријски
bacterium	бактерија
bad	лоше
badass	бадасс
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значка
badger	бадгер
badhabit	NO TRANSLATION
badly	лоше
badness	лоше
baffle	баффле
baffled	збуњен
bag	торба
bagel	Багел
baggage	пртљаг
baggie	баггие
baggy	багги
bagman	багман
bagpipes	гајбе
bail	кауција
bailiff	судски извршитељ
bait	мамац
bake	баке
bakery	пекара
baking	печење
bal	NO TRANSLATION
balance	баланс
balanced	уравнотежено
balcony	балкон
bald	ћелав
balding	балдинг
baldy	балди
bale	бале
balk	балк
ball	лопта
ballad	балада
ballast	баласт
ballerina	балерина
ballet	балет
ballgame	баллгаме
ballistic	балистички
ballistics	балистика
balloon	балон
ballot	гласачки листић
ballpark	баллпарк
ballplayer	баллплаиер
ballpoint	баллпоинт
ballroom	дворана
ballsy	лопта
balm	балзам
balmy	балми
balsam	балзам
balsamic	балсамиц
bam	бам
bamboo	бамбус
ban	NO TRANSLATION
banana	банана
band	банд
bandage	завој
bandanna	NO TRANSLATION
bandit	бандит
bandstand	бандстанд
bandwagon	бандвагон
bandwidth	проток
bane	бане
bang	банг
banger	бангер
banish	протерати
banished	протеран
banishment	протеривање
banister	банистер
banjo	бањо
bank	банка
banker	банкар
banking	банкарство
bankroll	банкролл
bankrupt	банкрот
bankruptcy	банкрот
banner	банер
banquet	банкет
banshee	Бансхее
banter	бантер
banzai	NO TRANSLATION
baptism	крштење
baptismal	крштење
baptize	крстити
bar	бар
barb	барб
barbarian	варварски
barbaric	варварски
barbarism	варварство
barbecue	роштиљ
barbed	бодеж
barber	бербер
barbershop	Берберница
barbie doll	Барбие лутка
bard	бард
bare	голо
bareback	баребацк
barefoot	босиком
barely	једва
barf	барф
bargain	погодба
bargaining	преговарање
barge	баргаин
baritone	баритон
barium	баријум
bark	кора
barkeep	баркееп
barks	лаже
barley	јечам
barmaid	бармаид
barman	барман
barn	штала
barnacle	барнацле
barney	Барнеи
barnyard	барниард
barometer	барометар
baron	барон
baroness	бароница
baroque	барокни
barrack	барака
barracuda	баррацуда
barrage	барраге
barred	забрањено
barrel	барел
barren	јалов
barricade	барикада
barrier	баријера
barring	забрана
barrister	барристер
barroom	барроом
barrow	барров
bartender	бармен
barter	бартер
base	базу
baseball	бејзбол
baseball bat	палица за бејзбол
baseboard	басебоард
baseless	без основа
baseline	баселине
baseman	басеман
basement	подрум
bases	базе
bash	басх
bashful	басхфул
basic	основно
basics	основе
basil	босиљак
basilica	базилика
basin	басен
basis	основе
bask	баск
basket	корпа
basketball	Кошарка
bass	бас
bass guitar	бас гитара
basso	NO TRANSLATION
bassoon	фагот
bastard	копиле
bastarding	копиле
bastards	гадови
bastion	бастион
bat	шишмиш
batch	серија
batching	шарже
bate	NO TRANSLATION
bath	купатило
bathe	купа
bathhouse	купатило
bathing	купање
bathrobe	баде мантил
bathroom	купатило
bathtub	када за купање
bathymetry	батхиметри
baton	батон
battalion	батаљон
batter	тесто
battered	разбијен
battering	баттеринг
battery	батерија
battle	битка
battled	бори се
battlefield	баттлефиелд
battleground	баттлегроунд
battlements	зглобова
battleship	бојни брод
batty	батти
bauble	баубле
bawdy	бавди
bawl	бавл
bay	залив
bayonet	бајонет
bayou	баиоу
bazaar	базар
bazooka	базоока
bday	бдаи
be	бити
beach	плажа
beaches	Плаже
beacon	светлост
bead	беад
beading	беадинг
beads	перле
beady	беади
beagle	беагле
beak	кљун
beaker	чаша
beam	беам
beaming	сјајно
bean	беан
beanbag	кеса пасуља
beanie	капица
bear	медвед
bearable	подношљив
beard	брада
bearded	брадати
bearer	носилац
bearing	лежиште
bearings	лежајеви
bearish	медвјед
bearskin	медвјед
beast	звер
beastly	зверно
beat	победити
beaten	претучен
beater	беатер
beating	премлаћивање
beatnik	беатник
beau	беау
beautification	беаутифицатион
beautiful	Лепа
beautify	Улепшајте
beauty	лепота
beaver	беавер
bebop	бебоп
beck	бецк
beckon	зовем
become	постати
bed	кревет
bedding	постељина
bedpan	бедпан
bedrock	бедроцк
bedroom	спаваћа соба
bedside	бедсиде
