Word	sn
adolescent	mwana wechidiki
adopt	adopt
adoption	kubvumirwa
adoptive	anogamuchira
adorable	zvinofadza
adoration	adoration
adore	adore
adoring	adoring
adorn	kupfeka
adornment	chikomba
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	munhu mukuru
adulterated	vakafeva
adulterer	mhombwe
adultery	upombwe
adulthood	munhu mukuru
advance	mberi
advanced	advanced
advancement	kufambira mberi
advancing	kufambira mberi
advantage	advantage
advantageous	zvinobatsira
advent	kuuya
adventure	adventure
adventurer	anventure
adventures	adventures
adventurous	adventurous
adversary	muvengi
adverse	zvakaipa
adversity	dambudziko
advertise	taura
advertisement	kushambadzira
advertising	kushambadzira
adverts	adverts
advice	mazano
advisable	zvinonzwisisika
advise	zano
advised	vakurudzirwa
advisement	kurudzira
adviser	mupi wezano
advisor	mudzidzisi
advisory	mazano
advocacy	kukurudzira
advocate	tsigira
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	ndege
aerospace	aerospace
aesthetic	aesthetic
aesthetics	aesthetics
aetiology	aetiology
afar	afar
affable	kunetseka
affair	nyaya
affect	inobata
affecting	inogunzva
affection	rudo
affectionate	rudo
affections	zvido
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	zvakabatana
affiliation	kushamwaridzana
affinity	hukama
affirm	anotsigira
affirmation	kutsigira
affirmative	affirmative
affirmatively	zvinotsigira
affix	affix
afflict	tambudza
afflicted	vanotambudzika
affliction	kutambudzika
affluence	hupfumi
affluent	vane ruzivo
afford	kukwanisa
affordable	asingakwanisi
affront	affront
affronted	kushushwa
afield	afield
afire	afire
afloat	afloat
afore	afore
aforementioned	zvakataurwa
aforesaid	zvakataurwa
afraid	kutya
afresh	zvakare
african	african
aft	aft
afterlife	mushure mekufa
aftermath	pashure
afternoon	masikati
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agape
agate	agate
age	age
aged	vakwegura
agency	sangano
agenda	agenda
agent	agent
agglomeration	agglomeration
aggravate	kuwedzera
aggravated	yakawedzera
aggravates	inowedzera
aggravating	kuwedzera
aggravation	aggravation
aggregate	aggregate
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	utsinye
aggressive	utsinye
aggressively	kurwisa
aggressiveness	utsinye
aggressor	aggressor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	aging
agitate	agitate
agitated	agitated
agitation	kushungurudzika
aglow	kupisa
agnostic	agnostic
ago	yapfuura
agonizing	kushungurudza
agony	kurwadziwa
agoraphobia	agoraphobia
agree	anobvumirana
agreeable	inofadza
agreed	akabvumirana
agreeing	kubvumirana
agreement	chibvumirano
agressive	NO TRANSLATION
agricultural	agriculture
agriculture	agriculture
aground	aground
agua	NO TRANSLATION
ahead	mberi
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	rubatsiro
aide	mubatsiri
aiding	kubatsira
aids	rubatsiro
ail	ail
ailing	kurwara
ailment	kurwara
aim	chinangwa
aimless	aimless
air	air
airbag	airbag
airborne	airborne
aircraft	ndege
aircraft carrier	ndege dzinotakura
airfield	airfield
airhead	airhead
airlift	ndege
airline	airline
airliner	ndege
airlock	airlock
airman	airman
airplane	ndege
airport	airport
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	ndege
airtight	airtight
airway	airway
aisle	parisite
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	Aka
akin	akin
alabaster	alabaster
alarm	alarm
alarm clock	alarm clock
alarmed	zvinotyisa
alarming	chinotyisa
alas	meso
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	doro
alcoholic	doro
alcoholism	kudhakwa
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	chenjerera
alertness	kuchenjerera
alerts	alerts
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	alien
alienate	alienate
alienated	alienated
alienation	kuparadzana
alight	zvakananga
align	fanana
aligned	akafanana
alignment	kuenzanisa
alike	zvakafanana
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	mupenyu
alkali	alkali
alkaloids	alkaloids
allay	shanduka
allegation	mhaka
allege	allege
alleged	akadaro
allegiance	kutendeseka
allegorical	zvinyorwa
allegory	zvinyorwa
allegro	allegro
allergic	allergic
allergy	allergy
alleviate	kuderedza
alleviation	kuderedza
alley	alley
alleyway	Alleyway
alliance	kubatana
allied	sangano
alligator	alligator
allocate	allocate
allocation	kugoverwa
allot	allot
allotment	mugove
allow	tendera
allowable	inobvumirwa
allowance	mugove
allowed	akabvumirwa
alloy	alloy
allsmiles	NO TRANSLATION
allure	kukanganisa
alluring	kukanganisa
allusion	kureva
alluvial	alluvial
ally	sangano
almanac	almanac
almighty	masimbaose
almond	almond
aloft	aloft
aloha	aloha
alone	ndoga
alongside	pamwe chete
aloof	aloof
aloud	zvinonzwika
alpha	alpha
alphabet	alphabet
alphabetical	alfabheti
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	aritari
altar boy	aritari mukomana
alter	shanduka
alteration	kuchinja
altercation	kushanduka
altered	akachinjwa
alternate	alternate
alternating	alternating
alternative	zvimwe
altimeter	altimeter
altitude	kureba
alto	alto
altogether	zvachose
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	kubatana
amaretto	amaretto
amass	svika
amateur	mutambi
amaze	kushamisa
amazed	akashamisika
amazedness	NO TRANSLATION
amazement	anoshamisika
amazing	anoshamisa
amazingly	zvinoshamisa
ambassador	ambassador
amber	amber
ambience	ambience
ambient	ambient
ambiguity	kusaziva
ambiguous	zvisinganzwisisiki
ambit	ambit
ambition	chido
ambitious	ambitious
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulensi
ambush	ambush
ameliorate	rumbidzai
amen	ameni
amenable	amenable
amend	kuchinja
amendment	kugadzirisa
amends	inogadzirisa
amenity	amenity
amethyst	amethyst
amiable	friendlyable
amicable	vanoita zvakanaka
amid	amid
amidst	amidst
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	zvombo
amnesia	amnesia
amnesty	ruregerero
amorous	amorous
amorphous	amorphous
amortization	kudyidzana
amount	chiyero
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	zvakakwana
amplification	amplification
amplify	amplify
amplitude	amplitude
amply	amply
amputate	amputate
amputation	kunyorerwa
amuck	amuck
amulet	amulet
amuse	kufadza
amused	kufara
amusement	kufara
amusing	kunakidza
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetic
anagram	anagram
anal	anal
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	analogy
analysis	analysis
analyst	analyst
analytic	analytic
analytical	kuongorora
analyze	kuongorora
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	hutsinye
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	madzitateguru
ancestral	madzitateguru
ancestry	madzitateguru
anchor	Anchor
anchorage	anchorage
ancient	kare
ancillary	ancillary
androgen	androgen
android	android
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysm
anew	anew
angel	ngirozi
angelic	ngirozi
anger	hasha
angered	akatsamwa
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	angle
angling	angling
angora	angora
angriest	angriest
angry	kutsamwa
angrytweet	NO TRANSLATION
angst	angst
anguish	kurwadziwa
anguished	kunetseka
angular	angular
anhydrous	anhydrous
animal	mhuka
animate	animate
animated	animated
animation	animation
animosity	kuvenga
animus	animus
ankle	ankle
anklet	anklet
annals	annals
annex	chikwata
annexation	kuwedzera
annexe	NO TRANSLATION
annihilate	kuparadza
annihilated	kuparadzwa
annihilation	kuparadza
anniversary	mhembero
annotate	annotate
annotation	annotation
announce	kuzivisa
announcement	chiziviso
announcer	muparidzi
annoy	kuvhiringidza
annoyance	kushungurudzika
annoyed	akagumbura
annoyin	NO TRANSLATION
annoying	zvinoshungurudza
annoys	zvinotsamwisa
annual	gore negore
annuity	annuity
annul	annul
annular	annular
annulment	annulment
annulus	annulus
anointed	akazodzwa
anointing	anozodza
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	kusazivikanwa
anonymous	anonymous
anorexic	anorexic
answer	mhinduro
answerable	inopindurwa
answering	answer
ant	nyere
antagonism	kupesana
antagonist	mushori
antagonistic	zvinopesana
antagonize	antagonze
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antenna
anterior	anterior
anthem	rwiyo
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotic
antibiotics	antibiotics
antichrist	antichrist
anticipate	tarisira
anticipation	kutarisira
anticipatory	kutarisira
antics	antics
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	kupesana
antiquarian	antiquarian
antiquated	antiquated
antique	antique
antiques	antiques
antiquity	kare
antiseptic	antiseptic
antisocial	kushamwaridzana
antithesis	kushandiswa
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	kuzvidya mwoyo
anxietyattack	NO TRANSLATION
anxious	kuzvidya mwoyo
anxiousness	kuzvidya mwoyo
anytime	chero nguva
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	gorofa
apartments	flats
apathetic	apathetic
apathy	kusafarira
ape	ape
aperture	aperture
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	apiece
aplomb	aplomb
apocalypse	Apocalypse
apocalyptic	Apocalyptic
apologetic	apologetic
apologist	apologist
apologize	Kumbira ruregerero
apology	kukumbira ruregerero
apostasy	apostasy
apostate	apostate
apostle	mupostori
apostolic	apostolic
apostrophe	apostrophe
apothecary	apothecary
appalled	akashamisika
appalling	zvinotyisa
apparatus	apparatus
apparel	nguo
apparent	zviri pachena
apparently	zviri pachena
apparition	apparition
appeal	kukwidza
appear	kuonekwa
appearance	kuonekwa
appease	kufadza
appellant	muchengeti
append	shingairira
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	appendix
appetite	chido
appetizer	appetizer
appetizing	kufadza
applaud	kuomba
applause	applause
apple	apple
apple juice	apple juice
applejack	applejack
applesauce	applesauce
appliance	appliance
appliances	midziyo
applicability	kushanda
applicable	inoshanda
applicant	mudzidzisi
application	kushandiswa
apply	apply
appoint	sarudza
appointment	kusangana
appointments	masangano
apportion	kugovana
apportionment	kugovana
appraisal	kuongorora
appraise	kuverenga
appreciable	vanokoshesa
appreciate	vanoonga
appreciated	vanokoshesa
appreciates	anoonga
appreciation	kuonga
appreciative	kuonga
apprehend	tora
apprehension	kunetseka
apprehensive	kutya
apprentice	dzidza
apprenticeship	kudzidzira
approach	kuswedera pedyo
approaching	kuswedera
approbate	NO TRANSLATION
approbation	kubvumirwa
appropriate	zvakakodzera
appropriation	kukodzera
approval	kugamuchirwa
approve	bvuma
approved	akabvumidzwa
approvement	kubvumirana
approving	kuvabvumira
approximate	approximate
approximately	zvishoma
approximating	kufanana
approximation	kuenzanirana
appurtenances	zvikwereti
apricot	apricot
apron	apron
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	mumvura
aqueduct	mugwagwa
aqueous	aqueous
arable	arable
arbiter	arbiter
arbitrary	zvinopesana
arbitrate	arbitrate
arbitration	kubvumirana
arbitrator	arbitrator
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	arch
archaeological	archaeological
archaeologist	archaeologist
archaeology	archaeology
archaic	archaic
archangel	ngirozi huru
archbishop	archbishopu
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	mupfuri
archery	archery
archetype	archetype
archipelago	archipelago
architect	architect
architectural	zvivakwa
architecture	architecture
archive	archive
arctic	arctic
ardent	ardent
ardor	kushamwaridzana
arduous	zvinonetsa
area	nzvimbo
arena	Arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	kupopotedzana
argument	kukakavara
argumentation	kukakavara
argumentative	kukakavara
arguments	nharo
arid	arid
arise	simuka
aristocracy	aristocracy
aristocrat	mutongi
aristocratic	aristocratic
arithmetic	arithmetic
ark	areka
arm	ruoko
armada	armada
armament	zvombo
armaments	zvombo
armature	armature
armchair	armchair
armed	akazvigadzirira
armor	zvombo
armored	armored
armory	armory
armpit	armpit
arms	maoko
army	Mauto
aroma	kunhuwirira
aromatherapy	aromatherapy
arousal	arousal
arouse	kumutsa
aroused	wakamutsa
arraignment	arraignment
arrange	ronga
arranged	akaronga
arrangement	urongwa
array	array
arrears	zvizere
arrest	kusungwa
arrhythmia	arrhythmia
arrival	kusvika
arrive	arri
arrogance	kuzvikudza
arrogant	vanozvikudza
arrow	museve
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	unyanzvi
arterial	arterial
artery	ariti
artful	unyanzvi
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	chinyorwa
articles	nyaya
articulate	kutaura
articulation	kutaura
artifact	artifact
artifice	artifice
artificial	chikonzero
artillery	zvombo
artisan	artisan
artist	munyori
artiste	NO TRANSLATION
artistic	artistic
artistry	artistry
artists	artists
artwork	mifananidzo
arty	arty
asap	asap
asbestos	asbestos
ascend	kukwira
ascendancy	kukwira
ascendant	ascending
ascending	kukwira
ascension	ascension
ascent	Ascent
ascertain	ona
ascertained	vakaona
ascetic	ascetic
ash	ash
ashamed	nyara
ashes	madota
ashtray	ashtray
asinine	asinine
ask	bvunza
asleeep	NO TRANSLATION
asleep	akarara
asp	asp
asparagus	asperagus
aspartame	aspartame
aspect	aspect
aspects	zvinhu
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspiration
aspire	aspire
aspirin	aspirin
aspiring	aspiring
ass	mbongoro
assail	assail
assailant	kurwisa
assassin	muurayi
assassinate	kuuraya
assassination	kuurayiwa
assault	kurwisa
assay	assay
assemblage	assemblage
assemble	sangana
assembled	akaungana
assembly	kereke
assemblyman	assemblyman
assent	bvuma
assert	taura
asserting	achitaura
assertion	kutaura
assertive	kutsigira
assess	kuongorora
assessment	kuongorora
assessor	muongorori
asset	assets
assets	assets
asshole	asshole
assign	sarudza
assignee	assignee
assignment	basa
assimilate	assimilate
assimilation	kufanana
assist	mubatsire
assistance	rubatsiro
assistant	mubatsiri
associate	kushamwaridzana
association	kushamwaridzana
assorted	assorted
assortment	kuburitsa
assuage	kuvhara
assume	funga
assumed	assumed
assuming	kufunga
assumption	fungidziro
assurance	vimbiso
assure	vimbisa
assured	akachengetedzwa
assuredly	chokwadi
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	anoshamisika
astonished	vakashamisika
astonishing	anoshamisa
astonishingly	NO TRANSLATION
astonishment	kushamisika
astound	astound
astral	astral
astray	astray
astringent	astringent
astrologer	nyanzvi
astrology	nyeredzi
astronaut	astronaut
astronomer	nyanzvi dzenyeredzi
astronomical	nyeredzi
astronomy	nyeredzi
astute	akachenjera
asunder	zvakaparadzana
asylum	kubatsirwa
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	atheist
atheistic	asingatendi
atherosclerosis	atherosclerosis
athlete	mutambi
athletic	mutambi wenyika
athleticism	mutambo
athletics	vatambi
atlas	atlas
atmosphere	atmosphere
atmospheric	atmospheric
atoll	atoll
atom	atomu
atomic	atomic
atone	atone
atonement	kuyananisira
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	batanidza
attached	akabatanidzwa
attachment	attachment
attack	kurwisa
attacker	attacker
attacking	kurwisa
attain	attain
attainable	inogoneka
attainment	achietainment
attempt	edza
attempted	akaedza
attend	attend
attendance	kupinda
attendant	mushumiri
attention	cherechedza
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	kunyatsoteerera
attenuate	attenuate
attenuated	attenuated
attenuation	attenuation
attest	inopupura
attestation	uchapupu
attic	attic
attire	nguo
attitude	mafungiro
attorney	gweta
attract	kukoka
attraction	kukwezva
attractive	inokwezva
attractiveness	kukwezva
attributable	inokonzerwa
attribute	chirevo
attribution	attribution
attrition	attrition
auburn	auburn
auction	auction
auctioneer	auctioneer
audacious	vakangwarira
audacity	kusimba
audible	inonzwika
audience	vateereri
audio	audio
audit	kuongorora
audition	kuongorora
auditions	auditions
auditor	Auditor
auditorium	imba yacho
auditory	auditing
aught	chero
augment	kuwedzera
augmentation	augmentation
august	Nyamavhuvhu
aunt	shangai
auntie	tete
aura	aura
aurora	aurora
auspices	auspices
auspicious	auspicious
austere	austere
austerity	austerity
authentic	chokwadi
authenticate	authenticate
authentication	kuvimbiswa
authenticity	chokwadi
author	munyori
authoritative	ane kodzero
authority	simba
authorization	chiremera
authorize	kugamuchira
authorized	akapiwa simba
authorship	kunyora
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	selfocorrect
autocratic	autocracy
autograph	autograph
autographed	autographed
automated	automated
automatic	zvinononoka
automobile	motokari
automotive	motokari
autonomy	kuzvidzora
autopilot	autopilot
autopsy	autopsy
autumn	autumn
auxiliary	auxiliary
avail	anobatsira
availability	kuwanikwa
available	inowanikwa
avalanche	kuputsika
avarice	avarice
avatar	avatar
avenge	kutsiva
avenger	mutsivi
avenging	kutsiva
avenue	avenue
aver	NO TRANSLATION
average	average
aversation	NO TRANSLATION
averse	reverse
averseness	kutsvaga
aversion	aversion
avert	revert
aviary	aviary
aviation	aviation
aviator	aviator
avid	avid
avocado	avocado
avoid	dzivisa
avoidance	kudzivisa
avoiding	kudzivisa
await	kumirira
awake	muka
awaken	awaken
awakening	awakening
award	award
awards	awards
aware	unoziva
awareness	kuziva
awe	NO TRANSLATION
awed	awed
awesome	zvikuru
awesomeness	kutyisa
awestruck	zvinotyisa
awful	zvakaipa
awkward	zvisinganzwisisiki
awkwardness	kusakanganisika
awning	awning
awry	awry
axe	ax
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	axle
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	kubbling
babe	babe
baboon	bhunon
baby	mwana
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	Bachelor
bachelorette	bachelorette
back	shure
backboard	backboard
backbone	backbone
backdoor	backdoor
backdrop	shure
backer	backer
backfire	kudzokera shure
backgammon	backgammon
background	mamiriro ezvinhu
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	backpack
backpacker	backpacker
backroom	backroom
backseat	shure
backside	kumberi
backtrack	backtrack
backup	backup
backward	kumashure
backwardness	kudzokera shure
backwards	kumashure
backwater	backwater
backwoods	backwoods
backyard	kuseri
bacon	bhakoni
bacteria	mabhakitiriya
bacterial	bhakitiriya
bacterium	bhakitiriya
bad	zvakaipa
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	zvakaipa
badness	uipi
baffle	baffle
baffled	baffled
bag	bhegi
bagel	bagel
baggage	baggage
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	bail
bailiff	bailiff
bait	bait
bake	bake
bakery	baker
baking	baking
bal	NO TRANSLATION
balance	kuenzanisa
balanced	kuenzanisa
balcony	balconi
bald	bald
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bhora
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balloon
ballot	ballot
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	bharisamu
balsamic	balsamic
bam	bam
bamboo	bamboo
ban	NO TRANSLATION
banana	banana
band	band
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	Bandwidth
bane	bane
bang	bang
banger	banger
banish	banish
banished	banished
banishment	kushandiswa
banister	banister
banjo	banjo
bank	bhangi
banker	banker
banking	banking
bankroll	bankroll
bankrupt	bankrupt
bankruptcy	bankruptcy
banner	banner
banquet	banquet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	rubhabhatidzo
baptismal	kubhabhatidza
baptize	bhabhatidza
bar	bar
barb	barb
barbarian	mutorwa
barbaric	barbaric
barbarism	gadziri
barbecue	barbecue
barbed	barbed
barber	barber
barbershop	barbershop
barbie doll	barbie doll
bard	bard
bare	bare
bareback	bareback
barefoot	vasina shangu
barely	zvishoma
barf	barf
bargain	taurirana
bargaining	bargaining
barge	barge
baritone	baritone
barium	barium
bark	hukura
barkeep	barkeep
barks	barks
barley	bhari
barmaid	barmaid
barman	barman
barn	dare
barnacle	chivako
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	vakadziviswa
barrel	mbiya
barren	asingabereki
barricade	barricade
barrier	chipingamupinyi
barring	kudzivisa
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	barter
base	base
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	asiri
baseline	mutsara
baseman	baseman
basement	pasi
bases	zvigaro
bash	bash
bashful	bashful
basic	zvinokosha
basics	zvidzidzo
basil	basil
basilica	basilica
basin	basin
basis	basis
bask	bask
basket	basket
basketball	basketball
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastard
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	bat
batch	batch
batching	batching
bate	NO TRANSLATION
bath	bath
bathe	bathe
bathhouse	bathhouse
bathing	bathing
bathrobe	bathrobe
bathroom	bathroom
bathtub	bhati
bathymetry	bathymetry
baton	baton
