Word	mn
accrue	хуримтлуулах
accueil	NO TRANSLATION
accumulate	хуримтлуулах
accumulation	хуримтлал
accuracy	нарийвчлал
accurate	үнэн зөв
accursed	хараалласан
accusation	яллах
accusative	яллагдагч
accuse	буруутгаж байна
accused	яллагдагч
accuser	яллагдагч
accusing	буруутгаж байна
accustomed	дассан
ace	ace
acetic	цууны хүчил
acetylene	ацетилен
ache	Айдас
achieve	хүрэх
achieved	хүрсэн
achievement	ололт амжилт
aching	өвдөх
achy	achy
acid	хүчил
acidity	хүчиллэг байдал
acknowledge	хүлээн зөвшөөрнө
acknowledged	хүлээн зөвшөөрсөн
acknowledgement	хүлээн зөвшөөрсөн
acknowledgment	хүлээн зөвшөөрсөн
acme	acme
acne	Батга
acorn	acorn
acoustic	акустик
acoustics	акустик
acquaint	танилцуулах
acquaintance	танил
acquainted	танилцсан
acquiescence	Нөхцөл байдал
acquire	Худалдан авах
acquiring	олж авах
acquisition	худалдан авах
acquisitions	Худалдан авалт
acquit	уучлаарай
acquittal	цагаатгах
acre	акр
acreage	акр талбай
acres	акр
acrobat	акробат
acrylic	нийлэг
act	үйлдэх
acting	жүжиглэх
action	үйлдэл
action figure	үйл ажиллагааны зураг
actionable	арга хэмжээ авах боломжтой
activate	идэвхжүүлэх
activation	идэвхжүүлэх
active	идэвхитэй
activist	идэвхтэн
activity	үйл ажиллагаа
actor	жүжигчин
actress	жүжигчин
actual	бодит байдал
actuality	үнэн бодит байдал
actuary	актуар
acuity	мэдрэмж
acumen	мэдрэмж
acupuncture	зүү
acute	цочмог
acutely	Айсан
ad	зар
adage	зарчмууд
adamant	adamant
adapt	дасан зохицох
adaptable	дасан зохицох боломжтой
adaptation	дасан зохицох
add	нэмнэ үү
added	нэмсэн
addendum	Нэмэлт
adder	adder
addict	донтуулагч
addicted	донтсон
addiction	донтолт
addictive	донтуулагч
addition	нэмэлт
additional	нэмэлт
additive	нэмэлт
address	хаяг
addressee	хаягаар хандана уу
addresses	хаягууд
adept	сайн байна
adequacy	хүрэлцээтэй байдал
adequate	хангалттай
adhere	баримтлах
adherence	дагаж мөрдөх
adherent	дагаж мөрддөг
adhering	дагаж мөрдөх
adhesion	наалдац
adhesive	наалддаг
adieu	adieu
adipose	мөөгөнцөр
adjacency	adjacency
adjacent	зэргэлдээ
adjective	adjective
adjoining	зэргэлдээ
adjourn	түр хүлээнэ үү
adjournment	хугацаа сунгах
adjudicate	шийдвэрлэнэ
adjudication	Шүүмжлэл
adjunct	нэмэлт байна
adjust	тохируулах
adjuster	Зохицуулагч
adjustment	тохируулга
adjuvant	Туслах хүн
admin	админ
administer	удирдах
administration	захиргаа
administrative	захиргаа
administrator	администратор
admirable	гайхалтай
admiral	адмирал
admiralty	адмирали
admiration	гайхал
admire	бахархах
admired	гайхан биширдэг
admirer	admirer
admiring	гайхамшигтай
admissibility	хүлээн зөвшөөрөх
admissible	хүлээн зөвшөөрсөн
admission	элсэлт
admit	хүлээн зөвшөөрнө
admittance	хүлээн зөвшөөрөх
admitted	хүлээн зөвшөөрсөн
admitting	хүлээн зөвшөөрөх
admixture	хольц
admonition	сануулга
ado	ado
adobe	adobe
adolescence	өсвөр насныхан
adolescent	өсвөр насны хүүхэд
adopt	батлах
adoption	үрчлэлт
adoptive	үрчлэгдсэн
adorable	дуртай
adoration	Залбирал
adore	дуртайяа
adoring	adoring
adorn	засах
adornment	гоёл чимэглэл
adrenalin	adrenalin
adrenaline	adrenaline
adrift	гацаж байна
adult	насанд хүрэгчид
adulterated	халдашгүй
adulterer	завхайрагч
adultery	садар самуун
adulthood	насанд хүрэгчид
advance	урьдчилгаа
advanced	дэвшилтэт
advancement	дэвшил
advancing	дэвшүүлэх
advantage	Давуу тал
advantageous	давуу тал
advent	Ирээдүйд
adventure	адал явдал
adventurer	Адал явдал
adventures	адал явдал
adventurous	Адал явдал
adversary	дайсан
adverse	сөрөг
adversity	саад бэрхшээл
advertise	зар сурталчилгаа
advertisement	Зар сурталчилгаа
advertising	зар сурталчилгаа
adverts	зар сурталчилгаа
advice	зөвлөгөө
advisable	зөвлөдөг
advise	зөвлөгөө өгөх
advised	зөвлөгөө өгсөн
advisement	зөвлөгөө
adviser	зөвлөх
advisor	зөвлөх
advisory	зөвлөгөө өгөх
advocacy	сурталчилгаа
advocate	өмгөөлөгч
aegis	aegis
aeration	агааржуулалт
aerial	Агаар
aerobics	аэробик
aerodrome	аэродром
aerodynamic	аэродинамик
aerodynamics	аэродинамик
aeronautics	aeronautics
aeroplane	онгоц
aerospace	сансрын хөлөг
aesthetic	гоо сайхан
aesthetics	гоо сайхан
aetiology	тухайлбал,
afar	алс хол
affable	сайн байна
affair	үйл явдал
affect	нөлөөлөх
affecting	нөлөөлөх
affection	хайр дурлал
affectionate	хайрладаг
affections	сэтгэл хөдлөл
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	хараат бус
affiliation	харьяалал
affinity	ойртох
affirm	баталж байна
affirmation	баталж байна
affirmative	батлах
affirmatively	Нөхцөл байдал
affix	дар
afflict	зовлонтой байна
afflicted	зовж шаналсан
affliction	зовлон зүдүүр
affluence	Ашигт малтмал
affluent	чинээлэг
afford	төлөх
affordable	боломжийн
affront	зовлонтой
affronted	зовж шаналсан
afield	талбайнууд
afire	гал
afloat	өрсөлдөж байна
afore	Өмнө нь
aforementioned	Дээр дурдсан
aforesaid	дээр дурдсан
afraid	айдас
afresh	дахиад л
african	Африк
aft	дараа нь
afterlife	дараа нь
aftermath	дараа нь
afternoon	үдээс хойш
aftershave	Дараа нь
aftertaste	дараах зүйл
afterthought	Дараа нь
aga	NO TRANSLATION
agape	agape
agate	оникс
age	нас
aged	насны
agency	агентлаг
agenda	хэлэлцэх асуудал
agent	агент
agglomeration	бөөгнөрөл
aggravate	улам хүндрэх
aggravated	улам хүндрэв
aggravates	хүндрүүлдэг
aggravating	улам хүндрэх
aggravation	доройтсон
aggregate	нийлбэр
aggregation	нэгтгэсэн
aggresive	NO TRANSLATION
aggression	түрэмгийлэл
aggressive	түрэмгий
aggressively	түрэмгий
aggressiveness	түрэмгийлэл
aggressor	түрэмгийлэгч
agh	agh
aghast	агш
aghhh	NO TRANSLATION
agile	аятайхан
agility	Ачаалал
aging	хөгшрөлт
agitate	түрэмгийлэл
agitated	шоолсон
agitation	шуугиан тарих
aglow	aglow
agnostic	agnostic
ago	өмнө нь
agonizing	зовж шаналах
agony	шаналал
agoraphobia	agoraphobia
agree	тохиролцоно
agreeable	Зөвшөөрнө
agreed	тохиролцсон
agreeing	санал нийлж байна
agreement	гэрээ хэлэлцээр
agressive	NO TRANSLATION
agricultural	хөдөө аж ахуй
agriculture	хөдөө аж ахуй
aground	хажуугаар нь
agua	NO TRANSLATION
ahead	өмнө нь
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	тусламж
aide	туслах
aiding	туслах
aids	тусламж
ail	Ах
ailing	өвдөж байна
ailment	эмгэг
aim	Зорилго
aimless	зорилгогүй
air	агаар
airbag	дэрний дэр
airborne	Агааржуулалт
aircraft	нисэх онгоц
aircraft carrier	нисэх онгоц тээвэрлэгч
airfield	нисэх буудал
airhead	агаарын толгой
airlift	усан онгоц
airline	агаарын тээвэр
airliner	нисэх онгоц
airlock	airlock
airman	Airman
airplane	онгоц
airport	нисэх буудал
airs	Агаарын
airship	Airship
airspace	агаарын зай
airspeed	Агаарын хурд
airstrip	Нисэх буудал
airtight	Агааргүй
airway	Амьсгалын зам
aisle	Онгоцны буудал
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	гэгддэг
akin	төстэй
alabaster	alabaster
alarm	дохиолол
alarm clock	сэрүүлэгтэй цаг
alarmed	түгшсэн
alarming	түгшүүрийн дохио
alas	Ачаа
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	цомог
alchemy	Алкеми
alcohol	согтууруулах ундаа
alcoholic	архи
alcoholism	архидалт
alcove	Алков
alderman	alderman
ale	NO TRANSLATION
alert	сэрэмжлүүлэг
alertness	сэрэмжтэй байх
alerts	анхааруулга
alfalfa	царгас
algebra	алгебр
algebraic	алгебр
algorithm	алгоритм
alias	alias
alibi	alibi
alien	харийн
alienate	алга болно
alienated	алга болсон
alienation	төрөөс ангид
alight	гэнэт
align	align
aligned	нэгтгэсэн
alignment	уялдаа холбоо
alike	адилхан
alimentation	NO TRANSLATION
alimony	тэтгэлэг
aliquot	аликвот
alive	амьд байна
alkali	шүлт
alkaloids	алкалоид
allay	Эсрэг
allegation	мэдэгдэл
allege	Өчигдөр
alleged	гэж үзсэн
allegiance	үнэнч
allegorical	Алдаа
allegory	Эшлэл
allegro	allegro
allergic	харшилтай
allergy	харшилтай
alleviate	багасгах
alleviation	багасгах
alley	тойрог зам
alleyway	зам
alliance	холбоо
allied	холбоотон
alligator	матар
allocate	хуваарилна
allocation	хуваарилалт
allot	хуваарилна
allotment	хувь
allow	зөвшөөрөх
allowable	зөвшөөрөгдсөн
allowance	тэтгэмж
allowed	зөвшөөрөгдсөн
alloy	хайлш
allsmiles	NO TRANSLATION
allure	сэтгэл татам
alluring	сэтгэл хангалуун байна
allusion	Дурсгал
alluvial	аллюви
ally	холбоотон
almanac	Алманак
almighty	Бүхнийг Чадагч
almond	бүйлс
aloft	маш өндөр
aloha	aloha
alone	дангаараа
alongside	хамт байна
aloof	алив
aloud	чангаарай
alpha	Альфа
alphabet	цагаан толгой
alphabetical	үсгэн
alpine	alpine
alreadyyyyy	дажгүй байна
altar	тахилын ширээ
altar boy	тахилын ширээ хөвгүүн
alter	Өөрчлөлт
alteration	өөрчлөлт
altercation	зөрчилдөөн
altered	өөрчлөгдсөн
alternate	Альтернатив
alternating	ээлжлэн
alternative	өөр хувилбар
altimeter	altimeter
altitude	өндөр
alto	Альто
altogether	бүхэлдээ
aluminum	хөнгөн цагаан
alumnus	Алюмаа
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	нэгтгэх
amaretto	amaretto
amass	Амар амгалаа
amateur	сонирхогчид
amaze	гайхширлаа
amazed	гайхширсан
amazedness	NO TRANSLATION
amazement	гайхширсан
amazing	гайхалтай
amazingly	гайхалтай
ambassador	Элчин сайд
amber	хув
ambience	ая тухтай байдал
ambient	хүрээлэн буй орчин
ambiguity	хоёрдмол утгатай
ambiguous	тодорхойгүй байна
ambit	ambit
ambition	Хүсэл тэмүүлэл
ambitious	зоригтой
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	түргэн тусламж
ambush	хоргодох газар
ameliorate	засах
amen	amen
amenable	тавтай морилно уу
amend	нэмэлт өөрчлөлт оруулах
amendment	нэмэлт өөрчлөлт оруулах
amends	өөрчлөх
amenity	тав тухтай байдал
amethyst	аметист
amiable	сэтгэл хангалуун байна
amicable	сайхан сэтгэл
amid	дунд
amidst	дундуур
amino	амин
ammo	пуужин
ammonia	аммиак
ammonium	аммони
ammunition	сум
amnesia	amnesia
amnesty	Эмнести Интернэшнл
amorous	хөгжилтэй
amorphous	Аморф
amortization	хорогдуулалт
amount	хэмжээ
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	амфетаминууд
amphibian	хоёр нутагтан
amphibious	газар уснаа
amphitheater	амфитеатер
ample	хангалттай
amplification	олшруулалт
amplify	олшруулна
amplitude	далайц
amply	Үнэндээ
amputate	тайрах
amputation	таслагдах
amuck	Амьтад байна
amulet	сахиус
amuse	хөгжилтэй байх
amused	хөгжилтэй байсан
amusement	зугаа цэнгэл
amusing	хөгжилтэй
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	мэдээ алдуулалт
anaesthetic	мэдээ алдуулалт
anagram	anagram
anal	шулуун гэдсээр
analgesic	өвдөлт намдаах эм
analogous	адил төстэй
analogue	аналог
analogy	адил төстэй
analysis	шинжилгээ хийх
analyst	шинжээч
analytic	анализ хийх
analytical	аналитик
analyze	шинжилгээ хийх
analyzer	анализатор
anaphylactic	анафилакс
anarchism	анархизм
anarchist	анархист
anarchy	анархи
anastomosis	анастомosis
anathema	анатейм
anatomic	анатомик
anatomy	анатоми
ancestor	өвөг дээдэс
ancestral	өвөг дээдэс
ancestry	өвөг дээдэс
anchor	зангуу
anchorage	зангилаа
ancient	эртний
ancillary	нэмэлт
androgen	androgen
android	Андройд
anecdote	гэж бичсэн байна
anemia	цус багадалт
anemic	анемик
anemone	анемон
anesthesia	мэдээ алдуулалт
anesthesiologist	Анестезиологич
anesthetic	мэдээ алдуулалт
aneurysm	аневризм
anew	дахин
angel	тэнгэр элч
angelic	Тэнгэр элч нар
anger	уур хилэн
angered	гунигтай байна
angermanagement	NO TRANSLATION
angina	angina
angiogram	ангиографи
angiography	ангиографи
angle	өнцөг
angling	зангилаа
angora	Angora
angriest	хамгийн агуу
angry	уурлаж байна
angrytweet	NO TRANSLATION
angst	angst
anguish	шаналал
anguished	шаналсан
angular	өнцөг
anhydrous	усгүй болно
animal	амьтан
animate	Амьдрал
animated	хөдөлгөөнтэй
animation	хөдөлгөөнт дүрс
animosity	харгислал
animus	animus
ankle	шагай
anklet	anklet
annals	анализ
annex	хавсралт
annexation	Хавсралт
annexe	NO TRANSLATION
annihilate	устгах
annihilated	устгасан
annihilation	устгах
anniversary	жилийн ой
annotate	тайлбарлана уу
annotation	тэмдэглэл
announce	зарлах
announcement	зарлал
announcer	хөтлөгч
annoy	уурлаж байна
annoyance	харамсалтай
annoyed	залхаж байна
annoyin	NO TRANSLATION
annoying	ядаргаатай
annoys	уйтгар гунигтай
annual	жил бүрийн
annuity	анюти
annul	хүчингүй болгох
annular	тойрог
annulment	хүчингүй болгох
annulus	анал
anointed	тослогдсон
anointing	тослох
anomalous	Аномалог
anomaly	аномали
anon	anon
anonymity	нэргүй байдал
anonymous	нэргүй
anorexic	анорекс юм
answer	хариулт
answerable	Хариуцлагатай
answering	хариулах
ant	шоргоолж
antagonism	antagonism
antagonist	антагонист
antagonistic	антагонист
antagonize	antagonize
ante	NO TRANSLATION
antecedent	анхан шатны
antelope	буга
antenna	антен
anterior	урд талд
anthem	төрийн дуулал
anthill	цоохор ирвэс
anthology	антиологи
anthrax	боомоор
anthropological	антропологи
anthropologist	антропологич
anthropology	антропологи
anti	эсрэг
antiaircraft	antiaircraft
antibiotic	антибиотик
antibiotics	антибиотик
antichrist	Антихрист
anticipate	хүлээж байна
anticipation	хүлээлт
anticipatory	урвуулан ашиглах
antics	харваас
antidote	хордлого
antifungal	antifungal
antigravity	эсрэг тэсрэг байдал
antimony	вино
antipathy	antipathy
antiquarian	эсрэг тэсрэг
antiquated	эртний
antique	эртний
antiques	Эртний эдлэл
antiquity	эртний байсан
antiseptic	antiseptic
antisocial	эсрэг үзэгдэл
antithesis	антитез
antithetical	эсрэг үзэл баримтлал
antiviral	вирусын эсрэг
antler	эвэр
antsy	отон
anus	ану
anvil	анвил
anxiety	айдас
anxietyattack	NO TRANSLATION
anxious	санаа зовсон
anxiousness	сэтгэлийн шаналал
anytime	ямар ч цагт
aorta	aorta
aortic	aortic
apace	түргэн ав
apache	apache
apartment	орон сууц
apartments	орон сууц
apathetic	дургүй байдаг
apathy	хайхрамжгүй байдал
ape	Мич
aperture	апертур
apex	оройн хэсэг
aphid	aphid
aphrodisiac	aphrodisiac
apiece	Нэг хэсэг
aplomb	Өрөө
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	уучлал гуйж байна
apologist	уучлал хүсэгч
apologize	уучлаарай
apology	уучлал гуйх
apostasy	урвалт
apostate	урвагч
apostle	элч
apostolic	төлөөлөгчийн газар
apostrophe	алга болсон
apothecary	эмч
appalled	цочирдсон
appalling	аймшигтай
apparatus	аппарат
apparel	хувцас хунар
apparent	тод харагдаж байна
apparently	мэдээжийн хэрэг
apparition	үзэгчид
appeal	давж заалдах
appear	гарч ирнэ
appearance	Гадаад төрх
appease	тайтгаруулах
appellant	мэдүүлэг гаргагч
append	хавсаргана
appendage	хавсралт
appendectomy	хавдар
appendicitis	хаван
appendix	хавсралт
appetite	дур сонирхол
appetizer	appetizer
appetizing	хоолны дэглэм
applaud	алга уу
applause	алга ташилт
apple	алим
apple juice	алимны шүүс
applejack	Applejack
applesauce	алимны алим
appliance	хэрэгсэл
appliances	цахилгаан хэрэгсэл
applicability	хэрэглэх боломжтой
applicable	хэрэглэж болно
applicant	өргөдөл гаргагч
application	програм
apply	хэрэглэх
appoint	томилох
appointment	томилгоо
appointments	томилгоо
apportion	хуваарилалт
apportionment	хуваарилалт
appraisal	үнэлгээ
appraise	Үнэлгээ
appreciable	гайхалтай
appreciate	баярлалаа
appreciated	баярлалаа
appreciates	баярлалаа
appreciation	талархал
appreciative	талархал
apprehend	барьж авах
apprehension	айдас
apprehensive	айдас
apprentice	дагалдагч
apprenticeship	дагалдан сургах
approach	арга барил
approaching	ойртож байна
approbate	NO TRANSLATION
approbation	батлах
appropriate	тохиромжтой
appropriation	өмч хөрөнгө
approval	батлах
approve	зөвшөөрөх
approved	батлагдсан
approvement	батлах
approving	батлах
approximate	ойролцоогоор
approximately	ойролцоогоор
approximating	ойролцоогоор
approximation	ойролцоогоор
appurtenances	нэмэлт
apricot	чангаанз
apron	хормогч
apt	apt
aptitude	авьяас чадвар
aqua	ус
aquamarine	А aquamarine
aquarium	аквариум
aquatic	усны нөөц
aqueduct	усан сан
aqueous	усан сан
arable	arable
arbiter	шүүгчид
arbitrary	дур зоргоороо
arbitrate	arbitrate
arbitration	арбитрын ажиллагаа
arbitrator	арбитрч
arbor	arbor
arc	нуман
arcade	Зоосон машин
arcane	arcane
arch	нуман
archaeological	археологи
archaeologist	археологич
archaeology	археологи
archaic	хуучин байна
archangel	тэргүүн тэнгэр элч
archbishop	хамба лам
archdiocese	сүм хийд
archduke	archduke
arched	arched
archer	харваач
archery	харваа
archetype	аркетекс
archipelago	арлууд
architect	архитектор
architectural	Архитектур
architecture	архитектур
archive	архив
arctic	Арктик
ardent	ardent
ardor	ardor
arduous	хүнд бэрх
area	талбай
arena	талбар
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	маргаж байна
argument	аргумент
argumentation	Аргумент
argumentative	маргаантай
arguments	аргументууд
arid	хуурай газар
arise	босоод ир
aristocracy	язгууртнууд
aristocrat	язгууртан
aristocratic	язгууртан
arithmetic	арифметик
ark	хөвөгч авдар
arm	гар
armada	armada
armament	зэвсэг
armaments	зэвсэг
armature	арматур
armchair	түшлэг
armed	зэвсэглэсэн
armor	хуяг
armored	хуягт
armory	зэвсэг
armpit	суга
arms	зэвсэг
army	арми
aroma	үнэр
aromatherapy	үнэртүүлэгч
arousal	arousal
arouse	Сэргээх
aroused	сэрсэн
arraignment	arraignment
arrange	зохион байгуулах
arranged	зохион байгуулсан
arrangement	зохион байгуулалт
array	массив
arrears	өр төлбөр
arrest	баривчлах
arrhythmia	arrhythmia
arrival	ирэх
arrive	ирж байна
arrogance	их зан
arrogant	бардам
arrow	сумаар заав
arsehole	arsehole
arseholes	arseholes
arsenal	Арсенал
arsenic	хүнцэл
arson	нуман
arsonist	Арсонист
art	урлаг
arterial	артери
artery	артери
artful	урлаг
arthritis	артрит
arthropod	артропод
artichoke	artichoke
article	нийтлэл
articles	нийтлэл
articulate	үг хэлэх
articulation	үг хэллэг
artifact	олдвор
artifice	хиймэл дагуул
artificial	зохиомол
artillery	их бууны сум
artisan	Гар аргаар
artist	уран бүтээлч
artiste	NO TRANSLATION
artistic	урлаг
artistry	урлаг
artists	уран бүтээлчид
artwork	урлагийн бүтээл
arty	arty
asap	гэж асуув
asbestos	асбест
ascend	өсөх
ascendancy	эрх мэдэл
ascendant	өссөн
ascending	өссөн
ascension	дээш өргөгдөв
ascent	дээшилж байна
ascertain	шалгаж байна
ascertained	тодорхойлогдсон
ascetic	шашин шүтлэг
ash	үнс
ashamed	ичиж байна
ashes	үнс
ashtray	үнсний сав
asinine	asinine
ask	гэж асуув
asleeep	NO TRANSLATION
asleep	унтаж байна
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	тал
aspects	талууд
aspen	Апен
asphalt	асфальт
asphyxia	asphyxia
asphyxiation	Орхих нь:
aspiration	хүсэл тэмүүлэл
aspire	эрмэлзэлтэй
aspirin	Аспирин
aspiring	Хүсэл тэмүүлэл
ass	илжиг
assail	Бодоод үзээрэй
assailant	сэжигтэн
assassin	алуурчин
assassinate	алуурчин
assassination	аллага
assault	Дайралт
assay	сорилт
assemblage	угсрах
assemble	угсрах
assembled	угсарч байна
assembly	угсралт
assemblyman	угсрагч
assent	зөвшөөрөх
assert	гэжээ
asserting	гэж бичсэн байна
assertion	батламж мэдэгдэл
assertive	бататгах
assess	үнэлэх
assessment	үнэлгээ
assessor	үнэлгээчин
asset	хөрөнгө
assets	хөрөнгө
asshole	asshole
assign	даалгавар өгнө
assignee	үүрэг гүйцэтгэгч
assignment	даалгавар
assimilate	шингэрүүл
assimilation	орлуулалт
assist	туслах
assistance	тусламж
assistant	туслах
associate	Хараат бус
association	Холбоо
assorted	төрөл бүрийн
assortment	олон төрлийн
assuage	Баярлалаа
assume	гэж бод
assumed	гэж үзсэн
assuming	гэж үздэг
assumption	төсөөлөл
assurance	баталгаажуулалт
assure	батлах
assured	итгэлтэй байна
assuredly	мэдээжийн хэрэг
asterisk	од байна
asteroid	астероид
asteroids	астероидууд
asthma	астма
asthmatic	астматик
astigmatism	astigmatism
astonish	гайхширсан
astonished	гайхсан
astonishing	гайхалтай
astonishingly	NO TRANSLATION
astonishment	гайхширлаа
astound	гайхалтай
astral	Астрали
astray	төөрөлдөж байна
astringent	astringent
astrologer	зурхайч
astrology	Зурхай ухаан
astronaut	сансрын нисгэгч
astronomer	одон орон судлаач
astronomical	одон орон судлал
astronomy	одон орон
astute	Гайхалтай
asunder	гэж хочилдог
asylum	орогнол
asymmetric	тэгш бус байдал
asymmetry	тэгш бус байдал
asymptotic	асимптотик
atelier	atelier
atheism	атейзм
atheist	atheist
atheistic	atheistic
atherosclerosis	атеросклерозын эм
athlete	тамирчин
athletic	спорт
athleticism	athleticism
athletics	атлетик
atlas	атлас
atmosphere	уур амьсгал
atmospheric	Агаар мандал
atoll	атолл
atom	атом
atomic	атом
atone	atone
atonement	цагаатгал
atpeace	atpeace
atrium	тосгуур
atrocious	аймшигтай
atrocity	харгис хэрцгий байдал
atrophy	хатингаршил
attach	хавсаргана
attached	хавсаргасан
attachment	хавсралт
attack	халдлага
attacker	халдагч
attacking	довтолж байна
attain	хүрэх
attainable	хүрэх боломжтой
attainment	ололт
attempt	оролдлого
attempted	оролдсон
attend	оролцох
attendance	ирц
attendant	үйлчлүүлэгч
attention	анхаарал
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	анхааралтай байх
attenuate	сулрах
attenuated	сулрав
attenuation	сулрах
attest	гэрчлэх
attestation	нотолгоо
attic	мансарда
attire	Хувцаслалт
attitude	хандлага
attorney	өмгөөлөгч
attract	татах
attraction	татахуйц
attractive	сэтгэл татам
attractiveness	сэтгэл татам
attributable	хамааралтай
attribute	шинж чанар
attribution	хамаарал
attrition	зөрчил
auburn	абюнк
auction	дуудлага худалдаа
auctioneer	дуудлага худалдаа эрхлэгч
audacious	зоригтой
audacity	сонор сэрэмж
audible	сонсох боломжтой
audience	үзэгчид
audio	аудио
audit	аудит
audition	сонсгол
auditions	сонсгол
auditor	аудитор
auditorium	танхим
auditory	сонсгол
aught	ямар ч байсан
augment	нэмнэ
augmentation	нэмэгдэл
august	Наймдугаар сар
aunt	авга эгч
auntie	авга эгч
aura	aura
aurora	Аврора
auspices	ивээн тэтгэгч
auspicious	өршөөл ивээлтэй
austere	хатуу ширүүн байна
austerity	Тэвчилт
authentic	хүчинтэй
authenticate	authenticate
authentication	нэвтрэлт танилт
authenticity	жинхэнэ чанар
author	зохиогч
authoritative	эрх мэдэлтэй
authority	эрх мэдэл
authorization	зөвшөөрөл
authorize	эрх олгох
authorized	эрх бүхий
authorship	Зохиогчийн эрх
autism	autism
autistic	autistic
auto	авто
autobiographical	намтар
autobiography	намтар
autocorrect	autocorrect
autocratic	авторитар
autograph	гарын үсэг
autographed	autographed
automated	автоматжуулсан
automatic	Автоматаар
automobile	автомашин
automotive	Автомашин
autonomy	бие даасан байдал
autopilot	autopilot
autopsy	орлуулалт
autumn	намар
auxiliary	Туслах
avail	ашиглах боломжтой
availability	хүртээмжтэй байдал
available	боломжтой
avalanche	нурах
avarice	Хөөрхий
avatar	Хөрөг
avenge	өшөө авах
avenger	өшөө авагч
avenging	өшөө авах
avenue	өргөн чөлөө
aver	NO TRANSLATION
average	дундаж
aversation	NO TRANSLATION
averse	урвуу
averseness	уналт
