Word	et
accustomed	harjunud
ace	ace
acetic	äädikhape
acetylene	atsetüleen
ache	halb
achieve	saavutama
achieved	saavutatud
achievement	saavutus
aching	valu
achy	ilus
acid	hape
acidity	happesus
acknowledge	tunnustama
acknowledged	tunnistanud
acknowledgement	kinnitus
acknowledgment	kinnitus
acme	akme
acne	vinnid
acorn	tampoon
acoustic	akustiline
acoustics	akustika
acquaint	tutvuge
acquaintance	tuttav
acquainted	tuttav
acquiescence	nõusolek
acquire	omandama
acquiring	omandamine
acquisition	omandamine
acquisitions	omandamised
acquit	õigeks saama
acquittal	õigeksmõistmine
acre	aakri
acreage	maa-ala
acres	aakri
acrobat	akrobaat
acrylic	akrüül
act	tegutsema
acting	tegutsedes
action	tegevus
action figure	tegevusüksus
actionable	vaidlustatav
activate	aktiveerima
activation	aktiveerimine
active	aktiivne
activist	aktivist
activity	tegevus
actor	näitleja
actress	näitleja
actual	tegelik
actuality	tegelikkus
actuary	aktuaar
acuity	äge
acumen	teadlikkus
acupuncture	nõelravi
acute	äge
acutely	teravalt
ad	reklaami
adage	jutlus
adamant	adamant
adapt	kohanema
adaptable	kohandatav
adaptation	kohanemine
add	lisama
added	lisatud
addendum	lisa
adder	liitmik
addict	sõltlane
addicted	sõltuvuses
addiction	sõltuvus
addictive	sõltuvust
addition	lisa
additional	lisaks
additive	lisaaine
address	aadress
addressee	adressaat
addresses	aadressid
adept	õpetaja
adequacy	piisavus
adequate	piisav
adhere	kinni
adherence	kinnipidamine
adherent	adherent
adhering	järgides
adhesion	adhesioon
adhesive	liimainet
adieu	adieu
adipose	rasvane
adjacency	külgnevus
adjacent	naabruses
adjective	omadussõna
adjoining	naabruses
adjourn	katkestada
adjournment	katkestamine
adjudicate	otsustada
adjudication	kohtuotsus
adjunct	adjunct
adjust	kohandama
adjuster	regulaator
adjustment	kohandamine
adjuvant	adjuvant
admin	admin
administer	hallata
administration	haldamine
administrative	administratiivne
administrator	administraator
admirable	imetlusväärne
admiral	admiral
admiralty	admiraliteet
admiration	imetlus
admire	imetleda
admired	imetles
admirer	admirer
admiring	imetlen
admissibility	vastuvõetavus
admissible	vastuvõetav
admission	sissepääs
admit	tunnistama
admittance	sissepääs
admitted	tunnistas
admitting	lubades
admixture	segu
admonition	ettevaatus
ado	ado
adobe	Adobe
adolescence	noorukieas
adolescent	nooruk
adopt	vastu võtma
adoption	vastuvõtmine
adoptive	lapsendaja
adorable	jumalik
adoration	kummardamine
adore	jumaldan
adoring	jumaldan
adorn	kaunistama
adornment	ehe
adrenalin	adrenaliin
adrenaline	adrenaliin
adrift	eemale
adult	täiskasvanu
adulterated	võltsitud
adulterer	abielurikkuja
adultery	abielurikkumine
adulthood	täiskasvanueas
advance	eelnevalt
advanced	arenenud
advancement	areng
advancing	edasiarendamine
advantage	eelis
advantageous	kasulik
advent	advent
adventure	seiklus
adventurer	seikleja
adventures	seiklused
adventurous	seikluslik
adversary	vastane
adverse	kahjulik
adversity	vastasseis
advertise	reklaamima
advertisement	reklaam
advertising	reklaami
adverts	reklaamid
advice	nõuanne
advisable	soovitatav
advise	nõuan
advised	soovitatav
advisement	nõustamine
adviser	nõustaja
advisor	nõustaja
advisory	nõustamine
advocacy	propageerimine
advocate	advokaat
aegis	Eile
aeration	aeratsioon
aerial	antenn
aerobics	aeroobika
aerodrome	lennuväli
aerodynamic	aerodünaamiline
aerodynamics	aerodünaamika
aeronautics	aeronautika
aeroplane	lennuk
aerospace	kosmosetööstus
aesthetic	esteetiline
aesthetics	esteetika
aetiology	etioloogia
afar	kaugel
affable	armastav
affair	asi
affect	mõjutama
affecting	mõjutades
affection	kiindumus
affectionate	Hell
affections	armastus
affiche	NO TRANSLATION
affidavit	kinnitusviide
affiliated	sidusettevõte
affiliation	liitumine
affinity	afiinsus
affirm	kinnita
affirmation	kinnitus
affirmative	positiivne
affirmatively	positiivselt
affix	kinnitage
afflict	kannatama
afflicted	kannatanud
affliction	viletsus
affluence	jõukus
affluent	jõukas
afford	endale lubada
affordable	taskukohane
affront	pettuma
affronted	pettunud
afield	maa peal
afire	tulekahju
afloat	pinnal
afore	enne
aforementioned	eespool nimetatud
aforesaid	eelnimetatud
afraid	karda
afresh	jälle uuesti
african	african
aft	ahtris
afterlife	surmajärgne elu
aftermath	tagajärjed
afternoon	pärastlõunal
aftershave	aftershave
aftertaste	järelmaitse
afterthought	pärast mõtlemist
aga	NO TRANSLATION
agape	agape
agate	ahhaat
age	vanus
aged	vanuses
agency	agentuur
agenda	päevakord
agent	agent
agglomeration	aglomeratsioon
aggravate	süvendama
aggravated	süvenenud
aggravates	raskendab
aggravating	raskendav
aggravation	süvenemine
aggregate	agregaat
aggregation	koondamine
aggresive	NO TRANSLATION
aggression	agressioon
aggressive	agressiivne
aggressively	agressiivselt
aggressiveness	agressiivsus
aggressor	agressor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	vilgas
agility	agility
aging	vananemine
agitate	segada
agitated	ärritunud
agitation	agitatsioon
aglow	aglow
agnostic	agnostik
ago	tagasi
agonizing	agonizing
agony	agoonia
agoraphobia	agorafoobia
agree	nõustun
agreeable	meeldiv
agreed	kokku lepitud
agreeing	kokkuleppel
agreement	kokkulepe
agressive	NO TRANSLATION
agricultural	põllumajanduslik
agriculture	põllumajandus
aground	maapinnal
agua	NO TRANSLATION
ahead	ees
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	abi
aide	abiline
aiding	aitamine
aids	abivahendid
ail	ail
ailing	raskustes
ailment	haigus
aim	eesmärk
aimless	sihikindel
air	õhk
airbag	turvapadi
airborne	õhus
aircraft	õhusõiduk
aircraft carrier	lennukikandja
airfield	lennuväli
airhead	õhupea
airlift	õhutransport
airline	lennufirma
airliner	lennuk
airlock	õhupilu
airman	airman
airplane	lennuk
airport	lennujaam
airs	õhutab
airship	õhulaev
airspace	õhuruum
airspeed	õhkkiirus
airstrip	lennuväli
airtight	õhukindel
airway	hingamisteed
aisle	vahekäik
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	sarnane
alabaster	alabaster
alarm	alarm
alarm clock	Äratuskell
alarmed	häiritud
alarming	murettekitav
alas	paraku
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alkeemia
alcohol	alkohol
alcoholic	alkohoolne
alcoholism	alkoholism
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	hoiatus
alertness	tähelepanelikkus
alerts	hoiatused
alfalfa	lutsern
algebra	algebra
algebraic	algebraline
algorithm	algoritm
alias	teise nimega
alibi	alibi
alien	välismaalane
alienate	võõrandama
alienated	võõrandunud
alienation	võõrandumine
alight	põgenevad
align	joondage
aligned	joondatud
alignment	joondamine
alike	sama
alimentation	NO TRANSLATION
alimony	alimendid
aliquot	alikvoot
alive	elus
alkali	leelised
alkaloids	alkaloidid
allay	lahjendada
allegation	süüdistus
allege	väidavad
alleged	väidetavalt
allegiance	lojaalsus
allegorical	allegooriline
allegory	allegooria
allegro	allegro
allergic	allergiline
allergy	allergia
alleviate	leevendada
alleviation	leevendamine
alley	allee
alleyway	alleyway
alliance	liit
allied	liitlased
alligator	alligaator
allocate	eraldama
allocation	eraldamine
allot	eraldama
allotment	eraldamine
allow	lubama
allowable	lubatav
allowance	toetus
allowed	lubatud
alloy	sulam
allsmiles	NO TRANSLATION
allure	Allure
alluring	võluv
allusion	allusioon
alluvial	alluviaalne
ally	liitlane
almanac	almanahv
almighty	kõikvõimas
almond	mandel
aloft	kõrgemal
aloha	Aloha
alone	üksi
alongside	kõrval
aloof	aloof
aloud	valjusti
alpha	alfa
alphabet	tähestikus
alphabetical	tähestikuline
alpine	alpi
alreadyyyyy	juba yyyyy
altar	altar
altar boy	altar poiss
alter	muutma
alteration	muutmine
altercation	vaheldumine
altered	muudetud
alternate	asendusliige
alternating	vaheldumisi
alternative	alternatiivne
altimeter	kõrgusemõõtja
altitude	kõrgus
alto	alto
altogether	kokku
aluminum	alumiiniumist
alumnus	alumnus
alveolar	alveolaarne
alzheimers	NO TRANSLATION
amalgam	amalgaam
amalgamation	ühinemine
amaretto	amaretto
amass	amass
amateur	amatöör
amaze	hämmastama
amazed	üllatunud
amazedness	NO TRANSLATION
amazement	hämmastusega
amazing	hämmastav
amazingly	hämmastavalt
ambassador	suursaadik
amber	merevaigukollane
ambience	õhkkond
ambient	ümbritsev
ambiguity	ebamäärasus
ambiguous	ebaselge
ambit	piire
ambition	ambitsioon
ambitious	edasipüüdlik
ambivalent	ambivalentne
ambrosia	ambrosia
ambulance	kiirabi
ambush	varitsus
ameliorate	Parandada
amen	amen
amenable	vastutulelik
amend	muudan
amendment	muudatus
amends	muudab
amenity	mugavus
amethyst	ametüst
amiable	sõbralik
amicable	sõbralik
amid	keset
amidst	keset
amino	amino
ammo	AMMO
ammonia	ammoniaak
ammonium	ammoonium
ammunition	laskemoona
amnesia	amneesia
amnesty	amnestia
amorous	armuline
amorphous	amorfne
amortization	amortisatsioon
amount	summa
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamiinid
amphibian	amfiibiaalne
amphibious	amfiibne
amphitheater	amfiteater
ample	palju
amplification	võimendamine
amplify	võimendama
amplitude	amplituud
amply	piisavalt
amputate	amputeerima
amputation	amputatsioon
amuck	amak
amulet	amulett
amuse	lõbustama
amused	lõbustas
amusement	lõbustus
amusing	lõbus
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	anesteesia
anaesthetic	anesteetikum
anagram	Anagram
anal	anal
analgesic	valuvaigisti
analogous	analoogne
analogue	analoog
analogy	analoogia
analysis	analüüsimine
analyst	analüütik
analytic	analüütiline
analytical	analüütiline
analyze	analüüsida
analyzer	analüsaator
anaphylactic	anafülaktiline
anarchism	anarhism
anarchist	anarhist
anarchy	anarhia
anastomosis	anastomoos
anathema	anathema
anatomic	anatoomiline
anatomy	anatoomia
ancestor	esivanem
ancestral	esialgne
ancestry	esialgne päritolu
anchor	ankur
anchorage	ankurdus
ancient	iidne
ancillary	abistav
androgen	androgeen
android	android
anecdote	anekdoot
anemia	aneemia
anemic	aneemiline
anemone	anemone
anesthesia	anesteesia
anesthesiologist	anesteesia
anesthetic	anesteetikum
aneurysm	aneurüsm
anew	uuesti
angel	ingel
angelic	ingelik
anger	viha
angered	vihane
angermanagement	NO TRANSLATION
angina	stenokardia
angiogram	angiogramm
angiography	angiograafia
angle	nurk
angling	kalastamine
angora	Angora
angriest	angriest
angry	vihane
angrytweet	NO TRANSLATION
angst	ahne
anguish	ahastus
anguished	ahastatud
angular	nurgeline
anhydrous	veevaba
animal	loom
animate	elavdada
animated	animeeritud
animation	animatsioon
animosity	vaenulikkus
animus	animus
ankle	pahkluu
anklet	pükskott
annals	annud
annex	lisa
annexation	anneksia
annexe	NO TRANSLATION
annihilate	hävitada
annihilated	hävitati
annihilation	hävitamine
anniversary	aastapäev
annotate	märkida
annotation	märkus
announce	teatama
announcement	teadaanne
announcer	kõneleja
annoy	tüütu
annoyance	pahameelt
annoyed	tüütu
annoyin	NO TRANSLATION
annoying	tüütu
annoys	annoys
annual	aastane
annuity	annuiteet
annul	tühistada
annular	rõngakujuline
annulment	tühistamine
annulus	tühjaks
anointed	anointed
anointing	võidmine
anomalous	anomaalne
anomaly	anomaalia
anon	anon
anonymity	anonüümsus
anonymous	anonüümne
anorexic	anoreksiline
answer	vastus
answerable	vastutav
answering	vastates
ant	ant
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistlik
antagonize	antagoniseerima
ante	NO TRANSLATION
antecedent	eelnev
antelope	antikeha
antenna	antenn
anterior	eesmine
anthem	hümn
anthill	anthill
anthology	antoloogia
anthrax	siberi katkhiire
anthropological	antropoloogiline
anthropologist	antropoloog
anthropology	antropoloogia
anti	anti
antiaircraft	õhusõiduk
antibiotic	antibiootikum
antibiotics	antibiootikumid
antichrist	Antikeha
anticipate	ennustada
anticipation	ennetamine
anticipatory	ennetav
antics	antics
antidote	antidoot
antifungal	seenevastane
antigravity	antigravitatsioon
antimony	antimon
antipathy	antipatsia
antiquarian	antiikmööbel
antiquated	vananenud
antique	antiikmööbel
antiques	antiikesemed
antiquity	antiik
antiseptic	antiseptiline
antisocial	antisotsiaalne
antithesis	antitekst
antithetical	antitheetiline
antiviral	viirusevastane
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	ärevus
anxietyattack	NO TRANSLATION
anxious	murelik
anxiousness	ärevus
anytime	igal ajal
aorta	aordi
aortic	aordi
apace	pingeline
apache	apache
apartment	korter
apartments	korterid
apathetic	apaetiline
apathy	apaatia
ape	ahv
aperture	ava
apex	tipp
aphid	lehetäide
aphrodisiac	aphrodisiac
apiece	tükk
aplomb	aplomb
apocalypse	apokalüpsis
apocalyptic	apokalüptiline
apologetic	apologetic
apologist	apoloog
apologize	vabandage
apology	vabandus
apostasy	viletsus
apostate	apostate
apostle	apostlit
apostolic	apostlik
apostrophe	apostroof
apothecary	apteeker
appalled	kohutav
appalling	kohutav
apparatus	aparaat
apparel	kehakate
apparent	ilmne
apparently	ilmselt
apparition	ilmutus
appeal	apellatsioonkaebus
appear	ilmuvad
appearance	välimus
appease	vaigistama
appellant	apellatsioonkaebuse esitaja
append	lisama
appendage	lisand
appendectomy	apendektoomia
appendicitis	apenditsiit
appendix	lisa
appetite	isu
appetizer	eelroog
appetizing	isuäratav
applaud	kiidelda
applause	aplaus
apple	õun
apple juice	õunamahl
applejack	applejack
applesauce	õunapuu
appliance	seade
appliances	seadmed
applicability	kohaldatavus
applicable	kohaldatav
applicant	taotleja
application	taotlus
apply	kohaldada
appoint	määrama
appointment	ametisse nimetamine
appointments	kohtumised
apportion	jagamine
apportionment	jaotamine
appraisal	hindamine
appraise	hindama
appreciable	märkimisväärne
appreciate	hindan
appreciated	hinnatud
appreciates	hindab
appreciation	kallinemine
appreciative	tänulik
apprehend	kinni pidama
apprehension	kahtlus
apprehensive	murettekitav
apprentice	õpipoiss
apprenticeship	praktikavõimalus
approach	lähenemine
approaching	läheneb
approbate	NO TRANSLATION
approbation	heakskiitmine
appropriate	asjakohane
appropriation	assigneering
approval	heakskiitmine
approve	heaks kiita
approved	heaks kiidetud
approvement	kinnitamine
approving	heaks kiita
approximate	ligikaudne
approximately	umbes
approximating	lähendamine
approximation	lähendus
appurtenances	lisaväärtused
apricot	aprikoos
apron	põll
apt	asjakohane
aptitude	sobivus
aqua	vesi
aquamarine	akvamariin
aquarium	akvaariumi
aquatic	vesi
aqueduct	akvedukt
aqueous	vesilahus
arable	põllumaa
arbiter	vahekohtunik
arbitrary	meelevaldne
arbitrate	vahekohtunik
arbitration	vahekohtumenetlus
arbitrator	vahekohtunik
arbor	lehtla
arc	kaar
arcade	arkaad
arcane	arkaan
arch	ark
archaeological	arheoloogiline
archaeologist	arheoloog
archaeology	arheoloogia
archaic	arhailine
archangel	orkester
archbishop	peapiiskop
archdiocese	peapiiskus
archduke	peapiiskop
arched	kaarjas
archer	archer
archery	vibulaskmine
archetype	arhetüüp
archipelago	saarestik
architect	arhitekt
architectural	arhitektuurne
architecture	arhitektuur
archive	arhiiv
arctic	arktiline
ardent	süütu
ardor	ah
arduous	raske
area	ala
arena	areenil
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	väidavad
argument	argument
argumentation	argumentatsioon
argumentative	argumentaalne
arguments	argumendid
arid	kuiv
arise	tekkida
aristocracy	aristokraatia
aristocrat	aristokraat
aristocratic	aristokraatlik
arithmetic	aritmeetika
ark	ark
arm	käsi
armada	armada
armament	relvastus
armaments	armament
armature	armatuur
armchair	tugitool
armed	relvastatud
armor	armor
armored	soomustatud
armory	armee
armpit	armpit
arms	relvad
army	armee
aroma	aroom
aromatherapy	aroomiteraapia
arousal	ärritus
arouse	ärritama
aroused	ärritunud
arraignment	arraignment
arrange	korraldama
arranged	korraldatud
arrangement	kokkulepe
array	massiiv
arrears	võlgnevused
arrest	arreteerimine
arrhythmia	arütmia
arrival	saabumine
arrive	saabuma
arrogance	ülbus
arrogant	ülbe
arrow	nool
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arseen
arson	süütamine
arsonist	süütamine
art	art
arterial	arteriaalne
artery	arteri
artful	kallis
arthritis	artriit
arthropod	lülijalgse
artichoke	artišokk
article	artikkel
articles	artiklid
articulate	sõnastama
articulation	liigendamine
artifact	artefakt
artifice	artifice
artificial	kunstlik
artillery	suurtükivägi
artisan	artisan
artist	kunstnik
artiste	NO TRANSLATION
artistic	kunstiline
artistry	kunstnikud
artists	kunstnikud
artwork	kunstiteos
arty	arty
asap	nii pea kui võimalik
asbestos	asbest
ascend	üles tõusma
ascendancy	ülestõusus
ascendant	ülenev
ascending	kasvav
ascension	ülestõusus
ascent	tõus
ascertain	kindlaks teha
ascertained	kindlaks tehtud
ascetic	askeet
ash	tuhk
ashamed	häbeneda
ashes	tuhk
ashtray	tuhatoos
asinine	asinine
ask	küsi
asleeep	NO TRANSLATION
asleep	magama
asp	asp
asparagus	spargel
aspartame	aspartaam
aspect	aspekt
aspects	aspekte
aspen	haab
asphalt	asfalt
asphyxia	asfiksia
asphyxiation	lämbumine
aspiration	püüdlus
aspire	püüdke
aspirin	aspiriin
aspiring	ambitsioonikas
ass	perse
assail	rünnak
assailant	ründaja
assassin	palgamõrvar
assassinate	mõrvati
assassination	mõrva
assault	rünnak
assay	test
assemblage	kokkupanek
assemble	kokku panema
assembled	kokku pandud
assembly	kokkupanek
assemblyman	kokkupanija
assent	nõusolek
assert	kinnitada
asserting	väites
assertion	väide
assertive	veenev
assess	hinnata
assessment	hindamine
assessor	hindaja
asset	vara
assets	varad
asshole	sitapea
assign	määrama
assignee	omandaja
assignment	ülesanne
assimilate	ühte sulama, assimileerima
assimilation	assimilatsioon
assist	abi
assistance	abi
assistant	assistent
associate	sidusettevõte
association	ühing
assorted	assortii
assortment	sortiment
assuage	ennustama
assume	eeldada
assumed	oletus
assuming	eeldades
assumption	eeldus
assurance	kindlustus
assure	kinnitan
assured	kindel
assuredly	kindlasti
asterisk	tärniga
asteroid	asteroid
asteroids	asteroidid
asthma	astma
asthmatic	astmaatiline
astigmatism	astigmatism
astonish	hämmastama
astonished	hämmastunud
astonishing	hämmastav
astonishingly	NO TRANSLATION
astonishment	hämmastus
astound	hämmastav
astral	astral
astray	eksitama
astringent	kahjutu
astrologer	astroloog
astrology	astroloogia
astronaut	astronaut
astronomer	astronoom
astronomical	astronoomiline
astronomy	astronoomia
astute	astute
asunder	asendama
asylum	varjupaik
asymmetric	asümmeetriline
asymmetry	asümmeetria
asymptotic	asümptootiline
atelier	ateljee
atheism	ateism
atheist	ateist
atheistic	ateistlik
atherosclerosis	ateroskleroos
athlete	sportlane
athletic	sportlik
athleticism	sportlikkus
athletics	kergejõustik
atlas	atlas
atmosphere	õhkkond
atmospheric	atmosfääriline
atoll	atoll
atom	aatom
atomic	aatomi
atone	puhas
atonement	lepitus
atpeace	rahus
atrium	aatrium
atrocious	julm
atrocity	vägivald
atrophy	atroofia
attach	kinnitage
attached	lisatud
attachment	kinnitus
attack	rünnak
attacker	ründaja
attacking	rünnata
attain	saavutama
attainable	saavutatav
attainment	saavutamine
attempt	katse
attempted	üritasin
attend	osalema
attendance	osalemine
attendant	saatja
attention	tähelepanu
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	tähelepanelik
attenuate	nõrgendama
attenuated	nõrgendatud
attenuation	sumbumine
attest	tõestada
attestation	tõendamine
attic	pööning
attire	riietus
attitude	suhtumine
attorney	vandeadvokaat
attract	meelitada
attraction	atraktsioon
attractive	atraktiivne
attractiveness	atraktiivsust
attributable	omistatav
attribute	atribuut
attribution	omistamine
attrition	hõõrdumine
auburn	auburn
auction	oksjonil
auctioneer	oksjonipidaja
audacious	talumatu
audacity	julmus
audible	kuuldav
audience	vaatajaskond
audio	heli
audit	audit
audition	kuulamine
auditions	auditooriumid
auditor	audiitor
auditorium	auditoorium
auditory	kuulaja
aught	ahv
augment	augment
augmentation	suurendamine
august	august
aunt	tädi
auntie	auntie
aura	aura
aurora	aurora
auspices	egiidi all
auspicious	õnnelik
austere	austere
austerity	karmistamine
authentic	autentne
authenticate	autentida
authentication	autentimine
authenticity	autentsus
author	autor
authoritative	autoriteetne
authority	asutus
authorization	luba
authorize	volitada
authorized	volitatud
authorship	autorsus
autism	autism
autistic	autistlik
auto	auto
autobiographical	autobiograafiline
autobiography	autobiograafia
autocorrect	autokorrekt
autocratic	autokraatlik
autograph	autogramm
autographed	autographed
automated	automatiseeritud
automatic	automaatne
automobile	auto
automotive	autotööstus
autonomy	autonoomia
autopilot	autopiloot
autopsy	autopsia
autumn	sügis
auxiliary	abiteenistujad
avail	kasutama
availability	kättesaadavus
available	saadaval
avalanche	laviin
avarice	avarus
avatar	avatar
avenge	kätte maksma
avenger	süüdlane
avenging	avenging
avenue	avenue
aver	NO TRANSLATION
average	keskmine
aversation	NO TRANSLATION
averse	ebasoovitav
averseness	nägemisvõime
aversion	vastumeelsus
avert	vältima
aviary	aviary
aviation	lennundus
aviator	aviator
avid	ahne
avocado	avokaado
avoid	vältima
avoidance	maksustamise vältimine
avoiding	vältida
await	oodata
awake	ärkvel
awaken	ärkama
awakening	ärkamine
award	auhind
awards	auhinnad
aware	teadlik
awareness	teadlikkus
awe	NO TRANSLATION
awed	oodatud
awesome	vinge
awesomeness	vinge
awestruck	ärkamine
awful	kohutav
awkward	ebamugav
awkwardness	ebamugavus
awning	varikatus
awry	viga
axe	kirves
axial	aksiaalne
axiom	aksioom
axiomatic	aksiaatiline
axis	telg
axle	telg
ay	jah
aye	aye
azimuth	asimuut
azure	silmadega
babble	lööma
babbling	piinamine
babe	babe
baboon	paavian
baby	beebi
babysit	lapsehoidja
babysitter	lapsehoidja
baccalaureate	küpsustunnistus
baccarat	baccarat
bachelor	bakalaureus
bachelorette	bachelorette
back	tagasi
backboard	tahvel
backbone	selgroog
backdoor	tagauks
backdrop	taustad
backer	toetaja
backfire	tagasilöök
backgammon	backgammon
background	taustal
backhand	tagurpidi
backhoe	ekskavaator
backoff	tagasilöök
backpack	seljakott
backpacker	seljakott
backroom	tugiruum
backseat	backseat
backside	tagakülg
backtrack	tagasilöök
backup	varukoopia
backward	tagasi
backwardness	mahajäämus
backwards	tagasi
backwater	tagakülg
backwoods	tagakülg
backyard	aias
bacon	peekon
bacteria	bakterid
bacterial	bakteriaalne
bacterium	bakter
bad	halb
badass	halastus
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	märgi
badger	mäger
badhabit	NO TRANSLATION
badly	halvasti
badness	halvasti
baffle	tõkesti
baffled	hämmingus
bag	kott
bagel	bagel
baggage	pagas
baggie	baggie
baggy	kotti
bagman	Bagman
bagpipes	kapslid
bail	kautsjoni
bailiff	kohtutäitur
bait	sööta
bake	küpseta
bakery	pagaritöökoda
baking	küpsetamine
bal	NO TRANSLATION
balance	tasakaal
balanced	tasakaalustatud
balcony	rõdu
bald	kiilas
balding	keppimine
baldy	kiilakas
bale	pall
balk	lööma
ball	pall
ballad	ballaad
ballast	liiteseade
ballerina	ballerina
ballet	ballett
ballgame	pallimäng
ballistic	ballistiline
ballistics	ballistika
balloon	balloon
ballot	hääletusvoor
ballpark	ballpark
ballplayer	kuulipallur
ballpoint	kuulipunkt
ballroom	tantsusaal
ballsy	palli
balm	palsam
balmy	palsam
balsam	palsam
balsamic	balsamic
bam	bam
bamboo	bambusest
ban	NO TRANSLATION
banana	banaan
band	bänd
bandage	sidemega
bandanna	NO TRANSLATION
bandit	bandiit
bandstand	ansambel
bandwagon	vangla vagun
bandwidth	ribalaius
bane	bane
bang	pahtu
banger	banger
banish	keelduma
banished	vallandatud
banishment	väljasaatmine
banister	vineerist
banjo	banjo
bank	pank
banker	pankur
banking	pangandus
bankroll	pankrot
bankrupt	pankrotti
bankruptcy	pankrot
banner	bänner
banquet	pidusöök
banshee	banshee
banter	röövimine
banzai	NO TRANSLATION
baptism	ristimine
baptismal	ristimine
baptize	ristitud
bar	baar
barb	jama
barbarian	barbaarne
barbaric	barbaarne
barbarism	barbarism
barbecue	grill
barbed	okastatakse
barber	juuksur
barbershop	juuksur
barbie doll	Barbie nukk
bard	bard
bare	tühi
bareback	pisarad
barefoot	paljajalu
barely	vaevu
barf	barf
bargain	sooduspakkumine
bargaining	läbirääkimised
barge	praam
baritone	bariton
barium	baarium
bark	koor
barkeep	sööma
barks	torkab
barley	oder
barmaid	barmaid
barman	baarimees
barn	laud
barnacle	barnakle
barney	barney
barnyard	barnyard
barometer	baromeeter
baron	baron
baroness	paruness
baroque	barokk
barrack	barrack
barracuda	barracuda
barrage	tõke
barred	aegunud
barrel	silinder
barren	viljatu
barricade	barrikaad
barrier	tõke
barring	piirang
