Word	hy
adherent	հավատարիմ
adhering	հավատարիմ
adhesion	հավատարմությունը
adhesive	սոսինձ
adieu	adieu
adipose	կեսօրին
adjacency	հարեւանությամբ
adjacent	հարակից
adjective	ածական
adjoining	հարակից
adjourn	հետաձգում
adjournment	ընդմիջումից հետո
adjudicate	դատարանը
adjudication	դատարանը
adjunct	կից
adjust	հարմարեցնել
adjuster	կարգավորիչը
adjustment	ճշգրտում
adjuvant	adjuvant
admin	admin
administer	կառավարում
administration	վարչակազմը
administrative	վարչական
administrator	ադմինիստրատոր
admirable	անսպասելի
admiral	ծովակալ
admiralty	նավատորմ
admiration	հիացմունքով
admire	հիանում
admired	հիացած
admirer	երկրպագու
admiring	հիացմունքով
admissibility	ընդունելիություն
admissible	ընդունելի
admission	ընդունելություն
admit	խոստովանել
admittance	ընդունում
admitted	խոստովանել է
admitting	ընդունելով
admixture	խառնուրդ
admonition	հորդոր
ado	Ադո
adobe	adobe
adolescence	երիտասարդություն
adolescent	դեռահասը
adopt	ընդունել
adoption	ընդունում
adoptive	ընդունող
adorable	գրավիչ
adoration	երկրպագում
adore	սիրել
adoring	adoring
adorn	զարդարել
adornment	զարդարանք
adrenalin	adrenalin
adrenaline	ադրենալին
adrift	անպիտան
adult	մեծահասակ
adulterated	պոռնկությամբ
adulterer	շնացող
adultery	շնություն
adulthood	մեծահասակ
advance	առաջընթացը
advanced	առաջադեմ
advancement	առաջընթացը
advancing	առաջընթացը
advantage	առավելություն
advantageous	շահավետ
advent	գալուստը
adventure	արկած
adventurer	արկածախնդիր
adventures	արկածները
adventurous	արկածային
adversary	հակառակորդին
adverse	անբարենպաստ
adversity	դժբախտություն
advertise	գովազդել
advertisement	գովազդ
advertising	գովազդ
adverts	գովազդներ
advice	խորհուրդներ
advisable	ցանկալի է
advise	խորհուրդ տալ
advised	խորհուրդ տվեց
advisement	խորհրդատվություն
adviser	խորհրդական
advisor	խորհրդական
advisory	խորհրդատվություն
advocacy	քարոզչություն
advocate	փաստաբան
aegis	ավագ
aeration	օդափոխություն
aerial	օդային
aerobics	Աերոբիկա
aerodrome	օդանավակայան
aerodynamic	աերոդինամիկ
aerodynamics	աերոդինամիկան
aeronautics	ավիացիա
aeroplane	ինքնաթիռ
aerospace	ավիատոմսեր
aesthetic	էսթետիկ
aesthetics	գեղագիտություն
aetiology	էիթիոլոգիա
afar	հեռվից
affable	բարյացակամ
affair	գործը
affect	ազդում
affecting	ազդում
affection	սիրով
affectionate	քնքուշ
affections	ազդեցությունները
affiche	NO TRANSLATION
affidavit	հղում անելով
affiliated	փոխկապակցված
affiliation	ա
affinity	սերունդը
affirm	հաստատում
affirmation	հաստատում
affirmative	դրական
affirmatively	դրականորեն
affix	affix
afflict	տառապանք
afflicted	տառապող
affliction	տառապանք
affluence	հարստություն
affluent	հարուստ
afford	թույլ տալով
affordable	մատչելի
affront	խաբեությամբ
affronted	ցնցված
afield	մի հատված
afire	կողքից
afloat	ջրի տակ
afore	Նախկինում
aforementioned	վերոհիշյալ
aforesaid	վերոհիշյալը
afraid	վախենալով
afresh	նորից
african	աֆրիկյան
aft	բարձրանալը
afterlife	հետո
aftermath	հետո
afternoon	կեսօրին
aftershave	հետաձգում
aftertaste	եթերից հետո
afterthought	հետո
aga	NO TRANSLATION
agape	agape
agate	ագատ
age	Տարիք
aged	տարեց
agency	գործակալությունը
agenda	օրակարգը
agent	գործակալ
agglomeration	ագլոմերացիա
aggravate	խորացնելը
aggravated	ծանրացվեց
aggravates	խորացնում է
aggravating	ծանրացնող
aggravation	ուժեղացում
aggregate	ագրեգատ
aggregation	միաձուլումը
aggresive	NO TRANSLATION
aggression	ագրեսիա
aggressive	ագրեսիվ
aggressively	ագրեսիվորեն
aggressiveness	ագրեսիվություն
aggressor	ագրեսոր
agh	Աղ
aghast	աղքատ
aghhh	NO TRANSLATION
agile	արագաշարժ
agility	շարժունություն
aging	ծերացումը
agitate	խթանել
agitated	ցնցված
agitation	քարոզչություն
aglow	հովանավոր
agnostic	ագնոստիկ
ago	առաջ
agonizing	ցնցող
agony	տառապանք
agoraphobia	Ագարաֆոբիա
agree	համաձայնվել
agreeable	հաճելի
agreed	համաձայնեցին
agreeing	համաձայնեցնելով
agreement	պայմանագիրը
agressive	NO TRANSLATION
agricultural	գյուղատնտեսական
agriculture	գյուղատնտեսություն
aground	տեղանքում
agua	NO TRANSLATION
ahead	առաջ
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	օգնություն
aide	օգնական
aiding	օգնություն
aids	օժանդակ միջոցներ
ail	ընտանիք
ailing	հիվանդ
ailment	հիվանդություն
aim	նպատակ
aimless	նպատակասլաց
air	օդը
airbag	օդորակիչ
airborne	օդանավակայանում
aircraft	Ինքնաթիռ
aircraft carrier	ավիակիր
airfield	օդանավակայան
airhead	օդաչու
airlift	օդանավակայան
airline	ավիաընկերություն
airliner	օդանավը
airlock	օդանավակայան
airman	օդանավը
airplane	ինքնաթիռ
airport	օդանավակայան
airs	օդեր
airship	օդանավակայան
airspace	օդային տարածություն
airspeed	օդանավակայան
airstrip	օդանավը
airtight	հերմետիկ
airway	օդուղիները
aisle	միջանցք
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ազգական
alabaster	ալաբաստեռ
alarm	ահազանգ
alarm clock	Զարթուցիչ
alarmed	անհանգստացած
alarming	ահազանգ
alas	ավաղ
alb	NO TRANSLATION
albatross	ալբատոսս
albino	albino
album	ալբոմ
alchemy	Ալքիմիա
alcohol	ալկոհոլ
alcoholic	ալկոհոլային
alcoholism	ալկոհոլիզմը
alcove	ալկով
alderman	ալդերման
ale	NO TRANSLATION
alert	զգոնություն
alertness	զգոնություն
alerts	ծանուցումներ
alfalfa	առվույտ
algebra	հանրահաշիվ
algebraic	հանրահաշիվ
algorithm	ալգորիթմ
alias	կեղծանուն
alibi	Ալիբին
alien	օտար
alienate	օտարել
alienated	օտարված
alienation	օտարումը
alight	ալիքը
align	շարել
aligned	հավասարեցված
alignment	հավասարեցում
alike	միեւնույն ժամանակ
alimentation	NO TRANSLATION
alimony	ալիմենտ
aliquot	Ալիկոտոպ
alive	կենդանի
alkali	ալկալի
alkaloids	ալկալոիդներ
allay	բոլորը
allegation	մեղադրանք
allege	ենթադրություն
alleged	ենթադրյալ
allegiance	հավատարմություն
allegorical	Ալեգորիկ
allegory	Ալեգորիան
allegro	Ալեգրո
allergic	ալերգիկ
allergy	ալերգիա
alleviate	մեղմել
alleviation	մեղմացում
alley	ալեհեր
alleyway	ալելիայով
alliance	դաշինք
allied	դաշնակից
alligator	թալիշը
allocate	հատկացնել
allocation	տեղաբաշխում
allot	հատկացնել
allotment	հատկացում
allow	թույլատրել
allowable	թույլատրելի
allowance	նպաստ
allowed	թույլատրված է
alloy	խառնուրդ
allsmiles	NO TRANSLATION
allure	գաղափարախոսություն
alluring	գրավիչ
allusion	ենթադրություն
alluvial	ալուլյիվիա
ally	դաշնակից
almanac	ալմանակ
almighty	Ամենակարող
almond	նուշ
aloft	ալոֆտ
aloha	ալոհա
alone	միայնակ
alongside	կողքին
aloof	առանձին
aloud	բարձրաձայն
alpha	ալֆա
alphabet	Այբուբեն
alphabetical	այբբենական
alpine	ալպին
alreadyyyyy	NO TRANSLATION
altar	զոհասեղանը
altar boy	խորանի տղա
alter	փոխել
alteration	փոփոխություն
altercation	խառնաշփոթություն
altered	փոփոխված
alternate	այլընտրանքային
alternating	փոխարինող
alternative	այլընտրանք
altimeter	ալյումինաչափը
altitude	բարձրությունը
alto	ալթո
altogether	ընդհանրապես
aluminum	ալյումինե
alumnus	շրջանավարտ
alveolar	ալվեոլային
alzheimers	NO TRANSLATION
amalgam	գործնականում
amalgamation	միավորում
amaretto	ամառետոն
amass	ամաս
amateur	սիրողական մինետ
amaze	զարմացնել
amazed	զարմացած
amazedness	զարմանք
amazement	զարմանք
amazing	զարմանալի է
amazingly	զարմանալիորեն
ambassador	Դեսպան
amber	սաթ
ambience	միջավայր
ambient	շրջապատը
ambiguity	անորոշություն
ambiguous	երկիմաստ
ambit	ամբիթ
ambition	ձգտումը
ambitious	հավակնոտ
ambivalent	երկչոտ
ambrosia	ամբրոսիա
ambulance	շտապօգնությունը
ambush	դարանակալ
ameliorate	բարելավելու համար
amen	ամեն
amenable	պատասխանատու
amend	փոփոխություն
amendment	փոփոխություն
amends	փոխում է
amenity	հարմարավետություն
amethyst	ամեթիստ
amiable	զվարճալի
amicable	բարեկամ
amid	պայմանով
amidst	միջավայրում
amino	ամինո
ammo	ammo
ammonia	ամոնիակ
ammonium	ամոնիում
ammunition	զինամթերք
amnesia	ամնեզիա
amnesty	համաներում
amorous	ամուր
amorphous	ամորֆ
amortization	ամորտիզացիա
amount	գումարը
amour	NO TRANSLATION
amp	ամպ
ampersand	Ամպերսանդը
amphetamines	ամֆետամիններ
amphibian	ամֆիբյան
amphibious	ամֆիբիոզ
amphitheater	ամֆիթատրոն
ample	ընդարձակ
amplification	ուժեղացում
amplify	ուժեղացնել
amplitude	մեծություն
amply	բավականին
amputate	ամպուտատ
amputation	ամպուտացիա
amuck	ամակ
amulet	թալիսման
amuse	զզվելի
amused	զարմացած
amusement	զվարճանք
amusing	զվարճալի
ana	NO TRANSLATION
anaconda	անակոնդա
anaesthesia	Անզգայացում
anaesthetic	անեսթեզի
anagram	Անդրոգրաֆիա
anal	անալ
analgesic	անալգիզատոր
analogous	նմանատիպ
analogue	անալոգային
analogy	նմանօրինակություն
analysis	վերլուծություն
analyst	վերլուծաբան
analytic	վերլուծական
analytical	վերլուծական
analyze	վերլուծել
analyzer	վերլուծիչ
anaphylactic	անաֆիլակտիկ
anarchism	անարխիզմ
anarchist	անարխիստ
anarchy	անարխիա
anastomosis	անաստոմոզ
anathema	անատեման
anatomic	անատոմիկ
anatomy	անատոմիա
ancestor	նախնիները
ancestral	նախնիները
ancestry	նախնիները
anchor	խարիսխ
anchorage	անջատում
ancient	հնագույն
ancillary	օժանդակ
androgen	եւռուցք
android	Android
anecdote	անեկդոտ
anemia	անեմիա
anemic	անեմիա
anemone	անեմոն
anesthesia	Անզգայացում
anesthesiologist	անեսթեզիոլոգ
anesthetic	անեսթեզի
aneurysm	անեւրիզմ
anew	նորից
angel	հրեշտակ
angelic	հրեշտակ
anger	զայրույթը
angered	բարկացան
angermanagement	NO TRANSLATION
angina	անգինա
angiogram	անգիոգրաֆիա
angiography	անգիոգրաֆիա
angle	անկյուն
angling	angling
angora	Անգորա
angriest	Զայրացած
angry	զայրացած
angrytweet	NO TRANSLATION
angst	զայրույթը
anguish	տառապանք
anguished	տխուր
angular	անկյունային
anhydrous	անջուր
animal	կենդանիներ
animate	անիմացիա
animated	անիմացիոն
animation	անիմացիա
animosity	թշնամություն
animus	անիմուս
ankle	կոճ
anklet	բլոկ
annals	տարիների ընթացքում
annex	կցում
annexation	անապատացում
annexe	NO TRANSLATION
annihilate	ոչնչացնել
annihilated	ոչնչացվեց
annihilation	ոչնչացում
anniversary	տարեդարձը
annotate	բացատրեք
annotation	բացատրություն
announce	հայտարարում
announcement	հայտարարություն
announcer	հայտարարող
annoy	ցնցում
annoyance	ցնցում
annoyed	ցնցված
annoyin	NO TRANSLATION
annoying	ցնցող
annoys	ցնցումներ
annual	տարեկան
annuity	անուիտետ
annul	չեղյալ համարել
annular	անլար
annulment	չեղյալ
annulus	անանուն
anointed	օծված
anointing	օծումը
anomalous	անոմալ
anomaly	անոմալիա
anon	անանուն
anonymity	անանունություն
anonymous	անանուն
anorexic	անորեքսիկ
answer	պատասխանը
answerable	պատասխանատու
answering	պատասխանելով
ant	ant
antagonism	հակադեոիզմ
antagonist	հակառակորդը
antagonistic	հակադեոնտիվ
antagonize	հակադրվելը
ante	NO TRANSLATION
antecedent	նախորդ
antelope	անթելոպ
antenna	ալեհավաք
anterior	նախորդ
anthem	օրհներգը
anthill	անթիլ
anthology	անթոլոգիա
anthrax	սիբիրախտը
anthropological	անտրոպոլոգիական
anthropologist	անտրոպոլոգ
anthropology	անտրոպոլոգիա
anti	հակա
antiaircraft	հակաօդային պաշտպանության
antibiotic	հակաբիոտիկ
antibiotics	հակաբիոտիկներ
antichrist	նեռ
anticipate	կանխատեսել
anticipation	սպասում
anticipatory	կանխատեսելի
antics	antics
antidote	հակաբեղմնավորիչ
antifungal	հակաբորբոքային
antigravity	հակաբիոտաժ
antimony	Անտոնիայով
antipathy	հակատիպային
antiquarian	անտիկվար
antiquated	հնացած
antique	հնաոճ իրեր
antiques	հնաոճ իրեր
antiquity	հնություն
antiseptic	հակասեպտիկ
antisocial	հակասոցիալական
antithesis	հակաթույն
antithetical	հակաթետիկ
antiviral	հակավիրուսային
antler	ծովահեն
antsy	Antsy
anus	անուս
anvil	անդիլ
anxiety	անհանգստություն
anxietyattack	NO TRANSLATION
anxious	մտահոգիչ
anxiousness	անհանգստություն
anytime	ցանկացած ժամանակ
aorta	աորտա
aortic	aortic
apace	շեղում
apache	apache
apartment	բնակարան
apartments	բնակարաններ
apathetic	անտարբեր
apathy	անտարբերություն
ape	մայիս
aperture	բացվածք
apex	ծայր
aphid	աֆիդ
aphrodisiac	աֆրոդիզիակ
apiece	մի կտոր
aplomb	ա
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	ներողություն
apologist	ներողություն
apologize	ներողություն խնդրելու համար
apology	ներողություն
apostasy	հավատուրացություն
apostate	հավատուրաց
apostle	առաքյալը
apostolic	առաքելական
apostrophe	խաչմերուկ
apothecary	ապոտեկ
appalled	սարսափելի է
appalling	սարսափելի
apparatus	մեքենա
apparel	հագուստ
apparent	ակնհայտ է
apparently	ակնհայտորեն
apparition	տեսլականը
appeal	բողոքարկումը
appear	հայտնվում
appearance	տեսքը
appease	հանգստանալ
appellant	բողոքարկող
append	հավելում
appendage	հավելվածը
appendectomy	հավելվածը
appendicitis	հավելված
appendix	հավելված
appetite	ախորժակը
appetizer	նախուտեստ
appetizing	ախորժելի
applaud	ծափահարել
applause	Ծափահարություններ
apple	խնձոր
apple juice	խնձորի հյութ
applejack	applejack
applesauce	խնձոր
appliance	սարքը
appliances	սարքեր
applicability	կիրառելիություն
applicable	կիրառելի
applicant	դիմորդ
application	դիմումը
apply	կիրառել
appoint	նշանակում
appointment	նշանակումը
appointments	նշանակումներ
apportion	բաժին
apportionment	բաժին
appraisal	գնահատում
appraise	գնահատել
appreciable	նկատելի է
appreciate	գնահատում
appreciated	գնահատել
appreciates	գնահատում
appreciation	գնահատական
appreciative	գնահատողը
apprehend	հասկանալ
apprehension	մտավախություն
apprehensive	անհանգստացած
apprentice	աշակերտ
apprenticeship	աշկերտություն
approach	մոտեցումը
approaching	մոտեցումը
approbate	NO TRANSLATION
approbation	փորձարկում
appropriate	համապատասխան
appropriation	յուրացում
approval	հաստատում
approve	հաստատում
approved	հաստատված
approvement	հաստատումը
approving	հաստատելով
approximate	մոտավոր
approximately	մոտավորապես
approximating	մոտեցումը
approximation	մոտեցումը
appurtenances	հավելվածներ
apricot	ծիրանը
apron	մայթին
apt	ք
aptitude	ունակություն
aqua	ջուր
aquamarine	ակուամարին
aquarium	ակվարիում
aquatic	ջրային
aqueduct	ջրատար
aqueous	ջուր
arable	հողաթափ
arbiter	արբիտր
arbitrary	կամայական
arbitrate	arbitrate
arbitration	միջնորդ դատարանի որոշում
arbitrator	արբիտր
arbor	արբանյակ
arc	դահլիճ
arcade	Արկադային
arcane	Արկենե
arch	arch
archaeological	հնագիտական
archaeologist	հնագետ
archaeology	հնագիտություն
archaic	հնացած
archangel	հրեշտակապետ
archbishop	արքեպիսկոպոս
archdiocese	Արխիվ
archduke	archduke
arched	կամարակապ
archer	աղեղնաձիգ
archery	Աղեղնաձգություն
archetype	archetype
archipelago	արշիպելագոն
architect	ճարտարապետ
architectural	ճարտարապետական
architecture	ճարտարապետություն
archive	արխիվ
arctic	արկտիկա
ardent	ջերմություն
ardor	տխուր
arduous	դժվար է
area	տարածք
arena	Արենա
areola	են
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	վիճաբանություն
argument	փաստարկ
argumentation	փաստարկը
argumentative	փաստարկային
arguments	փաստարկներ
arid	չորացած
arise	առաջանալ
aristocracy	արիստոկրատիա
aristocrat	արիստոկրատ
aristocratic	արիստոկրատական
arithmetic	թվաբանություն
ark	տապան
arm	arm
armada	armada
armament	սպառազինություն
armaments	սպառազինություն
armature	armature
armchair	բազկաթոռ
armed	զինված
armor	սպառազինություն
armored	զրահապատ
armory	զինամթերք
armpit	կախվածություն
arms	զենքերը
army	բանակին
aroma	բուրմունք
aromatherapy	արոմաթերապիա
arousal	արկածային
arouse	արթնացեք
aroused	արթնացան
arraignment	հանձնարարություն
arrange	կազմակերպել
arranged	կազմակերպված
arrangement	պայմանավորվածություն
array	array
arrears	պարտքերը
arrest	ձերբակալությունը
arrhythmia	արիթմիիա
arrival	ժամանում
arrive	ժամանում
arrogance	ամբարտավանություն
arrogant	ամբարտավան
arrow	arrow
arsehole	արշալույս
arseholes	արշալույսներ
arsenal	զինանոցը
arsenic	մկնդեղ
arson	հրդեհը
arsonist	հերոս
art	արվեստը
arterial	arterial
artery	արծիվ
artful	հնարամիտ
arthritis	արթրիտ
arthropod	արթրիտ
artichoke	արջուկը
article	հոդվածը
articles	հոդվածներ
articulate	արտահայտված
articulation	դիալեկտիկա
artifact	արվեստի գործը
artifice	արհեստանոց
artificial	արհեստական
artillery	հրետանին
artisan	արհեստավոր
artist	նկարիչ
artiste	NO TRANSLATION
artistic	գեղարվեստական
artistry	արվեստաբանություն
artists	արվեստագետներ
artwork	արվեստի գործեր
arty	արթին
asap	ա
asbestos	ասբեստ
ascend	բարձրացեք
ascendancy	բարձրացումը
ascendant	բարձրացող
ascending	աճող
ascension	բարձրացումը
ascent	բարձրացում
ascertain	պարզել
ascertained	հայտնաբերվել է
ascetic	ասցետիկ
ash	մոխիր
ashamed	ամաչում
ashes	մոխիր
ashtray	մոխր
asinine	asinine
ask	հարցրեք
asleeep	NO TRANSLATION
asleep	քնած
asp	asp
asparagus	ծնեբեկ
aspartame	ասթարտամ
aspect	ասպեկտը
aspects	ասպեկտները
aspen	ասպեն
asphalt	ասֆալտ
asphyxia	ասֆիքիա
asphyxiation	ասֆիքսացիա
aspiration	ձգտումը
aspire	ձգտել
aspirin	ասպիրին
aspiring	ձգտում
ass	դայակ
assail	հարձակման
assailant	հարձակվողը
assassin	մարդասպան
assassinate	սպանել
assassination	սպանությունը
assault	հարձակումը
assay	ստուգում
assemblage	հավաքում
assemble	հավաքվել
assembled	հավաքվել
assembly	ժողովը
assemblyman	հավաքականին
assent	համաձայնեցված
assert	հաստատել
asserting	հաստատելով
assertion	հավաստիացում
assertive	հավակնոտ
assess	գնահատել
assessment	գնահատումը
assessor	գնահատողը
asset	ակտիվը
assets	ակտիվները
asshole	Փրչոտ
assign	նշանակել
assignee	իրավահաջորդը
assignment	հանձնարարություն
assimilate	ձուլում
assimilation	ձուլում
assist	աջակցություն
assistance	օգնություն
assistant	օգնական
associate	ասոցիացիա
association	ասոցիացիա
assorted	տեսականի
assortment	տեսականի
assuage	քանդում
assume	ենթադրել
assumed	ստանձնեց
assuming	ենթադրելով
assumption	ենթադրություն
assurance	հավաստիացում
assure	հավաստիացնում
assured	վստահեցրեց
assuredly	հավաստիորեն
asterisk	աստղանիշ
asteroid	աստերոիդներ
asteroids	Աստերոիդներ
asthma	ասթմա
asthmatic	ասթմատիկ
astigmatism	astigmatism
astonish	զարմանալի
astonished	զարմացած
astonishing	զարմանալի
astonishingly	NO TRANSLATION
astonishment	զարմանք
astound	ապշեցուցիչ
astral	astral
astray	մոլորված
astringent	խճճված
astrologer	աստղագետ
astrology	Աստղագուշակություն
astronaut	տիեզերագնաց
astronomer	աստղագետ
astronomical	աստղագիտություն
astronomy	աստղագիտություն
astute	խելացի
asunder	ձախից
asylum	ապաստարան
asymmetric	ասիմետրիկ
asymmetry	ասիմետրիա
asymptotic	ասիմպտոտիկ
atelier	ատելին
atheism	աթեիզմ
atheist	աթեիստ
atheistic	աթեիստական
atherosclerosis	աթերոսկլերոզ
athlete	մարզիկ
athletic	մարզական
athleticism	Ատլետիկիզմ
athletics	աթլետիկա
atlas	ատլաս
atmosphere	մթնոլորտը
atmospheric	մթնոլորտային
atoll	atoll- ում
atom	ատոմ
atomic	ատոմային
atone	տառապում
atonement	քավություն
atpeace	տիեզերքում
atrium	ատրիումով
atrocious	հեգնանքով
atrocity	դաժանություն
atrophy	ատրոֆիա
attach	կցեք
attached	կցված
attachment	հավելվածը
attack	հարձակումը
attacker	հարձակվողը
attacking	հարձակման
attain	հասնել
attainable	մատչելի
attainment	ձեռքբերում
attempt	փորձ
attempted	փորձել
attend	այցելեք
attendance	հաճախում
attendant	սպասավոր
attention	ուշադրության կենտրոնում
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ուշադիր
attenuate	թեթեւացնել
attenuated	նյարդայնացրեց
attenuation	նսեմացում
attest	վավերացնել
attestation	ատեստավորում
attic	վերնահարկ
attire	հագցնել
attitude	վերաբերմունք
attorney	իրավաբան
attract	ներգրավելը
attraction	ներգրավումը
attractive	գրավիչ
attractiveness	գրավիչ
attributable	վերագրելի
attribute	հատկանիշը
attribution	վերագրել
attrition	կրճատում
auburn	ավագ
auction	աճուրդ
auctioneer	աուդիտոր
audacious	բարձրաձայն
audacity	բուռնություն
audible	լսելի
audience	լսարանին
audio	աուդիո
audit	աուդիտ
audition	լսել
auditions	լսումներ
auditor	աուդիտոր
auditorium	լսարան
auditory	լսողական
aught	մի բան
augment	ավելացում
augmentation	ավելացում
august	Օգոստոս
aunt	մորաքույր
auntie	օղի
aura	աուրա
aurora	աուրորա
auspices	հովանու ներքո
auspicious	բարեգործական
austere	խիստ
austerity	խստությունը
authentic	իսկական
authenticate	վավերացնելու համար
authentication	վավերացում
authenticity	վավերականություն
author	հեղինակ
authoritative	հեղինակավոր
authority	իշխանությունը
authorization	թույլտվություն
authorize	լիազորված
authorized	լիազորված
authorship	հեղինակություն
autism	աուտիզմը
autistic	օտիստիկ
auto	ավտո
autobiographical	ավտոբուսագրական
autobiography	ինքնակենսագրություն
autocorrect	autocorrect
autocratic	autocratic
autograph	ստորագրություն
autographed	ստորագրված
automated	ավտոմատացված
automatic	ավտոմատ
automobile	ավտոմեքենա
automotive	ավտոմատ
autonomy	ինքնավարություն
autopilot	ավտոպիլոտը
autopsy	դիահերձում
autumn	աշնանը
auxiliary	օժանդակ
avail	օգտվելով
availability	մատչելիություն
available	առկա է
