Word	mr
acumen	कौशल्य
acupuncture	अॅक्यूपंक्चर
acute	तीव्र
acutely	तीव्रतेने
ad	जाहिरात
adage	म्हण
adamant	अविचल
adapt	परिस्थितीशी जुळवून घ्या
adaptable	अनुकूलनीय
adaptation	अनुकूलन
add	जोडा
added	जोडले
addendum	परिशिष्ट
adder	आकाराने लहान असा एक विषारी साप
addict	व्यसनाधीन
addicted	व्यसनी
addiction	व्यसन
addictive	व्यसन
addition	या व्यतिरिक्त
additional	अतिरिक्त
additive	मिश्रित पदार्थ
address	पत्ता
addressee	प्रेषक
addresses	पत्ते
adept	पटाईत
adequacy	पुरेसेपणा
adequate	पुरेशा
adhere	पालन
adherence	निष्ठा
adherent	अनुयायी
adhering	पालन
adhesion	आकुंचन
adhesive	निष्ठावंत
adieu	अडीयू
adipose	चरबी
adjacency	निकटस्थ
adjacent	समीप
adjective	विशेषण
adjoining	शेजारच्या
adjourn	स्थगित
adjournment	स्थगित
adjudicate	निवाडा करणे
adjudication	निवाडा
adjunct	अनुरुप
adjust	समायोजित करा
adjuster	समायोजक
adjustment	समायोजन
adjuvant	सहाय्यक
admin	प्रशासन
administer	प्रशासन करा
administration	प्रशासन
administrative	प्रशासकीय
administrator	प्रशासक
admirable	प्रशंसनीय
admiral	नौसेनाधिपती
admiralty	नौसेनाधिपती
admiration	प्रशंसा
admire	प्रशंसा करा
admired	प्रशंसनीय
admirer	प्रशंसक
admiring	कौतुकाच्या नजारा
admissibility	स्वीकार्यता
admissible	स्वीकार्य
admission	प्रवेश
admit	प्रवेश देणे
admittance	प्रवेशाचा हक्क
admitted	दाखल
admitting	admitting
admixture	मिश्रण
admonition	विवेचन
ado	नेहमी
adobe	एडोब
adolescence	पौगंडावस्थेतील
adolescent	किशोरवयीन
adopt	अवलंब करा
adoption	अवलंब
adoptive	दत्तक
adorable	मोहक
adoration	आराधना
adore	पूजा करणे
adoring	प्रेमळपणा
adorn	सुशोभित करणे
adornment	सजावट
adrenalin	एड्रिनलिन
adrenaline	एड्रेनालाईन
adrift	मुक्तपणे
adult	प्रौढ
adulterated	भेसळयुक्त
adulterer	व्यभिचारी
adultery	व्यभिचार
adulthood	प्रौढता
advance	प्रगती
advanced	प्रगत
advancement	प्रगती
advancing	प्रगत
advantage	फायदा
advantageous	फायदेशीर
advent	प्रगती
adventure	साहस
adventurer	साहसी
adventures	प्रवासातील
adventurous	साहसी
adversary	शत्रू
adverse	प्रतिकूल
adversity	अडचण
advertise	जाहिरात करा
advertisement	जाहिरात
advertising	जाहिरात
adverts	जाहिरात
advice	सल्ला
advisable	सल्ला दिला
advise	सल्ला द्या
advised	सल्ला दिला
advisement	सल्ला
adviser	सल्लागार
advisor	सल्लागार
advisory	सल्लागार
advocacy	समर्थन
advocate	वकील
aegis	aegis
aeration	वायुवीजन
aerial	हवाई
aerobics	एरोबिक्स
aerodrome	एरोड्रोम
aerodynamic	वायुगतिशास्त्रीय
aerodynamics	वायुगतियामिक
aeronautics	वैमानिक
aeroplane	विमान
aerospace	एरोस्पेस
aesthetic	सौंदर्याचा
aesthetics	सौंदर्यशास्त्र
aetiology	एटिओलॉजी
afar	खूप लांबून
affable	सौहार्दपूर्ण
affair	प्रकरण
affect	परिणाम
affecting	प्रभावित करणे
affection	प्रेम
affectionate	प्रेमळ
affections	प्रेम
affiche	NO TRANSLATION
affidavit	प्रतिज्ञापत्र
affiliated	संलग्न
affiliation	संलग्नता
affinity	आत्मीयता
affirm	प्रतिज्ञा करा
affirmation	पुष्टी
affirmative	होकारार्थी
affirmatively	affirmatively
affix	लावणे
afflict	दु: ख देणे
afflicted	पीडित
affliction	दु: ख
affluence	समृद्धी
affluent	समृद्ध
afford	परवडणे
affordable	स्वस्त
affront	अपमान करणे
affronted	अप्रचलित
afield	दूर
afire	आग
afloat	बचावले
afore	पूर्वी
aforementioned	उपरोक्त
aforesaid	उपरोक्त
afraid	भिऊ
afresh	नवीन
african	आफ्रिकन
aft	मागे
afterlife	नंतरचे जीवन
aftermath	परिणाम
afternoon	दुपारी
aftershave	दाढी नंतर
aftertaste	नंतरचे
afterthought	पश्चातबुद्धी
aga	NO TRANSLATION
agape	अगाप
agate	अगाच
age	वय
aged	वृद्ध
agency	एजन्सी
agenda	अजेंडा
agent	एजंट
agglomeration	संचय
aggravate	तीव्र करा
aggravated	वृद्धी
aggravates	वृद्धी करते
aggravating	वृद्धी करणारा
aggravation	उत्तेजन
aggregate	एकूण
aggregation	एकत्रीकरण
aggresive	NO TRANSLATION
aggression	आगळीक
aggressive	आक्रमक
aggressively	धडाडीने
aggressiveness	आक्रमकता
aggressor	आक्रमक
agh	अहो
aghast	आश्चर्य
aghhh	NO TRANSLATION
agile	चपळ
agility	चपळाई
aging	वृद्ध होणे
agitate	आंदोलन करा
agitated	उत्तेजित
agitation	आंदोलन
aglow	उज्ज्वल
agnostic	अज्ञेयवादी
ago	पूर्वी
agonizing	वेदना देणारे
agony	पीडा
agoraphobia	ऍग्रॅफोफिया
agree	सहमत
agreeable	आनंद देणारा
agreed	मान्य
agreeing	सहमत
agreement	करार
agressive	NO TRANSLATION
agricultural	शेती
agriculture	शेती
aground	चक्कर
agua	NO TRANSLATION
ahead	पुढे
ahhh	अहेह
ahhhhhhhh	NO TRANSLATION
ahoy	अहो
aid	सहाय्य
aide	मदतनीस
aiding	मदत करणे
aids	एड्स
ail	आयल
ailing	आजारी
ailment	आजार
aim	उद्देश
aimless	लक्ष्यहीन
air	हवा
airbag	हवेची पिशवी
airborne	वैमानिक
aircraft	विमान
aircraft carrier	विमानाच्या वाहक
airfield	एअरफिल्ड
airhead	एअरहेड
airlift	हवाई मालवाहतूक
airline	एअरलाइन
airliner	प्रवासी वाहतूक करणारे विमान
airlock	airlock
airman	एअरमन
airplane	विमान
airport	विमानतळ
airs	airs
airship	हवेचा दाब
airspace	हवासा वाटणारा
airspeed	एअरस्पीड
airstrip	हवाई पट्टी
airtight	हवाबंद
airway	वायुमार्ग
aisle	जायची वाट
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	उर्फ
akin	समान
alabaster	अलबास्टर
alarm	गजर
alarm clock	गजराचे घड्याळ
alarmed	जागृत
alarming	भयानक
alas	अरेरे
alb	NO TRANSLATION
albatross	अल्बट्रॉस
albino	पांढऱ्या रंगाचा
album	अल्बम
alchemy	अल्केमी
alcohol	अल्कोहोल
alcoholic	मद्यपी
alcoholism	मद्यविकार
alcove	alcove
alderman	अलमारमन
ale	NO TRANSLATION
alert	सतर्क
alertness	सावधानता
alerts	अॅलर्ट
alfalfa	जनावरांना चारा म्हणून दिली जाणारी हिरवी वनस्पती
algebra	बीजगणित
algebraic	बीजगणित
algorithm	अल्गोरिदम
alias	उपनाव
alibi	अलबी
alien	परदेशी
alienate	दुरावणे
alienated	दुरावणे
alienation	परकीयपणा
alight	उतरावे
align	संरेखन
aligned	एका सरळ रेषेत
alignment	संरेखन
alike	सारखा
alimentation	NO TRANSLATION
alimony	पोटगी
aliquot	विभाजक
alive	जिवंत
alkali	अल्कली
alkaloids	अल्कलॉइड
allay	रद्द करा
allegation	आरोप
allege	आरोप करतात की
alleged	आरोप आहे
allegiance	निष्ठा
allegorical	रुपकात्मक
allegory	रूपक
allegro	द्रुतगतीने
allergic	एलर्जीक
allergy	ऍलर्जी
alleviate	उपशमन करणे
alleviation	शमन
alley	गल्ली
alleyway	गल्ली
alliance	युती
allied	मित्र
alligator	मगरमच्छ
allocate	वाटप
allocation	वाटप
allot	वाटप
allotment	वाटप
allow	परवानगी द्या
allowable	स्वीकार्य
allowance	भत्ता
allowed	परवानगी
alloy	धातूंचे मिश्रण
allsmiles	NO TRANSLATION
allure	आकर्षण
alluring	मोहक
allusion	आकलन
alluvial	गाळाची गादी
ally	सहयोगी
almanac	पंचांग
almighty	सर्वशक्तिमान
almond	बदाम
aloft	वर
aloha	अलोहा
alone	एकटा
alongside	हळूच
aloof	अलिप्त
aloud	मोठ्याने
alpha	अल्फा
alphabet	वर्णमाला
alphabetical	वर्णानुक्रमाने
alpine	अल्पाइन
alreadyyyyy	आधीपासूनच
altar	वेदी
altar boy	वेदी मुलगा
alter	बदल
alteration	फेरफार
altercation	भांडण
altered	बदलले
alternate	वैकल्पिक
alternating	alternating
alternative	पर्यायी
altimeter	altimeter
altitude	समुद्रसपाटीपासूनची उंची
alto	अल्टो
altogether	पूर्णपणे
aluminum	अॅल्युमिनियम
alumnus	पूर्व छात्र
alveolar	वायूविद्य
alzheimers	NO TRANSLATION
amalgam	मिश्रण
amalgamation	एकत्रीकरण
amaretto	amaretto
amass	जमा करणे
amateur	हौशी
amaze	आश्चर्यचकित
amazed	आश्चर्यचकित
amazedness	NO TRANSLATION
amazement	आश्चर्य
amazing	आश्चर्यकारक
amazingly	आश्चर्यकारकपणे
ambassador	राजदूत
amber	एम्बर
ambience	वातावरण
ambient	सभोवतालची
ambiguity	अस्पष्टता
ambiguous	संदिग्ध
ambit	कक्षा
ambition	महत्वाकांक्षा
ambitious	महत्त्वाकांक्षी
ambivalent	दुश्मन
ambrosia	अमृत
ambulance	रुग्णवाहिका
ambush	गुप्तपणे
ameliorate	सुधारणे
amen	आमीन
amenable	कौतुकास्पद
amend	दुरुस्त करा
amendment	दुरुस्ती
amends	दुरुस्त करा
amenity	सुखसोयी
amethyst	नीलम
amiable	सौम्य
amicable	सोयीस्कर
amid	दरम्यान
amidst	दरम्यान
amino	अमीनो
ammo	बारूद
ammonia	अमोनिया
ammonium	अमोनियम
ammunition	दारुगोळा
amnesia	स्मृतितभ्रंश
amnesty	माफी
amorous	कामुक
amorphous	बेढब
amortization	परिशोधन
amount	रक्कम
amour	NO TRANSLATION
amp	एपीपी
ampersand	अँपरसँड
amphetamines	एम्फेटामाइन्स
amphibian	उभयचर
amphibious	उभयचर
amphitheater	बदामी प्रेक्षागृह
ample	पुरेशी
amplification	प्रवर्धन
amplify	शक्ती वाढवणे
amplitude	मोठेपणा
amply	विस्तृत
amputate	कापून टाकणे
amputation	अंगच्छेद
amuck	अचल
amulet	ताबीक
amuse	मनोरंजन
amused	आश्चर्यचकित
amusement	करमणूक
amusing	गमतीशीर
ana	NO TRANSLATION
anaconda	ऍनाकोंडा
anaesthesia	बधिरता
anaesthetic	वेदना जाणवणे बंद करणारा पदार्थ
anagram	अनागोंदा
anal	गुदद्वारासंबंधीचा
analgesic	वेदनशामक
analogous	सारखे
analogue	अँगलॉग
analogy	समानता
analysis	विश्लेषण
analyst	विश्लेषक
analytic	परिच्छेदीय
analytical	विश्लेषणात्मक
analyze	विश्लेषण
analyzer	विश्लेषक
anaphylactic	अनफिलेक्टिक
anarchism	अराजकता
anarchist	अराजकतावादी
anarchy	अराजक
anastomosis	ऍनेस्टोमॉसिस
anathema	अनादर
anatomic	शारीरिक
anatomy	शरीरशास्त्र
ancestor	पूर्वज
ancestral	पिढीजात
ancestry	पूर्वज
anchor	अँकर
anchorage	अँकरेज
ancient	प्राचीन
ancillary	सहायक
androgen	ऍन्ड्रोजन
android	Android
anecdote	किस्सा
anemia	अशक्तपणा
anemic	अशक्त
anemone	अनमोन
anesthesia	बधिरता
anesthesiologist	अनैस्टीसायोलॉजिस्ट
anesthetic	वेदना जाणवणे बंद करणारा पदार्थ
aneurysm	अनियिरिसम
anew	पुन्हा नवीन
angel	देवदूत
angelic	देवघाती
anger	राग
angered	संतप्त
angermanagement	NO TRANSLATION
angina	हृदयविकाराचा
angiogram	एंजियोग्राम
angiography	एन्जिओग्राफी
angle	कोन
angling	गुंड
angora	एंजोरा
angriest	आकस्मिक
angry	रागावले
angrytweet	NO TRANSLATION
angst	तीव्र चिंता
anguish	यातना
anguished	दुःखी
angular	कोन्या
anhydrous	निरर्थक
animal	प्राणी
animate	अॅनिमेट
animated	एनिमेटेड
animation	अॅनिमेशन
animosity	द्वेष
animus	द्वेषबुद्धी
ankle	पाऊल आणि वरचा पाय यांना जोडणारा सांधा
anklet	गवत
annals	इतिहास
annex	सामीलीकरण
annexation	खालसा करणे
annexe	NO TRANSLATION
annihilate	संपूर्ण विध्वंस करणे
annihilated	नष्ट केले
annihilation	नायनाट
anniversary	वर्धापनदिन
annotate	टीका करा
annotation	भाष्य
announce	घोषित करा
announcement	घोषणा
announcer	निवेदक
annoy	चिडवणे
annoyance	चीड
annoyed	चिडलेला
annoyin	NO TRANSLATION
annoying	त्रासदायक
annoys	अनागोंदी
annual	वार्षिक
annuity	ऍन्युइटी
annul	रद्द करणे
annular	कंकणाकृती
annulment	विलोपन
annulus	अनुलस
anointed	अभिषिक्त
anointing	अभिषेक
anomalous	अनुषंगिक
anomaly	विसंगती
anon	अनामिक
anonymity	अनामिकत्व
anonymous	निनावी
anorexic	अनोएक्सिक
answer	उत्तर
answerable	उत्तरदायी
answering	उत्तर द्या
ant	मुंगी
antagonism	विरोध
antagonist	विरोधक
antagonistic	द्वेष करणारा
antagonize	विरोध करणे
ante	NO TRANSLATION
antecedent	पूर्वीचा
antelope	काळवीट
antenna	ऍन्टीना
anterior	आधीची वेळ
anthem	गान
anthill	एन्थिल
anthology	संकलन
anthrax	अँथ्रेक्स
anthropological	मानवशास्त्र
anthropologist	मानववंशशास्त्रज्ञ
anthropology	मानववंशशास्त्र
anti	विरोधी
antiaircraft	antiaircraft
antibiotic	प्रतिजैविक
antibiotics	प्रतिजैविक
antichrist	दोघांनाही
anticipate	अपेक्षा करणे
anticipation	आगाऊ
anticipatory	आगाऊ
antics	रानटी
antidote	विषावरचा उतारा
antifungal	स्फोटक द्रव्य
antigravity	प्रतिगामीता
antimony	सुरमा
antipathy	विषाणू
antiquarian	पुराणवस्तुशास्त्र
antiquated	पुरातन
antique	प्राचीन
antiques	पुराणवस्तू
antiquity	पुरातन वास्तू
antiseptic	पूतिनाशक
antisocial	समाजविघातक
antithesis	प्रतिवाद
antithetical	विरोधक
antiviral	अँटीव्हायरल
antler	अँंटरर
antsy	antsy
anus	गुद्द्वार
anvil	निळसर
anxiety	चिंता
anxietyattack	NO TRANSLATION
anxious	चिंतित
anxiousness	उत्सुकता
anytime	कधीही
aorta	महाधमनी
aortic	महालक्षिका
apace	जलद
apache	अपाचे
apartment	अपार्टमेंट
apartments	अपार्टमेंटस्
apathetic	उदासीन
apathy	औदासीन्य
ape	चांदणे
aperture	छिद्र
apex	शिखर
aphid	अफिड
aphrodisiac	कामोत्तेजक
apiece	एक तुकडा
aplomb	आत्मविश्वास
apocalypse	सगळे
apocalyptic	apocalyptic
apologetic	क्षमायाचनात्मक
apologist	क्षमायाचना करणारा
apologize	दिलगीर आहोत
apology	दिलगिरी
apostasy	स्वमतत्याग
apostate	धर्मत्यागी
apostle	प्रेषित
apostolic	येशूच्या बारा अनुयायांपैकी
apostrophe	अपॉस्ट्रॉफी
apothecary	apothecary
appalled	भयावह
appalling	धक्कादायक
apparatus	उपकरणे
apparel	पोशाख
apparent	उघड
apparently	वरवर पाहता
apparition	भक्ती
appeal	अपील
appear	दिसेल
appearance	देखावा
appease	संतुष्ट करा
appellant	अपील करणारा
append	जोडा
appendage	परिशिष्ट
appendectomy	परिशिष्टबद्धता
appendicitis	अॅपेन्डिसाइटिस
appendix	परिशिष्ट
appetite	भूक
appetizer	क्षुधावर्धक
appetizing	मोहक
applaud	प्रशंसा
applause	प्रशंसा
apple	सफरचंद
apple juice	सफरचंद रस
applejack	ऍपलजेक
applesauce	सफरचंद
appliance	उपकरण
appliances	साधने
applicability	उपयुक्तता
applicable	लागू
applicant	अर्जदार
application	अनुप्रयोग
apply	अर्ज
appoint	नियुक्त करा
appointment	नियुक्ती
appointments	नियुक्ती
apportion	वाटणी
apportionment	विभाग
appraisal	मूल्यमापन
appraise	मूल्यमापन करा
appreciable	प्रशंसनीय
appreciate	प्रशंसा करा
appreciated	कौतुक
appreciates	कौतुक
appreciation	कृतज्ञता
appreciative	मार्मिक
apprehend	पकडणे
apprehension	धास्ती
apprehensive	भयभीत
apprentice	शिकाऊ उमेदवार
apprenticeship	उमेदवारी
approach	दृष्टीकोन
approaching	जवळ येत आहे
approbate	NO TRANSLATION
approbation	प्रशंसा
appropriate	योग्य
appropriation	विनियोग
approval	मंजूरी
approve	मंजूर
approved	मंजूर
approvement	मंजुरी
approving	मंजूर
approximate	अंदाजे
approximately	अंदाजे
approximating	अंदाजे आहे
approximation	अंदाजे
appurtenances	उपयोजन
apricot	जर्दाळू
apron	मागील बाजूस
apt	योग्य
aptitude	योग्यता
aqua	पाणी
aquamarine	सुशोभित केलेले
aquarium	मत्स्यालय
aquatic	जलीय
aqueduct	जलप्रवास
aqueous	पाण्यासारखा
arable	जिरायती
arbiter	मध्यस्थ
arbitrary	अनियंत्रित
arbitrate	मध्यस्थी
arbitration	लवाद
arbitrator	मध्यस्थ
arbor	मंडप
arc	कंस
arcade	आर्केड
arcane	रहस्यमय
arch	कमान
archaeological	पुरातनवस्तुशास्त्रीय
archaeologist	पुरातत्वशास्त्रज्ञ
archaeology	पुरातत्व शास्त्र
archaic	पुरातन
archangel	आद्यदेवदूत
archbishop	मुख्य बिशप
archdiocese	आर्चडियसिस
archduke	आर्स्क्यूक
arched	बाकदार
archer	धनुर्धारी
archery	तिरंदाजी
archetype	मूळप्रकार
archipelago	द्वीपसमूह
architect	आर्किटेक्ट
architectural	स्थापत्यशास्त्रातील
architecture	आर्किटेक्चर
archive	संग्रह
arctic	आर्क्टिक
ardent	उत्कट
ardor	उत्साह
arduous	कष्टप्रद
area	क्षेत्र
arena	रिंगण
areola	अरूआला
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	भांडणे
argument	युक्तिवाद
argumentation	वाद घालणे
argumentative	वाद घालणारा
arguments	वितर्क
arid	रखरखीत
arise	उद्भवू
aristocracy	अमीर-उमराव
aristocrat	उत्कर्ष
aristocratic	खानदानी
arithmetic	अंकगणित
ark	नोआचे जहाज
arm	हात
armada	आरमार
armament	शस्त्रकेंद्र
armaments	शस्त्रास्त्रे
armature	आर्मेचर
armchair	आरामखुर्ची
armed	सशस्त्र
armor	चिलखत
armored	सशस्त्र
armory	शस्त्रागार
armpit	काल्पनिक पक्षी
arms	हात
army	सैन्य
aroma	सुगंध
aromatherapy	अरोमाथेरपी
arousal	उत्तेजितपणा
arouse	जागे करा
aroused	वागले
arraignment	आचारसंहिता
arrange	व्यवस्था
arranged	व्यवस्था
arrangement	व्यवस्था
array	अॅरे
arrears	थकबाकी
arrest	अटक
arrhythmia	अतालता
arrival	आगमन
arrive	आगमन
arrogance	अहंकार
arrogant	गर्विष्ठ
arrow	बाण
arsehole	अरसेहोल
arseholes	अर्सेहोल
arsenal	आर्सेनल
arsenic	आर्सेनिक
arson	जाळपोळ
arsonist	दंगलखोर
art	कला
arterial	धमनीय
artery	धमनी
artful	धूर्त
arthritis	सांधेदुखी
arthropod	आर्थ्रोपॉड
artichoke	बाक
article	लेख
articles	लेख
articulate	स्पष्ट
articulation	समालोचन
artifact	मानवनिर्मित वस्तू
artifice	कावा
artificial	कृत्रिम
artillery	तोफखाना विभाग
artisan	कारागीर
artist	कलाकार
artiste	NO TRANSLATION
artistic	कलात्मक
artistry	कलाकृती
artists	कलाकार
artwork	कलाकृती
arty	आर्टिनी
asap	शक्य तितक्या लवकर
asbestos	अभ्रक
ascend	चढणे
ascendancy	वर्चस्व
ascendant	प्रगत
ascending	चढत्या
ascension	उद)
ascent	उन्नती
ascertain	पडताळणे
ascertained	निश्चिंत
ascetic	संन्यासी
ash	राख
ashamed	लज्जास्पद
ashes	राख
ashtray	ऐश ट्रे
asinine	एसिनाइन
ask	विचारा
asleeep	NO TRANSLATION
asleep	झोपलेला
asp	एस्प
asparagus	शतावरी
aspartame	aspartame
aspect	पैलू
aspects	पैलू
aspen	अस्पेन
asphalt	डांबर
asphyxia	श्वासवाहिन्या
asphyxiation	अस्थि वास
aspiration	आकांक्षा
aspire	महत्वाकांक्षा
aspirin	एस्पिरिन
aspiring	महत्त्वाकांक्षी
ass	गाढव
assail	आश्रय देणे
assailant	हल्लेखोर
assassin	मारेकरी
assassinate	हत्या
assassination	हत्या
assault	हल्ला
assay	परखणे
assemblage	संमेलन
assemble	एकत्र येणे
assembled	जमले
assembly	विधानसभा
assemblyman	विधानसभा
assent	मान्यता
assert	ठामपणे सांगणे
asserting	ठाम
assertion	ठाम मत
assertive	खंबीर
assess	मूल्यांकन
assessment	मूल्यांकन
assessor	निर्धारक
asset	मालमत्ता
assets	मालमत्ता
asshole	गढवाल
assign	वाटप करा
assignee	मुखत्यार
assignment	अभिहस्तांकन
assimilate	आत्मसात करणे
assimilation	एकरुपता
assist	सहाय्य
assistance	मदत
assistant	सहाय्यक
associate	सहयोगी
association	संघटना
assorted	मिसळलेला
assortment	वर्गीकरण
assuage	समतोल करणे
assume	गृहीत धरा
assumed	गृहित धरले
assuming	गृहीत धरून
assumption	गृहितक
assurance	आश्वासन
assure	आश्वासन द्या
assured	खात्रीने
assuredly	खात्रीने
asterisk	चांदणी
asteroid	लघुग्रह
asteroids	लघुग्रह
asthma	दमा
asthmatic	दम्याचे
astigmatism	दृष्टिवैषम्य
astonish	आश्चर्यचकित
astonished	आश्चर्यचकित
astonishing	विस्मयकारक
astonishingly	NO TRANSLATION
astonishment	विस्मय
astound	अस्ताव्यस्त
astral	तार्यांचा
astray	भलतीकडे
astringent	तुरट
astrologer	ज्योतिषी
astrology	फलज्योतिष
astronaut	अंतराळवीर
astronomer	खगोलशास्त्रज्ञ
astronomical	खगोलशास्त्रीय
astronomy	खगोलशास्त्र
astute	चपळ
asunder	अलिप्त
asylum	आश्रय
asymmetric	असममित
asymmetry	असंवेदनशीलता
asymptotic	असंरक्षित
atelier	अस्ताव्यस्त
atheism	निरीश्वरवाद
atheist	निरीश्वरवादी
atheistic	निरीश्वरवादी
atherosclerosis	एथ्रोसक्लोरोसिस
athlete	धावपटू
athletic	ऍथलेटिक
athleticism	ऍथलेटिक्स
athletics	अॅथलेटिक्स
atlas	नकाशांचे पुस्तक
atmosphere	वातावरण
atmospheric	वातावरणातील
atoll	एटॉल
atom	अणू
atomic	आण्विक
atone	प्रायश्चित
atonement	प्रायश्चित
atpeace	शांततेत
atrium	शरीरातील कवच
atrocious	अत्याचारी
atrocity	अत्याचार
atrophy	शोषून घेणे
attach	संलग्न करा
attached	जोडलेले
attachment	जोड
attack	हल्ला
attacker	हल्लेखोर
attacking	आक्रमण
attain	प्राप्त करा
attainable	प्राप्य
attainment	प्राप्ती
attempt	प्रयत्न
attempted	प्रयत्न केला
attend	उपस्थित राहा
attendance	उपस्थिती
attendant	परिचर
attention	लक्ष
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	लक्ष द्या
attenuate	तंतुमय करणे
attenuated	एन्टेन्युएटेड
attenuation	क्षीण करणे
attest	प्रमाणित
attestation	साक्ष
attic	पोटमाळा
attire	पोशाख
attitude	वृत्ती
attorney	वकील
attract	आकर्षित करा
attraction	आकर्षण
attractive	आकर्षक
attractiveness	आकर्षकपणा
attributable	गुणविशेष
attribute	गुणधर्म
attribution	विशेषता
attrition	झीज
