Word	bs
adoration	obožavanje
adore	obožavam
adoring	adoring
adorn	krasi
adornment	ukras
adrenalin	adrenalin
adrenaline	adrenalin
adrift	kreće
adult	odrasla osoba
adulterated	preplašen
adulterer	preljubnik
adultery	preljuba
adulthood	odrasli
advance	unaprijed
advanced	napredno
advancement	napredovanje
advancing	napreduje
advantage	prednost
advantageous	povoljno
advent	advent
adventure	avantura
adventurer	avanturista
adventures	avanture
adventurous	avanturistički
adversary	protivnik
adverse	negativno
adversity	nesreća
advertise	reklamirati
advertisement	reklama
advertising	oglašavanje
adverts	reklame
advice	savet
advisable	preporučljivo
advise	savjet
advised	savetuje
advisement	adv
adviser	savjetnik
advisor	savjetnik
advisory	savetodavni
advocacy	zagovaranje
advocate	advokat
aegis	aegis
aeration	aeracija
aerial	aerial
aerobics	aerobika
aerodrome	aerodrom
aerodynamic	aerodinamički
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	avion
aerospace	aerospace
aesthetic	estetski
aesthetics	estetika
aetiology	etiologija
afar	daleko
affable	prijatan
affair	afera
affect	utiču
affecting	utiču
affection	naklonost
affectionate	ljubazan
affections	osećanja
affiche	NO TRANSLATION
affidavit	založno pravo
affiliated	affiliated
affiliation	affiliation
affinity	afinitet
affirm	potvrditi
affirmation	afirmacija
affirmative	afirmativan
affirmatively	afirmativno
affix	staviti
afflict	patiti
afflicted	pogođen
affliction	bolest
affluence	bogatstvo
affluent	bogatiji
afford	priuštiti
affordable	pristupačan
affront	oprosti
affronted	ugroženi
afield	negde
afire	afire
afloat	na planetu
afore	prethodno
aforementioned	prethodno pomenuto
aforesaid	prethodno
afraid	uplašen
afresh	ponovo
african	afrička
aft	krmeno
afterlife	posle života
aftermath	posledice
afternoon	popodne
aftershave	aftershave
aftertaste	aftertaste
afterthought	nakon toga
aga	NO TRANSLATION
agape	agape
agate	agate
age	starost
aged	stariji
agency	agencija
agenda	dnevni red
agent	agent
agglomeration	aglomeracija
aggravate	otežati
aggravated	otežano
aggravates	otežava
aggravating	otežavajuće
aggravation	pogoršanje
aggregate	agregat
aggregation	agregacija
aggresive	NO TRANSLATION
aggression	agresija
aggressive	agresivan
aggressively	agresivno
aggressiveness	agresivnost
aggressor	agresor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agilno
agility	agilnost
aging	starenje
agitate	agitirati
agitated	uznemiren
agitation	agitiranje
aglow	aglow
agnostic	agnostik
ago	pre
agonizing	agonizing
agony	agonija
agoraphobia	agorafobija
agree	slažem se
agreeable	prikladno
agreed	složio se
agreeing	pristajanje
agreement	sporazum
agressive	NO TRANSLATION
agricultural	poljoprivredni
agriculture	poljoprivreda
aground	aground
agua	NO TRANSLATION
ahead	napred
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	pomoć
aide	aide
aiding	pomaganje
aids	pomagala
ail	ail
ailing	bolestan
ailment	bolest
aim	Cilj
aimless	bez cilja
air	zrak
airbag	vazdušni jastuk
airborne	vazdušni
aircraft	avion
aircraft carrier	nosač aviona
airfield	aerodrom
airhead	vazdušni glavom
airlift	airlift
airline	avio-kompanija
airliner	airliner
airlock	airlock
airman	airman
airplane	avion
airport	aerodrom
airs	zraci
airship	zrakoplov
airspace	vazdušni prostor
airspeed	vazdušna brzina
airstrip	pista
airtight	Hermetičan
airway	disajne puteve
aisle	prolaz
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	srodan
alabaster	alabaster
alarm	alarm
alarm clock	alarm
alarmed	alarmantan
alarming	alarmantno
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alhemija
alcohol	alkohol
alcoholic	alkoholno
alcoholism	alkoholizam
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	upozorenje
alertness	budnost
alerts	upozorenja
alfalfa	lucerka
algebra	algebra
algebraic	algebarski
algorithm	algoritam
alias	alias
alibi	alibi
alien	vanzemaljac
alienate	otuđi
alienated	otuđen
alienation	otuđenje
alight	pali
align	poravnajte
aligned	poravnato
alignment	poravnanje
alike	slično
alimentation	NO TRANSLATION
alimony	alimentacija
aliquot	alikvot
alive	živ
alkali	alkali
alkaloids	alkaloidi
allay	smirite se
allegation	navod
allege	allege
alleged	navodno
allegiance	lojalnost
allegorical	alegorijski
allegory	alegorija
allegro	allegro
allergic	alergičan
allergy	alergija
alleviate	ublažiti
alleviation	ublažavanje
alley	ulica
alleyway	ulica
alliance	savez
allied	saveznik
alligator	aligator
allocate	dodijeliti
allocation	alokacija
allot	alot
allotment	dodeljivanje
allow	dopustiti
allowable	dozvoljeno
allowance	dodatak
allowed	dozvoljeno
alloy	legura
allsmiles	NO TRANSLATION
allure	privlačnost
alluring	privlačan
allusion	aluzija
alluvial	aluvijalni
ally	saveznik
almanac	almanah
almighty	Svemoguci
almond	badem
aloft	aloft
aloha	aloha
alone	sam
alongside	pored
aloof	ostani
aloud	naglas
alpha	alfa
alphabet	abeceda
alphabetical	abecedno
alpine	alpine
alreadyyyyy	NO TRANSLATION
altar	oltar
altar boy	oltar dečko
alter	alter
alteration	izmjena
altercation	altercation
altered	izmenjeno
alternate	alternativno
alternating	naizmjenično
alternative	alternativa
altimeter	visinomjer
altitude	nadmorske visine
alto	alto
altogether	u potpunosti
aluminum	aluminijum
alumnus	učitelj
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamacija
amaretto	amaretto
amass	amass
amateur	amater
amaze	Iznenađujuće
amazed	zapanjen
amazedness	upečatljivost
amazement	iznenađenje
amazing	Neverovatno
amazingly	Neverovatno
ambassador	ambasador
amber	amber
ambience	ambijent
ambient	ambijent
ambiguity	dvosmislenost
ambiguous	dvosmislen
ambit	ambit
ambition	ambicija
ambitious	ambiciozan
ambivalent	ambivalentan
ambrosia	ambrosia
ambulance	hitna pomoć
ambush	zaseda
ameliorate	ameliorate
amen	amen
amenable	amenable
amend	izmijeniti
amendment	amandman
amends	izmeni
amenity	ugodnost
amethyst	ametist
amiable	ljubazno
amicable	prijateljski
amid	sredinom
amidst	sredinom
amino	amino
ammo	municija
ammonia	amonijak
ammonium	amonijum
ammunition	municiju
amnesia	amnezija
amnesty	amnestija
amorous	ljubazan
amorphous	amorfna
amortization	amortizacija
amount	iznos
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamini
amphibian	amfibija
amphibious	amfibijski
amphitheater	amfiteatar
ample	dovoljno
amplification	amplifikacija
amplify	pojačati
amplitude	amplituda
amply	amply
amputate	amputat
amputation	amputacija
amuck	amuck
amulet	amulet
amuse	zabavite se
amused	zabavno
amusement	zabava
amusing	zabavno
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestezija
anaesthetic	anestezija
anagram	anagram
anal	anal
analgesic	analgetik
analogous	analogno
analogue	analogni
analogy	analogija
analysis	analiza
analyst	analitičar
analytic	analitički
analytical	analitički
analyze	analiza
analyzer	analizator
anaphylactic	anafilaktički
anarchism	anarhizam
anarchist	anarhista
anarchy	anarhija
anastomosis	anastomoza
anathema	anatema
anatomic	anatomski
anatomy	anatomija
ancestor	predak
ancestral	predak
ancestry	predaka
anchor	sidro
anchorage	sidro
ancient	drevni
ancillary	pomoc
androgen	androgen
android	android
anecdote	anegdote
anemia	anemija
anemic	anemična
anemone	anemone
anesthesia	anestezija
anesthesiologist	anesteziolog
anesthetic	anestezija
aneurysm	aneurizma
anew	ponovo
angel	anđeo
angelic	angelski
anger	bes
angered	ljutito
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografija
angle	ugao
angling	ribarenje
angora	angora
angriest	ljutito
angry	ljuti
angrytweet	NO TRANSLATION
angst	angst
anguish	mučnina
anguished	jezivo
angular	ugao
anhydrous	anhidrovan
animal	životinja
animate	animirati
animated	animirani
animation	animacija
animosity	animozitet
animus	animus
ankle	gležanj
anklet	anklet
annals	annals
annex	annex
annexation	aneksija
annexe	NO TRANSLATION
annihilate	uništiti
annihilated	uništen
annihilation	uništavanje
anniversary	godišnjica
annotate	annotate
annotation	annotation
announce	najaviti
announcement	najavu
announcer	pisac
annoy	annoy
annoyance	nadležnost
annoyed	uznemiren
annoyin	NO TRANSLATION
annoying	dosadan
annoys	annoys
annual	godišnje
annuity	anuitet
annul	poništiti
annular	annular
annulment	poništenje
annulus	annulus
anointed	pomazani
anointing	pomazanje
anomalous	anomalous
anomaly	anomalija
anon	anon
anonymity	anonimnost
anonymous	anoniman
anorexic	anoreksičan
answer	odgovor
answerable	odgovoran
answering	odgovarajući
ant	mravlje
antagonism	antagonizam
antagonist	antagonist
antagonistic	antagonistički
antagonize	antagonizirati
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antena
anterior	anterior
anthem	himna
anthill	anthill
anthology	antologija
anthrax	antraks
anthropological	antropološki
anthropologist	antropolog
anthropology	antropologija
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotici
antichrist	antihrist
anticipate	anticipirati
anticipation	anticipacija
anticipatory	anticipatorno
antics	antics
antidote	antidot
antifungal	antifungal
antigravity	antigravity
antimony	antimon
antipathy	antipatija
antiquarian	antikvar
antiquated	zastarelo
antique	antique
antiques	antikviteti
antiquity	antikviteta
antiseptic	antiseptik
antisocial	antisocijalno
antithesis	antiteza
antithetical	antitetski
antiviral	antivirusni
antler	antler
antsy	antsy
anus	analni otvor
anvil	anvil
anxiety	anksioznost
anxietyattack	NO TRANSLATION
anxious	anksiozan
anxiousness	anksioznost
anytime	bilo kad
aorta	aorta
aortic	aortik
apace	apace
apache	apache
apartment	stan
apartments	apartmani
apathetic	apathetic
apathy	apatija
ape	majmun
aperture	otvor
apex	vrh
aphid	aphid
aphrodisiac	afrodizijak
apiece	komad
aplomb	aplomb
apocalypse	apokalipse
apocalyptic	apokaliptično
apologetic	apologetičan
apologist	apologista
apologize	izvinjavam se
apology	izvinjenje
apostasy	apostazija
apostate	apostat
apostle	apostol
apostolic	apostolski
apostrophe	apostrof
apothecary	apoteka
appalled	užasnut
appalling	grozno
apparatus	aparat
apparel	odjeća
apparent	očigledno
apparently	očigledno
apparition	pojavljivanje
appeal	žalba
appear	pojaviti
appearance	izgled
appease	smiri se
appellant	apelant
append	dodajte
appendage	dodatak
appendectomy	appendectomy
appendicitis	apendicitis
appendix	dodatak
appetite	apetit
appetizer	predjelo
appetizing	appetizing
applaud	aplaudi
applause	aplauz
apple	jabuka
apple juice	sok od jabuke
applejack	applejack
applesauce	applesauce
appliance	aparat
appliances	uređaji
applicability	primjenjivost
applicable	primjenjivo
applicant	Podnosilac prijave
application	aplikacija
apply	primijeniti
appoint	imenovati
appointment	imenovanje
appointments	imenovanja
apportion	raspodela
apportionment	raspodjela
appraisal	procjena
appraise	ocijeniti
appreciable	znatno
appreciate	cenite
appreciated	cijenjen
appreciates	ceni
appreciation	apresijacija
appreciative	zahvalni
apprehend	uhvatiti
apprehension	hapšenje
apprehensive	uplašen
apprentice	učenik
apprenticeship	pripravništvo
approach	pristup
approaching	približava se
approbate	NO TRANSLATION
approbation	odobravanje
appropriate	odgovarajuće
appropriation	aproprijacija
approval	odobrenje
approve	odobri
approved	odobrena
approvement	odobrenje
approving	odobrenje
approximate	približni
approximately	otprilike
approximating	približavanje
approximation	aproksimacija
appurtenances	prilozi
apricot	kajsija
apron	kecelja
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	akvamarin
aquarium	akvarijum
aquatic	vodeni
aqueduct	aqueduct
aqueous	vodeni
arable	obradivo
arbiter	arbiter
arbitrary	proizvoljno
arbitrate	arbitrirati
arbitration	arbitraža
arbitrator	arbitrator
arbor	arbor
arc	arc
arcade	arkada
arcane	arkane
arch	arch
archaeological	arheološki
archaeologist	arheolog
archaeology	arheologija
archaic	archaic
archangel	arhanđel
archbishop	nadbiskup
archdiocese	nadbiskup
archduke	nadvojvoda
arched	arched
archer	streličar
archery	streličarstvo
archetype	arhetip
archipelago	arhipelag
architect	arhitekta
architectural	arhitektonsko
architecture	arhitektura
archive	arhiva
arctic	arktički
ardent	vatreno
ardor	ardor
arduous	naporan
area	područje
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	rasprava
argument	argument
argumentation	argumentacija
argumentative	argumentantno
arguments	arguments
arid	arid
arise	Pojavljuju se
aristocracy	aristokratija
aristocrat	aristokrata
aristocratic	aristokratski
arithmetic	aritmetika
ark	ark
arm	ruka
armada	armada
armament	naoružanje
armaments	naoružanje
armature	armature
armchair	fotelja
armed	naoružan
armor	oklop
armored	oklopno
armory	oružje
armpit	pazuh
arms	ruke
army	vojska
aroma	aroma
aromatherapy	aromaterapija
arousal	uzbuđenje
arouse	probudi se
aroused	zbunjen
arraignment	arraignment
arrange	uredi
arranged	sređen
arrangement	aranžman
array	array
arrears	zaostala dugovanja
arrest	hapšenje
arrhythmia	aritmija
arrival	dolazak
arrive	stići
arrogance	arogancija
arrogant	arogantan
arrow	strelica
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsen
arson	podmetanje požara
arsonist	puž
art	art
arterial	arterijski
artery	arterija
artful	umoran
arthritis	artritis
arthropod	artropod
artichoke	artičoke
article	članak
articles	članci
articulate	artikulišu
articulation	artikulacija
artifact	artefakt
artifice	umjetnost
artificial	veštački
artillery	artiljerija
artisan	zanatlija
artist	umjetnik
artiste	NO TRANSLATION
artistic	umetnički
artistry	artistry
artists	umetnici
artwork	umetničko delo
arty	arty
asap	što je prije moguće
asbestos	azbest
ascend	penje
ascendancy	nadmoć
ascendant	ascendant
ascending	uzlazno
ascension	uzvišenje
ascent	uspon
ascertain	utvrditi
ascertained	utvrdili
ascetic	asket
ash	pepeo
ashamed	sram
ashes	pepeo
ashtray	pepeljara
asinine	asinine
ask	pitajte
asleeep	NO TRANSLATION
asleep	zaspati
asp	asp
asparagus	šparoge
aspartame	aspartam
aspect	aspekt
aspects	Aspekti
aspen	aspen
asphalt	asfalt
asphyxia	asfiksija
asphyxiation	zadušenje
aspiration	aspiracija
aspire	težiti
aspirin	aspirin
aspiring	težak
ass	dupe
assail	assail
assailant	napadač
assassin	ubica
assassinate	atentirati
assassination	atentat
assault	napad
assay	testiranje
assemblage	montaža
assemble	montirati
assembled	montirani
assembly	montaža
assemblyman	assemblyman
assent	saglasnost
assert	tvrdi
asserting	tvrdi
assertion	tvrdnja
assertive	assertive
assess	procijeniti
assessment	procjena
assessor	procenjivač
asset	imovina
assets	imovina
asshole	seronja
assign	dodijeliti
assignee	Assignee
assignment	zadatak
assimilate	asimilirati
assimilation	asimilacija
assist	pomoć
assistance	pomoć
assistant	pomoćnik
associate	saradnik
association	udruženje
assorted	sortirano
assortment	asortiman
assuage	assuage
assume	pretpostavite
assumed	pretpostavljeno
assuming	pod pretpostavkom
assumption	pretpostavka
assurance	osiguranje
assure	Uverite
assured	siguran
assuredly	sigurno
asterisk	zvezdica
asteroid	asteroid
asteroids	asteroidi
asthma	astma
asthmatic	astmatično
astigmatism	astigmatizam
astonish	zapanjeno
astonished	zapanjen
astonishing	zapanjujuće
astonishingly	NO TRANSLATION
astonishment	iznenađenje
astound	astound
astral	astralno
astray	zabrinjava
astringent	adstringent
astrologer	astrolog
astrology	astrologija
astronaut	astronaut
astronomer	astronom
astronomical	astronomski
astronomy	astronomija
astute	iznenađujuće
asunder	asunder
asylum	azil
asymmetric	asimetrična
asymmetry	asimetrija
asymptotic	asimptotski
atelier	atelier
atheism	ateizam
atheist	ateist
atheistic	ateistički
atherosclerosis	ateroskleroza
athlete	atletičar
athletic	atletski
athleticism	atletizam
athletics	atletika
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferski
atoll	atol
atom	atom
atomic	atomski
atone	atone
atonement	atonement
atpeace	atpeace
atrium	atrijum
atrocious	odvratno
atrocity	zločin
atrophy	atrofija
attach	pričvrstiti
attached	priloženo
attachment	prilog
attack	napad
attacker	napadač
attacking	napada
attain	postići
attainable	dostignut
attainment	dostignuća
attempt	pokušaj
attempted	pokuša
attend	prisustvovati
attendance	prisustvo
attendant	poslužitelj
attention	pažnja
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pažljiv
attenuate	oslabiti
attenuated	otežen
attenuation	slabljenje
attest	attest
attestation	atestiranje
attic	potkrovlje
attire	odjeća
attitude	stav
attorney	advokat
attract	privući
attraction	atrakcija
attractive	atraktivan
attractiveness	atraktivnost
attributable	pripisiv
attribute	atribut
attribution	atribucija
attrition	iscrpljivanje
auburn	auburn
auction	aukcija
auctioneer	aukcionar
audacious	straljno
audacity	smelost
audible	čujan
audience	publika
audio	audio
audit	revizija
audition	audicija
auditions	audicije
auditor	revizor
auditorium	auditorijum
auditory	slušni
aught	aught
augment	povećanje
augmentation	povećanje
august	avgust
aunt	tetka
auntie	tetka
aura	aura
aurora	aurora
auspices	pokroviteljstvo
auspicious	Uzbudljivo
austere	strogo
austerity	mjera štednje
authentic	autentičan
authenticate	authenticate
authentication	autentikacija
authenticity	autentičnost
author	autor
authoritative	autoritativan
authority	autoritet
authorization	autorizacija
authorize	ovlastite
authorized	ovlašćeno
authorship	autorstvo
autism	autizam
autistic	autizam
auto	auto
autobiographical	autobiografski
autobiography	autobiografija
autocorrect	autokorrect
autocratic	autokratski
autograph	autograf
autographed	autographed
automated	automatizovano
automatic	automatski
automobile	automobil
automotive	automobilska
autonomy	autonomija
autopilot	autopilot
autopsy	autopsija
autumn	jesen
auxiliary	pomoćni
avail	iskoristiti
availability	raspoloživost
available	dostupan
avalanche	lavina
avarice	avarice
avatar	avatar
avenge	osveta
avenger	avenger
avenging	Avenging
avenue	avenija
aver	NO TRANSLATION
average	prosek
aversation	averzacija
averse	averse
averseness	nesigurnost
aversion	averzija
avert	prev
aviary	aviary
aviation	avijacija
aviator	aviator
avid	avid
avocado	avokado
avoid	izbjeći
avoidance	izbegavanje
avoiding	izbjegavanje
await	čekati
awake	budan
awaken	probudi se
awakening	buđenje
award	nagrada
awards	nagrade
aware	svesna
awareness	svesnost
awe	NO TRANSLATION
awed	awed
awesome	super
awesomeness	awesomeness
awestruck	awestruck
awful	strašno
awkward	nervozan
awkwardness	neugodnost
awning	tende
awry	loše
axe	sjekira
axial	aksijalni
axiom	Aksiom
axiomatic	aksiomatska
axis	osa
axle	osovina
ay	ay
aye	aye
azimuth	azimut
azure	azure
babble	bubble
babbling	bubbling
babe	babe
baboon	babun
baby	beba
babysit	babysit
babysitter	Dadilja
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	nazad
backboard	backboard
backbone	kičma
backdoor	stražnja vrata
backdrop	pozadina
backer	podrljka
backfire	povratak
backgammon	backgammon
background	background
backhand	backhand
backhoe	rovokopač
backoff	backoff
backpack	ruksak
backpacker	backpacker
backroom	potkrovlje
backseat	zadnji deo
backside	backside
backtrack	povratak
backup	backup
backward	unazad
backwardness	zaostalost
backwards	unazad
backwater	povratna voda
backwoods	backwoods
backyard	dvorište
bacon	slanina
bacteria	bakterije
bacterial	bakterijski
bacterium	bakterija
bad	loše
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	značka
badger	badger
badhabit	NO TRANSLATION
badly	loše
badness	loše
baffle	baffle
baffled	zbunjen
bag	torba
bagel	bagel
baggage	prtljag
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	gajbe
bail	kaucija
bailiff	izvršitelj
bait	mamac
bake	peći
bakery	pekara
baking	pečenje
bal	NO TRANSLATION
balance	ravnoteža
balanced	uravnoteženo
balcony	balkon
bald	ćelav
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	lopta
ballad	balada
ballast	balast
ballerina	balerina
ballet	balet
ballgame	ballgame
ballistic	balistički
ballistics	balistika
balloon	balon
ballot	glasački listić
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	dvorana
ballsy	lopta
balm	balzam
balmy	balmy
balsam	balzam
balsamic	balsamic
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banana
band	band
bandage	zavoj
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	izbaciti
banished	proteran
banishment	proterivanje
banister	banister
banjo	banjo
bank	banka
banker	bankar
banking	bankarstvo
bankroll	bankroll
bankrupt	bankrot
bankruptcy	stečaj
banner	baner
banquet	banket
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	krštenje
baptismal	krštenje
baptize	krstiti
bar	bar
barb	barb
barbarian	varvarski
barbaric	varvarski
barbarism	varvarizam
barbecue	roštilj
barbed	bodež
barber	berber
barbershop	Barbershop
barbie doll	Barbie lutka
bard	bard
bare	gola
bareback	bareback
barefoot	bosonog
barely	jedva
barf	barf
bargain	dogovor
bargaining	pregovaranje
barge	barže
baritone	bariton
barium	barijum
bark	kora
barkeep	barkeep
barks	laje
barley	ječam
barmaid	barmaid
barman	barman
barn	štala
barnacle	barnacle
barney	Barney
barnyard	barnyard
barometer	barometar
baron	baron
baroness	baronica
baroque	barokni
barrack	baraka
barracuda	barracuda
barrage	barrage
barred	zabranjeno
barrel	bure
barren	neplodno
barricade	barikada
barrier	barijera
barring	zabrana
barrister	advokat
barroom	barroom
barrow	barrow
bartender	barmen
barter	barter
base	bazu
baseball	bejzbol
baseball bat	palica za bejzbol
baseboard	baseboard
baseless	bez osnova
baseline	baseline
baseman	baseman
basement	podrum
bases	baze
bash	bash
bashful	sjajno
basic	osnovni
basics	osnove
basil	bosiljak
basilica	bazilika
basin	basen
basis	osnova
bask	bask
basket	košara
basketball	košarka
bass	bas
bass guitar	bas gitara
basso	NO TRANSLATION
bassoon	fagot
bastard	kopile
bastarding	kopile
bastards	gadovi
bastion	bastion
bat	bat
batch	serija
batching	šaržiranje
bate	NO TRANSLATION
bath	kupka
bathe	kupa
bathhouse	kupatilo
bathing	kupanje
bathrobe	bade mantil
bathroom	kupatilo
bathtub	kadu
bathymetry	bathymetry
baton	pendrek
battalion	bataljon
batter	testo
battered	uništen
battering	udaranje
battery	baterija
battle	bitka
battled	bori se
battlefield	bojno polje
battleground	bojno polje
battlements	zglobova
battleship	bojni brod
batty	batty
bauble	bauble
bawdy	bawdy
bawl	bawl
bay	zaljev
bayonet	bajonet
bayou	bayou
bazaar	bazar
bazooka	bazooka
bday	bday
be	biti
beach	plaža
beaches	plaže
beacon	beacon
bead	bead
beading	beading
beads	perle
beady	beady
beagle	beagle
beak	kljun
beaker	čaša
beam	greda
beaming	sjajno
