Word	lt
accuse	kaltinti
accused	kaltinamas
accuser	kaltinamasis
accusing	kaltinamas
accustomed	pripratęs
ace	ace
acetic	acto rūgštis
acetylene	acetilenas
ache	skauda
achieve	pasiekti
achieved	pasiekti
achievement	pasiekimas
aching	skausmas
achy	achy
acid	rūgštis
acidity	rūgštingumas
acknowledge	pripažinti
acknowledged	pripažintas
acknowledgement	patvirtinimas
acknowledgment	patvirtinimas
acme	akme
acne	aknė
acorn	gilė
acoustic	akustinis
acoustics	akustika
acquaint	susipažink
acquaintance	pažintis
acquainted	susipažinęs
acquiescence	sutikimas
acquire	įsigyti
acquiring	įsigijimas
acquisition	įsigijimas
acquisitions	įsigijimai
acquit	išteisinti
acquittal	išteisinimas
acre	akras
acreage	plotas
acres	akrai
acrobat	akrobatas
acrylic	akrilas
act	veikti
acting	vaidyba
action	veiksmas
action figure	veiksmo figūra
actionable	ginčytinas
activate	aktyvuoti
activation	aktyvinimas
active	aktyvus
activist	aktyvistas
activity	veikla
actor	aktorius
actress	Aktorė
actual	faktinis
actuality	aktualumas
actuary	aktuarijus
acuity	aštrumas
acumen	sumanumas
acupuncture	akupunktūra
acute	ūminis
acutely	akivaizdžiai
ad	Reklama
adage	pasakojimas
adamant	adamantas
adapt	prisitaikyti
adaptable	pritaikomas
adaptation	prisitaikymas
add	papildyti
added	pridėta
addendum	priedas
adder	papildiklis
addict	narkomanas
addicted	priklausomas
addiction	priklausomybė
addictive	priklausomybę
addition	papildomai
additional	papildomas
additive	priedas
address	adresas
addressee	adresatas
addresses	adresai
adept	adept
adequacy	pakankamumas
adequate	tinkamas
adhere	laikykis
adherence	laikytis
adherent	adherent
adhering	laikytis
adhesion	Sukibimas
adhesive	klijai
adieu	adieu
adipose	riebaluotas
adjacency	gretimumas
adjacent	šalia
adjective	būdvardis
adjoining	šalia
adjourn	atidėti
adjournment	atidėjimas
adjudicate	nuspręsti
adjudication	teismo sprendimas
adjunct	adjunct
adjust	sureguliuoti
adjuster	reguliatorius
adjustment	sureguliavimas
adjuvant	adjuvantas
admin	admin
administer	administruoti
administration	administracija
administrative	administracinis
administrator	administratorius
admirable	žavisi
admiral	admirolas
admiralty	admiralitetas
admiration	susižavėjimas
admire	grožėtis
admired	žavisi
admirer	gerbėjas
admiring	žaviuosi
admissibility	priimtinumas
admissible	priimtinas
admission	priėmimas
admit	pripažinti
admittance	priėmimas
admitted	leidžiama
admitting	prisipažįsta
admixture	priemaiša
admonition	įspėjimas
ado	ado
adobe	adobe
adolescence	paauglystė
adolescent	paauglys
adopt	priimti
adoption	priėmimas
adoptive	priėmėjas
adorable	žavinga
adoration	adoracija
adore	garbinti
adoring	adoring
adorn	puošia
adornment	puošmena
adrenalin	adrenalinas
adrenaline	adrenalinas
adrift	adrift
adult	suaugęs
adulterated	suklastotas
adulterer	svetimautojas
adultery	svetimavimu
adulthood	pilnametystė
advance	iš anksto
advanced	pažengusi
advancement	pažanga
advancing	artėjant
advantage	pranašumas
advantageous	naudinga
advent	Adventas
adventure	nuotykis
adventurer	nuotykių ieškotojas
adventures	nuotykiai
adventurous	nuotykis
adversary	priešas
adverse	neigiamas
adversity	nelaimė
advertise	reklamuoti
advertisement	skelbimas
advertising	reklama
adverts	skelbimai
advice	patarimas
advisable	patartinas
advise	patarti
advised	patarė
advisement	patarimas
adviser	patarėjas
advisor	patarėjas
advisory	patarimas
advocacy	advokatas
advocate	advokatas
aegis	euras
aeration	aeracija
aerial	antena
aerobics	aerobika
aerodrome	aerodromas
aerodynamic	aerodinaminis
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	lėktuvas
aerospace	kosmosas
aesthetic	estetinis
aesthetics	estetika
aetiology	etiologija
afar	toli
affable	draugiškas
affair	reikalas
affect	įtakos
affecting	įtakos
affection	meilė
affectionate	meilus
affections	jausmai
affiche	NO TRANSLATION
affidavit	pažyma
affiliated	susijusi
affiliation	priklausomybė
affinity	giminingumas
affirm	patvirtinti
affirmation	patvirtinimas
affirmative	teigiamas
affirmatively	teigiamai
affix	prispausti
afflict	nerimauti
afflicted	nukentėjęs
affliction	nelaimė
affluence	gerovę
affluent	turtingas
afford	sau leisti
affordable	prieinama kaina
affront	apgauti
affronted	susprogdintas
afield	lauke
afire	gaisras
afloat	plaukioti
afore	anksčiau
aforementioned	minėtas
aforesaid	minėta
afraid	išsigandęs
afresh	iš naujo
african	african
aft	aft
afterlife	po gyvenimo
aftermath	pasekmės
afternoon	po pietų
aftershave	po skutimosi
aftertaste	poskonis
afterthought	nepastebimas
aga	NO TRANSLATION
agape	Agape
agate	agatas
age	amžius
aged	amžiaus
agency	Agentūra
agenda	darbotvarkė
agent	agentas
agglomeration	aglomeracija
aggravate	sustiprėti
aggravated	sustiprėja
aggravates	sustiprėja
aggravating	sunkinantis
aggravation	pablogėjimas
aggregate	suvestinis rodiklis
aggregation	agregavimas
aggresive	NO TRANSLATION
aggression	agresija
aggressive	agresyvus
aggressively	agresyviai
aggressiveness	agresyvumas
aggressor	agresoriaus
agh	agh
aghast	pyktis
aghhh	NO TRANSLATION
agile	judrus
agility	judrumas
aging	senėjimas
agitate	maišyti
agitated	susijaudinęs
agitation	agitacija
aglow	aglovas
agnostic	agnostikas
ago	prieš
agonizing	agonizing
agony	agonija
agoraphobia	agorafobija
agree	sutinku
agreeable	malonus
agreed	susitarta
agreeing	susitarti
agreement	susitarimas
agressive	NO TRANSLATION
agricultural	žemės ūkio
agriculture	Žemdirbystė
aground	miške
agua	NO TRANSLATION
ahead	priekyje
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	pagalba
aide	pagalbininkas
aiding	pagalbą
aids	AIDS
ail	ail
ailing	sergantis
ailment	negalavimas
aim	tikslas
aimless	begalinis
air	oras
airbag	oro pagalvė
airborne	ore
aircraft	orlaivis
aircraft carrier	lėktuvnešis
airfield	aerodromas
airhead	airhead
airlift	oro transportas
airline	aviakompanija
airliner	lėktuvas
airlock	airlock
airman	airman
airplane	lėktuvas
airport	oro uostas
airs	airs
airship	dirižablis
airspace	oro erdvė
airspeed	oro sparta
airstrip	aerodromas
airtight	hermetiškas
airway	kvėpavimo takai
aisle	praeitis
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	artimas
alabaster	alabastras
alarm	signalizacija
alarm clock	Žadintuvas
alarmed	susirūpinęs
alarming	nerimą keliantis
alas	deja
alb	NO TRANSLATION
albatross	Albatrosas
albino	Albino
album	albumas
alchemy	alchemija
alcohol	alkoholis
alcoholic	alkoholinis
alcoholism	alkoholizmas
alcove	alcove
alderman	aldermanas
ale	NO TRANSLATION
alert	budrus
alertness	budrumas
alerts	perspėjimai
alfalfa	liucerna
algebra	algebra
algebraic	algebrinė
algorithm	algoritmas
alias	slapyvardis
alibi	alibi
alien	užsienietis
alienate	atsikratyti
alienated	pašalintas
alienation	atsiskyrimas
alight	palikti
align	suderinti
aligned	sulygiuota
alignment	suderinimas
alike	panašiai
alimentation	NO TRANSLATION
alimony	alimentai
aliquot	alikvotinė dalis
alive	gyvas
alkali	šarmai
alkaloids	alkaloidai
allay	atsipalaiduoti
allegation	tvirtinimas
allege	pasakyk
alleged	tariamas
allegiance	ištikimybė
allegorical	alegoriškas
allegory	alegorija
allegro	allegoras
allergic	alergiškas
allergy	alergija
alleviate	palengvinti
alleviation	palengvinimas
alley	alėja
alleyway	alėja
alliance	aljansas
allied	sąjungininkas
alligator	aligatorius
allocate	paskirstyti
allocation	paskirstymas
allot	paskirstyti
allotment	paskirstymas
allow	leisti
allowable	leidžiama
allowance	pašalpa
allowed	leidžiama
alloy	lydinys
allsmiles	NO TRANSLATION
allure	Allure
alluring	viliojantis
allusion	aliuzija
alluvial	aliuviškas
ally	sąjungininkas
almanac	almanachas
almighty	visagalis
almond	migdolai
aloft	aukštyn
aloha	aloha
alone	vienas
alongside	šalia
aloof	atskirai
aloud	garsiai
alpha	alfa
alphabet	abėcėlė
alphabetical	abėcėlės tvarka
alpine	alpinis
alreadyyyyy	jau yyyy
altar	altorius
altar boy	altoriaus berniukas
alter	pakeisti
alteration	pakeitimas
altercation	pasikeitimas
altered	pakeista
alternate	Alternatyva
alternating	pakaitomis
alternative	alternatyva
altimeter	altimetras
altitude	aukštis virš jūros lygio
alto	alto
altogether	iš viso
aluminum	aliuminis
alumnus	auklėtojas
alveolar	alveolinis
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	susijungimas
amaretto	amaretas
amass	amass
amateur	mėgėjas
amaze	stebinti
amazed	nustebintas
amazedness	NO TRANSLATION
amazement	stebuklas
amazing	nuostabus
amazingly	nuostabiai
ambassador	ambasadorius
amber	gintaras
ambience	atmosfera
ambient	ambientas
ambiguity	dviprasmiškumas
ambiguous	dviprasmiškas
ambit	sritis
ambition	ambicija
ambitious	ambicingas
ambivalent	dvilypis
ambrosia	ambrosija
ambulance	greitosios pagalbos automobilis
ambush	pasala
ameliorate	pagerinti
amen	amen
amenable	paklusnumas
amend	pataisyti
amendment	pakeitimas
amends	taiso
amenity	malonumas
amethyst	Ametistas
amiable	linksmas
amicable	draugiškas
amid	amid
amidst	amidst
amino	amino
ammo	amunicija
ammonia	amoniakas
ammonium	amonio
ammunition	amunicija
amnesia	amnezija
amnesty	amnestija
amorous	mylimasis
amorphous	amorfinis
amortization	amortizacija
amount	suma
amour	NO TRANSLATION
amp	stiprintuvas
ampersand	ampersandas
amphetamines	amfetaminai
amphibian	amfibija
amphibious	amfibijas
amphitheater	amfiteatras
ample	gausu
amplification	stiprinimas
amplify	didinti
amplitude	amplitudė
amply	pakankamai
amputate	amputate
amputation	amputacija
amuck	amuck
amulet	amuletas
amuse	linksmintis
amused	linksma
amusement	pramogos
amusing	juokinga
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	anestezija
anaesthetic	anestezija
anagram	anagramas
anal	analinis
analgesic	analgetikas
analogous	analogiškas
analogue	analogas
analogy	analogija
analysis	analizė
analyst	analitikas
analytic	analitinis
analytical	analitinis
analyze	analizuoti
analyzer	analizatorius
anaphylactic	anafilaksinis
anarchism	anarchizmas
anarchist	anarchistas
anarchy	anarchija
anastomosis	anastomozė
anathema	Anathema
anatomic	anatominis
anatomy	anatomija
ancestor	protėvis
ancestral	protėviai
ancestry	protėviai
anchor	inkaras
anchorage	tvirtinimas
ancient	senovės
ancillary	pagalbinis
androgen	androgenas
android	android
anecdote	anekdotas
anemia	anemija
anemic	anemija
anemone	anemonis
anesthesia	anestezija
anesthesiologist	anesteziologas
anesthetic	anestezija
aneurysm	aneurizma
anew	iš naujo
angel	angelas
angelic	angeliškas
anger	pyktis
angered	pyktis
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiograma
angiography	angiografija
angle	kampas
angling	žvejyba
angora	Angora
angriest	angriest
angry	piktas
angrytweet	NO TRANSLATION
angst	baimė
anguish	sielvartas
anguished	skausmingas
angular	kampinis
anhydrous	bevandenis
animal	gyvūnas
animate	gyvinti
animated	animacinis
animation	animacija
animosity	priešiškumas
animus	animusas
ankle	kulkšnis
anklet	kulkšnis
annals	metraščiai
annex	priedas
annexation	aneksija
annexe	NO TRANSLATION
annihilate	sunaikinti
annihilated	sunaikintas
annihilation	sunaikinimas
anniversary	jubiliejus
annotate	komentuoti
annotation	anotacija
announce	skelbti
announcement	skelbimas
announcer	diktorius
annoy	erzina
annoyance	erzina
annoyed	erzina
annoyin	NO TRANSLATION
annoying	erzina
annoys	erzina
annual	metinis
annuity	anuitetas
annul	atšaukti
annular	žiedinis
annulment	panaikinimas
annulus	žiedas
anointed	pateptas
anointing	patepimas
anomalous	anomalūs
anomaly	anomalija
anon	anon
anonymity	anonimiškumas
anonymous	Anoniminis
anorexic	anoreksija
answer	atsakyti
answerable	atskaitingas
answering	atsakydamas
ant	ant
antagonism	antagonizmas
antagonist	antagonistas
antagonistic	antagonistinis
antagonize	antagonizuoti
ante	NO TRANSLATION
antecedent	antecedentas
antelope	antilopė
antenna	antena
anterior	priekinis
anthem	himnas
anthill	anthill
anthology	antologija
anthrax	Siurbimas
anthropological	antropologinis
anthropologist	antropologas
anthropology	antropologija
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotikas
antibiotics	antibiotikai
antichrist	antikristas
anticipate	tikėtis
anticipation	numatymas
anticipatory	laukiama
antics	antics
antidote	priešnuodis
antifungal	priešgrybeliniai
antigravity	antigravitacija
antimony	stibis
antipathy	antipatija
antiquarian	antikvariatas
antiquated	senovinis
antique	Senovinis
antiques	antikvariniai daiktai
antiquity	senovė
antiseptic	antiseptikas
antisocial	antisocialas
antithesis	antitezė
antithetical	antithetic
antiviral	antivirusinis
antler	antleris
antsy	antsy
anus	anus
anvil	kvailys
anxiety	nerimas
anxietyattack	NO TRANSLATION
anxious	nerimas
anxiousness	nerimas
anytime	bet kuriuo metu
aorta	aortos
aortic	aortas
apace	apace
apache	apache
apartment	Butas
apartments	apartamentai
apathetic	apatiškas
apathy	apatija
ape	ape
aperture	diafragma
apex	viršūnė
aphid	aphid
aphrodisiac	afrodiziakas
apiece	gabalas
aplomb	aplomb
apocalypse	apokalipsė
apocalyptic	apokaliptinis
apologetic	Apologetic
apologist	apologistas
apologize	Atsiprašau
apology	Atsiprašau
apostasy	apostasija
apostate	apostatas
apostle	apaštalas
apostolic	apaštališkas
apostrophe	apostrofas
apothecary	apotheciaras
appalled	siaubė
appalling	baisus
apparatus	aparatas
apparel	drabužiai
apparent	akivaizdus
apparently	matyt
apparition	pasirodymas
appeal	skundas
appear	atsiras
appearance	išvaizda
appease	nuraminti
appellant	apeliantas
append	pridėti
appendage	priedas
appendectomy	apendektomija
appendicitis	apendicitas
appendix	priedas
appetite	apetitas
appetizer	užkandis
appetizing	apetitas
applaud	sveikinu
applause	plojimai
apple	obuolys
apple juice	obuolių sultys
applejack	applejack
applesauce	obuoliai
appliance	prietaisas
appliances	prietaisai
applicability	taikomumas
applicable	taikoma
applicant	pareiškėjas
application	prašymas
apply	taikyti
appoint	paskirti
appointment	paskyrimas
appointments	paskyrimai
apportion	paskirstymas
apportionment	paskirstymas
appraisal	vertinimas
appraise	vertinti
appreciable	pastebimas
appreciate	vertiname
appreciated	vertinamas
appreciates	vertina
appreciation	dėkingi
appreciative	dėkingi
apprehend	sulaikyti
apprehension	susirūpinimą
apprehensive	nerimauja
apprentice	mokinys
apprenticeship	pameistrystė
approach	metodas
approaching	artėja
approbate	NO TRANSLATION
approbation	aprobavimas
appropriate	tinkamas
appropriation	asignavimas
approval	patvirtinimas
approve	patvirtinti
approved	patvirtintas
approvement	patvirtinimas
approving	tvirtinimas
approximate	apytiksliai
approximately	maždaug
approximating	apytiksliai
approximation	apytiksliai
appurtenances	asociacijos
apricot	abrikosas
apron	prijuostė
apt	apt
aptitude	tinkamumas
aqua	vanduo
aquamarine	akvamarinas
aquarium	akvariumas
aquatic	vandens
aqueduct	Akvedukas
aqueous	vandeninis
arable	ariamasis
arbiter	arbitras
arbitrary	savavališkas
arbitrate	arbitražas
arbitration	arbitražas
arbitrator	arbitras
arbor	pavėsinė
arc	lankas
arcade	arcade
arcane	arcane
arch	arka
archaeological	archeologiniai
archaeologist	archeologas
archaeology	archeologija
archaic	archajiškas
archangel	Archangelas
archbishop	arkivyskupas
archdiocese	arkivyskupija
archduke	Edukuche
arched	išlenktas
archer	archer
archery	šaudymas iš lanko
archetype	archetipas
archipelago	archipelagas
architect	architektas
architectural	architektūrinis
architecture	architektūra
archive	archyvuoti
arctic	arktinis
ardent	karštas
ardor	bjaurus
arduous	sunkus
area	plotas
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ginčytis
argument	argumentas
argumentation	argumentavimas
argumentative	argumentuotas
arguments	argumentai
arid	sausas
arise	kilti
aristocracy	aristokratija
aristocrat	aristokratas
aristocratic	aristokratiškas
arithmetic	aritmetinis
ark	arkas
arm	ranka
armada	Armada
armament	ginkluote
armaments	ginkluote
armature	armatūra
armchair	fotelis
armed	ginkluotosios
armor	šarvai
armored	šarvuotos
armory	ginkluote
armpit	pažastis
arms	rankos
army	armija
aroma	aromatas
aromatherapy	aromaterapija
arousal	susijaudinimas
arouse	pakelti
aroused	sukėlė
arraignment	kaltinimas
arrange	susitarti
arranged	išdėstytas
arrangement	išdėstymas
array	masyvas
arrears	įsiskolinimas
arrest	areštas
arrhythmia	aritmija
arrival	Atvykimas
arrive	atvykti
arrogance	arogancija
arrogant	arogantiškas
arrow	rodyklė
arsehole	arsehole
arseholes	arseholes
arsenal	arsenalas
arsenic	arsenas
arson	padegimas
arsonist	dvasininkas
art	menas
arterial	arterija
artery	arterija
artful	kvailas
arthritis	artritas
arthropod	nariuotakojų
artichoke	artišokas
article	straipsnis
articles	straipsniai
articulate	suformuluoti
articulation	sąveika
artifact	artefaktas
artifice	artifice
artificial	dirbtinis
artillery	artilerija
artisan	amatininkas
artist	menininkas
artiste	NO TRANSLATION
artistic	meninis
artistry	meniškumas
artists	menininkai
artwork	meno kūriniai
arty	arty
asap	kaip galima greičiau
asbestos	asbestas
ascend	pakilti
ascendancy	ascendancy
ascendant	ascending
ascending	didėjantis
ascension	ascension
ascent	pakilimas
ascertain	įsitikinkite
ascertained	nustatytas
ascetic	asketika
ash	pelenai
ashamed	sugėdintas
ashes	pelenai
ashtray	peleninė
asinine	asinine
ask	paklausk
asleeep	NO TRANSLATION
asleep	miega
asp	asp
asparagus	šparagai
aspartame	aspartamas
aspect	aspektas
aspects	aspektai
aspen	aspen
asphalt	asfaltas
asphyxia	asfiksija
asphyxiation	asfyxiation
aspiration	aspiracija
aspire	aspira
aspirin	aspirinas
aspiring	siekiantis
ass	asilas
assail	užmušti
assailant	užpuolikas
assassin	Assassin
assassinate	nužudyti
assassination	nužudymas
assault	puolimas
assay	testas
assemblage	surinkimas
assemble	surinkti
assembled	surinkti
assembly	surinkimas
assemblyman	surinkėjas
assent	pritarimas
assert	teigti
asserting	teigdamas
assertion	teiginys
assertive	tvirtas
assess	įvertinti
assessment	vertinimas
assessor	vertintojas
asset	turtas
assets	turtas
asshole	asilas
assign	priskirti
assignee	perėmėjas
assignment	paskyrimas
assimilate	asimiliuot
assimilation	asimiliacija
assist	padėti
assistance	parama
assistant	asistentas
associate	bendradarbis
association	asociacija
assorted	Įvairūs
assortment	asortimentas
assuage	palengvinti
assume	prisiimkite
assumed	prielaida
assuming	darant prielaidą
assumption	prielaida
assurance	garantija
assure	įsitikinkite
assured	patikėta
assuredly	tikrai
asterisk	žvaigždutė
asteroid	asteroidas
asteroids	asteroidai
asthma	astma
asthmatic	astma
astigmatism	astigmatizmas
astonish	nustebinti
astonished	apstulbintas
astonishing	stebina
astonishingly	NO TRANSLATION
astonishment	nuostaba
astound	asound
astral	astralinis
astray	klaidinga
astringent	sutraukiantis
astrologer	astrologas
astrology	astrologija
astronaut	astronautas
astronomer	astronomas
astronomical	astronominis
astronomy	astronomija
astute	akli
asunder	asunder
asylum	prieglobstis
asymmetric	asimetriška
asymmetry	asimetrija
asymptotic	asimptotinis
atelier	ateljė
atheism	Ateizmas
atheist	ateistas
atheistic	ateistinis
atherosclerosis	aterosklerozė
athlete	sportininkas
athletic	Atletiškas
athleticism	atletika
athletics	lengvoji atletika
atlas	atlasas
atmosphere	atmosfera
atmospheric	atmosfera
atoll	atolas
atom	atomas
atomic	atominis
atone	Atonas
atonement	atpirkimas
atpeace	taikoje
atrium	atriumas
atrocious	žiaurus
atrocity	žiaurumas
atrophy	atrofija
attach	pritvirtinti
attached	pridedamas
attachment	priesaga
attack	ataka
attacker	užpuolikas
attacking	puola
attain	pasiekti
attainable	pasiekiamas
attainment	pasiekimai
attempt	bandymas
attempted	bandė
attend	dalyvauti
attendance	lankomumas
attendant	palydovas
attention	dėmesio
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	dėmesingas
attenuate	susilpninti
attenuated	susilpnintas
attenuation	silpninimas
attest	patvirtinti
attestation	atestacija
attic	palėpėje
attire	apranga
attitude	požiūris
attorney	advokatas
attract	pritraukti
attraction	pritraukimas
attractive	patrauklus
attractiveness	patrauklumas
attributable	priskirtinas
attribute	atributas
attribution	priskyrimas
attrition	trauka
auburn	auburn
auction	aukcione
auctioneer	aukcione
audacious	audringas
audacity	drąsumas
audible	girdimas
audience	auditorija
audio	garsas
audit	auditas
audition	klausymasis
auditions	klausymai
auditor	auditorius
auditorium	auditorija
auditory	klausytis
aught	taip
augment	didinti
augmentation	padidinimas
august	Rugpjūtis
aunt	teta
auntie	teta
aura	aura
aurora	Aurora
auspices	globoja
auspicious	palankus
austere	austere
austerity	taupymas
authentic	autentiškas
authenticate	patvirtinti
authentication	autentifikavimas
authenticity	autentiškumas
author	autorius
authoritative	autoritetingas
authority	institucija
authorization	leidimas
authorize	leisti
authorized	įgaliotas
authorship	autorius
autism	autizmas
autistic	autizmo
auto	automatinis
autobiographical	autobiografinis
autobiography	autobiografija
autocorrect	automatiškai koreguojamas
autocratic	autokratiškas
autograph	autografas
autographed	autografuotas
automated	automatizuota
automatic	automatinis
automobile	automobilis
automotive	automobiliai
autonomy	autonomija
autopilot	autopilotas
autopsy	autopsija
autumn	ruduo
auxiliary	pagalbinis
avail	pasinaudoti
availability	prieinamumas
available	prieinama
avalanche	lavina
avarice	avarija
avatar	avataras
avenge	kerštas
avenger	keršytojas
avenging	kerštas
avenue	alėja
aver	NO TRANSLATION
average	vidurkis
aversation	NO TRANSLATION
averse	nepasitenkinimas
averseness	atvirumas
aversion	nepasitenkinimas
avert	išvengti
aviary	aviary
aviation	aviacija
aviator	aviatorius
avid	avid
avocado	avokadas
avoid	vengti
avoidance	vengimas
avoiding	išvengti
await	laukti
awake	pabusti
awaken	pabusti
awakening	pabudimas
award	apdovanojimas
awards	apdovanojimai
aware	žino
awareness	sąmoningumas
awe	NO TRANSLATION
awed	awed
awesome	nuostabu
awesomeness	malonumas
awestruck	baisu
awful	baisus
awkward	nepatogu
awkwardness	nepatogumas
awning	tentas
awry	bjaurus
axe	kirvis
axial	ašinis
axiom	aksioma
axiomatic	aksiomatinis
axis	ašis
axle	ašis
ay	ay
aye	aye
azimuth	azimutas
azure	azure
babble	skamba
babbling	šūdas
babe	babe
baboon	babuonas
baby	kūdikis
babysit	babysit
babysitter	Auklė
baccalaureate	bakalaureatas
baccarat	baccarat
bachelor	bakalauras
bachelorette	bachelorette
back	atgal
backboard	backboard
backbone	pagrindas
backdoor	galinės durys
backdrop	fonas
backer	rėmėjas
backfire	atgalimas
backgammon	nardai
background	fonas
backhand	atgalinė
backhoe	ekskavatorius
backoff	atstok
backpack	kuprinė
backpacker	kuprinė
backroom	užpakalinė dalis
backseat	backseat
backside	backside
backtrack	backtrack
backup	atsarginė kopija
backward	atgal
backwardness	atsilikimas
backwards	atgal
backwater	užtvankos
backwoods	griuvėsiai
backyard	galinis kiemas
bacon	bacon
bacteria	bakterijos
bacterial	bakterinis
bacterium	bakterija
bad	blogai
badass	Blogiukas
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	ženklelis
badger	barberis
badhabit	NO TRANSLATION
badly	blogai
badness	blogybė
baffle	pertvara
baffled	nerimtas
bag	maišas
bagel	bagel
baggage	bagažas
baggie	baggie
baggy	baggy
bagman	Bagmanas
bagpipes	dulkes
bail	užstatą
bailiff	antstolis
bait	masalas
bake	kepti
bakery	kepykla
baking	kepimo
bal	NO TRANSLATION
balance	balansas
balanced	subalansuotas
balcony	balkonas
bald	nuplikęs
balding	baldingas
baldy	Baldy
bale	ritinys
balk	balkas
ball	kamuolys
ballad	baladė
ballast	balastas
ballerina	balerina
ballet	baletas
ballgame	kamuolio žaidimas
ballistic	balistinis
ballistics	balistika
balloon	balionas
ballot	balsavimas
ballpark	aikštė
ballplayer	kamuolys žaidėjas
ballpoint	taurė
ballroom	pobūvių salė
ballsy	kamuoliukas
balm	balzamas
balmy	balmy
balsam	balzamas
balsamic	balzamiko
bam	bam
bamboo	bambukas
ban	NO TRANSLATION
banana	bananas
band	juosta
bandage	tvarstis
bandanna	NO TRANSLATION
bandit	banditas
bandstand	bandstand
bandwagon	treniruoklis
bandwidth	pralaidumas
bane	buna
bang	sprogti
banger	bangeris
banish	pašalinti
banished	ištremtas
banishment	išvedimas
banister	plytelės
banjo	banjo
bank	bankas
banker	bankininkas
banking	bankininkystė
bankroll	bankrotas
bankrupt	bankrotas
bankruptcy	bankrotas
banner	reklamjuostė
banquet	banketą
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	krikštas
baptismal	krikštas
baptize	krikštyti
bar	baras
barb	barb
barbarian	barbaras
barbaric	barbariškas
barbarism	barbarizmas
barbecue	Barbekiu
barbed	spygliuotas
barber	kirpykla
barbershop	kirpykla
barbie doll	lėlė Barbė
bard	baras
bare	plikas
bareback	bareback
